globalid,from_level_code,l_low_hn,rwjurisdiction,pre_modifier,nonped,boroughcode,posted_speed,post_type,shape_length,collectionmethod
e8164bcd-b31f-4470-8fbd-b5a2e90edc29,13,325,,,,3,25.0,ST,145.3791552588227,
688eb134-38f5-4a20-936f-34867664905a,13,1,,,,5,25.0,AVE,137.22973968596696,
da688056-6204-4fce-b36d-92c81aecb578,13,11-001,,,,4,25.0,AVE,79.34289499931425,F
a42d055a-d1e6-4019-a740-da9265b113ae,21,,,,V,1,40.0,BRG,100.25888772238606,
fdccf94f-201f-4312-a96d-0c26d0fa7cfd,13,22-001,,,,4,25.0,ST,277.53323334462675,F
a8df076f-f714-455d-b5ad-1c4e868bfd0e,13,401,,,,2,25.0,ST,242.2970891876458,
4685a082-8cdf-4135-a624-71343015ddcc,13,,3.0,,,3,,AVE,134.58783406817562,
7dacab06-7952-4e35-80a9-a70cab991688,13,123,,,,3,25.0,ST,228.51955086191217,
3a347fbe-b264-4b94-bdf5-e05477be54f6,13,86-057,,,,4,25.0,ST,30.02766532803026,
604a86ad-6d3a-416c-afa1-c69c0859788f,17,,,,V,4,45.0,EXPY,11.052923718626182,
da3a2d01-3b22-4b00-9343-c46e13f2ef9c,13,1321,,,,2,25.0,AVE,104.42604951476096,
ffc6bc51-2586-44ee-9558-756e5971f794,13,2501,,,,2,25.0,AVE,330.87254261053795,
3c777f42-b3d8-44c8-afa3-e9fff22105ba,13,267,,,,3,25.0,ST,104.85065337095128,
d0a63041-e84b-4839-81f1-0646442e67b1,13,74-029,,,,4,25.0,ST,204.14175961892064,
67dbd404-2a8b-40d2-b805-96ea478b87d5,13,2571,,,,2,25.0,AVE,67.07814895533637,
8d5c8a94-baba-468f-8a5b-e2943023f33e,13,2,,,,5,25.0,CT,171.5479375235721,
9159929e-5e10-4f2c-86b9-21e3ad6a94e6,13,243,,,,3,25.0,ST,104.6745707217765,
ef89260b-f643-42d1-99cb-519ddb3378a0,13,147-001,,,,4,25.0,AVE,237.75214684481196,
2e8239d7-ef28-4f6a-9ab0-08821f2da037,13,2320,,,,1,25.0,BLVD,104.97115815399648,
0388345e-943d-4af5-88f4-55e4743d70e6,13,34-001,,,,4,25.0,ST,371.73034492048714,
c8ae0281-2c17-4e88-a175-9641118752e4,13,,,,,4,25.0,PKWY,170.24086634607863,
f30573bf-79d6-4171-ab33-a942cc59acc7,13,,,,,5,25.0,AVE,38.64094411444213,
fd57d250-48c4-4cb1-ad58-067ebfa185b6,13,,,,,2,,PATH,221.18328870152772,
9e92a07c-c59f-4f28-a836-9acc27adc303,13,,,,,3,25.0,AVE,14.955296198067767,
c4e091e3-53fa-4b82-b0ed-46a23cc58382,13,182-001,,,,4,25.0,AVE,104.3200426549092,
932920be-28a7-427c-bb50-87abc534e6ae,13,182-001,,,,4,25.0,RD,203.8485575257968,
6236494b-ca1e-4200-838b-c4bdb4fe438f,13,,,,D,1,,,79.00866077055598,
65838f5a-f555-45f6-83bb-8736e6273040,13,1601,,,,2,25.0,AVE,316.983791681058,
12150394-649c-4db6-af30-c8b6d7f692f8,13,264-001,,,,4,25.0,AVE,104.39827195440962,
99f6a8e7-92bb-400d-9ff4-20d2378e456b,13,749,,,,3,25.0,AVE,47.86320936855993,
dd3d978c-3eb3-412a-b9d9-d13475d6f915,13,85-025,,,,4,25.0,ST,106.62531811576362,
786e777f-d1c5-4e97-8b70-24a8f1cbe643,13,0,,,,4,25.0,AVE,122.8389176236686,
