caseno,pyincrpct3,condo_number,tenexmptrn,tenexmptot,boro,curexmptot,lline,j51_prev_exmpt_act,status,pyexmptrn
26593238,0.0,100313.0,128177,132790,1,132790,1,0,A,126357
26593605,0.0,100313.0,100356,103903,1,103903,1,0,A,98958
26590294,0.0,101902.0,104928,103414,1,103414,1,0,A,104515
26587629,0.0,100308.0,112240,115301,1,115301,1,0,A,110970
26588389,0.0,100308.0,120482,123699,1,123699,1,0,A,119147
26593588,0.0,100313.0,302132,312807,1,312807,1,0,A,297922
26590020,0.0,101623.0,187503,188123,1,188123,1,0,A,187560
26594519,0.0,100385.0,73290,78806,1,78806,1,0,A,72987
26594668,0.0,100385.0,14459,15547,1,15547,0,0,A,14399
2.66e+07,0.0,100313.0,108975,112826,1,112826,1,0,A,107457
26587422,0.0,,72684540,74053350,1,74053350,1,0,A,72591390
26587504,0.0,100308.0,153987,158097,1,158097,1,0,A,152280
26588703,0.0,101623.0,192034,192671,1,192671,1,0,A,192093
26589275,0.0,101623.0,248354,249177,1,249177,1,0,A,248431
26587638,0.0,100308.0,125809,129168,1,129168,1,0,A,124414
26587546,0.0,100308.0,114630,117691,1,117691,1,0,A,113360
26587601,0.0,100308.0,79188,81303,1,81303,1,0,A,78311
26593169,0.0,100313.0,144602,149712,1,149712,1,0,A,142588
26590043,0.0,101623.0,193337,193977,1,193977,1,0,A,193396
26589509,0.0,101623.0,255930,256778,1,256778,1,0,A,256010
26587618,0.0,100308.0,109304,112223,1,112223,1,0,A,108092
2658816700.00%,0.0,100308.0,119496,122686,1,122686,1,0,A,118171
26587704,0.0,100308.0,81634,83877,1,83877,1,0,A,80703
26592309,0.0,100313.0,86321,89372,1,89372,1,0,A,85118
26588426,0.0,100308.0,122881,126162,1,126162,1,0,A,121519
26587464,0.0,100308.0,133155,136773,1,136773,1,0,A,131652
26590583,0.0,101902.0,250662,247045,1,247045,1,0,A,249677
26590648,0.0,101902.0,145732,143631,1,143631,1,0,A,145160
26591563,0.0,101902.0,221516,218319,1,218319,1,0,A,220645
26591303,0.0,101902.0,221516,218319,1,218319,1,0,A,220645
26592600,0.0,100313.0,115459,119540,1,119540,1,0,A,113850
26594131,0.0,100385.0,71817,77223,1,77223,1,0,A,71522
26588436,0.0,100308.0,131627,135141,1,135141,1,0,A,130167
26589602,0.0,101623.0,259005,259862,1,259862,1,0,A,259086
26588766,0.0,101623.0,274078,274984,1,274984,1,0,A,274162
26589897,0.0,101623.0,187264,187884,1,187884,1,0,A,187322
26587437,0.0,100308.0,128736,132172,1,132172,1,0,A,127308
26590923,0.0,101902.0,110757,109160,1,109160,1,0,A,110322
26593706,0.0,100313.0,101975,105580,1,105580,1,0,A,100555
26591522,0.0,101902.0,268151,264281,1,264281,1,0,A,267096
26592044,0.0,100313.0,121921,126230,1,126230,1,0,A,120222
26588732,0.0,101623.0,325636,326714,1,326714,1,0,A,325737
26593885,0.0,100385.0,95913,103132,1,103132,1,0,A,95517
26589180,0.0,101623.0,166109,166659,1,166659,1,0,A,166159
26589582,0.0,101623.0,193370,194130,1,194130,1,0,A,193441
26588120,0.0,100308.0,85965,88260,1,88260,1,0,A,85011
26590501,0.0,101902.0,262321,258536,1,258536,1,0,A,261290
26590287,0.0,101902.0,233174,229810,1,229810,1,0,A,232256
26591356,0.0,101902.0,273981,270026,1,270026,1,0,A,272903
26594456,0.0,100385.0,95913,103132,1,103132,1,0,A,95517
26588893,0.0,101623.0,237715,238502,1,238502,1,0,A,237788
26589140,0.0,101623.0,165102,165649,1,165649,1,0,A,165153
26588861,0.0,101623.0,159967,160498,1,160498,1,0,A,160017
26590299,0.0,101902.0,215686,212574,1,212574,1,0,A,214838
26590604,0.0,101902.0,268151,264281,1,264281,1,0,A,267096
26592241,0.0,100313.0,91182,94405,1,94405,1,0,A,89911
26593337,0.0,100313.0,147607,152909,1,152909,1,0,A,145518
