globalid,crewglobalid,locationdetails,wowoodremains,wopriority,recommendedspecies,sidewalkdamage,projstartdate,sanitationassigneddate,wotype,census_tract,streetname,canceldate,nta,crossstreet2,boroughcode,sanitationzone,cancelreason,:@computed_region_92fq_4b7q,communityboard,stateassembly,wowireconflict,:@computed_region_sbqj_enih
BD913878-38C2-49D0-93EE-40D2557B48D9,,NORTH CENTRAL,No Wood Debris,,,,NaT,,Block Pruning,,*,,/,,Queens,4071D,,3,407.0,,No Util Conflict Present,67
A991CA44-199A-4919-A925-453B0079144B,,"1F. 25"" Norway maple. tagged",No Wood Debris,8.0,,,NaT,,Tree Removal,,34AVENUE,,/,34 AV,Queens,4077E,,3,407.0,40.0,Electric Utility Pending,67
CF6AB1F1-D239-4A2C-B84D-44BBD9E5B876,,[MAP],No Wood Debris,,,,NaT,,Block Pruning,,,,/,ROCKAWAY BLVD,Queens,4126C,,46,412.0,32.0,No Util Conflict Present,71
1990EBB2-754B-4970-8207-5CAC62639D68,,6F,No Wood Debris,,,1.0,NaT,,Stump Removal,,192STREET,,/,34 AV,Queens,4111C,,20,411.0,26.0,No Util Conflict Present,69
7086413E-18B0-46A5-8DB6-49FC5F04320B,,1F,No Wood Debris,,,,NaT,,Block Pruning,532.0,EAST  18 STREET,,Midwood,E 18 ST,Brooklyn,3144D,,18,314.0,48.0,No Util Conflict Present,43
82EEC338-8DC1-4EF0-887A-3720182692E6,,1A,No Wood Debris,,,1.0,NaT,,Block Pruning,,JEWELAV,,/,JEWEL AV,Queens,4083D,,24,408.0,27.0,No Util Conflict Present,65
6D270ED9-9118-4DE9-A8CE-4DCC5DEB0486,,1F,No Wood Debris,,,,NaT,,Block Pruning,,MICKLEAVENUE,,/,MICKLE AV,Bronx,2122D,,2,212.0,83.0,No Util Conflict Present,30
DCDEAEA3-80BB-4622-A1AC-48DD690A08B4,,2F,No Wood Debris,,,,NaT,,Block Pruning,,1AVENUE,,/,CONNECTOR,Manhattan,1061A,,51,106.0,74.0,No Util Conflict Present,7
63A3FAF3-28C5-4B38-9782-0C3FD01DC1E4,,,No Wood Debris,7.0,,,NaT,,Pruning,,,,/,BROOKVILLE BLVD,Queens,4138D,,47,413.0,31.0,No Util Conflict Present,63
8B683283-8109-485F-95E0-463D2BB44DAA,,[MAP],No Wood Debris,,,,NaT,,Block Pruning,,,,/,KISSENA BLVD,Queens,4083D,,24,408.0,27.0,No Util Conflict Present,65
