nyc_building_identification_number_bin,last_modified_date_property_use,hospital_general_medical_surgical_percent_that_can_be_cooled,reason_s_for_no_score,parking_partially_enclosed_parking_garage_size_ft,non_refrigerated_warehouse_gross_floor_area_ft,worship_facility_gross_floor_area_ft,data_center_pue,multifamily_housing_number_of_bedrooms,primary_property_type_self_selected,electricity_use_grid_purchase_and_generated_from_onsite_renewable_systems_kwh,hospital_general_medical_surgical_number_of_mri_machines,number_of_active_energy_meters_used_to_compute_metrics,alert_energy_meter_has_gaps,hospital_general_medical_surgical_full_time_equivalent_fte_workers,data_center_it_energy_configuration,wholesale_club_supercenter_gross_floor_area_ft,electricity_use_grid_purchase_kbtu,self_storage_facility_gross_floor_area_ft,data_center_national_median_pue,parent_property_id,municipally_supplied_potable_water_indoor_use_kgal,parking_gross_floor_area_ft,national_median_total_ghg_emissions_metric_tons_co2e,restaurant_weekly_operating_hours,alert_energy_no_meters_selected_for_metrics,office_weekly_operating_hours,weather_normalized_site_energy_use_kbtu,energy_power_station_gross_floor_area_ft,fitness_center_health_club_gym_gross_floor_area_ft,residence_hall_dormitory_gross_floor_area_ft,last_modified_date_property,temporary_values,diesel_2_use_kbtu,performing_arts_gross_floor_area_ft,energy_star_certification_eligibility,medical_office_gross_floor_area_ft,bank_branch_gross_floor_area_ft,hospital_general_medical_surgical_staffed_bed_density_number_per_1_000_sq_ft,electricity_use_generated_from_onsite_renewable_systems_and_exported_kwh,district_hot_water_use_kbtu,data_center_pdu_output_meter_kwh
2009957,08/12/2020 09:16 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,249200,Not Available,3,Ok,Not Available,Not Available,Not Available,850270.4,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,354.3,Not Available,Ok,Not Available,4109613.6,Not Available,Not Available,Not Available,04/20/2021 10:46 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2002745,08/12/2020 09:16 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,548800,Not Available,3,Ok,Not Available,Not Available,Not Available,1872505.6,Not Available,Not Available,Not Applicable: Standalone Property,555.6,Not Available,837.2,Not Available,Ok,Not Available,8957862.9,Not Available,Not Available,Not Available,05/05/2021 09:27 AM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
4002915,08/12/2020 09:16 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,446460,Not Available,3,Ok,Not Available,Not Available,Not Available,1523321.5,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,555.4,Not Available,Ok,Not Available,4854547,Not Available,Not Available,Not Available,04/21/2021 02:18 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
4202849,03/31/2019 08:18 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,1315200,Not Available,3,Ok,Not Available,Not Available,Not Available,4487462.2,Not Available,Not Available,Not Applicable: Standalone Property,410.9,Not Available,1962.3,Not Available,Ok,Not Available,20695513.8,Not Available,Not Available,Not Available,05/05/2021 10:13 AM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1018014,08/17/2020 03:49 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,395200,Not Available,3,Ok,Not Available,Not Available,Not Available,1348422.4,Not Available,Not Available,Not Applicable: Standalone Property,602.3,Not Available,504.8,Not Available,Ok,Not Available,6898599.5,Not Available,Not Available,Not Available,05/04/2021 08:57 AM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2013142,08/17/2020 01:44 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,539400,Not Available,3,Ok,Not Available,Not Available,Not Available,1840432.8,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,851.7,Not Available,Ok,Not Available,9859300.3,Not Available,Not Available,Not Available,04/20/2021 10:45 PM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
4161005,08/11/2020 05:35 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,338800,Not Available,3,Ok,Not Available,Not Available,Not Available,1155985.6,Not Available,Not Available,Not Applicable: Standalone Property,274.3,Not Available,680.4,Not Available,Ok,Not Available,6591518.2,Not Available,Not Available,Not Available,05/04/2021 02:08 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1005974,08/12/2020 09:16 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,571600,Not Available,3,Ok,Not Available,Not Available,Not Available,1950299.2,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,578.2,Not Available,Ok,Not Available,11217533.9,Not Available,Not Available,Not Available,05/04/2021 09:27 AM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
4307108,12/03/2019 03:50 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Office,17440290,Not Available,3,Ok,Not Available,No IT Energy Configuration Selected (or using Estimates),Not Available,59506286.2,Not Available,Not Available,Not Applicable: Standalone Property,11500.1,Not Available,6244.9,55,Ok,42.03,Not Available,Not Available,Not Available,Not Available,04/06/2021 03:28 PM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,0
3001070,08/17/2020 01:44 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,488200,Not Available,3,Ok,Not Available,Not Available,Not Available,1665738.4,Not Available,Not Available,Not Applicable: Standalone Property,397.2,Not Available,689.4,Not Available,Ok,Not Available,5096556,Not Available,Not Available,Not Available,05/05/2021 08:53 AM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3188726,03/31/2019 08:18 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,631600,Not Available,3,Ok,Not Available,Not Available,Not Available,2155019.2,Not Available,Not Available,Not Applicable: Standalone Property,928.3,Not Available,423.8,Not Available,Ok,Not Available,6408452.6,Not Available,Not Available,Not Available,05/03/2021 02:43 PM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
4531136,08/11/2020 05:36 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,105680,Not Available,2,Ok,Not Available,Not Available,Not Available,360580.2,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,38.9,Not Available,Ok,Not Available,369880.2,Not Available,Not Available,Not Available,04/21/2021 04:02 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3065733,08/12/2020 05:40 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,143400,Not Available,3,Ok,Not Available,Not Available,Not Available,489280.8,Not Available,Not Available,Not Applicable: Standalone Property,5.3,Not Available,179.5,Not Available,Ok,Not Available,2310186.6,Not Available,Not Available,Not Available,05/03/2021 01:51 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2020580,08/12/2020 09:16 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,728800,Not Available,3,Ok,Not Available,Not Available,Not Available,2486665.6,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,1295,Not Available,Ok,Not Available,8541495.3,Not Available,Not Available,Not Available,04/20/2021 10:45 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
4080168,08/17/2020 04:20 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,361600,Not Available,3,Ok,Not Available,Not Available,Not Available,1233779.2,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,415.8,Not Available,Ok,Not Available,8217794.4,Not Available,Not Available,Not Available,04/21/2021 04:02 PM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1052436,08/17/2020 04:20 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,494800,Not Available,3,Ok,Not Available,Not Available,Not Available,1688257.6,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,696.3,Not Available,Ok,Not Available,9795137.3,Not Available,Not Available,Not Available,04/21/2021 02:16 PM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3162711,08/11/2020 05:35 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,1503200,Not Available,3,Ok,Not Available,Not Available,Not Available,5128918.8,Not Available,Not Available,Not Applicable: Standalone Property,754.7,Not Available,1705.5,Not Available,Ok,Not Available,22041503.7,Not Available,Not Available,Not Available,05/05/2021 08:57 AM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
4129072,08/11/2020 05:35 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,198200,Not Available,3,Ok,Not Available,Not Available,Not Available,676258.4,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,328.3,Not Available,Ok,Not Available,3119362.4,Not Available,Not Available,Not Available,04/21/2021 02:18 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3034356,08/12/2020 09:16 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,378400,Not Available,3,Ok,Not Available,Not Available,Not Available,1291100.8,Not Available,Not Available,Not Applicable: Standalone Property,409.9,Not Available,1169.1,Not Available,Ok,Not Available,11522933.1,Not Available,Not Available,Not Available,05/03/2021 04:13 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
4078312,08/17/2020 03:49 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,238240,Not Available,3,Ok,Not Available,Not Available,Not Available,812874.9,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,387.3,Not Available,Ok,Not Available,6295830.6,Not Available,Not Available,Not Available,04/21/2021 04:02 PM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1000058,10/16/2020 04:45 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Office,37069210,Not Available,5,Ok,Not Available,"UPS supports only IT Equipment (preferred) => Use UPS Output Meter, No IT Energy Configuration Selected (or using Estimates)",Not Available,126480130.6,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,17482.8,Not Available,Ok,65,179298342.2,Not Available,Not Available,Not Available,04/07/2021 06:09 PM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,0
1005760,08/17/2020 04:20 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,361600,Not Available,3,Ok,Not Available,Not Available,Not Available,1233779.2,Not Available,Not Available,Not Applicable: Standalone Property,2660.8,Not Available,476.9,Not Available,Ok,Not Available,5840681.6,Not Available,Not Available,Not Available,05/04/2021 09:27 AM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3000216,08/17/2020 04:20 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,1003600,Not Available,3,Ok,Not Available,Not Available,Not Available,3424283.3,Not Available,Not Available,Not Applicable: Standalone Property,636.1,Not Available,1021,Not Available,Ok,Not Available,9157342.2,Not Available,Not Available,Not Available,05/03/2021 04:38 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2004498,08/12/2020 09:16 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,410400,Not Available,3,Ok,Not Available,Not Available,Not Available,1400284.8,Not Available,Not Available,Not Applicable: Standalone Property,72.6,Not Available,620.4,Not Available,Ok,Not Available,6807768.5,Not Available,Not Available,Not Available,05/04/2021 01:48 PM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3038939,08/12/2020 09:16 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,640000,Not Available,3,Ok,Not Available,Not Available,Not Available,2183680,Not Available,Not Available,Not Applicable: Standalone Property,227.4,Not Available,1156.6,Not Available,Ok,Not Available,8132299,Not Available,Not Available,Not Available,05/03/2021 12:54 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2094549,08/17/2020 03:49 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,352320,Not Available,3,Ok,Not Available,Not Available,Not Available,1202115.9,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,656.5,Not Available,Ok,Not Available,6346616.1,Not Available,Not Available,Not Available,04/20/2021 10:45 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2003022,08/12/2020 09:16 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,366560,Not Available,3,Ok,Not Available,Not Available,Not Available,1250702.8,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,642.1,Not Available,Ok,Not Available,8770213.4,Not Available,Not Available,Not Available,04/20/2021 10:45 PM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2003495,08/12/2020 09:16 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,393600,Not Available,3,Ok,Not Available,Not Available,Not Available,1342963.2,Not Available,Not Available,Not Applicable: Standalone Property,1597,Not Available,736.8,Not Available,Ok,Not Available,7527180,Not Available,Not Available,Not Available,05/04/2021 01:51 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3075413,08/17/2020 04:19 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,744000,Not Available,2,Ok,Not Available,Not Available,Not Available,2538528,Not Available,Not Available,Not Applicable: Standalone Property,1766.8,Not Available,975.7,Not Available,Ok,Not Available,9520441.5,Not Available,Not Available,Not Available,05/03/2021 04:19 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1063503,08/17/2020 04:20 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,431520,Not Available,3,Ok,Not Available,Not Available,Not Available,1472346.3,Not Available,Not Available,Not Applicable: Standalone Property,78.6,Not Available,603.8,Not Available,Ok,Not Available,13103537.6,Not Available,Not Available,Not Available,05/04/2021 09:53 AM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
5046419,08/11/2020 05:35 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,155760,Not Available,3,Ok,Not Available,Not Available,Not Available,531453.1,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,307.3,Not Available,Ok,Not Available,3575165.5,Not Available,Not Available,Not Available,04/21/2021 04:02 PM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1040766,03/25/2021 10:52 AM EDT,Not Available,"Weekly Operating Hours is outside the allowed range, Number of Workers on Main Shift is too small",Not Available,Not Available,Not Available,Not Available,Not Available,Office,3502987,Not Available,43,Ok,Not Available,Not Available,Not Available,11952193.3,Not Available,Not Available,Not Applicable: Standalone Property,1946.6,Not Available,1055.1,Not Available,Ok,64.11,14872786.7,Not Available,Not Available,Not Available,04/14/2021 01:51 PM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1086069,07/08/2020 04:29 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Office,15401370,Not Available,53,Ok,Not Available,Not Available,Not Available,52549466.4,Not Available,Not Available,Not Applicable: Standalone Property,11635.9,Not Available,6873.5,95,Ok,63.14,Not Available,Not Available,Not Available,Not Available,04/23/2021 02:28 PM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2025696,08/17/2020 04:20 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,262000,Not Available,3,Ok,Not Available,Not Available,Not Available,893944.1,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,384.1,Not Available,Ok,Not Available,5113320.1,Not Available,Not Available,Not Available,04/20/2021 10:45 PM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1014387,04/22/2021 06:55 PM EDT,Not Available,Weekly Operating Hours is outside the allowed range,0,Not Available,Not Available,Not Available,Not Available,Office,8903699,Not Available,4,Ok,Not Available,No IT Energy Configuration Selected (or using Estimates),Not Available,30379422.1,Not Available,Not Available,Not Applicable: Standalone Property,50930.8,155748,13467.9,32.96,Ok,50.37,309957913.3,Not Available,Not Available,Not Available,05/12/2021 03:27 PM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,0
1037596,05/04/2021 06:30 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Office,4207162,Not Available,5,Ok,Not Available,Not Available,Not Available,14354838.4,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,2793.7,Not Available,Ok,76.5,28246291,Not Available,Not Available,Not Available,05/20/2021 10:00 AM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1038570,04/21/2021 12:54 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Office,12026730,Not Available,5,Ok,Not Available,UPS supports only IT Equipment (preferred) => Use UPS Output Meter,Not Available,41035199.6,Not Available,Not Available,Not Applicable: Standalone Property,7947.8,Not Available,8230.6,Not Available,Ok,93.07,62195193.6,Not Available,Not Available,Not Available,05/12/2021 05:12 PM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,0
2084806,08/17/2020 04:20 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,388728,Not Available,3,Ok,Not Available,Not Available,Not Available,1326339.9,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,354.7,Not Available,Ok,Not Available,6483979.6,Not Available,Not Available,Not Available,04/20/2021 10:45 PM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3136085,08/12/2020 09:16 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,387200,Not Available,3,Ok,Not Available,Not Available,Not Available,1321126.4,Not Available,Not Available,Not Applicable: Standalone Property,23.2,Not Available,764.1,Not Available,Ok,Not Available,7787546.5,Not Available,Not Available,Not Available,05/03/2021 02:06 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2010910,08/11/2020 05:35 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,569600,Not Available,3,Ok,Not Available,Not Available,Not Available,1943475.2,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,1760.1,Not Available,Ok,Not Available,6808391.2,Not Available,Not Available,Not Available,04/20/2021 10:46 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
4200233,08/11/2020 05:35 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,503600,Not Available,3,Ok,Not Available,Not Available,Not Available,1718283.2,Not Available,Not Available,Not Applicable: Standalone Property,132.6,Not Available,365.9,Not Available,Ok,Not Available,4377119.3,Not Available,Not Available,Not Available,05/05/2021 10:15 AM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3331741,08/11/2020 05:36 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,2242400,Not Available,2,Ok,Not Available,Not Available,Not Available,7651069.2,Not Available,Not Available,Not Applicable: Standalone Property,387.6,Not Available,587.9,Not Available,Ok,Not Available,9586575.1,Not Available,Not Available,Not Available,05/03/2021 04:05 PM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
4048306,08/11/2020 05:35 PM EDT,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,K-12 School,1009600,Not Available,2,Ok,Not Available,Not Available,Not Available,3444755.2,Not Available,Not Available,Not Applicable: Standalone Property,2471.3,11368,517.4,Not Available,Ok,Not Available,6068657.6,Not Available,Not Available,Not Available,05/04/2021 12:02 PM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3142008,08/17/2020 04:56 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,408000,Not Available,3,Ok,Not Available,Not Available,Not Available,1392096,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,529.3,Not Available,Ok,Not Available,7486572.5,Not Available,Not Available,Not Available,04/21/2021 03:23 PM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
4052874,08/17/2020 03:49 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,1200800,Not Available,3,Ok,Not Available,Not Available,Not Available,4097129.5,Not Available,Not Available,Not Applicable: Standalone Property,539.4,Not Available,927.6,Not Available,Ok,Not Available,11510769.1,Not Available,Not Available,Not Available,05/05/2021 10:14 AM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3000567,08/17/2020 01:44 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,141280,Not Available,3,Ok,Not Available,Not Available,Not Available,482047.3,Not Available,Not Available,Not Applicable: Standalone Property,157.8,Not Available,325.8,Not Available,Ok,Not Available,1730461.3,Not Available,Not Available,Not Available,05/03/2021 01:43 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
5027641,08/17/2020 04:20 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,455840,Not Available,3,Ok,Not Available,Not Available,Not Available,1555326,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,570.6,Not Available,Ok,Not Available,6313598.5,Not Available,Not Available,Not Available,04/21/2021 04:02 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
5002227,08/17/2020 01:44 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,575200,Not Available,3,Ok,Not Available,Not Available,Not Available,1962582.4,Not Available,Not Available,Not Applicable: Standalone Property,1942.4,Not Available,1344.3,Not Available,Ok,Not Available,8236954.9,Not Available,Not Available,Not Available,05/05/2021 08:22 AM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2014692,08/17/2020 01:44 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,1021600,Not Available,2,Ok,Not Available,Not Available,Not Available,3485699.5,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,746.2,Not Available,Ok,Not Available,8280486.8,Not Available,Not Available,Not Available,04/20/2021 10:46 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1016880,08/27/2020 10:28 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Office,13943590,Not Available,2,Ok,Not Available,Not Available,Not Available,47575515.7,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,9600.1,Not Available,Ok,66.88,98099290.5,Not Available,Not Available,Not Available,04/13/2021 03:00 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
4004419,08/12/2020 09:16 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,415200,Not Available,2,Ok,Not Available,Not Available,Not Available,1416662.4,Not Available,Not Available,Not Applicable: Standalone Property,735.5,Not Available,536.8,Not Available,Ok,Not Available,7862555,Not Available,Not Available,Not Available,05/04/2021 11:52 AM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1055111,08/17/2020 01:44 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,535600,Not Available,3,Ok,Not Available,Not Available,Not Available,1827467.2,Not Available,Not Available,Not Applicable: Standalone Property,381,Not Available,669.9,Not Available,Ok,Not Available,6246067.2,Not Available,Not Available,Not Available,05/04/2021 09:36 AM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3025510,08/17/2020 03:49 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,1435520,Not Available,2,Ok,Not Available,Not Available,Not Available,4897994.2,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,1868.9,Not Available,Ok,Not Available,27743903.8,Not Available,Not Available,Not Available,04/21/2021 03:23 PM EDT,No,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1001027,12/16/2020 12:21 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Office,16959800,Not Available,4,Ok,Not Available,UPS supports only IT Equipment (preferred) => Use UPS Output Meter,Not Available,57866831,Not Available,Not Available,Not Applicable: Standalone Property,26916.5,Not Available,7969,Not Available,Ok,67.36,57972721.7,Not Available,Not Available,Not Available,05/26/2021 08:23 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,0
3167623,08/11/2020 05:35 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,K-12 School,294000,Not Available,3,Ok,Not Available,Not Available,Not Available,1003128,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,342.1,Not Available,Ok,Not Available,3595530.8,Not Available,Not Available,Not Available,04/21/2021 03:23 PM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
4530817,08/25/2019 09:28 AM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Retail Store,674329.4,Not Available,2,Ok,Not Available,Not Available,Not Available,2300811.9,Not Available,Not Available,Not Applicable: Standalone Property,497.8,Not Available,1116.2,Not Available,Ok,Not Available,3319704.7,Not Available,Not Available,Not Available,03/18/2021 11:14 AM EDT,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
