maprojid,commit_ccnonexempt,adopt_nccother,typecategory,totalplannedcommit,adopt_nccfederal,maxdate,commit_noncitycost,commit_total,allocate_nccstate,commit_citycost,spent_total,commit_nccstate,magencyname,allocate_ccnonexempt,nccstate,magencyacro
850HWXP136C,47728034.21,9384000.0,,136000,18545000.0,2033-06-01T00:00:00.000,2031631.93,8224790.22,0.0,6193158.29,73666579.82,0.0,Department of Design and Construction,135896.91,0,DDC
801SANCT4FAM,0.0,0.0,Lump Sum,654000,0.0,2029-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,Department of Small Business Services,654000.0,0,SBS
039LQD122ITS,4485012.04,0.0,"ITT, Vehicles, and Equipment",164000,0.0,2027-06-01T00:00:00.000,0.0,0.0,0.0,0.0,4485012.04,0.0,Queens Borough Public Library,168987.96,0,QPL
850HLDNIMEDI,0.0,0.0,"ITT, Vehicles, and Equipment",305000,0.0,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,Department of Design and Construction,305000.0,0,DDC
850PV262-AUD,8935509.12,0.0,Lump Sum,959000,0.0,2033-06-01T00:00:00.000,0.0,206945.65,0.0,206945.65,8935509.12,0.0,Department of Design and Construction,1119545.23,0,DDC
850SE-414A,0.0,0.0,Fixed Asset,275000,0.0,2025-10-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,Department of Design and Construction,0.0,0,DDC
81948201341,59806.0,0.0,"ITT, Vehicles, and Equipment",40000,0.0,2028-06-01T00:00:00.000,0.0,0.0,0.0,0.0,59806.0,0.0,Health and Hospitals Corporation,40194.0,0,HHC
801MSICUEXPA,0.0,0.0,Fixed Asset,5000000,0.0,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,Department of Small Business Services,5000000.0,0,SBS
850HLDN36VAN,373655.0,0.0,"ITT, Vehicles, and Equipment",0,0.0,2027-06-01T00:00:00.000,0.0,0.0,0.0,0.0,373655.0,0.0,Department of Design and Construction,345.0,0,DDC
035L21FREEZE,0.0,0.0,,393000,0.0,2026-06-01T00:00:00.000,0.0,6600.0,0.0,6600.0,0.0,0.0,New York Research Libraries,393400.0,0,NYRL
846P-308AG03,0.0,0.0,Fixed Asset,80000,0.0,2029-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,Department of Parks and Recreation,80000.0,0,DPR
