dbn,school_name,code1,requirement_3_3,academicopportunities5,offer_rate2_1,admissionspriority211,eligibility4,academicopportunities1,postcode,diplomaendorsements,code10,grade9geapplicantsperseat5,seats9ge10,admissionspriority31,transfer,grade9swdfilledflag3,seats9swd4,program8,interest4,seats9swd1,code8,prgdesc4,code3,grade9gefilledflag3,seats9ge8,seats4specialized,requirement_1_8,grade9geapplicants5,primary_address_line_1,school_10th_seats,grade9swdapplicantsperseat11,auditioninformation8,admissionspriority112,grade9swdapplicants10,eligibility2,longitude,auditioninformation1,grade9gefilledflag12,offer_rate2_7,appperseat2specialized,grade9gefilledflag4,applicants1specialized,interest3,code6,seats1specialized,overview_paragraph,grade9swdfilledflag6,admissionspriority13,admissionspriority32,college_career_rate,grade9swdfilledflag5,auditioninformation5,code12,community_board,method3,interest8,grade9swdapplicants5,sqr_website,grade9swdapplicantsperseat1,grade9swdapplicantsperseat12,program11,method9,requirement_3_6,campus_name,academicopportunities6,code4,offer_rate3_1,eligibility7,common_audition6,subway,grade9swdapplicantsperseat10,seats106,admissionspriority23,finalgrades,common_audition7,offer_rate1_5,pct_stu_enough_variety,grade9geapplicants4,school_accessibility,method12,start_time,school_sports,earlycollege,admissionspriority16,seats9ge4,seats9ge6,offer_rate2_6,auditioninformation2,grade9geapplicantsperseat4,offer_rate3_3,requirement_2_7,seats9ge11,admissionspriority35,grade9swdapplicants12,offer_rate1_8,prgdesc5
31R460,Susan E. Wagner High School,R17A,2019-20 Marking Period Grades - 35%,"University Courses: Biology, Calculus, Literature, Accounting, Acting, Photography, The Opera, Spanish, Italian, French",0% of offers went to this group,,,"Learning Centers: Academies of Finance, Language and Culture, Sciences, Virtual Enterprise, Sports Management, Visual Art, Dance and Scholars Academy",10314,"Arts, Math, Science",R17Z,9,N/A - zoned program,,,Y,17,Dance,Humanities & Interdisciplinary,6,R17K,"This program provides students of outstanding ability and potential with an enriched program that emphasizes inquiry, critical thinking, and research skills.",R17D,Y,19,,,335,1200 Manor Road,Y,,"Dance students must perform a 90 second choreographed solo in either Ballet, Jazz or Modern style (Hip Hop will not be accepted) and  demonstrate ability in group work for Barre combinations, Center terchnique, and a brief Modern combination.",,N/A - zoned program,,-74.124227,,,0% of offers went to this group,,Y,,Law & Government,R17H,,"Susan E. Wagner High School consists of 16 unique small learning communities referred to as Learning Centers. Each Learning Center has an assigned assistant principal, teacher coordinator, guidance counselor, dean, and attendance assistant, all of whom work together to provide a nurturing environment and a wide range of academic support services. In addition to our academic programs, our many extracurricular and co-curricular activities help to develop well-rounded, socially conscious, respectful citizens who are prepared to enter college and the work force.",Y,Priority to Staten Island students or residents,,0.75999999,Y,Music students must perform a brief instrumental or vocal audition including the required materials found on the Wagner website - www.wagnerhigh.net,,502,Screened,Performing Arts,68,{'url': 'https://tools.nycenet.edu/snapshot/0/31R460/HS/?utm_source=myschools.nyc&utm_medium=DOE_App_referral&utm_campaign=MySchools'},18,,,ASD/ACES Program,,,"CTE program(s): Law Academy/Legal Studies, Virtual Enterprise/Entrepreneurship",R17F,,,1.0,,N/A - zoned program,0.0,Then to New York City residents,9 to 12,1.0,100% of offers went to this group,0.91000003,1160,Fully Accessible,,8:10am,,,Priority to Staten Island students or residents,65,29,0% of offers went to this group,,18,,,,,,97% of offers went to this group,"As the specially selected ""Chancellor's Arts Designated High School"" for Staten Island, music students are eligible to receive a special Chancellor's Endorsed Arts Diploma. The following courses are offered within the Music sequence: Wind Ensemble, Symphonic, Concert, Prelude, Beginning, Jazz, Marching Bands, Advanced, Intermediate, Beginning Guitar Ensembles, Concert, Mixed, Intermediate Chorus, and Composition. Students will perform in multiple concerts, festivals, and events each year."
27Q334,Epic High School - North,Q65A,,Web-Design,0% of offers went to this group,,,Robotics,11419,,,,,,,,,,,11,,,,,,,,,94-25 117th Street,,,,,,,-73.829407,,,,,,,,,,"EPIC High School North provides a rigorous, culturally relevant, academic program that prepares students for the demands of college and career. EPIC's personalized approach to instruction challenges students to dream big and design their futures. It engages students in solving real-world problems and supports their individual progress and growth. EPIC students graduate confident in their ability to transform the world around them while having been exposed to an array of college-level material and life-ready skills.  Capitalizing on what we do best, we leverage socio-emotional learning about each child to build the habits of mind necessary for every learner's academic success.  Our version of advisory--CORE--is mandatory as is Summer Bridge.",,,,0.75999999,,,,409,,,,{'url': 'https://tools.nycenet.edu/snapshot/0/27Q334/HS/?utm_source=myschools.nyc&utm_medium=DOE_App_referral&utm_campaign=MySchools'},12,,,,,,,,,,,J to 111th St,,,,9 to 12,,,0.61000001,,Not Accessible,,9:00am,,,,,,,,,,,,,,,
02M135,"Urban Assembly School for Emergency Management, The",M28A,,"Tailored internships and experiences with a Career Advisor:  for example, internships with a technology start-up company, hospital internships, SEO Scholars program, Summer Search, Brooklyn to Alaska, Exeter Summer Scholar Program",52% of offers went to this group,,,"Emergency Medicine Pathway: free CUNY college credit and Emergency Medical Technician (EMT) certification, driver's training program, and preferential hiring with a hospital partner and the FDNY",10038,,,,,,,,,,,23,,,,,,,,,411 Pearl Street,Y,,,,,,-74.000851,,,,,,,,,,"The Urban Assembly School for Emergency Management is a small high school in downtown Manhattan that prepares students for the college of their choice and career of their dreams through hands-on and work-based learning. Students select between two innovative career pathways in Emergency Medicine and Cyber Security. Students engage in paid internships, have preferential hiring with industry partners, receive free certification as EMTs or Security Analysts, and earn free, early college credit. Our college and career counselors tailor each student's educational and extracurricular experience based on his/her passions and needs so they can develop the confidence to pursue their dreams and the character to serve their communities.",,,,0.63999999,,,,101,,,,{'url': 'https://tools.nycenet.edu/snapshot/0/02M135/HS/?utm_source=myschools.nyc&utm_medium=DOE_App_referral&utm_campaign=MySchools'},4,,,,,Murry Bergtraum Educational Campus,CTE program(s): Response & Recovery,,,,,"2, 3, 4, 5, A, C, J, Z to Fulton St; N, Q to Canal St; R, W to City Hall",,,,9 to 12,,,0.80000001,,Fully Accessible,,8:50am,,,,,,,,,,,,,,,
18K642,Urban Action Academy,L50A,,,,,,Street Law & Constitutional Law Classes,11236,,,,,,,,,,,16,,,,,,,,,1600 Rockaway Parkway,,,,,,,-73.898254,,,,,,,,,,"The focus of Urban Action Academy is to provide students with a holistic college preparatory education that centers on themes of social justice and social action. Our academic program builds and strengthens our students' self-confidence by instilling a sense of civic-minded urgency in each student. Based on social issues they're passionate about, UAA students become public ambassadors and engage in local and broader community social action and change engagements.",,,,0.36000001,,,,318,,,,{'url': 'https://tools.nycenet.edu/snapshot/0/18K642/HS/?utm_source=myschools.nyc&utm_medium=DOE_App_referral&utm_campaign=MySchools'},2,,,,,Canarsie Educational Campus,,,,,,L to Canarsie-Rockaway Parkway,,,,9 to 12,,,0.63999999,,Not Accessible,,8:10am,,,,,,,,,,,,,,,
09X250,Eximius College Preparatory Academy: A College Board School,X03R,,National Honor Society/Spanish Honor Society,0% of offers went to this group,,,Charles Hayden Foundation Summer Bridge Program for incoming 9th grade students; CFES/Mentoring and Leadership service opportunities,10456,NYS Seal of Biliteracy,,,,,,,,,,23,,,,,,,,,1363 Fulton Avenue,,,,,,,-73.902499,,,,,,,,,,"Eximius College Preparatory Academy is dedicated to developing high-achieving students of good character who use academic, technological, and social skills to inspire others and contribute to their community. Our values are academic excellence, community citizenship, self-determination, compassion, integrity, reflective living, and unity of being. Students must aspire to personal excellence to be successful and we help them master the challenges of a college preparatory curriculum, guide them through the college entrance process, and prepare them for success. Our coursework is designed to give students the knowledge, skills, and strategies to pass the Regents, excel on the SAT, and succeed in college and life.",,,,0.67000002,,,,203,,,,{'url': 'https://tools.nycenet.edu/snapshot/0/09X250/HS/?utm_source=myschools.nyc&utm_medium=DOE_App_referral&utm_campaign=MySchools'},13,,,,,,,,,,,,,,,9 to 12,,,0.87,,Not Accessible,,8:12am,,,,,,,,,,,,,,,
29Q272,George Washington Carver High School for the Sciences,Q45A,,CTE program(s): Veterinary Science (NYSED-Approved),14% of offers went to this group,,,Advanced Placement Courses,11413,,,,,,,Y,,,,9,,,Q45C,N,,,,,143-10 Springfield Boulevard,,,,,,,-73.756839,,,,,,,Science & Math,,,"The mission of our school is to provide students with an in-depth, well-rounded education that emphasizes science and mathematics. Classroom teaching and learning are complemented with authentic, inquiry-based research experiences. The combination of research and teaching experience prepares students to become critical-thinkers and problem-solvers who pursue careers in biological sciences, physical sciences, mathematics, engineering, and veterinary sciences. The emotional and social well-being of our student body is nurtured through restorative practices, academic and post secondary counseling, internships, community service, in a small and personalized learning community.",,Priority to Queens students or residents,,0.63,,,,412,Ed. Opt.,,,{'url': 'https://tools.nycenet.edu/snapshot/0/29Q272/HS/?utm_source=myschools.nyc&utm_medium=DOE_App_referral&utm_campaign=MySchools'},7,,,,,Springfield Gardens Educational Campus,,,,,,,,,Then to New York City residents,9 to 12,,,0.62,,Partially Accessible,,8:10am,,,,,,,,,,,,,,,
24Q610,Aviation Career & Technical Education High School,Q60A,,"Air Force JROTC, FIRST Robotics, Honor Society, Key Club, Moot Court & thirty five other clubs and activities to satisfy any student's interests.",,,,Multi-period CTE program in Aviation Maintenance Technology where students earn FAA certification in Airframe & Powerplant Aircraft Maintenance with optional Honors Fifth Year Program,11101,"CTE, Math, Science",,,,,,,,,,38,,,,,,,,,45-30 36th Street,,,,,,,-73.929076,,,,,,,,,,"We provide a challenging and supportive environment for every student, from every background. Our state-endorsed CTE program provides a world-class education. This unique curriculum prepares students for success in college and allows them to earn Federal Aviation Administration (FAA) certification as Aircraft Maintenance Technicians, leading to exciting and lucrative careers in the aerospace industry. All members of our school community work to create a culture that instills respect and self-discipline to meet the demands of today's colleges, universities, and work force. Our world-renowned reputation for excellence reflects our tradition, mission, and commitment to our students' futures and the future of the aerospace industry.",,,,0.92000002,,,,402,,,,{'url': 'https://tools.nycenet.edu/snapshot/0/24Q610/HS/?utm_source=myschools.nyc&utm_medium=DOE_App_referral&utm_campaign=MySchools'},8,,,,,,CTE program(s): Aviation Maintenance Technology (NYSED-Approved),,,,,7 to 33rd St-Rawson St,,,,9 to 12,,,0.91000003,,Partially Accessible,,8:00am,,,,,,,,,,,,,,,
07X522,Bronx Design and Construction Academy,Y51A,,,2% of offers went to this group,,,"CUNY College Now courses, College Access for All, Algebra for All, Annual CTE Competitions (SkillsUSA), Tech Squad",10451,CTE,,,,,,,,,,33,,,,,,,,,333 East 151st Street,,,,,,,-73.919867,,,,,,,,,,"Bronx Design and Construction Academy is a Career and Technical Education high school that offers rigorous integrated instruction that prepares students for entry into the competitive construction trades and post-secondary education. The skills students learn through their CTE coursework are applicable throughout the United States. NYS approved programs include Carpentry, Plumbing, Heating, Ventilation and Air Conditioning Technologies, Electrical Engineering, and Architectural Engineering. As a collaborative community, engaging staff, parents, students, and industry partners, we ensure our students are prepared for both direct entry into construction fields and college upon completion of high school.",,,,0.40000001,,,,201,,,,{'url': 'https://tools.nycenet.edu/snapshot/0/07X522/HS/?utm_source=myschools.nyc&utm_medium=DOE_App_referral&utm_campaign=MySchools'},4,,,,,Alfred E. Smith Educational Campus,,,,,,"2, 5 to 3rd Ave-149th St; 4 to 149th St-Grand Concourse",,,,9 to 12,,,0.75,,Partially Accessible,,8:00am,,,,,,,,,,,,,,,
07X427,Community School for Social Justice,X47A,,Programming and Robotics courses,9% of offers went to this group,,,Performance Based Assessments throughout all grade levels,10451,,,,,,,,,,,17,,,,,,,,,350 Gerard Avenue,Y,,,,,,-73.930386,,,,,,,,,,"Community School for Social Justice (CSSJ) is a NYC Outward Bound School. All NYC Outward Bound Schools prepare students for college, citizenship, and the 21st century workplace by bringing to life the central principle of Outward Bound: that combining intensive challenge with guided support leads to students achieving far more than they ever thought possible.    Like all NYC Outward Bound schools, CSSJ implements the nationally recognized EL Education school model which is rooted in Outward Bound.  This model features rigorous learning experiences and is built upon a culture of high achievement and mutual support. CSSJ uses hands-on learning that has real-world application to ignite a joy for learning and discovery in our students.",,,,0.49000001,,,,201,,,,{'url': 'https://tools.nycenet.edu/snapshot/0/07X427/HS/?utm_source=myschools.nyc&utm_medium=DOE_App_referral&utm_campaign=MySchools'},6,,,,,,,,,,,"2 to 149th St-Grand Concourse; 3 to 145th St; 4, 5 to 138th St-Grand Concourse; 6 to 3rd Ave-138th St",,,,9 to 12,,,0.97000003,,Fully Accessible,,8:15am,,,,,,,,,,,,,,,
04M680,"Heritage School, The",M97A,,"Heckscher Scholars Program offered through our partnership with The Heckscher Foundation; includes: Salsa, Hip Hop, Coding, and Music Production.",,,,A Humanities and Interdisciplinary approach for 9th and 10th grade; additional math and science for 11th and 12th grade students,10029,,,,,,,,,,,17,,,,,,,,,1680 Lexington Avenue,Y,,,,,,-73.946558,,,,,,,,,,"The Heritage School, founded in 1996, is a partnership between the New York City Department of Education and Teachers College, Columbia University. We are a small learning community that fosters the development of respectful citizens and leaders who possess the academic and social skills as well as the habits of mind to be successful in higher education and the world beyond. In addition to our comprehensive curriculum, The Heritage School is fortunate to be in a building and neighborhood that is immersed in culture, community, and pride.",,,,0.57999998,,,,111,,,,{'url': 'https://tools.nycenet.edu/snapshot/0/04M680/HS/?utm_source=myschools.nyc&utm_medium=DOE_App_referral&utm_campaign=MySchools'},10,,,,,,,,,,,6 to 103rd St,,,,9 to 12,,,0.72000003,,Partially Accessible,,8:25am,,,,,,,,,,,,,,,
18K617,High School for Innovation in Advertising and Media,L48A,,Software Engineering and Computer Science,,,,"Advanced Placement courses including AP English Language, AP English Literature, AP Psychology, AP US History, AP Statistics, AP Computer Science, and AP Environmental Science",11236,,,,,,,,,,,14,,,,,,,,,1600 Rockaway Parkway,,,,,,,-73.898254,,,,,,,,,,"Our partnership with the advertising industry provides a strong educational program that prepares students for college and careers. Mentorships, internships, and long-term advertising projects reflect real-world experience. Students may receive certifications in Microsoft Office and Adobe software. Those who complete the CTE sequence receive a certification in Communications and Advertising Design and are eligible for an industry scholarship to continue their studies in college. We also offer a four-year program in Software Engineering. Students will learn topics such as robotics, programming languages such as Python, Arduino, game design, web design, mobile app development, and AP Computer Science over the four years of study.",,,,0.40000001,,,,318,,,,{'url': 'https://tools.nycenet.edu/snapshot/0/18K617/HS/?utm_source=myschools.nyc&utm_medium=DOE_App_referral&utm_campaign=MySchools'},5,,,,,Canarsie Educational Campus,CTE program(s): Advertising and Media Design,,,,,L to Canarsie-Rockaway Parkway,,,,9 to 12,,,0.77999997,,Not Accessible,,8:10am,,,,,,,,,,,,,,,
28Q325,Hillside Arts & Letters Academy,Q46A,,"Partnership: FYREZONE (Finding Your Rhythm thru Education) _students learn video and music production, songwriting, and dance production.",2% of offers went to this group,,,"Art, Music, Writing, Advisory Classes, Lifeguard Certification, College/Career Counseling, SAT Prep, CUNY College Now, & Regents Prep",11432,Arts,,,,,,,,,,17,,,,,,,,,167-01 Gothic Drive,,,,,,,-73.797237,,,,,,,,,,"The mission of Hillside Arts & Letters Academy is to offer students a challenging curriculum with a special emphasis on visual arts, music, and writing. Students at our school become self-directed and resourceful learners with a deep appreciation for the arts. We prepare students to graduate as independent thinkers who are academically well-rounded, creative, and especially well-prepared to innovate and collaborate. Our school ensures student success by providing support through advisory classes, youth development programs, and a deep commitment to our students.",,,,0.63999999,,,,408,,,,{'url': 'https://tools.nycenet.edu/snapshot/0/28Q325/HS/?utm_source=myschools.nyc&utm_medium=DOE_App_referral&utm_campaign=MySchools'},7,,,,,Jamaica Educational Campus,,,,,,F to 169th St,,,,9 to 12,,,0.89999998,,Not Accessible,,8:03am,,,,,,,,,,,,,,,
10X438,Fordham Leadership Academy,X52A,,"Advanced Art- Calligraphy, Painting, Printing",0% of offers went to this group,,,Computer Science,10458,Math,,,,,,,,,,23,,,,,,,,,500 East Fordham Road,,,,,,,-73.888267,,,,,,,,,,"Fordham Leadership Academy (FLA), caters to the whole child by our unwavering commitment to developing future leaders that are prepared for the opportunities and challenges of the 21st century via academic excellence and character development. All scholars at FLA will receive an academically challenging experience that includes the application of theory in the real world.  FLA scholars will be expected to participate in AP courses, College Now, internships (some paid), Leadership Commitment activities (community service), field experiences, extracurricular activities, and Advisory for social-emotional learning.  100% of FLA scholars will have a post-high school plan and will have applied to colleges/universities by Spring of Senior Year.",,,,0.57999998,,,,206,,,,{'url': 'https://tools.nycenet.edu/snapshot/0/10X438/HS/?utm_source=myschools.nyc&utm_medium=DOE_App_referral&utm_campaign=MySchools'},19,,,,,Theodore Roosevelt Educational Campus,,,,,,"B, D to Fordham Rd",,,,9 to 12,,,0.80000001,,Partially Accessible,,8:14am,,,,,,,,,,,,,,,
07X495,University Heights Secondary School,X96A,,"Students receive college credit from CUNY courses. Students engage in an array of career exposure and college and career preparatory programs: TRIO Upward Bound and Talent Search, Summer Search, Bloomberg Young Professionals, Careerwise Executive Apprenticeship Program, Columbia University HK Maker Lab, Two Sigma, National Society of Black Engineers, Here to Here, Memorial Sloan Kettering Cancer Center Summer Exposure Program, SEO- Sponsors for Educational Opportunity, City College of New York STEM Institute, and more.",,,,Performance-Based Assessment Tasks (PBATs); Academic portfolio required for graduation,10455,,,,,,,,,,,13,,,,,,,,,701 St. Anns Avenue,Y,,,,,,-73.91103,,,,,,,,,,"Our school feels like a college. We provide a rich and authentic learning environment that is rigorous, college and career focused, family oriented and dedicated to cultivating citizens prepared to constructively participate in the society of their time. Students can earn up to 18 college credits through our partnership with CUNY, and choose from Advanced Placement (AP) courses and electives (theater, photojournalism, band, music, creative writing, debate, painting, drawing, dance, business, entrepreneurship, gaming, robotics, circuitry, neuroscience, genetics, botany, programming, and more). Students also gain real world experience through internships. Our curriculum fosters independence, critical thinking, and social responsibility.",,,,0.94,,,,201,,,,{'url': 'https://tools.nycenet.edu/snapshot/0/07X495/HS/?utm_source=myschools.nyc&utm_medium=DOE_App_referral&utm_campaign=MySchools'},20,,,,,South Bronx Educational Campus,,,,,,"2, 5 to Jackson Ave",,,,9 to 12,,,0.97000003,,Not Accessible,,8:56am,"Badminton Girls Varsity, Baseball Boys Jr. Varsity, Baseball Boys Varsity, Basketball Boys Jr. Varsity, Basketball Boys Varsity, Basketball Girls Jr. Varsity, Basketball Girls Varsity, Bowling Varsity, Cross Country Boys, Cross Country Girls, Cycling, Double Dutch Varsity, Flag Football Girls Varsity, Indoor Track Boys, Indoor Track Boys, Lacrosse, Outdoor Track Boys, Outdoor Track Girls, Rugby Boys Varsity, Softball Varsity, Soccer Boys Varsity, Soccer Girls Varsity, Stunt Varsity, Tennis Varsity, Volleyball Boys Varsity, Volleyball Girls Jr. Varsity, Volleyball Girls Varsity",,,,,,,,,,,,,,
04M495,Park East High School,M17J,,SAT Prep,,,,College Bound Initiative,10029,,,,,,,,,,,19,,,,,,,,,230 East 105th Street,Y,,,,,,-73.944356,,,,,,,,,,"Our motto is 'Purpose, Preparation, Pride.' We are a school that values community, and strong relationships to ensure academic success. Because of our highly structured four-year advisory system, we help students develop individual and social responsibility by setting the highest personal and academic standards. Our course selection is rigorous and is college preparatory. Our students acquire a set of values and a sense of kinship that allows them to reach ambitious goals. We develop rich, caring, and warm relationships with our students through our bustling sports and after-school programs. Our students are welcomed and valued members of our school community; their voices are heard and they are at the center of everything we do.",,,,0.82999998,,,,111,,,,{'url': 'https://tools.nycenet.edu/snapshot/0/04M495/HS/?utm_source=myschools.nyc&utm_medium=DOE_App_referral&utm_campaign=MySchools'},21,,,,,,,,,,,6 to 103rd St; Q to 96th St,,,,9 to 12,,,0.91000003,,Not Accessible,,8:15am,"Volleyball Club, Basketball Club And Fitness",,,,,,,,,,,,,,
10X225,Theatre Arts Production Company School,X20B,,,81% of offers went to this group,,,"Chancellor's Endorsed Diploma in Five Arts Studios- Drama, Dance (including hip hop), Instrumental Music (Jazz at Lincoln Center curriculum), Vocal Music, & Visual Arts",10457,Arts,,6,,Then to New York City residents,,Y,7,,Performing Arts/Visual Art & Design,7,,"Students learn acting technique, scene study, voice and diction, movement, musical theater, theater history, audition preparation, digital resume building, script analysis, directing, lighting design, and stagecraft. Students perform in full stage and small studio classical, modern, and musical theater productions.",X20R,N,,,,159,2225 Webster Avenue,Y,,,,,,-73.896703,"You may audition on more than one instrument. Perform a prepared solo selection (memorized or with sheet music). Bring your own instrument(s) (except piano, tuba, double bass, harp, percussion and guitar amplifiers, which are provided by the school). Audition includes on-site music tasks (may include singing back melodic patterns, tapping back rhythmic patterns, play selected scales, or completing a sight reading, music theory, or improvisation task).",,,,N,,Performing Arts/Visual Art & Design,,,"Featured in US News and World Report's Best High Schools in America '16 & '17, students graduate with the skills necessary for success in the 21st century. Our freshman students major in Theater, Dance, Vocal Music, Instrumental Music, or Visual Studies. We typically achieve a 99% college acceptance rate with over $800,000 in offered scholarships. We have the DOE's only rooftop garden/outdoor performance space with a sustainable living-oriented curriculum. Our school's philosophy is to ""take care of ourselves and each other."" We use the Arts and Technology to provide innovative and engaging instruction that inspires students to develop their academic, creative, and world-citizen potential through a heart and hands on approach to learning.",,Priority to continuing 8th graders,Then to New York City residents,0.66000003,Y,Present a portfolio of 8-15 pieces of original work. Include examples of observational drawings. Complete up to three drawing assignments at the audition. Samples may include the human figure and drawing from observation or imagination.,,205,Audition,,60,{'url': 'https://tools.nycenet.edu/snapshot/0/10X225/HS/?utm_source=myschools.nyc&utm_medium=DOE_App_referral&utm_campaign=MySchools'},3,,,,,,,X20S,0% of offers went to this group,,,"4 to 183rd St; B, D to 182nd-183rd Sts",,,Then to Bronx students or residents,6 to 12,,28% of offers went to this group,0.60000002,122,Partially Accessible,,8:20am,"Basketball, Baseball, Softball, Track, Volleyball",,,27,,,"Perform a song without accompaniment. Audition includes on-site music tasks in which originality, pitch, one's ability to harmonize with other singers will be assessed.",5,6% of offers went to this group,,,Then to New York City residents,,,"Students develop their artistic skills as they progress through classroom assignments using a variety of drawing, painting, sculpture, photography & digital design media. Students apply to the well-known Fred Dolan Art Academy, a Saturday professional artist-led program that helps students develop their portfolios and full scholarships for college. Students learn valuable artistic, literacy, and technical skills in the contemporary work world of the Visual Arts."
09X252,Mott Hall Bronx High School,X04R,,College planning beginning in ninth grade and small group instruction.,0% of offers went to this group,,,Authorized by the International Baccalaureate (IB) Organization to offer the Diploma Programme,10457,,,,,,,,,,,18,,,,,,,,,1595 Bathgate Avenue,,,,,,,-73.901316,,,,,,,,,,"Mott Hall Bronx High School offers open access to the prestigious International Baccalaureate (IB) Diploma. The IB Programme provides a demanding, internationally-recognized high school curriculum that prepares students for college-level work. Students engage in learning experiences beyond the typical high school curriculum, including community service, an independent research project, and an introductory philosophy course that investigates ways of knowing. Students who earn certificates or the full diploma in the program can earn up to one year of college credit. The school provides a family-like atmosphere where students are challenged and enriched by activities that address their development.",,,,0.76999998,,,,203,,,,{'url': 'https://tools.nycenet.edu/snapshot/0/09X252/HS/?utm_source=myschools.nyc&utm_medium=DOE_App_referral&utm_campaign=MySchools'},18,,,,,,,,,,,,,,,9 to 12,,,0.58999997,,Fully Accessible,,8:30am,,,,,,,,,,,,,,,
07X334,International Community High School,Y23A,,Sports,,,,College readiness,10454,,,,,,,,,,,17,,,,,,,,,345 Brook Avenue,Y,,,,,,-73.917792,,,,,,,,,,"We are a community of English Language Learners from all parts of the world, learning and working together in teams. Our school and classes are small. Students receive personal attention from teachers and school staff. We have 1 counselor available per 100 students. Students work collaboratively in small groups to learn English in every subject. Students are given a college preparatory experience, with internship opportunities in preparation for life after high school. We are part of the Internationals Network for Public Schools with over 30 years of successful experience working with recent immigrant teens and their families.",,,,0.50999999,,,,201,,,,{'url': 'https://tools.nycenet.edu/snapshot/0/07X334/HS/?utm_source=myschools.nyc&utm_medium=DOE_App_referral&utm_campaign=MySchools'},3,,,,,,,,,,,"2, 5 to 3rd Ave-149th St; 6 to Brook Ave",,,,9 to 12,,,0.88999999,,Not Accessible,,9:00am,"Girls Volleyball, Boys And Girls Soccer, Boys And Girls Basketball, Coed Table Tennis And Outdoor Track And Field",,,,,,,,,,,,,,
17K751,Academy for Health Careers,L64A,,,17% of offers went to this group,,,CUNY College Now courses in Health Science; APEX Learning (all subjects),11213,,,,,,,,,,,18,,,,,,,,,150 Albany Avenue,Y,,,,,,-73.938843,,,,,,,,,,"The mission of the Academy for Health Careers is to ensure that every student develops a strong foundation in health studies, science, leadership, communication, and other competencies that are essential for careers in the healthcare services industry. Our goal is to have students who will be college and career ready upon graduation, prepared to participate in the global marketplace as skilled problem-solvers, critical thinkers, and self-sustaining citizens.",,,,0.60000002,,,,308,,,,{'url': 'https://tools.nycenet.edu/snapshot/0/17K751/HS/?utm_source=myschools.nyc&utm_medium=DOE_App_referral&utm_campaign=MySchools'},7,,,,,Paul Robeson Educational Campus,,,,,,3 to Kingston Ave; A to Utica Ave; C to Kingston-Throop,,,,9 to 12,,,0.57999998,,Fully Accessible,,8:15am,,,,,,,,,,,,,,,
13K350,Urban Assembly School for Music and Art,L02R,,"Artist-in-Residence, Visiting Artist Series, Technology-Based Art Instruction in reason, Advance Placement Classes, and a dedicated College Counselor.",,,,The Bard Early College Academy at the UAMA enables students in 11th and 12th grade to earn tuition-free Bard college credits.,11201,,,,,,,,,,,18,,,,,,,,,49 Flatbush Avenue Extension,Y,,,,,,-73.985016,,,,,,,,,,"The Urban Assembly School of Music and Art prepares students for college and the world of work. Our program integrates literacy and the arts into all aspects of our instructional program. Students learn to be critical thinkers and creative communicators. Our program capitalizes upon our students' love of the arts and their desire to engage in self-expression. We prepare students to participate in the Bard Early College Academy at the Urban Assembly School of Music and Art, which enables UAMA students to enroll as part-time undergraduate students of Bard College and earn tuition-free college credits concurrently with their high school studies.",,,,0.56,,,,302,,,,{'url': 'https://tools.nycenet.edu/snapshot/0/13K350/HS/?utm_source=myschools.nyc&utm_medium=DOE_App_referral&utm_campaign=MySchools'},5,,,,,Water's Edge Educational Campus,,,,,,"2, 3, 4, 5 to Borough Hall; A, C to High St; B, Q to DeKalb Ave; F to York St; R to Jay St-MetroTech",,,,9 to 12,,,0.69,,Fully Accessible,,8:30am,,,,,,,,,,,,,,,
17K590,Medgar Evers College Preparatory School,K77A,,,67% of offers went to this group,,,AP Capstone is an innovative diploma program that provides students with an opportunity to engage in rigorous scholarly academic practice,11225,,,,,,,,,,,37,,,,,,,,,1186 Carroll Street,Y,,,,,,-73.951167,,,,,,,,,,"Our students take challenging courses that include four years of English Language Arts (ELA), mathematics, science, and technology and three years of a foreign language. Students complete at least one Advanced Placement (AP) course. Students also enroll in college courses and research internships at Medgar Evers College, City University of New York (CUNY) in the 11th grade and earn up to 15 college credits each semester. Student creativity, character development, and social responsibility are cultivated through individualized guidance, college advisement, athletics, clubs, fine and performing arts events, community service, and mentorships.",,,,0.82999998,,,,309,,,,{'url': 'https://tools.nycenet.edu/snapshot/0/17K590/HS/?utm_source=myschools.nyc&utm_medium=DOE_App_referral&utm_campaign=MySchools'},7,,,,,,,,,,,"2, 5 to President St; 3 to Nostrand Ave; 4 to Franklin Ave; S to Botanic Gardens",,,,6 to 12,,,0.69999999,,Partially Accessible,,7:15am,,,,,,,,,,,,,,,
