development_name,lot,bin,zip,bbl,viol_desc,insp_dt
WSUR (SITE A) 120 WEST 94TH STREET,42,1032540,10025,1012240042,"§ 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE VINYL FLOOR TILES   IN THE  2nd ROOM  FROM EAST LOCATED AT APT 3B, 3rd STORY, 4th APARTMENT FROM WEST AT NORTH",2025-10-01T00:00:00.000
VLADECK,1,1077529,10002,1002600001,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE SOUTH AND WEST WALLS  IN THE  3rd ROOM  FROM EAST LOCATED AT APT 5B, 5th STORY, 1st APARTMENT FROM NORTH AT EAST",2025-09-22T00:00:00.000
RANGEL,320,1084186,10039,1021060320,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CEILING AND ALL WALLS   IN THE  3rd ROOM  FROM EAST LOCATED AT APT 13E, 13th STORY, 1st APARTMENT FROM NORTH AT EAST",2025-10-09T00:00:00.000
CLINTON,1,1078930,10029,1016370001,"§ 27-2043.1 HMC INSTALL THE MISSING OR REPAIR/REPLACE THE DEFECTIVE WINDOW GUARD(S) IN ACCORDANCE WITH THE SPECIFICATIONS OF THE NEW YORK CITY HEALTH CODE SECTION 24 RCNY CHAPTER 12. WG TO INSTALL = 0, WG TO REPLACE = 0, WG TO REPAIR = 7  IN THE  ENTIRE APARTMENT  LOCATED AT APT 14D, 14th STORY, 1st APARTMENT FROM NORTH AT EAST",2025-09-29T00:00:00.000
FARRAGUT,1,3325908,11201,3000710001,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR ALL WALLS  IN THE  5th ROOM  FROM EAST LOCATED AT APT 8D, 8th STORY, 2nd APARTMENT FROM SOUTH AT WEST",2025-09-30T00:00:00.000
BREUKELEN,1,3321415,11236,3081740001,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT EAST WALL  IN THE  2nd ROOM  FROM NORTH LOCATED AT APT 7E, 7th STORY, 1st APARTMENT FROM EAST AT SOUTH",2025-09-12T00:00:00.000
CONEY ISLAND I (SITES 4 & 5),14,3385303,11224,3070530014,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CEILING,  WEST, EAST AND SOUTH WALLS   IN THE  KITCHEN  LOCATED AT APT 416B, 4th STORY, 4th APARTMENT FROM NORTH AT EAST",2025-10-09T00:00:00.000
CONEY ISLAND I (SITES 4 & 5),14,3385303,11224,3070530014,"§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... GREATER THAN 10 SQ.FT AT EAST WALL   IN THE  2nd ROOM  FROM NORTH LOCATED AT APT 416B, 4th STORY, 4th APARTMENT FROM NORTH AT EAST",2025-10-09T00:00:00.000
JEFFERSON,1,1080706,10029,1016620001,"§ 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK BEHIND THE EAST AND SOUTH WALLS  IN THE  1st ROOM  FROM NORTH AT EAST LOCATED AT APT 3A, 3rd STORY, 2nd APARTMENT FROM SOUTH AT WEST",2025-10-20T00:00:00.000
WAGNER,1,1081282,10035,1017970001,"§  27-2005 ADM CODE  PAINT METAL IN ACCORDANCE WITH DEPT. REGULATION WINDOW SILL TO WINDOW AT EAST WALL   IN THE  KITCHEN  LOCATED AT APT 5A, 5th STORY, 3rd APARTMENT FROM NORTH AT EAST",2025-10-15T00:00:00.000
JEFFERSON,1,1080704,10029,1016620001,"§ 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK AT CEILING  IN THE  KITCHEN  LOCATED AT APT 10A, 10th STORY, 2nd APARTMENT FROM NORTH AT EAST",2025-10-27T00:00:00.000
POMONOK,1,4451594,11367,4067920001,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE SOUTH WALL   IN THE  KITCHEN  LOCATED AT APT 2B, 2nd STORY, 1st APARTMENT FROM SOUTH AT WEST , SECTION ""155-09""",2025-10-15T00:00:00.000
ROOSEVELT II,24,3341752,11221,3015950024,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE THE DOOR   IN THE  1st ROOM  FROM NORTH AT EAST LOCATED AT APT 14C, 14th STORY, 1st APARTMENT FROM NORTH AT EAST",2025-09-22T00:00:00.000
WAGNER,1,1081276,10035,1017970001,"§ 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT NORTH WALL   IN THE  KITCHEN  LOCATED AT APT 4B, 4th STORY, 4th APARTMENT FROM SOUTH AT WEST",2025-10-16T00:00:00.000
RED HOOK EAST,1,3332228,11231,3005380001,"HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES IN THE  ENTIRE APARTMENT  LOCATED AT APT 6D, 6th STORY, 1st APARTMENT FROM WEST AT NORTH",2025-09-11T00:00:00.000
BAISLEY PARK,22,4529903,11434,4122350022,"§ 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE VINYL FLOOR TILES   IN THE  KITCHEN  LOCATED AT APT 1H, 1st STORY, 2nd APARTMENT FROM EAST AT SOUTH",2025-11-13T00:00:00.000
CONEY ISLAND I (SITES 4 & 5),14,3385303,11224,3070530014,"§ 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE VINYL TILES AT FLOOR   IN THE  KITCHEN  LOCATED AT APT 416B, 4th STORY, 4th APARTMENT FROM NORTH AT EAST",2025-10-09T00:00:00.000
HUGHES APARTMENTS,21,3333397,11212,3035260021,"§ 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT AT EAST WALL  IN THE  FOYER  LOCATED AT APT 8H, 8th STORY, 1st APARTMENT FROM NORTH AT EAST",2025-09-29T00:00:00.000
FARRAGUT,1,3325919,11201,3000900001,"§ 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK AT EAST WALL  IN THE  PRIVATE HALLWAY  LOCATED AT APT 7G, 7th STORY, 1st APARTMENT FROM EAST AT SOUTH",2025-10-31T00:00:00.000
WALD,1,1078058,10009,1003560001,"§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... GREATER THAN 20SQ FT AT SOUTH AND WEST WALLS AND CEILING   IN THE  BATHROOM  LOCATED AT APT 6C, 6th STORY, 1st APARTMENT FROM EAST AT SOUTH",2025-10-23T00:00:00.000
CORSI HOUSES,45,1079357,10029,1016880045,"§ 27-2005 ADM CODE  REPLACE WITH NEW THE MISSING WOOD SINK BASE CABINET   IN THE  KITCHEN  LOCATED AT APT 14G, 14th STORY, 4th APARTMENT FROM NORTH AT EAST",2025-09-25T00:00:00.000
VLADECK,1,1077529,10002,1002600001,"§ 27-2026 ADM CODE  REPAIR THE LEAKY AND/OR DEFECTIVE FAUCETS AT WASH BASIN  IN THE  BATHROOM  LOCATED AT APT 5B, 5th STORY, 1st APARTMENT FROM NORTH AT EAST",2025-09-22T00:00:00.000
WASHINGTON,1,1080681,10029,1016520001,"§ 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE VINYL FLOOR TILES  IN THE  KITCHEN  LOCATED AT APT 12A, 12th STORY, 2nd APARTMENT FROM SOUTH AT WEST",2025-11-05T00:00:00.000
TOMPKINS,1,3324255,11206,3017400001,"§ 27-2005, 27-2007, 27-2041.1 HMC, §238, § 309; § 107 (2) ( C) MDL AND 28 RCNY §25-171: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE  LATCH, AT BUILDING FRONT ENTRANCE",2025-10-01T00:00:00.000
RED HOOK EAST,1,3332224,11231,3005380001,"HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF MICE IN THE  ENTIRE APARTMENT  LOCATED AT APT 2C, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",2025-10-29T00:00:00.000
RED HOOK WEST,1,3323704,11231,3005570001,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE LIGHT FIXTURE AT CEILING  IN THE  PRIVATE HALLWAY  LOCATED AT APT 8H, 8th STORY, 1st APARTMENT FROM EAST AT SOUTH",2025-10-25T00:00:00.000
GLENMORE PLAZA,1,3326948,11212,3037090001,"§ 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE CERAMIC TILES AT NORTH WALL  IN THE  BATHROOM  LOCATED AT APT 10D, 10th STORY, 1st APARTMENT FROM EAST AT SOUTH",2025-09-24T00:00:00.000
BLAND,8,4443444,11354,4050370008,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR ALL WALLS AND CEILING   IN THE  BATHROOM  LOCATED AT APT 7B, 7th STORY, 3rd APARTMENT FROM NORTH AT EAST",2025-10-03T00:00:00.000
RAVENSWOOD,2,4430716,11106,4003350002,"§ 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT ALL WALLS AND CEILING   IN THE  ENTIRE APARTMENT  LOCATED AT APT 4H, 4th STORY, 1st APARTMENT FROM WEST AT NORTH",2025-12-01T00:00:00.000
VAN DYKE I,1,3328032,11212,3037600001,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE            CEILING,         NORTH WALL,         EAST WALL,         SOUTH WALL IN THE  1st ROOM  FROM NORTH AT EAST LOCATED AT APT 9G, 9th STORY, 1st APARTMENT FROM NORTH AT EAST",2025-11-12T00:00:00.000
BLAND,8,4443444,11354,4050370008,"§ 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT ALL WALLS  IN THE  PRIVATE HALLWAY  LOCATED AT APT 7B, 7th STORY, 3rd APARTMENT FROM NORTH AT EAST",2025-10-03T00:00:00.000
RED HOOK EAST,1,3332228,11231,3005380001,"§ 27-2026 ADM CODE  REPAIR THE FLUSHING APPARATUS AND MAINTAIN SAME SO AS TO FLUSH EFFECTIVELY THE WATER CLOSET IN THE  BATHROOM  LOCATED AT APT 6D, 6th STORY, 1st APARTMENT FROM WEST AT NORTH",2025-09-11T00:00:00.000
RANGEL,320,1084187,10039,1021060320,"HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF MICE IN THE  ENTIRE APARTMENT  LOCATED AT APT 14G, 14th STORY, 1st APARTMENT FROM SOUTH AT WEST",2025-09-16T00:00:00.000
BRONX RIVER,2,2092908,10472,2038860002,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE EAST WALL  IN THE  KITCHEN  LOCATED AT APT 14B, 14th STORY, 5th APARTMENT FROM WEST AT NORTH",2025-10-20T00:00:00.000
SOTOMAYOR HOUSES,1,2092808,10472,2037300001,"§ 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE VINYL FLOOR TILES CAUSING TRIP HAZARD  IN THE  1st ROOM  FROM EAST LOCATED AT APT 5D, 5th STORY, 2nd APARTMENT FROM SOUTH AT WEST , SECTION ""SOUTH""",2025-09-18T00:00:00.000
WALD,1,1078058,10009,1003560001,"§ 27-2043.1 HMC INSTALL THE MISSING OR REPAIR/REPLACE THE DEFECTIVE WINDOW GUARD(S) IN ACCORDANCE WITH THE SPECIFICATIONS OF THE NEW YORK CITY HEALTH CODE SECTION 24 RCNY CHAPTER 12. WG TO INSTALL = 3, WG TO REPLACE = 0, WG TO REPAIR = 0  IN THE  ENTIRE APARTMENT  LOCATED AT APT 6C, 6th STORY, 1st APARTMENT FROM EAST AT SOUTH",2025-10-23T00:00:00.000
ADAMS,1,2091989,10455,2026650001,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE BASE CABINET AT SOUTH WALL   IN THE  KITCHEN  LOCATED AT APT 5G, 5th STORY, 1st APARTMENT FROM NORTH AT EAST",2025-10-07T00:00:00.000
VLADECK,1,1077529,10002,1002600001,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE WEST WALL  IN THE  2nd ROOM  FROM EAST LOCATED AT APT 5B, 5th STORY, 1st APARTMENT FROM NORTH AT EAST",2025-09-22T00:00:00.000
JOHNSON,1,1079199,10029,1016400001,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE OUTLET AT WEST WALL  IN THE  KITCHEN  LOCATED AT APT 5B, 5th STORY, 2nd APARTMENT FROM SOUTH AT WEST",2025-09-15T00:00:00.000
CONEY ISLAND I (SITES 4 & 5),14,3385303,11224,3070530014,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE GLASS PANE AT UPPER WINDOW SASH   IN THE  2nd ROOM  FROM NORTH AT WEST LOCATED AT APT 416B, 4th STORY, 4th APARTMENT FROM NORTH AT EAST",2025-10-09T00:00:00.000
CLINTON,1,1078930,10029,1016370001,"§ 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE VINYL FLOOR TILES   IN THE  1st ROOM  FROM NORTH AT WEST LOCATED AT APT 14D, 14th STORY, 1st APARTMENT FROM NORTH AT EAST",2025-09-29T00:00:00.000
ASTORIA,101,4430779,11102,4004900101,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR ALL WALLS AND CEILING   IN THE  1st ROOM  FROM EAST AT SOUTH LOCATED AT APT 6D, 7th STORY, 1st APARTMENT FROM NORTH AT EAST",2025-10-20T00:00:00.000
RED HOOK WEST,1,3332215,11231,3005380001,"§ 27-2045(B)(1)(A) HMC, § 12-01, § 12-03 RCNY REPAIR, REPLACE OR PROVIDE AN APPROVED AND OPERATIONAL SMOKE DETECTING DEVICE, INSTALLED IN ACCORDANCE WITH DEPARTMENT OF BUILDINGS RULES AND REGULATIONS  DEFECTIVE   IN THE  ENTIRE APARTMENT  LOCATED AT APT 1D, 1st STORY, 1st APARTMENT FROM EAST AT SOUTH",2025-10-06T00:00:00.000
WAGNER,1,1081276,10035,1017970001,"§ 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK AT THE CEILING  IN THE  2nd ROOM  FROM EAST LOCATED AT APT 7D, 7th STORY, 2nd APARTMENT FROM NORTH AT EAST",2025-09-15T00:00:00.000
GLENMORE PLAZA,1,3326948,11212,3037090001,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CEILING, EAST WALL, AND NORTH WALL  IN THE  KITCHEN  LOCATED AT APT 10D, 10th STORY, 1st APARTMENT FROM EAST AT SOUTH",2025-09-24T00:00:00.000
WAGNER,1,1081276,10035,1017970001,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE ELECTRICAL OUTLET AT WEST WALL  IN THE  2nd ROOM  FROM EAST LOCATED AT APT 7D, 7th STORY, 2nd APARTMENT FROM NORTH AT EAST",2025-09-15T00:00:00.000
TILDEN,1,3326542,11212,3035760001,"§  27-2005 ADM CODE  PAINT METAL IN ACCORDANCE WITH DEPT. REGULATION DRAIN PIPE AT CEILING   IN THE  BATHROOM  LOCATED AT APT 13F, 13th STORY, 2nd APARTMENT FROM SOUTH AT WEST",2025-09-27T00:00:00.000
STAPLETON,100,5113114,10304,5005450100,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT SOUTH AND NORTH WALLS   IN THE  PRIVATE HALLWAY  LOCATED AT APT 8E, 8th STORY, 1st APARTMENT FROM NORTH AT EAST , SECTION ""e-h""",2025-10-03T00:00:00.000
FARRAGUT,1,3325908,11201,3000710001,"§ 27-2005 ADM CODE  REPLACE WITH NEW THE MISSING UPPER ESCUTCHEON PLATE AT HEAT RISER AT WEST WALL  IN THE  BATHROOM  LOCATED AT APT 8D, 8th STORY, 2nd APARTMENT FROM SOUTH AT WEST",2025-09-30T00:00:00.000
BLAND,8,4443444,11354,4050370008,"§ 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT NORTH WALL   IN THE  2nd ROOM  FROM EAST LOCATED AT APT 7B, 7th STORY, 3rd APARTMENT FROM NORTH AT EAST",2025-10-03T00:00:00.000
POMONOK,1,4451594,11367,4067920001,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE CEILING AND WEST WALL   IN THE  1st ROOM  FROM EAST AT SOUTH LOCATED AT APT 2B, 2nd STORY, 1st APARTMENT FROM SOUTH AT WEST , SECTION ""155-09""",2025-10-15T00:00:00.000
FULTON,17,1078444,10011,1007160017,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE CEILING   IN THE  KITCHEN  LOCATED AT APT 1E, 1st STORY, 1st APARTMENT FROM WEST AT NORTH , SECTION ""400w19th""",2025-09-22T00:00:00.000
WAGNER,1,1081276,10035,1017970001,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT THE CEILING AND ALL WALLS  IN THE  2nd ROOM  FROM EAST LOCATED AT APT 7D, 7th STORY, 2nd APARTMENT FROM NORTH AT EAST",2025-09-15T00:00:00.000
GLENMORE PLAZA,1,3326948,11212,3037090001,"§ 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE WOOD BASE CABINET AT EAST WALL  IN THE  KITCHEN  LOCATED AT APT 10D, 10th STORY, 1st APARTMENT FROM EAST AT SOUTH",2025-09-24T00:00:00.000
FARRAGUT,1,3325919,11201,3000900001,"§ 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT ALL WALLS AND CEILING THOUGHTOUT   IN THE  ENTIRE APARTMENT  LOCATED AT APT 1J, 1st STORY, 8th APARTMENT FROM SOUTH AT WEST",2025-12-04T00:00:00.000
TOMPKINS,1,3324255,11206,3017400001,"§ 27-2043.1 HMC INSTALL THE MISSING OR REPAIR/REPLACE THE DEFECTIVE WINDOW GUARD(S) IN ACCORDANCE WITH THE SPECIFICATIONS OF THE NEW YORK CITY HEALTH CODE SECTION 24 RCNY CHAPTER 12. WG TO INSTALL = 1, WG TO REPLACE = 0, WG TO REPAIR = 0  IN THE  ENTIRE APARTMENT  LOCATED AT APT 7C, 7th STORY, 2nd APARTMENT FROM WEST AT NORTH",2025-10-01T00:00:00.000
WHITMAN,1,3335247,11205,3020400001,"§ 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE VINYL FLOOR TILES  IN THE  2nd ROOM  FROM EAST AT NORTH LOCATED AT APT 4A, 4th STORY, 2nd APARTMENT FROM WEST AT NORTH",2025-09-24T00:00:00.000
ROOSEVELT II,24,3341752,11221,3015950024,"§ 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE CRACKED VINYL FLOOR TILES  IN THE  3rd ROOM  FROM NORTH LOCATED AT APT 14C, 14th STORY, 1st APARTMENT FROM NORTH AT EAST",2025-09-22T00:00:00.000
BAISLEY PARK,22,4529903,11434,4122350022,"§ 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK CEILING AND EAST WALL   IN THE  KITCHEN  LOCATED AT APT 1H, 1st STORY, 2nd APARTMENT FROM EAST AT SOUTH",2025-11-13T00:00:00.000
WAGNER,1,1081283,10035,1017970001,"§ 27-2026 ADM CODE  REPAIR THE LEAKY AND/OR DEFECTIVE FAUCETS AT BATHTUB  IN THE  BATHROOM  LOCATED AT APT 2F, 2nd STORY, 4th APARTMENT FROM SOUTH AT WEST",2025-10-20T00:00:00.000
RED HOOK WEST,1,3332222,11231,3005380001,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE LIGHT FIXTURE AT EAST WALL   IN THE  BATHROOM  LOCATED AT APT 3E, 3rd STORY, 1st APARTMENT FROM EAST AT SOUTH",2025-09-20T00:00:00.000
BUTLER,1,2092074,10456,2028940001,"HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES IN THE  ENTIRE APARTMENT  LOCATED AT APT 1D, 1st STORY, 1st APARTMENT FROM SOUTH AT WEST",2025-09-18T00:00:00.000
MONROE,1,2092762,10473,2036630001,"§ 27-2045(B)(1)(B) HMC, § 12-06, § 12-07, § 12-09 RCNY REPAIR, REPLACE OR PROVIDE AN APPROVED AND OPERATIONAL CARBON MONOXIDE DETECTING DEVICE, INSTALLED IN ACCORDANCE WITH APPLICABLE LAW AND RULES DEFECTIVE   IN THE  ENTIRE APARTMENT  LOCATED AT APT 4D, 4th STORY, 2nd APARTMENT FROM WEST AT NORTH",2025-10-15T00:00:00.000
RIIS,1,1077543,10009,1003670001,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT NORTH WALL  IN THE  BATHROOM  LOCATED AT APT 3D, 3rd STORY, 2nd APARTMENT FROM NORTH AT EAST",2025-09-24T00:00:00.000
RED HOOK WEST,1,3323704,11231,3005570001,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR CEILING, SOUTH AND WEST WALLS   IN THE  BATHROOM  LOCATED AT APT 7A, 7th STORY, 2nd APARTMENT FROM SOUTH AT WEST",2025-11-13T00:00:00.000
MONROE,1,2092761,10473,2036630001,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE ELECTRICAL OUTLET AT NORTH WALL  IN THE  2nd ROOM  FROM EAST LOCATED AT APT 11E, 11th STORY, 1st APARTMENT FROM WEST AT NORTH",2025-10-15T00:00:00.000
RIIS,10,1077504,10009,1003620010,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR SOUTH WALL UNDER THE SINK  IN THE  KITCHEN  LOCATED AT APT 4A, 4th STORY, 3rd APARTMENT FROM NORTH AT EAST",2025-09-19T00:00:00.000
SHEEPSHEAD BAY,1001,3344550,11235,3074051001,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR CEILING, SOUTH AND NORTH WALLS   IN THE  PRIVATE HALLWAY  LOCATED AT APT 5D, 5th STORY, 2nd APARTMENT FROM NORTH AT EAST",2025-10-08T00:00:00.000
CONEY ISLAND I (SITES 4 & 5),14,3385303,11224,3070530014,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE COUNTER BALANCE AT LOWER WINDOW SASH,  2ND WINDOW FROM NORTH AT EAST   IN THE  KITCHEN  LOCATED AT APT 416B, 4th STORY, 4th APARTMENT FROM NORTH AT EAST",2025-10-09T00:00:00.000
WAGNER,1,1081276,10035,1017970001,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT THE CEILING AND ALL WALLS   IN THE  PRIVATE HALLWAY  LOCATED AT APT 7D, 7th STORY, 2nd APARTMENT FROM NORTH AT EAST",2025-09-15T00:00:00.000
VAN DYKE I,1,3328132,11212,3037940001,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT EAST AND WEST WALLS  IN THE  PRIVATE HALLWAY  LOCATED AT APT 4H, 4th STORY, 2nd APARTMENT FROM NORTH AT EAST",2025-10-06T00:00:00.000
CLINTON,1,1078930,10029,1016370001,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE METAL AIR CONDITIONER BRACKET  IN THE  1st ROOM  FROM NORTH AT WEST LOCATED AT APT 14D, 14th STORY, 1st APARTMENT FROM NORTH AT EAST",2025-09-29T00:00:00.000
BLAND,8,4443444,11354,4050370008,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE LOWER WINDOW SASH COUNTERBALANCE AT NORTH WALL   IN THE  BATHROOM  LOCATED AT APT 7B, 7th STORY, 3rd APARTMENT FROM NORTH AT EAST",2025-10-03T00:00:00.000
WALD,1,1078054,10009,1003560001,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT SOUTH WALL  IN THE  BATHROOM  LOCATED AT APT 12C, 12th STORY, 1st APARTMENT FROM WEST AT NORTH",2025-09-24T00:00:00.000
WSUR (BROWNSTONES),21,1081768,10024,1012040021,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE BASE CABINET AT SOUTH WALL   IN THE  KITCHEN  LOCATED AT APT 1A, 2nd STORY, 1st APARTMENT FROM SOUTH AT WEST",2025-10-31T00:00:00.000
RAVENSWOOD,2,4430706,11106,4003350002,"§ 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE VINYL TILES FLOOR   IN THE  PRIVATE HALLWAY  LOCATED AT APT 1B, 1st STORY, 1st APARTMENT FROM EAST AT SOUTH , SECTION ""353521st""",2025-09-22T00:00:00.000
LAFAYETTE,1,3321868,11238,3019380001,"§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CEILING   IN THE  KITCHEN  LOCATED AT APT 2G, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",2025-10-21T00:00:00.000
MONROE,1,2092761,10473,2036630001,"§ 27-2026 ADM CODE  REMOVE ALL OBSTRUCTIONS AND REPAIR ALL DEFECTS IN DRAIN LINE AT THE BATHTUB   IN THE  BATHROOM  LOCATED AT APT 11E, 11th STORY, 1st APARTMENT FROM WEST AT NORTH",2025-10-15T00:00:00.000
