male_1,ell_arabic_1,ela_level_3_1,white_1,hispanic_1,ela_test_takers,math_level_4_1,ell_russian,black_1,ell_korean,ela_level_4,math_l3_l4_1,other_1
37.0%,,37.2%,50.4%,19.0%,293,30.1%,,13.5%,,174,71.3%,8.4%
45.8%,,36.8%,s,69.8%,95,s,,25.9%,,s,s,s
s,s,s,s,83.3%,7,s,s,s,s,s,s,s
40.0%,,s,s,46.7%,s,s,,s,,s,s,s
61.4%,s,s,s,93.2%,s,s,s,s,s,s,s,s
55.9%,,s,2.5%,59.3%,57,s,,30.0%,,s,s,2.3%
51.3%,,s,s,59.0%,10,s,,38.5%,,s,s,s
s,,,s,s,,,,s,,,,s
s,,s,s,52.9%,s,s,,41.2%,,s,s,s
42.9%,,,s,63.6%,,,,31.4%,,,,s
37.5%,,s,s,50.0%,15,s,,44.6%,,s,s,s
48.5%,,s,7.8%,57.0%,s,s,,31.3%,,s,s,s
67.1%,,s,s,86.1%,16,s,,13.9%,,s,s,s
44.8%,,45.7%,s,72.4%,81,s,,22.1%,,s,s,s
87.3%,s,s,s,97.3%,38,s,s,s,s,s,s,s
s,,35.4%,s,34.6%,48,s,,56.5%,,s,s,4.2%
s,s,,s,s,,,s,s,s,,,s
52.9%,,,s,47.1%,,,,52.9%,,,,s
57.4%,,,s,44.9%,,,,29.7%,,,,s
79.2%,,26.7%,5.4%,62.5%,75,s,,21.8%,,9,s,2.8%
s,,s,s,s,s,s,,s,,s,s,s
46.2%,,33.3%,4.6%,41.9%,42,s,,19.9%,,s,s,2.4%
70.5%,,45.8%,60.3%,30.8%,24,31.6%,,s,,9,s,s
s,,s,s,72.7%,s,s,,s,,s,s,s
44.1%,,s,s,76.5%,s,s,,s,,s,s,s
s,,,s,s,,,,s,,,,s
58.2%,,s,11.4%,36.7%,21,s,,41.8%,,s,s,s
44.3%,,,s,51.2%,,,,40.8%,,,,s
43.3%,s,s,s,70.0%,9,s,s,s,s,s,s,s
47.4%,,s,s,92.5%,11,s,,6.8%,,s,s,s
37.7%,,40.5%,5.8%,11.6%,84,40.0%,,5.5%,,47,83.6%,3.2%
68.4%,,s,s,89.5%,s,s,,s,,s,s,s
60.0%,2.6%,,s,35.5%,,,s,31.1%,s,,,s
48.6%,,47.5%,55.4%,13.3%,99,39.3%,,4.4%,,40,71.4%,7.2%
55.6%,,,s,55.6%,,,,44.4%,,,,s
39.3%,,s,s,42.1%,6,s,,52.3%,,s,s,s
65.9%,,s,s,48.8%,6,s,,47.6%,,s,s,s
62.0%,,s,s,62.0%,6,s,,28.0%,,s,s,s
45.3%,,,13.6%,42.1%,,,,37.3%,,,,2.4%
46.7%,,s,s,40.0%,16,s,,44.4%,,s,s,s
s,,s,s,s,s,s,,s,,s,s,s
53.8%,,,s,48.7%,,,,26.9%,,,,s
59.0%,,s,s,55.4%,s,s,,25.3%,,s,s,s
45.8%,,30.4%,s,61.3%,115,s,,34.5%,,10,s,s
57.1%,s,s,s,85.7%,s,s,s,s,s,s,s,s
s,s,,s,100.0%,,,s,s,s,,,s
24.0%,,,s,40.0%,,,,56.0%,,,,s
66.7%,,s,s,54.3%,15,s,,40.7%,,s,s,s
57.9%,,s,s,75.8%,24,s,,20.0%,,s,s,s
s,,s,s,50.0%,s,s,,50.0%,,s,s,s
53.3%,,s,s,66.7%,s,s,,s,,s,s,s
45.8%,,32.3%,s,29.5%,65,s,,65.7%,,s,s,s
48.0%,,s,s,52.0%,s,s,,32.0%,,s,s,s
68.1%,,s,s,90.3%,13,s,,8.3%,,s,s,s
60.9%,,s,s,26.1%,s,s,,65.2%,,s,s,s
s,,s,s,s,s,s,,43.8%,,s,s,s
43.4%,,47.9%,s,73.4%,71,s,,21.3%,,s,s,s
59.6%,s,s,s,66.0%,9,s,s,s,s,s,s,s
48.2%,,s,s,14.3%,s,s,,76.8%,,s,s,s
46.7%,,s,s,73.3%,s,s,,s,,s,s,s
58.7%,s,s,s,21.7%,16,s,s,s,s,s,s,s
58.8%,,s,s,70.6%,15,s,,27.5%,,s,s,s
47.3%,,31.2%,s,53.8%,77,s,,38.1%,,s,s,s
52.0%,,s,s,85.7%,59,s,,11.6%,,s,s,s
46.8%,,s,s,23.4%,s,s,,14.9%,,s,s,s
63.5%,,,s,38.1%,,,,60.3%,,,,s
57.1%,s,s,s,82.1%,10,s,s,s,s,s,s,s
43.5%,,s,s,96.8%,12,s,,s,,s,s,s
61.0%,,s,s,47.5%,14,s,,30.5%,,s,s,s
59.6%,,s,s,72.3%,s,s,,21.3%,,s,s,s
66.7%,,s,s,49.3%,s,s,,42.7%,,s,s,s
49.3%,,,5.5%,50.7%,,,,39.0%,,,,s
36.4%,,,s,40.9%,,,,59.1%,,,,s
53.3%,,s,s,33.3%,7,s,,66.7%,,s,s,s
48.6%,,s,s,64.3%,12,s,,27.1%,,s,s,s
s,,s,s,s,s,s,,s,,s,s,s
40.9%,,,2.7%,57.7%,,,,38.3%,,,,s
52.5%,,s,s,59.0%,s,s,,37.7%,,s,s,s
40.8%,,s,s,55.1%,18,s,,42.9%,,s,s,s
53.2%,,s,s,62.5%,87,s,,36.0%,,s,s,s
