address_1,latitude,longitude,wholesale_club_supercenter_1,_3rd_largest_property_use_1,third_party_certification_2,nyc_borough_block_and_lot,hospital_general_medical_5,medical_office_weekly,last_modified_date_electric,alert_energy_meter_has,council_district,energy_star_score,electricity_use_generated_2,source_eui_kbtu_ft,estimated_data_flag_fuel_2,multifamily_housing_number_1,multifamily_housing_number_7,multifamily_housing_total_1,property_gfa_calculated_1,fuel_oil_4_use_kbtu,hospital_general_medical_8,fuel_oil_5_6_use_kbtu,estimated_values_energy,postcode,avoided_emissions_offsite,release_date,_3rd_largest_property_use,leed_us_project_id,municipally_supplied_potable_2,data_center_pdu_input_meter,electricity_use_grid_purchase_1,construction_status,enclosed_mall_gross_floor,hospital_general_medical_11,primary_property_type,data_quality_checker_date,property_gfa_calculated,annual_maximum_demand_mm,parking_completely_enclosed,medical_office_number_of_2,convention_center_gross_floor,metered_areas_energy,supermarket_grocery_gross,municipally_supplied_potable_3,multifamily_housing_total,other_gross_floor_area_ft,national_median_source_eui
321 East 96th Street,40.783638,-73.945626,Not Available,Not Available,Not Available,1015580034,Not Available,Not Available,04/13/2020 05:45 PM EDT,Ok,8.0,35,Not Available,144.8,Not Available,Not Available,Not Available,Not Available,112800.0,Not Available,Not Available,Not Available,No,10128,0,2020-08-28T16:28:36.000,Not Available,Not Available,50625.2,Not Available,1039599.9,Existing,Not Available,Not Available,K-12 School,Not Available,112800.0,08/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,124.5
22 East 128th Street,40.807987,-73.940061,Not Available,Not Available,Not Available,1017520059,Not Available,Not Available,04/13/2020 05:45 PM EDT,Ok,9.0,71,Not Available,106,No,Not Available,Not Available,Not Available,52880.0,2628540.2,Not Available,Not Available,No,10035,0,2020-08-28T16:28:36.000,Not Available,Not Available,Not Available,Not Available,292159.9,Existing,Not Available,Not Available,K-12 School,Not Available,52880.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,133.5
2163 Dean Street,40.675024,-73.915778,Not Available,Not Available,Not Available,3014400056,Not Available,Not Available,04/14/2020 02:38 PM EDT,Ok,41.0,67,Not Available,122.3,Not Available,Not Available,Not Available,Not Available,93600.0,Not Available,Not Available,Not Available,No,11233,0,2020-08-28T16:28:36.000,Not Available,Not Available,18843.5,Not Available,519839.9,Existing,Not Available,Not Available,K-12 School,Not Available,93600.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,147.8
888 Seventh Ave,40.765015,-73.980416,Not Available,72752,Not Available,1010280029,Not Available,Not Available,07/28/2020 06:10 PM EDT,Ok,4.0,60,Not Available,212.3,Not Available,Not Available,Not Available,Not Available,848010.0,Not Available,Not Available,Not Available,No,10019,0,2020-07-30T09:14:58.000,Parking,Not Available,17936.2,Not Available,13321738,Existing,Not Available,Not Available,Mixed Use Property,2020-07-30,920762.0,Not Available,72752,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,244.2
31-51 21st Street,40.766264,-73.930709,Not Available,Not Available,Not Available,4005530001,Not Available,Not Available,04/10/2020 04:27 PM EDT,Ok,22.0,79,Not Available,82.1,No,Not Available,Not Available,Not Available,139325.0,7333054.4,Not Available,Not Available,No,11106,0,2020-08-28T16:28:36.000,Not Available,Not Available,Not Available,Not Available,379599.9,Existing,Not Available,Not Available,K-12 School,Not Available,139325.0,10/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,116.7
35-01 Union Street,40.765166,-73.82789,Not Available,Not Available,Not Available,4050020001,Not Available,Not Available,04/10/2020 04:27 PM EDT,Ok,20.0,73,Not Available,108.4,No,Not Available,Not Available,Not Available,276250.0,17122003.7,Not Available,Not Available,No,11354,0,2020-08-28T16:28:36.000,Not Available,Not Available,5377.6,Not Available,1303279.7,Existing,Not Available,Not Available,K-12 School,Not Available,276250.0,07/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,141.3
40-20 235th Street,40.769271,-73.749369,Not Available,Not Available,Not Available,4080820285,Not Available,Not Available,04/10/2020 04:27 PM EDT,Ok,19.0,59,Not Available,106.3,Not Available,Not Available,Not Available,Not Available,44460.0,Not Available,Not Available,Not Available,No,11363,0,2020-08-28T16:28:36.000,Not Available,Not Available,3933.8,Not Available,188800,Existing,Not Available,Not Available,K-12 School,Not Available,44460.0,06/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,117.0
990 Dekalb Avenue,40.693161,-73.935765,Not Available,Not Available,Not Available,3016020019,Not Available,Not Available,04/14/2020 02:37 PM EDT,Ok,36.0,84,Not Available,80.9,Not Available,Not Available,Not Available,Not Available,130800.0,Not Available,Not Available,Not Available,No,11221,0,2020-08-28T16:28:36.000,Not Available,Not Available,20011.1,Not Available,461199.9,Existing,Not Available,Not Available,K-12 School,Not Available,130800.0,07/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,123.3
163-15 21st Road,40.778095,-73.800163,Not Available,Not Available,Not Available,4057560001,Not Available,Not Available,04/10/2020 04:27 PM EDT,Ok,19.0,86,Not Available,76.8,No,Not Available,Not Available,Not Available,68400.0,Not Available,Not Available,Not Available,No,11357,0,2020-08-28T16:28:36.000,Not Available,Not Available,Not Available,Not Available,283200,Existing,Not Available,Not Available,K-12 School,Not Available,68400.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,122.5
216 Clawson Street,40.574044,-74.109282,Not Available,Not Available,Not Available,5036450007,Not Available,Not Available,04/17/2020 12:54 PM EDT,Ok,50.0,61,Not Available,105.8,No,Not Available,Not Available,Not Available,78100.0,4453145.9,Not Available,Not Available,No,10306,0,2020-08-28T16:28:36.000,Not Available,Not Available,Not Available,Not Available,359199.9,Existing,Not Available,Not Available,K-12 School,Not Available,78100.0,10/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,119.3
509 West 129th Street,40.815256,-73.955325,Not Available,Not Available,Not Available,1019840033,Not Available,Not Available,04/13/2020 05:47 PM EDT,Ok,7.0,71,Not Available,116.9,Not Available,Not Available,Not Available,Not Available,151280.0,Not Available,Not Available,Not Available,No,10027,0,2020-08-28T16:28:36.000,Not Available,Not Available,Not Available,Not Available,806399.9,Existing,Not Available,Not Available,K-12 School,Not Available,151280.0,11/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,147.0
93-11 34th Avenue,40.754837,-73.874605,Not Available,Not Available,Not Available,4014410015,Not Available,Not Available,04/10/2020 04:27 PM EDT,Ok,25.0,66,Not Available,108.3,Not Available,Not Available,Not Available,Not Available,112900.0,Not Available,Not Available,Not Available,No,11372,0,2020-05-01T21:54:16.000,Not Available,Not Available,7776.7,Not Available,750399.9,Existing,Not Available,Not Available,K-12 School,Not Available,112900.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,129.3
101 Park Avenue,40.696324,-73.97578,Not Available,Not Available,Not Available,3020280001,Not Available,Not Available,04/14/2020 02:39 PM EDT,Ok,35.0,93,Not Available,69.7,No,Not Available,Not Available,Not Available,166800.0,Not Available,Not Available,Not Available,No,11205,0,2020-08-28T16:28:36.000,Not Available,Not Available,Not Available,Not Available,795399.9,Existing,Not Available,Not Available,K-12 School,Not Available,166800.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,135.3
1 New York Plaza,40.70254,-74.012562,Not Available,4894,Not Available,1-00004-7501,Not Available,Not Available,04/14/2020 12:16 PM EDT,Ok,1.0,61,Not Available,204.5,Not Available,Not Available,Not Available,Not Available,2542563.0,Not Available,Not Available,Not Available,No,10004,0,2020-05-01T17:41:48.000,Data Center,Not Available,56259.1,0,37667941.4,Existing,Not Available,Not Available,Office,Not Available,2611263.0,Not Available,68700,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,238.6
1133 Avenue of the Americas,40.755942,-73.983324,Not Available,44888,Not Available,1009960029,Not Available,Not Available,04/29/2020 01:05 PM EDT,Ok,4.0,76,Not Available,170.4,Not Available,Not Available,Not Available,Not Available,977035.0,Not Available,Not Available,Not Available,No,10036,0,2020-05-28T11:31:28.000,Parking,Not Available,Not Available,Not Available,15222570,Existing,Not Available,Not Available,Office,Not Available,1021923.0,Not Available,25807,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,251.6
1695 Seward Avenue,40.818467,-73.868372,Not Available,Not Available,Not Available,2035910050,Not Available,Not Available,04/10/2020 05:35 PM EDT,Ok,18.0,68,Not Available,103.4,Not Available,Not Available,Not Available,Not Available,88925.0,Not Available,Not Available,Not Available,No,10473,0,2020-08-28T16:28:36.000,Not Available,Not Available,Not Available,Not Available,387200,Existing,Not Available,Not Available,K-12 School,Not Available,88925.0,10/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,125.3
300 Adelphi Street,40.688811,-73.971009,Not Available,Not Available,Not Available,3021030004,Not Available,Not Available,04/14/2020 02:38 PM EDT,Ok,35.0,78,Not Available,87.1,No,Not Available,Not Available,Not Available,176400.0,8236298,Not Available,Not Available,No,11205,0,2020-05-01T21:54:16.000,Not Available,Not Available,Not Available,Not Available,699599.9,Existing,Not Available,Not Available,K-12 School,Not Available,176400.0,06/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,121.4
67-25 51st Road,40.734294,-73.897557,Not Available,Not Available,Not Available,4024230001,Not Available,Not Available,08/19/2020 09:02 AM EDT,Ok,30.0,58,Not Available,118.3,No,Not Available,Not Available,Not Available,132175.0,0,Not Available,Not Available,No,11377,0,2020-08-28T16:28:36.000,Not Available,Not Available,7157,Not Available,1012879.9,Existing,Not Available,Not Available,K-12 School,Not Available,132175.0,05/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,129.6
9517 Kings Highway,40.65911,-73.920368,Not Available,Not Available,Not Available,3046500015,Not Available,Not Available,04/17/2020 10:27 AM EDT,Ok,41.0,20,Not Available,173.7,Not Available,Not Available,Not Available,Not Available,26510.0,Not Available,Not Available,Not Available,No,11212,0,2020-08-28T16:28:36.000,Not Available,Not Available,1964.1,Not Available,265040,Existing,Not Available,Not Available,K-12 School,Not Available,26510.0,06/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,126.8
2007 Mapes Avenue,40.844748,-73.887151,Not Available,Not Available,Not Available,2031060028,Not Available,Not Available,04/10/2020 05:34 PM EDT,Ok,17.0,Not Available,Not Available,120.4,Not Available,Not Available,Not Available,Not Available,9600.0,Not Available,Not Available,Not Available,No,10460,0,2020-08-28T16:28:36.000,Not Available,Not Available,Not Available,Not Available,89120,Existing,Not Available,Not Available,Other - Education,Not Available,9600.0,07/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,110.4
1355 Herkimer Street,40.677415,-73.908734,Not Available,Not Available,Not Available,3015520043,Not Available,Not Available,04/14/2020 02:37 PM EDT,Ok,37.0,40,Not Available,122.3,Not Available,Not Available,Not Available,Not Available,81600.0,Not Available,Not Available,Not Available,No,11233,0,2020-08-28T16:28:36.000,Not Available,Not Available,793.2,Not Available,368000,Existing,Not Available,Not Available,K-12 School,Not Available,81600.0,01/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,111.7
8 Henry Street,40.71276,-73.997489,Not Available,Not Available,Not Available,1002790040,Not Available,Not Available,04/13/2020 05:46 PM EDT,Ok,1.0,70,Not Available,102.3,Not Available,Not Available,Not Available,Not Available,87680.0,Not Available,Not Available,Not Available,No,10038,0,2020-08-28T16:28:36.000,Not Available,Not Available,0,Not Available,505999.9,Existing,Not Available,Not Available,K-12 School,Not Available,87680.0,07/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,128.4
195-02 69th Avenue,40.736922,-73.77799,Not Available,Not Available,Not Available,4071170421,Not Available,Not Available,04/10/2020 04:27 PM EDT,Ok,23.0,44,Not Available,100.3,No,Not Available,Not Available,Not Available,103300.0,Not Available,Not Available,Not Available,No,11365,0,2020-05-01T21:54:16.000,Not Available,Not Available,Not Available,Not Available,373200,Existing,Not Available,Not Available,K-12 School,Not Available,103300.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,94.8
301 West 140th Street,40.819767,-73.944433,Not Available,Not Available,Not Available,1020420035,Not Available,Not Available,04/13/2020 05:47 PM EDT,Ok,9.0,87,Not Available,79,No,Not Available,Not Available,Not Available,141725.0,Not Available,Not Available,Not Available,No,10030,0,2020-08-28T16:28:36.000,Not Available,Not Available,Not Available,Not Available,688399.9,Existing,Not Available,Not Available,K-12 School,Not Available,141725.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,127.9
97-25 108th Street,40.68867,-73.836205,Not Available,Not Available,Not Available,4094100001,Not Available,Not Available,04/17/2020 12:54 PM EDT,Ok,28.0,53,Not Available,122.2,Not Available,Not Available,Not Available,Not Available,107464.0,Not Available,Not Available,Not Available,No,11419,0,2020-08-28T16:28:36.000,Not Available,Not Available,696005.5,Not Available,791999.9,Existing,Not Available,Not Available,K-12 School,Not Available,107464.0,07/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,126.6
84-40 101st Street,40.697961,-73.84796,Not Available,Not Available,Not Available,4091770023,Not Available,Not Available,04/17/2020 12:54 PM EDT,Ok,32.0,34,Not Available,157.8,Not Available,Not Available,Not Available,Not Available,98346.0,Not Available,Not Available,Not Available,No,11418,0,2020-08-28T16:28:36.000,Not Available,Not Available,Not Available,Not Available,1070399.9,Existing,Not Available,Not Available,K-12 School,Not Available,98346.0,05/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,135.0
153-33 Sanford Avenue,40.761249,-73.811808,Not Available,Not Available,Not Available,4053280001,Not Available,Not Available,08/19/2020 08:50 AM EDT,Ok,20.0,84,Not Available,86.2,No,Not Available,Not Available,Not Available,78225.0,2924234.1,Not Available,Not Available,No,11355,0,2020-08-28T16:28:36.000,Not Available,Not Available,2848.5,Not Available,389240,Existing,Not Available,Not Available,K-12 School,Not Available,78225.0,10/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,131.4
1700 Fulton Street,40.67944,-73.932407,Not Available,Not Available,Not Available,3017010001,Not Available,Not Available,04/14/2020 02:37 PM EDT,Ok,36.0,67,544407.6,98.9,Not Available,Not Available,Not Available,Not Available,460800.0,Not Available,Not Available,Not Available,No,11213,0,2020-08-28T16:28:36.000,Not Available,Not Available,20732.4,Not Available,2541962.8,Existing,Not Available,Not Available,K-12 School,Not Available,460800.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,119.0
1537 Washington Avenue,40.838288,-73.902987,Not Available,Not Available,Not Available,2029030023,Not Available,Not Available,04/10/2020 05:35 PM EDT,Ok,16.0,94,Not Available,72.6,Not Available,Not Available,Not Available,Not Available,78175.0,Not Available,Not Available,Not Available,No,10457,0,2020-08-28T16:28:36.000,Not Available,Not Available,Not Available,Not Available,334560,Existing,Not Available,Not Available,K-12 School,Not Available,78175.0,06/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,141.7
71 Sand Lane,40.597679,-74.071529,Not Available,Not Available,Not Available,5030970014,Not Available,Not Available,04/17/2020 12:54 PM EDT,Ok,50.0,73,Not Available,107.3,Not Available,Not Available,Not Available,Not Available,51680.0,Not Available,Not Available,Not Available,No,10305,0,2020-05-01T21:54:16.000,Not Available,Not Available,12539.7,Not Available,298400,Existing,Not Available,Not Available,K-12 School,Not Available,51680.0,07/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,139.4
2545 Gunther Avenue,40.863735,-73.83607,Not Available,Not Available,Not Available,2044930001,Not Available,Not Available,04/10/2020 05:35 PM EDT,Ok,13.0,90,182039.9,69,No,Not Available,Not Available,Not Available,188575.0,Not Available,Not Available,Not Available,No,10469,0,2020-08-28T16:28:36.000,Not Available,Not Available,Not Available,Not Available,631999.9,Existing,Not Available,Not Available,K-12 School,Not Available,188575.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,120.7
131-10 97th Avenue,40.694004,-73.816617,Not Available,Not Available,Not Available,4094770001,Not Available,Not Available,04/17/2020 12:54 PM EDT,Ok,28.0,67,Not Available,94.5,No,Not Available,Not Available,Not Available,79177.0,1396344.2,Not Available,Not Available,No,11419,0,2020-08-28T16:28:36.000,Not Available,Not Available,2391.6,Not Available,509199.9,Existing,Not Available,Not Available,K-12 School,Not Available,79177.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,113.9
234 West 109th Street,40.802917,-73.965613,Not Available,Not Available,Not Available,1018800013,Not Available,Not Available,04/13/2020 05:46 PM EDT,Ok,7.0,81,Not Available,85.9,Not Available,Not Available,Not Available,Not Available,144125.0,Not Available,Not Available,Not Available,No,10025,0,2020-08-28T16:28:36.000,Not Available,Not Available,Not Available,Not Available,654879.9,Existing,Not Available,Not Available,K-12 School,Not Available,144125.0,06/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,124.1
984 Faile Street,40.822719,-73.889435,Not Available,Not Available,Not Available,2027470001,Not Available,Not Available,04/10/2020 05:36 PM EDT,Ok,17.0,82,Not Available,95.2,Not Available,Not Available,Not Available,Not Available,130925.0,Not Available,Not Available,Not Available,No,10459,0,2020-08-28T16:28:36.000,Not Available,Not Available,Not Available,Not Available,523999.9,Existing,Not Available,Not Available,K-12 School,Not Available,130925.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,139.8
5800 Tilden Avenue,40.648657,-73.922171,Not Available,Not Available,Not Available,3047420001,Not Available,Not Available,04/17/2020 10:28 AM EDT,Ok,45.0,70,Not Available,98.7,Not Available,Not Available,Not Available,Not Available,296400.0,Not Available,Not Available,Not Available,No,11203,0,2020-08-28T16:28:36.000,Not Available,Not Available,343.6,Not Available,1213599.9,Existing,Not Available,Not Available,K-12 School,Not Available,296400.0,10/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,122.2
219 East 109th Street,40.793194,-73.942548,Not Available,Not Available,Not Available,1016590012,Not Available,Not Available,04/13/2020 05:45 PM EDT,Ok,8.0,57,Not Available,122.3,No,Not Available,Not Available,Not Available,94900.0,6443126.1,Not Available,Not Available,No,10029,0,2020-08-28T16:28:36.000,Not Available,Not Available,Not Available,Not Available,529799.9,Existing,Not Available,Not Available,K-12 School,Not Available,94900.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,132.7
1940 Benson Avenue,40.603188,-74.001408,Not Available,Not Available,Not Available,3064070008,Not Available,Not Available,04/17/2020 10:28 AM EDT,Ok,43.0,71,Not Available,93.7,Not Available,Not Available,Not Available,Not Available,122400.0,Not Available,Not Available,Not Available,No,11214,0,2020-08-28T16:28:36.000,Not Available,Not Available,8035.6,Not Available,611999.9,Existing,Not Available,Not Available,K-12 School,Not Available,122400.0,06/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,118.4
125 East 181st Street,40.854872,-73.903458,Not Available,Not Available,Not Available,2031700001,Not Available,Not Available,04/10/2020 05:36 PM EDT,Ok,14.0,30,Not Available,139.2,Not Available,Not Available,Not Available,Not Available,182400.0,Not Available,Not Available,Not Available,No,10453,0,2020-08-28T16:28:36.000,Not Available,Not Available,9945.8,Not Available,1853999.6,Existing,Not Available,Not Available,K-12 School,Not Available,182400.0,03/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,114.2
121-15 Lucas Street,40.68588,-73.757319,Not Available,Not Available,Not Available,4126720001,Not Available,Not Available,04/17/2020 12:53 PM EDT,Ok,27.0,33,Not Available,138.6,Not Available,Not Available,Not Available,Not Available,66060.0,Not Available,Not Available,Not Available,No,11413,0,2020-05-01T21:54:16.000,Not Available,Not Available,6051.6,Not Available,515999.9,Existing,Not Available,Not Available,K-12 School,Not Available,66060.0,07/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,116.7
415 Madison Avenue,40.756808,-73.976343,Not Available,Not Available,Not Available,1012840021,Not Available,Not Available,03/23/2020 06:37 PM EDT,Ok,4.0,84,Not Available,127.9,Not Available,Not Available,Not Available,Not Available,237258.0,Not Available,Not Available,Not Available,No,10017,0,2020-05-28T14:22:11.000,Not Available,Not Available,2473.7,Not Available,2772586.4,Existing,Not Available,Not Available,Office,2020-05-28,237258.0,Not Available,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,222.8
100 Lindenwood Road,40.547983,-74.152048,Not Available,Not Available,Not Available,5052210001,Not Available,Not Available,04/17/2020 12:53 PM EDT,Ok,51.0,81,Not Available,81.4,Not Available,Not Available,Not Available,Not Available,72060.0,Not Available,Not Available,Not Available,No,10308,0,2020-08-28T16:28:36.000,Not Available,Not Available,6698.2,Not Available,271800,Existing,Not Available,Not Available,K-12 School,Not Available,72060.0,06/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,119.5
60 Broad Street,40.705351,-74.011502,Not Available,Not Available,Not Available,1000240001,Not Available,Not Available,05/04/2020 02:09 AM EDT,Ok,1.0,68,Not Available,157.7,Not Available,Not Available,Not Available,Not Available,1072213.0,Not Available,Not Available,Not Available,No,10004,0,2020-05-06T14:16:06.000,Not Available,Not Available,Not Available,Not Available,12767199.4,Existing,Not Available,Not Available,Office,2020-05-06,1072213.0,Not Available,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,203.6
91-37 222nd Street,40.727134,-73.735077,Not Available,Not Available,Not Available,4107560001,Not Available,Not Available,04/17/2020 12:53 PM EDT,Ok,23.0,59,Not Available,97.7,Not Available,Not Available,Not Available,Not Available,138275.0,Not Available,Not Available,Not Available,No,11428,0,2020-08-28T16:28:36.000,Not Available,Not Available,16534.5,Not Available,785599.9,Existing,Not Available,Not Available,K-12 School,Not Available,138275.0,05/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,107.5
143-26 101st Avenue,40.695238,-73.807364,Not Available,Not Available,Not Available,4100240012,Not Available,Not Available,04/17/2020 12:54 PM EDT,Ok,28.0,14,Not Available,167.2,Not Available,Not Available,Not Available,Not Available,120984.0,Not Available,Not Available,Not Available,No,11435,0,2020-08-28T16:28:36.000,Not Available,Not Available,660.3,Not Available,1338799.8,Existing,Not Available,Not Available,K-12 School,Not Available,120984.0,07/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,111.3
245 Park Avenue,40.754826,-73.975683,Not Available,4922,Not Available,1013010001,Not Available,Not Available,06/06/2020 10:01 PM EDT,Ok,4.0,55,Not Available,229.6,Not Available,Not Available,Not Available,Not Available,1592125.0,Not Available,Not Available,Not Available,No,10167,0,2020-06-17T16:53:11.000,Data Center,Not Available,Not Available,0,29289911.1,Existing,Not Available,Not Available,Office,Not Available,1592125.0,Not Available,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,245.7
1 United Nations Plaza,40.750441,-73.968676,Not Available,5146,Not Available,1-01337-7502,Not Available,Not Available,06/11/2020 11:20 AM EDT,Ok,4.0,51,Not Available,228.8,Not Available,Not Available,Not Available,Not Available,587000.0,Not Available,Not Available,Not Available,No,10017,0,2020-07-08T13:41:07.000,Bank Branch,Not Available,22432.9,Not Available,10353625.5,Existing,Not Available,Not Available,Office,Not Available,587000.0,Not Available,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,233.0
5010 6th Avenue,40.64366,-74.008252,Not Available,Not Available,Not Available,3007920026,Not Available,Not Available,04/14/2020 02:36 PM EDT,Ok,38.0,70,Not Available,103.9,Not Available,Not Available,Not Available,Not Available,114000.0,Not Available,Not Available,Not Available,No,11220,0,2020-08-28T16:28:36.000,Not Available,Not Available,4762,Not Available,636479.9,Existing,Not Available,Not Available,K-12 School,Not Available,114000.0,10/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,130.5
745 Fifth Ave.,40.763326,-73.973695,Not Available,30032,Not Available,1-01293-0069,Not Available,Not Available,06/14/2020 08:40 PM EDT,Ok,4.0,64,Not Available,190.8,Not Available,Not Available,Not Available,Not Available,537135.0,Not Available,Not Available,Not Available,No,10151,0,2020-07-22T10:38:09.000,Other - Entertainment/Public Assembly,1000085267,Not Available,0,8996049.9,Existing,Not Available,Not Available,Office,Not Available,537135.0,Not Available,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,228.4
1077 Remsen Avenue,40.642545,-73.908529,Not Available,Not Available,Not Available,3081600022,Not Available,Not Available,04/17/2020 10:27 AM EDT,Ok,46.0,75,Not Available,95.2,Not Available,Not Available,Not Available,Not Available,124800.0,Not Available,Not Available,Not Available,No,11236,0,2020-08-28T16:28:36.000,Not Available,Not Available,5584.3,Not Available,703099.9,Existing,Not Available,Not Available,K-12 School,Not Available,124800.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,126.8
2675 East 29th Street,40.58792,-73.940532,Not Available,Not Available,Not Available,3074740001,Not Available,Not Available,04/17/2020 10:27 AM EDT,Ok,48.0,59,Not Available,102.8,No,Not Available,Not Available,Not Available,109200.0,Not Available,Not Available,Not Available,No,11235,0,2020-05-01T21:54:16.000,Not Available,Not Available,8695.8,Not Available,483840,Existing,Not Available,Not Available,K-12 School,Not Available,109200.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,113.5
1301 8th Avenue,40.663251,-73.981289,Not Available,Not Available,Not Available,3011010001,Not Available,Not Available,04/14/2020 02:37 PM EDT,Ok,39.0,89,Not Available,73.1,Not Available,Not Available,Not Available,Not Available,48060.0,Not Available,Not Available,Not Available,No,11215,0,2020-08-28T16:28:36.000,Not Available,Not Available,Not Available,Not Available,173920,Existing,Not Available,Not Available,K-12 School,Not Available,48060.0,06/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,125.9
165 Brown Place,40.806351,-73.921196,Not Available,Not Available,Not Available,2022800040,Not Available,Not Available,08/18/2020 01:39 PM EDT,Ok,8.0,85,Not Available,92.5,Not Available,Not Available,Not Available,Not Available,116460.0,Not Available,Not Available,Not Available,No,10454,0,2020-08-28T16:28:36.000,Not Available,Not Available,12115.4,Not Available,606799.9,Existing,Not Available,Not Available,K-12 School,Not Available,116460.0,09/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,144.3
86-02 127th Street,40.70292,-73.824221,Not Available,Not Available,Not Available,4092800001,Not Available,Not Available,04/17/2020 12:54 PM EDT,Ok,29.0,72,Not Available,92.2,Not Available,Not Available,Not Available,Not Available,69660.0,Not Available,Not Available,Not Available,No,11411,0,2020-08-28T16:28:36.000,Not Available,Not Available,1524.9,Not Available,290880,Existing,Not Available,Not Available,K-12 School,Not Available,69660.0,10/2019,Not Available,Not Available,Not Available,Whole Property,Not Available,Not Available,Not Available,Not Available,118.3
