q1_1,q10_r2_c2,q23_c3_r4,q13_1,q15_c11_r4,q10_r3_c1,q21_c2_r4,q17_c5_r1,q9_19,q23_c5_r4,q18_c2_r1,q20_c3_r4,q18_c3_r3,q3_3,q6_1,q14_c1_r2,q20_c10_r3,q20_c1_r3,q21_c11_r2,q21_c8_r2,q15_c9_r4,q17_c12_r1,q17_c3_r1,q15_c8_r2,q17_c6_r4,q18_c5_r4,q17_c11_r4,q18_c8_r1,q17_c7_r1,q9_17,q21_c13_r4,q18_c7_r3,q21_c9_r2,q15_c2_r2,q15_c6_r2,q18_c7_r1,q17_c7_r4,q18_c3_r1,q17_c6_r1,q18_c1_r3,q17_c5_r4,q15_c4_r4,q21_c7_r2,q20_c10_r4,q20_c10_r1,q17_c1_r1,q18_c10_r3,q9_16,q23_c1_r4,q12_c1_r4,q15_c10_r3,q8_r4_c2,q15_c4_r2,q18_c4_r3,q21_c4_r3,q20_c10_r2,q18_c7_r4,q11_r1_c2,q21_c10_r3,q22_1,q21_c6_r4,q15_c11_r3,q15_c12_r2,q9_9,q18_c10_r2,q11_r3_c3,q21_c10_r4,q17_c10_r3,q20_c8_r3,q18_c2_r2,q17_c10_r2,q10_r4_c2,q20_c5_r3,q15_c5_r4,q23_c1_r3,q15_c3_r3,q16_2,q21_c7_r4,q20_c2_r2,q12_c1_r2,q12_c1_r1,q18_c9_r1,q20_c5_r4,q14_c1_r1,q8_r2_c1,q17_c12_r3
Louise,0,,0,,0,1-10 hrs,,1,,0 hrs,,0 hrs,0,0,,,,,,,,,,,,,,,1,,,,1-10 hrs,,,,0 hrs,,0 hrs,,,,,,,,0,,11-20 hrs,,0.0,,,0 hrs,,,0,,0,,,,0,,0,,,,1-10 hrs,,0,,,,0 hrs,1,,,1-10 hrs,0 hrs,,,,1.0,
Nicole,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,2.0,
Mary,0,,0,,0,41-50 hrs,,0,,11-20 hrs,,1-10 hrs,0,0,,,,,,,,,,,,,,,1,,,,31-40 hrs,,,,11-20 hrs,,11-20 hrs,,41-50 hrs,,,,,,0,,41-50 hrs,,0.0,1-10 hrs,,,,,1,,0,,,,0,,0,,,,1-10 hrs,,0,,,,1-10 hrs,1,,,1-10 hrs,11-20 hrs,,,,,
Ursula,0,,0,,0,11-20 hrs,,0,,1-10 hrs,,0 hrs,1,0,,,,,,,,,,,,,,,0,,,,0 hrs,,,,1-10 hrs,,0 hrs,,1-10 hrs,,,,,,0,,1-10 hrs,,11.0,0 hrs,0 hrs,,,,0,,0,,,,0,,0,,,,0 hrs,,0,,,,0 hrs,1,,,0 hrs,1-10 hrs,,,,1.0,
Valencia,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
Antoinette,0,,0,,0,1-10 hrs,,0,,1-10 hrs,,1-10 hrs,0,0,,,,,,,,,,,,,,,0,,,,0 hrs,,,,1-10 hrs,,1-10 hrs,,1-10 hrs,,,,,,0,,1-10 hrs,,22.0,0 hrs,,,,,0,,0,,,,0,,0,,,,0 hrs,,0,,,,1-10 hrs,1,,,0 hrs,1-10 hrs,,,,0.0,
Frances,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,2.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Austin,0,,0,,0,,,0,,,,,1,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Lee,0,,0,,0,,,0,,,,,0,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
Jeremy,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
Marde,0,,0,,0,,,1,,,,,1,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,1.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Alvaro,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Pamela,0,,0,,0,,,0,,,,,0,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Tyson,0,,0,,0,31-40 hrs,,0,,31-40 hrs,,31-40 hrs,0,0,,,,,,,,,,,31-40 hrs,,,,1,,,,0 hrs,0 hrs,,,31-40 hrs,,0 hrs,,0 hrs,,,,,,0,,0 hrs,,0.0,0 hrs,31-40 hrs,31-40 hrs,,,1,,0,31-40 hrs,,,0,,0,,,,31-40 hrs,,0,,0 hrs,,0 hrs,1,,,0 hrs,0 hrs,,,,1.0,
Rita,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Randolph,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
Adaleza,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
Michael,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Lora,0,,0,,0,,,1,,,,,1,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,3.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
,0,,0,,0,,,1,,,,,0,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Laurie,0,,0,,0,31-40 hrs,,1,,11-20 hrs,,21-30 hrs,1,0,,,,,,,,,,,31-40 hrs,,,,1,,,,31-40 hrs,31-40 hrs,,,11-20 hrs,,21-30 hrs,,21-30 hrs,,,,,,0,,11-20 hrs,,25.0,31-40 hrs,21-30 hrs,11-20 hrs,,,0,,0,31-40 hrs,,,0,,0,,,,31-40 hrs,,0,,21-30 hrs,,21-30 hrs,1,,,11-20 hrs,1-10 hrs,,,,1.0,
Carol,0,,0,,0,,,0,,,,,1,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Marsha,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,1.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Cynthia,0,,0,,0,0 hrs,,1,,0 hrs,,0 hrs,0,0,,,,,,,,,,,,,,,1,,,,0 hrs,,,,0 hrs,,0 hrs,,,,,,,,0,,0 hrs,,,,0 hrs,0 hrs,,,1,,0,,,,0,,1,,,,0 hrs,,0,,,,,1,,,0 hrs,0 hrs,,,,,
Jacqueline,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,3.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,,
Aron,0,,0,,0,31-40 hrs,,0,,0 hrs,,,1,0,,,,,,,,,,,,,,,0,,,,0 hrs,,,,,,0 hrs,,,,,,,,0,,0 hrs,,1.0,,,,,,0,,0,,,,0,,0,,,,0 hrs,,0,,,,,1,,,0 hrs,0 hrs,,,,0.0,
Peter,0,,0,,0,0 hrs,,0,,0 hrs,,11-20 hrs,0,0,,,,,,,,,,,,,,,1,,,,0 hrs,,,,0 hrs,,11-20 hrs,,11-20 hrs,,,,,,0,,11-20 hrs,,0.0,0 hrs,11-20 hrs,0 hrs,,,1,,0,,,,0,,0,,,,11-20 hrs,,0,,11-20 hrs,,11-20 hrs,1,,,11-20 hrs,0 hrs,,,,1.0,
Christine,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,0 hrs,,,,,,,,0,,11-20 hrs,,1.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,1,,,11-20 hrs,0 hrs,,,,1.0,
Judith,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
Yesenia,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,1.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
David,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
Robert,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,1.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
Allison,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
Elisa,0,,0,,0,,,1,,,,,1,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,,
Kesha,0,,0,,0,0 hrs,,1,,31-40 hrs,,0 hrs,0,0,,,,,,,,,,,,,,,1,,,,0 hrs,,,,31-40 hrs,,0 hrs,,,,,,,,0,,31-40 hrs,,1.0,,,0 hrs,,,0,,0,,,,0,,0,,,,0 hrs,,0,,,,0 hrs,1,,,0 hrs,51-60 hrs,,,,1.0,
Emilie ,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,2.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,2.0,
Michael,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
Ashley,0,,0,,0,,,1,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,4.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Robert,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,,
,0,21-30 hrs,1,,0,21-30 hrs,,0,,0 hrs,11-20 hrs,1-10 hrs,0,0,0 hrs,,1-10 hrs,,,,,0 hrs,,,,,,,0,,,,0 hrs,,,,0 hrs,,1-10 hrs,,,,,,0 hrs,,0,21-30 hrs,11-20 hrs,,0.0,,,,,,0,,1,,,,0,,0,,,,0 hrs,,0,,,1-10 hrs,0 hrs,0,,0 hrs,0 hrs,1-10 hrs,,,0 hrs,0.0,
Kerry,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,1.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
Russell,0,,0,,0,,,0,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
Mariana,0,,0,,0,0 hrs,,1,,0 hrs,,0 hrs,0,0,,,,,,,,,,,,,,,1,,,,0 hrs,,,,0 hrs,,0 hrs,,,,,,,,0,,0 hrs,,10.0,,,0 hrs,,,0,,0,,,,0,,0,,,,0 hrs,,0,,,,,1,,,0 hrs,0 hrs,,,,0.0,
Daisy,0,,0,,0,,,1,,,,,0,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,1.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,3.0,
Phil,0,,0,,0,31-40 hrs,,0,,1-10 hrs,,1-10 hrs,0,0,,,,,,,,,,,,,,,1,,,,11-20 hrs,,,,1-10 hrs,,1-10 hrs,,11-20 hrs,,,,,,0,,1-10 hrs,,1.0,11-20 hrs,1-10 hrs,21-30 hrs,,,1,,0,,,,0,,1,,,,21-30 hrs,,0,,11-20 hrs,,21-30 hrs,1,,,1-10 hrs,1-10 hrs,,,,1.0,
Laura ,0,,0,,0,,,1,,,,,0,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,,
June,0,,0,,0,,,0,,,,,0,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Marisol,0,,0,,0,0 hrs,,0,,0 hrs,,0 hrs,0,0,,,,,,,,,,,,,,,0,,,,0 hrs,,,,0 hrs,,0 hrs,,0 hrs,,,,,,0,,0 hrs,,0.0,0 hrs,0 hrs,0 hrs,,,1,,0,0 hrs,,,0,,0,,,,0 hrs,,0,,0 hrs,,0 hrs,1,,,0 hrs,0 hrs,,,,0.0,
Janelle,0,,0,,0,,,0,,,,,1,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
Christine,0,,0,,0,21-30 hrs,,0,,1-10 hrs,,1-10 hrs,0,0,,,,,,,,,,,,,,,0,,,,1-10 hrs,,,,1-10 hrs,,1-10 hrs,,1-10 hrs,,,,,,0,,1-10 hrs,,1.0,1-10 hrs,,,,,1,,0,,,,0,,0,,,,1-10 hrs,,0,,,,1-10 hrs,1,,,0 hrs,0 hrs,,,,0.0,
Lauren ,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
Janet,0,,0,0 hrs,0,1-10 hrs,,0,,11-20 hrs,,0 hrs,0,0,,,,,0 hrs,0 hrs,,,11-20 hrs,,0 hrs,,11-20 hrs,,1,,0 hrs,0 hrs,11-20 hrs,11-20 hrs,11-20 hrs,,11-20 hrs,,0 hrs,,0 hrs,0 hrs,,,,0 hrs,0,,0 hrs,0 hrs,0.0,11-20 hrs,0 hrs,0 hrs,,0 hrs,0,,0,1-10 hrs,0 hrs,11-20 hrs,0,0 hrs,0,,,,0 hrs,,0,,0 hrs,,0 hrs,1,0 hrs,,21-30 hrs,0 hrs,11-20 hrs,,,1.0,
Richard,0,,1,,0,61-70 hrs,,0,,0 hrs,,,0,0,31-40 hrs,,0 hrs,,,,,,,,,,,,1,,,,31-40 hrs,,,,,,0 hrs,,,,,,0 hrs,,0,0 hrs,61-70 hrs,,15.0,,,,,,0,,1,,,,0,,0,,,,31-40 hrs,,0,,,0 hrs,,0,,31-40 hrs,31-40 hrs,0 hrs,,,0 hrs,1.0,
,0,,0,,0,,,0,,,,,0,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,1.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Glenn,0,0 hrs,1,,0,0 hrs,0 hrs,0,0 hrs,11-20 hrs,0 hrs,0 hrs,0,0,201+,,0 hrs,,,,,0 hrs,,0 hrs,0 hrs,,,,1,,,,31-40 hrs,31-40 hrs,,,11-20 hrs,0 hrs,0 hrs,0 hrs,11-20 hrs,,,,0 hrs,,0,0 hrs,0 hrs,,0.0,31-40 hrs,0 hrs,0 hrs,,,0,,1,,,,0,,0,,,,31-40 hrs,,0,0 hrs,11-20 hrs,0 hrs,0 hrs,0,,31-40 hrs,201+,0 hrs,,0 hrs,0 hrs,1.0,
Corrine,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
Abbee,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
Freddie,0,,0,,0,1-10 hrs,,0,,0 hrs,,1-10 hrs,1,0,,,,,,,,,,,1-10 hrs,,,,1,,,,1-10 hrs,1-10 hrs,,,0 hrs,,1-10 hrs,,1-10 hrs,,,,,,0,,1-10 hrs,,1.0,1-10 hrs,1-10 hrs,1-10 hrs,,,0,,0,1-10 hrs,,,0,,0,,,,1-10 hrs,,0,,1-10 hrs,,1-10 hrs,1,,,1-10 hrs,0 hrs,,,,1.0,
Regina,0,,0,,0,0 hrs,,0,,0 hrs,,0 hrs,0,0,,,,,,,,,,,,,,,0,,,,0 hrs,,,,0 hrs,,0 hrs,,0 hrs,,,,,,0,,0 hrs,,0.0,0 hrs,,0 hrs,,,0,,0,,,,0,,0,,,,0 hrs,,0,,,,0 hrs,1,,,0 hrs,0 hrs,,,,1.0,
Janet,0,0 hrs,1,,0,0 hrs,0 hrs,0,0 hrs,0 hrs,0 hrs,0 hrs,0,0,0 hrs,,0 hrs,,,,,0 hrs,,0 hrs,0 hrs,,,,1,,,,0 hrs,0 hrs,,,0 hrs,0 hrs,0 hrs,0 hrs,0 hrs,,,,0 hrs,,0,0 hrs,0 hrs,,0.0,0 hrs,0 hrs,0 hrs,,,0,,1,0 hrs,,,0,,0,,,,0 hrs,,0,0 hrs,0 hrs,0 hrs,0 hrs,0,,0 hrs,0 hrs,0 hrs,,0 hrs,0 hrs,1.0,
Anna,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Kelly,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,1.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
Michele,0,,0,,0,0 hrs,,0,,0 hrs,,,0,0,,,,,,,,,,,,,,,1,,,,71-80 hrs,,,,,,0 hrs,,,,,,,,0,,11-20 hrs,,0.0,,,,,,0,,0,,,,0,,0,,,,0 hrs,,0,,,,,1,,,0 hrs,0 hrs,,,,0.0,
Jeffrey,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,1.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Mary,0,,0,,0,0 hrs,,1,,0 hrs,,0 hrs,0,0,,,,,,,,,,,0 hrs,,,,1,,,,0 hrs,0 hrs,,,0 hrs,,0 hrs,,0 hrs,,,,,,0,,0 hrs,,25.0,0 hrs,0 hrs,0 hrs,,,1,,0,0 hrs,,,0,,0,,,,0 hrs,,0,,0 hrs,,0 hrs,1,,,0 hrs,0 hrs,,,,0.0,
Sorel,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,1.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
,0,,0,,0,,,0,,,,,0,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,1.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
,0,,0,,0,0 hrs,,1,,0 hrs,,,0,1,,,,,,,,,,,,,,,0,,,,0 hrs,,,,,,0 hrs,,,,,,,,0,,0 hrs,,0.0,,,,,,1,,0,,,,0,,0,,,,0 hrs,,0,,,,0 hrs,1,,,0 hrs,0 hrs,,,,1.0,
Lindsay,0,,0,,0,1-10 hrs,,0,,0 hrs,,1-10 hrs,1,0,,,,,,,,,,,1-10 hrs,,,,0,,,,1-10 hrs,,,,0 hrs,,1-10 hrs,,1-10 hrs,,,,,,0,,1-10 hrs,,0.0,1-10 hrs,1-10 hrs,1-10 hrs,,,0,,0,,,,0,,0,,,,1-10 hrs,,0,,1-10 hrs,,1-10 hrs,1,,,11-20 hrs,0 hrs,,,,1.0,
Karen,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,1.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Michael,0,,0,,0,0 hrs,,1,,0 hrs,,,0,0,,,,,,,,,,,,,,,0,,,,0 hrs,,,,,,0 hrs,,,,,,,,0,,0 hrs,,0.0,,,,,,0,,0,,,,0,,0,,,,0 hrs,,0,,,,,1,,,0 hrs,11-20 hrs,,,,0.0,
Tiffany,0,,0,,0,1-10 hrs,,0,,0 hrs,,0 hrs,0,0,,,,,,,,,,,1-10 hrs,,,,1,,,,0 hrs,0 hrs,,,0 hrs,,0 hrs,,0 hrs,,,,,,0,,1-10 hrs,,0.0,0 hrs,0 hrs,0 hrs,,,0,,0,0 hrs,,,0,,0,,,,0 hrs,,0,,0 hrs,,0 hrs,1,,,0 hrs,0 hrs,,,,0.0,
Nichele,0,,0,,0,11-20 hrs,,0,,0 hrs,,0 hrs,0,0,,,,,,,,,,,,,,,1,,,,0 hrs,,,,0 hrs,,0 hrs,,,,,,,,0,,11-20 hrs,,0.0,,,,,,1,,0,,,,0,,0,,,,0 hrs,,0,,,,0 hrs,1,,,0 hrs,0 hrs,,,,0.0,
Brandon,0,,0,,0,,,0,,,,,1,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
Alice,0,41-50 hrs,1,,0,51-60 hrs,,1,,0 hrs,,,0,0,0 hrs,,,,,,,,,,,,,,1,,,,31-40 hrs,,,,,,11-20 hrs,,,,,,0 hrs,,0,41-50 hrs,91-100 hrs,,0.0,,,,,,1,,1,,,,0,,0,,,,11-20 hrs,,0,,,1-10 hrs,,0,,,1-10 hrs,1-10 hrs,,,0 hrs,1.0,
Iris,0,,0,,0,31-40 hrs,,0,,11-20 hrs,,11-20 hrs,0,0,,,,,,,,,,,11-20 hrs,,,,1,,,,11-20 hrs,11-20 hrs,,,11-20 hrs,,11-20 hrs,,11-20 hrs,,,,,,0,,181-190 hrs,,0.0,11-20 hrs,11-20 hrs,11-20 hrs,,,1,,0,,,,0,,1,,,,11-20 hrs,,0,,11-20 hrs,,11-20 hrs,1,,,181-190 hrs,181-190 hrs,,,,1.0,
David,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
Rudy,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Mathew ,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Samantha,0,,0,,0,1-10 hrs,,0,,1-10 hrs,,,1,0,,,,,,,,,,,,,,,1,,,,1-10 hrs,,,,,,11-20 hrs,,,,,,,,0,,0 hrs,,1.0,,,11-20 hrs,,,0,,0,,,,0,,0,,,,21-30 hrs,,0,,,,,1,,,1-10 hrs,0 hrs,,,,1.0,
Christopher,0,,0,,0,,,1,,,,,0,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,2.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Karen,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
Benvenuto,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,1.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Louise ,0,,0,,0,1-10 hrs,,0,,0 hrs,,21-30 hrs,0,1,,,,,,,,,,,11-20 hrs,,,,0,,,,0 hrs,0 hrs,,,0 hrs,,21-30 hrs,,0 hrs,,,,,,0,,0 hrs,,0.0,0 hrs,21-30 hrs,0 hrs,,,0,,0,1-10 hrs,,,0,,0,,,,0 hrs,,0,,0 hrs,,11-20 hrs,1,,,0 hrs,101-110 hrs,,,,1.0,
Iana,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,1.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,,
Lisa,0,,0,,0,,,0,,,,,1,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,0.0,
Persio,0,,0,,0,,,1,,1-10 hrs,,,0,0,,,,,,,,,,,,,,,1,,,,1-10 hrs,,,,,,1-10 hrs,,,,,,,,0,,1-10 hrs,,13.0,,,,,,1,,0,,,,0,,0,,,,1-10 hrs,,0,,,,,1,,,1-10 hrs,1-10 hrs,,,,0.0,
Dorothy,0,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,1.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,2.0,
Soledad,0,0 hrs,1,,0,11-20 hrs,0 hrs,0,0 hrs,0 hrs,,41-50 hrs,0,0,61-70 hrs,,,,,,,0 hrs,,,41-50 hrs,,,,1,,,,0 hrs,,,,0 hrs,,41-50 hrs,0 hrs,41-50 hrs,,,,0 hrs,,0,0 hrs,0 hrs,,0.0,41-50 hrs,41-50 hrs,31-40 hrs,,,0,,1,,,,0,,0,,,,0 hrs,,0,,41-50 hrs,0 hrs,41-50 hrs,0,,,61-70 hrs,0 hrs,,,0 hrs,2.0,
Stephanie ,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0,,0,,,,1,,0,,,,,,0,,,,,0,,,,,,,,24.0,
Claudine,0,,0,,0,,,1,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,6.0,,,,,,0,,0,,,,0,,0,,,,,,0,,,,,0,,,,,,,,1.0,
