pivot-metric,pivot-value,legal_business_name,roadway_dimensions_length,restaurant_name,roadway_dimensions_area
landmarkdistrict_terms,,"APQ Lincoln Square NY, LLC",,Le Pain Quotidien Lincoln Sq,
objectid,10561,9th st ventures,,Solas,
landmarkdistrict_terms,,One One Domestic Corp,40.0,Basta Pasta,320.0
objectid,10830,118 HARLEM BURGER CO LLC,,HARLEM BURGER CO.,
objectid,10299,108 gigs llc,78.0,The Wilky,624.0
landmarkdistrict_terms,,HENRY ST. BRICK OVEN CAFE CORP,18.0,LUCALI,144.0
landmarkdistrict_terms,,27 east restaurant holdings llc,36.0,Fleming By Le Bilboquet,288.0
objectid,10182,TBRI,,TROPILYZ B RESTAURANT INC,
objectid,1040,IDG Seaport Corp,30.0,Thai Farm Kitchen Seaport,240.0
landmarkdistrict_terms,,Brooklyn hop 2 llc,,Ihop,
landmarkdistrict_terms,,TASTE GOOD PLACE INC,25.0,CHINESE RESTAURANT,200.0
objectid,10704,RIVERCREST INC.,,RIVERCREST,
landmarkdistrict_terms,,ONUR SAFAK,25.0,KX BURGER &amp; BEYOND INC,200.0
landmarkdistrict_terms,,1702 Rathbone's Inc,,Rathbone's Pub,
landmarkdistrict_terms,,Danco Restaurant LLC,,Bella Gioia,
landmarkdistrict_terms,,1 Buen Sabor Inc,20.0,1 Buen Sabor Inc,160.0
objectid,10685,"PEACEFOODCAFE TOO, INC.",25.0,PEACEFOOD CAFE DOWNTOWN,200.0
objectid,10235,Ecuapollos bar Restaurant,12.0,Ecuapollos Bar restaurant,72.0
landmarkdistrict_terms,,1274 AMSTERDAM TRATTORIA INC,,MAX SOHA,
objectid,10638,FRESH SUBWAY 168 INC,,SUBWAY,
objectid,10664,FRENCH AVENUE B INC,23.0,PARDON MY FRENCH,184.0
objectid,10768,HOU YI HOT POT INC,18.0,HOU YI HOT POT,144.0
landmarkdistrict_terms,,Amici Italian Foods INC,25.0,Il Bel Paese Pizzeria & Trattoria,200.0
landmarkdistrict_terms,yes,Bombay sandwich Co LLC,20.0,Bombay sandwich Co.,160.0
objectid,10373,DUMBO HEIGHTS M&V LLC,,Mulberry & Vine,
objectid,10667,NEW TU DO RESTAURANT CORP,,NEW TU DO RESTAURANT,
objectid,10226,1 Buen Sabor Inc,20.0,1 Buen Sabor Inc,160.0
landmarkdistrict_terms,,NINO AQ LLC,,NINOS AQ,
objectid,10809,CENTER BLVD RESTAURANT LLC,60.0,AMERICAN BRASS,480.0
objectid,10175,Wu & Chien Inc,42.0,Peking Duck House,336.0
landmarkdistrict_terms,,"Kushi Izakaya Restaurant, Inc",,"Kushi Izakaya Restaurant, Inc",
objectid,10390,Boubou Restaurant Corp,,Boubou Restaurant Corp,
landmarkdistrict_terms,,Podo Inc.,19.0,Yuzu,152.0
objectid,10557,CITY SNOOKER POOL HOUSE INC,39.0,CITY SNOOKER,312.0
landmarkdistrict_terms,,Saggio Restaurant Inc,16.0,Saggio Restaurant Inc,128.0
landmarkdistrict_terms,,PIRK SMITH LLC,14.0,KONDITORI,112.0
landmarkdistrict_terms,,36 DUET ENTERTAINMENT INC.,,DEN SOCIAL/ KARAOKE DUET,
objectid,10816,"UPRIGHT HOLDINGS, LLC",20.0,UPRIGHT COFFEE,160.0
landmarkdistrict_terms,,THE BRONX ICE CO LLC,8.0,EUGENE MILLER,64.0
landmarkdistrict_terms,,SHNY RESTAURANT GROUP LLC,46.0,SOUTHERN HOSPITALITY,368.0
objectid,10286,Amici Italian Foods INC,25.0,Il Bel Paese Pizzeria & Trattoria,200.0
landmarkdistrict_terms,,di bella corp,40.0,la villa pizza,320.0
landmarkdistrict_terms,,"MELOUTA,  CORP",12.0,BZ GRILL,96.0
objectid,10792,"HBC GROUP USw, INC.",100.0,GULSHAN TERRACE,800.0
landmarkdistrict_terms,,THE BARN COFFEE SHOP CORP,20.0,THE BARN COFFEE SHOP,120.0
landmarkdistrict_terms,,FRESH SUBWAY 168 INC,,SUBWAY,
objectid,10613,MIDTOWN EAST M &amp; V. LLC,,MULBERRY &amp; VINE,
landmarkdistrict_terms,,"Laguna Azul 1910, Inc.",42.0,The Circus,336.0
landmarkdistrict_terms,,"PEACEFOODCAFE TOO, INC.",25.0,PEACEFOOD CAFE DOWNTOWN,200.0
objectid,1066,Bushwicksocial llc,5.0,Clara's,90.0
landmarkdistrict_terms,yes,81 PEARL STREET V ENTURE LTD,,BECKETTS BAR,
landmarkdistrict_terms,,Ample Hills Sub 10 LLC,,Ample Hills Creamery,
landmarkdistrict_terms,yes,"JL Solo, Inc.",40.0,Senza Gluten,960.0
landmarkdistrict_terms,,Nuevo Don Francisco Restaurant Corp,,Nuevo Don Francisco Restaurant Corp,
objectid,10731,STELIATA CORP.,,TASTY'S DINER,
objectid,10255,Bogota Latin Bistro,,Bogota Latin Bistro,
objectid,10392,Shun Fa Fa INC,40.0,Happy house seafood restaurant,320.0
landmarkdistrict_terms,,Momo Crave LLC,11.0,Momo Crave,88.0
landmarkdistrict_terms,,MR. BUN SOUP DUMPLINGS INC,20.0,MR.BUN,160.0
landmarkdistrict_terms,,EIGHT ORANGES INC,50.0,The Bao,400.0
landmarkdistrict_terms,,TUN LLC,32.0,TUOME,256.0
objectid,10568,1AND8 INC,20.0,MOIC CAFE,160.0
landmarkdistrict_terms,,"St. James Associates, LP",,Smith & Wollensky,
landmarkdistrict_terms,,Zucker's Flatiron LLC,36.0,Zucker's Bagels Flatiron,288.0
objectid,10280,"235 East Cafe, Inc.",20.0,Brandy's Piano Bar,160.0
objectid,10405,Island Seas Lounge LLC,,Island Cz Lounge,
landmarkdistrict_terms,,Zhuangstea,24.0,Silk road cafe,192.0
objectid,10717,MALAY RESTAURANT INC,20.0,NEW MALAYSIA RESTAURANT,160.0
landmarkdistrict_terms,,149 Second Ave Rest Inc,,The 13th Step,
objectid,1060,232 Vanderbilt Ave Restaurant Corp,50.0,Graziellas Restaurant,400.0
landmarkdistrict_terms,,2013 Venture Corp.,,The Harold,
landmarkdistrict_terms,,141 LINCOLN AVENUE LLC,60.0,LE MXICANO,480.0
objectid,10781,TASTE OF CHINA WU INC,8.0,TASTE OF CHINA,64.0
landmarkdistrict_terms,,LA PARADA RESTAURANT CORP,28.0,LA PARADA RESTAURANT,224.0
landmarkdistrict_terms,,"Sherwood's Keep,inc",,Sherwoods Keep inc,
objectid,10395,Bardolino Pizza II Inc,,Bardolino Pizza II Inc,
objectid,10077,Little Fat Bear LLC,,Taiwan Bear House,
landmarkdistrict_terms,,KING'S STREET COFFEE INC,18.0,KING'S STREET COFFEE,144.0
landmarkdistrict_terms,,Noree Thai Bazaar Inc,40.0,Noree Thai Bazaar,320.0
landmarkdistrict_terms,,Beso NYC Corp,10.0,Beso NYC,80.0
objectid,10649,L &amp; F MARTHA CORP.,18.0,PASIONES SPORTS-BAR,144.0
objectid,10222,carra llc,,Dog and Bone,
landmarkdistrict_terms,,32 CAFE INC,52.0,BANGIA,416.0
landmarkdistrict_terms,,"APQ E53 NY, LLC",25.0,Le Pain Quotidien 53rd street,200.0
landmarkdistrict_terms,yes,"MC TRIBECA, LLC",38.0,MR. CHOW TRIBECCA,304.0
objectid,10387,Don Chucho Inc,11.0,Don Chucho,88.0
objectid,10545,"Laguna Azul 1910, Inc.",42.0,The Circus,336.0
landmarkdistrict_terms,,"235 East Cafe, Inc.",20.0,Brandy's Piano Bar,160.0
objectid,1079,Treadwell Park LLC,73.0,Treadwell Park,584.0
objectid,10319,MMG Tribeca NY Inc.,20.0,Healthy Joe's,160.0
landmarkdistrict_terms,,NY HAPPY FAMILY  INC,26.0,JUYOU LOU,208.0
objectid,10778,MANSIN &amp; MISCHA CORP,30.0,BLACK CAT LES,180.0
landmarkdistrict_terms,yes,"SOMPONG THAI, INC.",22.0,SOMPONG THAI,176.0
landmarkdistrict_terms,yes,Heart Connection USA Inc,,Ramen DANBO,
landmarkdistrict_terms,,Kendo Sushi Inc,,Akino,
objectid,10530,DTT FOOD INC,23.0,Popeyes,184.0
objectid,10205,"Konkapot Entertainment, Inc",,The Water Hazard,
objectid,10703,JAYAD FOODS INC,,MABAT STEAKHOUSE,
objectid,108,jaya 888 inc,50.0,jaya 888,500.0
landmarkdistrict_terms,,Bricklyn pizza,,Bricklyn pizza,
landmarkdistrict_terms,,TBRI,,TROPILYZ B RESTAURANT INC,
landmarkdistrict_terms,,Wanshun Seafood Restaurant Inc,22.0,Wanshun Seafood Restaurant,176.0
landmarkdistrict_terms,,115 RESTAURANT CORP,,ROW HOUSE,
landmarkdistrict_terms,,Gerizim Burger Factory,,Gerizim Burger Factory,
landmarkdistrict_terms,,EAST COAST BURGERS INC.,28.0,EAST COAST BURGERS,224.0
landmarkdistrict_terms,,RIVERCREST INC.,,RIVERCREST,
objectid,10783,ONUR SAFAK,25.0,KX BURGER &amp; BEYOND INC,200.0
objectid,1050,#Barghost Corp.,20.0,Sweet Polly,360.0
landmarkdistrict_terms,,SMI,41.0,Sunrise Mart,328.0
landmarkdistrict_terms,,Red Rooster Harlem LLC,,Red Rooster Harlem,
landmarkdistrict_terms,,Vegan Wholesale Foods Corp,20.0,VSPOT,160.0
landmarkdistrict_terms,,EL SALVADOR RESTAURANT DE MARINA INC,,EL SALVADOR RESTAURANT,
objectid,10246,Walter 8281 Corp.,,Marco Polo Pizza & Deli,
landmarkdistrict_terms,,ZigZag Enterprise Inc,14.0,UOTORA,112.0
objectid,10743,"SOMPONG THAI, INC.",22.0,SOMPONG THAI,176.0
objectid,10604,8920 AVENUE D INC,40.0,FLAVA II LOUNGE,160.0
objectid,10841,RUAYSUB CORP,20.0,THAI DIVA CUISINE,160.0
landmarkdistrict_terms,,"UPRIGHT HOLDINGS, LLC",20.0,UPRIGHT COFFEE,160.0
landmarkdistrict_terms,,TLS CHRYSTIE LLC,32.0,HOME SWEET HOME/ FIG 19,256.0
landmarkdistrict_terms,,SHIAWASE FACTORY LTD,25.0,THE IZAKAYA NYC on East 4th,250.0
landmarkdistrict_terms,,"United Chicken Fingers, LLC",213.0,Park Avenue,1704.0
landmarkdistrict_terms,,Island Seas Lounge LLC,,Island Cz Lounge,
objectid,10333,Bombay sandwich Co LLC,20.0,Bombay sandwich Co.,160.0
objectid,10718,HENRY ST. BRICK OVEN CAFE CORP,18.0,LUCALI,144.0
landmarkdistrict_terms,,WING HING SEAFOOD RESTAURANT INC.,40.0,WING HING SEAFOOD RESTAURANT,320.0
objectid,10446,Ode 2 Japanese INC,26.0,Edo Japanese Restaurant,208.0
landmarkdistrict_terms,,WOLF WESTSIDE LLC,100.0,WOLFGANG'S STEAKHOUSE,800.0
objectid,10148,ASTROS FOOD CORP,15.0,ASTROS FOOD CORP,90.0
objectid,102,Yoniski Amsterdam LLC,,Holy Schnitzel,
landmarkdistrict_terms,,TASTE OF CHINA WU INC,8.0,TASTE OF CHINA,64.0
landmarkdistrict_terms,,Kobe 1 Inc.,19.0,Kasumi Sushi & BBQ Restaurant,152.0
landmarkdistrict_terms,,"475 bake, LLC",,fresh&co,
landmarkdistrict_terms,,118 HARLEM BURGER CO LLC,,HARLEM BURGER CO.,
objectid,10066,Kendo Sushi Inc,,Akino,
objectid,10732,NEW TORCH INC,,OCEAN TREASURES,
objectid,10059,27 east restaurant holdings llc,36.0,Fleming By Le Bilboquet,288.0
objectid,10797,HARLEM NIGHTS LTD.,20.0,HARLEM NIGHTS,160.0
