objectid,globalid,business_address,community_board,time_of_submission,sla_serial_number,sidewalk_dimensions_area,bulding_number,roadway_dimensions_width,food_service_establishment
10037,{8687F20F-B974-4D00-8ABC-686AE06FD4E9},"345 Court street, Brooklyn, NY",6.0,2020-08-07T18:09:00.000,Nov-71,192.0,345,8.0,40376495
10145,{125A71BA-6C13-43EC-847E-C1D45A082D44},"1870 86 Street, Brooklyn, NY",11.0,2020-08-11T16:11:00.000,Nov-33,361.0,1870,8.0,50000980
10293,{9D3B1993-13AF-4378-8585-0C16A563CA66},"186 Grand Street, Brooklyn, NY",1.0,2020-08-16T13:08:00.000,,64.0,186,8.0,50090446
10340,{C304F754-FA8F-4809-8583-14786BA65329},"57  Pearl Street, Brooklyn, NY",2.0,2020-08-17T16:06:00.000,,,57,8.0,50047483
10511,{BA34B317-FCC5-41E2-889F-539C361E3A84},"360 Jefferson st., Brooklyn, NY",4.0,2020-08-21T11:10:00.000,,200.0,360,8.0,50105390
10795,{792AB6F0-7C91-46DE-86D9-DD668BC89C83},"13920 243RD ST, Queens, NY",13.0,2020-09-01T19:56:00.000,,735.0,undefined,,50098533
10330,{31A13F78-0D80-4E00-8BD1-3AEF7CCBF875},"10326  ROOSEVELT AVENUE , Queens, NY",4.0,2020-08-17T13:03:00.000,,,10326,,41716115
10875,{A43A4FFE-52E4-4003-895B-04FF3EB547CA},"1936 86 STREET, Brooklyn, NY",11.0,2020-09-06T18:44:00.000,,100.0,undefined,,41568650
10611,{1E93C9CF-EAA8-4573-8260-C8AC791AC063},"16 WEST   23 STREET, Manhattan, NY",5.0,2020-08-25T08:50:00.000,,180.0,undefined,8.0,50047320
10620,{7EA632D4-F01B-46CF-8295-3378F4C8CA6C},"41 WEST   46 STREET, Manhattan, NY",5.0,2020-08-25T12:52:00.000,Jul-76,,undefined,8.0,50072791
10760,{6FD59FD8-588C-43E0-8CBF-EDB725D9BD23},"1290 AVE AMERICAS, Manhattan, NY",,2020-08-31T18:12:00.000,,,undefined,8.0,50093300
10515,{9C1DBCA1-4092-4EC1-8938-AA7EF7695CE4},"228  Dekalb ave, Brooklyn, NY",2.0,2020-08-21T11:43:00.000,Nov-23,600.0,228,8.0,50053452
10394,{97F2DA32-DD04-405A-8A33-21F07D762A0B},"2244  Church avenue, Brooklyn, NY",14.0,2020-08-18T15:47:00.000,,989.0,2244,,50034720
1059,24e91288-b49c-4ea5-850c-378a7779d72d,"38-12 30th avenue, Queens, NY",1.0,2020-06-19T15:08:00.000,,400.0,38-12,,50091036
10165,{F77D2186-64C6-48BD-89D7-86B470583DBA},"200 West 44th st, Manhattan, NY",5.0,2020-08-12T11:09:00.000,Feb-14,960.0,200,8.0,40396159
10473,{9D5C655B-ECEB-420C-802D-90F15BF29035},"827 West 181 Street, Manhattan, NY",12.0,2020-08-20T13:49:00.000,Jun-40,,827,8.0,41605223
10429,{6F558C07-FA56-4226-85E9-7B2E7EDA5343},"14 Spring Street, Manhattan, NY",2.0,2020-08-19T11:52:00.000,Sep-78,,14,,50001719
10245,{71188E5E-B625-4ECC-8645-0522B8FD4AB1},"72-24 Roosevelt Avenue, Queens, NY",4.0,2020-08-14T13:19:00.000,,,72-24,8.0,50104019
1049,d39c45f7-ddd9-4ccf-85cd-1d2b22ee8a7f,"14 Spring Street, Manhattan, NY",2.0,2020-06-19T14:30:00.000,1270562,240.0,14,4.0,50001719
10739,{17FDC9E3-BDB8-41D8-89FF-77782F264F2C},"81 LUDLOW STREET, Manhattan, NY",3.0,2020-08-29T21:56:00.000,Jun-78,,undefined,8.0,41468117
10586,{11281B4F-7DA5-41B3-82FE-7D7F6A64C523},6GAMN,2.0,2020-08-24T13:36:00.000,Jul-17,,68,8.0,40368157
10266,{34380B1A-D3E6-482D-8D2E-E6D547A2FE32},"583 Vanderbilt Ave, Brooklyn, NY",8.0,2020-08-14T18:31:00.000,Apr-05,418.0,583,7.0,50094669
10074,{691B7417-B059-4B32-8BF3-1D5677F1A95A},"8404 37th ave , Queens, NY",3.0,2020-08-08T17:06:00.000,Nov-91,234.0,8404,8.0,50105381
10367,{6C5C67DF-1531-458E-81EA-225B7078BA94},"4358 162 Street, Queens, NY",7.0,2020-08-18T11:13:00.000,,36.0,4358,,50012353
10244,{4CAB1991-6FC1-4134-8D46-A17ED6AEFDA3},"225  Front street, Manhattan, NY",1.0,2020-08-14T12:53:00.000,Dec-97,,225,,50003015
10782,{B7750EB5-933A-44F9-829E-5A6D51793DA1},"806 WESTCHESTER AVENUE, Bronx, NY",1.0,2020-09-01T15:02:00.000,,35.0,undefined,8.0,50103442
10870,{2F33587E-8CE5-40B4-81AE-BDC53B37533F},"19 ELDRIDGE STREET, Manhattan, NY",3.0,2020-09-05T13:34:00.000,,,undefined,8.0,50091404
10308,{E160C2CA-FB1F-4065-8277-F790AF64FD0C},"70 West 40th Street, Manhattan, NY",5.0,2020-08-17T09:09:00.000,,120.0,70,8.0,50105465
10792,{25D28DF5-DAFF-4AB8-887A-9nEEFB006853},"5915 37 AVENUE, Queens, NY",2.0,2020-09-01T17:54:00.000,Dec-59,800.0,undefined,8.0,41671751
10773,{CB7C6C04-6E27-4B8F-8903-20D8D4906EE7},"3814 30TH AVE, Queens, NY",1.0,2020-09-01T14:05:00.000,Oct-50,240.0,undefined,8.0,50053940
10734,{3FB53A60-FA45-4F30-8B14-AAFD67DE444D},"6902 ROOSEVELT AVE, Queens, NY",2.0,2020-08-29T14:07:00.000,,126.0,undefined,,50100520
10388,{53671F33-59AF-4B09-8F68-B76B2941A39F},"115 St. Marks Place, Manhattan, NY",3.0,2020-08-18T14:30:00.000,Feb-07,240.0,115,,50088423
10223,{326D22EF-1D02-474D-875A-D37014D2BB3D},"1FLR 135-20 40th road , Queens, NY",,2020-08-13T16:54:00.000,Feb-18,,1FLR,8.0,50036890
10400,{93A92B1A-966A-45DE-816D-AB7E08BB3E26},"212-210 Avenue A, Manhattan, NY",3.0,2020-08-18T17:03:00.000,Aug-50,245.0,212-210,,41030982
10777,{7F53356D-FD84-41DC-8598-34BBB67C4469},"48 WEST    8 STREET, Manhattan, NY",2.0,2020-09-01T14:25:00.000,Mar-04,,undefined,8.0,50091156
10192,{ED7D936B-7761-4F76-8281-6FEDB68D094B},"26 Canal Street, Manhattan, NY",3.0,2020-08-12T21:29:00.000,Nov-44,216.0,26,8.0,50051704
10788,{0AA8231B-A769-444F-867D-F8D7E77F050C},"754 5 AVENUE, Manhattan, NY",5.0,2020-09-01T16:30:00.000,Feb-04,600.0,undefined,,41151507
10216,{39A9CF9D-349E-4E05-8B07-E43000C9385F},"65 4th street @ 65 2nd ave, Manhattan, NY",,2020-08-13T15:23:00.000,Jul-74,264.0,65,8.0,50046424
10853,{D3545387-9321-498A-8EC0-903D4FDE7704},"2128 FREDERICK DOUGLASS BOULEVARD, Manhattan, NY",10.0,2020-09-04T16:51:00.000,Mar-31,,undefined,,50043566
1087,d7165e68-de9e-401c-867c-a17f0373a8d7,"22  Warren Street, Manhattan, NY",1.0,2020-06-19T15:01:00.000,1277708,234.0,22,8.0,50007618
10736,{B44EA71A-2A54-4633-8310-1D7D305B09ED},"33-07 DITMARS BOULEVARD, Queens, NY",1.0,2020-08-29T17:21:00.000,Jun-73,,undefined,,40901879
10386,{AA3090C9-4714-4511-8F71-9E446D9A1DCB},"204 w 96th st, Manhattan, NY",7.0,2020-08-18T14:21:00.000,,4.0,204,,50105636
10352,{32954A84-7D56-4B70-8F41-1DE6C9C7DF41},"917 Utica avenue , Brooklyn, NY",17.0,2020-08-17T23:35:00.000,,24.0,917,,40622348
10666,{A2641570-9B32-46EC-8080-D9F1EBE40C59},"5321 METROPOLITAN AVE, Queens, NY",5.0,2020-08-26T17:59:00.000,Mar-72,224.0,undefined,8.0,50057962
10549,{476069A5-E384-48FD-8471-051BEE2746E3},"3018 31st St, Queens, NY",1.0,2020-08-21T19:57:00.000,,72.0,3018,,50090686
10059,{5A,"27 East 62nd Street, Manhattan, NY",8.0,2020-08-08T12:54:00.000,Sep-75,144.0,27,8.0,50078577
10020,{67358302-4035-4842-887A-98BEA5DCDD3B},"40-44 elizabeth street, Manhattan, NY",2.0,2020-08-07T15:58:00.000,Feb-16,224.0,40-44,7.0,50092177
10399,{EA6A6239-0044-4A40-8226-6F063CB27942},"1692 Webster, Bronx, NY",,2020-08-18T16:45:00.000,,620.0,1692,8.0,50057074
10247,{DFFCBCC2-EA16-482A-8D6A-57712FE8DA91},"2276 12th ave, Manhattan, NY",9.0,2020-08-14T13:53:00.000,Nov-88,2635.0,2276,,41468815
10806,{07B9AD1E-5A44-421C-8CA3-F70BE969DDD5},"623 VANDERBILT AVENUE, Brooklyn, NY",8.0,2020-09-02T12:47:00.000,,9.0,undefined,,50060012
10445,{B64B6B2E-304F-4312-8149-86CED505B008},"1909 1909 Coney Island Ave, Brooklyn, NY",,2020-08-19T15:12:00.000,,320.0,1909,8.0,50040292
10681,{1F70DE13-9B5C-42EB-8F96-7B572CDE2D30},"248-08 UNION TURNPIKE, Queens, NY",13.0,2020-08-27T15:37:00.000,May-66,200.0,undefined,,50073323
10668,{44B98EA7-51D6-46B3-84DD-5D83B469E862},"16024 NORTHERN BOULEVARD, Queens, NY",7.0,2020-08-26T21:05:00.000,Oct-20,72.0,undefined,,41173219
10111,{6CB6DBDB-D5BC-455A-8804-10CCAC453444},"1479 1st Ave , Manhattan, NY",8.0,2020-08-10T16:34:00.000,Feb-16,200.0,1479,8.0,41542801
10786,{236C41FE-1602-4CDA-8375-90748447D00C},"369 7 AVENUE, Brooklyn, NY",6.0,2020-09-01T16:14:00.000,Dec-12,1590.0,undefined,8.0,50091946
10201,{4A2C8495-2B0F-440C-8159-EB00C0650414},"4013 82 st, Queens, NY",4.0,2020-08-13T11:45:00.000,Oct-12,195.0,4013,8.0,50088649
10728,{1511AF75-228B-4EAF-8AD6-847AE505019A},"10210 37TH AVE, Queens, NY",3.0,2020-08-28T19:46:00.000,Apr-03,125.0,undefined,7.0,50011304
10878,{D01AE3AD-48DA-4AA6-8D06-0A32A919DB59},"9 EAST   13 STREET, Manhattan, NY",2.0,2020-09-07T10:47:00.000,,,undefined,8.0,41088457
10500,{8C1C5001-E47A-4D01-8276-B5D42D46F896},"303 SOUTH END AVENUE, Manhattan, NY",1.0,2020-08-20T21:55:00.000,,75.0,303,8.0,40592207
10243,{AE0C03A7-BB9C-447F-8FA1-6754E00DEBC8},"1926D CROSS BRONX EXPY, Bronx, NY",9.0,2020-08-14T12:45:00.000,,144.0,1926D,8.0,50103115
1060,8e70838c-e737-47f0-87e8-f062d915a8dd,"228-232 Vanderbilt Ave, Brooklyn, NY",2.0,2020-06-19T14:51:00.000,1302264,500.0,228-232,8.0,41017770
10309,{A90F8745-45BF-47A5-8CC7-0200A15BE810},"1592 First Avenue, Manhattan, NY",8.0,2020-08-17T09:15:00.000,,162.0,1592,8.0,50105476
10632,{53991CB4-082F-4D87-8985-74CD3ACB71DA},"4626 KISSENA BLVD, Queens, NY",7.0,2020-08-25T16:14:00.000,,,undefined,8.0,50059253
10564,{FA52C602-B69B-454F-8308-51B2E368BA17},"242 East 50th Street , Manhattan, NY",6.0,2020-08-23T15:27:00.000,Jan-37,,242,8.0,50046638
10675,{E03CF4D9-C8E2-48BF-8915-53C36D3560D9},"350 EAST   85 STREET, Manhattan, NY",8.0,2020-08-27T11:37:00.000,May-35,,undefined,8.0,41604933
10569,{3A102208-2038-41E1-808F-E252DFCE25AD},"3702 Prince Street, Queens, NY",7.0,2020-08-23T19:39:00.000,Mar-77,48.0,3702,8.0,50033184
108,33c98c02-fda5-4366-8b3a-2f8a4845e37d,"90 baxter street, Manhattan, NY",1.0,2020-06-19T11:07:00.000,1284957,500.0,90,10.0,50033120
10376,{EB076080-D43A-43E4-8A6A-9C2AD081E25D},"127 COURT ST, Brooklyn, NY",2.0,2020-08-18T13:19:00.000,,260.0,127,8.0,50085657
10895,{F60138C3-8A09-44A1-8582-F75EFCB8A759},"1271 BROADWAY, Manhattan, NY",5.0,2020-09-08T15:52:00.000,Nov-93,250.0,undefined,,50013048
1024,cf1c71e2-79cc-4dc6-89f1-9246e3e82c32,"4902 Skillman Avenue, Queens, NY",2.0,2020-06-19T14:45:00.000,1304189,,4902,8.0,50074966
10227,{03003667-EC9E-4612-829D-EDFA1410D1D4},"195 195 10 Ave. , Manhattan, NY",,2020-08-13T18:36:00.000,Jun-49,153.0,195,,50063757
10089,{A2F050ED-3D48-42E2-82C0-EBEA74720CD9},"207-07 Northern Boulevard, Queens, NY",11.0,2020-08-10T02:12:00.000,Jun-33,450.0,207-07,8.0,41601943
10161,{538F8E0F-8EA2-49A4-830D-3CF297EBC1DB},"1890 Adam Clayton Powell Jr. Blvd, Manhattan, NY",10.0,2020-08-12T08:52:00.000,Jan-96,,1890,8.0,50084955
10381,{8EE2D868-2D4D-40A4-8585-FA3096541742},"337 East 49th Street, Manhattan, NY",6.0,2020-08-18T14:01:00.000,Jan-09,570.0,337,,40578124
10437,{5ADCC076-0961-483D-8F70-46991A8D1A19},"1500 3RD AVE, Manhattan, NY",8.0,2020-08-19T13:01:00.000,,175.0,1500,8.0,50050184
10747,{BD45D158-9EF2-45CA-828F-49420616FA34},"2006 3 AVENUE, Manhattan, NY",11.0,2020-08-30T18:10:00.000,,,undefined,8.0,41538850
10789,{EC53B163-3C75-4CC4-85B1-4DAB537910D5},"305 NEVINS STREET, Brooklyn, NY",6.0,2020-09-01T16:36:00.000,,36.0,undefined,,50060011
10182,{DFF5C0D6-07d8-4028-88BC-7EB7FBD24D55},"2462 GRAND CONCOURSE, Bronx, NY",5.0,2020-08-12T16:03:00.000,,135.0,2462,,50080553
10616,{C88A09A9-9F8C-404 3-88FB-74720843B3F7},"109 EAST  116 STREET, Manhattan, NY",11.0,2020-08-25T11:51:00.000,Mar-07,576.0,undefined,8.0,50033938
10311,{3B6348D5-4FA5-477B-8590-1BE221D52BD7},"7 E 53rd St, Manhattan, NY",5.0,2020-08-17T09:21:00.000,,75.0,7,8.0,50105626
10801,{A2C35BDE-3C53-4A21-87CF-A272B75D2A59},"803 8 AVENUE, Brooklyn, NY",6.0,2020-09-02T09:45:00.000,Aug-25,,undefined,8.0,50105059
10428,{9E1BA42E-AB87-45F0-8F5A-99907B8506E1},"45 East 45th, Manhattan, NY",5.0,2020-08-19T11:40:00.000,,108.0,45,,50101553
