queens_cooperatives_comparable_properties_boro_block_lot,queens_cooperatives_comparable_properties_address,comparable_rental_3_expense_per_sqft,comparable_rental_1_address,comparable_rental_2_market_value_per_sqft,comparable_rental_2_gross_sqft,comparable_rental_1_market_value_per_sqft,comparable_rental_1_gross_sqft,comparable_rental_1_year_built,comparable_rental_2_estimated_gross_income,latitude,comparable_rental_3_market_value_per_sqft,comparable_rental_3_full_market_value,longitude,comparable_rental_3_distance_from_coop_in_miles,comparable_rental_1_estimated_gross_income,comparable_rental_1_full_market_value,comparable_rental_3_address,comparable_rental_2_estimated_expense,comparable_rental_3_year_built,comparable_rental_1_total_units,census_tract,comparable_rental_2_full_market_value,comparable_rental_2_boro_block_lot,queens_cooperatives_comparable_properties_gross_sqft,comparable_rental_2_year_built,queens_cooperatives_comparable_properties_net_operating_income
4-16250-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""138 BEACH CHANNEL DRIVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""120 ROCKAWAY BEACH"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",137.41,8340.0,19.68,25200,1925,134849.0,, , ,, ,244718,496000, ,71729.0, ,28,,1146000.0,4-15625-0022,41700,1979.0,339021
4-05325-0065,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""192 39 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""29 148 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",37.7,28432.0,54.56,32660,1942,402881.0,, , ,, ,539640,1782000, ,217505.0, ,36,,1072000.0,4-05309-0003,71570,1952.0,628385
4-05003-0011,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 PARSONS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",5.42,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""144 BARCLAY AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",38.16,59100.0,38.99,46837,1931,787434.0,,40.13,"2,191,000",,0.33,663112,1826000,139 34 ROAD,416886.0,1939,49,,2255000.0,4-05003-0019,39700,1929.0,248919
4-05740-0139,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""163 17 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",9.68,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""67 192 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",43.35,147558.0,77.26,205744,1950,2098202.0,,59.13,"1,474,000",,1.14,3807831,15895000,13 147 STREET,1175357.0,1950,215,,6397000.0,4-06793-0126,229508,1952.0,2183768
4-03079-0076,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""62 SAUNDERS STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",9.44,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""85 ELIOT AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",82.94,56725.0,73.51,9264,1974,1226009.0,,78.94,"862,000",,0.42,187040,681000,64 AUSTIN STREET,584205.0,1979,15,,4705000.0,4-03015-0011,52584,1949.0,592096
4-02133-0036,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""66 YELLOWSTONE BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",6.37,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""99 66 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",38.63,255400.0,37.1,338016,1939,3608648.0,,55.55,"7,735,000",,0.05,4423544,12540000,67 102 STREET,1640096.0,1963,312,,9867000.0,4-02103-0001,272000,1938.0,2097120
4-04994-0051,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""34 PARSONS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",6.91,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""33 PARSONS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",70.75,79050.0,71.83,99162,1963,1306385.0,,57.06,"6,359,000",,0.2,1629249,7123000,36 BOWNE STREET,533792.0,1925,114,,5593000.0,4-04994-0078,130500,1967.0,1294560
4-01278-0066,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 78 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",8.51,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""37 81 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",48.13,17080.0,51.69,27200,1925,233144.0,,124.04,"778,000",,0.17,398479,1406000,37 80 STREET,108759.0,1931,32,,822000.0,4-01286-0027,16425,1923.0,119574
4-05023-0024,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""143 ROOSEVELT AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",7.47,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""143 41 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",45.57,76032.0,47.43,98564,1963,1129112.0,,46.91,"4,059,000",,0.13,1441939,4675000,142 41 AVENUE,546687.0,1969,113,,3465000.0,4-05023-0001,89776,1962.0,658058
4-13943-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""80 SHORE PARKWAY"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",6.36,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""94 ALBERT ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",37.23,17700.0,60.01,20646,1967,224771.0,,53.93,"1,401,000",,1.5,290531,1239000,104 102 STREET,114540.0,1930,36,,659000.0,4-09153-0066,92900,1928.0,802656
4-03083-0061,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""63 SAUNDERS STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",6.5,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""64 SAUNDERS STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",49.55,190400.0,57.28,127152,1950,2901754.0,,50.82,"5,148,000",,0.26,2056048,7283000,62 SAUNDERS STREET,1528435.0,1941,150,,9434000.0,4-03086-0040,141948,1948.0,1290307
4-10212-0033,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""92 170 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",6.79,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""164 HILLSIDE AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",43.46,100947.0,37.56,138240,1962,1359199.0,,35.34,"5,522,000",,0.48,1727007,5192000,88 164 STREET,696922.0,1962,158,,4387000.0,4-09834-0056,142583,1963.0,872608
4-01263-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""76 34 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""34 77 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",44.01,124600.0,54.24,104000,1951,1698563.0,, , ,, ,1652560,5641000, ,869129.0, ,120,,5484000.0,4-01263-0044,96000,1949.0,792960
4-09231-0063,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 LEFFERTS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""119 METROPOLITAN AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",50.86,40700.0,55.88,71436,1925,508750.0,, , ,, ,1101846,3992000, ,161697.0, ,95,,2070000.0,4-09234-0034,32000,1939.0,271040
4-06791-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""61 160 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",8.37,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""135 GRAND CENTRAL PARKWAY"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",60.03,58089.0,49.81,125164,1952,1030499.0,,58.21,"4,039,000",,1.68,1891424,6235000,135 82 DRIVE,515249.0,1952,181,,3487000.0,4-06853-0006,394644,1962.0,3808315
4-07071-0003,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""182 HOR"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",6.48,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""139 JEWEL AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",45.35,77856.0,48.28,20920,1949,1136573.0,,44.39,"1,727,000",,1.67,334391,1010000,147 75 AVENUE,504385.0,1950,24,,3531000.0,4-06680-0001,28257,1950.0,234533
4-05302-0097,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""36 171 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""43 165 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",42.94,12600.0,37.52,12500,1927,170352.0,, , ,, ,185742,469000, ,88578.0, ,16,,541000.0,4-05011-0031,14580,1925.0,94770
4-01422-0019,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""32 93 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",5.58,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""94 34 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",46.49,41712.0,30.06,41712,1928,542563.0,,60.52,"2,824,000",,0.33,433630,1254000,94 34 ROAD,251590.0,1928,43,,1939000.0,4-01455-0065,41316,1928.0,288386
4-02101-0016,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""98 64 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",6.76,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""63 98 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",40.8,119985.0,46.13,125610,1951,1653282.0,,43.44,"4,257,000",,0.14,1680619,5794000,97 64 AVENUE,830380.0,1950,129,,4895000.0,4-02113-0034,141920,1952.0,979248
4-05775-0023,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""15 202 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",5.44,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""16 BELL BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",60.06,146525.0,78.2,147700,1973,2427510.0,,56.34,"3,289,000",,1.55,2655707,11550000,19 PARSONS BOULEVARD,1028325.0,1971,152,,8800000.0,4-05958-0030,78323,1969.0,747985
4-05050-0031,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""144 41 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",5.05,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""147 147 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",47.43,98564.0,56.99,105913,1960,1441939.0,,45.36,"4,697,000",,0.07,1607266,6036000,144 41 AVENUE,710530.0,1961,115,,4675000.0,4-05023-0045,95720,1963.0,710243
4-02158-0028,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""68 108 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",8.28,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""68 108 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",59.18,71000.0,62.26,70110,1929,1094459.0,,64.52,"6,271,000",,0.11,1049921,4365000,104 68 DRIVE,407556.0,1942,56,,4202000.0,4-02137-0046,74532,1954.0,564952
4-06484-0002,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""138 JEWEL AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",6.48,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""139 JEWEL AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",45.35,77856.0,48.28,20920,1949,1136573.0,,44.39,"1,727,000",,0.73,334391,1010000,147 75 AVENUE,504385.0,1950,24,,3531000.0,4-06680-0001,76796,1950.0,637407
4-05778-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""199 16 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""42 212 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",78.39,74650.0,57.34,61968,1951,1534118.0,, , ,, ,1004657,3553000, ,594811.0, ,84,,5852000.0,4-07644-0002,72116,1949.0,865392
4-05003-0015,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""144 35 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4.02,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""144 35 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",40.13,54600.0,38.16,59100,1929,638669.0,,38.99,"1,826,000",,0.36,787434,2255000,144 BARCLAY AVENUE,296143.0,1931,58,,2191000.0,4-04957-0044,35880,1939.0,224968
4-05784-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""199 19 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""42 CORPORAL"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",57.34,61968.0,38.17,208345,1951,1004657.0,, , ,, ,2608686,7953000, ,396184.0, ,219,,3553000.0,4-06277-0050,143536,1951.0,1296095
4-16224-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""128 NEWPORT AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",6.34,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""31 HEALY AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",37.45,23500.0,47.13,43500,1945,295816.0,,57.02,"1,430,000",,5.38,629003,2050000,14 HEYSON ROAD,164435.0,1956,40,,880000.0,4-15574-0028,48259,1947.0,374070
4-07848-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""230 GRAND CENTRAL PARKWAY"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""210 43 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",63.75,30934.0,58.35,46476,1951,495668.0,, , ,, ,764995,2712000, ,206572.0, ,63,,1972000.0,4-06280-0001,36650,1949.0,315190
4-11434-0007,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""88 151 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""85 85 DRIVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",38.24,42000.0,37.53,85000,1926,575738.0,, , ,, ,1057640,3190000, ,304997.0, ,84,,1606000.0,4-08847-0357,149000,1928.0,1078760
4-12945-0002,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""131 234 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""210 GRND CNTRL PARKWAY"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",59.65,145056.0,57.69,145056,1951,2365371.0,, , ,, ,2365863,8368000, ,1093503.0, ,192,,8652000.0,4-10599-0100,152362,1952.0,1071105
4-03154-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""66 THORNTON PLACE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",7.76,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""65 WETHEROLE STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",58.22,59532.0,63.62,144444,1963,976920.0,,57.28,"7,283,000",,0.35,2547992,9189000,64 SAUNDERS STREET,498283.0,1950,144,,3466000.0,4-03100-0026,115200,1953.0,1041408
4-09665-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 141 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",7.73,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""84 141 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",77.28,179072.0,38.11,357885,1958,3308472.0,,51.14,"6,472,000",,0.1,4439301,13640000,137 83 AVENUE,1384133.0,1952,291,,13839000.0,4-09712-0102,253180,1951.0,2491858
4-02248-0074,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""112 72 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",7.67,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""110 71 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",44.59,69322.0,56.04,49664,1940,995531.0,,50.7,"3,691,000",,0.24,744938,2783000,109 QUEENS BOULEVARD,399138.0,1936,49,,3091000.0,4-02235-0047,64003,1958.0,605468
4-02251-0027,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""113 72 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",5.76,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""72 112 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",58.83,60025.0,59.12,137500,1939,976877.0,,44.59,"3,091,000",,0.22,2270096,8129000,110 72 AVENUE,419664.0,1958,118,,3531000.0,4-02265-0079,123000,1951.0,1108230
4-02156-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""67 YELLOWSTONE BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",7.46,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""67 YELLOWSTONE BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",47.86,139052.0,46.02,118800,1941,1926710.0,,41.39,"5,700,000",,0.14,1610218,5467000,102 67 ROAD,885248.0,1960,109,,6655000.0,4-02210-0001,118096,1940.0,884539
4-03329-0004,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""118 83 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",5.75,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""118 METROPOLITAN AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",45.85,70059.0,47.32,83727,1928,1031969.0,,49.27,"3,652,000",,0.12,1220740,3962000,83 118 STREET,547161.0,1954,84,,3212000.0,4-03321-0037,88296,1931.0,829099
4-05378-0041,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""147 BEECH AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",7.23,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""144 BARCLAY AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",40.22,76649.0,38.99,46837,1931,976676.0,40.759295,47.53,"2,992,000",-73.812229,0.3,663112,1826000,42 PHLOX PLACE,515515.0,1930,49,1187.0,3083000.0,4-05053-0011,35875,1963.0,245744
4-16128-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""7600 SHORE FRONT PARKWAY"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""125 SEAGIRT BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",44.91,143312.0,26.75,837934,1971,1956486.0,40.586551, , ,-73.803505, ,8456242,22415000, ,982788.0, ,602,94203.0,6436000.0,4-15629-0062,545163,1974.0,3020203
4-01267-0012,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""34 81 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""81 34 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",22.66,22860.0,21.62,19010,1914,194226.0,, , ,, ,155382,411000, ,107687.0, ,20,,518000.0,4-01268-0010,14255,1912.0,53171
4-03321-0043,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 118 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",5.75,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 118 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",63.8,140196.0,56.8,30900,1960,2209851.0,,49.27,"3,652,000",,0,495327,1755000,83 118 STREET,902017.0,1954,44,,8944000.0,4-03321-0061,89784,1950.0,837685
4-08762-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""268 82 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",9.07,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""224 64 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",78.3,174200.0,77.52,138500,1949,3579610.0,,77.29,"1,892,000",,2.08,2812551,10736000,87 WINCHESTER BOULEVARD,1387893.0,1965,177,,13640000.0,4-07672-0002,94685,1949.0,1136220
4-01267-0006,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""34 81 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""81 34 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",22.66,22860.0,21.62,19010,1914,194226.0,, , ,, ,155382,411000, ,107687.0, ,20,,518000.0,4-01268-0010,16800,1912.0,62664
4-02082-0107,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""61 97 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",6.44,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""96 57 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",35.72,253093.0,40.27,254600,1962,3076404.0,,34.73,"8,315,000",,0.19,3249376,10252000,97 57 AVENUE,1653912.0,1962,220,,9041000.0,4-01918-0060,395000,1962.0,2223850
4-08178-0008,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""241 NORTHERN BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""43 DOUGLASTON PARKWAY"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",78.2,147700.0,60.77,114402,1963,2655707.0,, , ,, ,1961788,6952000, ,938256.0, ,148,,11550000.0,4-05865-0112,113332,1973.0,1282918
4-09713-0102,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""140 BURDEN CRESCENT"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",7.21,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""141 84 DRIVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",71.57,66924.0,56.42,55722,1952,1117161.0,,70.85,"5,192,000",,0.14,933732,3144000,85 139 STREET,455138.0,1952,72,,4790000.0,4-09712-0161,57672,1966.0,449842
4-04746-0035,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""157 17 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}", ,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""13 147 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",56.34,58380.0,59.13,24927,1950,929352.0,, , ,, ,474128,1474000, ,317783.0, ,36,,3289000.0,4-04157-0002,32216,1971.0,306527
4-03099-0007,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""65 BOOTH STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",6.13,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""65 BOOTH STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",37.96,62010.0,35.75,64932,1941,829074.0,,47.67,"2,860,000",,0.1,783660,2321000,65 SAUNDERS STREET,439031.0,1940,65,,2354000.0,4-03087-0052,60000,1941.0,435600
