queens_cooperatives_comparable_properties_address,queens_cooperatives_comparable_properties_gross_income_per_sqft,queens_cooperatives_comparable_properties_market_value_per_sqft,comparable_rental_1_neighborhood,comparable_rental_1_gross_income_per_sqft,comparable_rental_2_distance_from_coop_in_miles,comparable_rental_1_distance_from_coop_in_miles,nta,comparable_rental_3_building_classification,comparable_rental_3_boro_block_lot,bin,community_board,queens_cooperatives_comparable_properties_year_built,comparable_rental_1_boro_block_lot,comparable_rental_3_estimated_expense,comparable_rental_3_gross_sqft,comparable_rental_3_gross_income_per_sqft,community_council,queens_cooperatives_comparable_properties_total_units,comparable_rental_2_building_classification,comparable_rental_3_neighborhood
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""139 85 DRIVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.68,54.62,BRIARWOOD,15.96,0.07,0.0,,D3-ELEVATOR,4-09644-0001,,,1959,4-09711-0056,"1,423,205","167,400",17.79,,125,D1-ELEVATOR,BRIARWOOD
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""212 16 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",16.21,48.3,BAYSIDE,16.21,1.85,1.76,, ,,,,1956,4-06277-0050, , , ,,60,C9-WALK-UP, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""201 35 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",18.78,48.27,BAYSIDE,21.27,0.66,0.5,,C9-WALK-UP,4-06206-0001,,,1949,4-06215-0002,"184,525","20,400",18.33,,14,C9-WALK-UP,BAYSIDE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""41 45 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",12.79,45.32,SUNNYSIDE,12.66,0.18,0.12,,D1-ELEVATOR,4-00163-0031,,,1943,4-00161-0026,"359,869","61,320",12.79,,320,D1-ELEVATOR,SUNNYSIDE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""193 37 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",17.59,46.74,FLUSHING-NORTH,17.59,0.21,0.21,,C9-WALK-UP,4-06206-0001,,,1951,4-05357-0033,"184,525","20,400",18.33,,11,C9-WALK-UP,BAYSIDE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""47 45 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.8,52.04,SUNNYSIDE,13.85,0.2,0.16,,D1-ELEVATOR,4-00198-0005,,,1964,4-00168-0036,"265,298","58,800",12.76,,93,D1-ELEVATOR,SUNNYSIDE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""65 WETHEROLE STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",12.8,46.68,REGO PARK,12.07,0.16,0.05,, ,,,,1947,4-03099-0016, , , ,,66,D1-ELEVATOR, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""151 88 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",12.73,38.27,RICHMOND HILL,12.65,2.77,2.42,, ,,,,1963,4-09206-0001, , , ,,151,D1-ELEVATOR, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""102 63 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.06,46.22,FOREST HILLS,13.56,0.1,0.13,,D1-ELEVATOR,4-02121-0051,,,1955,4-02146-0028,"778,405","103,400",15.5,,84,D1-ELEVATOR,FOREST HILLS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""108 72 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",17.19,60.27,FOREST HILLS,16.36,0.09,0.1,,D7-ELEVATOR,4-03255-0028,,,1939,4-02226-0001,"328,874","40,398",20.9,,71,D1-ELEVATOR,FOREST HILLS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 80 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.65,48.12,JACKSON HEIGHTS,14.65,0.24,0.15,,C7-WALK-UP,4-01291-0048,,,1917,4-01291-0025,"53,352","6,272",13.07,,15,C1-WALK-UP,JACKSON HEIGHTS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""71 150 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.35,34.32,FLUSHING-SOUTH,15.98,0.15,0.39,,C9-WALK-UP,4-06683-0017,,,1949,4-06595-0032,"252,193","38,908",14.43,,100,C9-WALK-UP,FLUSHING-SOUTH
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""41 78 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.09,35.89,ELMHURST,14.36,0.17,0.14,,D7-ELEVATOR,4-01509-0017,,,1951,4-01489-0018,"747,835","106,541",15.09,,168,D1-ELEVATOR,ELMHURST
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""215 43 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.78,72.75,BAYSIDE,18.19,0.09,0.75,,C1-WALK-UP,4-06263-0004,,,1928,4-06263-0007,"87,674","14,080",15.32,,14,C7-WALK-UP,BAYSIDE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""224 HILLSIDE AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",16.0,60.7,HOLLISWOOD,16.31,1.1,1.15,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      , ,,4460701.0,14.0,1951,4-10590-0100, , , ,32.0,200,C9-WALK-UP, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""77 MAIN STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.0,44.22,FLUSHING-SOUTH,15.98,0.46,0.7,,C9-WALK-UP,4-06683-0017,,,1949,4-06595-0032,"252,193","38,908",14.43,,45,C9-WALK-UP,FLUSHING-SOUTH
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""99 67 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.31,39.1,REGO PARK,13.07,0.1,0.0,,D1-ELEVATOR,4-03166-0095,,,1941,4-03168-0013,"773,925","109,200",14.31,,130,D3-ELEVATOR,REGO PARK
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""141 78 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.0,47.37,FLUSHING-SOUTH,15.98,0.46,0.7,,C9-WALK-UP,4-06683-0017,,,1949,4-06595-0032,"252,193","38,908",14.43,,60,C9-WALK-UP,FLUSHING-SOUTH
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 TALBOT STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.3,67.43,KEW GARDENS,11.96,0.21,0.1,,D3-ELEVATOR,4-03353-0001,,,1933,4-03353-0059,"1,002,827","124,343",15.49,,70,D1-ELEVATOR,KEW GARDENS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""73 AUSTIN STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",16.36,53.3,FOREST HILLS,16.75,0.12,0.2,,D1-ELEVATOR,4-02236-0012,,,1928,4-03258-0023,"709,250","104,644",15.79,,86,D1-ELEVATOR,FOREST HILLS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""34 150 PLACE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.16,57.25,FLUSHING-NORTH,15.18,0.28,0.41,,D1-ELEVATOR,4-04986-0018,,,1962,4-05052-0036,"313,078","49,000",14.01,,76,D1-ELEVATOR,FLUSHING-NORTH
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""71 147 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.35,31.58,FLUSHING-SOUTH,15.98,0.1,0.41,,C9-WALK-UP,4-06683-0017,,,1949,4-06595-0032,"252,193","38,908",14.43,,100,C9-WALK-UP,FLUSHING-SOUTH
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""10 NEILSON STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",12.26,42.82,FAR ROCKAWAY,12.26,0.07,0.0,,D1-ELEVATOR,4-15562-0001,,,1960,4-15555-0001,"630,887","83,900",13.37,,87,D1-ELEVATOR,FAR ROCKAWAY
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""166 POWELLS COVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",16.57,37.3,BAYSIDE,17.98,1.48,1.16,Whitestone                                                                 ,D1-ELEVATOR,4-05958-0030,,7.0,1958,4-05865-0112,"1,028,325","146,525",16.57,19.0,32,D3-ELEVATOR,BAYSIDE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""34 78 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.76,47.96,JACKSON HEIGHTS,15.89,0.14,0.05,, ,,,,1951,4-01263-0015, , , ,,162,D1-ELEVATOR, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""133 SANFORD AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.83,38.86,FLUSHING-NORTH,14.21,0.2,0.37,,D1-ELEVATOR,4-05185-0037,,,1935,4-05182-0015,"245,480","38,911",13.1,,47,D1-ELEVATOR,FLUSHING-NORTH
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""33 CRESCENT STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.29,36.09,ASTORIA,14.6,0.17,0.47,, ,,,,1950,4-00577-0023, , , ,,727,D1-ELEVATOR, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""59 QUEENS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11.14,31.65,WOODSIDE,11.14,2.66,0.15,,D1-ELEVATOR,4-00884-0012,,,1964,4-02319-0010,"509,935","72,000",13.91,,706,D1-ELEVATOR,ASTORIA
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""84 BEVERLY ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.33,55.28,KEW GARDENS,12.64,0.13,0.16,, ,,,,1926,4-03329-0070, , , ,,20,C1-WALK-UP, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""211 15 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",20.0,48.34,BAYSIDE,21.39,1.49,1.18,,C9-WALK-UP,4-06215-0002,,,1957,4-06172-0006,"236,089","24,140",21.27,,88,C9-WALK-UP,BAYSIDE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""25 UNION STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.5,36.95,FLUSHING-NORTH,12.94,0.65,0.64,,D1-ELEVATOR,4-05025-0050,,,1954,4-04995-0064,"1,318,159","189,748",14.5,,192,D3-ELEVATOR,FLUSHING-NORTH
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""84 SHORE PARKWAY"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",12.7,37.36,OZONE PARK,14.07,0.79,0.57,,C1-WALK-UP,4-09153-0066,,,1959,4-11545-0026,"114,540","17,700",12.7,,84,C1-WALK-UP,OZONE PARK
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""9 166 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",16.57,37.57,BAYSIDE,17.98,1.45,1.1,,D1-ELEVATOR,4-05958-0030,,,1958,4-05865-0112,"1,028,325","146,525",16.57,,32,D3-ELEVATOR,BAYSIDE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""108 71 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.06,46.22,FOREST HILLS,15.71,0.19,0.04,,D1-ELEVATOR,4-02214-0040,,,1966,4-02224-0028,"478,792","61,700",14.65,,106,D1-ELEVATOR,FOREST HILLS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""7 166 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",16.57,37.57,WHITESTONE,15.92,1.25,1.39,,D1-ELEVATOR,4-05958-0030,,,1958,4-04157-0002,"1,028,325","146,525",16.57,,32,D3-ELEVATOR,BAYSIDE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""25 31 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.1,46.75,ASTORIA,14.1,0.1,0.0,,D1-ELEVATOR,4-00581-0033,,,1939,4-00579-0036,"601,026","76,956",14.47,,121,D1-ELEVATOR,ASTORIA
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""252 63 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",20.0,44.1,OAKLAND GARDENS,20.31,1.49,1.47,,C9-WALK-UP,4-07943-0050,,,1952,4-07660-0002,"222,104","24,480",20.77,,84,C9-WALK-UP,QUEENS VILLAGE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""70 260 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",17.38,64.47,FRESH MEADOWS,18.51,6.11,3.06,, ,,,,1949,4-07117-0008, , , ,,128,C9-WALK-UP, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""214 HILLSIDE AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.88,47.2,QUEENS VILLAGE,14.88,0.15,0.15,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      ,C9-WALK-UP,4-10686-0001,4460707.0,14.0,1949,4-10681-0102,"64,702","10,870",14.25,32.0,25,C9-WALK-UP,QUEENS VILLAGE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""40 77 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11.6,31.97,ELMHURST,19.77,0.2,0.1,,D1-ELEVATOR,4-01496-0056,,,1941,4-01486-0052,"272,349","33,901",18.04,,55,D1-ELEVATOR,ELMHURST
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""22 MOTT AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.1,52.45,FAR ROCKAWAY,13.37,0.24,0.55,,D1-ELEVATOR,4-15584-0004,,,1955,4-15562-0001,"312,882","63,347",13.39,,72,D1-ELEVATOR,FAR ROCKAWAY
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""75 YELLOWSTONE BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.22,56.42,REGO PARK,14.22,0.72,0.06,,D1-ELEVATOR,4-03100-0026,,,1956,4-03148-0035,"498,283","59,532",16.41,,66,D1-ELEVATOR,REGO PARK
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""166 POWELLS COVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",16.57,37.03,BAYSIDE,17.98,1.55,1.22,Whitestone                                                                 ,D1-ELEVATOR,4-05958-0030,,7.0,1958,4-05865-0112,"1,028,325","146,525",16.57,19.0,32,D3-ELEVATOR,BAYSIDE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""13 212 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.37,48.37,BAYSIDE,12.52,1.56,1.56,, ,,,,1954,4-06277-0002, , , ,,84,C9-WALK-UP, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""74 34 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.63,35.83,JACKSON HEIGHTS,13.63,0.0,0.1,,D1-ELEVATOR,4-01263-0015,,,1952,4-01263-0044,"826,800","104,000",15.89,,161,D1-ELEVATOR,JACKSON HEIGHTS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""34 60 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11.99,51.78,JACKSON HEIGHTS,17.94,0.32,0.43,,D1-ELEVATOR,4-01336-0001,,,1962,4-01165-0045,"415,530","85,568",11.99,,83,D1-ELEVATOR,WOODSIDE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""97 63 DRIVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.06,44.11,REGO PARK,16.71,0.3,0.23,,D1-ELEVATOR,4-03097-0038,,,1959,4-03085-0055,"397,656","50,400",14.89,,45,D3-ELEVATOR,REGO PARK
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""164 WILLETS POINT"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",17.3,68.68,WHITESTONE,19.02,1.25,1.17,, ,,,,1952,4-04465-0175, , , ,,88,D3-ELEVATOR, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""55 98 PLACE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.1,39.58,CORONA,13.5,0.17,0.17,,D1-ELEVATOR,4-01918-0095,,,1965,4-01918-0080,"1,680,991","235,000",13.1,,208,D7-ELEVATOR,CORONA
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""67 SPRINGFIELD BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.34,57.75,FRESH MEADOWS,19.72,1.37,1.67,, ,,,,1949,4-07115-0002, , , ,,467,C9-WALK-UP, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""68 BURNS STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.28,58.42,FOREST HILLS,15.41,0.39,0.36,,D1-ELEVATOR,4-03205-0024,,,1920,4-02137-0046,"165,174","24,408",15.28,,24,D1-ELEVATOR,FOREST HILLS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""34 80 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",8.5,22.64,JACKSON HEIGHTS,8.17,0.05,0.05,,C1-WALK-UP,4-01432-0056,,,1922,4-01268-0006,"196,743","34,800",11.27,,11,C1-WALK-UP,JACKSON HEIGHTS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""67 THORNTON PLACE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",16.13,66.09,REGO PARK,16.41,0.3,0.35,,D3-ELEVATOR,4-03173-0013,,,1963,4-03100-0026,"452,085","70,910",15.95,,112,D3-ELEVATOR,REGO PARK
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""84 LANDER STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.53,37.54,BRIARWOOD,12.76,0.28,0.0,,D1-ELEVATOR,4-09715-0146,,,1951,4-09716-0126,"735,654","109,500",13.53,,60,D1-ELEVATOR,BRIARWOOD
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""227 HILLSIDE AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",16.0,44.17,FRESH MEADOWS,18.51,3.9,2.2,, ,,,,1951,4-07117-0008, , , ,,168,C9-WALK-UP, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""134 FRANKLIN AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.2,45.65,FLUSHING-NORTH,15.7,0.17,0.08,,D1-ELEVATOR,4-05101-0061,,,1962,4-05123-0061,"1,141,946","161,520",13.34,,154,D1-ELEVATOR,FLUSHING-NORTH
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""212 16 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",16.46,48.38,BAYSIDE,16.46,1.55,1.64,, ,,,,1957,4-06281-0001, , , ,,34,C9-WALK-UP, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""9 71 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",20.14,60.63,FOREST HILLS,23.6,0.17,0.14,Forest Hills                                                               ,C4-WALK-UP,4-03258-0042,4077443.0,6.0,1920,4-03256-0031,"50,500","15,088",15.34,29.0,24,C7-WALK-UP,FOREST HILLS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""81 155 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.39,37.11,OZONE PARK,14.07,1.06,0.68,, ,,,,1958,4-11545-0026, , , ,,96,C1-WALK-UP, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""141 84 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.96,48.13,BRIARWOOD,16.41,0.18,0.18,,D1-ELEVATOR,4-09711-0056,,,1955,4-09666-0040,"755,120","103,629",15.96,,79,D1-ELEVATOR,BRIARWOOD
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""41 41 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.46,46.7,SUNNYSIDE,12.03,0.0,0.0,,D1-ELEVATOR,4-00158-0038,,,1936,4-00184-0023,"551,188","71,490",14.55,,96,D1-ELEVATOR,SUNNYSIDE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""92 35 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11.25,35.66,JACKSON HEIGHTS,10.4,0.25,0.12,, ,,,,1940,4-01455-0060, , , ,,96,D1-ELEVATOR, 
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""91 88 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.71,35.3,WOODHAVEN,14.02,0.53,0.4,,D1-ELEVATOR,4-08847-0357,,,1938,4-09306-0030,"304,997","42,000",13.71,,66,D1-ELEVATOR,WOODHAVEN
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 78 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.65,46.73,JACKSON HEIGHTS,14.65,0.2,0.17,,C7-WALK-UP,4-01291-0048,,,1920,4-01291-0025,"53,352","6,272",13.07,,15,C1-WALK-UP,JACKSON HEIGHTS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""135 77 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.56,55.83,FLUSHING-SOUTH,15.98,0.59,0.62,,C9-WALK-UP,4-06683-0017,,,1937,4-06595-0032,"252,193","38,908",14.43,,174,C9-WALK-UP,FLUSHING-SOUTH
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""67 YELLOWSTONE BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.22,49.01,FOREST HILLS,14.22,0.44,0.19,,D1-ELEVATOR,4-02134-0001,,,1950,4-02137-0027,"886,621","139,236",14.39,,276,D7-ELEVATOR,FOREST HILLS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""110 72 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.04,46.28,FOREST HILLS,14.36,0.05,0.0,,D1-ELEVATOR,4-02225-0006,,,1966,4-02235-0047,"558,376","72,800",15.04,,62,D1-ELEVATOR,FOREST HILLS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""78 MAIN STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",15.0,38.1,FLUSHING-SOUTH,15.98,0.5,0.82,,C9-WALK-UP,4-06683-0017,,,1949,4-06595-0032,"252,193","38,908",14.43,,150,C9-WALK-UP,FLUSHING-SOUTH
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""81 LANGDALE STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",20.0,44.12,OAKLAND GARDENS,20.31,2.58,2.64,,C9-WALK-UP,4-07943-0050,,,1950,4-07660-0002,"222,104","24,480",20.77,,40,C9-WALK-UP,QUEENS VILLAGE
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""110 71 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",14.06,46.22,FOREST HILLS,15.0,0.05,0.0,Forest Hills                                                               ,D1-ELEVATOR,4-02246-0011,4077791.0,6.0,1951,4-02234-0031,"473,243","64,032",16.21,29.0,200,D1-ELEVATOR,FOREST HILLS
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""89 PARSONS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",12.91,40.59,JAMAICA,15.34,0.25,0.43,,D3-ELEVATOR,4-09814-0026,,,1961,4-09819-0003,"820,393","138,240",12.49,,191,D1-ELEVATOR,JAMAICA
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""98 64 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",13.66,45.61,REGO PARK,13.38,0.15,0.13,,D7-ELEVATOR,4-02090-0047,,,1949,4-02090-0026,"662,812","98,000",13.66,,144,D1-ELEVATOR,REGO PARK
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""150 79 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",16.53,32.37,FLUSHING-NORTH,16.95,3.22,3.21,, ,,,,1965,4-04995-0073, , , ,,75,D1-ELEVATOR, 
