queens_cooperatives_comparable_properties_boro_block_lot,queens_cooperatives_comparable_properties_expense_per_sqft,comparable_rental_2_expense_per_sqft,comparable_rental_3_total_units,comparable_rental_1_expense_per_sqft,comparable_rental_2_net_operating_income,comparable_rental_1_building_classification,queens_cooperatives_comparable_properties_estimated_expense,borough,queens_cooperatives_comparable_properties_neighborhood,comparable_rental_3_net_operating_income,postcode,comparable_rental_3_estimated_gross_income,comparable_rental_1_estimated_expense,comparable_rental_2_neighborhood,comparable_rental_1_net_operating_income,comparable_rental_2_address,bbl,comparable_rental_2_gross_income_per_sqft,queens_cooperatives_comparable_properties_full_market_value,queens_cooperatives_comparable_properties_building_classification,comparable_rental_2_total_units,queens_cooperatives_comparable_properties_estimated_gross_income
4-06574-0030,6.7,6.48,48,7.3,632188.0,C9-WALK-UP,113498,4,FLUSHING-SOUTH,"309,398",,"561,591",152629,FLUSHING-SOUTH,181762,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""147 72 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.6,535000,C6-WALK-UP,96.0,254100
4-09843-0019,4.33,4.74,79,5.95,425961.0,D1-ELEVATOR,252183,4,JAMAICA,"766,540",,"1,203,083",309629,JAMAICA,355471,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""170 CEDARCROFT ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13.54,2244000,D4-ELEVATOR,71.0,731633
4-04758-0010,7.79,5.44, ,9.68,611569.0,C1-WALK-UP,959286,4,WHITESTONE, ,, ,241346,WHITESTONE,232782,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""19 PARSONS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,15.92,7860000,C6-WALK-UP,60.0,2131720
4-00579-0042,7.06,7.06,73,7.18,286627.0,D1-ELEVATOR,118608,4,ASTORIA,"512,527",,"1,113,553",283856,ASTORIA,314884,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""31 29 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.3,816000,D4-ELEVATOR,48.0,240240
4-00194-0023,7.03,7.31,25,7.22,265499.0,C1-WALK-UP,855649,4,SUNNYSIDE,"132,033",,"280,672",192140,SUNNYSIDE,215612,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""39 47 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,16.16,5626000,C6-WALK-UP,44.0,1711299
4-05302-0083,7.5,5.45,18,6.78,91224.0,C1-WALK-UP,83948,4,FLUSHING-NORTH,"81,774",,"170,352",60251,FLUSHING-NORTH,71763,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""144 34 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.54,423000,C6-WALK-UP,14.0,156702
4-10682-0001,6.87,7.88, ,8.03,105422.0,C9-WALK-UP,74162,4,QUEENS VILLAGE, ,, ,114844,QUEENS VILLAGE,97992,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""213 HILLSIDE AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,15.25,608000,C6-WALK-UP,18.0,162573
4-02266-0079,5.76,6.08,66,3.59,825769.0,D1-ELEVATOR,837309,4,FOREST HILLS,"750,889",,"1,067,820",270817,FOREST HILLS,1041527,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""111 76 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,19.96,5495000,D4-ELEVATOR,66.0,1695542
4-05136-0050,6.04,7.79,64,6.04,432687.0,D1-ELEVATOR,331022,4,FLUSHING-NORTH,"463,464",,"749,547",352611,FLUSHING-NORTH,546613,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""44 COLDEN STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.96,2519000,D4-ELEVATOR,71.0,843997
4-07755-0003,8.0,7.97,48,7.87,2191717.0,C9-WALK-UP,997296,4,OAKLAND GARDENS,"286,440",,"508,544",1090484,OAKLAND GARDENS,1722067,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""224 69 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,20.55,5698000,C6-WALK-UP,224.0,2493240
4-01439-0001,5.47,5.0, ,6.92,225067.0,D1-ELEVATOR,2165300,4,JACKSON HEIGHTS, ,, ,360117,JACKSON HEIGHTS,294026,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""94 34 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,10.4,14080000,D4-ELEVATOR,43.0,4548317
4-10264-0091,6.56,6.56,24,4.83,190953.0,C1-WALK-UP,313568,4,SOUTH JAMAICA,"128,972",,"250,344",192518,SO. JAMAICA-BAISLEY PARK,436356,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""116 169 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13.36,2145000,C6-WALK-UP,40.0,638608
4-09845-0027,4.98,7.07,96,6.12,1067206.0,D1-ELEVATOR,574254,4,JAMAICA,"885,117",,"1,481,110",692342,JAMAICA,1058299,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""88 168 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,15.34,5214000,D4-ELEVATOR,190.0,1583234
4-06676-0020,6.7,6.48,48,7.3,632188.0,C9-WALK-UP,144720,4,FLUSHING-SOUTH,"309,398",,"561,591",152629,FLUSHING-SOUTH,181762,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""147 72 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.6,1194000,C6-WALK-UP,96.0,324000
4-04591-0096,7.02,6.35,121,5.44,1717451.0,D3-ELEVATOR,285658,4,BEECHHURST,"1,399,185",,"2,427,510",317783,BAYSIDE,611569,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""16 BELL BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,17.98,1529000,D4-ELEVATOR,152.0,674266
4-02136-0021,5.88,6.1,123,5.74,885509.0,D1-ELEVATOR,458816,4,FOREST HILLS,"1,076,324",,"1,872,338",407556,FOREST HILLS,686903,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""67 YELLOWSTONE BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13.55,4090000,D4-ELEVATOR,109.0,1079155
4-00534-0015,6.18,6.39,120,6.18,339695.0,D1-ELEVATOR,177391,4,ASTORIA,"1,025,245",11363.0,"1,663,851",510299,ASTORIA,667643,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""23 31 DRIVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13.75,1342000,D4-ELEVATOR,53.0,409032
4-03087-0002,6.11,6.31,66,7.08,373636.0,D1-ELEVATOR,410592,4,REGO PARK,"551,870",,"908,149",439031,REGO PARK,390043,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""65 BOOTH STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,12.07,2618000,D4-ELEVATOR,65.0,898464
4-01222-0009,4.42,5.29,107,7.43,850667.0,D1-ELEVATOR,575159,4,WOODSIDE,"624,555",,"1,354,341",955351,WOODSIDE,874991,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""40 69 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,16.45,3581000,D4-ELEVATOR,104.0,1176451
4-03291-0016,5.7,5.91,108,5.7,612019.0,D1-ELEVATOR,702137,4,FOREST HILLS,"942,912",,"1,652,162",784152,FOREST HILLS,1485944,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""111 76 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,17.36,7106000,D4-ELEVATOR,60.0,2033735
4-00177-0001,7.03,8.76,58,6.88,676695.0,D1-ELEVATOR,2879052,4,SUNNYSIDE,"511,014",,"893,554",787596,SUNNYSIDE,948239,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""43 47 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,16.3,18930000,D4-ELEVATOR,110.0,5758104
4-05024-0024,6.95,6.68,113,6.95,1242160.0,D1-ELEVATOR,1050034,4,FLUSHING-NORTH,"731,409",,"1,441,939",1318159,FLUSHING-NORTH,1433605,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""143 BARCLAY AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.39,6721000,D4-ELEVATOR,168.0,2190718
4-00175-0001,4.51,5.46,55,4.51,495102.0,D1-ELEVATOR,240834,4,SUNNYSIDE,"335,160",,"728,280",265298,SUNNYSIDE,485019,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""47 41 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,12.48,2497000,D4-ELEVATOR,63.0,681384
4-07754-0003,7.84,7.69,288,4.31,2499615.0,C9-WALK-UP,1846100,4,OAKLAND GARDENS,"2,045,519",,"3,548,058",897160,HOLLISWOOD,1711526,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""86 GRAND CENTRL PARKWAY"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,16.31,10716000,C6-WALK-UP,384.0,3395506
4-08358-0001,7.03,7.69, ,4.31,2499615.0,C9-WALK-UP,1841804,4,LITTLE NECK, ,, ,897160,HOLLISWOOD,1711526,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""86 GRAND CENTRL PARKWAY"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,16.31,11550000,C6-WALK-UP,384.0,3777925
4-01509-0006,5.92,, ,5.92,,D1-ELEVATOR,457959,4,ELMHURST, ,, ,438034, ,381955,,,,2465000,D4-ELEVATOR,,857127
4-04743-0001,7.79,5.44, ,9.68,611569.0,C1-WALK-UP,329944,4,WHITESTONE, ,, ,241346,WHITESTONE,232782,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""19 PARSONS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,15.92,1980000,C6-WALK-UP,60.0,733209
4-09837-0080,6.68,7.3,77,6.68,307792.0,D1-ELEVATOR,361281,4,JAMAICA,"389,758",,"927,328",397278,JAMAICA,382471,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""164 89 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.47,2313000,D4-ELEVATOR,42.0,709041
4-07742-0003,7.84,4.31, ,6.91,1711526.0,C9-WALK-UP,1737509,4,OAKLAND GARDENS, ,, ,1502539,BAYSIDE,2045519,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""42 CORPORAL"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,12.52,9801000,C6-WALK-UP,219.0,3195775
4-01443-0049,5.34,4.51,24,8.8,69718.0,C1-WALK-UP,61463,4,JACKSON HEIGHTS,"86,539",,"194,226",239359,JACKSON HEIGHTS,219866,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""81 34 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,8.17,535000,C6-WALK-UP,20.0,97835
4-07636-0007,8.0,7.97,48,7.87,2191717.0,C9-WALK-UP,748000,4,OAKLAND GARDENS,"286,440",,"508,544",1090484,OAKLAND GARDENS,1722067,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""224 69 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,20.55,4279000,C6-WALK-UP,224.0,1870000
4-09631-0232,5.22,6.72, ,3.72,745963.0,D1-ELEVATOR,600300,4,KEW GARDENS, ,, ,342363,BRIARWOOD,939294,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""141 PERSHING CRESCENT"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13.53,6314000,D4-ELEVATOR,108.0,1578950
4-07840-0002,8.0,7.97,48,7.87,2191717.0,C9-WALK-UP,807088,4,OAKLAND GARDENS,"286,440",,"508,544",1090484,OAKLAND GARDENS,1722067,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""224 69 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,20.55,4631000,C6-WALK-UP,224.0,2017720
4-02224-0048,5.54,7.67,67,5.54,536536.0,D1-ELEVATOR,273471,4,FOREST HILLS,"596,393",,"995,531",275088,FOREST HILLS,469850,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""109 QUEENS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,15.04,3214000,D4-ELEVATOR,65.0,740445
4-03233-0022,6.73,6.73,50,7.27,647758.0,D7-ELEVATOR,471100,4,FOREST HILLS,"402,483",,"803,969",143912,FOREST HILLS,226238,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""109 72 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,17.19,4235000,D4-ELEVATOR,67.0,1203300
4-01456-0052,7.49,, ,7.49,,C1-WALK-UP,147441,4,JACKSON HEIGHTS, ,, ,1354827, ,1117556,,,,804000,C6-WALK-UP,,269094
4-00141-0024,4.95,4.95,82,9.69,685145.0,D1-ELEVATOR,290318,4,SUNNYSIDE,"422,628",,"855,871",417252,SUNNYSIDE,233147,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""43 45 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13.54,2574000,D4-ELEVATOR,95.0,794121
4-06150-0001,8.0,7.96, ,9.78,93499.0,C9-WALK-UP,544960,4,BAYSIDE, ,11363.0, ,236089,BAYSIDE,277369,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""38 213 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,18.78,2134000,C6-WALK-UP,12.0,1362400
4-03166-0107,7.09,7.09,98,4.27,788827.0,D1-ELEVATOR,663369,4,REGO PARK,"765,493",,"1,398,935",261496,REGO PARK,668688,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""67 BURNS STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.31,4679000,D4-ELEVATOR,112.0,1338901
4-02186-0038,7.03,6.97,16,5.03,95116.0,D3-ELEVATOR,436162,4,FOREST HILLS,"237,613",,"362,975",102083,CORONA,293565,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""57 VAN DOREN STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,26.19,2868000,C6-WALK-UP,14.0,872325
4-04343-0010,6.3,7.08, ,6.99,1200647.0,D1-ELEVATOR,1649189,4,FLUSHING-NORTH, ,, ,1337397,FLUSHING-NORTH,1140327,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""132 SANFORD AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13.37,9669000,D4-ELEVATOR,204.0,3444972
4-07656-0002,8.0,7.97,48,7.87,2191717.0,C9-WALK-UP,863904,4,OAKLAND GARDENS,"286,440",,"508,544",1090484,OAKLAND GARDENS,1722067,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""224 69 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,20.55,4939000,C6-WALK-UP,224.0,2159760
4-00178-0025,7.03,4.9,58,6.88,620852.0,D1-ELEVATOR,1652050,4,SUNNYSIDE,"511,014",,"893,554",787596,SUNNYSIDE,948239,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""48 44 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.76,10862000,D4-ELEVATOR,66.0,3304100
4-03163-0015,5.68,4.27, ,7.09,668688.0,D1-ELEVATOR,524832,4,REGO PARK, ,11375.0, ,773925,REGO PARK,788827,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""101 BOOTH STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,15.19,4917000,D4-ELEVATOR,62.0,1362900
4-09711-0020,5.43,6.37,12,6.98,149858.0,C7-WALK-UP,96013,4,BRIARWOOD,"96,270",,"128,890",148115,JAMAICA,164820,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""146 HILLSIDE AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13.56,771000,C6-WALK-UP,24.0,224843
4-01949-0090,7.03,7.53,102,5.5,824385.0,D1-ELEVATOR,716062,4,CORONA,"719,661",,"1,480,121",475143,FOREST HILLS,729448,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""102 62 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,15.5,4708000,D4-ELEVATOR,122.0,1432123
4-03165-0062,7.09,7.09,54,6.38,788827.0,D3-ELEVATOR,608322,4,REGO PARK,"299,293",,"640,978",452085,REGO PARK,678585,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""67 BURNS STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.31,4291000,D4-ELEVATOR,112.0,1227798
4-02234-0038,5.54,5.76,49,6.78,596393.0,D1-ELEVATOR,619095,4,FOREST HILLS,"469,850",,"744,938",709250,FOREST HILLS,942912,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""110 72 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.36,6358000,D4-ELEVATOR,67.0,1676250
4-02251-0002,7.39,6.99,63,5.7,557213.0,D1-ELEVATOR,906058,4,FOREST HILLS,"564,429",,"1,037,672",784152,FOREST HILLS,1485944,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""75 113 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,16.27,6930000,D4-ELEVATOR,92.0,1987443
4-01872-0045,5.54,6.13,109,4.85,928568.0,D1-ELEVATOR,555706,4,ELMHURST,"849,888",,"1,443,059",521037,ELMHURST,835562,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""56 56 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.71,3718000,D4-ELEVATOR,113.0,1353155
4-06574-0005,6.7,6.48,48,7.3,632188.0,C9-WALK-UP,94738,4,FLUSHING-SOUTH,"309,398",,"561,591",152629,FLUSHING-SOUTH,181762,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""147 72 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.6,447000,C6-WALK-UP,96.0,212100
4-03087-0025,6.11,6.31,66,7.08,373636.0,D1-ELEVATOR,351936,4,REGO PARK,"551,870",,"908,149",439031,REGO PARK,390043,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""65 BOOTH STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,12.07,2233000,D4-ELEVATOR,65.0,770112
4-02127-0018,6.92,6.68,102,6.92,568390.0,D1-ELEVATOR,747360,4,FOREST HILLS,"719,661",,"1,480,121",830380,FOREST HILLS,822902,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""63 108 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13.56,4888000,D4-ELEVATOR,76.0,1488240
4-04312-0010,6.51,5.33,90,6.51,1744744.0,D1-ELEVATOR,1698856,4,FLUSHING-NORTH,"772,593",,"1,306,385",645507,FLUSHING-NORTH,983742,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""140 34 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,16.34,9922000,D4-ELEVATOR,151.0,4287589
4-03323-0001,6.12,7.73,85,7.81,573530.0,D1-ELEVATOR,540225,4,KEW GARDENS,"456,699",,"993,399",547161,KEW GARDENS,484808,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""118 METROPOLITAN AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.58,5159000,D4-ELEVATOR,84.0,1287006
4-10524-0001,8.82,7.54, ,7.83,1271868.0,C9-WALK-UP,1060132,4,HOLLISWOOD, ,, ,1135788,HOLLISWOOD,1230075,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""206 86 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,16.31,5231000,C6-WALK-UP,192.0,1821052
4-06793-0225,5.59,8.87, ,8.67,515250.0,D1-ELEVATOR,1674655,4,FLUSHING-SOUTH, ,, ,456580,HILLCREST,438147,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""80 PARSONS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,17.74,4825000,D4-ELEVATOR,112.0,2494958
4-03341-0037,5.91,4.84,60,5.47,621476.0,D1-ELEVATOR,289590,4,FOREST HILLS,"612,019",,"928,106",316931,FOREST HILLS,750889,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""111 76 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,16.75,2684000,D4-ELEVATOR,61.0,850640
4-11451-0050,6.47,3.53,24,5.43,93567.0,C1-WALK-UP,637295,4,HOWARD BEACH,"110,231",,"224,771",112049,OZONE PARK,178482,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""92 SILVER ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,8.4,3696000,C6-WALK-UP,16.0,1250950
4-03205-0020,6.77,6.77,56,5.74,207770.0,D1-ELEVATOR,165242,4,FOREST HILLS,"633,826",,"1,049,921",407556,FOREST HILLS,686903,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""68 BURNS STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,15.28,1426000,D4-ELEVATOR,20.0,372954
4-03334-0250,6.51,4.78,60,6.51,663397.0,D1-ELEVATOR,383205,4,FOREST HILLS,"612,019",,"928,106",335400,FOREST HILLS,535860,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""111 76 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,16.49,2255000,D4-ELEVATOR,60.0,994802
4-01580-0037,5.24,6.87,28,7.92,160139.0,C1-WALK-UP,128087,4,ELMHURST,"126,135",,"301,285",175860,ELMHURST,119485,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""42 80 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13.74,877000,D4-ELEVATOR,32.0,291372
4-08489-0001,5.96,6.76, ,7.25,17316987.0,D9-ELEVATOR,22355243,4,GLEN OAKS, ,11005.0, ,8908776,REGO PARK,12407996,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""104 QUEENS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4084890001.0,16.7,300151000,D4-ELEVATOR,1327.0,63872122
4-09944-0001,5.48,7.29,122,8.55,611796.0,D1-ELEVATOR,187445,4,JAMAICA ESTATES,"1,087,371",,"1,910,533",489193,JAMAICA ESTATES,496176,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""87 MIDLAND PARKWAY"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,17.19,1573000,D4-ELEVATOR,64.0,471646
4-02137-0013,6.38,6.38,104,6.09,678585.0,D1-ELEVATOR,460783,4,FOREST HILLS,"868,460",,"1,673,321",426593,REGO PARK,687393,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""101 67 DRIVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,15.95,3762000,D4-ELEVATOR,61.0,1151957
4-11446-0050,7.26,4.42,47,4.91,682269.0,D5-ELEVATOR,1151436,4,HOWARD BEACH,"270,741",,"575,738",152450,WOODHAVEN,282529,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""85 85 DRIVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,12.44,5951000,D4-ELEVATOR,84.0,2174406
4-01275-0045,5.87,5.9, ,5.84,624555.0,D1-ELEVATOR,613415,4,JACKSON HEIGHTS, ,, ,321027,JACKSON HEIGHTS,332705,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 73 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,10.96,3729000,D4-ELEVATOR,107.0,1194435
4-05192-0001,6.68,6.68,126,7.79,1242160.0,D1-ELEVATOR,1319761,4,FLUSHING-NORTH,"683,280",,"1,422,720",933438,FLUSHING-NORTH,851913,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""143 BARCLAY AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14.39,8866000,D4-ELEVATOR,168.0,2843018
4-04603-0048,7.02,5.44,121,6.35,611569.0,D3-ELEVATOR,285658,4,BEECHHURST,"1,399,185",,"2,427,510",938256,WHITESTONE,1717451,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""19 PARSONS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,15.92,1518000,D4-ELEVATOR,60.0,674266
4-09246-0305,5.9,4.53, ,5.68,504352.0,D1-ELEVATOR,488325,4,KEW GARDENS, ,, ,534064,KEW GARDENS,650129,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""80 LEFFERTS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,11.96,2684000,D4-ELEVATOR,48.0,1016379
