schooldbn,name,code_prog1,telephone,name_prog1,geappsperseat_prog8,tophs2,priority1_prog6,swdfilled_prog8,priority1_prog7,sharedbuilding,geseats_prog2,geseats_prog5,code_prog2,admissionsmethod_prog2,geapps_prog13,mathprof,gefilled_prog8,swdappsperseat_prog7,totalstudents,eligibility_prog8,name_prog13,swdapps_prog1,eligibility_prog7,code_prog9,census_tract,code_prog12,geapps_prog3,swdseats_prog8,priority2_prog8,electiveclasses,swdfilled_prog11,eligibility_prog1,geapps_prog11,eligibility_prog13,gefilled_prog5,gefilled_prog12,swdfilled_prog7,geapps_prog6,gefilled_prog6,swdappsperseat_prog4,swdapps_prog8
24Q102,P.S. 102 Bayview,Q102Z,718-446-3308,P.S./I.S. 102Q,,Maspeth High School,,,,,,,,,,65.0,,,1279.0,,,21.0,,,479.0,,,,,"Advisory, Art, Band, Coding, Concert Band, Fitness, Game Design, Living Environment, Mindfulness, Physical Education, Regents Living Environment, Urban Advantage, Yearbook, Yoga",,Open to continuing 5th grade students and students residing in the elementary school zone,,,,,,,,,
28Q072,Catherine & Count Basie Middle School 72,Q072M,718-723-6200,Catherine and Count Basie (M.S. 72) Haitian Creole Dual Language Program,,John Bowne High School,,,,,58.0,,Q072U,Open,,12.0,,,272.0,,,25.0,,,33402.0,,,,,,,Open to students and residents of Queens,,,,,,,,,
19K661,Vista Academy,K661L,718-647-0913,Vista Academy,,,,,,Yes-19K302,,,,,,35.0,,,474.0,,,162.0,,,1170.0,,,,,"Advisory, Algebra I, Art, Band, Book Club, Chess, Chorus, Coding, Computer Science, Concert Band, Cooking, Creative Writing, Dance, Engineering, Film, Fine Arts, Fitness, Foreign Language, Graphic Design, Guitar, Health, LEGO Robotics, Library, Living Environment, Math, Mindfulness, Music, Newspaper, Peer Mediation, Performing Arts, Photography, Physical Education, Regents Living Environment, Robotics, Saturday Academy, Science, Specialized High School Test Preparation, STEM, Student Council, Studio Art, Technology, Theater, Videography, Visual Arts, Yearbook, Yoga",,Open to students and residents of District 19,,,,,,,,,
12X341,Accion Academy,X341U,718-378-1649,ACCION Academy,,The Metropolitan Soundview High School,,,,Yes-12X116,,,,,,9.0,,,384.0,,,88.0,,,159.0,,,,,,,Open to students and residents of the Bronx,,,,,,,,,
21K209,P.S. 209 Margaret Mead,K209Z,718-743-1954,The Margaret Mead School (P.S. 209),,Abraham Lincoln High School,,,,,,,,,,57.0,,,742.0,,,26.0,,,370.0,,,,,,,Open to continuing 5th grade students and students residing in the elementary school zone,,,,,,,,,
23K392,I.S. 392,K392S,718-498-2491,I.S. 392,,,,,,Yes-23K356,,,,,,54.0,,,326.0,,,65.0,,,900.0,,,,,,,Open to students and residents of Brooklyn,,,,,,,,,
25Q219,P.S. 219 Paul Klapper,Q219U,718-793-2130,P.S./M.S. 219,,Forest Hills High School,,,,,,,,,,64.0,,,638.0,,,45.0,,,809.0,,,,,,,Open to students and residents of District 25,,,,,,,,,
29Q356,Community Voices Middle School,Q356U,718-977-6180,Community Voices Middle School,,,,,,Yes-29Q231,,,,,,17.0,,,340.0,,,48.0,,,320.0,,,,,"Advisory, Algebra I, Art, Book Club, Chess, Chorus, Computer Science, Dance, Fitness, Foreign Language, LEGO Robotics, Library, Living Environment, Math, Mindfulness, Music, Peer Mediation, Photography, Physical Education, Piano, Regents Living Environment, Robotics, Saturday Academy, Science, Spanish, STEM, Stock Market, Student Council, Technology, Urban Advantage, Yearbook",,Open to students and residents of District 29,,,,,,,,,
08X424,The Hunts Point School,X424U,718-328-1972,The Hunts Point School,,Bronx International High School,,,,Yes-08X074,,,,,,11.0,,,289.0,,,38.0,,,117.0,,,,,,,Open to students and residents of the Bronx,,,,,,,,,
08X101,M.S. X101 Edward R. Byrne,X101A,718-829-6372,The Edward R. Byrne School (M.S. 101) G&T Program,,Herbert H. Lehman High School,,,,,83.0,,X101U,Open,,60.0,,,545.0,,,40.0,,,152.0,,,,,"Algebra I, Art, Band, Chess, Coding, Computer Science, Concert Band, Debate, Drama, Fine Arts, Foreign Language, Journalism, Math Team, Musical Theater, National Junior Honor Society, Newspaper, Orchestra, Performing Arts, Physical Education, Science, Spanish, Specialized High School Test Preparation, Student Council, Studio Art, Technology, Theater, Urban Advantage, Visual Arts, Yearbook",,Open to students and residents of the Bronx,,,,,,,,,
11X556,Bronx Park Middle School,X556U,718-652-6090,Bronx Park Middle School,,University Heights Secondary School,,,,Yes-11X135,,,,,,25.0,,,408.0,,,115.0,,,330.0,,,,,"Advisory, Algebra I, Art, Ballroom Dancing, Coding, Foreign Language, Health, Library, Math, Physical Education, Regents Living Environment, Saturday Academy, Specialized High School Test Preparation, STEM, Studio Art, US History, Web Design, Gardening",,Open to students and residents of the Bronx,,,,,,,,,
27Q333,Goldie Maple Academy,Q333M,718-945-3300,Goldie Maple Academy,,,,,,Yes-27Q198,,,,,,22.0,,,414.0,,,32.0,,,97204.0,,,,,,,Open to students and residents of District 27,,,,,,,,,
11X326,Bronx Green Middle School,X326U,718-325-6593,Bronx Green Middle School,,Harry S Truman High School,,,,Yes-11X135,,,,,,25.0,,,415.0,,,106.0,,,330.0,,,,,"Algebra I, Art, Debate, Mindfulness, Regents Living Environment, Saturday Academy, US History",,Open to students and residents of the Bronx,,,,,,,,,
28Q217,J.H.S. 217 Robert A. Van Wyck,Q217U,718-657-1120,Robert A. Van Wyck (Middle School 217),,Thomas A. Edison Career and Technical Education High School,,,,,,,,,,39.0,,,1710.0,,,180.0,,,232.0,,,,,"Advisory, Algebra I, Art, Band, Book Club, Chess, Chorus, Coding, Computer Science, Cooking, Creative Writing, Dance, Debate, Drama, Fine Arts, Fitness, Foreign Language, Graphic Design, Health, LEGO Robotics, Math Team, Mindfulness, Music, National Junior Honor Society, Peer Mediation, Performing Arts, Physical Education, Regents Living Environment, Robotics, Saturday Academy, Science, Spanish, Specialized High School Test Preparation, STEM, Student Council, Studio Art, Swimming, Technology, Theater, Urban Advantage, US History, Visual Arts, Vocal Music, Web Design, Yearbook, Yoga",,Open to students and residents of District 28,,,,,,,,,
31R080,The Michael J. Petrides School,R080U,718-815-0186,The Michael J. Petrides School,,Susan E. Wagner High School,,,,Yes-31R880,,,,,,56.0,,,1338.0,,,196.0,,,177.0,,,,,"Algebra I, Art, Band, Chorus, Computer Science, Concert Band, Dance, Fine Arts, Fitness, Graphic Design, Living Environment, National Junior Honor Society, Orchestra, Performing Arts, Physical Education, Regents Living Environment, Swimming, Technology, US History, Vocal Music",,Open to students and residents of District 31,,,,,,,,,
27Q323,Scholars' Academy,Q323M,718-474-6918,Scholars' Academy,,Townsend Harris High School,,,,Yes-27Q180,,,,,,92.0,,,1311.0,,,126.0,,,938.0,,,,,"Advisory, Algebra I, Art, Band, Chess, Chorus, Drama, Fitness, Foreign Language, Guitar, Journalism, Library, Living Environment, Math, Music, National Junior Honor Society, Newspaper, Peer Mediation, Physical Education, Regents Living Environment, Science, Spanish, STEM, Studio Art, Technology, Theater, US History, Visual Arts, Yearbook",,Open to students and residents of New York City,,,,,,,,,
31R075,I.S. 075 Frank D. Paulo,R075A,718-701-6343,Scholars Program,,Susan E. Wagner High School,,,,,312.0,,R075Z,Zoned,,64.0,,,1448.0,,,42.0,,,17010.0,,,,,"Advisory, Algebra I, Art, Band, Book Club, Chorus, Coding, Computer Science, Concert Band, Creative Writing, Dance, Debate, Drama, Engineering, Fine Arts, Fitness, Foreign Language, Graphic Design, Guitar, Health, Jazz Band, LEGO Robotics, Library, Living Environment, Math, Math Team, Music, Musical Theater, National Junior Honor Society, Newspaper, Peer Mediation, Performing Arts, Physical Education, Regents Living Environment, Robotics, Saturday Academy, Science, Spanish, Specialized High School Test Preparation, STEM, Student Council, Studio Art, Technology, Theater, Urban Advantage, US History, Videography, Visual Arts, Vocal Music, Yearbook",,Open to students and residents of District 31,,,,,,,,,
29Q147,P.S./M.S. 147 Ronald McNair,Q147U,718-528-2420,Ronald McNair (P.S./M.S. 147),,"Queens High School of Teaching, Liberal Arts and the Sciences",,,,,,,,,,16.0,,,559.0,,,38.0,,,598.0,,,,,"Algebra I, Art, Chess, Chorus, Computer Science, Debate, Drama, Health, Math, Math Team, Music, National Junior Honor Society, Saturday Academy, Science, Theater, Vocal Music, Yearbook, My Brother's Keeper (Boys Mentoring), Beautiful Me (Girls Mentoring)",,Open to students and residents of District 29,,,,,,,,,
08X301,M.S. 301 Paul L. Dunbar,X301U,718-585-2950,The Paul L. Dunbar Middle School (M.S. 301),,,,,,Yes-08X120,,,,,,13.0,,,199.0,,,34.0,,,185.0,,,,,,,Open to students and residents of the Bronx,,,,,,,,,
30Q227,I.S. 227 Louis Armstrong,Q227U,718-335-7500,Louis Armstrong Middle School,,Forest Hills High School,,,,,,,,,,75.0,,,1570.0,,,547.0,,,353.0,,,,,"Advisory, Algebra I, Art, Band, Ceramics, Chess, Chorus, Coding, Concert Band, Creative Writing, Debate, Drama, Engineering, Fine Arts, Fitness, Foreign Language, Guitar, Health, Jazz Band, Journalism, LEGO Robotics, Library, Living Environment, Math, Mindfulness, Music, Musical Theater, National Junior Honor Society, Orchestra, Peer Mediation, Performing Arts, Physical Education, Piano, Regents Living Environment, Science, Spanish, STEM, Strings, Student Council, Studio Art, Technology, Theater, US History, Visual Arts, Vocal Music, Web Design, Yearbook",,Open to students and residents of Queens; students may apply for 5th or 6th grade admission,,,,,,,,,
05M362,Columbia Secondary School,M362M,212-666-1278,"Columbia Secondary School for Math, Science and Engineering",,The Bronx High School of Science,,,,Yes-05M125,,,,,,88.0,,,698.0,,,165.0,,,20901.0,,,,,,,"Open to students and residents of Districts 3, 4, 5, and 6.",,,,,,,,,
05M514,New Design Middle School,M514L,212-281-6339,New Design Middle School,,Longwood Preparatory Academy,,,,Yes-05M195,,,,,,9.0,,,138.0,,,74.0,,,22302.0,,,,,"Advisory, Algebra I, Chess, Dance, Drama, Fashion, Health, Math, Physical Education, Saturday Academy, Science, Specialized High School Test Preparation, Student Council, Technology, Theater, Yearbook",,Open to students and residents of District 5,,,,,,,,,
20K936,M.S. 936,K936U,718 - 759 - 4908,M.S. 936,,,,,,,,,,,,,,,,,,67.0,,,22.0,,,,,"Art, Band, Chorus, Concert Band, Dance, Drama, Jazz Band, Music, Musical Theater, National Junior Honor Society, Orchestra, Performing Arts, Theater, Visual Arts",,Open to students and residents of District 20,,,,,,,,,
13K527,Urban Assembly Institute of Math and Science for Young Women,K527S,718-260-2300,Urban Assembly Institute of Math and Science for Young Women (M.S. 527),,Bedford Academy High School,,,,Yes-13K313,,,,,,28.0,,,475.0,,,24.0,,,11.0,,,,,"Algebra I, Art, Coding, Computer Science, Dance, Drama, Engineering, Fitness, Guitar, Health, Living Environment, Math, Mindfulness, Peer Mediation, Physical Education, Science, STEM, Technology, Theater, US History, Social Emotional Learning",,All-girls school; open to students and residents of Brooklyn,,,,,,,,,
12X316,Kappa III,X316U,718-561-3580,KAPPA III,,,,,,Yes-12X129,,,,,,28.0,,,363.0,,,108.0,,,371.0,,,,,"Advisory, Algebra I, Band, Fitness, Living Environment, Math Team, Peer Mediation, Physical Education, Regents Living Environment, Saturday Academy, Specialized High School Test Preparation, Student Council, Web Design",,Open to students and residents of the Bronx,,,,,,,,,
27Q042,P.S./M.S 042 R. Vernam,Q042U,718-634-7914,R. Vernam (P.S./M.S. 42Q),,,,,,,,,,,,14.0,,,644.0,,,27.0,,,964.0,,,,,"Algebra I, Art, Ceramics, Chorus, Coding, Drama, Drumline, Graphic Design, Health, LEGO Robotics, Library, Math, Music, Musical Theater, Peer Mediation, Performing Arts, Physical Education, Robotics, Saturday Academy, Science, STEM, Student Council, Technology, Theater, Virtual Enterprise, Vocal Music, Yearbook",,Open to students and residents of Queens,,,,,,,,,
26Q216,J.H.S. 216 George J. Ryan,Q216A,718-358-2005,M.S. 216 George J. Ryan Gifted & Talented Program,,Benjamin N. Cardozo High School,,,,,369.0,,Q216Z,Zoned,,77.0,,,1574.0,,,20.0,,,1341.0,,,,,"Algebra I, Art, Band, Chess, Chorus, Coding, Computer Science, Concert Band, Dance, Drama, Film, Fine Arts, Fitness, Foreign Language, Game Design, Graphic Design, Guitar, Health, LEGO Robotics, Library, Math, Math Team, Mindfulness, Music, Musical Theater, National Junior Honor Society, Orchestra, Performing Arts, Photography, Physical Education, Robotics, Saturday Academy, Science, Spanish, Specialized High School Test Preparation, STEM, Student Council, Studio Art, Technology, Theater, Videography, Visual Arts, Vocal Music, Web Design, Yearbook",,Open to students residing in the zone and residents of District 26.,,,,,,,,,
27Q043,P.S. 043,Q043Z,718-327-5860,P.S./M.S. 43,,,,,,,,,,,,24.0,,,852.0,,,6.0,,,99802.0,,,,,,,Open to continuing 5th grade students and students residing in the elementary school zone,,,,,,,,,
06M324,-M.S. 324 - Patria Mirabal,M324U,212-923-4057,Making Connections to Local and Global Communities,,A. Philip Randolph Campus High School,,,,Yes-06M090,,,,,,42.0,,,319.0,,,73.0,,,249.0,,,,,"Advisory, Algebra I, Art, Band, Chess, Chorus, Coding, Debate, Fashion, Fine Arts, Fitness, LEGO Robotics, Math, Math Team, Musical Theater, Performing Arts, Physical Education, Regents Living Environment, Saturday Academy, Science, Specialized High School Test Preparation, STEM, Stock Market, Studio Art, Theater, Urban Advantage, Vocal Music, Web Design, Yearbook",,Open to students and residents of District 6,,,,,,,,,
02M225,Ella Baker School,M225U,212-717-8809,The Ella Baker School,,Manhattan Village Academy,,,,Yes-02M480,,,,,,33.0,,,332.0,,,97.0,,,118.0,,,,,,,Open to students and residents of New York City,,,,,,,,,
30Q286,"Young Women's Leadership School, Astoria",Q286M,718-267-2839,The Young Women's Leadership School of Astoria,,,,,,Yes-30Q739,,,,,,64.0,,,578.0,,,52.0,,,69.0,,,,,"Advisory, Art, Coding, Computer Science, Cooking, Drama, Film, Fitness, Foreign Language, Forensics, Game Design, Health, Photography, Robotics, Spanish, STEM, Technology, Visual Arts, Yearbook, Digital Media, Software Engineering",,All-girls school; open to students and residents of Queens,,,,,,,,,
29Q116,P.S./I.S. 116 William C. Hughley,Q116U,718-526-4884,William C. Hughley (P.S./I.S. 116),,,,,,,,,,,,15.0,,,827.0,,,24.0,,,414.0,,,,,"Advisory, Algebra I, Art, Foreign Language, Library, Living Environment, Music, National Junior Honor Society, Physical Education, Regents Living Environment, Student Council, Studio Art, Technology, Urban Advantage, Yearbook",,Open to students and residents of District 29,,,,,,,,,
14K157,P.S./I.S. 157 The Benjamin Franklin Health & Science Academy,K157U,718-622-9285,Magnet School for Civic Leadership in Health and Science,,EBC High School for Public Service - Bushwick,,,,,,,,,,10.0,,,399.0,,,31.0,,,1237.0,,,,,"Advisory, Algebra I, Art, Book Club, Coding, Cooking, Dance, Debate, Foreign Language, Health, LEGO Robotics, Math, Mindfulness, Performing Arts, Physical Education, Robotics, Science, Spanish, STEM, Student Council, Theater, Urban Advantage, US History, Visual Arts, Urban Gardening, Makerspace , Cooking/Healthy Living, Hydroponics",,Open to students and residents of District 14,,,,,,,,,
17K382,Academy for College Preparation and Career Exploration: A College Board School,K382L,718-564-2566,Academy for College Preparation and Career Exploration,,Clara Barton High School,,,,Yes-17K465,,,,,,12.0,,,346.0,,,32.0,,,794.0,,,,,"Advisory, Algebra I, Art, Chess, Coding, Dance, Debate, Foreign Language, Library, Living Environment, Math, Music, Robotics, Saturday Academy, Science, Spanish, STEM, Urban Advantage",,Open to students and residents of District 17,,,,,,,,,
14K050,J.H.S. 050 John D. Wells,K050M,718-387-4184,John D. Wells (M.S. 50) Spanish Dual Language Program,,Williamsburg High School for Architecture and Design,,,,,73.0,,K050S,Screened,,28.0,,,326.0,,,10.0,,,523.0,,,,,"Advisory, African Dance, Algebra I, American Sign Language, Art, Band, Book Club, Chess, Chorus, Coding, Computer Science, Concert Band, Cooking, Creative Writing, Dance, Debate, Drama, Drumline, Engineering, Film, Fine Arts, Fitness, Foreign Language, French, Game Design, Graphic Design, Guitar, Health, Jazz Band, Journalism, LEGO Robotics, Library, Living Environment, Marching Band, Martial Arts, Math, Math Team, Mindfulness, Music, Musical Theater, National Junior Honor Society, Newspaper, Peer Mediation, Performing Arts, Photography, Physical Education, Piano, Regents Living Environment, Robotics, Saturday Academy, Science, Spanish, Specialized High School Test Preparation, STEM, Student Council, Studio Art, Technology, Theater, US History, Videography, Visual Arts, Web Design, Yearbook, Yoga, Mural Painting",,Open to students and residents of Brooklyn,,,,,,,,,
03M334,The Anderson School,M334M,212-595-7193,The Anderson School P.S. 334 Middle School,,The Bronx High School of Science,,,,Yes-03M044,,,,,,97.0,,,522.0,,,147.0,,,161.0,,,,,,,Open to New York City residents,,,,,,,,,
