facname,borocode,facgroup,xcoord,overagency,bbl,overabbrev,ct2010,captype
"EVANGELICAL LUTHERAN CHURCH OF THE EPIPHANY OF BROOKLYN, N.Y",3,DAY CARE AND PRE-KINDERGARTEN,997539.93283,NYC Department of Health and Mental Hygiene,3012540063.0,NYCDOHMH,31702.0,
"NARROWS COMMUNITY THEATER, INC.",3,CULTURAL INSTITUTIONS,974636.445261,NYC Department of Cultural Affairs,3061250001.0,NYCDCLA,5601.0,
"THIRD AVENUE TRANSIT, INC",3,TRANSPORTATION,981074.681546,NYC Department of Education,3006060005.0,NYCDOE,5300.0,routes
RED HOOK NEIGHBORHOOD SCHOOL,3,YOUTH SERVICES,982900.222687,NYC Department of Youth and Community Development,3005250001.0,NYCDYCD,5900.0,
ST. NICKS ALLIANCE CORP.,3,YOUTH SERVICES,1000674.3656,NYC Department of Youth and Community Development,3015780014.0,NYCDYCD,28501.0,
"RELIANT TRANSPORTATION, INC (B2321)",4,TRANSPORTATION,1045962.51471,NYC Department of Education,4103360030.0,NYCDOE,41400.0,routes
MASBIA OF BORO PARK,3,HUMAN SERVICES,0.0,Non-public,0.0,Non-public,,
ORCHARD BEACH NATURE CENTER,2,CHILD SERVICES AND WELFARE,1036615.33067,NYC Department of Education,2056500001.0,NYCDOE,50400.0,
PATTERSON,2,HUMAN SERVICES,1005698.49514,NYC Housing Authority,2023240001.0,NYCHA,5100.0,
CHELSEA RECREATION CENTER,1,CHILD SERVICES AND WELFARE,983634.587807,NYC Department of Education,1007220057.0,NYCDOE,9300.0,
SLC,2,DAY CARE AND PRE-KINDERGARTEN,1009500.81171,NYC Department of Health and Mental Hygiene,2026230211.0,NYCDOHMH,7300.0,
SOUTH BRONX COMMUNITY CENTER,2,YOUTH SERVICES,1007321.80803,NYC Department of Youth and Community Development,2023740035.0,NYCDYCD,6700.0,
ORCHARD BEACH,2,CHILD SERVICES AND WELFARE,1036440.87772,NYC Department of Education,2056500002.0,NYCDOE,50400.0,
"BUSHWICK STARR, INC.",3,CULTURAL INSTITUTIONS,1005463.63121,NYC Department of Cultural Affairs,3031880056.0,NYCDCLA,44700.0,
LOUIS HEATON PINK (5),3,CHILD SERVICES AND WELFARE,1021820.82908,NYC Department of Education,3044880001.0,NYCDOE,121400.0,
OUR LADY STAR OF THE SEA PRESCHOOL,5,DAY CARE AND PRE-KINDERGARTEN,931211.179126,NYC Department of Health and Mental Hygiene,5063320006.0,NYCDOHMH,17005.0,
PARENTAL LOVING CARE  INC.,5,HUMAN SERVICES,937782.026364,NYS Office for People With Developmental Disabilities,5022320078.0,NYSOPWDD,29103.0,
Y & M TRANSIT CORP (B2192),3,TRANSPORTATION,981641.0,NYC Department of Education,0.0,NYCDOE,5300.0,routes
THE NEW JEWISH HOME UNIVERSITY AVENUE ASSISTED LIVING,2,HEALTH CARE,1011417.16153,NYS Department of Health,2032200040.0,NYSDOH,26300.0,
UNITED STATES WALLBALL ASSOCIATION INC,5,YOUTH SERVICES,961038.755425,NYC Department of Youth and Community Development,5005440118.0,NYCDYCD,2100.0,
"RELIANT TRANSPORTATION, INC (B2321)",5,TRANSPORTATION,948434.024993,NYC Department of Education,5001850531.0,NYCDOE,20700.0,routes
CROWN BUSINESS SCH ATS COMMUNICATION,1,VOCATIONAL AND PROPRIETARY SCHOOLS,986874.904955,NYC Department of Education,1008087501.0,NYCDOE,10100.0,
RICHARD R. GREEN HIGH SCHOOL OF TEACHING,1,SCHOOLS (K-12),980676.532796,NYC Department of Education,1000220013.0,NYCDOE,900.0,seats
"QUEENS COMMUNITY HOUSE, INC.",4,YOUTH SERVICES,1025784.05676,NYC Department of Youth and Community Development,4021590015.0,NYCDYCD,74500.0,
LITTLE STARS THREE INC,2,DAY CARE AND PRE-KINDERGARTEN,1026816.76014,NYC Department of Education,2047600001.0,NYCDOE,35800.0,
"FUND FOR THE CITY OF NEW YORK, INC.",5,HUMAN SERVICES,963088.868947,NYC Mayor's Office of Criminal Justice,5000050051.0,NYCMOCJ,300.0,
THE CHILDRENS AID SOCIETY,2,YOUTH SERVICES,1014655.92468,NYC Department of Youth and Community Development,2029510032.0,NYCDYCD,36901.0,
"AFRO-AMERICAN PARENTS EDUCATIONAL CENTER, INC.",4,DAY CARE AND PRE-KINDERGARTEN,1041495.18104,NYC Department of Health and Mental Hygiene,4101480001.0,NYCDOHMH,25400.0,
ALLIED TRANSIT CORP.,3,TRANSPORTATION,1014616.69076,NYC Department of Education,3082990059.0,NYCDOE,102400.0,routes
LO,4,DAY CARE AND PRE-KINDERGARTEN,996177.151165,NYC Department of Education,4000180001.0,NYCDOE,100.0,
"LIVING ROOM FOR ARTISTS, INC.",1,CULTURAL INSTITUTIONS,0.0,NYC Department of Cultural Affairs,0.0,NYCDCLA,,
AMERICAN BIBLE SOCIETY,1,LIBRARIES,989042.795377,NYC Department of Education,1011147504.0,NYCDOE,14500.0,
"DANISAR PRODUCTIONS, INC.",1,CULTURAL INSTITUTIONS,986977.24838,NYC Department of Cultural Affairs,1005650021.0,NYCDCLA,6100.0,
P.S. 370,3,SCHOOLS (K-12),992627.471185,NYC Department of Education,3072740107.0,NYCDOE,35602.0,seats
MCCARTHY SQUARE,1,PARKS AND PLAZAS,983774.372762,NYC Department of Parks and Recreation,0.0,NYCDPR,7300.0,
REDEEMED CHRISTIAN CHURCH OF GOD,2,HUMAN SERVICES,1007244.99418,Non-public,2024470053.0,Non-public,18302.0,
BUSHWICK CENTER FOR REHABILITATION AND HEALTH CARE,4,HEALTH CARE,1011726.03699,NYS Department of Health,0.0,NYSDOH,58500.0,
GODDARD RIVERSIDE COMMUNITY CENTER,1,HEALTH CARE,991704.399652,NYC Department of Health and Mental Hygiene,1012390039.0,NYCDOHMH,17900.0,
BELLAIRE PLAYGROUND,4,PARKS AND PLAZAS,1051317.12477,NYC Department of Parks and Recreation,4105820001.0,NYCDPR,49200.0,
ALL AMERICAN SCHOOL BUS CORP.,4,TRANSPORTATION,1003026.0,NYC Department of Education,0.0,NYCDOE,9100.0,routes
BAYSIDE,4,DAY CARE AND PRE-KINDERGARTEN,1051768.89826,NYC Department of Education,4076100040.0,NYCDOE,136700.0,
GWENDOLYN B. BLAND DAY CARE CENTER,2,DAY CARE AND PRE-KINDERGARTEN,1010861.41146,NYC Department of Health and Mental Hygiene,2026390001.0,NYCDOHMH,13300.0,
QUEENS CENTRAL REPAIR SHOP,4,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",1009437.09271,NYC Department of Sanitation,4023470055.0,NYCDSNY,24300.0,
CAMBA INC,3,HUMAN SERVICES,1003304.41345,NYC Department of Social Services,3013900044.0,NYCDSS,35100.0,
P.S. 017 HENRY D. WOODWORTH,3,DAY CARE AND PRE-KINDERGARTEN,996148.890563,NYC Department of Education,3023450001.0,NYCDOE,51900.0,
SFTSTDS,1,SOLID WASTE,992291.916144,NYC Department of Sanitation,1018680124.0,NYCDSNY,18300.0,
"GATX TERMINALS CORP., STATEN ISLAND TERMINAL BERTH NO. 1.",5,TRANSPORTATION,928743.930557,Non-public,5018350150.0,Non-public,29102.0,
NIA COMMUNITY SERVICES NETWORK INC,3,YOUTH SERVICES,989185.093238,NYC Department of Youth and Community Development,3053620021.0,NYCDYCD,23000.0,
BUNNYHILL LIC LLC,4,DAY CARE AND PRE-KINDERGARTEN,997716.222212,NYC Department of Health and Mental Hygiene,4000457502.0,NYCDOHMH,700.0,
CARIBBEING,3,CULTURAL INSTITUTIONS,997114.855347,NYC Department of Cultural Affairs,3051900029.0,NYCDCLA,79000.0,
ALL ISLAND T COLLISION & TOWING INC,4,TRANSPORTATION,1025312.03158,NYC Department of Consumer Affairs,4091070005.0,NYCDCA,5400.0,
P.S. 105 SEN ABRAHAM BERNSTEIN,2,SCHOOLS (K-12),1021242.51933,NYC Department of Education,2042880001.0,NYCDOE,22404.0,seats
METROPOLITAN COLLEGE OF NY (MCNY),1,HIGHER EDUCATION,980180.464745,NYC Department of Education,1000557501.0,NYCDOE,1300.0,
4332 WHITE PLAINS RD TEXTILE DROP-OFF SITE,2,SOLID WASTE,1024227.02565,NYC Department of Sanitation,2050430008.0,NYCDSNY,43400.0,
"CHERRY LANE ALTERNATIVE, INC.",1,CULTURAL INSTITUTIONS,982777.961974,NYC Department of Cultural Affairs,1005840027.0,NYCDCLA,6700.0,
PUERTO RICAN FAMILY INSTITUTE BROOKLYN MENTAL HEALTH CLINIC,3,HEALTH CARE,1001319.16518,NYS Office of Mental Health,3031340005.0,NYSOMH,38900.0,
BRONX TR EATMENT CENTER,2,HEALTH CARE,1010545.78958,NYS Department of Health,2025827503.0,NYSDOH,3100.0,
DIVAS FOR SOCIAL JUSTICE,4,CULTURAL INSTITUTIONS,0.0,NYC Department of Cultural Affairs,0.0,NYCDCLA,,
