physicalid,continuous,rwjurisdic,seglocstat,l_high_hn,trafdir,to_level_c,r_low_hn,bike_lane,shape_leng,twisted_pa,b_5_sc,stname_lab,l_low_hn,modified_b,lsubsect
104442,,3.0,,111,TW,13,1,,912.4162656523,N,570190,MC DIVITT AV,1,BlockfaceID_LOAD,4C
35407,,,,2343,TW,13,2297,,262.14831891319,N,242820,JEROME AV,2297,BlockfaceID_LOAD,1B
101924,,,,77,TW,13,1,,495.51981632238,N,535785,LATOURETTE ST,1,BlockfaceID_LOAD,7D
93926,,,,69,TW,13,33,,242.50445610802,N,533110,HILLIS ST,33,BlockfaceID_LOAD,4E
54448,,,,1999,TW,13,1861,,718.29062110088,N,229820,EASTCHESTER RD,1861,BlockfaceID_LOAD,2E
8961,,,,113-099,TW,13,111-001,,958.3126878148,N,409840,43 AV,111-001,BlockfaceID_LOAD,3C
23368,,,,399,FT,13,321,,375.23926677357,N,118190,E 60 ST,321,BlockfaceID_LOAD,1B
21946,,,,114-099,FT,13,114-001,,679.99094281131,N,421740,127 ST,114-001,BlockfaceID_LOAD,3E
46369,,,,,TF,13,,,389.72726439289,N,356230,LINDEN BLVD,,BlockfaceID_LOAD,4C
134293,,,,,NV,13,,,25.373602195,N,100248,HARLEM RIVER DRIVE GREENWAY,,R_Zapata,
63489,,,X,2803,TF,13,2801,,84.09005906688,N,230220,EDSON AV,2801,BlockfaceID_LOAD,2E
42590,,,X,3899,TW,13,3835,,336.60182864899,N,306880,18 AV,3835,BlockfaceID_LOAD,5D
89314,,,X,262-099,TW,13,262-031,,99.74451618618,N,450450,HUNGRY HARBOR RD,262-031,BlockfaceID_LOAD,7D
44769,,,,0,FT,13,0,,159.2261142089,N,557770,NARROWS RD N,0,BlockfaceID_LOAD,1C
21496,,,X,24-099,TW,13,24-001,,259.02392045721,N,407090,24 AV,24-001,BlockfaceID_LOAD,1C
87426,,,,129,TF,13,81,,465.74580450432,N,378630,S 6 ST,81,BlockfaceID_LOAD,2B
52831,,,,529,FT,13,481,,481.4188622737,N,227300,E 188 ST,481,BlockfaceID_LOAD,1B
17210,,,,,TF,13,,,214.19162571687,N,453790,LIBERTY AV,,BlockfaceID_LOAD,3D
14659,,,,101-099,TF,13,101-001,,252.99547372957,N,435290,BEACH CHANNEL DR,101-001,BlockfaceID_LOAD,2C
156728,,,,,FT,13,,,34.43327120691,N,367730,OCEAN PKWY,,BlockfaceID_LOAD,2B
105281,,3.0,I,41,TW,13,37,,99.9937447917,N,525345,CULOTTA LA,37,BlockfaceID_LOAD,8C
134343,,,,,TW,13,,,163.62707666868,N,256825,PARK DR,,BlockfaceID_LOAD,
78963,,,,,FT,13,,,511.16942406083,N,410770,VAN WYCK EXPRESSWAY ET 1 W NB,,BlockfaceID_LOAD,6C
32748,,,,23-099,TW,13,23-001,,485.83741031588,N,416140,77 ST,23-001,BlockfaceID_LOAD,1E
32020,,,,159-099,FT,13,159-001,,620.59487648368,N,419190,99 ST,159-001,BlockfaceID_LOAD,4E
136663,,,,,FT,17,,,351.55511033056,N,197570,RFK BRIDGE MANHATTAN ENTRANCE RP,,BlockfaceID_LOAD,
116210,,,X,73-031,TW,13,73-001,,352.51975111152,N,426340,210 ST,73-001,D_Solow,5D
10783,,3.0,I,,TW,13,,,622.70504133509,N,455690,RENTAR PLZ,,BlockfaceID_LOAD,1D
66511,,,,5499,TW,13,5401,,267.69485450374,N,314580,AV T,5401,BlockfaceID_LOAD,4E
104144,,3.0,,28,NV,13,20,,142.00617047795,N,457030,NEPTUNE WALK,20,BlockfaceID_LOAD,1F
69355,,,,38-099,TW,13,38-001,,493.82458327244,N,426090,205 ST,38-001,BlockfaceID_LOAD,1D
166986,,,,134-099,TF,13,134-001,2.0,251.29159431493,N,460790,ROCKAWAY BEACH BLVD,134-001,D_Solow,1C
160703,,,,,TF,17,,,175.55515438106,N,197760,WILLIAMSBURG BR APPR,,BlockfaceID_LOAD,3A
100418,,,,145,TW,13,101,,657.76967807063,N,538920,MEADOW AV,101,BlockfaceID_LOAD,3D
8834,,,,0,FT,13,0,,271.91048147491,N,428790,ASTORIA BLVD,0,BlockfaceID_LOAD,1C
67454,,,,,TF,17,,,328.55638198505,N,397360,KOSCIUSZKO BR,,BlockfaceID_LOAD,3B
22329,,,,53-015,TF,13,51-045,,91.25585380587,N,435690,BELL BLVD,51-045,BlockfaceID_LOAD,6D
103047,,,,,TW,13,,,48.36876274514,N,110025,CONNECTOR,,BlockfaceID_LOAD,2B
44962,,,,2778,TW,13,2748,,211.30622324604,N,545050,RICHMOND TER,2748,BlockfaceID_LOAD,4C
24103,,,,,TW,13,,,41.50819025662,N,421070,118 AV,,BlockfaceID_LOAD,6E
41917,,,,1599,TF,13,1501,,260.79401033347,N,216620,BURKE AV,1501,BlockfaceID_LOAD,2D
53213,,,X,7299,TW,13,7211,,260.42326582798,N,306280,12 AV,7201,BlockfaceID_LOAD,4D
31343,,,,0,TW,13,0,,307.8399689469,N,409240,39 RD,0,BlockfaceID_LOAD,4D
3429,,,,1932,TF,13,1898,,261.48656720222,N,124890,LEXINGTON AV,1898,BlockfaceID_LOAD,2A
102791,,3.0,,43,TW,13,15,,341.45483950688,N,543310,PETER ST,15,BlockfaceID_LOAD,4D
12786,,,,,TW,13,,,56.78475520764,N,411840,57 AV,,BlockfaceID_LOAD,1D
81254,,,,82-025,FT,13,82-001,3.0,347.95897256457,N,422240,135 ST,82-001,BlockfaceID_LOAD,3E
104451,,3.0,,,TW,13,,,138.40466990467,N,533197,HOLIDAY DR,,BlockfaceID_LOAD,4D
2911,,,,3877,TF,13,3861,,259.60755817468,N,113610,BROADWAY,3861,BlockfaceID_LOAD,1B
18520,,,,203-099,TW,13,203-001,,260.58355370212,N,420630,113 AV,203-001,BlockfaceID_LOAD,4E
96439,,,,,FT,13,,,574.52482967385,N,310740,GOWANUS EXPRESSWAY EXIT 26 EB,,BlockfaceID_LOAD,1D
104475,,3.0,,159,TW,13,113,,338.96007242377,N,544666,REDWOOD LOOP,113,BlockfaceID_LOAD,6C
37031,,,X,399,FT,13,301,,632.51247995614,N,309380,56 ST,301,BlockfaceID_LOAD,4C
26703,,,X,37-099,TW,13,37-001,,267.33956080468,N,406290,19 AV,37-001,BlockfaceID_LOAD,2C
30549,,,,60-099,FT,13,60-027,,338.73501455401,N,416990,83 ST,60-027,BlockfaceID_LOAD,5D
98689,,,,60,TW,13,2,,587.28702770467,N,513200,ACKERMAN ST,18,BlockfaceID_LOAD,3D
12188,,,,0,FT,13,0,1.0,248.0600264975,N,459990,QUEENS BLVD,0,BlockfaceID_LOAD,1E
126752,,,,,FT,13,,,1398.29924820664,N,450680,JACKIE ROBINSON PKWY,,BlockfaceID_LOAD,
31473,,,,0,FT,13,0,,265.12945559771,N,422620,139 AV,0,BlockfaceID_LOAD,8C
15458,,,X,7382,TW,13,7364,,235.95928666315,N,534100,HYLAN BLVD,7364,BlockfaceID_LOAD,8C
79472,,,,879,TW,13,841,,397.95638677556,N,225740,E 136 ST,841,BlockfaceID_LOAD,2A
124117,,,,,TW,13,,,35.30166556401,N,373030,QUENTIN RD,,BlockfaceID_LOAD,1D
50357,,,X,1539,TW,13,1521,,259.49928254976,N,226820,E 172 ST,1521,BlockfaceID_LOAD,2A
37157,,,,519,TW,13,501,,259.33098574142,N,305130,2 AV,501,BlockfaceID_LOAD,2D
69362,,,,51,TF,13,37,2.0,262.97386572687,N,309980,68 ST,37,BlockfaceID_LOAD,1E
65850,,,,,TW,13,,,47.35863928159,N,330150,COZINE AV,,BlockfaceID_LOAD,4D
32708,,,,61-099,TW,13,61-053,,263.27348659305,N,414590,69 PL,61-053,BlockfaceID_LOAD,1C
104940,,3.0,,45,TW,13,15,,303.81299372218,N,533157,HIRSCH LA,15,BlockfaceID_LOAD,4E
27487,,,,223-099,TW,13,222-001,,511.83673394753,N,422820,143 AV,222-001,BlockfaceID_LOAD,8C
76455,,,,56-029,TW,13,56-001,,107.13406940036,N,448370,HAMILTON PL,56-001,BlockfaceID_LOAD,1E
62780,,,,0,TW,13,0,,80.41405355116,N,307430,23 AV,0,BlockfaceID_LOAD,6D
6182,,,X,205-003,TW,13,205-001,,87.67921974172,N,453890,LINDEN BLVD,205-001,BlockfaceID_LOAD,6E
89705,,,,423,TF,13,349,,692.42719127187,N,347330,HARMAN ST,349,BlockfaceID_LOAD,2B
68192,,,,34-099,FT,13,34-001,,698.08198118112,N,416890,82 ST,34-001,BlockfaceID_LOAD,2D
98984,,,,,TF,21,,,272.34449971314,N,197810,G WASHINGTON BR,,BlockfaceID_LOAD,
23134,,,,,TW,13,,,74.93132245108,N,408140,31 ST,,BlockfaceID_LOAD,1C
39252,,,X,611,TW,13,583,,251.76390721008,N,328830,CONEY ISLAND AV,583,BlockfaceID_LOAD,2D
50964,,,,,FT,13,,,35.54091489384,N,244620,KOSSUTH AV,,BlockfaceID_LOAD,
50126,,,X,1278,TW,13,1260,,182.51187080428,N,544900,RICHMOND RD,1260,BlockfaceID_LOAD,1D
45985,,,,1899,FT,13,1803,,855.35030374084,N,335630,E 18 ST,1803,BlockfaceID_LOAD,2C
71006,,,,407,TW,13,385,,259.87064713677,N,373380,RIVERDALE AV,385,BlockfaceID_LOAD,1A
86314,,,X,28,TW,13,20,,134.1116282932,N,529687,GIFFORDS LA,20,BlockfaceID_LOAD,2E
23179,,,,33-099,FT,13,32-001,,981.70909977927,N,410090,44 ST,32-001,BlockfaceID_LOAD,5C
31725,,,X,60-099,TF,13,60-001,,511.63316252163,N,416070,77 PL,60-001,BlockfaceID_LOAD,5D
34716,,,,88-099,TW,13,88-001,,541.29713905341,N,416340,79 AV,88-001,BlockfaceID_LOAD,4E
15189,,,X,860,TW,13,844,,279.60662612415,N,518980,BLOOMINGDALE RD,844,BlockfaceID_LOAD,6C
76326,,,,,TF,21,,,260.22116326419,N,197720,ROBERT F KENNEDY BRG,,BlockfaceID_LOAD,
11695,,,,30-099,TW,13,30-027,,260.31717891682,N,410690,HUNTERS PT AV,30-027,BlockfaceID_LOAD,3E
129099,,,,510,TW,13,500,,179.94262581359,N,134230,W 23 ST,500,BlockfaceID_LOAD,2B
133545,,,X,,NV,21,,1.0,31.53843233167,N,197780,BROOKLYN BRIDGE PED AND BIKE PTH,,BlockfaceID_LOAD,
50137,,,X,,TW,13,,,13.7635137409,N,544900,RICHMOND RD,,BlockfaceID_LOAD,1E
