starea,stlength,wheelchairfootball,field_number,multipolygon,adult_softball,accessible,netball,regulation_soccer,ll_baseb_13andolder,pickleball,track_and_field,tennis,rugby,department,adult_football,councildistrict,surface_type
1152.7578735351562,137.5839869434371,False,03,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.88958859023592, 40.75402700830494], [-73.88948503160958, 40.75403768175231], [-73.8895042678123, 40.75414665244535], [-73.88960723943879, 40.75413515175352], [-73.88958859023592, 40.75402700830494]]]]}",False,False,False,False,False,False,False,False,False,Q-03,False,25,Asphalt
1238.8758850097656,147.0395823348341,False,05,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.72867300406035, 40.72568096874045], [-73.72872095003332, 40.725805738874364], [-73.72881175172502, 40.72578616038862], [-73.72876380678346, 40.72566138939446], [-73.72867300406035, 40.72568096874045]]]]}",False,False,False,False,False,False,False,False,False,Q-13,False,23,Asphalt
1174.759017944336,141.0599384879759,False,05,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.8874889524435, 40.849869888439244], [-73.887603464568, 40.849952915609585], [-73.88767098868557, 40.84989895273438], [-73.88755703016606, 40.84981745340513], [-73.8874889524435, 40.849869888439244]]]]}",False,False,False,False,False,False,False,False,False,X-06,False,15,Concrete
734.2937164306641,111.36392694043968,False,02,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.83561188852767, 40.67732228145879], [-73.83554096656896, 40.67734397890372], [-73.83558403288676, 40.677431316683446], [-73.83565729870904, 40.67741032676363], [-73.83561188852767, 40.67732228145879]]]]}",False,False,False,False,False,False,False,False,False,Q-10,False,32,Asphalt
1484.931671142578,155.22553539894187,False,01,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.91909170480884, 40.62487663393968], [-73.91896869945693, 40.62488298242696], [-73.91897945930731, 40.62500179386193], [-73.9191024636942, 40.62499544626283], [-73.91909170480884, 40.62487663393968]]]]}",False,False,False,False,False,False,False,False,False,B-18,False,46,Asphalt
1051.7897186279297,132.6738098814568,False,07,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.95223736435506, 40.69537906117885], [-73.95209435988087, 40.69539571345804], [-73.95210979967081, 40.69546671540809], [-73.95225280547585, 40.695450064010885], [-73.95223736435506, 40.69537906117885]]]]}",False,False,False,False,False,False,False,False,False,B-03,False,36,Asphalt
2777.6290130615234,226.7962619042723,False,04,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.76865007311126, 40.772498802495946], [-73.76877395747158, 40.772472842838425], [-73.76870201273283, 40.77226687155085], [-73.76857680631726, 40.77229331655011], [-73.76865007311126, 40.772498802495946]]]]}",False,False,False,False,False,True,False,True,False,Q-11,False,19,Asphalt
1053.6634979248047,132.97696598037476,False,07,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.94392927985312, 40.783672277574915], [-73.94401060041936, 40.78370735743203], [-73.94408164838886, 40.78360995945064], [-73.94399865012262, 40.78357516878936], [-73.94392927985312, 40.783672277574915]]]]}",False,False,False,False,False,False,False,False,False,M-11,False,8,Asphalt
1459.5974731445312,153.7150991993296,False,02,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9140567575573, 40.64949714645311], [-73.91396202533996, 40.6495575580146], [-73.91406060795136, 40.6496470945821], [-73.91415534020656, 40.64958668294], [-73.9140567575573, 40.64949714645311]]]]}",False,False,False,False,False,False,False,False,False,B-17,False,42,Asphalt
1215.61767578125,147.20304588806752,False,02,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.90426135313703, 40.664309645801936], [-73.90408950577398, 40.66433521780393], [-73.90410680705133, 40.66440262958904], [-73.90427865221629, 40.66437705755943], [-73.90426135313703, 40.664309645801936]]]]}",False,False,False,False,False,False,False,False,False,B-16,False,41,Asphalt
22398.468353271484,616.8833220342531,False,01,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.97348526394315, 40.61861072027401], [-73.97315485925782, 40.618151197956905], [-73.97278653044953, 40.61829207795604], [-73.9731015145219, 40.61876073440041], [-73.97348526394315, 40.61861072027401]]]]}",False,False,False,False,False,False,False,False,True,B-12,True,44,Natural
1203.374267578125,140.56171811676924,False,08,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.94401060041936, 40.78370735743203], [-73.94410348078875, 40.783747428016056], [-73.9441748682769, 40.783649091819775], [-73.94408164838886, 40.78360995945064], [-73.94401060041936, 40.78370735743203]]]]}",False,False,False,False,False,False,False,False,False,M-11,False,8,Asphalt
2775.856399536133,226.68099514270503,False,06,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.0167961404944, 40.60584668526928], [-74.01662502296706, 40.60601349488327], [-74.01672507657173, 40.606074237669105], [-74.0168995494166, 40.60590668538389], [-74.0167961404944, 40.60584668526928]]]]}",False,False,False,False,False,False,False,True,False,B-10,False,50,Asphalt
790.9774322509766,149.58814893768988,False,01,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.8924093579723, 40.76284820222133], [-73.89237993335607, 40.76267951736029], [-73.89233325828735, 40.76268500284999], [-73.8923651071149, 40.76285369088831], [-73.8924093579723, 40.76284820222133]]]]}",False,False,False,False,False,False,False,False,False,Q-03,False,25,Sand
42086.2971496582,783.0405698511411,False,02,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.933168124696, 40.84328133910383], [-73.9328290044235, 40.84375185860253], [-73.93287990004364, 40.843789635091305], [-73.93293637142119, 40.843822524222254], [-73.93299761269837, 40.84385005546191], [-73.93306274678856, 40.84387183477834], [-73.9331308384156, 40.84388754915185], [-73.93320091545016, 40.843896975592514], [-73.9332719724716, 40.84389997754077], [-73.93334299447771, 40.84389651208509], [-73.93341296163021, 40.843886629064386], [-73.93348087415843, 40.843870470181955], [-73.93354575829115, 40.84384826720752], [-73.9336066852351, 40.843820337485546], [-73.93366278422187, 40.84378708124072], [-73.93371324963053, 40.84374897437786], [-73.9337573599666, 40.84370656218865], [-73.9337944837982, 40.84366045215054], [-73.93382409043578, 40.843611305828034], [-73.93384575350201, 40.84355982536682], [-73.93385916516571, 40.84350674809844], [-73.93324437876201, 40.84326494385989], [-73.933168124696, 40.84328133910383]]]]}",True,False,False,False,False,False,False,False,False,M-12A,False,10,Natural
