dbn,location_name,_19_expulsions,_5_expulsions,_15_removals,_6_removals,_10_principal,_21_principal,_8_superintendent,_12_expulsions,_15_superintendent,_21_expulsions,sy1617_total_removals_suspensions,_22_superintendent,_10_expulsions,_17_superintendent,_18_principal,_19_superintendent,_16_expulsions,_9_superintendent,_17_expulsions,_18_removals,_5_superintendent,_21_removals,_12_superintendent
10X226,P.S. 226,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
12X195,P.S. 195,R,R,R,R,R,R,R,R,R,R,31,R,R,R,R,R,R,R,R,R,R,R,R
02M276,Battery Park City School,R,R,R,R,6,R,R,R,R,R,34,R,R,R,R,R,R,R,R,R,R,R,R
05M362,Columbia Secondary School,R,R,R,R,R,R,R,R,R,R,13,R,R,R,R,R,R,R,R,R,R,R,R
13K350,Urban Assembly School for Music and Art,R,R,R,R,R,R,R,R,13,R,51,R,R,R,R,R,R,R,R,R,R,R,R
19K677,East New York Elementary School of Excellence,R,R,R,R,R,R,R,R,R,R,11,R,R,R,R,R,R,R,R,R,R,R,R
08X335,The Academy of the Arts,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
04M007,P.S. 007 Samuel Stern,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
06M325,P.S. 325,R,R,R,R,R,R,R,R,R,R,7,R,R,R,R,R,R,R,R,R,R,R,R
01M378,School for Global Leaders,R,R,R,R,R,R,R,R,R,R,19,R,R,R,R,R,R,R,R,R,R,R,R
16K455,Boys and Girls High School,R,R,R,R,R,R,R,R,R,R,67,R,R,R,R,R,R,R,R,R,R,R,R
02M615,Chelsea Career and Technical Education High School,R,R,R,R,R,R,R,R,R,R,21,R,R,R,R,R,R,R,R,R,R,R,R
14K257,P.S. 257 John F. Hylan,R,R,R,R,R,R,R,R,R,R,7,R,R,R,R,R,R,R,R,R,R,R,R
02M438,International High School at Union Square,R,R,R,R,R,R,R,R,R,R,15,R,R,R,R,R,R,R,R,R,R,R,R
19K306,P.S. 306 Ethan Allen,R,R,R,R,R,R,R,R,R,R,18,R,R,R,R,R,R,R,R,R,R,R,R
06M153,P.S. 153 Adam Clayton Powell,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
11X299,Astor Collegiate Academy,R,R,R,R,R,R,R,R,R,R,73,R,R,R,6,R,R,R,R,R,R,R,R
20K163,P.S. 163 Bath Beach,R,R,R,R,R,R,R,R,R,R,9,R,R,R,R,R,R,R,R,R,R,R,R
11X567,Linden Tree Elementary School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
17K533,School for Democracy and Leadership,R,R,R,R,R,R,R,R,R,R,55,R,R,R,R,R,R,R,R,R,R,R,R
11X089,P.S. 089 Bronx,R,R,R,R,R,R,R,R,R,R,28,R,R,R,R,R,R,R,R,R,R,R,R
18K272,P.S. 272 Curtis Estabrook,R,R,R,R,R,R,R,R,R,R,30,R,R,R,R,R,R,R,R,R,R,R,R
02M150,P.S. 150,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
14K059,P.S. 059 William Floyd,R,R,R,R,R,R,R,R,R,R,8,R,R,R,R,R,R,R,R,R,R,R,R
14K586,Lyons Community School,R,R,R,R,R,R,R,R,R,R,46,R,R,R,R,R,R,R,R,R,R,R,R
19K404,Academy for Young Writers,R,R,R,R,R,R,R,R,R,R,44,R,R,R,R,R,R,R,R,R,R,R,R
18K068,I.S. 068 Isaac Bildersee,R,R,R,R,R,R,R,R,R,R,43,R,R,R,R,R,R,R,R,R,R,R,R
19K007,P.S. 007 Abraham Lincoln,R,R,R,R,R,R,R,R,R,R,13,R,R,R,R,R,R,R,R,R,R,R,R
10X207,P.S. 207,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
13K056,P.S. 056 Lewis H. Latimer,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
04M224,M.S. 224 Manhattan East School for Arts & Academic,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
14K923,Automotive High School Yabc,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
16K267,"M.S. 267 Math, Science & Technology",R,R,R,R,R,R,R,R,R,R,6,R,R,R,R,R,R,R,R,R,R,R,R
10X268,Kingsbridge International High School,R,R,R,R,R,R,R,R,R,R,22,R,R,R,R,R,R,R,R,R,R,R,R
08X392,Bronx Delta School,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
19K292,J.H.S. 292 Margaret S. Douglas,R,R,R,R,R,R,R,R,R,R,36,R,R,R,R,R,R,R,R,R,R,R,12
05M302,KAPPA IV,R,R,R,R,R,R,R,R,R,R,20,R,R,R,R,R,R,R,R,R,R,R,11
04M375,Mosaic Preparatory Academy,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
08X130,P.S. 130 Abram Stevens Hewitt,R,R,R,R,R,R,R,R,R,R,12,R,R,R,R,R,R,R,R,R,R,R,R
04M096,P.S. 096 Joseph Lanzetta,R,R,R,R,R,R,R,R,R,R,57,R,R,R,R,R,R,R,R,R,R,R,R
03M417,Frank Mccourt High School,R,R,R,R,R,R,R,R,R,R,23,R,R,R,R,R,R,R,R,R,R,R,R
07X154,P.S. 154 Jonathan D. Hyatt,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
04M182,The Bilingual Bicultural School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
07X162,J.H.S. 162 Lola Rodriguez De Tio,R,R,R,R,R,R,R,R,R,R,18,R,R,R,R,R,R,R,R,R,R,R,R
08X530,Banana Kelly High School,R,R,R,R,R,R,R,R,R,R,13,R,R,R,R,R,R,R,R,R,R,R,R
13K113,M.S. 113 Ronald Edmonds Learning Center,R,R,R,R,R,R,R,R,R,R,24,R,R,R,R,R,R,R,R,R,R,R,R
19K583,Multicultural High School,R,R,R,R,R,R,R,R,R,R,16,R,R,R,R,R,R,R,R,R,R,R,R
19K683,"The School for Classics: An Academy of Thinkers, W",R,R,R,R,R,R,R,R,R,R,45,R,R,R,R,R,R,R,R,R,R,R,R
09X073,P.S. 073 Bronx,R,R,R,R,R,R,R,R,R,R,7,R,R,R,R,R,R,R,R,R,R,R,R
02M442,"Ballet Tech, NYC Public School for Dance",R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
18K635,Olympus Academy,R,R,R,R,R,R,R,R,R,R,30,R,R,R,R,R,R,R,R,R,R,R,R
18K763,Brooklyn Science and Engineering Academy,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
07X427,Community School for Social Justice,R,R,R,R,R,R,R,R,R,R,58,R,R,R,6,R,R,R,R,R,R,R,R
14K561,Williamsburg Preparatory School,R,R,R,R,R,R,R,R,R,R,37,R,R,R,R,R,R,R,R,R,R,R,R
08X138,P.S. 138 Samuel Randall,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
10X091,P.S. 091 Bronx,R,R,R,R,R,R,R,R,R,R,48,R,R,R,R,R,R,R,R,R,R,R,R
12X212,P.S. 212,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
12X134,P.S. 134 George F. Bristow,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
11X288,Collegiate Institute for Math and Science,R,R,R,R,R,R,R,R,R,R,43,R,R,R,R,R,R,R,R,R,R,R,R
02M011,P.S. 011 William T. Harris,R,R,R,R,R,R,R,R,R,R,12,R,R,R,R,R,R,R,R,R,R,R,R
03M505,Edward A. Reynolds West Side High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
03M241,STEM Institute of Manhattan,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
07X030,P.S. 030 Wilton,R,R,R,R,R,R,R,R,R,R,16,R,R,R,R,R,R,R,R,R,R,R,R
10X447,Creston Academy,R,R,R,R,R,R,R,R,R,R,8,R,R,R,R,R,R,R,R,R,R,R,R
01M015,P.S. 015 Roberto Clemente,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
09X582,Garden of Learning and Discovery Pre-K Center,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
02M198,P.S. 198 Isador E. Ida Straus,R,R,R,R,R,R,R,R,R,R,9,R,R,R,R,R,R,R,R,R,R,R,R
11X481,The STEAM Bridge School,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
08X100,P.S. 100 Isaac Clason,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
02M394,Emma Lazarus High School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
10X319,Providing Urban Learners Success In Education High,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
19K507,Performing Arts and Technology High School,R,R,R,R,R,R,R,R,R,R,67,R,R,R,R,R,R,R,R,R,R,R,R
15K519,Cobble Hill School of American Studies,R,R,R,R,R,R,R,R,R,R,49,R,R,12,R,R,R,R,R,R,R,R,R
08X519,Felisa Rincon de Gautier Institute for Law and Pub,R,R,R,R,R,R,R,R,R,R,24,R,R,R,R,R,R,R,R,R,R,R,R
07X500,Hostos-Lincoln Academy of Science,R,R,R,R,R,R,R,R,R,R,12,R,R,R,R,R,R,R,R,R,R,R,R
08X062,P.S. 062 Inocensio Casanova,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
09X241,Urban Assembly School for Applied Math and Science,R,R,R,R,R,R,R,R,R,R,37,R,R,R,R,R,R,R,R,R,R,R,R
20K176,P.S. 176 Ovington,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
20K030,P.S./I.S. 30 Mary White Ovington,R,R,R,R,R,R,R,R,R,R,25,R,R,R,R,R,R,R,R,R,R,R,R
19K065,P.S. 065,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
11X357,Young Voices Academy of the Bronx,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
02M296,High School of Hospitality Management,R,R,R,R,R,R,R,R,R,R,93,R,R,R,R,R,R,R,R,R,R,R,R
17K012,Dr. Jacqueline Peek-Davis School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
04M409,Coalition School for Social Change,R,R,R,R,R,R,R,R,R,R,32,R,R,R,R,R,R,R,R,R,R,R,R
10X141,Riverdale / Kingsbridge Academy (Middle School / H,R,R,R,R,R,R,R,R,R,R,83,R,R,R,R,R,R,R,R,R,R,R,R
02M605,Humanities Preparatory Academy,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
08X408,Herbert H. Lehman Yabc,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
10X244,The New School for Leadership and Journalism,R,R,R,R,R,R,R,R,R,R,54,R,R,R,R,R,R,R,R,R,R,R,R
17K091,P.S. 091 The Albany Avenue School,R,R,R,R,R,R,R,R,R,R,10,R,R,R,R,R,R,R,R,R,R,R,R
03M054,J.H.S. 054 Booker T. Washington,R,R,R,R,R,R,R,R,R,R,46,R,R,R,R,R,R,R,R,R,R,R,R
10X360,P.S. 360,R,R,R,R,R,R,R,R,R,R,12,R,R,R,R,R,R,R,R,R,R,R,R
12X061,P.S. 061 Francisco Oller,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
02M407,Institute for Collaborative Education,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
02M500,Unity Center for Urban Technologies,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
08X448,Soundview Academy for Culture and Scholarship,R,R,R,R,R,R,R,R,R,R,79,R,R,R,R,R,R,R,R,R,R,R,R
18K114,P.S. 114 Ryder Elementary,R,R,R,R,R,R,R,R,R,R,10,R,R,R,R,R,R,R,R,R,R,R,R
12X098,J.H.S. 098 Herman Ridder,R,R,R,R,R,R,R,R,R,R,18,R,R,R,R,R,R,R,R,R,R,R,R
17K590,Medgar Evers College Preparatory School,R,R,R,R,R,R,R,R,11,R,55,R,R,R,R,R,R,R,R,R,R,R,R
17K002,Parkside Preparatory Academy,R,R,R,R,R,R,R,R,R,R,79,R,R,R,R,R,R,R,R,R,R,R,R
09X070,P.S. 070 Max Schoenfeld,R,R,R,R,R,R,R,R,R,R,86,R,R,R,R,R,R,R,R,R,R,R,R
15K058,P.S. 058 The Carroll,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
06M278,Paula Hedbavny School,R,R,R,R,R,R,R,R,R,R,11,R,R,R,R,R,R,R,R,R,R,R,R
01M448,University Neighborhood High School,R,R,R,R,R,R,R,R,R,R,7,R,R,R,R,R,R,R,R,R,R,R,R
02M151,Yorkville Community School,R,R,R,R,R,R,R,R,R,R,42,R,R,R,R,R,R,R,R,R,R,R,R
01M364,Earth School,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
15K698,South Brooklyn Community High School,R,R,R,R,R,R,R,R,R,R,10,R,R,R,R,R,R,R,R,R,R,R,R
11X106,P.S. 106 Parkchester,R,R,R,R,R,R,R,R,R,R,8,R,R,R,R,R,R,R,R,R,R,R,R
19K224,P.S. 224 Hale A. Woodruff,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
01M142,P.S. 142 Amalia Castro,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,R,R,R,R,R,R,R,R,R,R,49,R,R,R,R,R,R,R,R,R,R,R,R
15K418,The Children's School,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
04M146,P.S. 146 Ann M. Short,R,R,R,R,R,R,R,R,R,R,39,R,R,R,R,R,R,R,R,R,R,R,R
10X007,Milton Fein School,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
18K566,Brooklyn Generation School,R,R,R,R,R,R,R,R,R,R,27,R,R,R,R,R,R,R,R,R,R,R,R
05M046,P.S. 046 Arthur Tappan,R,R,R,13,R,R,R,R,R,R,100,R,R,R,R,R,R,R,R,R,R,R,R
18K279,P.S. 279 Herman Schreiber,R,R,R,R,R,R,R,R,R,R,19,R,R,R,R,R,R,R,R,R,R,R,R
15K447,The Math & Science Exploratory School,R,R,R,R,R,R,R,R,R,R,10,R,R,R,R,R,R,R,R,R,R,R,R
10X246,P.S. 246 Poe Center,R,R,R,R,R,R,R,R,R,R,0,R,R,R,R,R,R,R,R,R,R,R,R
03M403,The Global Learning Collaborative,R,R,R,R,R,R,R,R,R,R,25,R,R,R,R,R,R,R,R,R,R,R,R
19K431,Thomas Jefferson Yabc,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
10X344,Ampark Neighborhood,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
17K524,International High School at Prospect Heights,R,R,R,R,R,R,R,R,R,R,11,R,R,R,R,R,R,R,R,R,R,R,R
