school_name,q2_how_much_do_you_agree_disagree_g_there_is_an_adult_at_the_whom_my_child_trus,q2e_number_strongly_agree,teacher_safety_and_respect_score,parent_engagement_score,q7_my_child_participates_in_the_following_before_or_after_school,student_safety_and_respect_score,q8_how_much_do_you_agree_disagree_my_child_s_offers_a_wide_enough_variety_of_co,enrollment,q1_number_2nd_grade,change_in_parent_engagement_score_2007_2008,q2_how_much_do_you_agree_disagree_d_the_keeps_me_inf_med_about_my_child_s_acade,q1_number_12th_grade,q2a_number_strongly_disagree,horizion_engagement_score,q1_number_5th_grade,horizion_safety_and_respect_score,q11_how_often_do_you_think_a_students_threaten_bully_other_students,teacher_horizon_safety_and_respect_score,teacher_horizon_academic_expectations_score,q2a_number_strongly_agree,teacher_respondents,student_horizon_engagement_score,q2b_number_strongly_agree,student_respondents,q5_how_much_do_you_agree_disagree_c_my_child_s_teacher_s_give_helpful_comments,communication_score,q2e_number_disagree,teacher_response_rate,q2b_number_disagree,change_in_student_academic_expectations_score_2007_2008,q13_how_satisfied_are_you_with_d_your_opp_tunities_to_be_involved_in_your_child,q2c_number_strongly_disagree,q1_number_11th_grade,q2d_number_disagree,q13_how_satisfied_are_you_with_e_the_education_your_child_has_received_this_yea,change_in_parent_academic_expectations_score_2007_2008,change_in_student_communication_score_2007_2008,total_students,q2d_number_strongly_disagree,parent_horizon_engagement_score,q11_how_often_do_you_think_e_students_use_alcohol_illegal_drugs_during_school,q10_how_much_do_you_agree_disagree_answer_this_question_only_if_your_child_s_ha,horizion_academic_expectations_score
P.S. 132 The Conselyea School,7.6,80,7.4,7.4,3.4,.,7.6,661,26,0.5,7.7,0,4,65.6,40,55.2,6.2,54.8,62.5,102,29.0,.,87,.,7.6,7.3,3,0.58,23,.,7.8,4,0,14,8.0,0.3,.,.,3,68.2,10.0,8.2,57.7
P.S. 075 Emily Dickinson,7.6,59,5.9,7.5,4.4,.,7.4,796,29,0.4,7.9,0,1,31.3,28,27.6,6.2,19.0,17.5,87,37.0,.,73,.,7.6,5.9,3,0.65,10,.,8.1,0,0,12,8.0,0.2,.,.,1,72.7,9.9,8.0,26.9
John F. Kennedy High School,7.2,204,6.2,6.6,3.7,5.7,7.7,2060,0,1.3,7.5,94,15,51.7,0,40.0,6.4,39.0,39.5,174,91.0,40.9,163,1497,7.1,5.9,34,0.54,34,0,7.5,6,79,43,7.2,1,0.4,1862,17,61.3,9.1,7.5,42.3
Astor Collegiate Academy,7.9,71,6.9,6.6,3.0,6.3,7.4,420,0,1,7.8,42,1,69.0,0,60.0,7.0,56.1,62.8,72,23.0,54.5,54,354,7.7,6.9,3,0.85,7,-0.2,7.4,1,30,9,7.6,0.4,0.3,410,2,61.3,8.6,7.7,65.4
Juan Morel Campos Secondary School,6.9,47,5.5,6.3,3.6,5.9,6.3,951,1,0.3,6.7,8,5,44.8,1,33.3,5.9,22.0,30.2,36,47.0,40.9,35,528,6.8,5.7,4,0.52,11,-0.2,6.8,5,13,16,6.7,-0.1,-0.2,952,9,51.6,8.6,7.4,26.9
J.H.S. 078 Roy H. Mann,7.3,150,6.4,6.4,3.2,5.8,6.4,1137,0,1,7.1,0,6,44.8,0,39.4,5.0,43.7,44.7,156,76.0,39.1,105,1069,7.1,6.2,14,0.87,44,0.5,7.0,10,0,45,7.3,1,0.2,1143,15,50.0,9.6,7.7,48.1
"School of Business, Finance and Entrepreneurship",6.6,19,6.9,6.5,4.0,5.9,6.1,310,0,-0.2,7.2,0,2,58.6,0,45.5,4.7,54.2,66.0,17,12.0,52.2,17,249,7.6,6.4,0,0.38,5,0.4,7.5,1,0,7,7.4,0.2,0.3,308,2,53.3,9.9,6.1,63.0
P.S. 079 Creston,7.4,146,7.2,7.4,5.1,.,7.3,1046,60,1,7.9,0,6,62.5,63,51.7,6.3,50.0,50.0,140,66.0,.,127,.,8.3,7.6,19,0.93,25,.,8.0,3,0,25,8.0,0.8,.,.,2,68.2,10.0,7.7,50.0
High School for International Business and Finance,7.4,51,7.9,6.8,3.9,7.1,7.3,688,0,0.8,7.9,11,0,86.2,1,80.0,6.6,80.5,83.7,37,32.0,95.5,36,512,7.4,7.1,6,0.64,5,0.2,7.3,3,19,5,7.7,-0.1,0.5,628,2,67.7,9.2,7.8,80.8
South Brooklyn Community High School,8.9,7,7.9,7.6,2.9,8.2,8.3,154,0,1.7,9.3,3,0,66.7,0,70.8,8.3,63.6,54.2,5,5.0,52,6,88,8.5,6.7,0,0.45,0,-0.1,8.9,0,3,0,8.9,0.2,-0.1,165,0,80.0,10.0,8.3,52.0
P.S. 140 Nathan Straus,7.6,29,7.6,6.8,4.3,6.7,6.5,450,4,0.3,7.6,0,2,50.0,6,68.7,6.7,71.1,61.5,35,31.0,50,27,189,7.8,6.5,2,0.74,5,0.3,7.6,2,0,7,7.5,0.3,0.4,202,1,50.0,9.6,7.8,62.5
P.S. 050 Vito Marcantonio,7.1,59,5.9,7.0,5.0,6.1,6.7,505,20,0.4,7.3,0,4,57.7,22,40.6,5.4,33.3,46.2,73,21.0,40.9,43,162,7.5,6.3,9,0.34,17,1,7.3,7,0,16,7.3,0.8,0,192,3,58.3,9.6,8.1,45.8
Bedford Academy High School,9.0,135,8.7,8.3,5.2,7.5,8.7,325,0,1,9.4,55,0,110.3,0,110.0,8.6,100.0,93.0,136,15.0,95.5,134,301,9.0,7.7,0,0.65,0,0.2,9.1,0,35,0,9.3,0.2,0.4,325,0,116.1,10.0,9.3,115.4
Franklin K. Lane High School,6.9,72,5.2,6.1,3.1,5.9,7.1,2537,0,0.4,7.1,28,10,24.1,1,13.3,4.2,14.6,11.6,45,41.0,40.9,43,977,7.3,5.0,9,0.22,30,0.1,6.8,9,55,13,7.2,-0.1,0.2,2348,10,45.2,7.2,7.0,19.2
P.S. 207,7.5,99,7.1,7.0,3.5,.,6.4,495,66,0,8.0,0,5,47.1,0,29.2,6.9,31.6,52.4,118,24.0,.,125,.,8.5,7.2,5,0.62,10,.,8.0,4,0,15,8.2,0.2,.,.,2,30.4,10.0,7.4,46.4
The School for Inquiry and Social Justice,7.4,51,6.6,6.7,4.6,5.8,6.4,280,0,1,7.7,0,2,51.7,0,48.5,5.0,47.9,53.2,45,27.0,43.5,42,253,7.8,6.3,1,0.96,4,0.4,7.7,1,0,5,7.9,1.2,0.2,275,3,60.0,9.8,7.4,63.0
P.S./I.S. 104 The Fort Hamilton School,6.9,157,8.2,6.5,2.9,6.3,6.0,1270,54,0.5,7.3,0,12,73.1,46,65.6,6.4,84.4,94.9,153,64.0,50,148,442,7.5,7.0,13,0.8,40,1.1,6.9,14,0,44,7.5,0.4,1.5,450,12,37.5,9.7,7.6,79.2
The Anderson School,8.2,99,9.3,8.2,5.3,8.2,8.9,517,28,1.5,8.6,0,1,123.1,24,106.2,6.9,108.9,102.6,184,18.0,109.1,173,187,8.4,7.9,3,0.82,13,1.3,8.3,2,0,9,8.9,0.6,0.6,187,1,108.3,9.9,8.3,112.5
P.S. K225 - The Eileen E. Zaglin,8.0,283,7.7,7.5,5.4,6.6,7.8,956,78,1.3,8.1,0,0,73.1,60,68.7,7.9,73.3,71.8,313,67.0,40.9,281,274,8.2,6.9,12,0.74,15,0.4,7.9,1,0,22,8.0,1.1,0.7,312,4,79.2,9.8,8.0,70.8
The School of Integrated Learning,7.0,28,5.8,7.0,4.7,5.6,6.7,264,0,1.4,8.0,0,2,55.2,0,36.4,4.9,31.2,44.7,28,25.0,39.1,24,222,7.4,6.4,3,0.96,3,-0.2,7.6,0,0,2,7.6,1.1,0.1,264,3,70.0,9.9,7.5,48.1
Bronx Leadership Academy II High School,7.2,37,5.8,6.5,2.7,6.2,6.4,437,0,0.7,7.3,15,1,48.3,0,43.3,6.0,29.3,41.9,44,26.0,50,39,305,7.1,6.1,6,0.7,8,-0.1,7.1,1,19,12,7.2,0.3,0,431,4,58.1,9.3,7.3,46.2
Jonas Bronck Academy,8.7,38,7.1,7.6,4.1,7.4,7.6,144,0,0.4,8.7,0,0,72.4,0,81.8,7.9,58.3,46.8,55,7.0,65.2,47,136,8.6,6.9,1,0.54,0,0.8,8.4,0,0,2,8.7,0.6,0.3,142,1,90.0,10.0,8.7,77.8
P.S. 066 School of Higher Expectations,8.0,183,7.6,7.5,4.2,.,7.7,583,40,0.6,8.2,0,1,78.1,40,62.1,7.0,59.5,70.0,189,40.0,.,153,.,8.5,8.0,9,0.71,27,.,8.3,3,0,17,8.5,1.1,.,.,5,72.7,9.9,7.9,76.9
P.S. 107,7.2,70,6.6,7.1,4.6,.,6.9,535,30,0.3,7.3,0,5,50.0,52,37.9,5.4,35.7,52.5,82,19.0,.,74,.,8.0,6.6,10,0.37,17,.,8.0,9,0,14,8.1,0,.,.,10,54.5,10.0,7.9,53.8
P.S. 345 Patrolman Robert Bolden,7.5,100,5.7,7.3,3.9,.,7.2,723,47,0.4,8.1,0,4,18.8,27,27.6,6.1,14.3,15.0,110,45.0,.,94,.,8.3,5.9,10,0.69,11,.,8.1,3,0,7,8.2,0.4,.,.,3,63.6,9.9,8.1,30.8
P.S. 397 Foster-Laurie,7.7,72,7.7,7.3,4.0,.,6.7,415,24,0.9,8.2,0,0,59.4,33,62.1,6.2,61.9,60.0,80,22.0,.,74,.,8.2,7.4,4,0.65,11,.,8.2,0,0,6,8.0,0.4,.,.,0,63.6,9.9,8.0,61.5
River East Elementary,8.3,66,7.7,7.6,3.9,.,7.5,149,23,-0.2,8.8,0,0,75.0,15,69.0,7.0,61.9,62.5,77,13.0,.,69,.,9.0,7.7,4,0.81,4,.,8.8,0,0,2,8.5,1.2,.,.,0,77.3,10.0,7.8,73.1
Brooklyn Secondary School for Collaborative  Studies,7.7,63,7.6,7.2,4.2,6.8,6.6,600,0,0.9,8.0,0,2,79.3,0,76.7,6.3,73.2,58.1,65,26.0,68.2,55,517,7.7,6.8,9,0.42,17,0.2,7.6,3,22,11,7.8,0.7,0.3,593,3,80.6,9.1,8.3,65.4
P.S. 38 Roberto Clemente,7.0,17,6.0,7.0,4.9,.,6.1,378,4,0.4,7.2,0,1,28.1,7,27.6,5.9,21.4,30.0,24,25.0,.,16,.,7.3,5.9,7,0.61,8,.,7.3,2,0,7,7.6,0.8,.,.,2,50.0,10.0,7.8,26.9
M.S. 321 - Minerva,8.1,87,4.6,7.3,4.5,5.6,7.9,352,0,1.2,8.2,0,1,27.6,0,33.3,7.7,6.2,10.6,72,10.0,30.4,80,283,8.5,5.7,6,0.29,9,0.6,8.0,1,0,9,8.0,1.4,0.3,355,1,80.0,9.9,8.3,37.0
Wadleigh Secondary School for the Performing & Visual Arts,6.1,24,6.2,6.1,2.3,5.8,5.6,706,0,0.1,6.7,9,0,44.8,0,30.0,4.3,39.0,30.2,17,15.0,54.5,13,401,5.9,5.7,2,0.23,14,0.3,6.6,1,12,11,6.1,-0.4,0.6,679,4,45.2,7.9,6.8,30.8
P.S. 076 The Bennington School,7.8,292,7.2,7.8,4.2,.,7.8,1026,89,1.1,8.6,0,8,62.5,104,62.1,7.4,50.0,62.5,357,82.0,.,318,.,8.9,7.4,13,1.0,16,.,8.7,4,0,12,8.8,0.7,.,.,4,86.4,9.9,8.4,76.9
P.S. 008 Robert Fulton,8.2,102,7.1,7.8,4.8,.,7.7,491,59,0.3,7.8,0,1,71.9,24,55.2,6.9,47.6,47.5,208,11.0,.,144,.,7.7,7.1,15,0.28,25,.,8.1,7,0,15,8.2,0.3,.,.,2,86.4,10.0,8.5,53.8
Bronx Green Middle School,6.7,25,4.4,6.2,3.7,5.9,6.0,341,0,0.5,7.2,0,8,13.8,0,21.2,4.8,2.1,0.0,21,20.0,17.4,20,294,6.5,5.3,3,0.87,5,0.4,7.1,1,0,5,6.9,-0.1,-0.5,330,3,43.3,9.4,6.7,11.1
New York City Lab Middle School for Collaborative Studies,7.4,45,6.6,7.3,4.2,7.1,7.1,580,0,1.2,7.4,0,1,62.1,0,63.6,7.2,47.9,48.9,82,20.0,73.9,59,465,6.8,6.0,5,0.51,22,0.8,7.1,3,0,18,7.6,0.5,0.5,580,4,80.0,8.7,7.3,59.3
P.S. 3 Raul Julia Micro Society,8.2,48,7.2,7.5,5.0,6.9,7.2,471,7,0.8,8.0,0,2,69.2,10,68.7,6.8,62.2,53.8,66,33.0,68.2,55,156,8.1,6.7,3,0.54,5,0.6,7.9,1,0,8,8.2,0.5,0.3,170,3,79.2,9.7,8.3,62.5
P.S. 166 The Richard Rodgers School of The Arts and Technology,7.0,45,7.5,7.3,5.3,.,7.1,598,28,0.8,7.2,1,12,46.9,28,48.3,6.1,57.1,50.0,78,15.0,.,53,.,7.0,6.1,7,0.36,35,.,6.9,7,0,22,7.4,0.4,.,.,7,63.6,9.9,7.8,38.5
J.H.S. 104 Simon Baruch,6.9,65,6.4,6.6,3.9,6,6.9,1040,0,1.1,7.4,0,0,55.2,0,48.5,5.5,43.7,44.7,63,46.0,47.8,63,883,7.3,6.1,10,0.67,21,0.7,6.7,3,0,26,7.2,0.5,0.5,1036,2,56.7,9.5,7.6,48.1
Eleanor Roosevelt High School,7.8,51,7.9,7.6,5.0,7.5,7.7,484,0,1.8,8.6,23,1,89.7,0,93.3,8.6,80.5,86.0,84,20.0,72.7,64,434,7.5,7.0,3,0.59,12,0.1,7.5,0,27,6,8.2,0.1,0.4,478,2,93.5,7.7,8.2,92.3
Bayard Rustin Educational Complex,6.4,53,4.9,5.5,2.8,5.6,5.8,1727,0,0.4,6.3,42,9,17.2,1,13.3,4.9,7.3,-2.3,43,69.0,27.3,36,960,6.1,5.0,27,0.53,38,0.2,5.9,15,45,37,6.3,0.2,0.5,1617,15,25.8,7.7,6.7,0.0
P.S. 159 Isaac Pitkin,7.1,78,6.8,7.1,3.5,.,6.7,925,27,0.5,7.7,0,3,53.1,29,41.4,5.3,40.5,47.5,81,48.0,.,71,.,8.4,7.1,11,0.65,15,.,7.9,1,0,11,8.0,0.4,.,.,2,54.5,10.0,8.0,50.0
"M.S. 267 Math, Science & Technology",6.7,27,5.7,6.4,4.7,5.6,6.4,447,0,0.6,7.1,0,3,27.6,0,30.3,3.9,29.2,27.7,23,9.0,17.4,14,341,7.3,5.5,4,0.23,12,-0.1,7.0,3,0,7,6.8,0.5,0.1,442,3,50.0,9.1,6.7,29.6
Bronx International High School,7.6,15,7.7,7.6,6.5,7.2,8.4,345,0,1.1,8.2,3,0,89.7,0,86.7,8.3,75.6,55.8,18,14.0,90.9,16,279,8.3,6.8,0,0.54,0,0,7.8,0,7,0,7.9,0.1,-0.2,330,0,93.5,10.0,8.4,73.1
The School of Science and Applied Learning,7.3,40,6.5,7.1,3.9,.,6.1,644,14,0.3,7.8,0,2,37.5,10,34.5,5.0,33.3,17.5,41,19.0,.,33,.,8.1,6.4,0,0.38,4,.,7.9,3,0,5,7.7,0.2,.,.,3,54.5,10.0,8.2,23.1
M.S. 224 Manhattan East School for Arts & Academics,7.7,48,7.3,7.6,4.7,7.1,8.2,266,0,0.8,8.3,0,1,89.7,0,72.7,6.3,62.5,74.5,43,15.0,95.7,30,236,7.9,7.0,1,0.83,5,1,7.8,2,0,4,8.4,0.5,0.5,262,1,90.0,9.6,7.9,88.9
Frederick Douglass Academy V. Middle School,8.1,28,7.6,7.5,5.1,7,7.4,263,0,0.7,8.8,0,0,82.8,0,78.8,7.6,68.7,72.3,30,20.0,91.3,27,242,7.9,7.2,1,0.87,0,0.7,8.0,1,0,0,8.7,-0.1,0.5,260,1,86.7,9.8,8.6,88.9
 The American Sign Language and English Dual Language High School,7.3,12,7.6,7.0,5.2,6.6,6.0,211,0,0.6,7.6,3,0,82.8,0,70.0,6.8,73.2,72.1,15,22.0,77.3,11,164,7.5,6.6,4,0.71,4,-0.1,7.3,0,3,4,6.9,-0.7,0.1,201,0,74.2,9.8,7.3,61.5
P.S. 023 The New Children's School,7.6,76,7.3,7.5,4.2,.,7.6,569,52,0.9,8.3,0,2,47.1,0,41.7,7.8,36.8,50.0,88,50.0,.,80,.,8.4,7.2,6,0.77,7,.,8.3,4,0,8,8.5,0.5,.,.,1,52.2,10.0,8.4,50.0
Samuel J. Tilden High School,7.3,20,6.1,6.1,4.2,5.7,6.1,1256,0,0.7,6.6,17,3,37.9,0,26.7,4.1,36.6,37.2,15,15.0,50,16,171,6.5,5.7,8,0.22,12,-0.3,7.0,5,22,8,6.5,0.2,0.2,1209,6,45.2,7.5,7.0,30.8
Bronx Coalition Community High School,7.3,32,6.0,6.5,3.0,5.4,6.6,488,0,1.2,7.3,9,3,41.4,0,33.3,5.8,34.1,37.2,41,20.0,13.6,35,360,7.1,5.8,6,0.61,9,0.1,7.1,1,25,11,6.8,1,0.3,452,3,58.1,9.0,7.0,30.8
Bronx High School for Law and Community Service,7.8,77,6.5,7.8,5.7,5.7,7.3,425,0,2.6,7.6,20,0,65.5,0,46.7,6.8,46.3,55.8,84,17.0,22.7,67,373,7.8,6.2,5,0.47,4,0.1,8.1,2,22,8,8.0,1.4,0.7,419,3,100.0,8.7,7.2,65.4
Urban Institute of Mathematics,8.0,44,8.3,7.4,4.9,7.7,7.9,130,0,.,8.1,0,0,93.1,1,93.9,7.0,83.3,74.5,61,8.0,108.7,50,124,7.9,7.4,8,0.89,3,.,7.8,2,0,4,8.3,.,.,127,4,83.3,9.9,7.6,88.9
International School for Liberal Arts,8.3,79,7.6,7.5,4.7,7,8.5,386,0,0.6,8.5,0,1,93.1,0,86.7,8.7,73.2,81.4,78,11.0,77.3,73,329,8.8,7.1,1,0.46,1,-0.3,8.2,1,38,2,8.4,0.4,-0.1,377,2,90.3,9.9,8.3,88.5
P.S. 134 Henrietta Szold,7.8,47,5.7,7.8,5.5,.,7.4,367,18,0.8,8.0,0,0,40.6,8,31.0,6.8,14.3,27.5,50,15.0,.,46,.,8.2,6.3,4,0.45,4,.,8.3,1,0,3,8.3,0.5,.,.,2,86.4,9.9,8.0,38.5
High School X560 - Bronx Academy High School,7.3,31,7.3,6.6,2.6,6.4,6.9,402,0,0.9,7.2,39,0,33.3,0,33.3,7.1,45.5,43.7,35,21.0,-4,29,185,7.0,6.1,7,0.78,8,0.1,7.3,0,15,14,7.2,0.3,0.3,353,0,46.7,9.0,8.2,24.0
P.S. 199 Jessie Isador Straus,8.2,81,8.7,8.0,4.5,8.1,7.8,721,35,1,8.4,0,1,103.8,34,96.9,7.2,95.6,79.5,172,16.0,109.1,141,41,8.2,7.2,7,0.32,12,0.8,8.3,1,0,7,8.6,0.3,-0.2,.,1,100.0,10.0,8.5,91.7
P.S. 105 Sen Abraham Bernstein,6.7,118,6.4,6.7,3.3,.,6.3,1468,62,0.5,7.4,0,6,28.1,71,37.9,6.7,31.0,30.0,148,80.0,.,137,.,7.7,6.2,18,0.68,33,.,7.4,10,0,28,7.5,0.4,.,.,9,36.4,10.0,7.8,26.9
P.S. 210 - 21st Century Academy,8.4,70,7.9,8.3,6.1,7.8,8.0,377,13,0.5,8.9,0,0,103.8,8,90.6,8.1,77.8,69.2,83,12.0,95.5,72,130,8.6,7.0,0,0.39,3,-0.5,8.3,0,0,3,8.6,0.3,-0.5,136,0,112.5,10.0,8.8,79.2
P.S. 128 Bensonhurst,7.4,44,7.8,7.3,3.6,.,7.4,349,14,0.8,7.7,0,1,56.3,21,65.5,7.9,64.3,45.0,57,16.0,.,53,.,8.2,6.8,3,0.57,7,.,7.6,1,0,7,7.9,0.4,.,.,3,63.6,9.8,7.7,46.2
I.S. 206 Ann Mersereau,8.0,174,6.2,7.5,4.6,5.9,8.0,414,0,1.5,8.7,0,3,58.6,68,51.5,7.8,39.6,57.4,212,34.0,30.4,201,282,8.6,6.9,3,0.85,12,0.2,8.8,0,0,8,8.7,1.2,0.2,317,1,86.7,10.0,8.8,70.4
P.S. 065 - The Little Red School House,7.7,104,8.1,7.4,4.4,.,7.1,549,23,0.7,7.7,0,2,68.8,57,72.4,7.1,71.4,77.5,122,24.0,.,113,.,8.2,7.6,5,0.56,7,.,7.9,2,0,14,8.2,0.2,.,.,5,68.2,10.0,8.2,73.1
P.S. 189,7.7,223,6.9,7.4,4.8,.,7.7,1114,67,0.4,8.1,0,6,59.4,100,51.7,7.3,42.9,57.5,237,35.0,.,194,.,8.3,7.1,17,0.4,28,.,7.9,5,0,22,8.2,0.4,.,.,6,68.2,10.0,7.9,61.5
Brownsville Academy High School,8.7,36,7.1,7.9,3.8,7.2,9.0,210,0,0.5,8.8,21,0,70.4,0,50.0,8.0,39.4,43.7,37,14.0,44,30,149,8.8,7.1,0,0.74,0,0.2,8.4,0,18,1,8.9,0.3,0.2,192,0,90.0,9.6,8.7,56.0
P.S. 054 Samuel C. Barnes,7.1,17,6.5,7.9,6.0,.,7.4,342,13,0.8,7.4,0,1,59.4,8,34.5,7.1,33.3,37.5,20,21.0,.,17,.,8.1,6.5,0,0.51,2,.,8.2,3,0,0,7.6,0.1,.,.,1,90.9,10.0,6.9,42.3
P.S. 001 Courtlandt School,7.8,192,6.3,7.4,4.4,.,7.4,659,67,0.8,7.9,0,5,46.9,66,41.4,7.0,28.6,35.0,214,35.0,.,196,.,8.2,6.8,10,0.7,21,.,8.0,4,0,27,8.1,0.7,.,.,3,68.2,9.9,8.3,38.5
"Antonia Pantoja Preparatory Academy, A College Board School",7.7,4,7.0,7.1,5.3,6.4,6.8,100,0,.,7.2,0,0,55.2,0,66.7,6.9,56.2,48.9,10,6.0,52.2,8,87,6.9,6.1,2,0.86,3,.,7.8,1,0,4,7.2,.,.,97,0,73.3,10.0,8.5,55.6
P.S. 009 Sarah Anderson,7.9,78,8.6,7.5,4.6,.,7.9,510,41,0.9,7.9,1,7,81.3,35,79.3,7.0,83.3,92.5,119,19.0,.,112,.,7.8,7.5,5,0.63,19,.,7.3,1,0,18,8.3,0.7,.,.,2,72.7,10.0,8.0,92.3
P.S. 102 Joseph O. Loretan,6.7,44,6.0,6.7,4.1,.,5.9,1130,14,0.1,7.2,0,3,3.1,25,24.1,5.9,21.4,-15.0,46,54.0,.,38,.,7.3,5.1,5,0.54,14,.,7.4,6,0,20,7.3,-0.1,.,.,5,36.4,10.0,6.9,-11.5
Ronald Edmonds Learning Center II,7.4,9,8.0,6.4,4.0,6.6,5.5,127,0,0.7,7.6,0,1,69.0,1,72.7,6.7,77.1,63.8,11,9.0,56.5,7,103,6.6,6.7,3,0.75,2,0.5,7.4,0,0,3,6.5,0.6,-0.6,126,0,50.0,10.0,6.5,59.3
W. H. Maxwell Career and Technical Education High School,6.6,96,6.0,5.9,2.5,5.3,6.1,1122,0,0.2,6.9,81,11,37.9,0,23.3,4.5,34.1,48.8,69,73.0,22.7,70,640,6.2,5.9,31,0.85,56,-0.1,6.7,13,82,46,6.8,0.1,0.3,1014,15,38.7,8.3,6.9,38.5
P.S. 056 Lewis H. Latimer,7.8,90,7.9,7.3,3.9,.,7.0,348,41,0.6,7.6,0,0,71.9,32,65.5,6.2,66.7,72.5,119,29.0,.,93,.,7.6,7.2,13,0.83,20,.,7.8,1,1,21,7.8,0.4,.,.,4,63.6,10.0,7.7,65.4
M.S. 328 - Manhattan Middle School for Scientific Inquiry,7.3,89,5.8,6.5,3.8,6.4,7.3,567,0,-0.2,7.5,0,4,51.7,0,45.5,6.2,31.2,53.2,67,43.0,43.5,60,489,7.5,6.3,7,0.9,14,-0.1,7.3,2,0,18,7.7,-0.4,-0.2,564,5,53.3,9.6,7.7,59.3
J.H.S. 166 Roberto Clemente,7.0,49,5.0,6.5,4.6,5.7,6.5,936,0,0.6,7.1,0,4,27.6,25,21.2,3.7,14.6,17.0,38,68.0,30.4,37,641,7.2,5.6,2,0.78,14,0.3,6.8,4,0,14,6.8,0.3,-0.1,750,4,53.3,8.7,6.9,25.9
P.S. 333 Manhattan School for Children,7.9,55,7.6,7.5,4.6,6.8,7.1,698,24,0,8.0,0,1,65.4,20,71.9,6.5,71.1,61.5,103,27.0,50,56,139,7.8,6.2,4,0.48,11,0.5,8.1,7,0,8,7.8,0.2,-0.2,194,1,79.2,9.9,7.9,58.3
P.S. 222 Katherine R. Snyder,8.0,182,9.1,7.5,3.8,.,7.6,864,65,1.1,8.4,0,2,87.5,86,93.1,7.7,95.2,92.5,272,68.0,.,260,.,8.9,8.3,5,0.89,19,.,8.3,6,0,8,8.6,0.9,.,.,5,72.7,10.0,8.1,96.2
J.H.S. 062 Ditmas,7.6,393,6.8,6.8,3.5,6.2,7.4,1132,0,0.6,7.9,0,5,58.6,1,54.5,6.0,52.1,57.4,385,85.0,47.8,317,1078,7.7,6.7,37,0.85,40,0.4,7.6,8,0,47,7.9,0.2,0.1,1133,9,63.3,9.2,7.5,66.7
Essence School,6.8,26,7.2,6.9,4.9,5.5,6.3,248,0,0.6,8.2,0,1,55.2,0,51.5,5.2,60.4,61.7,27,10.0,26.1,23,240,7.5,6.7,3,0.5,6,0.7,7.9,3,0,2,7.5,0.8,0.1,246,0,66.7,9.8,7.6,66.7
P.S. X014 Senator John Calandra,8.4,121,8.4,7.9,4.0,.,7.7,528,38,1.2,8.7,0,2,84.4,35,82.8,7.5,78.6,67.5,143,34.0,.,123,.,8.7,7.8,5,0.89,7,.,8.6,4,0,7,8.7,1.1,.,.,1,90.9,10.0,8.8,76.9
P.S. 251 Paedergat,7.5,119,6.4,7.4,4.0,.,7.0,668,50,0.7,8.0,1,4,50.0,50,37.9,6.2,31.0,45.0,130,52.0,.,108,.,8.4,7.2,9,0.98,13,.,8.2,3,1,11,8.4,0.6,.,.,4,68.2,9.9,7.9,53.8
Children's Workshop School,8.5,34,7.9,8.1,5.2,.,8.1,258,7,0.7,8.5,0,0,100.0,17,75.9,7.5,66.7,72.5,59,11.0,.,52,.,8.3,8.0,2,0.52,2,.,8.5,0,0,3,8.4,0.4,.,.,1,100.0,10.0,8.2,76.9
P.S. 005 Port Morris,7.5,133,8.2,7.1,4.0,.,7.0,581,45,0.6,7.8,0,5,75.0,37,72.4,6.6,73.8,75.0,141,35.0,.,115,.,8.2,7.6,12,0.7,24,.,7.9,13,0,17,8.3,0.6,.,.,9,54.5,10.0,8.0,76.9
School for Excellence,7.2,16,6.3,5.9,3.9,6.4,6.0,442,0,0.2,7.0,6,1,62.1,0,40.0,5.8,41.5,65.1,11,6.0,40.9,6,271,6.6,6.1,1,0.21,4,-1.1,6.6,2,9,3,6.7,-0.6,-1.8,435,1,38.7,7.6,7.6,57.7
Adlai E. Stevenson High School,7.8,4,6.3,6.6,3.3,6.3,6.5,757,0,1.3,6.5,8,0,37.9,0,40.0,4.8,41.5,23.3,5,17.0,59.1,4,344,5.8,5.2,2,0.19,3,0.3,7.3,0,12,6,6.3,0.3,0.3,652,0,61.3,8.9,7.6,23.1
P.S. 185 John M. Langston,7.8,61,7.5,7.7,4.7,.,7.6,306,36,0.6,8.3,0,3,47.1,1,50.0,7.7,42.1,31.0,77,18.0,.,73,.,8.6,7.0,3,0.56,4,.,8.5,1,0,2,8.6,0.2,.,.,0,60.9,10.0,8.7,35.7
I.S. 174 Eugene T. Maleska,6.3,23,5.4,6.0,3.9,5.3,5.6,644,0,0.3,7.2,0,3,24.1,0,18.2,4.2,22.9,19.1,13,29.0,39.1,13,453,7.1,5.4,2,0.51,8,0,6.5,5,0,6,6.7,0.4,-0.2,641,2,36.7,7.7,7.1,22.2
J.H.S. 118 William W. Niles,6.9,74,6.1,6.8,3.4,6.1,7.2,1160,0,0.9,7.7,0,3,37.9,0,48.5,6.4,37.5,19.1,75,42.0,52.2,63,1008,7.4,5.7,4,0.48,16,0.4,7.4,2,0,14,7.7,0.3,0,1138,1,63.3,9.4,7.9,44.4
