school_name,q2_how_much_do_you_agree_disagree_g_there_is_an_adult_at_the_whom_my_child_trus,q2e_number_strongly_agree,teacher_safety_and_respect_score,parent_engagement_score,q7_my_child_participates_in_the_following_before_or_after_school,student_safety_and_respect_score,q8_how_much_do_you_agree_disagree_my_child_s_offers_a_wide_enough_variety_of_co,enrollment,q1_number_2nd_grade,change_in_parent_engagement_score_2007_2008,q2_how_much_do_you_agree_disagree_d_the_keeps_me_inf_med_about_my_child_s_acade,q1_number_12th_grade,q2a_number_strongly_disagree,horizion_engagement_score,q1_number_5th_grade,horizion_safety_and_respect_score,q11_how_often_do_you_think_a_students_threaten_bully_other_students,teacher_horizon_safety_and_respect_score,teacher_horizon_academic_expectations_score,q2a_number_strongly_agree,teacher_respondents,student_horizon_engagement_score,q2b_number_strongly_agree,student_respondents,q5_how_much_do_you_agree_disagree_c_my_child_s_teacher_s_give_helpful_comments,communication_score,q2e_number_disagree,teacher_response_rate,q2b_number_disagree,change_in_student_academic_expectations_score_2007_2008,q13_how_satisfied_are_you_with_d_your_opp_tunities_to_be_involved_in_your_child,q2c_number_strongly_disagree,q1_number_11th_grade,q2d_number_disagree,q13_how_satisfied_are_you_with_e_the_education_your_child_has_received_this_yea,change_in_parent_academic_expectations_score_2007_2008,change_in_student_communication_score_2007_2008,total_students,q2d_number_strongly_disagree,parent_horizon_engagement_score,q11_how_often_do_you_think_e_students_use_alcohol_illegal_drugs_during_school,q10_how_much_do_you_agree_disagree_answer_this_question_only_if_your_child_s_ha,horizion_academic_expectations_score
Alfred E. Smith Career and Technical Education High School,6.7,46,6.0,6.3,3.3,5.6,7.2,1189,0,0.5,7.3,15,1,31.0,1,33.3,5.8,34.1,27.9,34,25.0,18.2,39,766,6.9,5.5,3,0.26,12,-0.1,7.1,5,21,9,7.1,0.5,0.3,1137,6,51.6,8.3,7.8,30.8
M.S. 301 Paul L. Dunbar,7.7,20,7.1,7.1,5.0,5.6,6.9,359,0,0.7,7.2,0,0,65.5,1,48.5,5.1,58.3,63.8,22,30.0,21.7,17,317,7.9,6.6,2,0.86,3,-0.2,7.5,1,0,8,8.1,0.9,-0.1,350,2,73.3,9.3,7.3,55.6
Washington Heights Expeditionary Learning School,8.2,119,9.2,7.6,4.3,7.7,7.9,235,0,0.5,8.6,0,0,103.4,1,103.0,8.0,102.1,93.6,134,20.0,104.3,115,225,8.6,7.9,3,1.0,1,0.4,8.2,1,0,5,8.8,0.2,-0.4,233,1,90.0,10.0,8.3,107.4
P.S. 214,7.7,90,7.4,7.4,4.3,6.1,7.7,848,8,0.7,8.3,0,1,65.4,11,59.4,5.9,66.7,64.1,93,34.0,36.4,79,283,8.1,6.7,9,0.45,11,0.3,7.9,3,0,10,8.2,0.7,0,342,1,75.0,9.6,8.1,66.7
J.H.S. 014 Shell Bank,7.2,37,7.2,6.3,3.5,6,6.2,735,0,0.7,7.1,0,2,75.9,0,51.5,4.6,60.4,80.9,46,65.0,52.2,40,662,7.4,6.7,6,0.93,8,0.3,7.1,3,0,16,7.4,0.5,-0.1,735,4,46.7,9.1,7.7,70.4
Lower Manhattan Arts Academy,7.2,23,7.0,7.1,5.3,6.4,7.4,241,0,0.8,7.2,1,1,86.2,0,56.7,5.1,58.5,62.8,14,10.0,68.2,14,187,6.9,6.5,0,0.56,1,-0.2,7.1,0,8,3,6.8,0.1,-0.1,236,1,77.4,8.5,7.0,57.7
P.S. 340,7.3,39,8.1,6.9,3.4,8.2,6.5,528,18,0.4,7.8,0,1,81.3,8,69.0,7.3,71.4,82.5,54,8.0,109.5,40,15,7.9,7.5,5,0.18,4,0.2,7.8,6,0,10,8.3,0,0.1,51,0,45.5,9.9,8.2,80.8
High School for Youth and Community Development at Erasmus,7.5,29,6.4,6.7,3.4,5.7,6.5,435,1,0.6,7.7,11,3,65.5,0,40.0,5.0,43.9,65.1,29,19.0,40.9,25,314,7.3,6.4,1,0.68,4,0.1,7.3,3,13,5,7.1,0.3,0.4,418,2,64.5,8.3,7.4,61.5
"Bronx School for Law, Government and Justice",7.9,62,6.6,6.7,4.0,6.1,7.2,594,0,0.6,7.7,21,1,44.8,0,56.7,6.5,48.8,34.9,67,43.0,27.3,48,463,7.6,5.9,2,0.91,14,0,7.4,3,18,8,7.6,0.3,0.2,581,3,64.5,8.8,8.1,46.2
Abraham Lincoln High School,6.7,80,7.0,5.5,3.2,5.7,6.6,2628,0,0.7,6.6,28,8,48.3,0,43.3,5.2,58.5,55.8,60,29.0,22.7,59,2074,6.2,5.8,28,0.18,36,0.3,6.2,7,54,47,6.5,0.1,0.4,2518,14,25.8,8.1,7.0,38.5
