source_relation,date_day,organization_id,organization_name,campaign_id,campaign_name,currency,campaign_status,start_at,end_at,taps,new_downloads,tap_new_downloads,redownloads,tap_redownloads,total_downloads,tap_total_downloads,conversions,tap_installs,impressions,spend
"",2025-06-02,3219110,Tip Tap Cat,973923054,Tap Away,USD,PAUSED,2021-12-09 00:00:00,2022-01-31 23:59:00,121,23,23,0,0,23,23,23,23,617,71.65
"",2024-07-01,3219111,Gaming Studio,973923061,New Feature,USD,ENABLED,2025-11-23 00:00:00,2026-01-01 23:59:00,63,13,13,0,0,13,13,13,13,715,72.09
"",2025-04-17,3219110,Tip Tap Cat,973923054,Tap Away,USD,PAUSED,2021-12-09 00:00:00,2022-01-31 23:59:00,183,103,103,0,0,103,103,103,103,1042,73.14
"",2023-07-30,3219112,App Developer Pro,973923066,User Acquisition,USD,ENABLED,2025-11-07 00:00:00,2025-12-21 23:59:00,162,17,17,0,0,17,17,17,17,1245,71.02
"",2023-02-09,3219110,Tip Tap Cat,973923059,Spring Launch,USD,PAUSED,2025-10-02 00:00:00,2025-11-12 23:59:00,84,32,32,0,0,32,32,32,32,1742,89.66
"",2022-04-15,3162550,Joseph Markiewicz,973923056,Holiday Sale,USD,PAUSED,2025-10-17 00:00:00,2025-12-07 23:59:00,14,2,2,0,0,2,2,2,2,110,60.56
"",2022-01-05,3219110,Tip Tap Cat,973923060,User Acquisition,USD,PAUSED,2025-11-01 00:00:00,2025-12-06 23:59:00,100,49,49,0,0,49,49,49,49,1317,59.38
"",2022-01-14,3162550,Joseph Markiewicz,973923055,Summer Special,USD,PAUSED,2025-11-20 00:00:00,2026-01-15 23:59:00,52,10,10,0,0,10,10,10,10,320,67.15
"",2024-06-22,3219110,Tip Tap Cat,973923059,Spring Launch,USD,PAUSED,2025-10-02 00:00:00,2025-11-12 23:59:00,69,6,6,0,0,6,6,6,6,356,77.59
"",2024-08-01,3219110,Tip Tap Cat,973923059,Spring Launch,USD,PAUSED,2025-10-02 00:00:00,2025-11-12 23:59:00,151,39,39,0,0,39,39,39,39,1242,13.09
"",2022-12-11,3219111,Gaming Studio,973923061,New Feature,USD,ENABLED,2025-11-23 00:00:00,2026-01-01 23:59:00,43,16,16,0,0,16,16,16,16,1756,88.47
"",2024-10-13,3219110,Tip Tap Cat,973923060,User Acquisition,USD,PAUSED,2025-11-01 00:00:00,2025-12-06 23:59:00,100,52,52,0,0,52,52,52,52,935,96.12
