fullapplicationno,applicationdate,wheelbase,loadlength,trailermake,endstate,axle8weight,startcountyline,startzipcode,axle11space,endstreetaddress,issuedate,axle7weight,axle7space,startstate,descriptionofload,permitdateto
HAR-20211119-36437,2021-11-19T12:40:36.000Z,70.06,55.0,TRANSCRAFT,NY,,GEORGE WASHINGTOON BRIDGE I95,11111,,48TH ST & MADISON AVE,2021-11-22T10:56:10.000Z,,,NY,STEEL FRAME,2021-11-24T00:00:00.000Z
HAR-2022107-39437,2022-10-07T10:53:27.000Z,70.02,55.0,FONTAINE,NY,,GEORGE WASHINGTON BRIDGE,11111,,47TH ST & MADISON AVE,2022-10-11T11:41:08.000Z,,,NY,STEEL FRAME,2022-10-13T00:00:00.000Z
HAR-2023922-31820,2023-09-22T13:10:10.000Z,59.0,50.0,TRAIL KING,NY,,,10017,,,2023-09-25T09:49:11.000Z,,,NY,EMPTY TRAILER,2023-09-27T00:00:00.000Z
HAR-202388-27878,2023-08-08T14:16:18.000Z,68.0,40.0,TRAIL KING,NY,14850.0,GEORGE WASHINGTON BRIDGE,11111,,47TH ST & MADISON AVE,2023-08-09T15:06:51.000Z,14850.0,4.06,NY,STEEL FRAME,2023-08-11T00:00:00.000Z
HAR-202377-25247,2023-07-07T10:32:10.000Z,70.06,55.0,TRANSCRAFT,NY,,GEORGE WASHINGTON BRIDGE I95,11111,,47TH ST & MADISON AVE,2023-07-10T09:05:06.000Z,,,NY,STEEL FRAME,2023-07-12T00:00:00.000Z
UNT2-20221114-45051,2022-11-14T12:27:34.000Z,51.02,47.03,PROSTAR,NY,,,11211,,162-01 Powells Cove Blvd.,2022-11-14T15:53:33.000Z,,,NY,TRACTOR/HONEY TRAILER WITH ONBOARD GENERATOR,2022-11-17T00:00:00.000Z
Hig-202296-34477,2022-09-06T11:23:07.000Z,55.08,48.0,GREAT DANE,NY,,,10044,,SKILLMAN @ 33RD STREET,2022-09-07T12:00:33.000Z,,,NY,EMPTY,2022-09-09T00:00:00.000Z
Wik-2022218-5811,2022-02-18T09:33:25.000Z,47.08,42.0,Serro Scotty,NY,,,11211,,874 Lexington Ave,2022-02-18T12:03:26.000Z,,,NY,Two Room Camper,2022-02-24T00:00:00.000Z
THE1-20221017-40911,2022-10-17T19:59:59.000Z,62.08,25.0,MANAC,NY,,WESTCHESTER @ I-87,11111,,,2022-10-18T09:49:46.000Z,,,NY,PRECAST CONCRETE SECTION,2022-10-20T00:00:00.000Z
NJ-2022427-16009,2022-04-27T15:55:45.000Z,67.06,40.0,MAC,NY,,NY NJ LINE @ I278 GOETHALS BRIDGE,11111,,JFK,2022-05-03T13:42:49.000Z,,,NY,"BAGGAGE HANDLERS (2) CPT-7ST SERIAL: 00124 , 00123",2022-05-04T00:00:00.000Z
HAR-2023626-24309,2023-06-26T07:55:18.000Z,59.0,50.0,DOONAN,NY,,,10017,,,2023-06-27T09:20:50.000Z,,,NY,EMPTY TRAILER,2023-06-29T00:00:00.000Z
Joe1-2023312-11400,2023-03-12T14:39:19.000Z,52.03,44.02,PLAYMOR,NY,,,11249,,16 SAINT NICHOLAS PL.,2023-03-13T11:13:10.000Z,,,NY,FILM INDUSTRY FUELER AND 3 ROOM CAST TRAILER,2023-03-15T00:00:00.000Z
Les-20221025-42315,2022-10-25T18:13:03.000Z,58.07,48.0,FONTAINE,NY,,,10459,,,2022-11-02T15:20:15.000Z,,,NY,EMPTY TRAILER,2022-11-03T00:00:00.000Z
New-2022223-6232,2022-02-23T10:49:58.000Z,72.02,20.0,FONTAINE,NY,,NYC/NASSAU LINE @ SR-25,11111,,W46 ST & 7 AVE,2022-02-24T10:57:20.000Z,,,NY,AC UNIT MAKE: JOHNSON CONTROL MODEL: JC7818,2022-02-26T00:00:00.000Z
New-2023511-20072,2023-05-11T11:30:31.000Z,53.06,56.0,TRANSCRAFT,NY,,NYC/NASSAU LINE @ I-495,11111,,,2023-05-12T10:24:03.000Z,,,NY,PRE FABRICATED PANEL MAKE:ISLAND MODEL:LOAD 114,2023-05-16T00:00:00.000Z
BAR-2023121-38081,2023-12-01T09:16:04.000Z,70.02,20.0,PITS,NY,,WESTCHESTER LINE @ I95,11111,,JFK AIRPORT,2023-12-01T11:37:42.000Z,,,NY,ASML RZX TEMP CONTROLLED CHIP FABRICATOR,2023-12-02T00:00:00.000Z
HAR-202289-30776,2022-08-09T08:10:55.000Z,68.0,40.0,FONTAINE,NY,14850.0,GEORGE WASHINGTON BRIDGE,11111,,47TH ST & MADISON AVE,2022-08-10T14:10:42.000Z,14850.0,4.06,NY,STEEL FRAME,2022-08-12T00:00:00.000Z
Mut-20231227-40755,2023-12-27T09:57:29.000Z,66.03,48.0,Fontaine,NY,,,22222,,,2024-01-02T11:24:31.000Z,,,NY,Empty Trailer,2024-01-04T00:00:00.000Z
Wik-2023216-7815,2023-02-16T06:31:37.000Z,40.0,40.0,Fruehauf,NY,,Interstate 87 @ Jerome Ave,10471,,420 East 23rd St,2023-02-16T15:04:24.000Z,,,NY,Production Special Effects/with genny,2023-02-22T00:00:00.000Z
NJ-2023131-4698,2023-01-31T12:09:18.000Z,74.08,46.11,WALTRON,NY,,,10001,,,2023-01-31T13:54:55.000Z,,,NY,BOAT MAKE: CRUISERS MODEL:46 CANTIUS,2023-02-01T00:00:00.000Z
Les-2021721-20619,2021-07-21T10:52:55.000Z,73.06,42.0,GREAT DANE,NY,,GW BRIDGE-I95,11111,,,2021-07-23T11:49:44.000Z,,,NY,PRECAST CONCRETE,2021-07-27T00:00:00.000Z
NYC1-2023817-28726,2023-08-17T11:55:31.000Z,25.0,4.0,,NY,,,11205,,90-27 Supthin Blvd,2023-08-21T11:52:10.000Z,,,NY,Mobile display,2023-08-22T00:00:00.000Z
MRI-202322-5384,2023-02-02T17:10:37.000Z,110.05,105.05,NELSON,NY,17000.0,WESTCHESTER LINE/US9,10034,,,2023-02-06T11:49:24.000Z,17000.0,7.02,NY,LIGHT PATH CAR kawasaki pa5,2023-02-08T00:00:00.000Z
HAR-2023929-32406,2023-09-29T08:08:48.000Z,70.06,55.0,TRANSCRAFT,NY,,GEORGE WASHINGTON BRIDGE I95,11111,,47TH ST & MADISON AVE,2023-10-02T11:54:19.000Z,,,NY,STEEL FRAME,2023-10-04T00:00:00.000Z
BAR-20211213-39076,2021-12-13T18:22:42.000Z,72.06,17.0,XL,NY,,NJ LINE @ I278/GOETHALS,11111,,87 RIVER ST,2021-12-15T13:10:45.000Z,,,NY,YORK AIR HANDLER   MODEL 141,2021-12-16T00:00:00.000Z
Lindsay-2021727-21266,2021-07-27T09:56:37.000Z,61.04,48.0,Great Dane,NY,,,11222,,2323 Haviland Ave,2021-07-27T11:50:37.000Z,,,NY,H/Mu trailer 6-Station,2021-07-29T00:00:00.000Z
Wik-2021129-38489,2021-12-09T06:41:22.000Z,56.0,53.0,Great Dane,NY,,,11211,,46 West 116th St,2021-12-10T08:39:59.000Z,,,NY,Honeywagon for Film Production,2021-12-14T00:00:00.000Z
Amb-2023228-9528,2023-02-28T13:33:06.000Z,48.0,40.0,STOU,NY,,,11205,,421 Van Brunt St,2023-02-28T13:56:10.000Z,,,NY,Film Production - Prop with 38' Rain Tower,2023-03-03T00:00:00.000Z
HAR-2022510-17839,2022-05-10T14:23:10.000Z,70.0,50.0,FONTAINE,NY,,,10017,,,2022-05-11T09:28:01.000Z,,,NY,EMPTY TRAILER,2022-05-13T00:00:00.000Z
HAR-2022524-19756,2022-05-24T14:31:25.000Z,79.1,40.0,HOLDEN,NY,19500.0,GEORGE WASHINGTON BRIDGE I95,11111,,47TH ST & MADISON AVE,2022-05-25T10:44:55.000Z,19500.0,5.0,NY,STEEL FRAME,2022-05-27T00:00:00.000Z
Mut-2022927-37679,2022-09-27T13:13:49.000Z,78.04,39.02,Talbert,NY,21000.0,,11111,,448 HAMILTON AVE,2022-09-28T15:49:13.000Z,21000.0,4.06,NY,Cat 349E  Excavator,2022-09-30T00:00:00.000Z
HAR-2023110-1079,2023-01-10T08:44:19.000Z,62.06,48.0,FONTAINE,NY,,,11105,,,2023-01-11T10:05:10.000Z,,,NY,EMPTY TRAILER,2023-01-13T00:00:00.000Z
Aar-20221013-40231,2022-10-13T08:32:37.000Z,58.09,45.0,Playmaker,NY,,,11122,,414 W. 24th St.,2022-10-13T11:25:30.000Z,,,NY,Shorty 40 w #5 Two Room Camper,2022-10-15T00:00:00.000Z
New-20211228-39961,2021-12-28T15:00:59.000Z,49.06,60.0,WILLIAMS SCOTSMAN,NY,,,11111,,,2021-12-29T10:21:58.000Z,,,NY,OFFICE TRAILER MAKE:WILLIAMS SCOTSMAN MODEL: 2017 S/N#: MDS-291374,2022-01-04T00:00:00.000Z
Les-2022930-38345,2022-09-30T12:23:13.000Z,58.07,48.0,FONTAINE,NY,,,10452,,,2022-10-04T14:55:47.000Z,,,NY,EMPTY TRAILER,2022-10-06T00:00:00.000Z
Jac-202323-5602,2023-02-03T14:23:42.000Z,56.1,48.0,GREAT DANE,NY,,,11222,,620 Atlantic Ave,2023-02-06T08:16:11.000Z,,,NY,PROP TRAILER WITH LARGE SINAGE AND GENERATOR,2023-02-09T00:00:00.000Z
New-2022726-28916,2022-07-26T13:31:45.000Z,60.02,40.0,SIMPLEX,NY,,NJ @ GW BRIDGE,11111,,,2022-07-27T11:03:03.000Z,7000.0,3.0,NY,MODULAR HOME SECTION MAKE: SIMPLEX MODEL: CUSTOM S/N: 9708B2,2022-07-29T00:00:00.000Z
Hig-2022311-8801,2022-03-11T16:43:51.000Z,44.05,50.0,MARKLINE INDUSTRIES,NY,,,11220,,,2022-03-14T09:13:21.000Z,,,NY,Aluminum Mobile Office Trailer Markline Industries CA-1050 PA-030268,2022-03-15T00:00:00.000Z
UNT2-2022225-6635,2022-02-25T10:47:22.000Z,54.1,50.05,GREAT DANE,NY,,,11205,,52 Mercer St.,2022-02-25T11:26:04.000Z,,,NY,TRACTOR/CAMERA TRAILER WITH ONBOARD GENERATOR,2022-03-01T00:00:00.000Z
Gho-2022624-24447,2022-06-24T08:52:13.000Z,60.01,53.0,Great Dane,NY,,,11205,,E 54th Street @ 2nd Avenue,2022-06-24T11:28:10.000Z,,,NY,Hair and MakeUp Trailer for film production,2022-06-28T00:00:00.000Z
JAM-20221227-50669,2022-12-27T14:08:50.000Z,58.06,55.0,MANA,NY,,GOTHALS BRIDGE I 278,11111,,,2022-12-28T14:37:06.000Z,,,NY,STEEL BEAMS 14 1-6X1-6X60 SIDE BY SIDE/STACK   NO OVERANG IN FRONT,2023-01-03T00:00:00.000Z
Mut-2023116-35947,2023-11-06T12:01:37.000Z,66.01,31.0,Trailking,NY,,I95 WESTCHESTER  LINE,11111,,,2023-11-09T14:14:32.000Z,,,NY,Cat 320 E Excavator,2023-11-14T00:00:00.000Z
BAR-202246-12613,2022-04-06T16:12:53.000Z,70.02,53.0,PITS,NY,,,11430,,,2022-04-07T11:23:28.000Z,,,NY,EMPTY TRAILER,2022-04-11T00:00:00.000Z
Con3-202271-25449,2022-07-01T16:39:45.000Z,53.06,50.0,GREAT DANE,NY,,,10462,,1854 Fowler Avenue,2022-07-05T09:30:05.000Z,,,NY,UTILITY POLE,2022-07-07T00:00:00.000Z
Mut-20231026-34928,2023-10-26T13:19:47.000Z,67.06,26.05,KALYN,NY,,Outerbridge Crossing 440,22222,,2265 Richmond Terrace,2023-10-27T13:52:57.000Z,15067.0,4.07,NY,CAT 950H Loader,2023-10-30T00:00:00.000Z
Gla-202344-15057,2023-04-04T20:01:53.000Z,68.05,52.06,TALBERT,NY,,,10454,,,2023-04-06T13:38:37.000Z,6700.0,4.07,NY,EMPTY OVERSIZE TRAILER UNSTREACHED,2023-04-07T00:00:00.000Z
SP-2022930-38289,2022-09-30T10:35:13.000Z,55.1,53.0,MILLER,NY,,,11236,,32 Withers ST,2022-09-30T10:40:54.000Z,,,NY,FILM PRODUCTION FX TRAILER,2022-10-04T00:00:00.000Z
Con3-2021827-25433,2021-08-27T08:53:52.000Z,53.06,50.0,GREAT DANE,NY,,,11361,,FARRINGTON ST AND 32 AVE,2021-09-01T11:01:47.000Z,,,NY,UTILITY POLE,2021-09-02T00:00:00.000Z
Hig-2023915-31262,2023-09-15T17:19:03.000Z,56.09,48.0,BUDD,NY,,,11101,,,2023-09-18T10:06:24.000Z,,,NY,EMPTY,2023-09-21T00:00:00.000Z
Mic-2022616-23157,2022-06-16T09:33:30.000Z,53.07,53.0,GREAT DANE,NY,,,11205,,491 1ST AVE,2022-06-16T11:58:11.000Z,,,NY,WARDROBE TRAILER,2022-06-18T00:00:00.000Z
Cit2-2022222-6149,2022-02-22T13:56:38.000Z,62.09,56.0,MSS,NY,6257.0,WestChester County Line-JEROME AVE,11111,,,2022-02-25T11:24:47.000Z,6256.0,2.09,NY,MODULAR HOME: MSS 1554G,2022-03-01T00:00:00.000Z
NJ-202335-10241,2023-03-05T18:55:27.000Z,69.02,29.1,ARMY,NY,,NY NJ LINE @ I278 GOETHALS BRIDGE,11111,,,2023-03-06T11:38:04.000Z,,,NY,PRECAST CONCRETE SLAB MAKE: PRECAST MODEL: CUSTOM,2023-03-08T00:00:00.000Z
THE1-202245-12400,2022-04-05T16:00:48.000Z,48.06,40.0,FONTAINE,NY,,WESTCHESTER LINE I-95,11111,,18-25 212TH ST,2022-04-06T11:44:42.000Z,,,NY,CORE SLAB PRECASTE CONCRETE SECTION,2022-04-08T00:00:00.000Z
BAR-202344-15039,2023-04-04T16:18:40.000Z,70.02,53.0,PITS,NY,,NJ LINE @ I95/GW BRIDGE,11111,,JFK AIRPORT,2023-04-06T11:08:35.000Z,,,NY,EMPTY TRAILER,2023-04-10T00:00:00.000Z
NJ-2023124-38410,2023-12-04T22:37:57.000Z,58.06,48.0,XL SPECIALIZED,NY,,,11102,,,2023-12-08T11:47:57.000Z,,,NY,EMPTY XL SPECIALIZED TRAILER,2023-12-12T00:00:00.000Z
UNT2-2022118-44350,2022-11-08T13:27:12.000Z,51.02,47.03,G-DAN,NY,,,11211,,117 MacDougal Street,2022-11-09T08:49:58.000Z,,,NY,TRACTOR/PROPS TRAILER WITH ONBOARD GENERATOR,2022-11-11T00:00:00.000Z
MRI-20221214-49559,2022-12-14T12:13:51.000Z,110.05,105.05,TALBERT,NY,17000.0,WESTCHESTER LINE/US9,10034,,,2022-12-20T11:32:06.000Z,17000.0,7.02,NY,LIGHT PATH CAR kawasaki pa5,2022-12-22T00:00:00.000Z
HAR-20221216-49969,2022-12-16T14:08:53.000Z,62.06,48.0,FONTAINE,NY,,,11105,,,2022-12-19T09:29:45.000Z,,,NY,EMPTY TRAILER,2022-12-21T00:00:00.000Z
App-202282-29824,2022-08-02T09:55:30.000Z,54.09,42.0,Great Dane,NY,,,10454,,120 Schermerhorn,2022-08-02T15:09:02.000Z,,,NY,Camera Trailer w/ fixed DARK Room,2022-08-04T00:00:00.000Z
Sil1-2023323-13161,2023-03-23T07:36:27.000Z,91.05,62.0,Temisko,NY,16250.0,Goethals Bridge I 278,10303,,81 39th Street,2023-03-27T16:26:43.000Z,15500.0,4.06,NY,R211 Subway Car,2023-03-29T00:00:00.000Z
Jay-2022218-5827,2022-02-18T09:45:06.000Z,40.0,35.0,Great Dane,NY,,,11211,,155 E 44 St.,2022-02-18T11:44:49.000Z,,,NY,Camera Truck with fixed generator,2022-02-23T00:00:00.000Z
HAR-20231012-33565,2023-10-12T10:48:15.000Z,70.06,55.0,KALYN,NY,,GEORGE WASHINGTON BRIDGE I95,11111,,47TH ST & MADISON AVE,2023-10-13T10:26:19.000Z,,,NY,STEEL FRAME,2023-10-17T00:00:00.000Z
Hig-2023929-32495,2023-09-29T17:28:33.000Z,44.05,50.0,MARKLINE INDUSTRIES,NY,,NASSAU 495,11111,,920 E 132ND ST,2023-10-02T11:52:46.000Z,,,NY,Aluminum Mobile Office Trailer Markline Industries CA-1050 E-70726009,2023-10-04T00:00:00.000Z
Lindsay-202289-30854,2022-08-09T13:23:13.000Z,57.0,40.0,Stou,NY,,,11222,,222 Hussan Ave,2022-08-09T15:04:51.000Z,,,NY,Grip Trailer with fixed generator,2022-08-11T00:00:00.000Z
Lea-2022412-13532,2022-04-12T12:09:25.000Z,54.09,45.0,MANAC,NY,,,11354,,66 St Nicholas Ave,2022-04-12T13:28:52.000Z,,,NY,GRIP TRAILER/ with genny,2022-04-14T00:00:00.000Z
Wes-2023915-31257,2023-09-15T17:07:48.000Z,76.11,45.0,LIDDELL,NY,17000.0,GW BRIDGE,10033,,54TH AVE & 44TH ST,2023-09-19T16:01:34.000Z,17000.0,5.0,NY,"CRANE (NO CD NUMBER), GROVE, RT600",2023-09-21T00:00:00.000Z
HAR-2023922-31849,2023-09-22T14:39:44.000Z,65.0,53.0,STRICKLAND,NY,,,11430,,,2023-09-25T11:12:28.000Z,,,NY,EMPTY TRAILER,2023-09-28T00:00:00.000Z
Jay-2021928-29477,2021-09-28T12:12:48.000Z,48.05,44.0,VIKING,NY,,,11249,,2911 Arthur Kill Rd.,2021-09-28T14:04:43.000Z,,,NY,Hair and Makeup Trailer- 2,2021-09-30T00:00:00.000Z
Wes1-2022715-27070,2022-07-15T08:24:18.000Z,61.0,48.0,PRATT,NY,,WESTCHESTER CO LINE  @ I-95,11111,,,2022-07-18T11:43:56.000Z,,,NY,UNIVERSAL FOREST ROOF TRUSSES (197PC BUNDLED/STACKED),2022-07-20T00:00:00.000Z
HAR-202358-19554,2023-05-08T08:43:25.000Z,70.02,55.0,TRAILMOBILE,NY,,GEORGE WASHINGTON BRIDGE,11111,,47TH ST & MADISON AVE,2023-05-09T11:32:59.000Z,,,NY,STEEL FRAME,2023-05-11T00:00:00.000Z
HAR-2023511-20026,2023-05-11T08:33:09.000Z,63.06,48.0,XL,NY,,,10017,,,2023-05-12T10:12:49.000Z,,,NY,EMPTY TRAILER,2023-05-16T00:00:00.000Z
NJ-20211015-31705,2021-10-15T17:08:49.000Z,58.11,48.0,GREAT DANE,NY,,,11231,,,2021-10-18T14:20:15.000Z,,,NY,EMPTY TRAILER,2021-10-19T00:00:00.000Z
THE1-2023420-17435,2023-04-20T16:55:36.000Z,55.02,40.0,TRANSCRAFT,NY,,,10455,,,2023-04-21T10:37:46.000Z,,,NY,EMPTY TRAILER W/ TRAILER STACKED ( APP# 17424 ),2023-04-25T00:00:00.000Z
Mut-2022211-4852,2022-02-11T13:47:32.000Z,60.06,55.0,Fontaine,NY,,,10307,,,2022-02-14T09:28:14.000Z,,,NY,Empty trailer,2022-02-15T00:00:00.000Z
Les-2023130-4438,2023-01-30T09:44:40.000Z,58.07,48.0,Fontaine,NY,,,10001,,,2023-01-31T11:01:40.000Z,,,NY,EMPTY TRAILER,2023-02-02T00:00:00.000Z
Joe1-2023316-12111,2023-03-16T08:54:41.000Z,58.01,47.09,VIKING,NY,,,11249,,550 WEST 155TH STREET,2023-03-20T10:02:20.000Z,,,NY,FILM INDUSTRY 7 STATION HAIR MAKEUP,2023-03-22T00:00:00.000Z
Ant1-202222-3623,2022-02-02T10:07:24.000Z,54.06,46.08,Great Dane,NY,,,11211,,44 Eagle Street,2022-02-02T11:45:22.000Z,,,NY,Tractor/CameraTrailer w/onboard Generator,2022-02-04T00:00:00.000Z
REL-202278-26086,2022-07-08T11:15:47.000Z,70.0,53.0,MAC,NY,,,10314,,,2022-07-11T11:57:05.000Z,,,NY,EMPTY UNLADEN TRAILER,2022-07-13T00:00:00.000Z
Hig-20221222-50576,2022-12-22T18:24:13.000Z,44.05,40.0,MARKLINE,NY,,nassau 495,11111,,JFK @ 678,2022-12-23T10:45:55.000Z,,,NY,Aluminum Mobile Office Trailer Markline Industries CA-1040 E-60124487,2022-12-27T00:00:00.000Z
bob-2021831-25926,2021-08-31T12:02:08.000Z,48.06,45.0,Great Dane,NY,,,11205,,2100 49th Ave,2021-08-31T13:41:11.000Z,,,NY,DARK ROOM,2021-09-02T00:00:00.000Z
New-20231010-33364,2023-10-10T10:21:57.000Z,53.06,45.0,TRIM,NY,,NYC/NASSAU LINE @ I-495,11111,,,2023-10-12T13:52:36.000Z,,,NY,PRE FABRICATED PANEL MAKE:ISLAND MODEL:LOAD P117,2023-10-16T00:00:00.000Z
Wes-20221213-49408,2022-12-13T14:17:32.000Z,70.06,53.0,FRUEHAUF,NY,,WESTCHESTER LINE @ I-95,10407,,64 20th Street,2022-12-14T14:40:28.000Z,,,NY,"PRECAST CONCRETE WALL, blakeslee, NA",2022-12-16T00:00:00.000Z
NJ-20211018-31987,2021-10-18T21:00:26.000Z,61.07,15.0,GREAT DANE,NY,,NY/NJ LINE I278 @ GOETHALS BRIDGE NY,11111,,595 SMITH ST,2021-10-19T12:07:31.000Z,,,NY,PRECAST CONCRETE SLAB,2021-10-20T00:00:00.000Z
Sta-202373-24921,2023-07-03T16:37:20.000Z,66.06,47.1,TRAILKING,NY,,NJ LINE/GW BRIDGE/I95,11111,,38-54 VERNON BLVD,2023-07-06T08:53:26.000Z,,,NY,JLG 1850SJ BOOM LIFT  S/N: 248251,2023-07-07T00:00:00.000Z
Jos1-2022219-5957,2022-02-19T11:06:19.000Z,67.05,53.0,POR,NY,,,11206,,2911 AUTHER KILL RD,2022-02-28T11:35:05.000Z,,,NY,3 ROOM POP OUT FOR PRINCIPLE ACTORS #1,2022-03-02T00:00:00.000Z
New-2022913-35528,2022-09-13T15:03:39.000Z,56.05,48.0,FONTAINE,NY,,,11111,,,2022-09-15T11:35:08.000Z,,,NY,EMPTY,2022-09-17T00:00:00.000Z
T-C-20221026-42486,2022-10-26T19:26:49.000Z,61.0,28.0,DOONAN,NY,,I-495(W)/LONG ISLAND EXPY/QUEENS,11362,,,2022-11-01T14:16:39.000Z,,,NY,EMPTY RETURN PERMIT,2022-11-03T00:00:00.000Z
Ran-20221020-41528,2022-10-20T11:06:50.000Z,58.05,53.0,GREAT DANE,NY,,,11385,,42-82 56th Rd,2022-10-20T13:18:32.000Z,,,NY,WARDROBE,2022-10-22T00:00:00.000Z
DIS-202281-29667,2022-08-01T12:05:38.000Z,57.0,40.03,peterbulit,NY,,,11354,,1161 amsterdam ave,2022-08-01T14:53:01.000Z,,,NY,hair and makeup 2 trailer,2022-08-03T00:00:00.000Z
HAR-202284-30160,2022-08-04T07:52:07.000Z,70.06,55.0,FONTAINE,NY,,GEORGE WASHINGTON BRIDGE I95,11111,,47TH ST & MADISON AVE,2022-08-05T10:03:47.000Z,,,NY,STEEL FRAME,2022-08-09T00:00:00.000Z
Wik-20231215-39916,2023-12-15T12:12:13.000Z,54.03,40.0,Hyundai,NY,,Interstate 87 @ Jerome Ave,10471,,626 11th Ave,2023-12-18T09:11:20.000Z,,,NY,Electric Equipment for Film Production With Fixed Generator,2023-12-20T00:00:00.000Z
All1-2022315-9028,2022-03-15T10:32:59.000Z,28.06,42.08,,NY,,,10019,,,2022-03-17T11:07:08.000Z,,,NY,TV Production- Mobile Control Room,2022-03-23T00:00:00.000Z
Mut-2022621-23870,2022-06-21T12:45:30.000Z,53.06,38.0,Ladura,NY,,I95 West Chester Line,11111,,,2022-06-22T13:53:25.000Z,,,NY,Wajer 38 Boat,2022-06-24T00:00:00.000Z
Sho-2022713-26751,2022-07-13T11:42:06.000Z,59.0,51.0,GREAT DANE,NY,,,11205,,318 GRAND ST,2022-07-13T13:49:11.000Z,,,NY,WARDROBE,2022-07-15T00:00:00.000Z
HAR-202359-19709,2023-05-09T08:09:26.000Z,70.06,55.0,TRANSCRAFT,NY,,GEORGE WASHINGTON BRIDGE I95,11111,,47TH ST & MADISON AVE,2023-05-10T13:30:37.000Z,,,NY,STEEL FRAME,2023-05-12T00:00:00.000Z
D.-2022621-23937,2022-06-21T22:51:33.000Z,76.0,25.0,Fontaine,NY,,George Washington Bridge,10032,,,2022-06-22T14:19:05.000Z,,,NY,Cat 966M Wheel Loader,2022-06-24T00:00:00.000Z
Hig-2021921-28362,2021-09-21T13:14:45.000Z,44.05,50.0,C & B Custom Modular,NY,,nassau 495,11111,,roosevelt ave & 126th st,2021-09-21T16:14:00.000Z,,,NY,Aluminum Mobile Office Trailer C & B Custom Modular CA-1050 18-20500,2021-09-22T00:00:00.000Z
THE1-2023214-7409,2023-02-14T13:14:32.000Z,55.02,40.0,MANAC,NY,,,10455,,,2023-02-15T11:40:09.000Z,,,NY,EMPTY TRAILER W/ TRAILER STACKED ( APP# 7403 ),2023-02-17T00:00:00.000Z
New-2023420-17378,2023-04-20T13:53:52.000Z,80.01,70.0,ICON,NY,5500.0,NJ @ GWB,11111,2.09,,2023-04-24T13:19:33.000Z,5500.0,2.09,NY,MODULAR HOME MAKE:APEX MODEL: 3420E,2023-04-26T00:00:00.000Z
Ran-2022819-32246,2022-08-19T10:45:43.000Z,58.05,69.0,HYUNDAI,NY,,,11378,,15-41 Covert St,2022-08-19T13:41:08.000Z,,,NY,ELECTRIC GEN TRAILER,2022-08-23T00:00:00.000Z
New-2022310-8517,2022-03-10T09:36:09.000Z,61.06,62.0,CUSTOM,NY,4132.0,NJ @ GWB,11111,,,2022-03-16T13:51:26.000Z,4132.0,3.0,NY,MODULAR HOME SECTION MAKE: MOD CARRIER MODEL: 6209A,2022-03-18T00:00:00.000Z
Twe1-2023125-3833,2023-01-25T20:13:39.000Z,45.0,50.0,Forest River,NY,,,11205,,233 Madison Ave,2023-01-26T10:19:20.000Z,,,NY,Pick-up truck with gas pumps built in towing 2 room camper,2023-01-28T00:00:00.000Z
Blu-2023130-4544,2023-01-30T13:38:23.000Z,54.0,53.0,GREAT DANE,NY,,,11101,,4610 Center Blvd,2023-01-31T14:59:24.000Z,,,NY,FILM INDUSTRY - HMU TRUCK FOR ACTORS & BACKGROUND,2023-02-02T00:00:00.000Z
Wes1-2022916-36025,2022-09-16T10:13:01.000Z,82.07,50.0,MAN,NY,,NJ @ GOETHALS,11111,,1530 BROADWAY,2022-09-19T15:36:15.000Z,,,NY,DAKTRONICS TRON LED SCREEN - 1PC,2022-09-21T00:00:00.000Z
HAR-2023815-28490,2023-08-15T13:44:34.000Z,68.0,40.0,TRAIL KING,NY,14850.0,GEORGE WASHINGTON BRIDGE,11111,,47TH ST & MADISON AVE,2023-08-16T15:26:04.000Z,14850.0,4.06,NY,STEEL FRAME,2023-08-18T00:00:00.000Z
Wik-20231130-38002,2023-11-30T13:23:04.000Z,40.0,40.0,Fruehauf,NY,,Interstate 87 @ Jerome Ave,10471,,319 West 19th St,2023-11-30T14:00:19.000Z,,,NY,Production Special Effects/with genny,2023-12-05T00:00:00.000Z
Hig-2023428-18631,2023-04-28T12:24:45.000Z,69.04,55.0,TALBERT,NY,,,11101,,,2023-05-01T10:17:47.000Z,,,NY,EMPTY,2023-05-03T00:00:00.000Z
HAR-2022210-4594,2022-02-10T09:18:24.000Z,70.0,50.0,HOMEMADE,NY,,,10017,,,2022-02-11T09:35:21.000Z,,,NY,EMPTY TRAILER,2022-02-15T00:00:00.000Z
Mut-202267-21579,2022-06-07T08:46:13.000Z,73.08,39.04,Talbert,NY,20000.0,GWB  I95,11111,,,2022-06-08T14:30:10.000Z,20000.0,4.06,NY,Komatsu PC490LC-10 Excavator,2022-06-10T00:00:00.000Z
Jac-2022517-18838,2022-05-17T15:04:44.000Z,60.1,53.0,GREAT DANE,NY,,,11205,,865 5th Ave.,2022-05-18T14:45:23.000Z,,,NY,FILM INDUSTRY HAIR AND MAKEUP TRAILER,2022-05-21T00:00:00.000Z
NJ-2023821-29072,2023-08-21T21:27:12.000Z,68.08,33.01,DORSEY,NY,,NY NJ LINE @ I278 GOETHALS BRIDGE,11111,,28-10 WHITESTONE EXPY,2023-08-22T11:41:35.000Z,,,NY,PRECAST CONCRETE SLAB MAKE: PRECAST MODEL: CUSTOM,2023-08-24T00:00:00.000Z
