dbn,phone_number,requirement_2_3,offer_rate4_4,specialized,grade9geapplicants1,grade9gefilledflag2,requirement_2_5,admissionspriority36,seats104,eligibility8,interest10,seats9ge3,grade9geapplicantsperseat1,offer_rate1_2,method7,city,grade9gefilledflag9,grade9swdapplicants3,requirement_2_8,seats5specialized,offer_rate1_1,grade9swdapplicantsperseat3,grade9geapplicantsperseat12,seats102,grade9geapplicantsperseat3,borocode,seats9swd9,program3,seats9swd10,offer_rate1_6,program2,grade9swdapplicants11,requirement_1_1,seats9ge12,requirement_2_4,prgdesc6,admissionspriority38,method8,shared_space,language_classes,interest9,grade9geapplicants11,offer_rate2_5,admissionspriority33,seats3specialized,requirement_1_9,grade9swdfilledflag7,code11,applicants5specialized,applicants4specialized,seats9ge7,bin,seats1012,seats1011,building_code,program9,offer_rate2_8,admissionspriority28,admissionspriority25,admissionspriority21,offer_rate2_3,grade9geapplicantsperseat6,method10,admissionspriority37,graduation_rate,seats103,grade9swdapplicants6,appperseat1specialized,website,grade9swdapplicantsperseat9,diversity_in_admissions,academicopportunities3,nta,applicants3specialized,admissionspriority34,requirement_1_6,program6,neighborhood,program12
02M047,917-326-6668,,,,318,,,,,,,,6,,,Manhattan,,,,,2% of offers went to this group,,,,,M,,,,,,,2018-19 ELA/Math State Test Scores - 45%,,,,,,Yes,American Sign Language,,,,,,,,,,,,1019775,,,M047,,,,,Then to New York City residents who know or are interested in learning American Sign Language,,,,,0.93000001,,,,47aslhs.net,,,"College Board Advanced Placement (AP) classes: Biology, Language and Composition, Literature and Composition",Gramercy,,,,,Gramercy,
02M437,212-488-3330,,,,305,,,,,,,,3,,,Manhattan,,,,,52% of offers went to this group,,,,,M,,,,,Hudson High School of Learning Technologies D75 Inclusion Program,,,,,,,,Yes,Spanish,,,,,,,,,,,,1013096,,,M440,,,,,Then to New York City residents,,,,,0.81,,,,www.hudsonhs.com,,,Advisory and Right to Read (R2R)-our literacy support program.,Hudson Yards-Chelsea-Flatiron-Union Square,,,,,Chelsea-Union Sq,
32K554,718-246-6500,,,,1215,,,,,,,,23,,,Brooklyn,,,,,85% of offers went to this group,,,,,K,,,,,,,,,,,,,,Spanish,,,,,,,,,,,,3413715,,,K554,,,,,"Then to Districts 24, 30, and 32 students or residents",,,,,0.98000002,,,,https://www.schools.nyc.gov/schools/K554,,,"College counseling begins in ninth grade and focuses on finding ""best fit"" colleges and post-secondary opportunities for all students.",Bushwick North,,,,,Bushwick,
07X600,718-993-5000,2018-19 Final Grades - 40%,,,343,N,,,,,,22,4,,,Bronx,,139,,,,23,,0.0,16,X,,Graphic Arts,,,Bilingual Spanish NATEF Automotive Technology,,,,,,,,Yes,Spanish,,,,,,,,,,,,2001874,,,X600,,,,,,,,,,0.88,0.0,,,www.aesmithhs.org,,,"CTE program(s): Auto body - Collision Repair (NYSED-Approved), Automotive Technician (NYSED-Approved), Graphic Design (NYSED-Approved)",Melrose South-Mott Haven North,,,,,Melrose S.-Mott Haven N.,
03M859,212-501-3318,,,,314,,,,,,,,10,,,Manhattan,,,,,22% of offers went to this group,,,,,M,,,,,,,,,,,,,Yes,Spanish,,,,,,,,,,,,1030343,,,M932,,,,,Then to New York City residents,,,,,0.94999999,,,,www.kaufmanmusiccenter.org/sms/,,,"Student-centered learning environment develops graduates with the skills of research, academic collaboration, and critical and creative thought.",Lincoln Square,,,,,Lincoln Square,
24Q560,718-472-5671,,,,1619,,,,,,,,16,,,Long Island City,,,,,11% of offers went to this group,,,,,Q,,,,,,,,,,,,,,Spanish,,,,,,,,,,,,4003540,,,Q891,,,,,"Then to Districts 24, 30, and 32 students or residents",,,,,0.99000001,,,,www.rfwagner.org,,,Year-long CORE courses for ninth graders; Student Government Association,Hunters Point-Sunnyside-West Maspeth,,,,,Hunters Point-Sunnyside,
10X213,718-563-6678,,,,650,,,,,,,,8,,,Bronx,,,,,92% of offers went to this group,,,,,X,,,,,,,,,,,,,Yes,Spanish,,,,,,,,,,,,1064532,,,X475,,,,,Then to New York City residents,,,,,0.72000003,,,,www.betahighschool.org,,,"College Readiness & Preparation expected: 75 on English Regents, 70 on Math Regents. All students participate in the College Access Advisory Program.",Marble Hill-Inwood,,,,,Spuyten Duyvil-Kingsbridge,
05M148,212-694-6051,,,,158,,,,,,,,2,,,Manhattan,,,,,12% of offers went to this group,,,,,M,,,,,,,,,,,,,Yes,Spanish,,,,,,,,,,,,1059460,,,M136,,,,,Then to Manhattan students or residents,,,,,,,,,eagleharlem.org,,,College and career counseling starting in ninth grade; Internships; College-level and Advanced Placement courses will be offered in upper grades.,Central Harlem North-Polo Grounds,,,,,Central Harlem North,
18K629,718-968-6630,,,,264,N,,,,,,,4,100% of offers went to this group,,Brooklyn,,,,,82% of offers went to this group,,,0.0,,K,,,,,Cultural Academy College Prep,,,,,,,,Yes,"French, Spanish",,,,,,,,,,,,3104598,,,K415,,,,,Then to New York City residents,,,,,0.70999998,,,,brooklyncaas.com,,,"Restorative Circles through Center for Court Innovation partnership, Advisory, Interborough Developmental and Consultation Center School Based Program",Rugby-Remsen Village,,,,,East Flatbush,
09X403,718-620-1053,,,,347,,,,,,,,4,,,Bronx,,,,,,,,,,X,,,,,,,,,,,,,Yes,"Arabic, French, Spanish",,,,,,,,,,,,2004526,,,X400,,,,,,,,,,0.75999999,,,,www.bronxinternationalhs.com,,,"Language Development in all subject classes, College Trips, College Prep Counseling, Small Group Advisories, Wireless Computer Network",Morrisania-Melrose,,,,,Morrisania-Melrose,
07X548,718-292-7110,,,,678,,,,,,,,7,,,Bronx,,,,,93% of offers went to this group,,,,,X,,,,,,,,,,,,,Yes,Spanish,,,,,,,,,,,,2103486,,,X790,,,,,Then to New York City residents,,,,,0.61000001,,,,www.cishs.org,,,Honors classes,East Concourse-Concourse Village,,,,,E. Concourse-Concourse Village,
03M402,212-787-1189,,,,359,,,,,,,,4,,,Manhattan,,,,,71% of offers went to this group,,,,,M,,,,,,,,,,,,,Yes,Latin,,,,,,,,,,,,1032128,,,M470,,,,,Then to New York City residents,,,,,0.76999998,,,,www.uagreencareers.org,,,Learning Cultures Curriculum- progressive pedagogical model emphasizing student agency and intention,Upper West Side,,,,,Upper West Side,
11X542,718-944-3601,,,,2937,,,,,,,,32,,,Bronx,,,,,100% of offers went to this group,,,,,X,,,,,,,,,,,,,Yes,Spanish,,,,,,,,,,,,2050179,,,X415,,,,,Then to New York City residents,,,,,0.86000001,,,,www.pelhamprepacademy.org,,,College for Every Student (CFES) Brilliant Pathways service learning programs including peer mentoring and leadership development,Bronxdale,,,,,Bronxdale,
06M211,212-567-1394,,,,1301,,,,,,,,20,,,Manhattan,,,,,100% of offers went to this group,,,,,M,,,,,,,,,,,,,Yes,"French, Spanish",,,,,,,,,,,,1076776,,,M052,,,,,Then to New York City residents,,,,,0.70999998,,,,www.inwoodEC.org,,,"Advisory, Student-Led Town Halls, Lunch time Talent Showcase, Mentoring, Paid Internships, Individualized Academic Planning, Overnight College Trips, Financial Aid Planning, and Career Counseling",Marble Hill-Inwood,,,,,Inwood,
28Q167,718-286-3500,,,,1604,,,,,,,,16,,,Forest Hills,,,,,79% of offers went to this group,,,,,Q,,,,,,,,,,,,,Yes,"French, Spanish",,,,,,,,,,,,4447233,,,Q686,,,,,Then to Queens students or residents,,,,,0.94999999,,,,metropolitanels.com,,,Fieldwork _students take part in experiences outside the school building that are connected to their classroom learning.,Forest Hills,,,,,Forest Hills,
18K576,718-968-1530,,,,240,,,,,,,,2,,,Brooklyn,,,,,,,,,,K,,,,,,,,,,,,,Yes,Spanish,,,,,,,,,,,,3224139,,,K515,,,,,,,,,,0.79000002,,,,www.victorycollegiate.org,,,"Advisory, Advancement via Individual Determination (AVID), SAT Prep, Regents Test Prep, Urban Arts",Canarsie,,,,,Canarsie,
02M298,212-334-4663,,,,2664,,,,,,,,23,,,Manhattan,,,,,,,,,,M,,,,,,,,,,,,,Yes,Spanish,,,,,,,,,,,,1082489,,,M131,,,,,,,,,,0.85000002,,,,www.pacehsnyc.org,,,Students can become eligible to take Pace University courses starting in 11th grade,Chinatown,,,,,Chinatown,
06M467,212-342-6130,,,,422,N,,,,,,,4,33% of offers went to this group,,Manhattan,,,,,18% of offers went to this group,,,0.0,,M,,High School for Law and Public Service ACES 15:1 Program,,,Spanish Transitional Bilingual,,,,,,,,Yes,Spanish,,,,,,,,,,,,1076751,,,M465,,,,,Then to Manhattan students or residents,,,,,0.55000001,,,,www.myhslps.org,,,College Awareness and Planning Resume Writing,Washington Heights North,,,,,Washington Heights N.,
01M696,212-995-8479,,,,3700,,,,,,,,29,,,Manhattan,,,,,,,,,,M,,,,,,,2019-20 Marking Period Grades - 10%,,,,,,,"Greek, Japanese, Latin, Mandarin, Spanish",,,,,,,,,,,,1004062,,,M097,,,,,,,,,,0.99000001,,,,https://bhsec.bard.edu/manhattan/,,1.0,Students must complete 60 college credits to receive the Bard College AA degree.,Lower East Side,,,,,Lower East Side,
09X324,718-681-8287,,,,519,,,,,,,,8,,,Bronx,,,,,29% of offers went to this group,,,,,X,,,,,,,2018-19 ELA/Math State Test Scores - 20%,,,,,,Yes,Spanish,,,,,,,,,,,,2002497,,,X166,,,,,Then to New York City residents,,,,,1.0,,,,https://www.schools.nyc.gov/schools/X324,,,Beauty and Joy of Computing Program,East Concourse-Concourse Village,,,,,E. Concourse-Concourse Village,
19K404,718-688-7230,,,,609,,,,,,,,8,,,Brooklyn,,,,,14% of offers went to this group,,,,,K,,,,,,,,,,,,,Yes,Spanish,,,,,,,,,,,,3413878,,,K422,,,,,Then to New York City residents,,,,,0.92000002,,,,afyw.org,,,"Restorative Justice: Advisory focused on community building, peer mediation, senior buddies, RJ ambassadors, student leadership",East New York,,,,,East New York,
31R605,718-667-3222,,,1.0,,,,,,,,,,,,Staten Island,,,,,,,,,,R,,,,,,,,,,,,,,Russian,,,,,,,,,,,,5107621,,,R440,,,,,,,,,,1.0,,,48.0,siths.org,,,"Career Development Center (Work Based Learning Opportunities-Career Talks, Job Shadowing, Internships)",New Dorp-Midland Beach,,,,,New Dorp,
29Q259,718-454-4957,,,,229,,,,,,,,3,,,Saint Albans,,,,,57% of offers went to this group,,,,,Q,,,,,,,,,,,,,Yes,Spanish,,,,,,,,,,,,4234318,,,Q192,,,,,Then to Queens students or residents,,,,,0.83999997,,,,pathwaysprep.org,,,"Performing Arts: Choir, Dance, Drumline, Cheer, Step Team",Hollis,,,,,Hollis,
02M280,212-225-0880,,,,1088,,,,,,,,12,,,Manhattan,,,,,86% of offers went to this group,,,,,M,,,,,,,,,,,,,Yes,"Italian, Spanish",,,,,,,,,,,,1001388,,,M520,,,,,Then to New York City residents,,,,,0.95999998,,,,meca-nyc.org,,,Small advisory groups led by faculty mentors and professional mentor program.,Chinatown,,,,,Chinatown,
02M600,212-255-1235,,,,956,Y,,,,,,71,6,,,Manhattan,,62,,,,3,,1.0,6,M,,Business Marketing and Visual Merchandising,,,Fashion Design and Accessories,,,,,,,,,Spanish,,,,,,,,,,,,1014174,,,M600,,,,,,,,,,0.88999999,1.0,,,hsfi.nyc,,,"HSFI partners with the Yale University Center for Emotional Intelligence to develop students' social emotional skills to handle teenage stress. HSFI also partners with Harvard University to promote diversity, equity, and true integration within our school community.",Hudson Yards-Chelsea-Flatiron-Union Square,,,,,Chelsea-Union Sq,
02M531,212-382-1875,,,,377,,,,,,,,8,,,Manhattan,,,,,,,,,,M,,,,,,,,,,,,,,Spanish,,,,,,,,,,,,1022615,,,M896,,,,,,,,,,1.0,,,,www.repertorycompanyhs.org,,1.0,Roundabout Theatre Company Partner School,Midtown-Midtown South,,,,,Midtown,
19K618,718-827-2469,,,,824,,,,,,,,9,,,Brooklyn,,,,,,,,,,K,,,,,,,,,,,,,Yes,Spanish,,,,,,,,,,,,3090738,,,K420,,,,,,,,,,0.94999999,,,,www.aoiths.org,,,"Internships: Students complete a semester long job readiness program culminating with job placements across the greater NYC area (during both summer and after-school)- internship opportunities include the following: Google, JP Morgan, Accenture, Bank of America, Studio NYC, ITC Computers, Amazon & much more!",park-cemetery-etc-Brooklyn,,,,,Cypress Hills,
30Q575,718-361-8786,,,,2038,Y,,,,,,,12,100% of offers went to this group,,Long Island City,,,,,100% of offers went to this group,,,1.0,,Q,,,,,Intensive Academic Humanities,,,,,,,,Yes,"French, Spanish",,,,,,,,,,,,4005026,,,Q451,,,,,Then to New York City residents,,,,,0.97000003,,,,www.academyofamericanstudies.com,,,"Ten CUNY College Now classes, ten AP classes, College Advantage (St. John's University); many college credits can be gained onsite!",Queensbridge-Ravenswood-Long Island City,,,,,Queensbridge-LIC,
07X500,718-402-5640,,,,1329,,,,,,,,21,,,Bronx,,,,,37% of offers went to this group,,,,,X,,,,,,,2018-19 ELA/Math State Test Scores - 30%,,,,,,Yes,Spanish,,,,,,,,,,,,2004314,,,X162,,,,,Then to New York City residents,,,,,0.88,,,,www.hostoslincoln.org,,,,Melrose South-Mott Haven North,,,,,Melrose S.-Mott Haven N.,
14K614,718-387-5641,,,,289,,,,,,,,4,,,Brooklyn,,,,,18% of offers went to this group,,,,,K,,,,,,,2018-19 ELA/Math State Test Scores - 10%,,,,,,Yes,Spanish,,,,,,,,,,,,3071418,,,K147,,,,,Then to Brooklyn students or residents,,,,,0.97000003,,,,https://www.tywlsbrooklyn.org/,,,"Ongoing college advising, grades 9-12, multiple trips to NYC colleges & out-of-state universities",Bushwick South,,,,,Bushwick,
11X299,718-944-3418,,,,888,,,,,,,,10,,,Bronx,,,,,100% of offers went to this group,,,,,X,,,,,,,,,,,,,Yes,"Italian, Spanish",,,,,,,,,,,,2050179,,,X415,,,,,Then to New York City residents,,,,,0.72000003,,,,www.astorcollegiate.org,,,Students may be programmed into Advanced Placement (AP) and College Now classes beginning their sophomore year.,Bronxdale,,,,,Bronxdale,
02M425,212-346-0007,,,,185,N,,,,,,,1,,,Manhattan,,,,,,,,1.0,,M,,,,,Business and Entrepreneurship,,,,,,,,,Spanish,,,,,,,,,,,,1001035,,,M894,,,,,,,,,,0.88999999,,,,leadershipnyc.org,,,Syracuse University Project Advance: College classes from Syracuse University offered on site,Battery Park City-Lower Manhattan,,,,,Lower Manhattan,
29Q326,718-736-7320,,,,563,,,,,,,,8,,,Hollis,,,,,99% of offers went to this group,,,,,Q,,,,,,,,,,,,,,Spanish,,,,,,,,,,,,4222072,,,Q799,,,,,Then to New York City residents,,,,,0.94,,,,nycacademy.org,,,"Software Engineering Program (SEP), Robotics, Graphic Design, Digital Textiles, Junior/Senior Internships, CUNY College Now, and AP classes",Jamaica,,,,,Jamaica,
02M282,212-225-0890,,,,909,,,,,,,,9,,,Manhattan,,,,,,,,,,M,,,,,,,,,,,,,Yes,Spanish,,,,,,,,,,,,1001388,,,M520,,,,,,,,,,0.89999998,,,,https://www.uamaker.nyc/,,1.0,"Field trips to colleges and worksites, and other work-based learning opportunities.",Chinatown,,,,,Chinatown,
17K646,718-773-7765,,,,,,,,,,,,,,,Brooklyn,,,,,,,,,,K,,,,,,,,,,,,,Yes,Spanish,,,,,,,,,,,,3032886,,,K824,,,,,,,,,,,,,,www.aspirations-the-dream.com,,,College Now through Medgar Evers College,Crown Heights South,,,,,Crown Heights South,
02M411,212-683-7440,,,,5611,,,,,,,,64,,,Manhattan,,,,,98% of offers went to this group,,,,,M,,,,,,,2018-19 Final Grades - 50%,,,,,,,Spanish,,,,,,,,,,,,1016745,,,M874,,,,,Then to Manhattan students or residents,,,,,1.0,,,,www.bcchsnyc.net,,1.0,"Four-year course of study in science, math, English, and history; three years of Spanish; all of our classes are taught at the Honors level.",Hudson Yards-Chelsea-Flatiron-Union Square,,,,,Chelsea-Union Sq,
09X260,718-992-7089,,,,3503,,,,,,,,41,,,Bronx,,,,,100% of offers went to this group,,,,,X,,,,,,,,,,,,,Yes,Spanish,,,,,,,,,,,,2009617,,,X002,,,,,Then to New York City residents,,,,,0.89999998,,,,https://bronxcenter.nyc/,,,Summer enrichment at universities and colleges,Claremont-Bathgate,,,,,Claremont-Bathgate,
03M417,212-362-2015,,,,1618,,,,,,,,19,,,Manhattan,,,,,,,,,,M,,,,,,,2018-19 Final Grades - 10%,,,,,,Yes,Spanish,,,,,,,,,,,,1032128,,,M470,,,,,,,,,,0.97000003,,,,www.fmhsnyc.org,,1.0,College Now on site and at college campuses,Upper West Side,,,,,Upper West Side,
18K563,718-629-2307,,,,260,N,,,,,,22,3,,,Brooklyn,,57,,,,11,,1.0,14,K,,Medical Professions & Science Academy,,,Engineering Academy,,,,,,,,Yes,"French, Spanish",,,,,,,,,,,,3104598,,,K415,,,,,,,,,,0.87,1.0,,,https://www.schools.nyc.gov/schools/K563,,,"College Credits at ITAVA: Medgar Evers College, Long Island University (LIU), Monroe College, Berkeley College, City Tech, Kingsborough Community College",Rugby-Remsen Village,,,,,East Flatbush,
27Q475,718-846-3335,,,,383,Y,,,,,,N/A - zoned program,4,95% of offers went to this group,,Richmond Hill,,N/A - zoned program,,,90% of offers went to this group,N/A - zoned program,,0.0,N/A - zoned program,Q,,Zoned,,,Criminalistics and Forensics Institute (CFI),,,,,,,,Yes,Spanish,,,,,,,,,,,,4195688,,,Q475,,,,,Then to New York City residents,,,,,0.68000001,1.0,,,http://www.richmondhillhs.org/,,,"Health Sciences Academy prepares students for success in the fast-growing health industry, with courses in anatomy, physiology, and biotechnology.",Richmond Hill,,,,,Richmond Hill,
02M288,212-586-2943,,,,1203,,,,,,,,14,,,Manhattan,,,,,,,,,,M,,,,,,,,,,,,,Yes,French,,,,,,,,,,,,1083802,,,M535,,,,,,,,,,0.85000002,,,,https://www.foodfinancehs.org,,,PSAT/SAT,Clinton,,,,,Clinton,
23K644,718-495-0863,,,,307,,,,,,,,4,,,Brooklyn,,,,,44% of offers went to this group,,,,,K,,,,,,,,,,,,,Yes,Spanish,,,,,,,,,,,,3042157,,,K271,,,,,Then to Brooklyn students or residents,,,,,0.88,,,,eagleacademybk.org,,,"Other electives: Barbering, Culinary Arts, Entrepreneurship, Personal Finance, Computer Science, Career Exploration, SAT Prep",Ocean Hill,,,,,Ocean Hill,
22K405,718-724-8500,2018-19 Final Grades - 40%,,,494,Y,,,0.0,,,338,2,,,Brooklyn,,424,,,,6,,1.0,19,K,,Medical Science Institute,,,Humanities Institute,,,,,,,,,"French, Mandarin, Spanish",,,,,,,,,,,,3205788,,,K405,,,,,,,,,,0.94,1.0,,,www.midwoodhighschool.org,,1.0,"Instrumental and Vocal Music, CUNY College Now, Advanced Placement (AP) Capstone Certificate and Diploma, 21 Advanced placement courses offered.",Flatbush,,,,,Flatbush,
11X290,718-696-3340,,,,683,,,,,,,,8,,,Bronx,,,,,95% of offers went to this group,,,,,X,,,,,,,,,,,,,Yes,Spanish,,,,,,,,,,,,2057045,,,X425,,,,,Then to New York City residents,,,,,0.85000002,,,,www.bxahc.org,,,"School activities: Career Day, College Fairs, Parent Summit, College Workshops, FAFSA Night, Overnight SUNY/Private College trips, PSAL, and the Beacon Program",Williamsbridge-Olinville,,,,,Williamsbridge-Olinville,
08X559,718-401-4214,,,,115,,,,,,,,1,,,Bronx,,,,,100% of offers went to this group,,,,,X,,,,,,,,,,,,,Yes,American Sign Language,,,,,,,,,,,,2004807,,,X650,,,,,Then to New York City residents,,,,,0.38999999,,,,https://www.schools.nyc.gov/schools/X559,,,CTE program(s): Academy of Hospitality and Tourism,Morrisania-Melrose,,,,,Morrisania-Melrose,
02M427,212-576-0502,,,,270,,,,,,,,3,,,Manhattan,,,,,,,,,,M,,,,,,,,,,,,,Yes,"French, Spanish",,,,,,,,,,,,1087537,,,M620,,,,,,,,,,0.64999998,,,,maalnyc.org,,,College Now,Murray Hill-Kips Bay,,,,,Murray Hill-Kips Bay,
12X478,718-620-2560,,,,857,,,,,,,,13,,,Bronx,,,,,,,,,,X,,,,,,,2018-19 ELA/Math State Test Scores - 15%,,,,,,Yes,French,,,,,,,,,,,,2117663,,,X423,,,,,,,,,,0.99000001,,,,www.thecinemaschool.com,,,Photography offered,West Farms-Bronx River,,,,,West Farms-Bronx River,
02M413,212-475-8086,,,,2086,,,,,,,,25,,,Manhattan,,,,,55% of offers went to this group,,,,,M,,,,,,,Essay - 50%,,,,,,Yes,"Mandarin, Spanish",,,,,,,,,,,,1018014,,,M660,,,,,Then to District 2 students or residents,,,,,0.94999999,,,,www.sof.edu,,1.0,"Theater and Set Design; Drama, Music theory, Studio Art, SAT Prep; Computer Science",Gramercy,,,,,Gramercy,
09X231,718-466-8000,,,,382,,,,,,,,7,,,Bronx,,,,,41% of offers went to this group,,,,,X,,,,,,,,,,,,,,Spanish,,,,,,,,,,,,2117666,,,X465,,,,,Then to Bronx students or residents,,,,,0.70999998,,,,https://www.eaglebronx.org/,,,SEO Scholars: a free eight-year academic program that gets underserved public high school students to and through college.,Claremont-Bathgate,,,,,Claremont-Bathgate,
06M346,212-342-6600,,,,569,,,,,,,,10,,,Manhattan,,,,,88% of offers went to this group,,,,,M,,,,,,,,,,,,,,Spanish,,,,,,,,,,,,1089242,,,M814,,,,,Then to New York City residents,,,,,0.83999997,,,,www.chah.nyc,,,"Support Services, Community Health-Related Service Learning, and Internship Opportunities",Washington Heights South,,,,,Washington Heights S.,
