q0_dbn,q17_c15_r2,q40_r1_c2_5,q16_c10_r2,q40_r1_c3_4,q16_c15_r4,q17_c15_r1,q28_4,q16_c1_r4,q16_c2_r2,q25_r1_c5,q16_c14_r2,q17_c8_r4,q25_r2_c1,q17_c1_r3,q26_2,q25_r1_c1,q16_c19_r4,q16_c14_r4,q25_r2_c5,q17_c10_r2,q17_c7_r3,q16_c15_r1,q41_7,q17_c11_r1,q17_c13_r3,q23_r7_c1,q17_c3_r4,q17_c12_r3,q16_c16_r4,q40_r1_c4_1,q17_c14_r3,q40_r1_c1_4,q16_c13_r2,q16_c9_r2,q16_c21_r4,q17_c10_r1,q40_r1_c6_4,q17_c15_r4,q25_r5_c3,q40_r1_c7_3,q27_5,q16_c17_r4,q40_r1_c7_1,q25_r5_c1,q40_r1_c3_2,q16_c22_r2,q16_c21_r3,q40_r1_c1_3,q17_c11_r3,q42_1_rev,q40_r1_c4_3,q40_r1_c10_4,q40_r1_c4_5,q16_c5_r3,q41_3,q16_c14_r3,q40_r1_c2_3,q40_r1_c6_2,q27_3,q16_c6_r1,q16_c8_r2,q17_c2_r2,q17_c4_r1,q23_r7_c2,q16_c5_r2,q16_c19_r3,q16_c3_r4,q17_c6_r4,q17_c5_r1,q16_c8_r4,q16_c16_r2,q23_r7_c4,q17_c2_r1,q40_r1_c5_3,q17_c6_r2
14K017,,,,,,,0,0.0,0.0,0,,0.0,0,0.0,0.0,0,,,0,,0.0,,0,,,0,0.0,,,,,,,,,,,,0,,,,,0,,,,,,"The arts program was decimated due to the COVID-19 pandemic. With remote, blended, and in-person learning rotating throughout the year, combined with scheduling set forth by the central NYCDOE eliminating prep periods, it was impossible to conduct an arts program this year.",,,,0.0,0,,,,,,,0.0,0.0,0,0.0,,0.0,0.0,0.0,,,0,0.0,,0.0
15K497,,,,,,,1,,,0,,,0,,0.0,0,,,0,,,,1,,,0,,,,Teacher Professional Development,,,,,,,,,0,,1-6 hrs,,20.0,0,,,,,,"Consistent with the standards of the International Baccalaureate organization, we offer a robust arts program that offers courses in visual arts, graphic design, theater, culinary arts, and dance in grades 6-12.",,,,,1,,,,,,,,,0,,,,,,,,0,,,
27Q253,,,,,,,1,0.0,0.0,0,,0.0,0,0.0,0.0,0,,,0,,0.0,,0,,,0,0.0,,,Residency (direct instruction to students),,,,,,,,,0,,,,6.0,0,Other,,,,,"Members of the Public School 253Q community believe in the benefits and need for arts education as part of our students instructional development. We offer classes in visual arts as well as dance as part of their instructional program, and we look forward to receiving grants to further implement art into the lives of our students. This year we participated in a New York City Ballet Residency program for ballet. Additionally, we have been partnering with Loveessense over the last several years, including songwriting to two classes this year. As we move forward, we are always looking to bring more arts education into the lives of our students.",,,,0.0,0,,,30.0,,0.0,,6.0,0.0,0,0.0,,0.0,0.0,0.0,,,0,0.0,,0.0
16K021,,,0.0,,,,0,0.0,0.0,0,,0.0,0,0.0,0.0,0,,,0,,0.0,,0,,,0,0.0,,,In-school Student Workshops,,,,0.0,,,,,0,1.0,,,1.0,0,Music,,,Alley Pond Environmental Center,,"The Crispus Attucks Young, Gifted and Talented Arts Studio is dedicated to developing observation skills, technical ability, and creating finished artwork to encourage self-confidence, knowledge, and enthusiasm. Our program is designed to enrich students through the visual and performance arts. The arts curriculum is directly aligned with the Common Core Learning Standards for visual and performance arts. Our goal for this year was to spark students’ thinking, creativity, and leadership skills by providing a comprehensive and engaging program. Due to the Coronavirus pandemic, students were introduced to the arts through remote learning. Students were inspired by this new way of learning which enabled exposure to virtual field trips, including museums, zoo's and cultural arts centers around the country and the world. This use of innovative teaching practices in virtual classrooms included art tutorials, games, and interactive visuals. It allowed the students to enhance creativity using a variety of mediums and differentiated learning styles. Students were encouraged to use technology as well as everyday items found around the house creating a variety of artworks that express a new form of artistry.",In-school Student Workshops,,,0.0,1,,,400.0,1-6 hrs,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,,0,0.0,5.0,0.0
24Q088,0.0,,0.0,,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,0.0,0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,Residency (direct instruction to students),0.0,,0.0,0.0,,0.0,,0.0,0,,,0.0,20.0,0,,,,,0.0,"At P.S. 88 Seneca, we have implemented a rich music experience that all students have access to, whether in person or remote. Our licensed music teacher has secured multiple grants to provide instruments such as guitars, bucket drums, ukeleles, keyboards, and drums to name a few.  Students are learning about creating digital music through a software program.  We have also partnered with a fellow District 24 school (PS 89Q) for a combined glee club. We have incorporated visual arts in the classrooms through the classroom teacher, as well as a Saturday academy with Creative Art Works.",,,,0.0,1,0.0,,,7-12 hrs,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0
24Q012,0.0,,0.0,,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,In-school Student Workshops,0.0,,0.0,0.0,0.0,0.0,,0.0,0,19.0,,0.0,3.0,0,Visual Arts,0.0,0.0,CASA,0.0,"At P.S. 12 James B. Colgate, we believe that our role as a school should go beyond teaching the core subjects and that we must emphasize the importance of the arts in the development of every student. Arts education and engagement are embedded into our school’s curriculum throughout every grade and content area. During the 2020-21 school year, all first and second grade students participated in a mini Together in Dance residency incorporating social and emotional learning into dance. Through this residency students’ emotional learning was incorporated into creative movement. Materials For The Arts provided virtual meets where students had the excitement of class trips through hands-on visual arts classes. Teachers incorporate the arts into their social studies and science curriculum to offer our students the opportunity to appreciate our world from different perspectives. Our school embeds culturally responsive education through our arts programs. At P.S. 12, we are committed to celebrating our diverse student population through the arts.",In-school Student Workshops,,,0.0,1,0.0,,40.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.0,0.0
07X259,,,,,,,1,,,0,,,0,,1.0,0,,,0,,,,1,,,0,,,,,,,,,,,,,0,,1-6 hrs,,,0,,,,,,"Health, Education, and Research Occupations High School (HERO) offers students a comprehensive range of arts electives: visual arts, theater, film studies, and dance, which incorporate the NYS Learning Standards for the Arts as well as supports the socio-emotional growth of our students. Afterschool programs include a visual arts club, drama club, and the cypher hip hop and spoken word club. Ninth grade students wrote and performed an original play at the NYC Student Shakespeare Festival. This endeavor was supported by the Creative Arts Team (CAT) afterschool workshop and comprised of ninth and tenth grade students who met twice a week at HERO.  During the 2020-21 school year, students have participated in virtual dance performances and their artwork displayed in online portfolios.",,,,,1,,,,,,,,,0,,,,,,,,0,,,
23K518,,,,,,,1,,,0,,,0,,2.0,0,,,0,,,,1,,,0,,,,Residency (direct instruction to students),,,,,,,,,0,,1-6 hrs,,720.0,0,,,,,,"KAPPA V Knowledge and Power Preparatory Academy recognizes that each child is an individual, that all children are creative and all children have the ability to succeed. Success can come in the form of academics and artistic talents. Because of this, we strive to expose our students to various arts disciplines: when the arts are incorporated into every discipline students demonstrate a better understanding of the curriculum. Our students are exposed to visual arts, photography, various forms of dance, musical theater and steel pan. Our goal is to tap into the hidden talents of our students, while creating the best version of themselves.",,,,,1,,,,1-6 hrs,,,,,0,,,,,,,,0,,,
27Q202,,,,,,,0,,,0,,,0,,0.0,0,,,0,,,,0,,,0,,,,Residency (direct instruction to students),,,,,,,,,0,,7-12 hrs,,,0,,,,,,"The vision of the Robert H. Goddard Middle School Arts program remains dedicated to providing students with a comprehensive education with a particular emphasis on the arts. This includes Band, Chorus, Computer & Visual Arts and its connection to SEL (social emotional learning) by accessing the ability to view the world through a holistic lens and be well prepared to embrace the various challenges of crisis, such as COVID, college & career readiness, as intrinsically motivated, socially conscious, and inspired individuals. The goal will be accomplished by strengthening core instruction, knowing each student well, and providing a shared and inclusive curriculum, through blended learning platforms, a professional development plan, strong family ties, and culturally responsive sustaining education. These shared priorities are cultivated with our stakeholders participation in this school community, supporting and encouraging each student's ability to demonstrate independence, building strong content knowledge and understanding other cultures and perspectives. Creative Connections provided New York Pops, and we are embarking on a partnership with Midori & Friends for this years end for extended programs.",,,,,1,,,,7-12 hrs,,,,,0,,,,,,,,0,,,
24Q005,,,,,,,0,,,0,,,0,,0.0,0,,,0,,,,1,,,0,,,,,,,,,,,,,0,,,,,0,,,,,,"The Fine and Performing Arts Program (FPA) at I.S. 5 The Walter Crowley Intermediate School engages students in work that embraces creative and culturally responsive means for expression and individuality, critical thinking, and an empowered student voice in an environment that supports innovation and inspiration. Our school offers arts education in all of the four arts: dance, drama, music, and visual arts. We offer a tech course that routinely integrates film/documentary work. We are also slated to receive a full upgrade of our onsite TV studio through capital funding and look forward to outlining its use as part of FPA studies in the coming years. The FPA Department allows all of our students the ability to experience the arts. Our teachers make social emotional and art-centered connections with our students. In the coming year, as we learn further about requirements for art study, we will be looking for innovative solutions in partnerships, and branching out to include opportunities for our families to enjoy as well.",,,,,1,,,,,,,,,0,,,,,,,,0,,,
10X386,,,,,,,0,0.0,0.0,0,,,0,0.0,0.0,0,,,0,,,,1,,,0,20.0,,,In-school Student Workshops,,,,,,,,,0,,19-23 hrs,,12.0,0,Visual Arts,,,,,"P.S. 386 has a great art program where students are taught to understand the Elements of Art and Principles of Design as a basis for composition. Students explore a variety of artists, art processes and materials such as drawing, painting, printmaking, two & three-dimensional design, and sculpture.

Students are introduced to art history and learn to appreciate different art forms through viewing original works of art and use of the Smartboard technology. Art projects are often designed to complement the classroom curriculum.",,,,0.0,1,,,100.0,,,,0.0,0.0,0,0.0,,0.0,,,,,0,0.0,,
10X546,,,,,,,1,,,0,,,0,,0.0,0,,,0,,,,1,,,0,,,,Residency (direct instruction to students),,,,,,,,,0,,,,8.0,0,,,,,,,,,,,1,,,,,,,,,0,,,,,,,,0,,,
02M111,,,,,,,0,0.0,0.0,0,,0.0,0,0.0,0.0,0,,,0,,0.0,,1,,,0,0.0,,,,,,,,,,,,0,,,,,0,,,,,,"Currently, Public School 111 has a full-time music teacher and visual arts teacher for grades Pre-K through five. Due to the restrictions of COVID, our normal arts partnerships were cancelled for the 2020-2021 school year.  Orchestra of St. Luke’s is an afterschool program servicing about 35 students in grades one through five. It continued to provide music lessons separate from the school setting via ZOOM for families that were interested.  Our goal is to have a grade specific arts program for each grade provided by outside cultural arts organizations in addition to our full-time music and visual arts teachers.",,,,0.0,1,,,,,0.0,,0.0,0.0,0,0.0,,0.0,0.0,0.0,,,0,0.0,,0.0
08X561,,,,Theater,,,0,,,0,,,0,,,0,,,0,,,,1,,,0,,,,Residency (direct instruction to students),,Park Avenue Armory,,,,,30.0,,0,6.0,,,8.0,0,Theater,,,Manhattan Theatre Club,,"We offer arts classes for students at every grade level, including instrumental music, music production, drama, and media arts. Performance opportunities include two annual showcase concerts that are collaborative productions by students and staff.",Arts Related Field Trips,,,,1,,,5.0,,,,,,0,,,,,,,,0,,5.0,
25Q540,,,,,,,1,,,0,,,0,,0.0,0,,,0,,,,1,,,0,,,,,,,,,,,,,0,,13-18 hrs,,,0,,,,,,"Queens Academy High School offers a range of studio-based visual arts courses that include mixed media, drawing, painting, and printmaking. In these courses, students are able to develop their ability to experiment and the confidence to tap into their own creativity. They expand their imaginative capacities while experiencing a variety of art media. Within each art medium, they develop the skills, knowledge, and appreciation needed to best express their artistic selves.  In these courses, students learn to effectively use the language of the Elements of Art and the Principles of Design, and the terminology associated with their growing knowledge of tools, materials, and techniques. Students use the rich vocabulary of visual arts as they analyze, discuss, and assess their own artwork and that of their peers. Students reflect on and write about their art making process, and read and write about a broad range of artists related to that process.  Additionally, we offer Art History courses that are designed to give students the opportunity to discover, appreciate, and acquire knowledge of art history through the ages. The course involves critical thinking and students learn to examine and analyze forms of artistic expression from diverse cultures and understand their contributions to the arts.  Students develop their understanding of art within social, cultural, and historical contexts. They come to understand how art may be used to help them observe and interpret their ever-expanding world.",,,,,1,,,,,,,,,0,,,,,,,,0,,,
08X107,,,0.0,,,,0,0.0,0.0,0,,0.0,0,0.0,0.0,0,,,0,0.0,0.0,,0,0.0,,0,0.0,,,Residency (direct instruction to students),,,,0.0,,0.0,,,0,,,,60.0,0,,,,,0.0,"Students are engaged in a variety of art explorations, including the visual arts, music, dance and movement.  We have  partnerships with Harmony, Project, ASPIRA of New York and Bronx Arts Ensemble.",,,,0.0,1,,,,13-18 hrs,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,,0,0.0,,0.0
09X132,,,,,,,0,0.0,0.0,0,,,0,0.0,0.0,0,,,0,,,,1,,,0,0.0,,,In-school Student Workshops,,,,,,,,,0,,7-12 hrs,,2.0,0,,,,,,"Our school's arts program consists of music, visual arts and dance. We have had dance for four years, visual arts for three years and music for one year. Previous to this we had Reader's Theater. Our program is very necessary for the children we serve. They come from a low income neighborhood and are not exposed to very much. Through our arts program, they have access to a plethora of ways to express themselves through the arts. We plan to continue next year with dance, music, and visual arts.",,,,0.0,1,,,,1-6 hrs,0.0,0.0,0.0,70.0,0,0.0,,0.0,70.0,70.0,0.0,,0,0.0,,70.0
25Q425,,,,Theater,,,0,,,0,,,0,,,0,,,0,,,,1,,,0,,,,Arts Related Field Trips,,Kupferberg Center for the Arts,,,,,100.0,,0,4.0,19-23 hrs,,4.0,0,Theater,,,Atlantic Theater Company,,"John Bowne High School is proud of our Bowne Visual Arts Institute.  Students in this institute can select a sequence in either the two-dimensional track or three-dimensional track. Courses in the 3D track include: Studio Art, 3D Design and Sculpture, and Sculpture 2 and Ceramics. Courses in the 2D track include: Studio Art, Drawing and Painting, and Printmaking and Graphics. Portfolio, Advanced Placement Art and Design and Art History are included in the senior year in both tracks. These visual arts sequences will culminate in the NYC Department of Education commencement exam in the visual arts and successful completion of the sequence will result in a Chancellor's Endorsed Diploma in the Arts.  We look forward to the next school year, 2021-22, when the Bowne Visual Arts Institute will be an ed-opt program.  John Bowne offers a music major with a concentration in chorus, band, and orchestra. Each concentration includes a junior and concert level course. Additional music courses include Music Experience, Piano, Guitar, and Percussion. John Bowne also offers an Academy for Creative Artists (ACA) program.  Our goal is to provide an enriched artistry program through a sequence of highly varied writing and performance courses both in-person and remotely. Through writing, workshopping, performances and literary experiences, students will be prepared for the rigors of professional work in both the writing and dramatic arts arenas, as well as in college and beyond.",Arts Related Field Trips,,In-school Student Workshops,,1,,,100.0,31+ hrs,,,,,0,,,,,,,,0,,4.0,
17K382,,,,,,,1,,,0,,,0,,0.0,0,,,0,,,,1,,,0,,,,Residency (direct instruction to students),,,,,,,,,0,,1-6 hrs,,100.0,0,,,,,,"Academy for College Preparation and Career Exploration: A College Board School utilizes Puppetry in Practice, an organization that is committed to using the arts as a lens through which students experience, learn from and appreciate the world’s rich history of ideas, cultures and imagination. Established in 1979, Puppetry in Practice is an independent, not-for-profit organization housed in the School of Education at Brooklyn College. Puppetry in Practice assembles artists from around the world and places them in New York City schools and other educational environments to provide hands-on, arts-based approaches to language development and written, oral and visual expression. It also uses the creative arts to enhance literacy, spark curiosity and imagination, and engage in cultural immersions in the countries of origin that make our city great. Puppetry in Practice introduces and instills an enthusiasm for the creative spirit in every individual, at any age, through various means of expression. Through the power of storytelling, using centuries-old art forms or new electronic media, Puppetry in Practice encourages exploration by partnering with schools in building communities, both internally and externally. We believe the world’s great stories bridge cultures and help young people become aware of their creative selves, the contributions of others and their connections to a global community.",,,,,1,,,,,,,,,0,,,,,,,,0,,,
15K001,0.0,,0.0,,11.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,In-school Student Workshops,0.0,,0.0,0.0,,0.0,,0.0,0,6.0,1-6 hrs,,3.0,0,Theater,,,Cumbe: Center for African and Diaspora Dance,0.0,The focus of the arts program this year was to allow students to expand their knowledge on how different cultures celebrate their holidays and allows us to become a community.,In-school Student Workshops,,,0.0,1,0.0,,30.0,,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,5.0,0.0
27Q053,,,,,,,0,,,0,,,0,,,0,,,0,,,,0,,,0,,,,Residency (direct instruction to students),,,,,,,,,0,,,,,0,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,0,,,
09X365,,,,,,,1,,,0,,,0,,0.0,0,,,0,,,,1,,,0,,,,,,,,,,,,,0,,,,,0,,,,,,"The Academy for Language & Technology offers students courses in Music Technology and Digital Art Editing. Students are able to take courses in Adobe Photoshop, Web Design, Adobe Premier Pro, and Digital Music Design.",,,,,1,,,,1-6 hrs,,,,,0,,,,,,,,0,,,
17K524,,,,Theater,,,1,,,0,,,0,,,0,,,0,,,,1,,,0,,,,In-school Student Workshops,,Lincoln Center for the Performing Arts,,,,,85.0,,0,40.0,,,10.0,0,Theater,,,Park Avenue Armory,,"At International High School at Prospect Heights, we believe that the arts is a core discipline. Like other disciplines, our arts team uses and refines a list of discipline-based learning outcomes, in addition to schoolwide outcomes for language and collaborative learning. We leverage interdisciplinary curriculum to help students understand the complexity and beauty in their own experiences and the world around them. As a small school, we highly value our arts partnerships. Classroom residencies help bring learning to life, introduce students to career professionals, and diversify the ways in which students can express their ideas. We also rely on arts partnerships to help us connect students to outside programming when their interests exceed our course catalogue.",Residency (direct instruction to students),,,,1,,,60.0,,,,,,0,,,,,,,,0,,5.0,
27Q042,,,,Theater,,,1,0.0,60.0,0,,0.0,0,0.0,0.0,0,,,0,,0.0,,1,,,0,0.0,,,Teacher Professional Development,,Queens College Theater,,,,,100.0,,0,30.0,31+ hrs,,60.0,0,Theater,,,Broadway JR,,"At P.S./M.S. 42, students that learned remotely began the year receiving music and technology instruction, while students in-person received theater and art 1-2 times a week. In January, remote students began to receive instruction in visual arts and theater once a week. Our school has continued to work with outside organizations like THRIVE and Braata Productions to bring more arts opportunities to the students virtually. The artists at our school (both remote and in-person) have participated in contests and festivals like PS Art, Queens Borough Arts Festival, American Voices, Illustrate Against Hate, and other opportunities set forward by the DOE and community. Next year we will open our Verizon Innovative Learning Schools (VILS) lab, brought to us through a Verizon Grant, and engage students in courses about virtual reality and 3D printing.  The arts are alive and continue to grow at P.S./M.S. 42!",Teacher Professional Development,,Residency (direct instruction to students),0.0,1,,,300.0,13-18 hrs,60.0,,60.0,60.0,0,60.0,,0.0,0.0,60.0,,,0,60.0,5.0,60.0
28Q139,,,,,,,0,0.0,0.0,0,,,0,0.0,0.0,0,,,0,,,,1,,,0,0.0,,,Residency (direct instruction to students),,,,,,,,,0,,1-6 hrs,,7.0,0,Music,,,,,"We are committed to high standards in arts education. The arts help children learn creativity, confidence, self-expression, thinking skills, and a joy for learning. We provide arts education by following the NYCDOE Blueprint for the Arts Benchmarks. Due to COVID-19, we were unable to participate in certain activities that we have enjoyed in the past. However, we were about to provide our students, both blended and remote, the following:
CASA: 25 students grades 3-4-5:
Teaching Artists: Queens Performing Arts Center  - The Broadway Experience

CASA - We are excited to offer your child an exciting opportunity to participate in our CASA - After School Broadway Musical Workshop funded by Council Member Karen Koslowitz.  Students took center stage virtually, meeting & working with different Broadway artists. They learned about, and discussed, one of the Broadway musicals that this particular artist had appeared in had the opportunity to learn a musical number from the show. At the conclusion of the program, each student received, via mail, a Broadway workshop t-shirt AND a workshop highlight video.

Students were provided program scheduling in school with the music teacher up to twice a week per class. Students were also provided remote opportunities to engage with teachers for extracurricular arts and STEAM programs. During Remote Learning, our International Festival celebrated the diversity of our school through the performing arts.",,,,0.0,1,,,15.0,,0.0,,0.0,0.0,0,0.0,,0.0,0.0,0.0,,,0,0.0,,0.0
19K504,,,,,,,0,,,0,,,0,,0.0,0,,,0,,,,1,,,0,,,,,,,,,,,,,0,,7-12 hrs,,,0,,,,,,Arts instruction at High School for Civil Rights consisted of a visual arts curriculum recommended by New Visions for Public Schools.,,,,,1,,,,,,,,,0,,,,,,,,0,,,
25Q024,,,,,,,0,80.0,40.0,0,,20.0,0,0.0,0.0,0,,,0,,0.0,,1,,,0,80.0,,,,,,,,,,,,0,,7-12 hrs,,,0,,,,,,"During the 2020-2021 school year the arts team at P.S. 24 Andrew Jackson included three full-time visual arts teachers and one full-time music teacher. In addition, our school has a full-time Science, Technology, Engineering and Math (STEM) teacher that incorporates coding and 3D printing. Each arts discipline is aligned with the New York State Standards, as well as the New York City Blueprints for the Arts. The PreK-5 curriculums have a multi-level arts learning experience. Student progress was measured in a variety of ways, including rubrics, checklists, performance assessments, quizzes, portfolios and projects. Monthly newsletters and the Class Dojo app is used to communicate with parents. As the curriculum changed to remote learning, students were also evaluated on video recordings, video reflections and small group virtual conferences. We had a schoolwide virtual Lantern Making Festival for the Lunar New Year where students and their families participated. In June, we had a virtual visual arts show where students and parents participated. The Book of the Month incorporates an art-making component throughout the year. For the Museum of the Month students learn and explore about a new museum virtually. Our dance teacher also has monthly virtual dance parties for students and parents. A few of our classes had a visit from an art educator from the Noguchi Museum who spoke to our students. Our arts team and STEM teacher attend professional development to stay informed and up to date on new offerings in the arts and technology.",,,,0.0,1,,,,7-12 hrs,0.0,0.0,40.0,0.0,0,0.0,,20.0,40.0,0.0,40.0,,0,0.0,,0.0
04M012,,,,,,,1,0.0,0.0,0,,,0,0.0,0.0,0,,,0,,,,1,,,0,0.0,,,,,,,,,,,,0,,1-6 hrs,,,0,,,,,,"TAG Young Scholars School has been devoted to providing well-rounded arts education for its students. All of our students, kindergarten through eighth grade receive consistent, high-quality instruction in music and visual arts. We have a dedicated kindergarten through 4th grade music teacher. In 4th grade, students transition to instrumental music through the recorder. By 5th grade, students choose a band instrument and begin their performance instruction. All kindergarten through 8th grade students perform for their classmates as well as parents during formal concerts multiple times per year. In addition to our music program that takes place during our regular school day, we have an afternoon Latin Jazz Ensemble that rehearses afterschool twice a week. They perform multiple times per year, both in the school and at community events throughout New York City. In addition, our K-4 music teacher also teaches choir to students in grades 6-8.  Our visual arts program is continuing to grow and develop. All of our students, kindergarten through 8th grade, receive visual arts instruction at least one time per week. They work in various mediums. Pieces have been displayed at art shows both in the school and online through Artsonia. Our art teacher also does an ""Art Lunch” where students can work on projects during their lunch.",,,,0.0,1,,,,1-6 hrs,0.0,,0.0,0.0,0,0.0,,0.0,0.0,0.0,,,0,0.0,,0.0
05M692,,,,,,,0,,,0,,,0,,0.0,0,,,0,,,,0,,,0,,,,,,,,,,,,,0,,,,,0,,,,,,"Our program consists of student classes in visual arts, music and dance as electives offered in our building.  These classes include Guitar, Jazz Band, Core Music, Chorus, Art, Studio Art, Painting and Dance.",,,,,1,,,,,,,,,0,,,,,,,,0,,,
28Q690,,,,,,,1,,,0,,,0,,0.0,0,,,0,,,,1,,,0,,,,Arts Related Field Trips,,,,,,,,,0,,31+ hrs,,1.0,0,Visual Arts,,,,,"We offer Basic Studio Arts for the required graduation credits. This class introduces students to a variety of arts mediums and practices to broaden their understanding of the importance of the arts, creativity, and design thinking in the real world. They will make connections between the art that is practiced in class to real world application, worldwide practices, and necessity in culture and society. We also offer an Introduction to Music class. This course allows students to express their creativity through song creation. The students also learn how to play musical instruments.",,,,,1,,,30.0,,,,,,0,,,,,,,,0,,,
02M347,,,,,,,1,11.0,,0,,,0,0.0,0.0,0,,,0,,,,0,,,0,,,,In-school Student Workshops,,,,,,,,,0,,1-6 hrs,,10.0,0,,,,,,"Public School 347 has been very fortunate to share a dynamic licensed visual arts teacher and a motivated licensed dance teacher with the hign school in our building. Their time is split between the two schools, so we are able to offer dance for half of the year and visual arts for the second half. During a typical school year (and this year was anything but), we would supplement the in-school instruction with visits to the many cultural experiences that NYC offers. Even though this year barred us from venturing out, the teachers have been very proactive in bringing our students to virtual venues to experience art and dance beyond the school walls. By taking advantage of free virtual programs this year, we were able to offer our students  sporadic ""field trips"" to spark their creative minds. Our arts teachers also took it upon themselves to write a grant that was shared between the high school and our school to purchase additional supplies. Through a grant for English Language Learners and Students with Disabilities in the Arts, Children's Museum of the Arts was able to provide additional art classes for our Pre-K through 8th grade students. Many of our students come from households where the first language is not English. The arts allow all students to express themselves in a langauge that everyone understands.",,,,,0,,,,,,,,,0,,,,,,,,0,,,
10X284,,,,,,,0,,,0,,,0,,0.0,0,,,0,,,,1,,,0,,,,Residency (direct instruction to students),,,,,,,,,0,,,,10.0,0,,,,,,"Our school relies on the talents and interests of our teachers for our arts provisions as well as work with Manhattan School of Music.  This year Manhattan School of Music provided one-on-one vocal coaching for six students and is giving one additional student a free summer class of her choice.  Additionally, we offer art history, music history, and the ever popular crocheting where we mailed home the crochet kits this year.  That is a very popular class even remotely.  We also hosted a string of movies as part of our community building.",,,,,0,,,,,,,,,0,,,,,,,,0,,,
03M163,,,,,,,0,2.0,0.0,0,,,0,0.0,,0,,,0,,0.0,,1,,,0,2.0,,,In-school Student Workshops,,,,,,,,,0,,1-6 hrs,,2.0,0,,,,,,"Public School 163 has an arts program taught by in-school, full-time dedicated and certified visual arts and music teachers. While this year presented unique situations and uncertainty, our school has been traditionally focused on the arts. For the majority of this year, kindergarten through fifth grade students received instruction twice every three weeks but transitioned to weekly instruction for the last quarter as schools moved toward higher occupancy. Performances by The Voices of 163 usually present three concerts during the year. While this was not possible this year, virtual performances were hosted. Due to the circumstances this year, we were not able to host outside cultural institutions to work with students as usual. Therefore, partnering with organizations such as the Lincoln Center Film Society Kids, the National Dance Institute, and Young Audiences New York was paused. However, Public School 163 worked with non-profit Thrive Collective to carry out a school mural project. Public School 163 also normally hosts the District 3 district-wide art festival every year at the end of May.",,,,0.0,1,,,,7-12 hrs,0.0,,0.0,0.0,0,0.0,,2.0,2.0,0.0,,,0,0.0,,0.0
17K722,,,,,,,0,,,0,,,0,,0.0,0,,,0,,,,0,,,0,,,,,,,,,,,,,0,,,,,0,,,,,,New Heights Middle School has a full-time dance teacher and dance studio.  New Heights Middle School incorporates the arts into a comprehensive National Broadway Junior program.,,,,,1,,,,,,,,,0,,,,,,,,0,,,
26Q191,,,,,,,1,0.0,0.0,0,,,0,0.0,,0,,,0,,,,1,,,0,0.0,,,Residency (direct instruction to students),,,,,,,,,0,,1-6 hrs,,20.0,0,,,,,,"P.S. 191 Mayflower offered virtual assembly programs, virtual arts programs and virtual music assemblies.In all of our arts programs, we wanted the students to learn the value of literary through the arts, oral and cultural traditions, musical and vocal performing, dance, and art appreciation. They learned to express themselves, work together and develop confidence.",,,,0.0,1,,,,1-6 hrs,0.0,,0.0,0.0,0,0.0,,0.0,0.0,0.0,,,0,0.0,,0.0
17K352,,,,Dance,,,1,,,0,,,0,,0.0,0,,,0,,,,0,,,0,,,,Residency (direct instruction to students),,Ifetayo Cultural Arts Facility,,,,,17.0,,0,20.0,0 hrs,,14.0,0,Music,,,Carnegie Hall,,"Ebbets Field Middle School (EFMS) believes that the arts are a fundamental part of a well-rounded education and are a necessary outlet for students to apply and experiment with concepts from other fields. EFMS views the arts as a place to bring together subject strands from English Language Arts (ELA) to science, and math to engineering. As such, the arts at EFMS are infused throughout content areas, and arts teachers take a multi-disciplinary and project-based approach to instruction. The EFMS Arts Department employs one full-time arts teacher in music.  Numerous opportunities are also provided by engaging cultural partners and teaching artists to supplement and expand upon classroom work, including Ifetayo Cultural Center, HONK NYC, the New York Philharmonic, Carnegie Hall’s Ensemble Connect, Broadway Jr., Brooklyn Music School and BRIC Media Arts. All students from grades 6-8 take music seeing each teacher two times a week. In music, students are exposed to the breadth and diversity of musical genres and instruments around the world. They focus on the cultural context within which musical movements have grown, and they apply this knowledge both to songwriting and on an instrument of their choice by learning the fundamentals of technique, performance, and composition. Students have the opportunity to showcase their work multiple times a year at student award dinners, school assemblies, district events, cultural partner events and our annual Night of the Arts.",Residency (direct instruction to students),,Residency (direct instruction to students),,1,,,100.0,31+ hrs,,,,,0,,,,,,,,0,,4.0,
