tru,section,bin,air_monitor_name,status_description,contractor_name,acm_amount,cross_street_between,premise_no,acm_unit,abatement_type
TRU2272BK22,Apt. #4B - CCTV Riser at Living Room Perimeter,3327883.0,Airtek Environmental Corp.,Closed,T L D Services Inc,1,,92,Square Feet,Removal
TRU0028BX21,4K,1080003.0,"LiRo Engineers, Inc.",Closed,"New York Environmental Systems, Inc.",697,,5240,Square Feet,Removal
TRU6025MN18,Apt 21G,1048579.0,"Nigertech Services, Inc.",Submitted,New York Insulation Inc.,672,,200,Square Feet,Removal
TRU0179MN20,Phase 2 - Upper Roof,1012547.0,"Absolutely Clean Environment, Inc.",Closed,"New York Insulation, Inc.",400,,118,Square Feet,Removal
TRU1444BK20,boiler room,3127184.0,Efex Environmental Inc,Closed,Steve Wilk Construction Inc.,45,,669,Linear Feet,Removal
TRU0957QN22,West Elevation,4208858.0,Airtek Environmental Corp.,Closed,"New York Insulation, Inc.",1,,89-25,Square Feet,Removal
TRU1085BK25,Exterior Facade - Elevations #9 - 14,3339438.0,Genesis Environmental Consultants Inc.,Postponed,J & N Construction Group Corp.,7,,1590,Square Feet,Removal
TRU0733MN22,APT#17E Entry Foyer Room Closet 1,1048509.0,"Standard Environmental Services, Inc.",Closed,Teal Management Corporation,15,,201,Square Feet,Removal
TRU5702BK18,main roof,3028624.0,AIM Environmental LLC,Closed,AGG Environmental Corp.,960,,430,Square Feet,Removal
TRU0811BK25,IT Closet,3054897.0,Advanced Environmental Corp.,Closed,"The Asbestos Contractor, Inc.",6,,215,Square Feet,Removal
TRU1121BK21,Roof #3,3082387.0,"SAI Environmental Consultants, Inc.",Closed,"New York Insulation, Inc.",320,,416,Square Feet,Removal
TRU3067MN24,Apt 10A  Kitchen,1079194.0,Genesis Environmental Consultants Inc.,Submitted,"New York Environmental Systems, Inc.",1,,123,Square Feet,Removal
TRU1289BK20,Boiler Room Tent #2,3332224.0,"JLC Environmental Consultants, Inc.",Closed,Maven Construction Corp.,213,,748,Linear Feet,Removal
TRU0516BK21,Exterior Façade  Elevation #1 - 36,3331301.0,Genesis Environmental Consultants Inc.,Closed,"Regional Management & Consulting, Inc.",170,,902,Square Feet,Removal
TRU0713MN21,Perimeter,1034520.0,"Consulting And Testing Services, Inc.",Closed,P.A.L. Environmental Safety Corp.,55,,666,Square Feet,Removal
TRU2011MN19,3E,1077415.0,"The ALC Group, LLC dba ALC Environmental",Closed,"New York Environmental Systems, Inc.",805,,374,Square Feet,Removal
TRU1163MN20,Stand Pipe Room,1000868.0,"Environmental Management Services, Inc.",Closed,JVN Restoration Inc.,70,,111,Square Feet,Removal
TRU0534BK22,Roof 'B',3819133.0,"Omega Laboratories, Inc.",Closed,Pinnacle Environmental Corp.,4,,19,Square Feet,Removal
TRU0005QN25,Exterior Facade (East Elevation),4096962.0,J.C. Broderick & Associates Inc.,Postponed,Starnight Corp.,350,,13-20,Square Feet,Removal
TRU0256BK25,Mermaid Avenue Stair Tower East,3189517.0,"New York Environmental & Analytical Laboratories,",Submitted,"Alpha Environmental Services, Inc",46,,2929,Square Feet,Removal
TRU0627QN25,2K,4208882.0,Genesis Environmental Consultants Inc.,Closed,"New York Environmental Systems, Inc.",811,,89-09,Square Feet,Removal
TRU5505BK18,Stairhall Bulkhead - Roof,3337053.0,Genesis Environmental Consultants Inc.,Closed,"Vestar, Inc.",27,,700,Square Feet,Removal
TRU7319MN18,Duct Shaft,1001108.0,ATC Group Services LLC,Submitted,"National Environmental Safety Company, Inc.",170,,33,Linear Feet,Removal
TRU0360BX21,Perimeter Flashings,2056686.0,Efex Environmental Inc,Closed,Maspeth Remodeling Co. Inc. DBA Maspeth Environmen,202,,3245,Square Feet,Removal
