unique_id,work_id,floor_ac_receptacles,sign_total_aw_guage,from_floor,floor_detail,floor_transformers,item,sign_id,sign_lamp_wattage
00D44ED2-5BF6-E711-8116-005056B627E6.0.0,00D44ED2-5BF6-E711-8116-005056B627E6,0,,,,0,3Ø over 225 amps,0,0
01046A9B-D2E0-E711-8116-005056B627E6.0.0,01046A9B-D2E0-E711-8116-005056B627E6,0,,,,0,1Ø over 20-1 or 10-2 pole breakers,0,0
002391AF-9AA4-E811-811B-005056B627E4.FF2291AF-9AA4-E811-811B-005056B627E4.0,002391AF-9AA4-E811-811B-005056B627E4,0,,38.0,,0,Floor Descriptions - Total Units,0,0
01176498-4302-E911-811C-005056B627E4.00176498-4302-E911-811C-005056B627E4.0,01176498-4302-E911-811C-005056B627E4,0,,2.0,,0,Floor Descriptions - Total Units,0,0
000B46FA-1502-E911-811C-005056B627E4.0.0,000B46FA-1502-E911-811C-005056B627E4_,0,,,,0,1Ø up to 20-1 or 10-2 pole breakers,0,0
0120BE18-2317-E811-8117-005056B627E4.0020BE18-2317-E811-8117-005056B627E4.0,0120BE18-2317-E811-8117-005056B627E4,0,,,,0,Floor Descriptions - Total Units,0,0
012AABC1-5EE4-E811-811A-005056B627E6.0.0,012AABC1-5EE4-E811-811A-005056B627E6,0,,,,0,Over 1/0 to 250MCM,0,0
008BE519-B7F9-E811-811B-005056B627E4.0.0,008BE519-B7F9-E811-811B-005056B627E4,0,,,,0,Up to #2 conductor,0,0
006FF62F-9A04-E911-811C-005056B627E4.0.0,006FF62F-9A04-E911-811C-005056B627E4,0,,,,0,Boiler Controls,0,0
00A2BF31-483C-E911-811F-005056B627E6.0.0,00A2BF31-483C-E911-811F-005056B627E6,0,,,,0,Up to #2 conductor,0,0
0041C077-4362-E911-8120-005056B627E6.C9735C4C-4362-E911-8120-005056B627E6.0,0041C077-4362-E911-8120-005056B627E6,1,,,,0,Floor Descriptions - Total Units,0,0
007B8DD2-D3FA-E711-8116-005056B627E6.0.0,007B8DD2-D3FA-E711-8116-005056B627E6,0,,,,0,3Ø up to 225 amps,0,0
005435FB-D3F7-E711-8116-005056B627E6.0.0,005435FB-D3F7-E711-8116-005056B627E6,0,,,,0,Up to 100 amps,0,0
00A989F5-81A0-E811-811B-005056B627E4.0.0,00A989F5-81A0-E811-811B-005056B627E4,0,,,,0,Up to 100 amps,0,0
005E18D4-C470-E811-811A-005056B627E4.0.0,005E18D4-C470-E811-811A-005056B627E4,0,,,,0,Over 1/0 to 250MCM,0,0
0016CB28-E00A-E911-811C-005056B627E4.0.0,0016CB28-E00A-E911-811C-005056B627E4,0,,,,0,1Ø up to 20-1 or 10-2 pole breakers,0,0
00F70B4D-5B14-E911-811D-8CFAEDA547D3.FFF60B4D-5B14-E911-811D-8CFAEDA547D3.0,00F70B4D-5B14-E911-811D-8CFAEDA547D3,0,,3.0,Third Floor,0,Floor Descriptions - Total Units,0,0
0078F989-F341-E911-811F-005056B627E6.FF77F989-F341-E911-811F-005056B627E6.0,0078F989-F341-E911-811F-005056B627E6,3,,5.0,5TH FLOOR APT 24,0,Floor Descriptions - Total Units,0,0
0010DA2B-5921-E811-8117-005056B627E4.DE2349BF-5721-E811-8117-005056B627E4.0,0010DA2B-5921-E811-8117-005056B627E4,0,,,2 FIXTURES,0,Floor Descriptions - Total Units,0,0
0122EC4B-279F-E811-811B-005056B627E4.0.0,0122EC4B-279F-E811-811B-005056B627E4,0,,,,0,Over 1/0 to 250MCM,0,0
00086258-6E46-E911-8120-005056B627E4.0.0,00086258-6E46-E911-8120-005056B627E4,0,,,,0,3Ø up to 225 amps,0,0
00BC340B-254F-E911-8120-005056B627E4.0.0,00BC340B-254F-E911-8120-005056B627E4,0,,,,0,1Ø up to 20-1 or 10-2 pole breakers,0,0
012F605C-BAF1-E811-811A-005056B627E6.0.0,012F605C-BAF1-E811-811A-005056B627E6,0,,,,0,1Ø over 20-1 or 10-2 pole breakers,0,0
0100691A-79BB-E811-811A-005056B627E6.0.0,0100691A-79BB-E811-811A-005056B627E6,0,,,,0,Up to 100 amps,0,0
00710479-B0AB-E811-811B-005056B627E4.0.0,00710479-B0AB-E811-811B-005056B627E4,0,,,,0,101 to 200 amps,0,0
000BCB9A-BCED-E811-811A-005056B627E6.0.0,000BCB9A-BCED-E811-81 1A-005056B627E6,0,,,,0,Up to 100 amps,0,0
0121438F-2F5F-E911-8120-005056B627E6.C3AED115-2F5F-E911-8120-005056B627E6.0,0121438F-2F5F-E911-8120-005056B627E6,0,,,ENTRANCE IN FRONT OF BUILDING,0,Floor Descriptions - Total Units,0,0
00685493-638F-E811-811A-005056B627E4.0.0,00685493-638F-E811-811A-005056B627E4,0,,,,0,Up to #2 conductor,0,0
