evt_code,evt_sqlidentity,evt_reopened,evt_warranty,evt_udfchkbox03,evt_udfchar16,evt_reported,evt_printed,evt_udfchkbox01,evt_udfchkbox02,evt_due,evt_duration,evt_safety,evt_standwork,evt_date
1483726,1466995,-,-,,,,-,,,Mar 15 2017 12:00AM,90,-,,May 30 2017 10:16AM
1236177,1221371,-,-,-,,,-,-,-,,1,-,,20151206
1229392,1214634,-,-,-,,,-,-,-,,1,-,,20151123
2002996,1937960,-,-,+,,Feb 10 2020 12:40PM,-,-,-,,1,-,,Feb 10 2020 12:40PM
1602851,1576505,-,-,-,,Dec 15 2017  3:17PM,-,-,-,,1,-,,Dec 15 2017  3:17PM
1273799,1258583,-,-,-,,,-,-,-,,1,-,,20160306
2222044,2127990,-,-,-,,Oct 13 2021  3:56PM,-,-,-,,1,-,,Oct 13 2021  3:56PM
2092312,2026488,-,-,+,,Nov 27 2020  4:01PM,-,-,-,,1,-,,Nov 27 2020  4:01PM
2273536,2170088,-,-,+,,Feb 16 2022 10:14AM,-,-,-,,1,-,,Feb 16 2022 10:14AM
2205642,2111776,-,-,-,,Aug 27 2021 12:13PM,-,-,-,,1,-,,Aug 27 2021 12:13PM
2259187,2155846,-,-,+,,Jan 12 2022  5:15PM,-,-,-,,1,-,,Jan 12 2022  5:15PM
1941347,1876816,-,-,+,,Jul 12 2019  9:33AM,-,-,-,,1,-,,Jul 12 2019  9:33AM
2014052,1948971,-,-,+,,Mar  6 2020  1:04PM,-,-,-,,1,-,,Mar  6 2020  1:04PM
2273532,2170084,-,-,+,,Feb 16 2022 10:08AM,-,-,-,,1,-,,Feb 16 2022 10:08AM
2050269,1984899,-,-,-,,Jul 10 2020 12:21PM,-,-,-,,1,-,,Jul 10 2020 12:21PM
2138708,2063225,-,-,+,,Apr  9 2021 10:45AM,-,-,-,,1,-,,Apr  9 2021 10:45AM
2300516,2187984,-,-,-,,Apr  7 2022  5:08PM,-,-,-,,1,-,,Apr  7 2022  5:08PM
1714406,1687196,+,-,-,,Jun 21 2018  3:22PM,-,-,-,,1,-,,Jun 21 2018  3:22PM
2308541,2195928,-,-,+,,May  4 2022 12:57PM,-,-,-,,1,-,,May  4 2022 12:57PM
2220681,2126666,-,-,+,,Oct  8 2021  3:15PM,-,-,-,,1,-,,Oct  8 2021  3:15PM
2140879,2065371,-,-,+,,Apr 19 2021  6:38PM,-,-,-,,1,-,,Apr 19 2021  6:38PM
1166422,1152023,-,-,-,,,-,-,-,,1,-,,20150728
1226874,1212140,-,-,-,,,-,-,-,,1,-,,20151116
2008757,1943698,-,-,+,,Feb 27 2020  1:37PM,-,-,-,,1,-,,Feb 27 2020  1:37PM
122184,112181,-,-,-,,Jun  1 2010 11:23AM,-,-,-,,1,-,,20100601
1139311,1124912,-,-,-,,,-,-,-,,1,-,,20150616
1161123,1146724,-,-,-,,,-,-,-,,1,-,,20150719
1199298,1184824,-,-,-,,,-,-,-,,1,-,,20150923
2212896,2118938,-,-,+,,Sep 21 2021  2:55PM,-,-,-,,1,-,,Sep 21 2021  2:55PM
2204831,2110971,-,-,+,,Aug 25 2021 10:20AM,-,-,-,,1,-,Miscellaneous Supplies,Aug 25 2021 10:20AM
2300515,2187983,-,-,-,,Apr  7 2022  5:06PM,-,-,-,,1,-,,Apr  7 2022  5:06PM
2045923,1980609,-,-,+,,Jun 26 2020  8:42AM,-,-,-,,1,-,,Jun 26 2020  8:42AM
2088884,2023257,-,-,+,,Nov 13 2020  3:52PM,-,-,-,,1,-,,Nov 13 2020  3:52PM
1010138,995739,-,-,-,,,-,-,-,,1,-,,20141212
1918126,1862762,-,-,+,,Jun  6 2019  3:12PM,-,-,-,,1,-,,Jun  6 2019  3:12PM
1120836,1106437,-,-,-,,,-,-,-,,1,-,,20150516
2153113,2077531,-,-,+,,Jun  3 2021  2:00PM,-,-,-,,1,-,,Jun  3 2021  2:00PM
1974188,1909397,-,-,+,,Oct 30 2019  4:01PM,-,-,-,,1,-,,Oct 30 2019  4:01PM
115411,105408,-,-,-,,,-,-,-,,1,-,,20100524
1976835,1912011,-,-,+,,Nov  8 2019  3:03PM,-,-,-,,1,-,,Nov  8 2019  3:03PM
1292917,1277625,-,-,-,,,-,-,-,,1,-,,20160411
2136606,2061165,-,-,-,,Mar 31 2021  3:27PM,-,-,-,,1,-,,Mar 31 2021  3:27PM
1981010,1916162,-,-,+,,Nov 25 2019  9:43AM,-,-,-,,1,-,,Nov 25 2019  9:43AM
115350,105347,-,-,-,,,-,-,-,,1,-,,20100524
66294,56292,-,-,-,,,-,-,-,,1,-,,20100129
2070088,2004618,-,-,+,,Sep 16 2020  2:11PM,-,-,-,,1,-,DSNY Scrape,Sep 16 2020  2:11PM
1888116,1841980,-,-,+,,Apr 12 2019  4:54PM,-,-,-,,1,-,,Apr 12 2019  4:54PM
1196236,1181783,-,-,-,,,-,-,-,,1,-,,20150920
2145774,2070228,+,-,+,,May  6 2021 10:44PM,-,-,-,,1,-,,May  6 2021 10:44PM
2124605,2049503,-,-,+,,Feb 24 2021  9:26AM,-,-,-,,1,-,,Feb 24 2021  9:26AM
2151105,2075529,-,-,-,,May 26 2021  4:28PM,-,-,-,,1,-,,May 26 2021  4:28PM
1886544,1840412,-,-,-,,Apr  9 2019  4:00PM,-,+,-,,1,-,,Apr  9 2019  4:00PM
2133967,2058611,-,-,+,,Mar 22 2021  9:30AM,-,-,-,,1,-,,Mar 22 2021  9:30AM
2042385,1977108,-,-,-,,Jun 15 2020  3:54PM,-,-,-,,1,-,,Jun 15 2020  3:54PM
1222969,1208251,-,-,-,,,-,-,-,,1,-,,20151109
2070758,2005288,-,-,+,,Sep 17 2020  5:31PM,-,-,-,,1,-,,Sep 17 2020  5:31PM
1896984,1850743,-,-,-,,Apr 30 2019  4:46PM,-,-,-,,1,-,,Apr 30 2019  4:46PM
1123455,1109056,-,-,-,,,-,-,-,,1,-,,20150520
2066579,2001125,-,-,-,,Sep  2 2020 12:02PM,-,-,-,,1,-,,Sep  2 2020 12:02PM
