gchild1_qchild2_ma,qbikewhynot7,qtimehome,qnoelectric4,qworktravelcode05,qbikestore1,qntacode_work,qschooltransitto2,qtransportnosubway04,qeducation,qnocitibike10,qcarincreasea8,qcarreducea6,qschooltransitto5,qstudenttravelcode10,qnoelectric3,qdisability6,job,qwelfare5,qridehail5,qrace,qbiketo,qworktravelcode01,qtransportnosubway02,qindustry,qtransportnosubway05,qbusimpact,qstudentpark,qwelfare1,qnocitibike05,qwelfare2,qbikewhy4,gcartype1_qcartype4_ma,qpaytopark,qdisability5,qstudenttravelcode22,qstudenttravelcode20,qtransportnobus07,qstudenttravelcode19,qshare6,qmarried,qfreight_cmb6,qbikestore9,qschooltravelcode24,qbikewhy7,datacollection_starttime,qstudenttravelcode06,qridehail6,qlevelschool,qborough_work3,qshare5,qbikestolen,qtransportnobus09,qnocitibike01,qridehail3,qworktravelcode09,qstudenttravelcode24,qntacode_work2,gfulltime_qfulltime_ma,qcarincreasea4,qemploymentcode,qbikemany,qstudenttravelcode23,qbiketype4,qbikestore7,qcarhybrid4,qbikewhynot2,qcarhybrid3,qtransportnosubway03,qcarreducea5,qworktravelcode15
No,No,,,,,,,,"Bachelor's degree (i.e., BA, BS, AB)",No,,,,No,,No,Online,No,,White/Caucasian,,,,,,,,No,No,No,,,,No,No,No,,No,Yes,Married,No,,No,,13747627608.0,No,,,,No,No,,Yes,,,No,,,,Not in Labor Force,,No,,,,Yes,,,,
,No,,,,,,,,"Associate degree (i.e., AA, AS)",No,,,,No,,No,Online,No,,White/Caucasian,,,,,,,,No,No,No,,,,No,No,No,,No,Yes,Living in a committed partnership,No,,,,13746042671.0,No,,,,No,No,,No,,,No,,,,Not in Labor Force,,No,,,,No,,,,
,No,5:30 PM,,No,No,,,,"Graduate degree (i.e., Master's, Professional, Doctorate)",No,,,,No,,No,Phone,No,No,Asian,,No,,Financial services,,I take the bus less frequently,,No,No,No,,,Yes,No,No,No,,No,Yes,Single,Yes,No,,,,No,No,,,No,Yes,,No,No,No,No,,1,,Employed,2.0,No,No,No,,No,,,,No
Yes,,6:00 PM,,No,No,,,,"Graduate degree (i.e., Master's, Professional, Doctorate)",No,,,,No,,No,Phone,No,,White/Caucasian,No,No,,Financial services,,I take the bus more frequently,,No,No,No,No,,Yes,No,No,No,,No,Yes,Married,No,No,No,No,,No,,,,No,No,,No,,No,No,,1,,Employed,2.0,No,No,No,,,,,,No
,No,400 pm,,No,,QN17,,No,Some college but degree not received or in progress,No,,,,No,,No,Online,No,No,White/Caucasian,,Yes,No,Education,No,,,No,No,No,,,,No,No,No,,No,Yes,Married,No,,,,13747357782.0,No,No,,,No,No,,No,No,No,No,,1,,Employed,,No,,,,No,,No,,No
,Yes,,,,,,,,"High school graduate or equivalent (i.e., GED)",No,,,,No,,No,Phone,No,,Black/ African American/ Caribbean American,,,,,,,,No,No,No,,,,No,No,No,,No,No,Married,Yes,,,,,No,,,,No,No,,No,,,No,,,,Not in Labor Force,,No,,,,No,,,,
,No,,,,,,,,"Graduate degree (i.e., Master's, Professional, Doctorate)",No,,,,No,,No,Online,No,No,Black/ African American/ Caribbean American,,,,,,I take the bus the same amount,,No,No,No,,,,No,No,No,,No,Yes,Divorced,Yes,,,,13745673597.0,No,No,,,No,No,,No,No,,No,,,,Unemployed,,No,,,,No,,,,
,No,pm,,No,,MN17,,,"Bachelor's degree (i.e., BA, BS, AB)",No,,,,No,,No,Online,No,,Asian,,No,,Real estate,,I take the bus less frequently,,No,No,No,,,,No,No,No,,No,Yes,Single,No,,,,13745083422.0,No,,,,No,No,,No,,No,No,,1,,Employed,,No,,,,Yes,,,,No
,No,600pm,,No,No,BX22,,,"High school graduate or equivalent (i.e., GED)",No,,,,No,,No,Online,No,No,White/Caucasian,No,No,,Other,,,,No,No,No,,,,No,No,No,,No,Yes,Living in a committed partnership,Yes,No,No,,13745692712.0,No,Yes,,,No,No,,No,No,No,No,,1,,Employed,2.0,No,No,No,,No,,,,No
,No,6pm,,No,No,MN17,,,"High school graduate or equivalent (i.e., GED)",No,,,,No,,No,Online,No,No,White/Caucasian,,No,,Other,,I take the bus the same amount,,No,No,No,,,,No,No,No,,No,Yes,Widowed,No,No,No,,13745343109.0,No,Yes,,,No,No,,No,No,No,No,,1,,Employed,1.0,No,No,No,,No,,,,No
Yes,,6:00 PM,,No,No,BK60,,,"Graduate degree (i.e., Master's, Professional, Doctorate)",,No,,,No,,No,Online,No,,White/Caucasian,Yes,No,,Financial services,,I take the bus more frequently,,Yes,,No,No,,,No,No,No,,No,No,Married,No,No,No,No,13744915061.0,No,,,Brooklyn,No,Yes,,,,No,No,BK99,2,No,Employed,3.0,No,No,No,,,,,,No
,No,Home around 7 pm,,No,No,MN17,,,"Bachelor's degree (i.e., BA, BS, AB)",No,,,,No,,No,Online,No,,White/Caucasian,,Yes,,Media,,,,No,No,No,,,,No,No,No,,No,Yes,Married,Yes,No,,,13747760849.0,No,,,,No,No,,Yes,,No,No,,1,,Employed,1.0,No,No,No,,No,,,,No
,No,,,,,,,No,"Bachelor's degree (i.e., BA, BS, AB)",No,,,,No,,No,Online,No,No,White/Caucasian,,,No,,No,,,No,No,No,,,No,No,No,No,,No,Yes,Widowed,Yes,,,,13745600378.0,No,No,,,No,No,,No,Yes,,No,,,,Not in Labor Force,,No,,,,No,,Yes,,
,Yes,PM,,No,,BK17,,,Some college but degree not received or in progress,No,,,,No,,No,Online,No,,Asian,,No,,Education,,I take the bus more frequently,,No,No,No,,,,No,No,No,,No,Yes,Single,No,,,,13745600891.0,No,,Technical or vocational school,,No,,,No,,No,No,,1,,Employed,,No,,,,No,,,,No
,,7PM,,No,No,MN04,,No,"Bachelor's degree (i.e., BA, BS, AB)",No,,,,No,,No,Online,No,,White/Caucasian,No,No,No,Health Care/Social Assistance,No,I take the bus the same amount,,No,No,No,No,,,No,No,No,,No,Yes,Single,Yes,No,No,No,13749330248.0,No,,,,No,No,,No,,No,No,,1,,Employed,2.0,No,No,No,,,,Yes,,No
Yes,,530pm,,No,No,BK37,,,Some college but degree not received or in progress,No,,,,No,,No,Online,No,,White/Caucasian,No,No,,"Professional & Business Services (consulting, legal, marketing)",,I take the bus the same amount,,No,No,No,No,,,No,No,No,,No,Yes,Married,Yes,No,No,No,13747655887.0,No,,,,No,No,,Yes,,No,No,,1,,Employed,3.0,No,No,No,,,,,,No
,No,6:30pm,,No,,,,,"Graduate degree (i.e., Master's, Professional, Doctorate)",No,,,,No,,No,Phone,No,No,White/Caucasian,,No,,Financial services,,,,No,No,No,,,Yes,No,No,No,,No,Yes,Married,No,,,,,No,No,,,No,No,,No,No,No,No,,1,,Employed,,No,,,,No,,,,No
,No,,,,,,,,"Graduate degree (i.e., Master's, Professional, Doctorate)",No,,,,No,,No,Online,No,,Two or more races,,,,,,I take the bus the same amount,,No,No,No,,,,No,No,No,,No,No,Widowed,No,,,,13747440234.0,No,,,,No,No,,No,,,No,,,,Not in Labor Force,,No,,,,No,,,,
,No,,,,,,,,"Associate degree (i.e., AA, AS)",No,,,,No,,No,Online,No,,White/Caucasian,,,,,,,,No,No,No,,,Yes,No,No,No,,No,Yes,Widowed,No,,,,13748999513.0,No,,,,No,No,,No,,,No,,,,Other,,No,,,,No,,,,
,No,5pm,,No,,MN27,,,"Bachelor's degree (i.e., BA, BS, AB)",No,,,,No,,No,Online,No,,Asian,,No,,Government,,,,No,No,No,,,,No,No,No,,No,Yes,Married,No,,,,13745259384.0,No,,,,No,No,,No,,No,No,,1,,Employed,,No,,,,Yes,,,,No
,Yes,,,,Yes,,,No,Some high school,No,,,,No,,No,Online,No,No,White/Caucasian,,,Yes,,No,,,No,No,No,,,,No,No,No,,No,Yes,Single,No,No,,,13744848763.0,No,Yes,High school or GED program,,No,No,,No,No,,No,,,,Unemployed,2.0,No,No,No,,No,,No,,
,,5pm,,No,No,MN40,,,"Associate degree (i.e., AA, AS)",No,,,,No,,No,Online,No,,Black/ African American/ Caribbean American,No,No,,Construction,,,,No,No,No,No,,,No,No,No,,No,Yes,Single,No,No,,No,13747151234.0,No,,,,No,No,,No,,No,No,,1,,Employed,1.0,No,No,No,,,,,,No
,No,none,,No,No,MN13,,,"Graduate degree (i.e., Master's, Professional, Doctorate)",No,,,,No,,No,Online,No,No,White/Caucasian,No,No,,Financial services,,,,No,No,No,,,,No,No,No,,No,Yes,Married,Yes,No,,,13745947306.0,No,No,,,No,No,,No,No,No,No,,1,,Employed,2.0,No,No,No,,No,,,,No
,,2am,,No,,,,,"Bachelor's degree (i.e., BA, BS, AB)",,,,,No,,No,Phone,No,,White/Caucasian,,No,,Financial services,,I take the bus more frequently,,No,,No,,,,No,No,No,,No,Yes,Married,Yes,,,,,No,,College or community college,,No,Yes,,,,No,No,,1,,Employed,,No,,,,,,,,No
Yes,No,7:00pm,,No,,MN12,,,Some college but degree not received or in progress,No,,,,No,,No,Online,No,,White/Caucasian,,No,,Retail,,,,No,No,No,,,,No,No,No,,No,Yes,Married,No,,No,,13749220549.0,No,,,,No,No,,No,,No,No,,1,,Employed,,No,,,,No,,,,No
,No,7.30 pm,,No,,QN50,,,"Associate degree (i.e., AA, AS)",No,,,,No,,No,Online,No,,Other,,No,,Retail,,,,No,No,No,,,,No,No,No,,No,Yes,Single,No,,,,13749279766.0,No,,,,No,Yes,,No,,No,No,MN24,1,,Employed,,No,,,,No,,,,No
,,,,,,,,,"Bachelor's degree (i.e., BA, BS, AB)",,,,,No,,,Online,,,Other,,,,,,,,,,,,,,,No,No,,No,,,,,,,13747297256.0,No,,,,,,,,,,No,,,,,,No,,,,,,,,
,No,730am,,No,,MN31,,,"Graduate degree (i.e., Master's, Professional, Doctorate)",No,,No,,No,,No,Online,No,,Black/ African American/ Caribbean American,,No,,Health Care/Social Assistance,,,,No,No,No,,,,No,No,No,,No,Yes,Single,Yes,,,,13748192479.0,No,,,,No,No,,No,,No,No,,1,,Employed,,No,,,,No,,,No,No
No,No,,,,,,,No,"High school graduate or equivalent (i.e., GED)",No,,,,No,,No,Online,No,,Other,,,No,,No,,,No,No,No,,,,No,No,No,,No,Yes,Married,No,,No,,13745341900.0,No,,College or community college,,No,No,,Yes,,,No,,,,Not in Labor Force,,No,,,,Yes,,Yes,,
,No,,,,,,,,"Associate degree (i.e., AA, AS)",No,,,,No,,No,Online,No,,White/Caucasian,,,,,,,,No,No,No,,,Yes,No,No,No,,No,Yes,Married,Yes,,,,13746141678.0,No,,,,No,No,,No,,,No,,,,Not in Labor Force,,No,,,,Yes,,,,
,No,,,,,,,,Some college but degree not received or in progress,,,,,No,,No,Online,No,,White/Caucasian,,,,,,I take the bus more frequently,,No,,No,,,,No,No,No,,No,Yes,Married,Yes,,,,13747195119.0,No,,,,No,No,,,,,No,,,,Not in Labor Force,,No,,,,No,,,,
,No,,,,,,,No,"Bachelor's degree (i.e., BA, BS, AB)",No,,,,No,,No,Online,No,,White/Caucasian,,,No,"Professional & Business Services (consulting, legal, marketing)",No,I take the bus less frequently,,No,No,No,,,,No,No,No,No,No,Yes,Divorced,Yes,,,,13745255884.0,No,,,,No,No,No,No,,,No,,,,Employed,,No,,,,No,,No,,
,,,,,No,,,,"Graduate degree (i.e., Master's, Professional, Doctorate)",No,,,,No,,No,Online,No,,Black/ African American/ Caribbean American,Yes,,,,,,,No,No,No,No,,No,No,No,No,,No,Yes,Single,Yes,No,,No,13747634925.0,No,,Graduate school,,No,No,,Yes,,,Yes,,,,Not in Labor Force,1.0,No,No,No,,,,,,
,No,7pm,,No,,MN23,,,"Bachelor's degree (i.e., BA, BS, AB)",,,,,No,,No,Online,No,,White/Caucasian,,No,,Other,,,,No,,No,,,,No,No,No,,No,Yes,Single,No,,,,13749320730.0,No,,,,No,No,,,,No,No,,1,,Employed,,No,,,,No,,,,No
Yes,No,,,,No,,,,"High school graduate or equivalent (i.e., GED)",No,,No,,No,,No,Online,No,,White/Caucasian,,,,,,,,No,No,No,,,,No,No,No,,No,Yes,Widowed,Yes,No,No,,13747848529.0,No,,,,No,Yes,,No,,,No,,,,Not in Labor Force,4.0,No,No,Yes,,Yes,,,No,
,,7:34,,No,No,BX41,,,"Bachelor's degree (i.e., BA, BS, AB)",No,,No,,No,,No,Online,No,,Two or more races,No,No,,Hospitality,,I take the bus less frequently,,Yes,No,No,No,,,Yes,No,No,,No,No,Single,No,No,,No,13747110217.0,No,,,,No,Yes,,Yes,,No,No,BX03,,,Employed,1.0,No,No,No,,,,,No,No
,,around 6 pm to 7 pm on some days,,No,,MN03,,,"Associate degree (i.e., AA, AS)",No,,,,No,,No,Online,No,,Black/ African American/ Caribbean American,No,No,,Other,,,,No,No,No,No,,,No,No,No,,No,No,Single,No,,,No,13746131331.0,No,,,,No,No,,No,,No,No,,1,,Employed,,No,,,,,,,,No
,,I get home a 6 pm.,,No,No,SI24,,No,"Bachelor's degree (i.e., BA, BS, AB)",No,,,,No,,No,Online,No,,Black/ African American/ Caribbean American,Yes,No,No,Retail,No,I take the bus the same amount,,No,No,No,No,,,No,No,No,,No,No,Single,Yes,No,No,No,13744912604.0,No,,,Staten Island,No,Yes,,No,,No,No,SI24,2,,Employed,2.0,No,No,No,,,,Yes,,No
,No,,,,,,,,"Graduate degree (i.e., Master's, Professional, Doctorate)",No,,,,No,,No,Online,No,No,White/Caucasian,,,,,,,,No,No,No,,,,No,No,No,,No,Yes,Single,Yes,,,,13748488398.0,No,Yes,,,No,No,,No,No,,No,,,,Not in Labor Force,,No,,,,No,,,,
,No,,,,,,,,"Bachelor's degree (i.e., BA, BS, AB)",No,,,,No,,No,Online,No,No,Asian,No,,,,,,,No,No,No,,,,No,No,No,,No,Yes,Single,No,,,,13745780140.0,No,No,Graduate school,,No,No,,No,No,,Yes,,,,Not in Labor Force,,No,,,,No,,,,
,No,6:00 PM,,No,,MN24,,,"Bachelor's degree (i.e., BA, BS, AB)",Yes,,,,No,,No,Online,No,,White/Caucasian,,No,,Other,,I take the bus the same amount,,No,No,No,,,,No,No,No,,No,Yes,Single,No,,,,13744930942.0,No,,,,No,No,,No,,No,No,,1,,Employed,,No,,,,No,,,,No
,No,,,,,,,,Some college but degree not received or in progress,No,,,,No,,No,Online,No,,Asian,,,,,,,,No,No,No,,,,No,No,No,,No,Yes,Single,No,,,,13747547172.0,No,,College or community college,,No,No,,Yes,,,Yes,,,,Not in Labor Force,,No,,,,No,,,,
,No,,,,,,,,"Associate degree (i.e., AA, AS)",No,,No,,No,,No,Online,No,,Black/ African American/ Caribbean American,,,,,,,,No,No,No,,,,No,No,No,,No,Yes,Single,Yes,,,,13747200373.0,No,,College or community college,,No,No,,Yes,,,No,,,,Unemployed,,No,,,,No,,,No,
,No,,,,,,,,"Bachelor's degree (i.e., BA, BS, AB)",No,,,,No,,No,Online,No,,White/Caucasian,,,,,,I take the bus the same amount,,No,No,No,,,,No,No,No,,No,No,Widowed,No,,,,13746813406.0,No,,,,No,No,,No,,,No,,,,Not in Labor Force,,No,,,,No,,,,
,,,,,,,,,Some college but degree not received or in progress,No,,,,No,,No,Phone,No,No,White/Caucasian,,,,,,,,No,No,No,,,,No,No,No,,No,Yes,Married,No,,,,,No,Yes,,,No,No,,No,No,,No,,,,Not in Labor Force,,No,,,,,,,,
Yes,,APPROXIMATELY 6 HOURS DAILY.,,No,,MN09,,,"Graduate degree (i.e., Master's, Professional, Doctorate)",No,No,,,No,,Yes,Online,No,,White/Caucasian,Yes,No,,Other,,I take the bus less frequently,,No,No,No,No,,,No,No,No,,No,No,Married,No,,No,No,13746127373.0,No,,,,No,No,,No,,No,No,MN11,,Yes,Employed,,No,,,,,,,,No
,,6pm,,No,,SI48,,,Some college but degree not received or in progress,No,,No,,No,,No,Online,No,,White/Caucasian,,No,,,,,,No,No,No,,,,No,No,No,,No,No,Single,No,,,,13747597118.0,No,,College or community college,,No,No,,No,,No,No,SI48,1,,Employed,,No,,,,,,,No,No
,,,,,,,,,Some college but degree not received or in progress,No,,,,No,,No,Phone,No,No,White/Caucasian,,,,,,,,No,No,No,,,,No,No,No,,No,Yes,Married,No,,,,,No,Yes,,,No,Yes,,No,No,,No,,,,Not in Labor Force,,No,,,,,,,,
,No,,,,,,,,"Bachelor's degree (i.e., BA, BS, AB)",No,,,,No,,No,Online,No,,White/Caucasian,No,,,,,I take the bus the same amount,,No,No,No,,,,No,No,No,,No,Yes,Married,No,,,,13749331169.0,No,,,,No,No,,Yes,,,No,,,,Not in Labor Force,,No,,,,No,,,,
,No,,No,,No,,,,"Graduate degree (i.e., Master's, Professional, Doctorate)",No,No,,,No,No,No,Online,No,No,Asian,,,,Arts & Entertainment,,I take the bus the same amount,,No,No,No,,,,No,No,No,,No,Yes,Married,No,No,,,13747145007.0,No,No,,,No,No,,No,No,,No,,1,No,Employed,2.0,No,No,No,,No,,,,
No,No,6pm,,No,No,QN44,,No,"Bachelor's degree (i.e., BA, BS, AB)",No,,No,,No,,No,Online,No,,Asian,,No,No,Government,No,I take the bus less frequently,,No,No,No,,,,No,No,No,,No,No,Married,No,No,,,13749323991.0,No,,,,Yes,No,,No,,No,No,,1,,Employed,2.0,No,No,No,,Yes,,Yes,No,No
,No,6:30PM,,No,,MN20,,,"Bachelor's degree (i.e., BA, BS, AB)",,,No,,No,,No,Online,No,,White/Caucasian,,Yes,,Media,,,,No,,No,,,,No,No,No,,No,Yes,Single,No,,,,13749327035.0,No,,,Manhattan,No,No,,,,No,No,MN20,3 or more,,Employed,,No,,,,Yes,,,No,No
,,,,,,,,Yes,"Graduate degree (i.e., Master's, Professional, Doctorate)",No,,,,No,,No,Online,No,No,Other,,,Yes,,No,I take the bus less frequently,,Yes,No,No,,,Yes,No,No,No,Yes,No,Yes,Single,No,,,,13747802389.0,No,No,,,No,No,No,No,No,,No,,,,Other,,No,,,,,,No,,
No,,6PM,,No,,,,,"Graduate degree (i.e., Master's, Professional, Doctorate)",No,,,,No,,No,Phone,No,No,White/Caucasian,,No,,Health Care/Social Assistance,,,,No,No,No,,,,No,No,No,,No,Yes,Married,Yes,,No,,,No,No,,,No,No,,No,No,No,No,,1,,Employed,,No,,,,,,,,No
,No,,,,No,,,,"High school graduate or equivalent (i.e., GED)",No,,,,No,,No,Online,No,,White/Caucasian,,,,,,I take the bus more frequently,,No,No,No,,,,No,No,No,,No,Yes,Single,No,No,No,,13747795464.0,No,,High school or GED program,,No,No,,Yes,,,Yes,,,,Not in Labor Force,2.0,No,No,Yes,,No,,,,
,No,,,,No,,,No,"Bachelor's degree (i.e., BA, BS, AB)",No,,No,,No,,No,Online,No,,Black/ African American/ Caribbean American,No,,Yes,Manufacturing,Yes,I take the bus more frequently,,No,No,Yes,,,,No,No,No,,No,No,Single,No,No,,,13747506910.0,No,,,,Yes,No,,No,,,No,,,,Employed,1.0,No,No,No,,Yes,,No,No,
,No,,,,No,,,,"Graduate degree (i.e., Master's, Professional, Doctorate)",No,,No,,No,,No,Online,No,No,White/Caucasian,No,,,,,I take the bus more frequently,,No,No,No,,,,No,No,No,,No,Yes,Married,Yes,No,,,13747155104.0,No,No,,,No,Yes,,No,No,,No,,,,Not in Labor Force,2.0,No,No,No,,No,,,No,
,,,,,,,,,"Graduate degree (i.e., Master's, Professional, Doctorate)",,,,,No,,No,Online,No,,Other,,,,,,,,No,,No,,,,No,No,No,,No,No,,Yes,,,,13748935898.0,No,,Graduate school,,No,,,,,,No,,,,Unemployed,,No,,,,,,,,
,No,5,,No,,QN26,No,No,"Bachelor's degree (i.e., BA, BS, AB)",No,,,No,No,,No,Online,No,,Black/ African American/ Caribbean American,,No,Yes,Education,No,,,No,No,No,,,,No,No,No,,No,Yes,Single,No,,No,,13747508604.0,No,,,,No,No,,Yes,,No,No,,1,,Employed,,No,,,,No,,Yes,,No
,No,12am,,No,No,MN17,,,Some college but degree not received or in progress,No,,,,No,,No,Online,No,,White/Caucasian,No,Yes,,Hospitality,,,,No,No,No,,,,No,No,No,,No,Yes,Single,No,No,,,13748904676.0,No,,College or community college,,No,No,,Yes,,No,Yes,MN27,,,Employed,1.0,No,No,No,,Yes,,,,No
,No,,,,,,,,Some college but degree not received or in progress,Yes,,,,No,,No,Online,No,No,White/Caucasian,,,,,,,,No,No,No,,,,No,No,No,,No,Yes,Single,Yes,,,,13748978367.0,No,Yes,,,No,Yes,,No,No,,No,,,,Not in Labor Force,,No,,,,No,,,,
,Yes,,,,No,,,,"High school graduate or equivalent (i.e., GED)",No,,,,No,,No,Phone,No,,Other,No,,,,,I take the bus more frequently,,No,No,Yes,,,,No,No,No,,No,Yes,Single,No,No,,,,No,,,,No,No,,No,,,No,,,,Not in Labor Force,1.0,No,No,No,,No,,,,
,,,,,No,,,,Some college but degree not received or in progress,No,,,,No,,No,Online,No,,Black/ African American/ Caribbean American,Yes,,,,,,,No,No,No,No,,,No,No,No,,No,Yes,Married,No,No,,No,13746903710.0,No,,,,No,Yes,,Yes,,,No,,,,Other,1.0,No,No,No,,,,,,
,No,630pm,,Yes,,MN19,,No,"Bachelor's degree (i.e., BA, BS, AB)",No,,,,No,,No,Online,No,No,White/Caucasian,,No,Yes,Real estate,No,I take the bus more frequently,,No,No,No,,,Yes,No,No,No,,No,Yes,Single,Yes,,,,13749317350.0,No,No,,,No,No,,No,No,No,No,,1,,Employed,,No,,,,No,,No,,No
,No,,,,,,,,"Bachelor's degree (i.e., BA, BS, AB)",No,,No,,No,,No,Phone,No,No,Black/ African American/ Caribbean American,,,,,,,,No,No,No,,,Yes,No,No,No,,No,Yes,Married,Yes,,,,,No,Yes,,,No,Yes,,No,No,,No,,,,Not in Labor Force,,No,,,,No,,,No,
,No,5 p.m.,,No,,MN17,,,"Bachelor's degree (i.e., BA, BS, AB)",No,,,,No,,No,Online,No,No,Asian,,Yes,,Government,,,,No,No,No,,,,No,No,No,,No,Yes,Married,No,,,,13749321708.0,No,No,,,No,No,,No,No,Yes,No,,1,,Employed,,No,,,,No,,,,No
,,,,,No,,,,Some high school,No,,,,No,,Yes,Online,No,,Other,,,,,,I take the bus the same amount,,Yes,No,Yes,,,,Yes,No,No,,No,Yes,Single,No,No,No,,13746210802.0,No,,,,No,No,,No,,,No,,,,Unemployed,1.0,No,No,No,,,,,,
,,,,,,,,No,"Bachelor's degree (i.e., BA, BS, AB)",No,,,,No,,No,Phone,No,,Black/ African American/ Caribbean American,,,Yes,,No,,,No,No,Yes,,,,No,No,No,,No,Yes,Married,No,,,,,No,,Other,,No,No,,No,,,No,,,,Not in Labor Force,,No,,,,,,No,,
,,,,,,,,,"High school graduate or equivalent (i.e., GED)",No,,,,No,,No,Online,No,,White/Caucasian,,,,,,,,No,No,No,,,Yes,No,No,No,,No,Yes,Widowed,Yes,,,,13745792652.0,No,,,,No,No,,No,,,No,,,,Not in Labor Force,,No,,,,,,,,
,No,7PM,,No,,MN24,,,"Bachelor's degree (i.e., BA, BS, AB)",No,,,,No,,No,Online,No,,Asian,,No,,Other,,,,No,No,No,,,,No,No,No,,No,No,Single,No,,,,13746732494.0,No,,,,No,No,,Yes,,No,No,,1,,Employed,,No,,,,No,,,,No
,No,7PM,,No,,MN31,,,"Graduate degree (i.e., Master's, Professional, Doctorate)",No,,,,No,,No,Online,No,,White/Caucasian,No,No,,Arts & Entertainment,,I take the bus the same amount,,No,No,No,,,Yes,No,No,No,,No,No,Married,No,,,,13748968960.0,No,,,,No,Yes,,No,,Yes,No,MN15,0,,Employed,,No,,,,Yes,,,,No
,No,,,,,,,,Some college but degree not received or in progress,No,,,,No,,No,Online,No,No,Black/ African American/ Caribbean American,No,,,,,,,No,No,No,,,,No,No,No,,No,Yes,Single,No,,,,13746932606.0,No,No,College or community college,,No,No,,No,No,,No,,,,Not in Labor Force,,No,,,,No,,,,
,,7AM,,No,No,,,,"High school graduate or equivalent (i.e., GED)",No,,,,No,,No,Phone,No,No,Refused,No,No,,Other,,I take the bus the same amount,,No,No,No,No,,,No,No,No,,No,Yes,Single,No,No,No,No,,No,Yes,,,No,No,,No,No,No,No,,1,,Employed,1.0,No,No,Yes,,,,,,No
,No,7,,Yes,,MN19,,No,"High school graduate or equivalent (i.e., GED)",No,,,,No,,No,Online,No,,Asian,,No,Yes,,No,I take the bus the same amount,,No,No,No,,,,No,No,No,,No,Yes,Married,No,,,,13745775345.0,No,,,,No,No,,No,,No,No,,1,,Employed,,No,,,,Yes,,No,,No
,,4:00 PM,,No,,,,,Some college but degree not received or in progress,No,,,,No,,No,Phone,No,No,White/Caucasian,,No,,Education,,,,No,No,No,,,,No,No,No,,No,Yes,Widowed,Yes,,,,,No,Yes,,,No,Yes,,No,No,No,No,,1,,Employed,,No,,,,,,,,No
,,,,,,,,No,"Graduate degree (i.e., Master's, Professional, Doctorate)",No,,,,No,,No,Online,No,No,White/Caucasian,,,No,,No,I take the bus less frequently,,No,No,No,,,No,No,No,No,Yes,No,Yes,Living in a committed partnership,No,,,,13746278252.0,No,No,,,No,,No,No,No,,No,,,,Not in Labor Force,,No,,,,,,Yes,,
,,,,,,,,,"High school graduate or equivalent (i.e., GED)",No,,,,No,,No,Phone,No,No,White/Caucasian,,,,,,,,No,No,No,,,,No,No,No,,No,Yes,Widowed,No,,,,,No,Yes,,,No,No,,No,No,,No,,,,Not in Labor Force,,No,,,,,,,,
Yes,Yes,4:30pm,,No,No,QN38,,,"Graduate degree (i.e., Master's, Professional, Doctorate)",No,,,,No,,No,Online,No,No,Black/ African American/ Caribbean American,No,No,,Education,,I take the bus more frequently,,No,No,No,,,,No,No,No,,No,Yes,Married,Yes,No,No,,13746198905.0,No,Yes,,,No,No,,No,No,No,No,,1,,Employed,2.0,No,No,No,,No,,,,No
,No,,,,No,,,,"Bachelor's degree (i.e., BA, BS, AB)",No,,,,No,,No,Online,No,No,White/Caucasian,,,,,,I take the bus the same amount,,No,No,No,,,,No,No,No,,No,Yes,Married,Yes,No,,,13745797033.0,No,No,,,No,Yes,,No,No,,No,,,,Not in Labor Force,1.0,No,No,No,,Yes,,,,
,No,,,,,,,No,"High school graduate or equivalent (i.e., GED)",No,,,,No,,No,Online,No,,Black/ African American/ Caribbean American,,,Yes,,No,I take the bus the same amount,,No,No,No,,,,No,No,No,,No,Yes,Widowed,Yes,,,,13745175591.0,No,,,,No,Yes,,No,,,No,,,,Not in Labor Force,,No,,,,No,,No,,
,,,,,,,,,"Graduate degree (i.e., Master's, Professional, Doctorate)",No,,,,No,,No,Phone,No,,Asian,,,,,,,,No,No,No,,,,No,No,No,,No,Yes,Single,No,,,,,No,,,,No,No,,No,,,No,,,,Not in Labor Force,,No,,,,,,,,
,No,,,,No,,,,Some college but degree not received or in progress,No,,,,No,,Yes,Online,No,,White/Caucasian,No,,,,,,,Yes,No,Yes,,,,No,No,No,,No,Yes,Living in a committed partnership,No,No,No,,13747062976.0,No,,,,No,No,,No,,,No,,,,Not in Labor Force,1.0,No,No,No,,No,,,,
,No,PM,,No,No,BX37,,,Some high school,No,,,,No,,No,Online,No,No,Other,No,Yes,,Other,,,,No,No,No,,,,No,No,No,,No,Yes,Single,No,No,,,13746288156.0,No,No,,,No,No,,No,No,No,No,,,,Employed,1.0,No,No,No,,No,,,,No
,No,8PM,,No,,MN25,,,"Graduate degree (i.e., Master's, Professional, Doctorate)",No,,,,No,,No,Online,No,,Asian,,No,,Non-profit,,I take the bus the same amount,,No,No,No,,,,No,No,No,,No,Yes,Living in a committed partnership,No,,,,13747715316.0,No,,,,No,No,,Yes,,No,No,,1,,Employed,,No,,,,No,,,,No
,No,,,,No,,,,Some college but degree not received or in progress,No,,,,No,,No,Online,No,,Black/ African American/ Caribbean American,,,,,,,,No,No,No,,,,No,No,No,,No,Yes,Single,No,No,,,13745776918.0,No,,,,No,No,,No,,,No,,,,Not in Labor Force,2.0,No,No,Yes,,No,,,,
