address_1,senior_care_community_number_1,residence_hall_dormitory,state_province,worship_facility_gross_floor,supermarket_grocery_gross,census_tract,senior_care_community_number_2,energy_alerts,data_center_pdu_input_site,hotel_amount_of_laundry,estimated_data_flag_other,estimated_data_flag_natural,hospital_general_medical_5,senior_care_community_number_3,national_median_site_eui,refrigerated_warehouse_gross,site_energy_use_kbtu,weather_normalized_source,multifamily_housing_number_3,multifamily_housing_gross,supermarket_grocery_worker,supermarket_grocery_number_1,residence_hall_dormitory_4,hospital_general_medical,electricity_sourced_from,estimated_data_flag_diesel,bank_branch_worker_density,retail_store_gross_floor,multifamily_housing_maximum,k_12_school_cooking_facilities,multifamily_housing_number_4,medical_office_number_of,supermarket_grocery_percent,outdoor_water_use_all_water,hotel_gym_fitness_center,hotel_full_service_spa_floor,medical_office_percent_that,retail_store_number_of_walk,estimated_data_flag_fuel_1,supermarket_grocery_walk,supermarket_grocery_weekly,source_energy_use_kbtu,multifamily_housing_primary,bank_branch_weekly_operating,retail_store_exterior_entrance,data_center_national_median,k_12_school_refrigeration,percent_better_than_national,bank_branch_number_of_workers
733  Third  Avenue,Not Available,Not Available,New York,Not Available,Not Available,90.0,Not Available,Data > 120 days old<br>,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,127.1,Not Available,35087805,235.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,83277017,Not Available,Not Available,Not Available,1.82,Not Available,-23.9,Not Available
3126 Jericho Turnpike,Not Available,Not Available,New York,Not Available,78717,,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,254.1,Not Available,13739362.4,460,Not Available,Not Available,0.75,25,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,70,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.19,168,36006351.6,Not Available,Not Available,Not Available,Not Available,Not Available,-31.3,Not Available
150 Brighton 15th St.,Not Available,Not Available,New York,Not Available,Not Available,61004.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,4171656.9,102.3,89,61490,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6,Not Available,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,6290849.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1355 E 18th,Not Available,Not Available,New York,Not Available,Not Available,,Not Available,Data > 120 days old<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,8281833.2,152.4,82,81720,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6,Not Available,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11731622.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
125 West 22nd St,Not Available,Not Available,New York,Not Available,Not Available,91.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,3440712.5,102.2,33,71930,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,13,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7217361.6,Natural Gas,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
600 Madison Avenue,Not Available,Not Available,New York,Not Available,Not Available,11202.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,112.7,Not Available,32966271.4,229.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,77343786.5,Not Available,Not Available,Not Available,Not Available,Not Available,-12.1,Not Available
350 5th Ave.,Not Available,Not Available,New York,Not Available,Not Available,76.0,Not Available,Data > 120 days old<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,119.5,Not Available,205091829.6,195.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,25688,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1,Not Available,Not Available,Not Available,503043678.4,Not Available,Not Available,1,Not Available,Not Available,-37.6,Not Available
2795 Richmond Ave,Not Available,Not Available,New York,Not Available,79667,27702.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,245.4,Not Available,13495375.7,463.7,Not Available,Not Available,0.74,39,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,70,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.19,168,36961684.5,Not Available,Not Available,Not Available,Not Available,Not Available,-31,Not Available
5716 Broadway,Not Available,Not Available,New York,Not Available,46353,283.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,238.9,Not Available,8650693.9,505.1,Not Available,Not Available,0.76,43,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,70,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.19,168,23256140,Not Available,Not Available,Not Available,Not Available,Not Available,-21.9,Not Available
250 Park Avenue,Not Available,Not Available,New York,Not Available,Not Available,207.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,3183456.4,81.1,72,56100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,73,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4109973.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
379 WEST 12TH STREET,Not Available,Not Available,New York,Not Available,Not Available,79.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,9434266,147.2,148,123646,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9,Not Available,171,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17879346.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
271-11 76th Ave,1,Not Available,New York,Not Available,Not Available,155102.0,688,Data > 120 days old<br>,Not Available,Not Available,Not Available,No,Not Available,30,194.1,Not Available,74495163.4,333.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,130921131.2,Not Available,Not Available,Not Available,Not Available,Not Available,0.5,Not Available
215 East 77th Street,Not Available,Not Available,New York,Not Available,Not Available,134.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,30,23193,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8,Not Available,30,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Natural Gas,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
215 East 80th Street,Not Available,Not Available,New York,Not Available,Not Available,138.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,12214932.4,124.9,146,154301,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,13,Not Available,238,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18262482.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2307 BEVERLEY RD,Not Available,Not Available,New York,Not Available,Not Available,792.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,82.8,Not Available,10379830.5,136.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,187823,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,25979768.9,Not Available,Not Available,1,Not Available,Not Available,-33.3,Not Available
1 Arden Street,Not Available,Not Available,New York,Not Available,1000,285.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,5657059,127.9,88,63625,4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4600,6,Not Available,132,Not Available,100,Not Available,Not Available,Not Available,Not Available,0,No,1,60,8854784.4,Not Available,Not Available,1,Not Available,Not Available,Not Available,Not Available
154 Westchester Ave,Not Available,Not Available,New York,Not Available,70444,,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,239.5,Not Available,13128016.3,505.8,Not Available,Not Available,0.75,48,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,70,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.18,168,35850966.4,Not Available,Not Available,Not Available,Not Available,Not Available,-22.2,Not Available
381 Park Avenue South,Not Available,Not Available,New York,Not Available,Not Available,68.0,Not Available,Less than 1 year of data<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,68,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
120 East 90th Street,Not Available,Not Available,New York,Not Available,Not Available,14802.0,Not Available,Data > 120 days old<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,7665309.7,152.8,105,77520,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9372,15,Not Available,94,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,13266309.6,Fuel Oil (No. 5 and No. 6),Not Available,1,Not Available,Not Available,Not Available,Not Available
212 5th Avenue,Not Available,Not Available,New York,Not Available,Not Available,58.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,68,Not Available,4887842.8,37.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6794465.7,Not Available,Not Available,Not Available,Not Available,Not Available,-60.5,Not Available
114  West  47th  st,Not Available,Not Available,New York,Not Available,Not Available,125.0,Not Available,Data > 120 days old<br>,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,99.3,Not Available,36280314.8,181.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.74,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,103862023,Not Available,84,Not Available,1.82,Not Available,-36.2,600
880 Thieriot Ave.,Not Available,Not Available,New York,Not Available,Not Available,42.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,21535762,182.7,157,176434,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16,Not Available,342,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,32838487.6,Fuel Oil (No. 5 and No. 6),Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
535 Madison Avenue,Not Available,Not Available,New York,Not Available,Not Available,102.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,101.2,Not Available,33981860,207.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.2,10036,Not Available,Not Available,Not Available,Not Available,Not Available,278143.8,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,99456007.5,Not Available,70,1,1.82,Not Available,-29,567
29 W 57th St,Not Available,Not Available,New York,Not Available,Not Available,11201.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,102.1,Not Available,5583129.8,210.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6930,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,12192309,Not Available,Not Available,1,Not Available,Not Available,-7,Not Available
110 WEST 40TH STREET,Not Available,Not Available,New York,Not Available,Not Available,113.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,103.7,Not Available,8704604.8,145.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,20452519.8,Not Available,Not Available,Not Available,Not Available,Not Available,-38.7,Not Available
475 Park Avenue,Not Available,Not Available,New York,Not Available,Not Available,11203.0,Not Available,Data > 120 days old<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,8977694.1,135.9,62,116578,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4995,16,Not Available,110,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,17103278.9,District Steam,Not Available,1,Not Available,Not Available,Not Available,Not Available
275 Madison Avenue,Not Available,Not Available,New York,Not Available,Not Available,82.0,Not Available,Data > 120 days old<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,135.8,Not Available,30747436.1,201.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.47,13610,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2,Not Available,Not Available,Not Available,65160721.7,Not Available,100,1,Not Available,Not Available,-30.3,20
4170 Carpenter Avenue,Not Available,Not Available,New York,Not Available,Not Available,420.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,3055101.7,155.1,51,30000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5,Not Available,53,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4264089.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
130 Fulton Street,Not Available,Not Available,New York,Not Available,Not Available,1502.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,4252936.5,105.8,21,70426,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,13,Not Available,40,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8168101.4,Natural Gas,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
49 Fulton Street,Not Available,Not Available,New York,Not Available,Not Available,1501.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,21723645.4,162.4,251,223674,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,21,Not Available,276,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34438547.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
182-30 WEXFORD TERR PLPM,Not Available,Not Available,New York,Not Available,Not Available,472.0,Not Available,Data > 120 days old<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,16645914.1,146.2,217,184886,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,498,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,25491476.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
320 East 43rd Street,Not Available,Not Available,New York,Not Available,Not Available,88.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,96.6,Not Available,20296581.2,177.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,51740499,Not Available,Not Available,Not Available,1.82,Not Available,-26.9,Not Available
154 Nassau St,Not Available,Not Available,New York,Not Available,Not Available,1501.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,104,Not Available,73741440.4,239.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,149286570.1,Not Available,Not Available,Not Available,Not Available,Not Available,12.8,Not Available
1710 Broadway,Not Available,Not Available,New York,Not Available,Not Available,137.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,68,Not Available,6084976.1,180,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8835,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,12980629.4,Not Available,Not Available,1,Not Available,Not Available,22.3,Not Available
406-426 East 62nd street,Not Available,Not Available,New York,Not Available,Not Available,10602.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,10,Not Available,6241811.3,85.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17430483.3,Not Available,Not Available,Not Available,Not Available,Not Available,223,Not Available
120 Riverside Blvd,Not Available,Not Available,New York,Not Available,Not Available,151.0,Not Available,Data > 120 days old<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,31591456.2,158.7,279,386090,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18,Not Available,527,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,59834246.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
22-24 78th Street,Not Available,Not Available,New York,Not Available,Not Available,317.0,Not Available,Data > 120 days old<br>Temporary values used for meter entries<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,4730157.8,116.4,48,64416,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3,Not Available,72,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6968474.4,Natural Gas,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
449 Portion Rd,Not Available,Not Available,New York,Not Available,79844,,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,252.7,Not Available,14105663.4,468.7,Not Available,Not Available,0.75,33,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,70,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.19,168,37133184,Not Available,Not Available,Not Available,Not Available,Not Available,-30.1,Not Available
44 Gramercy Park North,Not Available,Not Available,New York,Not Available,Not Available,68.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,6204943.8,73.1,67,93280,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18,Not Available,95,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6821280.7,Fuel Oil (No. 5 and No. 6),Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
55 East 59th Street,Not Available,Not Available,New York,Not Available,Not Available,11401.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,96.6,Not Available,21463596.2,214.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5010,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,63474548.5,Not Available,Not Available,1,Not Available,Not Available,-24.9,Not Available
2850 West 24th Street,Not Available,Not Available,New York,Not Available,Not Available,326.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,14579349.1,254.3,172,147001,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16,Not Available,288,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34037055,Natural Gas,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
20-02 thru 20-12 Seagirt Blvd,Not Available,Not Available,New York,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,10506039.4,64.3,258,214701,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6,Not Available,284,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,14169847.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
35 Gordon Street,Not Available,Not Available,New York,Not Available,Not Available,21.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,3702583.9,101.1,65,56427,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4,Not Available,66,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5185982.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1025 Fifth Avenue,Not Available,Not Available,New York,Not Available,Not Available,142.0,Not Available,Data > 120 days old<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,22758460.6,147.6,154,284443,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,13,Not Available,339,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,41548923.6,District Steam,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1009 Flatbush Ave.,Not Available,Not Available,New York,Not Available,60532,794.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,239.9,Not Available,13835870,617,Not Available,Not Available,0.74,36,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,70,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.18,168,37396962.8,Not Available,Not Available,Not Available,Not Available,Not Available,-4.7,Not Available
246 West 17th Street,Not Available,Not Available,New York,Not Available,Not Available,81.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,4291779.9,126.5,34,75027,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11,Not Available,98,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9031134,Natural Gas,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1238 Simpson St,Not Available,Not Available,New York,Not Available,Not Available,125.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,7636694.3,181.5,85,67986,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8,Not Available,151,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11427538.9,Natural Gas,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
130 8th Avenue,Not Available,Not Available,New York,Not Available,Not Available,157.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,4815153.1,138.4,Not Available,56000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7326561.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
247 West 46th Street,Not Available,Not Available,New York,Not Available,Not Available,125.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,19017012.2,140.9,220,307057,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6183,46,Not Available,406,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,43577815.9,Natural Gas,Not Available,1,Not Available,Not Available,Not Available,Not Available
16 West 36th Street,Not Available,Not Available,New York,Not Available,Not Available,84.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,118.1,Not Available,3061693.9,98,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5956841,Not Available,Not Available,Not Available,Not Available,Not Available,-56.3,Not Available
1633 Broadway,Not Available,Not Available,New York,Not Available,Not Available,131.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,126.6,Not Available,284941850.2,236.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,672474780.6,Not Available,Not Available,Not Available,Not Available,Not Available,-20.7,Not Available
300 Riverside Drive,Not Available,Not Available,New York,Not Available,Not Available,191.0,Not Available,Data > 120 days old<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,11687202.3,80.7,114,204525,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,14,Not Available,214,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16598138.3,Fuel Oil (No. 5 and No. 6),Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
421 Commack Rd.,Not Available,Not Available,New York,Not Available,66559,,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,246.2,Not Available,14649948.5,577.5,Not Available,Not Available,0.75,43,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,70,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.18,168,38471475.7,Not Available,Not Available,Not Available,Not Available,Not Available,-10.6,Not Available
1 Central Park West,Not Available,Not Available,New York,Not Available,Not Available,145.0,Not Available,Data > 120 days old<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,90.2,Not Available,92203312.5,157.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,168558136.2,Not Available,Not Available,Not Available,Not Available,Not Available,-2,Not Available
115 East 9th Street,Not Available,Not Available,New York,Not Available,Not Available,42.0,Not Available,Data > 120 days old<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,18482165.7,120.4,250,237037,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18000,20,Not Available,360,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1,Not Available,Not Available,Not Available,31485475,Fuel Oil (No. 5 and No. 6),Not Available,1,Not Available,Not Available,Not Available,Not Available
