property_name,city,swimming_pool_location_of,retail_store_number_of_open,retail_store_worker_density,senior_care_community_gross,target_site_eui_kbtu_ft,hotel_number_of_rooms,k_12_school_weekend_operation,hospital_general_medical_3,energy_star_certification_4,electricity_use_grid_purchase_1,swimming_pool_months_in_use,multifamily_housing_number_1,energy_current_date,natural_gas_use_kbtu,supermarket_grocery_cooking,data_center_it_site_energy,fuel_oil_4_use_kbtu,district_hot_water_use_kbtu,space_alerts,office_gross_floor_area_ft,avoided_emissions_offsite,estimated_data_flag_district_2,refrigerated_warehouse_weekly,swimming_pool_approximate,energy_star_certification_2,fuel_oil_2_use_kbtu,custom_property_id_1_id,multifamily_housing_percent,hospital_general_medical_4,bank_branch_percent_that,office_computer_density_number,hotel_room_density_number,hotel_worker_density_number,office_percent_that_can_be,longitude,multifamily_housing_number_2,property_floor_area_buildings,county,year_built,natural_gas_use_therms,senior_care_community_maximum,data_center_gross_floor_area,non_refrigerated_warehouse,district_steam_use_kbtu,supermarket_grocery_number,nta,estimated_data_flag,worship_facility_computer,residence_hall_dormitory_3,multifamily_housing_number,release_date,multifamily_housing_government,worship_facility_cooking,bbl,borough,energy_star_certification,non_refrigerated_warehouse_5,non_refrigerated_warehouse_4,total_ghg_emissions_mtco2e
590 Five Corp,Bronx,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,274031,Not Available,0,31-DEC-12,794000,Not Available,Not Available,4490104.94,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,2004293,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.90436,0,66078,BRONX,1940,7940,Not Available,Not Available,Not Available,Not Available,Not Available,Morrisania-Melrose,No,Not Available,Not Available,0,2013-05-31T16:08:44.000,0,Not Available,2026140061.0,BRONX,Not Available,Not Available,Not Available,460.35
575 Fifth Avenue,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,28-NOV-11,9634400,Not Available,Not Available,31-MAR-13,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,486326,Not Available,Not Available,Not Available,Not Available,Application - Label Sent (16-DEC-11),Not Available,Not Available,Not Available,Not Available,Not Available,3.27,Not Available,Not Available,100,-73.978206,Not Available,529456,NEW YORK,1984,Not Available,Not Available,Not Available,Not Available,4299518.65,Not Available,Midtown-Midtown South,No,Not Available,Not Available,Not Available,2013-05-31T10:34:46.000,Not Available,Not Available,1012827501.0,MANHATTAN,Not Available,Not Available,Not Available,3425.77
595 Madison Avenue,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,4883741.9,Not Available,Not Available,31-DEC-12,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,303618,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1036061,Not Available,Not Available,Not Available,2.47,Not Available,Not Available,100,-73.97228,Not Available,303618,NEW YORK,1929,Not Available,Not Available,Not Available,Not Available,7315467.72,Not Available,Midtown-Midtown South,No,Not Available,Not Available,Not Available,2013-05-28T05:53:25.000,Not Available,Not Available,1012930026.0,MANHATTAN,Not Available,Not Available,Not Available,2142.03
0558 East Northport,East Northport,Not Available,Not Available,Not Available,Not Available,196.8,Not Available,Not Available,Not Available,Not Available,2518817.1,Not Available,Not Available,28-FEB-13,2951032.86,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,64673,SUFFOLK,Not Available,29510.3,Not Available,Not Available,Not Available,Not Available,12,,No,Not Available,Not Available,Not Available,2013-05-15T06:33:10.000,Not Available,Not Available,,,Not Available,Not Available,Not Available,1784.56
303 East 43rd Street - International Plaza,New York,Not Available,0,1.04,Not Available,0,Not Available,Not Available,Not Available,Not Available,813138,Not Available,6,31-DEC-12,6517165.37,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1038674,90,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.971372,0,120905,NEW YORK,1983,65171.7,Not Available,Not Available,Not Available,Not Available,Not Available,Turtle Bay-East Midtown,No,Not Available,Not Available,156,2013-05-31T12:02:12.000,0,Not Available,1013367501.0,MANHATTAN,Not Available,Not Available,Not Available,607.2
0543 W Babylon,W Babylon,Not Available,Not Available,Not Available,Not Available,198.4,Not Available,Not Available,Not Available,Not Available,2900203.1,Not Available,Not Available,31-JAN-13,3443622.43,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,71533,SUFFOLK,Not Available,34436.2,Not Available,Not Available,Not Available,Not Available,13,,No,Not Available,Not Available,Not Available,2013-05-15T06:33:10.000,Not Available,Not Available,,,Not Available,Not Available,Not Available,2057.2
251 West 81st Street,New York,Not Available,3,4.55,Not Available,0,Not Available,Not Available,Not Available,Not Available,661272,Not Available,5,31-DEC-12,3929739.92,Not Available,Not Available,0,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1032673,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.979439,20,46212,NEW YORK,1912,39297.4,Not Available,Not Available,Not Available,Not Available,Not Available,Upper West Side,No,Not Available,Not Available,8,2013-05-07T05:50:31.000,0,Not Available,1012290008.0,MANHATTAN,Not Available,Not Available,Not Available,420.9
2551 Hampt Bays,Hampt Bays,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,2004480,Not Available,Not Available,28-FEB-13,3992012.99,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,49135,SUFFOLK,Not Available,39920.1,Not Available,Not Available,Not Available,Not Available,9,,No,Not Available,Not Available,Not Available,2013-05-15T06:33:10.000,Not Available,Not Available,,,Not Available,Not Available,Not Available,1507.59
3463 3RD ave LLC,bronx,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,803179.6,Not Available,0,31-DEC-12,6818300,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,2098317,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.906407,0,144730,BRONX,2000,68183,Not Available,Not Available,Not Available,Not Available,Not Available,Claremont-Bathgate,No,Not Available,Not Available,0,2013-05-31T16:08:44.000,0,Not Available,2023720041.0,BRONX,Not Available,Not Available,Not Available,620.03
28 - 235 West 76th,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,1072939.6,Not Available,6,31-DEC-12,165383.05,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,3856844.11,1030859,70,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.981512,76,172465,NEW YORK,1925,1653.8,Not Available,Not Available,Not Available,Not Available,Not Available,Upper West Side,No,Not Available,Not Available,61,2013-04-29T05:01:50.000,0,Not Available,1011680010.0,MANHATTAN,Not Available,Not Available,Not Available,986.2
"Noonan Towers Co., LLC",Bronx,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,687457.8,Not Available,8,31-DEC-12,475435.29,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,2098788,90,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.92925,0,196432,BRONX,1928,4754.4,Not Available,Not Available,Not Available,Not Available,Not Available,Highbridge,No,Not Available,Not Available,0,2013-06-17T07:12:30.000,0,Not Available,2025110022.0,BRONX,Not Available,Not Available,Not Available,1033.54
0554 Miller Pl,Miller Pl,Not Available,Not Available,Not Available,Not Available,198.1,Not Available,Not Available,Not Available,Not Available,3056500,Not Available,Not Available,28-FEB-13,3153713.57,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,80189,SUFFOLK,Not Available,31537.1,Not Available,Not Available,Not Available,Not Available,15,,No,Not Available,Not Available,Not Available,2013-05-15T06:33:10.000,Not Available,Not Available,,,Not Available,Not Available,Not Available,2142.77
41 Madison Ave,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,7731821.6,Not Available,Not Available,31-JAN-13,1665960.04,Not Available,Not Available,Not Available,Not Available,Not Available,518623,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1016749,Not Available,Not Available,Not Available,2.47,Not Available,Not Available,100,-73.986698,Not Available,527815,NEW YORK,1972,16659.6,Not Available,Not Available,Not Available,35992453.19,Not Available,Hudson Yards-Chelsea-Flatiron-Union Square,No,Not Available,Not Available,Not Available,2013-05-30T09:10:55.000,Not Available,Not Available,1008550037.0,MANHATTAN,Not Available,Not Available,Not Available,5407.08
201 E 66th Street,New York,Not Available,2,0.16,Not Available,0,Not Available,Not Available,Not Available,Not Available,1687726.9,Not Available,Not Available,31-JAN-13,647580.65,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1043872,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.963174,Not Available,24890,NEW YORK,1961,6475.8,Not Available,Not Available,Not Available,Not Available,Not Available,Lenox Hill-Roosevelt Island,No,Not Available,Not Available,Not Available,2013-05-28T05:53:25.000,Not Available,Not Available,1014210001.0,MANHATTAN,Not Available,Not Available,Not Available,575.1
Stabile Hall,Bklyn,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,1030800,Not Available,Not Available,31-DEC-12,7618400,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,3331567,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.961773,Not Available,75000,KINGS,2000,76184,Not Available,Not Available,Not Available,Not Available,Not Available,Clinton Hill,No,Not Available,0,Not Available,2013-05-13T06:28:15.000,Not Available,Not Available,3019230001.0,BROOKLYN,Not Available,Not Available,Not Available,735.51
1665 Andrews Ave,Bronx,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,67014.2,Not Available,0,31-DEC-12,2445393.55,Not Available,Not Available,Not Available,Not Available,"""Other"" space types must be <=10% of Total Floor Space.<br>""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,2092065,70,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.919136,0,74633,BRONX,1923,24453.9,Not Available,Not Available,Not Available,Not Available,Not Available,University Heights-Morris Heights,Yes,Not Available,Not Available,0,2013-05-14T05:12:07.000,0,Not Available,2028780044.0,BRONX,Not Available,Not Available,Not Available,151.56
30 Rockefeller Plaza (Bld 1 & 9),New York,Not Available,0,1,Not Available,0,Not Available,Not Available,Not Available,Not Available,117485359.5,Not Available,Not Available,31-JAN-13,Not Available,Not Available,Not Available,Not Available,Not Available,"Using default values for Space Use attributes.<br>Weekly operating hours is much lower than normal for 30Tower - Floors 2-63, 66 - Vacant.<br> Weekly operating hours is much lower than normal for 1240, Floors 2-4, Vacant.<br> Weekly operating hours is mu",2291626,Not Available,No,Not Available,Not Available,No Status Available,Not Available,1076262,Not Available,Not Available,Not Available,6.33,Not Available,Not Available,100,-73.978692,Not Available,2911536,NEW YORK,1939,Not Available,Not Available,Not Available,Not Available,208912272.7,Not Available,Midtown-Midtown South,No,Not Available,Not Available,Not Available,2013-04-26T07:57:14.000,Not Available,Not Available,1012657501.0,MANHATTAN,Not Available,Not Available,Not Available,54129.37
One Liberty,New York,Not Available,0,1.25,Not Available,0,Not Available,Not Available,Not Available,Not Available,53909177,Not Available,Not Available,31-DEC-12,1541587.98,Not Available,0,Not Available,Not Available,Not Available,2242059,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1001068,Not Available,Not Available,Not Available,6.47,Not Available,Not Available,100,-74.010186,Not Available,2346193,NEW YORK,1972,15415.9,Not Available,85000,Not Available,78453629.28,Not Available,Battery Park City-Lower Manhattan,No,Not Available,Not Available,Not Available,2013-05-29T10:50:50.000,Not Available,Not Available,1000627501.0,MANHATTAN,Not Available,Not Available,Not Available,23545.42
HANDRO PROPERTIES,NEW YORK,Not Available,0,0.93,Not Available,0,Not Available,Not Available,Not Available,Not Available,1394263.1,Not Available,Not Available,31-DEC-12,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,123439,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1014474,Not Available,Not Available,Not Available,1.48,Not Available,Not Available,81.77,-73.990468,Not Available,152439,NEW YORK,1925,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Midtown-Midtown South,No,Not Available,Not Available,Not Available,2013-04-11T07:01:09.000,Not Available,Not Available,1007880011.0,MANHATTAN,Not Available,Not Available,Not Available,789.26
0597 Poughkeepsie,Poughkeepsie,Not Available,Not Available,Not Available,Not Available,213,Not Available,Not Available,Not Available,Not Available,3094206,Not Available,Not Available,28-FEB-13,4928157.14,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,80291,DUTCHESS,Not Available,49281.6,Not Available,Not Available,Not Available,Not Available,15,,No,Not Available,Not Available,Not Available,2013-05-15T06:33:10.000,Not Available,Not Available,,,Not Available,Not Available,Not Available,1225.87
1445 SHORE PKWY PLPM,Brooklyn,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,432007.5,Not Available,Not Available,31-DEC-12,4096787,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,3336454,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-74.005618,Not Available,85757,KINGS,1960,40967.9,Not Available,Not Available,Not Available,Not Available,Not Available,Bath Beach,No,Not Available,Not Available,Not Available,2013-05-29T08:05:34.000,0,Not Available,3064680016.0,BROOKLYN,Not Available,Not Available,Not Available,356.34
25 E 13th Street,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,767640,Not Available,Not Available,31-DEC-12,Not Available,Not Available,Not Available,Not Available,Not Available,"""Other"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,1109579.48,1009394,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.992863,Not Available,57000,NEW YORK,1950,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,West Village,No,Not Available,Not Available,Not Available,2013-05-30T12:33:14.000,Not Available,Not Available,1005717502.0,MANHATTAN,Not Available,Not Available,Not Available,327.54
Mutual Redevelopment -Penn South - Building 4,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,14,31-DEC-12,18790100,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,4709319.56,1083599,90,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.997272,0,206470,NEW YORK,1960,187901,Not Available,Not Available,Not Available,Not Available,Not Available,Hudson Yards-Chelsea-Flatiron-Union Square,Not Available,Not Available,Not Available,0,2013-05-30T11:13:31.000,0,Not Available,1007757502.0,MANHATTAN,Not Available,Not Available,Not Available,1346.09
CBS-530,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,25713432.7,Not Available,Not Available,31-JAN-13,Not Available,Not Available,Not Available,Not Available,Not Available,"""Other"" space types must be <=10% of Total Floor Space.<br>",246739,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1076216,Not Available,Not Available,Not Available,1.2,Not Available,Not Available,100,-73.990852,Not Available,466063,NEW YORK,1937,Not Available,Not Available,Not Available,Not Available,35861598.52,Not Available,Clinton,No,Not Available,Not Available,Not Available,2013-05-20T12:30:08.000,Not Available,Not Available,1010850001.0,MANHATTAN,Not Available,Not Available,Not Available,11068.42
Park Pinehurst,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,9466.1,Not Available,Not Available,31-DEC-11,3763599.35,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.94064,Not Available,62000,NEW YORK,1927,37636,Not Available,Not Available,Not Available,Not Available,Not Available,Washington Heights South,No,Not Available,Not Available,Not Available,2013-05-15T05:13:10.000,0,Not Available,1021390537.0,MANHATTAN,Not Available,Not Available,Not Available,203.26
730 Third Ave,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,29-NOV-12,12234961.3,Not Available,Not Available,31-DEC-12,Not Available,Not Available,0,Not Available,Not Available,Not Available,587059,Not Available,Not Available,Not Available,Not Available,Application - Label Sent (20-MAR-13),Not Available,1036195,Not Available,Not Available,100,3.68,Not Available,Not Available,100,-73.972757,Not Available,627731,NEW YORK,1959,Not Available,Not Available,15400,Not Available,16453182.6,Not Available,Turtle Bay-East Midtown,No,Not Available,Not Available,Not Available,2013-05-30T09:10:55.000,Not Available,Not Available,1013000033.0,MANHATTAN,Not Available,Not Available,Not Available,5218.38
415 East 54th Street - St. James Tower Condominium,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,3476781.8,Not Available,12,31-JAN-13,294456.67,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",10000,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1040356,100,Not Available,Not Available,2.2,Not Available,Not Available,100,-73.963761,0,191569,NEW YORK,1983,2944.6,Not Available,Not Available,Not Available,Not Available,Not Available,Turtle Bay-East Midtown,No,Not Available,Not Available,103,2013-05-31T12:02:12.000,0,Not Available,1013667501.0,MANHATTAN,Not Available,Not Available,Not Available,1809.45
301 East 69th Street,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,1430342.5,Not Available,48,31-DEC-12,398961.29,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1072630,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.95965,0,227557,NEW YORK,1963,3989.6,Not Available,Not Available,Not Available,15123101.55,Not Available,Lenox Hill-Roosevelt Island,No,Not Available,Not Available,175,2013-05-30T10:19:25.000,0,Not Available,1014447501.0,MANHATTAN,Not Available,Not Available,Not Available,1673.4
Lycee Francais,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,1,Not Available,Not Available,1886661.9,Not Available,Not Available,28-FEB-13,1810740.47,Not Available,1628181,Not Available,Not Available,Not Available,Not Available,72.16,Not Available,Not Available,Not Available,No Status Available,Not Available,1086044,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.951902,Not Available,163120,NEW YORK,2002,18107.4,Not Available,100,Not Available,Not Available,Not Available,Lenox Hill-Roosevelt Island,No,Not Available,Not Available,Not Available,2013-05-07T12:38:24.000,Not Available,Not Available,1014870005.0,MANHATTAN,Not Available,Not Available,Not Available,700.71
1085 Washington Ave.,Bronx,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,648749.7,Not Available,13,31-DEC-12,4364061.29,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",9518,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,2115806,10,Not Available,Not Available,2.63,Not Available,Not Available,100,-73.909054,0,103856,BRONX,2009,43640.6,Not Available,Not Available,Not Available,Not Available,Not Available,Morrisania-Melrose,Yes,Not Available,Not Available,0,2013-05-14T05:12:07.000,0,Not Available,2023870032.0,BRONX,Not Available,Not Available,Not Available,381.06
499 Park Avenue,New York,Not Available,0,1.03,Not Available,0,Not Available,Not Available,Not Available,15-FEB-10,6050128,Not Available,Not Available,28-FEB-13,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,74057,Not Available,Not Available,Not Available,Not Available,Application - Label Sent (26-FEB-10),Not Available,1037164,Not Available,Not Available,100,2.03,Not Available,Not Available,100,-73.969858,Not Available,265091,NEW YORK,1979,Not Available,Not Available,Not Available,Not Available,3732444,Not Available,Turtle Bay-East Midtown,No,Not Available,Not Available,Not Available,2013-05-20T12:14:34.000,Not Available,Not Available,1013130004.0,MANHATTAN,Reviewed and Approved,Not Available,Not Available,2232.8
425 Lexington Avenue,New York,Not Available,5,2.71,Not Available,69.1,Not Available,Not Available,Not Available,Not Available,13147600,Not Available,Not Available,31-DEC-12,Not Available,Not Available,0,Not Available,Not Available,Not Available,547834,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1036162,Not Available,Not Available,100,2.39,Not Available,Not Available,100,-73.97532,Not Available,712924,NEW YORK,1987,Not Available,Not Available,4600,Not Available,9450915.96,Not Available,Turtle Bay-East Midtown,No,Not Available,Not Available,Not Available,2013-04-18T04:00:06.000,Not Available,Not Available,1012980023.0,MANHATTAN,Not Available,Not Available,Not Available,4957.91
106 Central Park South,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,3212106,Not Available,14,31-DEC-12,309197,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1069595,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.976715,344,469910,NEW YORK,1930,3092,Not Available,Not Available,Not Available,13888524.42,Not Available,Midtown-Midtown South,No,Not Available,Not Available,340,2013-05-28T13:59:57.000,0,Not Available,1010117502.0,MANHATTAN,Not Available,Not Available,Not Available,2141.93
New Yorker Hotel,New York,Not Available,Not Available,Not Available,Not Available,0,912,Not Available,Not Available,Not Available,11079729,Not Available,Not Available,31-DEC-12,54767075.16,Not Available,Not Available,Not Available,Not Available,Not Available,160000,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1-00758-0037,Not Available,Not Available,Not Available,1.25,1.23,0.47,100,-73.993402,Not Available,1067566,NEW YORK,1929,547670.8,Not Available,Not Available,Not Available,8463420.19,Not Available,Hudson Yards-Chelsea-Flatiron-Union Square,No,Not Available,0,Not Available,2013-04-08T10:18:56.000,Not Available,Not Available,1007580037.0,MANHATTAN,Not Available,Not Available,Not Available,7131.13
Beth Israel Medical Center - KHD,Brooklyn,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3,Not Available,Not Available,Not Available,Not Available,31-AUG-12,Not Available,Not Available,Not Available,Not Available,Not Available,Using default values for Space Use attributes.<br>Using temporary values for Space Use attributes.<br>,Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,3210431,Not Available,341,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,131151,KINGS,1955,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,No,Not Available,Not Available,Not Available,2013-04-23T12:35:02.000,Not Available,Not Available,,,Not Available,Not Available,Not Available,Not Available
North Shore Towers,Floral Park,"Indoor, Outdoor",2,3.46,Not Available,0,Not Available,Not Available,Not Available,Not Available,24012000,0,7,31-DEC-12,1.10608E+11,0,Not Available,Not Available,Not Available,"""Other"" space types must be <=10% of Total Floor Space.<br>""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>The rating is not available for stores that do not have exterior entrances.Using temporary values for Space Use attributes",6257,Not Available,Not Available,Not Available,"Short Course (25 yards x 20 yards), Recreational (20 yards x 15 yards)",No Status Available,575704.27,"4456886,4456885,4453535,4456888",90,Not Available,100,4.16,Not Available,Not Available,100,-73.713493,1,2738675,QUEENS,1974,1106083496,Not Available,Not Available,4099,Not Available,15,Glen Oaks-Floral Park-New Hyde Park,No,Not Available,Not Available,1800,2013-06-05T05:25:46.000,0,Not Available,4084890001.0,QUEENS,Not Available,1,40,5893811.58
11 East 36th Street - Morgan Lofts,New York,Not Available,0,1.06,Not Available,0,Not Available,Not Available,Not Available,Not Available,1330982.3,Not Available,0,31-JAN-13,2356706.06,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",6600,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1017178,100,Not Available,Not Available,2.27,Not Available,Not Available,100,-73.982911,116,75943,NEW YORK,1912,23567.1,Not Available,Not Available,Not Available,Not Available,Not Available,Murray Hill-Kips Bay,No,Not Available,Not Available,58,2013-05-31T12:02:12.000,0,Not Available,1008667501.0,MANHATTAN,Not Available,Not Available,Not Available,551.75
Walter & Samuels 1550 E 13th,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,203942.4,Not Available,4,31-DEC-12,4692900,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,Not Available,90,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,0,58800,KINGS,1940,46929,Not Available,Not Available,Not Available,Not Available,Not Available,,No,Not Available,Not Available,0,2013-06-06T14:24:46.000,0,Not Available,,,Not Available,Not Available,Not Available,314.99
