pivot-metric,pivot-value,job_filing_number,latitude,longitude,total_fee,designprofessional_city,owner_type,house_number,zip,amount_due,last_objection_date,asbestosabatementcompliance,total_construction_floor
block,1259.0,M08050107-I1,40.754421,-73.980213,225.0,,Private,520,10036,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",507608
no_good_check,,M00204818-I1,40.716498,-74.001122,0.0,,City owned Non- NYCHA,120,10013,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",144
no_good_check,,M00609478-I1,40.758736,-73.981266,441.3,FORT LEE,Private,1230,10020,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",61044
no_good_check,,M00294473-I1,40.766704,-73.953372,576.1,,Private,503,10021,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",104393
block,15537.0,Q08032573-P1,40.606348,-73.751799,325.0,CORONA,Private,1607,11691,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",200
block,2040.0,S00586096-I1,40.602978,-74.150192,0.0,,State,2802 B,10314,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",400
no_good_check,,M00166408-I1,40.754664,-73.997257,473.1,,Private,434,10001,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",1200
no_good_check,,M00141773-I1,40.803201,-73.969363,760.6,HUNTINGTON,Private,351,10025,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",4
no_good_check,,M00033016-P1,40.718397,-74.005574,325.0,NEW YORK,Private,100,10013,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",720
block,7067.0,Q00269634-I1,40.739996,-73.790974,287.7,,Private,183-31,11365,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",400
no_good_check,,M00283450-I1,40.781912,-73.980996,308.3,,Private,2162,10024,0,,The scope of work requires related asbestos abatement as defined in the regulations of the NYC DEP.,300
block,1505.0,M00959050-I1,40.785009,-73.953688,5231.7,HUNTINGTON,Private,1192,10128,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",17
no_good_check,,Q00206496-P1,40.776916,-73.92114,1818.5,JAMAICA,Private,23-81,11105,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",200
no_good_check,,B00624052-I1,40.683559,-73.98027,0.0,STATEN ISLAND,City owned Non- NYCHA,345,11217,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",50
block,1066.0,M00493850-I1,40.76809,-73.986148,1739.1,CARMEL,Private,400,10019,0,2021-03-29T00:00:00.000,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",20
no_good_check,,M00963219-I1,40.744939,-73.995604,2224.1,CARMEL,Private,202,10011,0,2024-01-09T00:00:00.000,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",200
no_good_check,,M00350280-I1,40.799579,-73.963654,0.0,,Private-Tax Exempt,119,10025,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",32
block,2470.0,B00785354-S9,40.711212,-73.965989,225.0,COLONIA,Private,66,11249,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",200
no_good_check,,M00613188-S1,40.705136,-74.01772,0.0,NEW ROCHELLE,City owned Non- NYCHA,20,10004,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",1200
no_good_check,,X00624868-I1,40.873832,-73.888121,225.0,CORONA,Private,3054,10468,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",200
block,2135.0,Q00606107-I1,40.727612,-73.849101,885.1,DOBBS FERRY,Private,67-28,11375,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",23
no_good_check,,M00493850-I1,40.76809,-73.986148,1739.1,CARMEL,Private,400,10019,0,2021-03-29T00:00:00.000,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",20
no_good_check,,M00539622-I1,40.833691,-73.945925,1091.1,FORT LEE,Private,611,10032,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",65
no_good_check,,Q00462228-P1,40.756003,-73.855487,100.0,JAMAICA,City owned Non- NYCHA,34-40,11368,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",200
block,1452.0,M00189767-I1,40.771794,-73.955452,2110.8,WEST MILFORD,Private,313,10075,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",142
block,6666.0,B00597605-I1,40.607091,-73.962689,379.8,,Private,941,11223,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",29
no_good_check,,M00072398-I1,40.706205,-74.009154,236.2,,Private,52,10005,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",1700698
block,2138.0,M00220376-I1,40.839648,-73.94081,0.0,MORRISTOWN,Private-Tax Exempt,3957,10032,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",100
block,2705.0,X00127784-I1,40.8244,-73.896843,225.0,JAMAICA,Private,1032,10459,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",200
no_good_check,,M00094600-I1,40.78214,-73.980938,833.6,,Private,2171,10024,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",42
no_good_check,,B00323914-I1,40.645669,-73.962347,267.1,,Private,229,11226,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",20000
no_good_check,,B00127024-I1,40.694348,-73.976906,0.0,WEST MILFORD,City owned Non- NYCHA,21,11205,0,2019-02-12T00:00:00.000,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",30
no_good_check,,B00376773-I1,40.629844,-73.959373,267.1,NEW CITY,Private,860,11230,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",32000
block,2170.0,M00825263-I1,40.858521,-73.931679,318.6,CORONA,Private,4526,10040,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",13
block,7732.0,Q00069772-I1,40.739234,-73.763299,2018.1,HUNTINGTON,Private,211-02,11364,0,,The scope of work is not an asbestos project as defined in the regulation of the NYC DEP. DEP Control# is required,7
no_good_check,,M01241878-I1,40.794344,-73.971082,370.1,CORONA,Private,220,10025,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",200
no_good_check,,X00341798-I1,40.821167,-73.896902,2986.3,JAMAICA,Private,941,10459,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",200
block,5080.0,B00829237-I1,40.650749,-73.962427,215.6,,Private,1,11226,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",22
block,3588.0,B00560232-S9,40.662144,-73.9098,225.0,NEW ROCHELLE,Private,380,11212,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",400
block,773.0,M00963219-I1,40.744939,-73.995604,2224.1,CARMEL,Private,202,10011,0,2024-01-09T00:00:00.000,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",200
no_good_check,,M00129084-I1,40.726626,-73.99575,195.0,LONG ISLAND CITY,Private,644,10012,0,2019-02-27T00:00:00.000,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",230
block,565.0,M00348483-I1,40.733979,-73.989897,287.7,,Private,1,10003,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",252
no_good_check,,M00019838-I1,40.759838,-73.974165,442.2,,Private,520,10022,0,2018-03-21T00:00:00.000,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",645
block,84.0,M00374323-I1,40.714035,-74.012557,287.7,FORT LEE,Private,90,10007,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",900
no_good_check,,M00184407-I1,40.808651,-73.945457,318.6,CORONA,Private,101,10027,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",14
block,862.0,M00246648-I1,40.746077,-73.982092,1482.5,,Private,2,10016,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",45
block,2325.0,X00410893-I1,40.814721,-73.924488,0.0,,NYCHA,370,10451,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",260
block,1004.0,M00294915-I1,40.76181,-73.982727,442.2,,Private,781,10019,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",80400
block,1291.0,M00248017-I1,40.761759,-73.974836,236.2,,Private,705,10022,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",200
no_good_check,,M00374982-I1,40.709729,-74.006792,658.5,,Private,106,10038,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",45
no_good_check,,M00351483-I1,40.775375,-73.961977,287.7,,Private,59,10075,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",360
block,111.0,M00172718-I1,40.710457,-74.000909,0.0,,NYCHA,374,10038,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",24
block,994.0,M00137176-I1,40.755915,-73.986681,473.1,WOODLAND PARK,Private,7,10036,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",685
no_good_check,,S00518084-I1,40.596236,-74.090479,0.0,,Private-Tax Exempt,88,10304,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",70
block,1168.0,M00094600-I1,40.78214,-73.980938,833.6,,Private,2171,10024,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",42
block,233.0,M00236356-I1,40.719773,-73.999325,205.3,JAMAICA,Private,158,10013,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",25
block,5105.0,B00931070-I1,40.650737,-73.950797,225.9,WEST MILFORD,Private,2848,11226,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",225
no_good_check,,M00294915-I1,40.76181,-73.982727,442.2,,Private,781,10019,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",80400
block,3311.0,X00759170-I1,40.876331,-73.886974,1976.0,NEW YORK,Private,3168,10468,0,2022-08-19T00:00:00.000,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",271
no_good_check,,Q00417145-P1,40.605511,-73.753149,325.0,CORONA,Private,1725,11691,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",200
no_good_check,,Q00229012-I1,40.747547,-73.944399,627.6,,Private,23-21,11101,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",1600
block,1185.0,Q00061207-I1,40.753995,-73.900179,359.8,LONG ISLAND CITY,Private,62-02,11377,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",2096
block,1847.0,M00527141-I1,40.80329,-73.956757,195.0,,Private,310,10026,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",2500
no_good_check,,Q00069772-I1,40.739234,-73.763299,2018.1,HUNTINGTON,Private,211-02,11364,0,,The scope of work is not an asbestos project as defined in the regulation of the NYC DEP. DEP Control# is required,7
block,5066.0,Q00282757-I1,40.755876,-73.836155,215.6,,Private,131-01,11354,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",20
no_good_check,,Q08001549-P1,40.703428,-73.813796,325.0,COLONIA,Private,88-36,11435,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",200
block,15537.0,Q00417145-P1,40.605511,-73.753149,325.0,CORONA,Private,1725,11691,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",200
no_good_check,,Q00282737-I1,40.743119,-73.956085,215.6,,Private,5-03,11101,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",20
block,1393.0,M00351483-I1,40.775375,-73.961977,287.7,,Private,59,10075,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",360
no_good_check,,B00501807-I1,40.607856,-73.954247,236.2,,Private,1726,11229,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",110
block,1061.0,M00338935-I1,40.764473,-73.988242,2254.1,SMITHTOWN,Private,771,10019,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",12500
no_good_check,,Q00073530-I1,40.736083,-73.849609,318.6,,Private,108-50,11375,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",1
no_good_check,,B00549676-I1,40.688482,-73.920257,195.0,,Private,1421,11221,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",2500
block,780.0,M00546215-I1,40.748568,-73.992403,554.6,WEST CALDWELL,Private,370,10001,0,2021-07-01T00:00:00.000,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",5
no_good_check,,Q00606107-I1,40.727612,-73.849101,885.1,DOBBS FERRY,Private,67-28,11375,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",23
no_good_check,,Q00774126-I1,40.767515,-73.924588,1152.9,WEST MILFORD,Private,25-40,11102,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",155
block,3260.0,X00460298-I1,40.876061,-73.903832,195.0,,Private,147,10463,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",40
no_good_check,,M00265014-I1,40.728638,-74.005322,195.0,,Private,207,10014,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",300
block,77.0,M01302932-I1,40.708782,-74.007196,267.1,NEW ROCHELLE,Private,110,10038,0,2025-12-02T00:00:00.000,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",45
block,731.0,M00243228-I1,40.754329,-73.998578,400.1,,Private,460,10001,0,2019-10-23T00:00:00.000,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",538520
block,3100.0,Q00108950-I1,40.726191,-73.858691,236.2,,Private,65-50,11374,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",400
no_good_check,,M00268991-I1,40.742305,-73.979759,236.2,,Private,220,10016,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",45
block,485.0,M00871400-I1,40.723297,-74.000772,246.5,WEST MILFORD,Private,72,10012,0,2023-05-31T00:00:00.000,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",225
block,5374.0,B00229594-I1,40.640555,-73.973585,236.2,,Private,340,11218,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",70
no_good_check,,B00931070-I1,40.650737,-73.950797,225.9,WEST MILFORD,Private,2848,11226,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",225
no_good_check,,X00759170-I1,40.876331,-73.886974,1976.0,NEW YORK,Private,3168,10468,0,2022-08-19T00:00:00.000,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",271
block,1297.0,M00882194-I1,40.750871,-73.974378,236.2,WOODLAND PARK,Private,660,10017,0,2023-06-26T00:00:00.000,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",387
block,5193.0,Q00432405-P1,40.754314,-73.821306,1706.1,DOBBS FERRY,Private,43-57,11355,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",200
block,6801.0,B00501807-I1,40.607856,-73.954247,236.2,,Private,1726,11229,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",110
block,1826.0,M00243876-I1,40.801114,-73.957773,246.5,,Private,2040,10026,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",87852
no_good_check,,M00281929-I1,40.722581,-73.99776,308.3,,Private,75,10012,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",5903
no_good_check,,B00329598-I1,40.657775,-73.951466,308.3,,Private,271,11225,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",60
block,547.0,M00186748-I1,40.7302,-73.994537,0.0,WOODLAND PARK,Private-Tax Exempt,18,10003,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",40
