job_filing_number,job_number,bin,gl_company,depacp5controlno,worker_compensation_company,building_type,applicant_city,applicant_license_number,signedoff_date,applicant_businessname,disability_expirationdate
X00437204-I1,X00437204,2099635,BRIDGEWAY INS COMPANY,,HIGHVIEW NATIONAL INSURANCE COMPANY,Other,BROOKLYN,L - 556001,2023-02-10T00:00:00.000,MILLENNIUM ELEV ENT LLC,2023-12-31T00:00:00.000
M01043807-I1,M01043807,1083695,NATIONAL UNION FIRE INS,,AIU INSURANCE COMPANY,Other,NEW YORK,L - 056001,2024-08-05T00:00:00.000,OTIS ELEVATOR COMPANY,2024-09-30T00:00:00.000
M00690630-I1,M00690630,1088760,BRIDGEWAY INSURANCE COMP,,NEW YORK STATE INS FUND,Other,LONG ISLAND CITY,L - 402001,2022-05-24T00:00:00.000,"TRANSEL ELEV & ELECT,INC",2022-12-31T00:00:00.000
M00228930-P1,M00228930,1009555,CINCINNATI SPECIALTY,,NYSIF,Other,FRESH MEADOWS,L - 610107,,"ALPHA ELEVATOR, INC",2020-12-31T00:00:00.000
M00356990-I1,M00,1083573,OLD REPUBLIC INS CO,,OLD REPUBLIC INS CO,Other,"LONG ISLAND CITY,",L - 038001,,"KONE, INC",2022-12-31T00:00:00.000
M00185638-I1,M00185638,1068261,CINCINNATI SPECIALTY UNDE,,NJ MANUFACTURERS INS GRP,Other,LONG ISLAND CITY,L - 165001,2020-07-27T00:00:00.000,CENTURY ELEV. MAIN. CORP.,2021-01-01T00:00:00.000
M00288961-I1,M00288961,109074000.00%,HIHSCOX INSURANCE CO,,NEW YORK STATE INSURANCE FUN,Other,NEW YORK,RA - 019131,2021-09-09T00:00:00.000,DOOLING & COMPANY ARCHITECTS,2020-11-16T00:00:00.000
B00079220-I1,B00079220,3325171,GEMINI INSURANCE CO,,SELF INSURANCE,Other,LONG ISLAND CITY,L - 159097,2019-04-11T00:00:00.000,NYC HOUSING AUTHORITY,2018-12-31T00:00:00.000
B00460685-I1,B00460685,3072059,LLOYDS OF LONDON,,EVEREST NATIONAL INS CO,Other,BROOKLYN,L - 610047,2021-03-30T00:00:00.000,PRECISION ELEVATOR CORP,2021-07-01T00:00:00.000
M01305983-P1,M01305983,1079341,Edgewood Partners,,NYSIF,Other,FRESH MEADOW,L - 579001,,L.C.D. ELEVATOR REPAIR IN,2026-10-02T00:00:00.000
Q01010186-I1,Q01010186,4000460,CLEAR BLUE INS COMPANY,,STATE FARM FIRE & CASUALT,Other,PISCATAWAY,PE - 076655,2025-03-28T00:00:00.000,YL ENGINEERING PLLC,2024-12-11T00:00:00.000
B00211741-I1,B00211741,3331592,GREAT AMERICAN INS COMP,,NEW YORK STATE INS FUND,Other,Jackson,L - 610140,2021-04-08T00:00:00.000,South Lift Corporation,2020-12-08T00:00:00.000
X00474918-P1,X004749 18,2102037,NATIONAL UNION FIRE INS,,AIU INSURANCE COMPANY,Other,NEW YORK,L - 056128,,OTIS ELEVATOR COMPANY,2021-09-30T00:00:00.000
X00508129-I1,X00508129,2130488,OLD REPUBLIC INS CO,,OLD REPUBLIC INS CO,Other,"LONG ISLAND CITY,",L - 038001,2022-06-28T00:00:00.000,"KONE, INC",2022-12-31T00:00:00.000
S00518084-I1,S00518084,5048706,CINCINNATI SPECIALTY,,NEW YORK STATE INS FUND,Other,STATEN ISLAND,L - 396001,2021-05-11T00:00:00.000,RICHMOND ELEVATOR CO. INC,2021-12-31T00:00:00.000
B01024402-I1,B01024402,3423993,NATIONAL UNION FIRE INS,,AIU Insurance Company,Other,NEW YORK,L - 056128,2025-08-26T00:00:00.000,OTIS ELEVATOR COMPANY,2025-12-31T00:00:00.000
M00403079-I1,M00403079,1089806,HARTFORD FIRE INSURANCE,,AIU INSURANCE COMPANY,Other,NEW YORK,L - 056129,2021-01-31T00:00:00.000,OTIS ELEVATOR COMPANY,2021-09-30T00:00:00.000
Q00066626-I1,Q00066626,4.050482E+6,HARTFORD FIRE INSURANCE,,NEW HAMPSHIRE INSURANCE,Other,OZONE PARK,L - 470001,2019-05-17T00:00:00.000,ALLIANCE ELEVATOR COMPANY,2018-09-30T00:00:00.000
B00850861-I1,B00850861,3.131067E+6,LLOYDS OF LONDON,,The Charter Oak Fire Insurance Company,Other,BROOKLYN,L - 429013,2024-04-23T00:00:00.000,PRECISION ELEVATOR CORP,2024-12-31T00:00:00.000
B00303908-I1,B00303908,3137398,CINCINNATI SPECIALTY,,NEW JERSEY MANUFACTURE IN,Other,BROOKLYN,L - 556001,2020-09-09T00:00:00.000,MILLENNIUM ELEV ENT LLC,2021-12-31T00:00:00.000
M01181076-I1,M01181076,1067116,HDI GLOBAL INS COMPANY,,Indemnity Insurance Company of North America,Other,NEW YORK,L - 610055,,TK ELEVATOR CORPORATION,2025-12-31T00:00:00.000
M08037843-I1,M08037843,1087726,GREAT AMERICAN INS COMP,,NYSIF,Other,NEW YORK,L - 052001,2023-09-14T00:00:00.000,"MCGLYNN, HAYS & CO., INC",2023-12-31T00:00:00.000
X00671804-I1,X00671804,2014664,GREAT AMERICAN INS COMPAN,,NEW YORK STATE INS FUND,Other,STATEN ISLAND,L - 246001,2022-03-23T00:00:00.000,"CONCORD ELEVATOR IND, INC",2022-12-31T00:00:00.000
M00049092-I1,M00049092,1077435,GREAT AMERICAN INS COMPAN,,NEW YORK STATE INS FUND,Other,NEW YORK,L - 520001,2018-09-30T00:00:00.000,PRIDE & SERVICE ELEV CO,2020-03-30T00:00:00.000
B00651408-I1,B00651408,3332345,GREAT AMERICAN INS COMP,,NYSIF,Other,BROOKLYN,L - 610165,2022-03-28T00:00:00.000,VRTCL TRNSPRTN EXPRTS LLC,2022-07-25T00:00:00.000
M00447531-P2,M00447531,1085785,GREAT AMERICAN INS,,NEW YORK STATE INS FUND,Other,BRONX,L - 266005,,BERGEN-PASSAIC ELEV OF NY,2022-12-31T00:00:00.000
M00243228-I1,M00243228,1012843,SENTINEL INS COMPANY,,NEW YORK STATE INS FUND,Other,BRONX,PE - 078402,2021-03-02T00:00:00.000,"G. BLINN CONSULTING, LLC",2019-12-31T00:00:00.000
X00176390-I1,X00176390,2096398,ZURICH INSURANCE CO,,AMERICAN ZURICH INS CO,Other,NEW YORK,L - 074117,2020-12-02T00:00:00.000,SCHINDLER ELEVATOR CORP,2020-11-01T00:00:00.000
M00847156-P1,M00847156,1091890,Arch Insurance Co,,Arch Indemnity Insurance Co.,Other,NEW ROCHELLE,PE - 083125,,"UNIVERSAL BUILDERS SUPPLY, LLC",2023-09-30T00:00:00.000
M00338935-I1,M00338935,1.026725E+6,GREAT AMERICAN INS CO,,NY STATE INSURANCE FUND,Other,MASPETH,L - 526001,2021-04-13T00:00:00.000,"NOBLE ELEVATOR CO., INC",2021-12-31T00:00:00.000
M00166408-I1,M00166408,1077350,PRINCETON EXCESS&SURPLUS,,NEW YORK STATE INS FUND,Other,LONG ISLAND CITY,L - 402001,2019-11-19T00:00:00.000,"TRANSEL ELEV & ELECT,INC",2020-12-31T00:00:00.000
M00012807-I1,m00012807,1079382,GREAT AMERICAN INS CO,,NEW YORK STATE INS FUND,Other,,L - 575001,2018-02-23T00:00:00.000,AC ELEVATOR INDUSTRIES,2018-12-31T00:00:00.000
B08001298-S8,B08001298,3106882,GREAT AMERICAN INS CO,,EVEREST NATIONAL INSURANCE COMPANY,Other,BROOKLYN,L - 220001,2025-04-15T00:00:00.000,MAJOR ELEVATOR CORP,2025-06-22T00:00:00.000
M00151698-I1,M00151698,1035771,HISCOX INS COMPANY INC,,NEW YORK STATE INS FUND,Other,LONG ISLAND CITY,L - 366001,2019-07-18T00:00:00.000,NOUVEAU ELEVATOR IND INC,2020-12-31T00:00:00.000
B00229594-I1,B00229594,3126157,CINCINNATI SPECIALTY,,NEW YORK STATE INS FUND,Other,BROOKLYN,L - 556001,,MILLENNIUM ELEV ENT LLC,2020-12-31T00:00:00.000
B00685767-S9,B00685767,3069390,BRIDGEWAY INSURANCE COMPANY,,HIGHVIEW NATIONAL INSURANCE COMPANY,Other,BROOKLYN,L - 556001,2025-05-16T00:00:00.000,MILLENNIUM ELEV ENT LLC,2025-12-31T00:00:00.000
X00136767-I1,X00136767,2128607,HARTFORD FIRE INSURANCE,,AIU INSURANCE COMPANY,Other,NEW YORK,L - 056128,2019-08-28T00:00:00.000,OTIS ELEVATOR COMPANY,2019-09-30T00:00:00.000
X00692593-Z5,X00692593,2131090,LLOYDS OF LONDON,,HIGHVIEW NATIONAL INSURANCE COMPANY,Other,BROOKLYN,L - 556001,2025-05-20T00:00:00.000,MILLENNIUM ELEV ENT LLC,2025-12-31T00:00:00.000
B00184029-I1,B00184029,3077043,GREAT AMERICAN INSURANCE,,NATIONAL LIABILITY & FIRE,Other,BROOKLYN,L - 610017,2020-12-09T00:00:00.000,INNOVATIVE ELEVATOR INC,2021-12-31T00:00:00.000
X07999138-I1,X07999138,2129676,GREAT AMERICAN E & S INS,,JM Associates/Burnham & Co,Other,FRESH MEADOW,L - 579001,2023-09-26T00:00:00.000,L.C.D. ELEVATOR REPAIR IN,2023-06-30T00:00:00.000
M00179933-I1,M00179933,1076173,HARTFORD FIRE INSURANCE,,AIU INSURANCE COMPANY,Other,NEW YORK,L - 056129,2021-05-13T00:00:00.000,OTIS ELEVATOR COMPANY,2019-09-30T00:00:00.000
B00395055-I1,B00395055,3323647,MT HAWLEY INSURANCE CO,,AMERICAN ZURICH INS. CO,Other,BROOKLYN,PE - 082512,2022-01-04T00:00:00.000,VALJATO ENGINEERING PC,2020-12-07T00:00:00.000
B00501807-I1,B00501807,3390899,CINCINNATI SPECIALTY,,NEW JERSEY MANUFACTURE IN,Other,BROOKLYN,L - 556001,2021-05-21T00:00:00.000,MILLENNIUM ELEV ENT LLC,2021-12-31T00:00:00.000
X00276394-I1,X00276394,2008012,GREAT AMERICAN INS CO,,NEW YORK STATE INS FUND,Other,BROOKLYN,L - 508001,2020-12-10T00:00:00.000,GENCO ELEVATOR INC,2021-12-31T00:00:00.000
S00336735-I1,S00336735,500008400.00%,CINCINNATI SPECIALTY,,NEW YORK STATE INS FUND,Other,STATEN ISLAND,L - 396001,2020-11-04T00:00:00.000,RICHMOND ELEVATOR CO. INC,2020-12-31T00:00:00.000
B00269201-I1,B00269201,3029717,GREAT AMERICANLTY INS CO,,NY STATE INS FUND,Other,BROOKLYN,L - 238001,2020-02-10T00:00:00.000,"MIDTOWN ELEVATOR CO., INC",2020-12-31T00:00:00.000
X00292497-I1,X00292497,2093751,HARTFORD FIRE INSURANCE,,AIU INSURANCE COMPANY,Other,NEW YORK,L - 056128,2020-09-28T00:00:00.000,OTIS ELEVATOR COMPANY,2021-09-30T00:00:00.000
M00157068-I1,M00157068,1083719,GREAT AMERICAN INS CO,138725.0,NYSIF,Other,NEW YORK,L - 550001,,DAY ACCESS & MOB SOL INC,2020-11-01T00:00:00.000
M00709261-I1,M00709261,1050016,GREAT AMERICAN INS COMPAN,,NY State Workers' Compensation Board,Other,NEW YORK,L - 610050,2023-11-29T00:00:00.000,LIBERTY ELEVATOR CORP,2024-09-25T00:00:00.000
X00120788-I1,X00120788,2096669,HARTFORD FIRE INSURANCE,,NEW HAMPSHIRE INSURANCE,Other,OZONE PARK,L - 470001,2019-08-22T00:00:00.000,ALLIANCE ELEVATOR COMPANY,2019-03-31T00:00:00.000
M00871400-I1,M00871400,1079933,ZURICH AMERICAN INS,,MARK ELIAS,Other,NEW YORK,L - 377001,2023-08-07T00:00:00.000,"SLADE INDUSTRIES, INC",2024-01-01T00:00:00.000
M00354817-I1,M00354817,1086430,THE PRINCETON EXCESS AND,,UNITED STATES FIRE INS CO,Other,NEW YORK,L - 581005,2021-06-25T00:00:00.000,G-TECH ELEVATOR ASSOCIATE,2022-09-15T00:00:00.000
M00251266-I1,M00251266,1047540,CINCINNATI SPECIALTY UNDE,,NJ MANUFACTURERS INS GRP,Other,LONG ISLAND CITY,L - 165001,2020-07-16T00:00:00.000,CENTURY ELEV. MAIN. CORP.,2021-01-01T00:00:00.000
M00246337-I1,M00246337,1087428,OLD REPUBLIC INS CO,,OLD REPUBLIC INS CO,Other,"LONG ISLAND CITY,",L - 038001,2020-02-13T00:00:00.000,"KONE, INC",2020-12-31T00:00:00.000
M00173319-I1,M00173319,1035727,ZURICH INSURANCE CO,,AMERICAN ZURICH INS CO,Other,NEW YORK,L - 074117,2021-02-18T00:00:00.000,SCHINDLER ELEVATOR CORP,2020-11-01T00:00:00.000
M00141274-I1,M00141274,1001600,GREAT AMERICAN INS CO,,NEW YORK STATE INS FUNDE,Other,BROOKLYN,L - 059001,2019-07-24T00:00:00.000,WARREN ELEV. SVC. CO INC,2020-12-31T00:00:00.000
X00182238-I1,X00182238,2120098,ZURICH INSURANCE CO,,AMERICAN ZURICH INS CO,Other,NEW YORK,L - 074117,2019-10-07T00:00:00.000,SCHINDLER ELEVATOR CORP,2020-11-01T00:00:00.000
B00126828-I1,B00126828,3196065,PRINCETON EXCESS&SURPLUS,,NYSIF,Other,BRONX,L - 564001,2021-05-12T00:00:00.000,START ELEVATOR LLC,2021-01-19T00:00:00.000
Q00365201-I1,Q00365201,4080138,GREAT AMERICAN INS CO,,NEW YORK STATE INS FUND,Other,BROOKLYN,L - 510001,2021-07-08T00:00:00.000,CENTURY VERTICAL SYS. INC,2021-12-31T00:00:00.000
Q00325220-I1,Q00325220,400667800.00%,GREAT AMERICAN INS CO,,EVEREST NATIONAL INS CO,Other,BROOKLYN,L - 429013,2020-04-08T00:00:00.000,PRECISION ELEVATOR CORP,2020-08-01T00:00:00.000
B00075011-I1,B00075011,3153753,GREAT AMERICAN INS CO,,N Y S I F,Other,BROOKLYN,L - 583001,2019-05-21T00:00:00.000,UTU ELEVATOR INC,2020-12-31T00:00:00.000
M00127101-I1,M00127101,1014511,GREAT AMERICAN INS CO,,NEW YORK STATE INS FUND,Other,NEW YORK,L - 051001,2020-01-21T00:00:00.000,METROPOLITAN ELEV SVC COR,2019-07-01T00:00:00.000
Q00584840-I1,Q00584840,4058890,LLOYDS OF LONDON,,THE CHARTER OAK FIRE INS,Other,OZONE PARK,L - 470001,2022-02-14T00:00:00.000,ALLIANCE ELEV COMPANY LLC,2022-12-31T00:00:00.000
X00361515-I1,X00361515,2009656,GREAT AMERICAN INS CO,,EVEREST NATIONAL INS CO,Other,BROOKLYN,L - 429013,2020-09-02T00:00:00.000,PRECISION ELEVATOR CORP,2020-08-01T00:00:00.000
M00032941-I1,M00032941,1071414,PRINCETON EXCESS&SURPLUS,,NEW YORK STATE INS FUND,Other,LONG ISLAND CITY,L - 402001,2020-03-18T00:00:00.000,"TRANSEL ELEV & ELECT,INC",2019-12-31T00:00:00.000
M00286369-I1,M00286369,1045844,GREAT AMERICAN INS COMP,,NEW YORK STATE INS FUND,Other,NEW YORK,L - 052001,2020-04-17T00:00:00.000,"MCGLYNN, HAYS & CO., INC",2020-12-31T00:00:00.000
M00989605-I1,M00989605,1082868,NATIONAL UNION FIRE INS,,AIU Insurance Company,Other,NEW YORK,L - 056001,2025-04-29T00:00:00.000,OTIS ELEVATOR COMPANY,2025-12-31T00:00:00.000
M00106968-I1,M00106968,1.051463E+6,GREAT AMERICAN INSURANCE,,NEW YORK STATE INS FUND,Other,BRONX,L - 353003,2019-11-13T00:00:00.000,ELTECH INDUSTRIES INC,2019-11-10T00:00:00.000
B00779714-I1,B00779714,3324275,ACCREDITED SURETY AND CAS,,ACCREDITED SURETY AND CAS,Other,NEW YORK,L - 083131,2023-03-03T00:00:00.000,CHAMPION ELEVATOR CORP,2023-07-01T00:00:00.000
B00542600-A9,B00542600,3058215,NATIONAL UNION FIRE INS,,AIU Insurance Company,Other,NEW YORK,L - 056128,,OTIS ELEVATOR COMPANY,2026-12-31T00:00:00.000
M00378821-I1,M00378821,1000855,ZURICH INSURANCE CO,,AMERICAN ZURICH INS CO,Other,NEW YORK,L - 074001,2021-08-24T00:00:00.000,SCHINDLER ELEVATOR CORP,2021-01-01T00:00:00.000
B01058735-P1,B01058735,3029254,GREAT AMERICAN INS CO,,EVEREST NATIONAL INSURANCE COMPANY,Other,BROOKLYN,L - 220001,,MAJOR ELEVATOR CORP,2025-06-22T00:00:00.000
X00805379-I1,X00805379,2004359,HDI GLOBAL INS COMPANY,,INDEMNITY INSURANCE COMPANY OF NORTH AMERICA,Other,NEW YORK,L - 610055,,TK ELEVATOR CORPORATION,2024-12-31T00:00:00.000
X00433949-I1,X00433949,2007631,AMGUARD INSURANCE COMPANY,,NEW YORK STATE INS FUND,Other,LONG ISLAND CITY,L - 266020,2021-01-12T00:00:00.000,BIG APPLE ELEV INDUSTRIES,2022-03-02T00:00:00.000
X08055447-A2,X08055447,2130886,STATE NATIONAL INS CO,,NEW YORK STATE INSURANCE FUND,Other,BRONX,L - 488001,,INNER CITY ELEVATOR CORP,2025-12-31T00:00:00.000
M00566511-I1,M00566511,1059765,HDI GLOBAL INS COMPANY,,INDEMNITY INS COMP OF,Other,NEW YORK,L - 610055,2022-03-31T00:00:00.000,TK ELEVATOR CORPORATION,2022-12-31T00:00:00.000
Q00462228-P1,Q00462228,4043827,GREAT AMERICAN INS CO,,NEW YORK STATE INS FUND,Other,LONG ISLAND CITY,L - 018001,,MORGAN ELEVATOR CO LTD,2021-11-24T00:00:00.000
B00157008-I1,B00157008,3189540,NORTHFIELD INS COMPANY,,NEW YORK STATE INS FUND,Other,BRONX,L - 573001,,ALL BOROUGH ELEVATOR LLC,2020-11-18T00:00:00.000
M00096152-I1,M00096152,1026841,GREAT AMERICAN INS CO,,NATIONAL LIABILITY & FIRE,Other,NEW YORK,L - 601001,2019-03-22T00:00:00.000,MOBILITY ELEV & LIFT CO I,2020-05-23T00:00:00.000
M00718191-I1,M00718191,1005601,NATIONAL UNION FIRE INS,,AIU Insurance Company,Other,NEW YORK,L - 056001,2023-02-01T00:00:00.000,OTIS ELEVATOR COMPANY,2023-09-30T00:00:00.000
M00968692-I1,M00968692,1007287,GREAT AMERICAN INS CO,,JM Associates/Burnham & Co,Other,BROOKLYN,L - 059003,2024-01-11T00:00:00.000,WARREN ELEV. SVC. CO INC,2024-12-31T00:00:00.000
Q00152589-I1,Q0 0152589,4622937,HDI GLOBAL INS COMPANY,,INDEMNITY INS COMP OF,Other,NEW YORK,L - 610055,2022-01-19T00:00:00.000,TK ELEVATOR CORPORATION,2022-12-31T00:00:00.000
