dbn,ethnicity_amerindian_pct_1,teacher_ethnicity_white_pct,n_pct_core_sci_all,val_attendance_k8_all,near_pct_asian,val_chronic_absent_ems_allem,val_pct_accel_p_all,ethnicity_pacific_pct,val_hs_9gr_credits_all,val_pct_accel_try_sci_all,qr_3_1,near_pct_amerindian,ethnicity_asian_pct_dist,val_prof_pct_watn3_mthlevel2,iep,n_pct_core_mth_all,qr_1_2,val_prof_2plus_watn3_elalevel1,n_ele_core_all,val_pct_accelerated_all,val_pct_accel_sci_all,ethnicity_white_pct_dist,val_pct_accel_try_lote_all,cap_sc_pct,val_chronic_absent_ems_alleh,teacher_ethnicity_hispanic,near_pct_pacific,median_distance,principal,val_pct_accel_p_sci_all,rr_p,val_prof_2plus_watn3_mthlevel1,val_ele_core_all,enrollment,ethnicity_hispanic_pct,val_chronic_absent_ems_alleb,eni_pct_k8,gender_female_pct,near_pct_hispanic,dates_of_review,n_prof_pct_watn3_mthlevel34,n_pct_accel_try_sci_all,ethnicity_asian_pct,n_prof_pct_watn5_elalevel2,survey_pp_se,n_pct_accel_mth_all,n_interaction_k8_all,teacher_attendance,rr_s,rating_mth_grade_5_pct_rs,hra_elig_pct
08X123,0.011,0.405,466,0.919,0.011,No Data,1,0.004,0.881,0.196,Proficient,0.022,0.06,No Data,0.259,466,Developing,No Data,No Data,0.196,0.196,0.038,0,0.065,0.699,0.167,0.002,0.3,RICHARD HALLENBECK JR,1,55%,No Data,No Data,490,0.776,0.674,0.931,0.498,0.732,2018-05-01T00:00:00.000,No Data,148,0.022,27,No Data,148,488,0.966,0%,2.14,0.857
23K184,0.011,0.156,126,0.899,0.002,No Data,0,0.0,0.794,0,Proficient,0.01,0.008,No Data,0.323,126,Proficient,No Data,No Data,0,0,0.012,0,0.167,0.593,No Data,0.004,0.2,LISA CALDWELL LINDER,No Data,30%,No Data,No Data,480,0.294,0.598,0.955,0.458,0.3,2017-02-01T00:00:00.000,No Data,37,0.004,14,0.7,37,469,0.966,66%,No Data,0.9
17K012,0.013,No Data,No Data,0.897,0.007,No Data,No Data,0.0,No Data,No Data,Proficient,0.001,0.027,No Data,0.275,No Data,Proficient,No Data,44,No Data,No Data,0.049,No Data,0.144,0.625,No Data,0.001,0.2,NYREE DIXON,No Data,24%,No Data,0.953,222,0.203,0.622,0.921,0.518,0.165,2017-02-01T00:00:00.000,18,No Data,0.009,No Data,0.9,No Data,217,0.983,,No Data,0.865
21K216,0.008,0.889,No Data,0.934,0.278,No Data,No Data,0.007,No Data,No Data,Proficient,0.007,0.277,0.409,0.195,No Data,Proficient,No Data,96,No Data,No Data,0.375,No Data,0.034,0.831,No Data,0.0,0.3,Donna Neglia,No Data,60%,0.313,0.998,683,0.18,0.737,0.71,0.523,0.252,2017-04-01T00:00:00.000,58,No Data,0.266,No Data,0.78,No Data,681,0.977,,No Data,0.654
25Q022,0.005,0.703,No Data,0.952,0.483,No Data,No Data,0.0,No Data,No Data,No Data,0.004,0.562,No Data,0.143,No Data,Well Developed,No Data,123,No Data,No Data,0.115,No Data,0.051,0.802,No Data,0.001,0.3,"Jennifer Meyer, IA",No Data,38%,No Data,0.993,846,0.349,No Data,0.766,0.485,0.459,2014-12-04T00:00:00.000,91,No Data,0.596,No Data,0.96,No Data,841,0.974,,No Data,0.665
27Q056,0.062,0.846,No Data,0.939,0.243,No Data,No Data,0.019,No Data,No Data,Proficient,0.025,0.213,0.125,0.223,No Data,Proficient,No Data,75,No Data,No Data,0.049,No Data,0.056,0.76,No Data,0.011,0.4,ANN LEITER,No Data,32%,0.056,0.985,372,0.449,0.765,0.714,0.508,0.54,2018-10-01T00:00:00.000,44,No Data,0.309,No Data,0.93,No Data,368,0.984,,No Data,0.624
25Q154,0.005,0.809,No Data,0.946,0.537,No Data,No Data,0.003,No Data,No Data,Well Developed,0.012,0.562,0.063,0.19,No Data,Proficient,No Data,95,No Data,No Data,0.115,No Data,0.083,0.754,No Data,0.005,0.3,PAMELA GATHERS BULLARD,No Data,81%,No Data,0.992,612,0.278,0.83,0.685,0.493,0.242,2019-04-01T00:00:00.000,64,No Data,0.477,No Data,0.79,No Data,609,0.976,,No Data,0.619
15K448,0.003,0.639,274,0.932,0.063,No Data,No Data,0.0,0.92,0,No Data,0.004,0.127,No Data,0.331,274,Proficient,No Data,No Data,No Data,0,0.311,0,0.004,0.771,0.098,0.001,1.3,Priscilla Chan,No Data,14%,No Data,No Data,281,0.388,0.689,0.548,0.477,0.268,2016-01-13T00:00:00.000,No Data,85,0.028,6,0.64,85,278,0.981,17%,2.83,0.544
21K209,0.006,0.867,194,0.944,0.303,No Data,1,0.006,0.946,0.412,Proficient,0.003,0.274,No Data,0.271,194,Proficient,No Data,No Data,0.412,0.412,0.364,0,0.104,0.782,No Data,0.009,0.3,FRANCES NOVELLALOCURCIO,1,84%,No Data,No Data,712,0.268,0.65,0.723,0.478,0.191,2019-05-01T00:00:00.000,No Data,68,0.289,12,0.73,68,718,0.983,98%,No Data,0.666
04M146,0.01,0.513,No Data,0.922,0.083,No Data,No Data,0.003,No Data,No Data,Proficient,0.001,0.036,0.409,0.465,No Data,Developing,No Data,51,No Data,No Data,0.035,No Data,0.158,0.727,0.282,0.004,0.2,MONA SILFEN,No Data,15%,0.267,0.977,310,0.684,0.629,0.945,0.468,0.583,2017-01-01T00:00:00.000,12,No Data,0.035,No Data,0.85,No Data,338,0.968,,No Data,0.9
25Q107,0.005,0.704,No Data,0.948,0.491,No Data,No Data,0.002,No Data,No Data,Proficient,0.008,0.562,0.5,0.162,No Data,Proficient,No Data,150,No Data,No Data,0.115,No Data,0.069,0.761,0.085,0.002,0.4,Lori Cummings,No Data,32%,0.2,0.992,864,0.333,0.867,0.62,0.473,0.369,2017-01-01T00:00:00.000,99,No Data,0.535,No Data,0.86,No Data,862,0.967,,No Data,0.546
11X178,0.012,0.8,No Data,0.931,0.008,No Data,No Data,0.011,No Data,No Data,Proficient,0.006,0.082,0.034,0.223,No Data,Proficient,0.15,84,No Data,No Data,0.061,No Data,0.089,0.698,No Data,0.006,0.3,Deborah Levine,No Data,36%,0.111,0.975,358,0.33,0.761,0.637,0.469,0.261,2016-12-01T00:00:00.000,31,No Data,0.006,No Data,0.54,No Data,376,0.962,,No Data,0.564
06M173,0.003,0.439,No Data,0.925,0.031,No Data,No Data,0.0,No Data,No Data,Proficient,0.006,0.011,No Data,0.228,No Data,Developing,No Data,66,No Data,No Data,0.063,No Data,0.053,0.726,0.366,0.006,0.2,RACHAEL GARCIA,No Data,80%,0.529,0.955,399,0.902,No Data,0.789,0.481,0.825,2017-04-01T00:00:00.000,34,No Data,0.033,No Data,0.87,No Data,417,0.974,,No Data,0.692
20K176,0.003,0.659,No Data,0.965,0.676,No Data,No Data,0.001,No Data,No Data,No Data,0.003,0.497,0.225,0.12,No Data,Well Developed,0.222,254,No Data,No Data,0.235,No Data,0.021,0.848,0.066,0.001,0.2,Elizabeth Culkin,No Data,98%,0.103,0.999,1224,0.19,No Data,0.789,0.48,0.184,2014-11-20T00:00:00.000,173,No Data,0.688,No Data,0.9,No Data,1238,0.97,,No Data,0.717
29Q033,0.042,0.683,No Data,0.936,0.475,0.688,No Data,0.019,No Data,No Data,Proficient,0.033,0.186,0.162,0.144,No Data,Proficient,No Data,141,No Data,No Data,0.018,No Data,0.053,0.775,0.083,0.012,0.5,Vincent Gatto,No Data,31%,No Data,0.997,909,0.226,0.788,0.608,0.476,0.292,2018-03-01T00:00:00.000,81,No Data,0.49,No Data,0.95,No Data,923,0.967,,No Data,0.54
12X286,0.01,0.56,276,0.938,0.011,No Data,No Data,0.0,0.903,0,Proficient,0.01,0.021,No Data,0.232,276,Developing,No Data,No Data,0,0,0.013,0,0.088,0.799,0.28,0.002,0.5,Abbey Wilson,No Data,0%,No Data,No Data,284,0.676,0.875,0.91,0.454,0.678,2018-05-01T00:00:00.000,No Data,97,0.011,18,0.75,97,284,0.981,0%,2.22,0.827
10X032,0.007,0.667,No Data,0.918,0.005,No Data,No Data,0.001,No Data,No Data,Well Developed,0.009,0.037,0.171,0.276,No Data,Well Developed,0.107,106,No Data,No Data,0.053,No Data,0.092,0.683,0.254,0.003,0.1,Rebecca Lew,No Data,54%,0.104,0.976,692,0.767,0.674,0.95,0.507,0.668,2020-01-01T00:00:00.000,25,No Data,0.006,No Data,0.86,No Data,693,0.973,,No Data,0.905
29Q135,0.042,0.672,No Data,0.932,0.358,0.833,No Data,0.012,No Data,No Data,Proficient,0.108,0.186,0.135,0.207,No Data,Proficient,0.105,145,No Data,No Data,0.018,No Data,0.076,0.733,0.09,0.007,0.3,DIANA LAGNESE,No Data,35%,0.281,0.98,816,0.214,0.781,0.615,0.49,0.218,2017-05-01T00:00:00.000,66,No Data,0.349,No Data,0.72,No Data,825,0.966,,No Data,0.566
21K095,0.006,0.776,215,0.95,0.359,No Data,1,0.004,0.935,0.473,Well Developed,0.006,0.274,No Data,0.177,215,Proficient,No Data,No Data,0.473,0.473,0.364,0,0.046,0.828,No Data,0.004,0.3,Janet Ndzibah,1,64%,No Data,No Data,974,0.331,0.676,0.768,0.489,0.363,2020-01-01T00:00:00.000,No Data,55,0.366,15,0.86,55,973,0.978,71%,No Data,0.701
13K113,0.011,No Data,324,0.918,0.064,No Data,1,0.021,0.841,0.404,Proficient,0.006,0.027,No Data,0.294,324,Proficient,No Data,No Data,0.404,0.404,0.057,0,0.111,0.802,0.194,0.006,1.0,Dawnique Daughtry,1,44%,No Data,No Data,333,0.243,0.667,0.886,0.498,0.267,2018-01-01T00:00:00.000,No Data,104,0.039,23,0.72,104,329,0.975,29%,2.39,0.814
07X343,0.008,0.292,296,0.939,0.006,No Data,0.838,0.013,0.891,0.316,Proficient,0.006,0.005,No Data,0.282,296,Proficient,No Data,No Data,0.316,0.316,0.011,0,0.096,0.82,0.292,0.002,0.4,Vincent Gassetto,1,0%,No Data,No Data,301,0.674,0.88,0.944,0.419,0.729,2019-11-01T00:00:00.000,No Data,98,0.013,21,0.71,98,298,0.98,74%,2.63,0.87
06M103,0.003,0.265,No Data,0.951,0.014,No Data,No Data,0.0,No Data,No Data,Well Developed,0.002,0.011,No Data,0.258,No Data,Well Developed,No Data,47,No Data,No Data,0.063,No Data,0.005,0.843,0.706,0.001,0.3,Victoria Hunt,No Data,71%,0,0.965,415,0.757,No Data,0.657,0.492,0.846,2018-12-01T00:00:00.000,15,No Data,0.005,No Data,0.94,No Data,418,0.985,,No Data,0.516
14K257,0.006,0.31,No Data,0.933,0.052,No Data,No Data,0.002,No Data,No Data,Well Developed,0.001,0.037,0.458,0.296,No Data,Proficient,No Data,92,No Data,No Data,0.223,No Data,0.176,0.812,0.524,0.0,0.2,Idalys Tolentino,No Data,74%,0.382,0.996,490,0.769,0.678,0.887,0.494,0.611,2019-10-01T00:00:00.000,36,No Data,0.002,No Data,0.96,No Data,501,0.983,,No Data,0.802
23K401,0.01,0.214,No Data,0.868,0.01,No Data,No Data,0.0,No Data,No Data,Proficient,0.019,0.009,No Data,0.285,No Data,Developing,No Data,27,No Data,No Data,0.014,No Data,0.1,0.427,No Data,0.0,0.2,DEON MITCHELL,No Data,31%,No Data,0.908,239,0.381,0.471,0.997,0.444,0.353,2017-01-01T00:00:00.000,10,No Data,0.0,No Data,No Data,No Data,213,0.972,,No Data,0.958
11X468,0.014,0.267,342,0.942,0.051,No Data,1,0.009,0.933,0.254,Proficient,0.005,0.066,No Data,0.231,342,Proficient,No Data,No Data,0.254,0.254,0.041,0,0.054,0.809,0.3,0.005,0.5,ANTHONY RIVERA,1,30%,No Data,No Data,351,0.621,0.85,0.84,0.45,0.571,2018-11-01T00:00:00.000,No Data,118,0.088,26,No Data,118,353,0.981,1%,2.64,0.764
29Q156,0.042,No Data,No Data,0.897,0.003,No Data,No Data,0.022,No Data,No Data,Proficient,0.019,0.186,No Data,0.151,No Data,Developing,No Data,32,No Data,No Data,0.018,No Data,0.054,0.5,No Data,0.006,0.3,Estelle Moore,No Data,66%,No Data,0.898,186,0.081,0.712,0.621,0.446,0.081,2017-12-01T00:00:00.000,6,No Data,0.005,No Data,No Data,No Data,192,0.994,,No Data,0.586
07X154,0.01,0.455,No Data,0.934,0.0,No Data,No Data,0.004,No Data,No Data,Proficient,0.008,0.004,0.217,0.26,No Data,Well Developed,No Data,54,No Data,No Data,0.014,No Data,0.007,0.744,0.242,0.002,0.1,Dr. Alison Coviello,No Data,34%,0.211,0.996,281,0.573,0.776,0.954,0.498,0.648,2017-04-01T00:00:00.000,16,No Data,0.0,No Data,0.76,No Data,291,0.979,,No Data,0.907
06M028,0.003,0.333,No Data,0.92,0.015,No Data,No Data,0.0,No Data,No Data,Proficient,0.005,0.011,0.364,0.345,No Data,Well Developed,0.067,96,No Data,No Data,0.063,No Data,0.16,0.707,0.574,0.001,0.2,LUIS FERNANDEZ,No Data,60%,0.263,0.995,481,0.786,0.634,0.953,0.462,0.696,2018-12-01T00:00:00.000,61,No Data,0.008,No Data,No Data,No Data,485,0.976,,No Data,0.896
19K007,0.017,0.6,No Data,0.926,0.038,No Data,No Data,0.011,No Data,No Data,Proficient,0.013,0.095,0.182,0.202,No Data,Proficient,0.091,121,No Data,No Data,0.02,No Data,0.061,0.741,0.217,0.003,0.3,Carolyn Noel,No Data,67%,0.333,0.968,733,0.836,0.585,0.858,0.518,0.834,2017-02-01T00:00:00.000,53,No Data,0.041,No Data,0.8,No Data,739,0.966,,No Data,0.793
24Q049,0.005,0.838,438,0.952,0.143,No Data,0.262,0.002,0.964,0.248,Proficient,0.006,0.194,No Data,0.184,438,Proficient,No Data,No Data,0.248,0.248,0.138,0.94,0.044,0.808,0.068,0.0,0.4,Thomas Carty,1,25%,No Data,No Data,1195,0.257,No Data,0.376,0.505,0.192,2018-11-01T00:00:00.000,No Data,133,0.189,32,0.75,133,1196,0.975,78%,No Data,0.333
20K164,0.003,0.732,No Data,0.953,0.339,No Data,No Data,0.0,No Data,No Data,No Data,0.01,0.497,0.5,0.195,No Data,Proficient,No Data,86,No Data,No Data,0.235,No Data,0.066,0.855,0.107,0.012,0.5,Erica Steinberg,No Data,82%,No Data,0.938,640,0.411,No Data,0.872,0.508,0.468,2016-03-29T00:00:00.000,47,No Data,0.444,No Data,0.89,No Data,641,0.971,,No Data,0.777
05M123,0.008,0.37,154,0.898,0.008,No Data,No Data,0.0,0.866,0,Well Developed,0.011,0.011,No Data,0.282,154,Developing,No Data,No Data,0,0,0.029,0,0.1,0.629,0.217,0.004,0.2,Melitina Hernandez,No Data,61%,No Data,No Data,401,0.409,0.664,0.947,0.444,0.353,2018-05-01T00:00:00.000,No Data,64,0.022,14,0.68,64,399,0.979,75%,No Data,0.885
18K279,0.008,0.444,No Data,0.939,0.007,No Data,No Data,0.007,No Data,No Data,Proficient,0.013,0.017,0.2,0.187,No Data,Proficient,No Data,59,No Data,No Data,0.04,No Data,0.074,0.579,No Data,0.004,0.3,LORENZO CHAMBERS,No Data,41%,0.308,0.974,299,0.064,0.844,0.697,0.502,0.069,2018-03-01T00:00:00.000,13,No Data,0.017,No Data,0.81,No Data,302,0.971,,No Data,0.619
28Q206,0.038,0.805,No Data,0.94,0.26,0.882,No Data,0.0,No Data,No Data,Proficient,0.01,0.283,0.12,0.13,No Data,Proficient,No Data,85,No Data,No Data,0.171,No Data,0.046,0.799,No Data,0.002,0.1,Joan Thomas,No Data,42%,No Data,0.977,538,0.288,0.877,0.693,0.489,0.348,2016-12-01T00:00:00.000,39,No Data,0.273,No Data,0.89,No Data,525,0.97,,No Data,0.61
29Q289,0.041,No Data,167,0.933,0.016,No Data,1,0.011,0.954,0.957,Proficient,0.014,0.154,No Data,0.236,167,Proficient,No Data,No Data,0.957,0.957,0.015,0,0.09,No Data,0,0.005,1.1,Richard Roder,1,8%,No Data,No Data,178,0.079,0.756,0.565,0.494,0.072,2017-02-01T00:00:00.000,No Data,46,0.017,20,0.7,46,169,0.984,5%,2.32,0.506
17K722,0.023,0.25,238,0.939,0.005,No Data,0,0.0,0.866,0,Proficient,0.021,0.02,No Data,0.29,238,Developing,No Data,No Data,0,0,0.025,0,0.089,0.8,No Data,0.002,0.5,Ativia Sandusky,No Data,0%,No Data,No Data,248,0.113,0.827,0.817,0.431,0.106,2019-04-01T00:00:00.000,No Data,95,0.0,13,0.79,95,253,0.98,0%,2.33,0.754
14K157,0.006,0.341,161,0.904,0.022,No Data,0,0.0,0.789,0,Proficient,0.004,0.034,No Data,0.308,161,Proficient,No Data,No Data,0,0,0.173,0,0.024,0.715,0.463,0.01,0.4,KOURTNEY BOYD,No Data,16%,No Data,No Data,377,0.782,0.507,0.86,0.459,0.45,2019-03-01T00:00:00.000,No Data,65,0.003,15,No Data,65,369,0.968,0%,No Data,0.788
12X314,0.013,0.5,No Data,0.922,0.008,No Data,No Data,0.0,No Data,No Data,Proficient,0.005,0.037,No Data,0.358,No Data,Developing,0.077,47,No Data,No Data,0.015,No Data,0.144,0.671,No Data,0.002,0.1,Scott Wolfson,No Data,68%,0.171,0.988,243,0.626,0.722,0.953,0.494,0.617,2017-03-01T00:00:00.000,No Data,No Data,0.0,No Data,0.65,No Data,244,0.981,,No Data,0.909
29Q059,0.041,0.205,543,0.908,0.015,No Data,0.983,0.0,0.88,0.16,Proficient,0.016,0.154,No Data,0.192,543,Proficient,No Data,No Data,0.316,0.16,0.015,0.321,0.069,0.568,No Data,0.005,0.9,CARLETON GORDON JR,1,11%,No Data,No Data,577,0.061,0.728,0.671,0.492,0.087,2017-03-01T00:00:00.000,No Data,187,0.014,48,0.57,187,564,0.983,0%,2.38,0.619
06M278,0.003,0.59,202,0.943,0.014,No Data,0,0.002,0.941,0,Proficient,0.003,0.011,No Data,0.223,202,Developing,No Data,No Data,0,0,0.059,0,0.025,0.856,0.205,0.003,0.6,LILLIAN REYES,No Data,16%,No Data,No Data,521,0.772,0.842,0.64,0.516,0.786,2019-03-01T00:00:00.000,No Data,66,0.023,16,0.72,66,528,0.969,94%,No Data,0.516
10X056,0.007,0.694,No Data,0.925,0.112,No Data,No Data,0.001,No Data,No Data,Well Developed,0.017,0.037,0.24,0.239,No Data,Proficient,No Data,88,No Data,No Data,0.053,No Data,0.075,0.722,0.184,0.002,0.1,M Oneill,No Data,52%,0.25,0.977,682,0.619,0.721,0.902,0.482,0.689,2019-11-01T00:00:00.000,51,No Data,0.195,No Data,0.99,No Data,682,0.979,,No Data,0.815
18K066,0.01,0.607,335,0.939,0.012,No Data,1,0.003,0.953,1,Well Developed,0.013,0.012,No Data,0.147,335,Proficient,No Data,No Data,1,1,0.025,0,0.033,0.776,No Data,0.003,0.7,Lucille Jackson,1,9%,No Data,No Data,727,0.102,0.837,0.642,0.499,0.107,2018-03-01T00:00:00.000,No Data,116,0.011,37,0.57,116,733,0.977,86%,No Data,0.558
26Q067,0.006,0.794,1027,0.973,0.607,No Data,0.74,0.003,0.993,0.704,Well Developed,0.005,0.645,No Data,0.109,1027,Well Developed,No Data,No Data,0.704,0.704,0.143,0.941,0.017,0.835,No Data,0.002,0.8,BRIAN ANNELLO,1,48%,No Data,No Data,1044,0.131,0.88,0.326,0.493,0.145,2017-12-01T00:00:00.000,No Data,307,0.592,45,0.73,307,1041,0.984,96%,3.81,0.27
20K227,0.003,0.731,1607,0.956,0.518,No Data,1,0.002,0.914,0.307,Proficient,0.003,0.516,No Data,0.156,1607,Proficient,No Data,No Data,0.307,0.307,0.181,0,0.052,0.788,0.083,0.003,0.6,Dr. Edwin Hernandez,1,51%,No Data,No Data,1637,0.319,No Data,0.815,0.441,0.282,2018-03-01T00:00:00.000,No Data,593,0.556,119,0.72,593,1648,0.98,92%,3.05,0.745
13K301,0.011,No Data,81,0.907,0.039,No Data,No Data,0.0,0.778,0,Proficient,0.005,0.027,No Data,0.307,81,Developing,No Data,No Data,0,0,0.057,0,0.068,No Data,No Data,0.015,0.6,KIM MCPHERSON,No Data,20%,No Data,No Data,88,0.148,0.657,0.877,0.489,0.161,2018-05-01T00:00:00.000,No Data,26,0.08,6,0.67,26,85,0.972,98%,2.35,0.841
10X037,0.007,0.609,205,0.914,0.022,No Data,0,0.003,0.867,0,Proficient,0.004,0.037,No Data,0.272,205,Proficient,No Data,No Data,0,0,0.046,0,0.105,0.716,0.217,0.002,0.3,KENNETH PETRICCIONE,No Data,26%,No Data,No Data,626,0.76,0.58,0.88,0.484,0.717,2017-11-01T00:00:00.000,No Data,62,0.018,13,0.71,62,621,0.974,88%,No Data,0.832
08X131,0.011,0.543,418,0.913,0.079,No Data,0,0.007,0.851,0,Proficient,0.011,0.06,No Data,0.305,418,Developing,No Data,No Data,0,0,0.038,0,0.083,0.627,No Data,0.003,0.5,Monique Mason,No Data,3%,No Data,No Data,446,0.63,0.624,0.922,0.513,0.581,2018-04-01T00:00:00.000,No Data,134,0.029,45,0.71,134,437,0.981,0%,2.28,0.848
09X294,0.005,0.349,No Data,0.938,0.003,No Data,No Data,0.002,No Data,No Data,Well Developed,0.009,0.008,No Data,0.269,No Data,Proficient,No Data,67,No Data,No Data,0.013,No Data,0.124,0.784,0.442,0.001,0.2,Daniel Russo,No Data,57%,No Data,0.997,476,0.821,0.731,0.951,0.5,0.84,2017-12-01T00:00:00.000,42,No Data,0.002,No Data,0.86,No Data,474,0.986,,No Data,0.87
20K163,0.003,0.837,213,0.943,0.381,No Data,0,0.005,0.93,0,Proficient,0.002,0.474,No Data,0.212,213,Proficient,No Data,No Data,0,0,0.242,1,0.081,0.803,No Data,0.002,0.2,Jessica Riccio,No Data,65%,No Data,No Data,633,0.367,No Data,0.736,0.487,0.36,2018-10-01T00:00:00.000,No Data,68,0.295,30,0.84,68,615,0.977,99%,No Data,0.652
15K107,0.004,0.784,No Data,0.949,0.098,0.857,No Data,0.018,No Data,No Data,Well Developed,0.0,0.193,No Data,0.18,No Data,Proficient,No Data,74,No Data,No Data,0.364,No Data,0.0,0.871,No Data,0.019,0.2,Eve Litwack,No Data,54%,No Data,1,549,0.111,0.882,0.096,0.519,0.16,2019-01-01T00:00:00.000,66,No Data,0.077,No Data,0.94,No Data,541,0.969,,No Data,0.053
20K127,0.003,0.85,No Data,0.949,0.315,No Data,No Data,0.0,No Data,No Data,Proficient,0.0,0.497,No Data,0.228,No Data,Proficient,No Data,62,No Data,No Data,0.235,No Data,0.037,0.794,No Data,0.0,0.3,Agatha Alicandro,No Data,89%,No Data,1,517,0.234,No Data,0.65,0.484,0.203,2019-11-01T00:00:00.000,44,No Data,0.395,No Data,0.94,No Data,516,0.973,,No Data,0.598
30Q002,0.007,0.919,No Data,0.945,0.063,No Data,No Data,0.006,No Data,No Data,No Data,0.005,0.217,0.208,0.203,No Data,Proficient,No Data,103,No Data,No Data,0.151,No Data,0.049,0.772,No Data,0.005,0.4,Amy Goldman,No Data,35%,No Data,1,533,0.362,0.667,0.653,0.462,0.305,2015-11-13T00:00:00.000,67,No Data,0.206,No Data,0.92,No Data,522,0.985,,No Data,0.585
05M154,0.008,0.226,No Data,0.915,0.0,No Data,No Data,0.032,No Data,No Data,Proficient,0.009,0.013,0,0.369,No Data,Proficient,No Data,39,No Data,No Data,0.04,No Data,0.147,0.642,0.161,0.0,0.2,ELIZABETH JARRETT,No Data,5%,No Data,0.992,217,0.3,0.625,0.952,0.369,0.406,2017-01-01T00:00:00.000,12,No Data,0.014,No Data,0.78,No Data,218,0.986,,No Data,0.912
15K038,0.004,0.526,No Data,0.922,0.063,0.821,No Data,0.0,No Data,No Data,Proficient,0.005,0.193,No Data,0.143,No Data,Proficient,0,82,No Data,No Data,0.364,No Data,0.046,0.608,0.211,0.002,0.9,PASCALE PRADEL,No Data,25%,0.056,0.991,495,0.204,0.622,0.532,0.475,0.205,2019-03-01T00:00:00.000,55,No Data,0.184,No Data,0.84,No Data,495,0.978,,No Data,0.434
02M183,0.003,0.842,No Data,0.953,0.221,0.935,No Data,0.002,No Data,No Data,Proficient,0.006,0.265,No Data,0.172,No Data,Proficient,No Data,63,No Data,No Data,0.445,No Data,0.0,0.821,No Data,0.003,0.2,Martin Woodard,No Data,34%,No Data,1,564,0.096,0.867,0.069,0.5,0.095,2019-05-01T00:00:00.000,53,No Data,0.161,No Data,0.95,No Data,564,0.976,,No Data,0.048
13K067,0.007,0.364,No Data,0.907,0.064,No Data,No Data,0.01,No Data,No Data,Proficient,0.009,0.044,No Data,0.358,No Data,Developing,No Data,26,No Data,No Data,0.238,No Data,0.132,0.629,No Data,0.002,0.2,Kyesha Jackson,No Data,56%,No Data,0.924,204,0.333,0.614,0.952,0.451,0.33,2017-05-01T00:00:00.000,12,No Data,0.025,No Data,0.73,No Data,206,0.992,,No Data,0.887
09X035,0.005,0.265,No Data,0.928,0.01,No Data,No Data,0.0,No Data,No Data,Proficient,0.012,0.008,0.118,0.252,No Data,Proficient,0,99,No Data,No Data,0.013,No Data,0.111,0.723,0.367,0.002,0.1,GRACIELA NAVARRO,No Data,42%,0.214,0.996,531,0.712,0.78,0.922,0.505,0.686,2016-12-01T00:00:00.000,38,No Data,0.002,No Data,0.86,No Data,537,0.977,,No Data,0.868
24Q058,0.006,0.933,No Data,0.955,0.358,No Data,No Data,0.003,No Data,No Data,Well Developed,0.003,0.185,0.257,0.177,No Data,Proficient,0.133,120,No Data,No Data,0.1,No Data,0.057,0.783,No Data,0.002,0.3,ADELINE VALASTRO-TRIPOLI,No Data,65%,0.25,0.999,933,0.402,No Data,0.583,0.493,0.408,2017-01-01T00:00:00.000,66,No Data,0.391,No Data,0.84,No Data,930,0.975,96%,No Data,0.535
29Q035,0.042,0.523,No Data,0.929,0.161,No Data,No Data,0.018,No Data,No Data,Proficient,0.062,0.186,0.25,0.154,No Data,Developing,No Data,90,No Data,No Data,0.018,No Data,0.076,0.698,No Data,0.01,0.3,MARK DEMPSEY,No Data,19%,0.304,0.917,655,0.261,0.79,0.726,0.47,0.261,2017-01-01T00:00:00.000,25,No Data,0.273,No Data,0.68,No Data,654,0.985,,No Data,0.666
27Q253,0.062,0.478,No Data,0.919,0.021,No Data,No Data,0.008,No Data,No Data,Well Developed,0.015,0.213,0.111,0.272,No Data,Proficient,No Data,79,No Data,No Data,0.049,No Data,0.074,0.739,0.174,0.006,0.3,Phoebe Grant Robinson,No Data,38%,0.176,0.978,503,0.672,0.583,0.881,0.515,0.593,2016-11-01T00:00:00.000,38,No Data,0.034,No Data,0.76,No Data,508,0.974,,No Data,0.803
01M839,0.005,0.567,348,0.945,0.112,No Data,0,0.006,0.956,0,Proficient,0.004,0.092,No Data,0.274,348,Proficient,No Data,No Data,0,0,0.133,0,0.0,0.822,No Data,0.005,0.5,SONHANDO ESTWICK,No Data,25%,No Data,No Data,358,0.433,0.811,0.618,0.5,0.549,2019-01-01T00:00:00.000,No Data,121,0.159,16,0.74,121,356,0.976,65%,2.98,0.461
14K318,0.004,0.705,1235,0.94,0.036,No Data,1,0.001,0.946,0.414,Proficient,0.005,0.037,No Data,0.184,1235,Proficient,No Data,No Data,0.414,0.414,0.126,0.389,0.077,0.774,0.125,0.002,0.9,Leander Windley,1,2%,No Data,No Data,1267,0.534,0.764,0.695,0.511,0.594,2019-03-01T00:00:00.000,No Data,391,0.073,83,0.69,391,1260,0.965,12%,3.07,0.594
08X182,0.012,0.729,No Data,0.928,0.016,No Data,No Data,0.0,No Data,No Data,Proficient,0.011,0.055,0.128,0.202,No Data,Well Developed,0,113,No Data,No Data,0.044,No Data,0.002,0.716,0.229,0.002,0.5,ANNE OGRADY,No Data,36%,0.094,0.987,614,0.653,0.732,0.852,0.498,0.646,2017-05-01T00:00:00.000,52,No Data,0.067,No Data,0.74,No Data,615,0.976,,No Data,0.801
