bin,filing_representative_first_name,boiler_equipment_work_type_,initial_cost,little_e,special_inspection_agency_number,house_no,postcode,specialinspectionrequirement,approved_date,place_of_assembly_work_type_,shed,scaffold,lot,street_name,bbl
4213931,,0,5000.0,Yes,,143-08,11435.0,,2019-10-29T17:44:35.000,0,0,0,29,94 AVENUE,4099920027.0
1059941,ELY,0,0.0,No,,571,10031.0,,2025-05-02T13:15:49.000,0,0,0,1,RIVERSIDE DRIVE,1020010001.0
4039132,GANG,0,199870.0,No,07010,93-09,11373.0,"Fire-Resistant Penetrations and Joints,Heating Systems,Mechanical Systems",2022-01-19T08:49:49.000,0,0,0,43,LAMONT AVENUE,4015650043.0
1041821,RUFUS,0,105000.0,No,000223,994,10075.0,"Fire-Resistant Penetrations and Joints,Tenant Protection Plan Compliance",2023-04-28T12:04:53.000,0,0,0,17,MADISON AVENUE,1013920017.0
3065463,ALEXANDER,0,5000.0,No,001958,341,11222.0,Mechanical Systems,,0,0,0,78,KINGSLAND AVENUE,3026080078.0
4045629,VITO,0,70000.0,No,400,48-01,11373.0,"Fire-Resistant Penetrations and Joints,Masonry",2025-05-27T11:20:01.000,0,0,0,1,90 STREET,4018490001.0
4624048,BAKHTIAR,0,57000.0,No,,189-20,11412.0,,2022-03-24T15:06:12.000,0,0,0,11,117 ROAD,4126000011.0
3336391,KHEMRAJ,0,12000.0,No,,595,11231.0,,2018-08-17T15:29:59.000,0,1,0,1,SMITH STREET,3004890001.0
2128204,TOM,0,15000.0,No,,2865,10468.0,,,0,0,1,56,CRESTON AVENUE,2033190056.0
3054892,DIANE,0,18500.0,No,8355,185,11205.0,"Fire-Resistant Penetrations and Joints,Tenant Protection Plan Compliance",2024-02-12T10:06:41.000,0,0,0,1,HALL STREET,3019050001.0
1052517,SANDRA,0,11200.0,No,,2111,10029.0,Fire-Resistant Penetrations and Joints,2020-02-26T11:52:26.000,0,0,0,3,3 AVENUE,1016650003.0
5095820,KHEMRAJ,0,0.0,No,2416,1075,10310.0,Post-installed Anchors,2025-05-21T11:45:31.000,0,0,0,1,CASTLETON AVENUE,5001960001.0
3137601,DENNIS,0,265000.0,No,,4915,11219.0,,2021-08-25T15:13:58.000,0,0,0,1,10 AVENUE,3056390001.0
2091959,JOEL,0,0.0,No,002416,905,10456.0,Post-installed Anchors,2025-07-18T14:55:16.000,0,0,0,90,TINTON AVENUE,2026380090.0
1023161,KRISTINA,0,19999.85,No,423,1301,10019.0,Sprinkler Systems,2022-06-24T09:22:58.000,0,0,0,29,AVENUE OF THE AMERICAS,1010050029.0
3171234,RICHARD,0,5000.0,No,,1044,11230.0,,2025-07-18T11:47:09.000,0,0,0,22,EAST   10 STREET,3065300022.0
1009750,Lori,0,23750.0,No,001428,350,10014.0,Fire-Resistant Penetrations and Joints,2022-06-23T13:07:14.000,0,0,0,39,HUDSON STREET,1005800039.0
1017134,WILLIAM,0,13333.34,No,000423,385,10016.0,Sprinkler Systems,2019-10-07T10:38:07.000,0,0,0,71,FIFTH AVENUE,1008650071.0
4046415,,0,36000.0,No,006857,97-46,11368.0,Fire-Resistant Penetrations and Joints,2022-03-30T10:38:00.000,0,0,0,13,CORONA AVENUE,4018790013.0
1035471,ELIZABETH,0,90000.12,No,,477,10022.0,,2019-11-14T16:37:30.000,0,0,0,21,MADISON AVENUE,1012870021.0
4099540,,0,24000.0,No,,22-01,11356.0,Concrete - Cast-In-Place,2024-07-12T10:53:08.000,0,0,0,19,123 STREET,4041990019.0
4532172,DAVID,0,20000.0,Yes,8792,150-11,11354.0,"Heating Systems,Tenant Protection Plan Compliance",2025-10-15T09:13:50.000,0,0,0,34,NORTHERN BOULEVARD,4050080034.0
3070620,MU/RO/BR/SE,0,478000.0,No,000267,512,11237.0,Fire-Resistant Penetrations and Joints,2021-05-26T15:42:43.000,0,0,0,18,JOHNSON AVENUE,3029930018.0
1035385,RALPH,0,1500.0,No,000423,420,10170.0,Mechanical Systems,2022-07-31T14:12:40.000,0,0,0,7501,LEXINGTON AVENUE,1012807501.0
3428717,KHEMRAJ,0,9000.0,No,,95,11238.0,,2021-10-08T13:07:23.000,0,0,1,47,QUINCY STREET,3019707508.0
1031749,jon,0,18000.0,No,3679,26,10025.0,Tenant Protection Plan Compliance,2023-02-13T22:20:03.000,0,0,0,142,WEST   96 STREET,1012090142.0
3063883,KHEMRAJ,0,7000.0,No,,217,11222.0,,,0,0,1,26,FRANKLIN STREET,3025037501.0
1087037,ELY,0,1.0,No,,4568,10040.0,,2023-09-18T02:05:19.000,0,0,1,1,BROADWAY,1021720001.0
3048827,,0,3000.0,No,,143,11206.0,,2019-05-03T16:23:23.000,0,0,0,4,TOMPKINS AVENUE,3017600004.0
2001065,ELY,0,1.0,No,,192,10451.0,,,0,0,1,5,EAST 151 STREET,2023487501.0
3005360,LISA,0,156000.0,No,007018,516,11231.0,Fire-Resistant Penetrations and Joints,2022-10-17T10:56:57.000,0,0,0,35,CLINTON STREET,3003700035.0
3244838,,0,4900.0,No,03596,409,11235.0,Fire-Resistant Penetrations and Joints,2022-09-08T16:16:37.000,0,0,0,71,BRIGHTON BEACH AVENUE,3086740071.0
3053721,,0,18000.0,Yes,005616,1274,11216.0,Fire-Resistant Penetrations and Joints,2022-10-06T14:21:37.000,0,0,0,51,FULTON STREET,3018600051.0
1080005,Joseph,0,1500000.0,No,106,49,10463.0,Fire-Resistant Penetrations and Joints,2022-05-06T11:25:39.000,0,0,0,116,WEST  225 STREET,1022150116.0
5107854,Lourdes,0,150003.0,No,,58,10307.0,,,0,0,0,1,SUMMIT STREET,5078980001.0
3196558,SHAHEEN,0,75000.0,No,,2840,11224.0,,2025-10-27T14:13:09.000,0,1,0,40,WEST   12 STREET,3072660040.0
4433462,,0,0.0,No,,62-55,11378.0,,2025-04-22T11:09:35.000,0,0,0,60,60 ROAD,4027570060.0
1023166,ALEXANDER,0,1999900.0,No,000784,825,10019.0,Fire-Resistant Penetrations and Joints,2021-11-26T13:03:53.000,0,0,0,7501,7 AVENUE,1010067501.0
1037551,ERIC,0,25000.0,Yes,000422,219,10017.0,Mechanical Systems,2019-12-13T14:06:17.000,0,0,0,12,EAST 42 STREET,1013160012.0
4181141,STEVEN,0,2500.0,No,,79-13,11421.0,,2019-05-02T14:10:44.000,0,0,0,118,JAMAICA AVENUE,4088430118.0
1042399,BRANDAN,0,50000.0,No,002168,173,10065.0,Sprinkler Systems,2025-02-25T13:24:33.000,0,0,0,128,EAST   64 STREET,1013990128.0
2005950,SYLVESTER,0,100000.0,No,1471,847,10474.0,Post-installed Anchors,2024-02-07T08:12:53.000,0,0,1,21,HUNTS POINT AVENUE,2027400021.0
3063966,OLHA,0,1000.0,No,,180,11222.0,,2025-08-11T11:41:44.000,0,0,0,23,EAGLE STREET,3025050023.0
3119122,KHEMRAJ,0,6000.0,No,,2611,11226.0,,2021-03-22T15:18:21.000,0,1,0,40,CLARENDON ROAD,3051700040.0
4623863,HANJUN,0,6000855.8,No,5613,135-25,11354.0,"Chimneys and vents,Concrete - Cast-In-Place,Excavations - Sheeting, Shoring, and Bracing,Fire-Resistant Penetrations and Joints,Masonry,Structural Stability – Alterations of existing buildings,Subgrade Inspections,Subsurface Investigations (Borings/Test Pits),Underpinning,Wall Panels, Curtain Walls, and Veneers",2022-02-24T11:51:28.000,0,0,0,55,NORTHERN BOULEVARD,4049580055.0
1007722,ANDREW,0,1000.0,No,,155,10012.0,,,0,0,1,7502,SPRING STREET,1005017502.0
1002375,KHEMRAJ,0,6000.0,No,,85,10013.0,,,0,1,0,20,MULBERRY STREET,1001990020.0
3208461,BENIGNUS,0,20000.0,No,317,2515,11210.0,"Excavations - Sheeting, Shoring, and Bracing",2024-10-30T11:02:14.000,0,0,0,1,AVENUE L,3076250001.0
3043737,DANIEL,0,160.0,No,,773,11221.0,,,0,0,0,51,GREENE AVENUE,3016147502.0
1081034,NICHOLAS,0,9036.0,No,"001158,007344,7344",200,10023.0,"Fire-Resistant Penetrations and Joints,Post-installed Anchors,Sprinkler Systems",2021-11-01T13:44:54.000,0,0,0,7503,WEST   72 STREET,1011637503.0
3049961,MIN,0,152165.0,No,006781,652 B,11216.0,"Construction Operations Influencing Adjacent Structures,Fire-Resistant Penetrations and Joints,Structural Stability – Alterations of existing buildings",2022-12-26T12:12:21.000,0,0,0,42,LAFAYETTE AVENUE,3017890042.0
1041320,MU/RO/BR/SE,0,170000.0,No,3028,10,10021.0,"Fire-Resistant Penetrations and Joints,Post-installed Anchors",2024-10-04T14:14:02.000,0,0,0,63,EAST   70 STREET,1013840063.0
1056379,JACQUELINE,0,5100.0,No,007503,768,10025.0,Fire-Resistant Penetrations and Joints,2022-09-15T14:41:45.000,0,0,0,33,AMSTERDAM AVENUE,1018690033.0
1071414,ANDREW,0,170000.0,No,,1166,10036.0,,2021-06-21T14:27:12.000,0,0,0,7501,AVENUE OF THE AMERICAS,1012617501.0
4442647,DENNIS,0,75000.0,No,,64-02,11375.0,,2023-08-22T12:40:59.000,0,0,0,1,108 STREET,4021490001.0
1035385,ANDREW,0,6000.0,No,000423,420,10170.0,Mechanical Systems,2019-11-18T11:48:19.000,0,0,0,7501,LEXINGTON AVENUE,1012807501.0
1001015,MU/RO/BR/SE,0,25000.0,No,003028,80,10038.0,Fire-Resistant Penetrations and Joints,2021-01-15T14:31:10.000,0,0,0,31,MAIDEN LANE,1000420031.0
1064443,MIN,0,134940.0,No,006781,729,10033.0,Fire-Resistant Penetrations and Joints,2023-09-14T18:48:31.000,0,0,0,200,WEST  186 STREET,1021800200.0
3130402,,0,86400.0,No,0416,1037,11204.0,"Fire-Resistant Penetrations and Joints,Sprinkler Systems",2023-11-15T15:24:05.000,0,0,0,82,DAHILL ROAD,3054830082.0
1090695,JAYNE,0,0.0,Yes,687,10,10011.0,Standpipe Systems,2024-09-13T18:01:43.000,0,0,0,56,WEST   17 STREET,1008180056.0
1048063,,0,17100.0,No,,160,10128.0,,2021-02-22T16:55:01.000,0,0,0,52,EAST   88 STREET,1015160052.0
4085809,,0,30000.0,No,,1618,11385.0,,2023-07-24T10:09:57.000,0,0,0,14,DECATUR STREET,4035560014.0
3182672,ALEX,0,1000.0,No,8449,1663,11229.0,Fire-Resistant Penetrations and Joints,2025-08-28T16:33:49.000,0,0,0,51,EAST   23 STREET,3067860051.0
1082654,XIAOLING,0,50000.0,No,,264,10002.0,Tenant Protection Plan Compliance,2025-07-31T09:00:07.000,0,0,0,1,EAST BROADWAY,1003150001.0
3027544,ANJU,0,7196.1,No,005616,996,11238.0,Fire-Resistant Penetrations and Joints,2021-10-15T13:54:10.000,0,0,0,9,ATLANTIC AVENUE,3011250009.0
3429884,HERSHEY,0,1000.0,Yes,,2900,11229.0,"Concrete - Cast-In-Place,Excavations - Sheeting, Shoring, and Bracing,Subgrade Inspections,Subsurface Conditions – Fill Placement & In-Place Density,Subsurface Investigations (Borings/Test Pits)",2024-05-20T09:46:46.000,0,0,0,73,NOSTRAND AVENUE,3076900073.0
1022568,,0,8000.0,No,1733,1450,10018.0,"Fire-Resistant Penetrations and Joints,Sprinkler Systems",2022-06-10T15:59:54.000,0,0,0,47,BROADWAY,1009930047.0
4106709,Michael,0,0.0,No,,16-01,11357.0,,2019-06-03T11:59:01.000,0,0,0,1,150 PLACE,4047010001.0
2013733,,0,1000.0,No,,2300,10458.0,,,0,1,0,1,GRAND CONCOURSE,2031590001.0
2006405,,0,10500.0,No,004189,1360,10474.0,Masonry,2022-04-20T17:01:54.000,0,0,0,219,GARRISON AVENUE,2027610219.0
1083953,KHEMRAJ,0,11000.0,No,,2080,10029.0,,2018-11-07T09:38:34.000,0,1,0,1,1 AVENUE,1017010001.0
2091484,NIRAJ,0,959010.0,No,,2777,10465.0,"Masonry,Post-installed Anchors,Structural Stability – Alterations of existing buildings,Tenant Protection Plan Compliance",2025-06-06T09:44:05.000,0,0,0,1,SCHLEY AVENUE,2055670001.0
3219340,JAYDEN,0,8000.0,No,,2026,11234.0,,2023-12-27T09:13:30.000,0,0,0,56,FLATBUSH AVENUE,3078610056.0
3253978,,0,1000.0,No,000416,501,11223.0,"Fire-Resistant Penetrations and Joints,Sprinkler Systems",2024-03-22T09:07:31.000,0,0,0,184,AVENUE T,3071080184.0
3335143,LUCAS,0,500000.0,No,002004,141,11205.0,Mechanical Systems,2025-04-16T10:40:54.000,0,0,0,1,FLUSHING AVENUE,3020230001.0
1091745,jocelyn,0,1000.0,Yes,"000687,000977",80,10014.0,"Deep Foundation Elements,Excavations - Sheeting, Shoring, and Bracing,Structural Steel - Welding,Subsurface Investigations (Borings/Test Pits)",2023-10-30T12:04:10.000,0,0,0,30,CLARKSON STREET,1005967502.0
