participated,ge10,sp0217,politicalparty_15,politicalparty_12,borocode_16,civilcourtdistrict_16,politicalparty_18,pr08,pr0616,electiondistrict_11,congressdistrict_15,assemblydistrict_17,nta_16,ct2010_11,registrationyear,councildistrict_11,eligible,ge12,councildistrict_09,councildistrict_16,congressdistrict_09,politicalparty_08,weights,congressdistrict_11,nta_13,sp0609,communitydistrict_16,senatedistrict_12,pr0912
3,,,DEM,,2.0,2.0,DEM,,0.0,,15.0,79.0,BX34,,2015,,10,,,17.0,,,0.3125,,,,201.0,,
2,0.0,,IND,IND,5.0,2.0,IND,,,83.0,11.0,63.0,SI48,17010.0,2009,51.0,11,0.0,51.0,51.0,13.0,,0.34375,13.0,SI48,,503.0,24.0,
3,0.0,,REP,REP,4.0,6.0,REP,,,23.0,6.0,27.0,QN38,122701.0,2000,24.0,17,0.0,24.0,24.0,9.0,REP,0.53125,9.0,QN38,,408.0,16.0,
0,0.0,,,DEM,3.0,5.0,DEM,,,33.0,,44.0,BK40,50202.0,1988,39.0,23,0.0,39.0,39.0,11.0,DEM,0.71875,11.0,BK40,,307.0,21.0,
2,0.0,,DEM,DEM,3.0,2.0,DEM,,,105.0,8.0,57.0,BK61,31500.0,2010,36.0,18,1.0,,36.0,,,0.5625,10.0,BK61,,308.0,25.0,0.0
6,,,,,3.0,1.0,DEM,,,,,50.0,BK68,,2016,,7,,,35.0,,,0.21875,,,,302.0,,
1,,,,,,,DEM,,,,,69.0,,,2017,,2,,,,,,0.0625,,,,,,
2,,,,,,,DEM,,,,,,,,2018,,3,,,,,,0.09375,,,,,,
4,,,DEM,DEM,4.0,3.0,DEM,,,,6.0,28.0,QN21,,2012,,12,1.0,,30.0,,,0.375,,QN21,,405.0,15.0,
1,,,,,3.0,6.0,DEM,,,,,42.0,BK42,,2016,,6,,,40.0,,,0.1875,,,,314.0,,
0,,,,,,,BLK,,,,,36.0,,,2017,,2,,,,,,0.0625,,,,,,
3,,,DEM,,4.0,2.0,DEM,,,,14.0,39.0,QN25,,2014,,9,,,21.0,,,0.28125,,,,404.0,,
3,,,BLK,BLK,3.0,1.0,BLK,,,,8.0,52.0,BK38,,2012,,6,1.0,,33.0,,,0.1875,,BK38,,302.0,25.0,
12,1.0,,DEM,DEM,4.0,4.0,DEM,,0.0,5.0,3.0,33.0,QN43,161700.0,1990,23.0,25,1.0,23.0,23.0,6.0,DEM,0.78125,6.0,QN43,,413.0,11.0,0.0
0,0.0,,DEM,DEM,4.0,3.0,DEM,,0.0,3.0,7.0,38.0,QN53,4200.0,2009,32.0,23,0.0,32.0,32.0,9.0,DEM,0.71875,9.0,QN53,,409.0,12.0,0.0
10,1.0,,BLK,REP,4.0,6.0,BLK,,,68.0,3.0,26.0,QN45,148300.0,1976,19.0,14,1.0,19.0,19.0,5.0,REP,0.4375,5.0,QN45,,411.0,11.0,
4,0.0,,DEM,BLK,3.0,7.0,DEM,,1.0,36.0,7.0,54.0,BK77,43700.0,2006,37.0,16,0.0,37.0,37.0,12.0,BLK,0.5,12.0,BK77,,304.0,18.0,
1,0.0,,BLK,BLK,2.0,2.0,DEM,,0.0,69.0,15.0,79.0,BX34,7700.0,2004,17.0,18,0.0,17.0,17.0,16.0,BLK,0.5625,16.0,BX34,,201.0,32.0,
2,0.0,,DEM,DEM,2.0,1.0,DEM,,0.0,80.0,15.0,87.0,BX09,9000.0,1995,18.0,26,0.0,18.0,18.0,7.0,DEM,0.8125,7.0,BX09,,209.0,32.0,0.0
9,1.0,,DEM,DEM,2.0,1.0,DEM,,,3.0,14.0,82.0,BX52,11800.0,1992,13.0,22,1.0,13.0,13.0,7.0,DEM,0.6875,7.0,BX52,,210.0,34.0,
2,,,REP,,1.0,1.0,REP,,,,10.0,66.0,MN25,,2014,,5,,,1.0,,,0.15625,,,,101.0,,
0,,,,,,,DEM,,,,,,,,2018,,2,,,,,,0.0625,,,,,,
0,,,,,,,DEM,,,,,,,,2018,,1,,,,,,0.03125,,,,,,
2,0.0,,BLK,BLK,4.0,2.0,BLK,,,50.0,6.0,39.0,QN50,26500.0,1998,25.0,12,1.0,25.0,25.0,7.0,BLK,0.375,7.0,QN50,,404.0,16.0,
3,,,,,1.0,6.0,DEM,,,,,76.0,MN32,,2017,,5,,,5.0,,,0.15625,,,,108.0,,
0,0.0,,REP,REP,5.0,2.0,REP,0.0,,101.0,11.0,62.0,SI01,19800.0,1997,51.0,23,0.0,51.0,51.0,13.0,REP,0.71875,13.0,SI01,,503.0,24.0,
0,,,,,2.0,2.0,BLK,,,,,86.0,BX30,,2016,,3,,,14.0,,,0.09375,,,,207.0,,
1,0.0,,BLK,BLK,2.0,2.0,BLK,,,54.0,15.0,84.0,BX39,4100.0,2006,8.0,11,0.0,8.0,8.0,16.0,BLK,0.34375,16.0,BX39,,201.0,29.0,
5,0.0,,BLK,BLK,2.0,1.0,BLK,,,41.0,14.0,82.0,BX52,16000.0,2001,13.0,11,1.0,13.0,13.0,7.0,BLK,0.34375,7.0,BX52,,210.0,34.0,
7,0.0,,,DEM,1.0,9.0,DEM,,0.0,103.0,,75.0,MN17,13700.0,2006,4.0,19,1.0,4.0,4.0,14.0,DEM,0.59375,14.0,MN17,,105.0,28.0,
5,0.0,,DEM,DEM,2.0,2.0,DEM,0.0,0.0,49.0,15.0,86.0,BX40,23703.0,1998,14.0,26,1.0,14.0,14.0,16.0,DEM,0.8125,16.0,BX40,,205.0,33.0,0.0
0,,,,,,,DEM,,,,,,,,2018,,1,,,,,,0.03125,,,,,,
11,1.0,,DEM,BLK,1.0,3.0,DEM,,0.0,109.0,10.0,75.0,MN13,14802.0,1992,5.0,19,1.0,5.0,3.0,14.0,DEM,0.59375,14.0,MN40,,104.0,28.0,
0,0.0,,,BLK,3.0,3.0,BLK,,,55.0,,53.0,BK78,48900.0,2000,34.0,10,0.0,34.0,34.0,12.0,BLK,0.3125,12.0,BK78,,301.0,18.0,
2,0.0,,DEM,DEM,3.0,8.0,DEM,,,108.0,9.0,41.0,BK17,59800.0,2010,46.0,18,1.0,,48.0,,,0.5625,9.0,BK17,,315.0,23.0,
1,,,,,,,DEM,,,,,,,,2018,,1,,,,,,0.03125,,,,,,
4,,,DEM,DEM,2.0,2.0,DEM,,0.0,,15.0,86.0,BX41,,2008,,20,1.0,34.0,15.0,12.0,DEM,0.625,,BK78,,205.0,18.0,0.0
2,0.0,,,IND,,,DEM,,,26.0,,,,21500.0,2004,35.0,8,0.0,35.0,,11.0,IND,0.25,11.0,BK64,,,20.0,
1,0.0,0.0,BLK,BLK,1.0,10.0,BLK,,,2.0,13.0,71.0,MN03,23200.0,2008,7.0,12,0.0,7.0,9.0,15.0,BLK,0.375,15.0,MN03,,110.0,30.0,
4,,,DEM,,4.0,2.0,DEM,,,,14.0,35.0,QN27,,2013,,9,,,21.0,,,0.28125,,QN27,,403.0,,
8,0.0,,REP,REP,1.0,7.0,REP,,,37.0,13.0,71.0,MN36,24700.0,1984,7.0,16,1.0,7.0,7.0,15.0,REP,0.5,15.0,MN36,,112.0,31.0,
9,,,DEM,,2.0,1.0,DEM,,0.0,,15.0,84.0,BX27,,2004,,21,,17.0,17.0,16.0,DEM,0.65625,,BX27,,202.0,,
1,,,,,,,DEM,,,,,,,,2018,,2,,,,,,0.0625,,,,,,
0,,,,,,,DEM,,,,,,,,2018,,2,,,,,,0.0625,,,,,,
1,,,REP,,3.0,5.0,REP,,,,7.0,51.0,BK34,,2013,,7,,,38.0,,,0.21875,,BK34,,312.0,,
0,,,,,3.0,5.0,BLK,,,,,44.0,BK42,,2016,,3,,,44.0,,,0.09375,,,,314.0,,
3,0.0,,REP,REP,3.0,6.0,REP,,,23.0,9.0,52.0,BK37,16500.0,1986,33.0,16,1.0,33.0,39.0,11.0,REP,0.5,11.0,BK37,,306.0,21.0,
0,,,,,,,BLK,,,,,,,,2018,,1,,,,,,0.03125,,,,,,
13,0.0,,DEM,DEM,1.0,9.0,DEM,,0.0,62.0,12.0,73.0,MN40,14200.0,1988,4.0,23,1.0,4.0,4.0,14.0,DEM,0.71875,14.0,MN40,,108.0,28.0,
7,1.0,,DEM,DEM,1.0,2.0,DEM,0.0,0.0,35.0,7.0,65.0,MN24,4100.0,2004,1.0,26,0.0,1.0,1.0,12.0,DEM,0.8125,12.0,MN24,,102.0,26.0,
4,,,,,3.0,1.0,DEM,,0.0,,,52.0,BK09,,2016,,7,,,33.0,,,0.21875,,,,302.0,,
4,,,DEM,DEM,3.0,1.0,DEM,,,51.0,8.0,57.0,BK68,17900.0,2010,35.0,16,1.0,,35.0,,,0.5,11.0,BK68,,302.0,25.0,0.0
0,,,,,,,BLK,,,,,,,,2018,,0,,,,,,0.0,,,,,,
0,,,,,2.0,2.0,DEM,,0.0,,,77.0,BX14,,2016,,7,,,16.0,,,0.21875,,,,204.0,,
1,0.0,,BLK,REP,4.0,6.0,BLK,,,28.0,3.0,26.0,QN47,99704.0,2009,19.0,12,1.0,19.0,19.0,5.0,,0.375,5.0,QN47,,407.0,11.0,
0,,,DEM,,3.0,5.0,DEM,,0.0,,10.0,48.0,BK88,,2015,,7,,,44.0,,,0.21875,,,,312.0,,
7,1.0,,DEM,DEM,3.0,3.0,DEM,,0.0,58.0,7.0,50.0,BK73,54900.0,2001,34.0,22,1.0,34.0,34.0,12.0,DEM,0.6875,12.0,BK73,,301.0,26.0,
3,,,DEM,,3.0,6.0,DEM,,,,9.0,42.0,BK42,,2015,,8,,,40.0,,,0.25,,,,314.0,,
22,1.0,,DEM,DEM,2.0,1.0,DEM,,,28.0,14.0,87.0,BX46,21602.0,1981,18.0,25,1.0,18.0,18.0,7.0,DEM,0.78125,7.0,BX46,,209.0,32.0,1.0
2,,,DEM,REP,4.0,1.0,DEM,,0.0,,12.0,37.0,QN70,,1995,,18,0.0,,26.0,,REP,0.5625,,QN70,,401.0,12.0,
0,,,,,,,BLK,,,,,76.0,,,2017,,2,,,,,,0.0625,,,,,,
0,,,,,4.0,6.0,BLK,,,,,26.0,QN47,,2016,,3,,,19.0,,,0.09375,,,,407.0,,
8,,,DEM,DEM,2.0,2.0,DEM,,0.0,51.0,15.0,77.0,BX14,17702.0,2011,16.0,17,1.0,,16.0,,,0.53125,16.0,BX14,,204.0,33.0,0.0
16,1.0,,DEM,DEM,2.0,1.0,DEM,,,91.0,16.0,82.0,BX13,46201.0,2003,12.0,24,1.0,12.0,12.0,7.0,DEM,0.75,7.0,BX13,,210.0,36.0,
9,1.0,,DEM,DEM,4.0,1.0,DEM,,,117.0,14.0,36.0,QN72,15200.0,1969,4.0,22,0.0,4.0,22.0,14.0,DEM,0.6875,14.0,QN72,,401.0,13.0,
0,,,DEM,,2.0,2.0,DEM,,0.0,,13.0,78.0,BX28,,2015,,8,,,14.0,,,0.25,,,,208.0,,
2,,,BLK,BLK,1.0,8.0,BLK,,,,13.0,68.0,MN34,,2012,,6,1.0,,8.0,,,0.1875,,MN34,,111.0,29.0,
0,,,,,,,BLK,,,,,,,,2018,,1,,,,,,0.03125,,,,,,
4,1.0,,BLK,BLK,1.0,6.0,BLK,,,70.0,12.0,73.0,MN40,14000.0,2001,5.0,11,1.0,5.0,5.0,14.0,BLK,0.34375,14.0,MN40,,108.0,28.0,
0,,,,,,,BLK,,,,,,,,2018,,0,,,,,,0.0,,,,,,
0,,,BLK,,5.0,2.0,BLK,,,,11.0,63.0,SI48,,2014,,6,,,51.0,,,0.1875,,,,503.0,,
0,0.0,,BLK,BLK,3.0,8.0,BLK,,,50.0,8.0,59.0,BK45,63600.0,1984,46.0,12,0.0,46.0,46.0,9.0,BLK,0.375,9.0,BK45,,318.0,22.0,
6,0.0,,REP,REP,1.0,5.0,BLK,,,10.0,10.0,69.0,MN12,17700.0,1992,6.0,16,1.0,6.0,6.0,15.0,REP,0.5,15.0,MN12,,107.0,30.0,
0,0.0,,,BLK,3.0,8.0,BLK,,,27.0,,45.0,BK25,58800.0,2002,48.0,12,0.0,48.0,48.0,9.0,BLK,0.375,9.0,BK25,,315.0,17.0,
0,0.0,,DEM,DEM,1.0,7.0,DEM,0.0,0.0,63.0,13.0,72.0,MN01,30700.0,2004,7.0,26,0.0,7.0,10.0,15.0,DEM,0.8125,15.0,MN01,,112.0,31.0,0.0
2,,,REP,,1.0,1.0,REP,,,,10.0,66.0,MN25,,2014,,6,,,1.0,,,0.1875,,,,101.0,,
0,,,DEM,DEM,2.0,2.0,DEM,,0.0,8.0,15.0,84.0,BX63,19500.0,2012,16.0,16,0.0,,16.0,,,0.5,16.0,BX63,,204.0,29.0,0.0
1,,,,,4.0,6.0,DEM,,,,,25.0,QN38,,2016,,5,,,24.0,,,0.15625,,,,408.0,,
3,1.0,,DEM,DEM,3.0,6.0,DEM,,,101.0,9.0,44.0,BK40,7800.0,2000,4.0,22,1.0,4.0,39.0,14.0,DEM,0.6875,14.0,MN20,,307.0,28.0,
3,1.0,,DEM,DEM,4.0,2.0,DEM,,,31.0,14.0,35.0,QN25,43702.0,2007,25.0,22,0.0,25.0,21.0,5.0,DEM,0.6875,5.0,QN25,,404.0,13.0,
2,,,,,4.0,1.0,DEM,,,,,36.0,QN70,,2016,,6,,,22.0,,,0.1875,,,,401.0,,
3,,,,,5.0,1.0,DEM,,,,,63.0,SI07,,2016,,6,,,50.0,,,0.1875,,,,501.0,,
20,0.0,,DEM,DEM,2.0,1.0,DEM,,,102.0,16.0,82.0,BX13,46201.0,1998,12.0,24,1.0,12.0,12.0,7.0,DEM,0.75,7.0,BX13,,210.0,36.0,
15,1.0,,DEM,DEM,5.0,1.0,DEM,0.0,,34.0,11.0,61.0,SI22,8100.0,1977,49.0,24,1.0,49.0,49.0,13.0,DEM,0.75,13.0,SI22,,501.0,23.0,
0,0.0,,,DEM,3.0,3.0,DEM,0.0,0.0,50.0,,50.0,BK72,53300.0,1986,33.0,23,0.0,33.0,33.0,10.0,DEM,0.71875,10.0,BK72,,301.0,26.0,
0,0.0,,,DEM,2.0,2.0,DEM,,0.0,47.0,,77.0,BX26,22500.0,2007,16.0,22,0.0,16.0,8.0,16.0,DEM,0.6875,16.0,BX14,0.0,204.0,33.0,0.0
