civilcourtdistrict_18,assemblydistrict_13,politicalparty_17,ct2010_14,senatedistrict_10,communitydistrict_08,sp13,politicalparty_11,ge18,sp15,senatedistrict_17,participation_score_2018,electiondistrict_18,pr0916,ro09,congressdistrict_12,borocode_09,ct2000_08,borocode_14,councildistrict_08,nta_12,ct2010_16,congressdistrict_18,pr09,age,borocode_13,electiondistrict_16,assemblydistrict_09,sp0210,ge13,politicalparty_14,borocode_15,councildistrict_10,councildistrict_13,ro13,communitydistrict_18,electiondistrict_09,pr17,borocode_18,sp12
3,53.0,DEM,52300.0,17.0,301.0,,DEM,1.0,,18.0,75.0,3,1.0,0.0,7.0,3.0,52300.0,3.0,34.0,BK73,52300.0,7,0.0,60,3.0,3.0,53.0,,1.0,DEM,3.0,34.0,34.0,0.0,301,22.0,1.0,3,
5,46.0,DEM,20200.0,22.0,,,REP,1.0,0.0,22.0,29.4117647058824,67,,,11.0,,,3.0,,BK30,20200.0,11,,35,3.0,67.0,,,0.0,DEM,3.0,43.0,43.0,,310,,1.0,3,
2,37.0,BLK,18101.0,12.0,402.0,,BLK,1.0,,12.0,44.4444444444444,32,,,14.0,4.0,18100.0,4.0,26.0,QN31,18101.0,14,,52,4.0,32.0,37.0,,0.0,BLK,4.0,26.0,26.0,,402,43.0,,4,
2,84.0,BLK,5100.0,28.0,201.0,,BLK,1.0,,29.0,27.2727272727273,29,,,15.0,2.0,4700.0,2.0,17.0,BX39,5100.0,15,,32,2.0,29.0,84.0,,0.0,BLK,2.0,17.0,8.0,,201,29.0,,2,
7,71.0,DEM,24700.0,31.0,112.0,,DEM,0.0,,31.0,40.0,54,0.0,1.0,13.0,1.0,24700.0,1.0,7.0,MN36,24700.0,13,1.0,73,1.0,54.0,71.0,,1.0,DEM,1.0,7.0,7.0,0.0,112,40.0,0.0,1,
4,57.0,DEM,23300.0,18.0,,,DEM,1.0,,10.0,45.0,52,0.0,,8.0,,,3.0,,BK75,18402.0,5,,34,3.0,51.0,,,1.0,DEM,3.0,36.0,35.0,0.0,412,,0.0,4,
4,,DEM,,,,,,1.0,,27.0,28.5714285714286,71,,,,,,,,,4800.0,12,,25,,71.0,,,,,,,,,106,,0.0,1,
4,,DEM,,,,,,0.0,,20.0,28.5714285714286,1,,,,,,,,,87800.0,9,,26,,1.0,,,,,3.0,,,,317,,0.0,3,
3,23.0,DEM,8800.0,15.0,410.0,,DEM,0.0,,15.0,4.16666666666667,53,,0.0,8.0,4.0,8800.0,4.0,32.0,QN56,8800.0,8,0.0,57,4.0,53.0,23.0,,0.0,DEM,4.0,32.0,32.0,0.0,410,17.0,0.0,4,
7,70.0,DEM,20901.0,30.0,109.0,,DEM,1.0,,30.0,20.0,74,,0.0,13.0,1.0,20901.0,1.0,7.0,MN09,20901.0,13,0.0,82,1.0,74.0,70.0,,0.0,DEM,1.0,7.0,9.0,0.0,109,90.0,0.0,1,
4,74.0,IND,6200.0,29.0,,,IND,0.0,,27.0,44.4444444444444,80,,,12.0,,,1.0,,MN20,6200.0,12,,67,1.0,80.0,,,0.0,IND,1.0,4.0,4.0,,106,,,1,
6,54.0,DEM,28300.0,21.0,,,DEM,0.0,,18.0,12.5,55,0.0,,9.0,,,3.0,,BK58,28300.0,9,,31,3.0,7.0,,,0.0,DEM,3.0,45.0,36.0,0.0,318,,0.0,3,
4,58.0,DEM,88600.0,,,,,0.0,,20.0,15.3846153846154,85,,,9.0,,,3.0,,BK96,88600.0,9,,28,3.0,11.0,,,0.0,DEM,3.0,,41.0,0.0,317,,0.0,3,
6,,BLK,,17.0,301.0,,BLK,1.0,,21.0,37.5,79,,,7.0,3.0,52900.0,,33.0,BK73,16500.0,9,,35,,79.0,50.0,,,,,34.0,,,306,63.0,,3,
5,,BLK,91601.0,,,,,0.0,,15.0,0.0,1,,,,,,4.0,,,91601.0,5,,23,,1.0,,,,BLK,4.0,,,,414,,,4,
1,87.0,DEM,,32.0,209.0,,IND,1.0,,34.0,20.0,69,0.0,,15.0,2.0,6400.0,,18.0,BX08,9600.0,14,,43,2.0,69.0,76.0,,0.0,,,18.0,18.0,,209,55.0,0.0,2,
5,49.0,DEM,19400.0,22.0,310.0,,DEM,0.0,,22.0,33.3333333333333,20,,0.0,10.0,3.0,19400.0,3.0,43.0,BK30,19400.0,10,0.0,57,3.0,20.0,49.0,,1.0,DEM,3.0,43.0,38.0,0.0,310,17.0,0.0,3,
1,82.0,REP,25200.0,34.0,211.0,,REP,1.0,,34.0,35.2941176470588,119,,,14.0,2.0,25200.0,2.0,13.0,BX37,25200.0,14,,54,2.0,56.0,80.0,,0.0,REP,2.0,13.0,13.0,,211,10.0,,2,
1,81.0,DEM,41400.0,36.0,212.0,,DEM,0.0,,36.0,8.0,21,0.0,0.0,16.0,2.0,42800.0,2.0,12.0,BX62,41400.0,16,0.0,50,2.0,21.0,83.0,,0.0,DEM,2.0,11.0,11.0,0.0,212,75.0,0.0,2,
4,58.0,DEM,84000.0,18.0,302.0,,DEM,0.0,,21.0,8.33333333333333,31,,0.0,9.0,3.0,19900.0,3.0,35.0,BK91,84000.0,9,0.0,58,3.0,31.0,57.0,,0.0,DEM,3.0,36.0,45.0,0.0,317,59.0,0.0,3,
3,56.0,DEM,25902.0,18.0,,,DEM,1.0,,18.0,15.7894736842105,7,0.0,,8.0,3.0,,3.0,,BK75,25902.0,8,,37,3.0,7.0,54.0,,0.0,DEM,3.0,36.0,36.0,0.0,303,95.0,0.0,3,
3,,DEM,,,,,,0.0,,18.0,25.0,45,1.0,,,,,,,,39100.0,7,,49,,45.0,,,,,,,,,304,,0.0,3,
6,,REP,,,,,,1.0,,11.0,66.6666666666667,38,,,,,,,,,,6,,19,,,,,,,,,,,411,,,4,
3,28.0,DEM,63301.0,15.0,,,DEM,0.0,,15.0,6.25,70,,,6.0,,,4.0,,QN19,63301.0,6,,28,4.0,70.0,,,0.0,DEM,4.0,30.0,30.0,0.0,405,,0.0,4,
2,,BLK,,,,,,0.0,,24.0,33.3333333333333,48,,,,,,,,,14607.0,11,,27,,48.0,,,,,,,,,503,,,5,
7,60.0,DEM,120800.0,19.0,305.0,,DEM,0.0,,19.0,4.0,29,0.0,0.0,8.0,3.0,120800.0,3.0,42.0,BK82,120800.0,8,0.0,40,3.0,29.0,40.0,,0.0,DEM,3.0,42.0,42.0,0.0,305,35.0,0.0,3,
4,74.0,IND,5000.0,29.0,,,IND,0.0,,28.0,22.2222222222222,58,,,12.0,,,1.0,,MN21,5000.0,12,,33,1.0,58.0,,,0.0,IND,1.0,2.0,2.0,,106,,,1,
4,31.0,DEM,32000.0,10.0,413.0,1.0,DEM,0.0,,10.0,25.9259259259259,36,0.0,0.0,5.0,4.0,32000.0,4.0,31.0,QN03,32000.0,5,0.0,34,4.0,36.0,31.0,,1.0,DEM,4.0,31.0,31.0,0.0,413,46.0,0.0,4,
6,,DEM,79702.0,,,,,1.0,,16.0,71.4285714285714,50,1.0,,,,,4.0,,,79702.0,6,,61,,50.0,,,,DEM,4.0,,,,407,,0.0,4,
6,44.0,DEM,14900.0,20.0,306.0,,DEM,1.0,,21.0,45.0,72,0.0,,9.0,3.0,13700.0,3.0,39.0,BK37,14900.0,9,,41,3.0,72.0,52.0,,0.0,DEM,3.0,39.0,39.0,0.0,306,14.0,1.0,3,
8,42.0,REP,76200.0,19.0,314.0,,REP,1.0,,22.0,37.5,57,,,9.0,3.0,76200.0,3.0,48.0,BK43,76200.0,11,,30,3.0,61.0,42.0,,1.0,REP,3.0,48.0,45.0,,315,12.0,,3,
1,,DEM,,,,,,1.0,,12.0,33.3333333333333,45,,,,,,,,,7900.0,12,,53,,45.0,,,,,,,,,401,,0.0,4,
5,49.0,DEM,21000.0,22.0,310.0,,DEM,0.0,0.0,22.0,0.0,49,,0.0,11.0,3.0,21000.0,3.0,43.0,BK30,21000.0,11,0.0,33,3.0,49.0,49.0,,0.0,DEM,3.0,43.0,43.0,0.0,310,1.0,0.0,3,
3,53.0,DEM,49300.0,,,,,1.0,,21.0,58.3333333333333,30,1.0,,,,,3.0,,,50600.0,7,,31,3.0,7.0,,,1.0,DEM,,,34.0,0.0,301,,0.0,3,
4,58.0,IND,88800.0,21.0,317.0,,IND,1.0,,20.0,70.0,54,,,9.0,3.0,88800.0,3.0,42.0,BK96,88800.0,9,,53,3.0,54.0,58.0,,0.0,IND,3.0,42.0,42.0,,317,58.0,,3,
5,67.0,CON,15700.0,29.0,107.0,,DEM,1.0,,29.0,92.8571428571429,54,,1.0,10.0,1.0,15700.0,1.0,6.0,MN14,15700.0,10,1.0,87,1.0,55.0,67.0,,1.0,CON,1.0,6.0,6.0,,107,42.0,,1,
3,75.0,BLK,14900.0,,,,,1.0,,27.0,50.0,24,,,10.0,,,1.0,,MN14,14900.0,10,,25,1.0,94.0,,,0.0,BLK,,,6.0,,107,,,1,
6,57.0,DEM,31900.0,20.0,302.0,,BLK,1.0,0.0,21.0,26.3157894736842,81,0.0,,9.0,3.0,22700.0,3.0,36.0,BK64,50804.0,9,,38,3.0,8.0,57.0,,0.0,DEM,3.0,35.0,35.0,0.0,308,77.0,0.0,3,
4,59.0,DEM,103400.0,19.0,,,DEM,1.0,,19.0,40.9090909090909,41,0.0,0.0,8.0,3.0,,3.0,,BK50,103400.0,8,1.0,36,3.0,41.0,59.0,,1.0,DEM,3.0,42.0,46.0,0.0,318,4.0,0.0,3,
4,,DEM,,,,,,0.0,,14.0,0.0,76,,,,,,,,,,5,,48,,,,,,,,,,,412,,,4,
6,42.0,DEM,85600.0,21.0,317.0,,DEM,1.0,,21.0,65.2173913043478,39,0.0,0.0,9.0,3.0,85600.0,3.0,45.0,BK91,85600.0,9,0.0,63,3.0,39.0,42.0,,1.0,DEM,3.0,45.0,45.0,1.0,317,57.0,0.0,3,
10,70.0,DEM,21400.0,30.0,110.0,,DEM,1.0,,30.0,84.0,55,,1.0,13.0,1.0,21400.0,1.0,9.0,MN03,21400.0,13,1.0,87,1.0,55.0,70.0,,1.0,DEM,1.0,9.0,9.0,1.0,110,91.0,1.0,1,
4,43.0,DEM,33100.0,20.0,309.0,,DEM,1.0,1.0,20.0,73.9130434782609,76,,0.0,9.0,3.0,33100.0,3.0,35.0,BK63,33100.0,9,1.0,55,3.0,76.0,43.0,,1.0,DEM,3.0,35.0,41.0,0.0,309,34.0,1.0,3,
5,41.0,BLK,73400.0,21.0,318.0,,BLK,0.0,,21.0,80.0,31,,,9.0,3.0,73400.0,3.0,45.0,BK58,73400.0,5,,67,3.0,30.0,41.0,,1.0,BLK,3.0,45.0,45.0,,414,37.0,,4,
4,29.0,IND,35800.0,10.0,413.0,0.0,IND,0.0,,14.0,33.3333333333333,56,,,5.0,4.0,35800.0,4.0,31.0,QN66,35800.0,5,,83,4.0,56.0,29.0,,0.0,IND,4.0,31.0,31.0,,413,40.0,,4,
5,,DEM,,,,,,1.0,,27.0,62.5,49,1.0,,,,,,,,15900.0,10,,80,,49.0,,,,,1.0,,,,107,,0.0,1,
4,,DEM,,,,,,1.0,,27.0,28.5714285714286,47,,,,,,,,,4400.0,12,,27,,47.0,,,,,,,,,106,,0.0,1,
5,,DEM,,,,,,1.0,,17.0,25.0,21,,,,,,,,,,10,,34,,,,,,,,,,,312,,0.0,3,
4,,BLK,,,,,,0.0,,20.0,0.0,78,,,,,,,,,92400.0,9,,20,,78.0,,,,,,,,,316,,,3,
3,50.0,DEM,53500.0,,,,,0.0,,26.0,0.0,66,,,7.0,,,3.0,,BK72,53500.0,7,,26,3.0,66.0,,,0.0,DEM,3.0,,33.0,0.0,301,,0.0,3,
8,45.0,REP,37000.0,,,,,1.0,0.0,23.0,25.0,77,,,11.0,,,3.0,,BK19,37000.0,11,,72,3.0,48.0,,,0.0,REP,3.0,,48.0,,313,,,3,
7,69.0,BLK,20500.0,,,,,1.0,,31.0,50.0,57,,,10.0,,,1.0,,MN09,20500.0,13,,27,1.0,93.0,,,0.0,BLK,1.0,,7.0,,112,,,1,
5,64.0,DEM,13600.0,22.0,310.0,,DEM,0.0,0.0,22.0,4.34782608695652,84,,0.0,11.0,3.0,13600.0,3.0,43.0,BK31,13600.0,11,0.0,48,3.0,84.0,48.0,,0.0,DEM,3.0,43.0,43.0,0.0,310,75.0,0.0,3,
8,59.0,DEM,67000.0,,,,,0.0,,19.0,31.25,50,0.0,,8.0,,,3.0,,BK45,67000.0,8,,34,3.0,50.0,,,0.0,DEM,3.0,,46.0,0.0,318,,0.0,3,
10,70.0,BLK,21800.0,,110.0,,,1.0,,30.0,14.2857142857143,105,,0.0,,1.0,20800.0,1.0,9.0,,21800.0,13,0.0,50,1.0,10.0,70.0,,0.0,BLK,1.0,,9.0,0.0,110,17.0,,1,
2,41.0,DEM,59200.0,27.0,315.0,,DEM,0.0,,23.0,4.16666666666667,52,,0.0,9.0,3.0,59200.0,3.0,48.0,BK17,2001.0,11,0.0,36,3.0,52.0,45.0,,0.0,DEM,,48.0,48.0,0.0,501,31.0,0.0,5,0.0
5,67.0,DEM,15700.0,29.0,107.0,,DEM,0.0,,29.0,27.2727272727273,61,0.0,0.0,10.0,1.0,15700.0,1.0,6.0,MN14,15700.0,10,0.0,70,1.0,61.0,67.0,,0.0,DEM,1.0,6.0,6.0,0.0,107,49.0,0.0,1,
4,33.0,DEM,60000.0,14.0,413.0,,DEM,0.0,,14.0,16.0,65,0.0,0.0,5.0,4.0,60000.0,4.0,27.0,QN33,60000.0,5,0.0,77,4.0,65.0,33.0,,0.0,DEM,4.0,27.0,27.0,0.0,413,48.0,0.0,4,
1,79.0,DEM,36502.0,36.0,,,DEM,0.0,,32.0,5.55555555555556,6,0.0,,15.0,,,2.0,,BX17,36502.0,15,,28,2.0,6.0,,,0.0,DEM,2.0,15.0,17.0,0.0,206,,0.0,2,
4,,,,,,,,1.0,,,50.0,77,,,,,,,,,,12,,29,,,,,,,,,,,106,,,1,
5,,,,,,,,0.0,,,0.0,20,,,,,,,,,,10,,43,,,,,,,,,,,310,,,3,
2,,DEM,,,,,,0.0,,33.0,12.5,31,0.0,,,,,,,,14702.0,15,,21,,31.0,,,,,2.0,,,,203,,0.0,2,
3,,,,,,,,0.0,,,0.0,73,,,,,,,,,,6,,19,,,,,,,,,,,405,,,4,
9,73.0,REP,14000.0,26.0,108.0,,REP,0.0,,28.0,0.0,96,,,12.0,1.0,14000.0,1.0,4.0,MN40,14000.0,12,0.0,57,1.0,74.0,73.0,,0.0,REP,1.0,4.0,4.0,,108,73.0,,1,
4,33.0,REP,162100.0,11.0,413.0,,REP,1.0,,11.0,15.7894736842105,12,,,3.0,4.0,162100.0,4.0,23.0,QN43,162100.0,3,,63,4.0,12.0,33.0,,0.0,REP,4.0,23.0,23.0,,413,9.0,,4,
4,24.0,BLK,45200.0,14.0,408.0,,BLK,0.0,,14.0,0.0,44,,,6.0,4.0,45200.0,4.0,24.0,QN35,45200.0,6,,34,4.0,44.0,25.0,,0.0,BLK,4.0,24.0,24.0,,408,55.0,,4,
8,47.0,DEM,31400.0,22.0,313.0,,DEM,0.0,0.0,22.0,8.69565217391304,56,,0.0,11.0,3.0,31400.0,3.0,47.0,BK26,31400.0,11,0.0,30,3.0,56.0,47.0,,0.0,DEM,3.0,47.0,47.0,0.0,313,2.0,0.0,3,
5,46.0,REP,16600.0,22.0,311.0,,REP,1.0,1.0,22.0,95.2380952380952,79,,,11.0,3.0,27400.0,3.0,50.0,BK30,16600.0,11,,43,3.0,79.0,49.0,,1.0,REP,3.0,43.0,43.0,,310,57.0,1.0,3,
6,,DEM,,,,,,0.0,,21.0,0.0,44,0.0,,,,,,,,82800.0,9,,40,,44.0,,,,,3.0,,,,317,,0.0,3,
7,71.0,BLK,25300.0,31.0,112.0,,BLK,0.0,,31.0,20.0,62,,,13.0,1.0,25300.0,1.0,10.0,MN36,25300.0,13,,33,1.0,62.0,71.0,,0.0,BLK,1.0,10.0,10.0,,112,51.0,,1,
4,,BLK,,,,,,0.0,,18.0,0.0,63,,,,,,,,,117602.0,7,,26,,53.0,,,,,3.0,,,,409,,,4,
2,34.0,DEM,27900.0,13.0,404.0,,DEM,0.0,,13.0,9.09090909090909,16,,0.0,14.0,4.0,41500.0,4.0,21.0,QN25,28100.0,14,0.0,36,4.0,16.0,35.0,,0.0,DEM,4.0,21.0,25.0,0.0,403,18.0,0.0,4,
3,50.0,DEM,56500.0,17.0,301.0,,DEM,1.0,,18.0,29.1666666666667,8,0.0,0.0,12.0,3.0,56500.0,3.0,33.0,BK76,56500.0,12,0.0,63,3.0,7.0,50.0,,0.0,DEM,3.0,33.0,33.0,0.0,301,101.0,0.0,3,
3,38.0,DEM,400.0,15.0,409.0,,DEM,0.0,,12.0,3.7037037037037,25,,0.0,7.0,4.0,400.0,4.0,32.0,QN53,400.0,7,0.0,72,4.0,25.0,38.0,,0.0,DEM,4.0,32.0,30.0,0.0,409,35.0,0.0,4,
8,46.0,DEM,36002.0,27.0,313.0,,DEM,1.0,,23.0,37.5,46,0.0,0.0,8.0,3.0,36002.0,3.0,48.0,BK19,36002.0,8,0.0,83,3.0,46.0,46.0,,0.0,DEM,3.0,48.0,48.0,0.0,313,50.0,0.0,3,0.0
5,67.0,DEM,17700.0,30.0,107.0,,DEM,0.0,,30.0,13.0434782608696,86,0.0,0.0,10.0,1.0,17700.0,1.0,6.0,MN12,17700.0,10,0.0,64,1.0,86.0,69.0,,0.0,DEM,1.0,6.0,6.0,0.0,107,11.0,0.0,1,
1,36.0,DEM,14900.0,,,,,0.0,,12.0,15.3846153846154,31,,,14.0,,,4.0,,QN70,14900.0,14,,82,4.0,31.0,,,0.0,DEM,4.0,,22.0,0.0,401,,0.0,4,
2,,BLK,,,,,,0.0,,34.0,33.3333333333333,84,,,,,,,,,29302.0,16,,44,,88.0,,,,,,,,,208,,,2,
2,84.0,DEM,7900.0,30.0,,,DEM,0.0,,29.0,18.75,18,0.0,,13.0,,,2.0,,MN36,5100.0,15,,30,2.0,18.0,,,0.0,DEM,2.0,7.0,8.0,0.0,201,,0.0,2,
2,,DEM,,,,,,0.0,,29.0,0.0,4,0.0,,,,,,,,22102.0,15,,22,,4.0,,,,,2.0,,,,204,,0.0,2,
5,69.0,DEM,17700.0,30.0,107.0,,DEM,1.0,,30.0,78.2608695652174,19,1.0,0.0,10.0,1.0,17700.0,1.0,6.0,MN12,17700.0,10,1.0,74,1.0,19.0,69.0,,1.0,DEM,1.0,6.0,6.0,1.0,107,13.0,1.0,1,
4,,REP,,,,,,1.0,,28.0,66.6666666666667,66,,,,,,,,,,12,,41,,,,,,,,,,,106,,,1,
6,40.0,BLK,104700.0,16.0,407.0,,BLK,0.0,,11.0,10.0,69,,,6.0,4.0,86500.0,4.0,20.0,QN51,146700.0,6,,33,4.0,52.0,22.0,,0.0,BLK,4.0,20.0,19.0,,411,26.0,,4,
2,,DEM,,25.0,102.0,,DEM,1.0,,26.0,23.5294117647059,106,,0.0,10.0,1.0,4700.0,,1.0,MN24,2202.0,12,0.0,39,,10.0,66.0,,,,,1.0,,,103,17.0,0.0,1,
3,,,,,,,,1.0,,,100.0,44,,,,,,,,,,7,,28,,,,,,,,,,,304,,,3,
4,29.0,DEM,48400.0,14.0,412.0,,DEM,0.0,,14.0,0.0,76,0.0,0.0,5.0,4.0,48400.0,4.0,23.0,QN07,48400.0,5,0.0,70,4.0,37.0,29.0,,0.0,DEM,4.0,23.0,23.0,0.0,412,79.0,0.0,4,
3,50.0,DEM,56500.0,,,,,1.0,,26.0,21.4285714285714,26,,,12.0,,,3.0,,BK76,56500.0,12,,73,3.0,26.0,,,0.0,DEM,3.0,,33.0,0.0,301,,0.0,3,
2,37.0,REP,23500.0,12.0,402.0,,REP,0.0,,12.0,0.0,35,,,14.0,4.0,23500.0,4.0,26.0,QN31,23500.0,14,,40,4.0,35.0,37.0,,0.0,REP,4.0,26.0,26.0,,402,37.0,,4,
2,64.0,DEM,13400.0,24.0,502.0,,DEM,0.0,0.0,24.0,0.0,56,,0.0,11.0,5.0,13400.0,5.0,50.0,SI45,13400.0,11,0.0,73,5.0,17.0,60.0,,0.0,DEM,5.0,50.0,50.0,0.0,502,40.0,0.0,5,
1,52.0,DEM,12700.0,18.0,306.0,,DEM,0.0,,25.0,4.54545454545455,53,0.0,0.0,7.0,3.0,12700.0,3.0,33.0,BK38,12700.0,7,0.0,30,3.0,55.0,52.0,,0.0,DEM,3.0,33.0,33.0,0.0,306,63.0,0.0,3,
2,84.0,DEM,3300.0,28.0,201.0,,DEM,0.0,,29.0,0.0,68,0.0,0.0,15.0,2.0,3300.0,2.0,17.0,BX39,3300.0,15,0.0,59,2.0,68.0,84.0,,0.0,DEM,2.0,17.0,8.0,0.0,201,66.0,0.0,2,
5,48.0,DEM,47600.0,21.0,312.0,,DEM,0.0,,17.0,25.0,26,,0.0,10.0,3.0,47600.0,3.0,44.0,BK88,47600.0,10,0.0,54,3.0,26.0,48.0,,0.0,DEM,3.0,44.0,44.0,0.0,312,20.0,0.0,3,
1,,BLK,,,,,,0.0,,12.0,0.0,38,,,,,,,,,,12,,33,,,,,,,,,,,401,,,4,
3,75.0,DEM,8700.0,29.0,104.0,,DEM,1.0,,27.0,82.6086956521739,18,,1.0,12.0,1.0,8700.0,1.0,3.0,MN13,8700.0,12,1.0,80,1.0,18.0,75.0,,1.0,DEM,1.0,3.0,3.0,1.0,104,17.0,1.0,1,
6,35.0,DEM,45500.0,13.0,404.0,,DEM,1.0,,29.0,95.4545454545455,41,,1.0,14.0,4.0,45500.0,4.0,25.0,QN25,17000.0,13,1.0,77,4.0,41.0,35.0,,1.0,DEM,1.0,25.0,21.0,1.0,111,35.0,1.0,1,
1,36.0,DEM,18101.0,12.0,401.0,,DEM,1.0,,12.0,40.0,58,,0.0,14.0,4.0,6100.0,4.0,22.0,QN72,18101.0,14,0.0,33,4.0,38.0,30.0,,0.0,DEM,4.0,22.0,22.0,0.0,401,60.0,0.0,4,
8,42.0,DEM,68600.0,21.0,317.0,,DEM,0.0,,19.0,26.9230769230769,50,0.0,0.0,9.0,3.0,78600.0,3.0,45.0,BK42,68600.0,8,1.0,64,3.0,50.0,42.0,,0.0,DEM,3.0,45.0,45.0,0.0,318,20.0,0.0,3,
4,29.0,DEM,36800.0,10.0,412.0,,DEM,0.0,,14.0,26.9230769230769,34,0.0,0.0,5.0,4.0,36800.0,4.0,27.0,QN08,36800.0,5,0.0,33,4.0,34.0,29.0,,0.0,DEM,4.0,27.0,27.0,0.0,412,24.0,0.0,4,
7,71.0,DEM,25500.0,31.0,112.0,,DEM,0.0,,31.0,0.0,65,0.0,0.0,13.0,1.0,25500.0,1.0,10.0,MN36,25500.0,13,0.0,36,1.0,65.0,71.0,,0.0,DEM,1.0,10.0,10.0,0.0,112,56.0,0.0,1,
2,,DEM,,,,,,1.0,,29.0,25.0,78,,,,,,,,,20100.0,15,,40,,9.0,,,,,,,,,204,,0.0,2,
2,65.0,DEM,1600.0,25.0,103.0,,DEM,0.0,,26.0,7.69230769230769,59,0.0,0.0,7.0,1.0,1600.0,1.0,1.0,MN27,1600.0,7,0.0,50,1.0,59.0,64.0,,0.0,DEM,1.0,1.0,1.0,0.0,103,57.0,0.0,1,
6,68.0,DEM,16002.0,26.0,111.0,,DEM,1.0,,29.0,45.4545454545455,11,,0.0,12.0,1.0,16002.0,1.0,4.0,MN33,16002.0,12,0.0,73,1.0,11.0,68.0,,0.0,DEM,1.0,4.0,4.0,0.0,111,8.0,0.0,1,
9,,,,,,,,0.0,,,0.0,30,,,,,,,,,,12,,27,,,,,,,,,,,105,,,1,
6,27.0,DEM,122702.0,16.0,408.0,,DEM,0.0,,16.0,44.0,85,0.0,0.0,6.0,4.0,122702.0,4.0,24.0,QN38,122702.0,6,0.0,77,4.0,41.0,27.0,,0.0,DEM,4.0,24.0,24.0,0.0,408,27.0,0.0,4,
2,66.0,BLK,3602.0,25.0,103.0,,BLK,0.0,,26.0,40.0,26,,,12.0,1.0,3602.0,1.0,2.0,MN22,3602.0,12,,38,1.0,26.0,66.0,,0.0,BLK,1.0,2.0,2.0,,103,24.0,,1,
1,84.0,DEM,8300.0,,110.0,,,0.0,,32.0,5.55555555555556,50,0.0,,,,18600.0,2.0,9.0,,8300.0,15,,65,2.0,50.0,,,0.0,DEM,2.0,,17.0,0.0,202,,0.0,2,
3,55.0,BLK,91000.0,19.0,316.0,,DEM,0.0,,31.0,35.0,27,,0.0,9.0,3.0,91000.0,3.0,41.0,BK81,15100.0,10,0.0,48,3.0,27.0,55.0,,0.0,DEM,3.0,41.0,41.0,0.0,107,101.0,,1,
1,,DEM,,,,,,1.0,,12.0,66.6666666666667,24,,,,,,,,,1900.0,12,,28,,24.0,,,,,,,,,402,,0.0,4,
2,37.0,DEM,18900.0,12.0,402.0,,DEM,1.0,,12.0,47.6190476190476,39,,1.0,14.0,4.0,18900.0,4.0,26.0,QN31,18900.0,14,0.0,49,4.0,39.0,37.0,,0.0,DEM,4.0,26.0,26.0,0.0,402,45.0,0.0,4,
2,79.0,DEM,13300.0,36.0,203.0,,DEM,0.0,,32.0,7.69230769230769,49,0.0,0.0,15.0,2.0,13300.0,2.0,16.0,BX35,13300.0,15,0.0,58,2.0,49.0,79.0,,0.0,DEM,2.0,16.0,16.0,0.0,203,93.0,0.0,2,
4,60.0,DEM,98200.0,19.0,318.0,,DEM,0.0,,19.0,0.0,72,0.0,0.0,8.0,3.0,98200.0,3.0,42.0,BK50,98200.0,8,0.0,34,3.0,72.0,40.0,,0.0,DEM,3.0,42.0,42.0,0.0,318,88.0,0.0,3,
2,64.0,BLK,2001.0,23.0,501.0,,BLK,0.0,0.0,23.0,0.0,52,,,11.0,5.0,2001.0,5.0,49.0,SI37,2001.0,11,,29,5.0,52.0,60.0,,0.0,BLK,5.0,49.0,49.0,,501,9.0,,5,
4,29.0,DEM,44400.0,14.0,412.0,,DEM,0.0,,14.0,4.0,58,0.0,0.0,5.0,4.0,41000.0,4.0,27.0,QN61,44400.0,5,0.0,47,4.0,19.0,29.0,,0.0,DEM,4.0,27.0,27.0,0.0,412,8.0,0.0,4,
2,86.0,REP,22901.0,33.0,205.0,,REP,1.0,,33.0,41.1764705882353,35,,,15.0,2.0,22901.0,2.0,14.0,BX41,22901.0,13,,56,2.0,37.0,86.0,,0.0,REP,2.0,14.0,15.0,,208,71.0,,2,
5,48.0,DEM,46202.0,27.0,312.0,,DEM,0.0,,17.0,4.16666666666667,40,,0.0,10.0,3.0,46202.0,3.0,44.0,BK46,46202.0,10,0.0,29,3.0,40.0,48.0,,0.0,DEM,3.0,44.0,44.0,0.0,312,16.0,0.0,3,0.0
5,,BLK,8100.0,,,,,1.0,,21.0,50.0,12,,,,,,1.0,,,14300.0,7,,37,,12.0,,,,BLK,1.0,,,,307,,,3,
8,,,,,,,,0.0,,,0.0,83,,,,,,,,,,8,,19,,,,,,,,,,,318,,,3,
1,,DEM,,,,,,1.0,,12.0,50.0,18,,,,,,,,,6300.0,12,,23,,18.0,,,,,,,,,401,,0.0,4,
