borocode_08,councildistrict_17,pr15,civilcourtdistrict_13,politicalparty_13,sp0409,assemblydistrict_11,ge11,civilcourtdistrict_11,pr13,nta_08,communitydistrict_12,assemblydistrict_15,civilcourtdistrict_10,pp16,congressdistrict_10,senatedistrict_11,councildistrict_18,assemblydistrict_10,communitydistrict_09,senatedistrict_14,nta_11,sp11,councildistrict_15,ct2010_17,electiondistrict_10,senatedistrict_18,ge17,communitydistrict_17,nta_17,assemblydistrict_14,congressdistrict_17,pr0618,politicalparty_09,electiondistrict_12
4.0,27.0,,4.0,DEM,,33.0,0.0,4.0,1.0,QN07,412.0,33.0,4.0,0.0,6.0,14.0,27,33.0,412.0,14.0,QN07,,27.0,50201.0,27.0,14,0.0,412.0,QN07,33.0,5.0,0.0,DEM,31.0
2.0,13.0,,1.0,REP,0.0,82.0,0.0,1.0,0.0,BX10,210.0,82.0,1.0,0.0,7.0,34.0,13,82.0,210.0,34.0,BX10,,13.0,51600.0,60.0,34,1.0,210.0,BX10,82.0,14.0,,REP,60.0
,24.0,,4.0,DEM,,,,,0.0,,412.0,32.0,,0.0,,,43,,,14.0,,,24.0,24000.0,,22,0.0,412.0,QN61,32.0,5.0,0.0,,11.0
,41.0,,4.0,DEM,,,,,0.0,,316.0,55.0,,1.0,,,41,,,20.0,,,41.0,91200.0,,20,0.0,316.0,BK81,55.0,9.0,0.0,,69.0
3.0,42.0,,7.0,BLK,,40.0,0.0,7.0,,BK82,305.0,,7.0,,10.0,19.0,42,40.0,305.0,19.0,BK82,,,107000.0,70.0,19,0.0,305.0,BK82,60.0,8.0,,BLK,86.0
,27.0,,4.0,DEM,,29.0,0.0,4.0,0.0,,412.0,29.0,4.0,1.0,6.0,10.0,27,29.0,412.0,14.0,QN08,,27.0,37600.0,34.0,14,1.0,412.0,QN08,29.0,5.0,0.0,DEM,29.0
1.0,10.0,,7.0,DEM,,72.0,0.0,7.0,0.0,MN36,112.0,72.0,7.0,0.0,15.0,31.0,10,72.0,112.0,31.0,MN36,,10.0,25300.0,8.0,31,0.0,112.0,MN36,72.0,13.0,,DEM,7.0
,16.0,,2.0,DEM,,79.0,0.0,2.0,0.0,,203.0,79.0,2.0,1.0,16.0,36.0,16,79.0,,32.0,BX35,,16.0,13300.0,60.0,32,1.0,203.0,BX35,79.0,15.0,,,50.0
1.0,7.0,,5.0,DEM,,69.0,0.0,5.0,0.0,MN09,107.0,69.0,5.0,1.0,15.0,31.0,7,69.0,107.0,31.0,MN09,,7.0,19500.0,67.0,31,0.0,107.0,MN09,69.0,10.0,,DEM,79.0
3.0,41.0,,7.0,DEM,,58.0,1.0,6.0,0.0,BK42,314.0,55.0,6.0,1.0,11.0,21.0,41,58.0,314.0,18.0,BK42,,41.0,36501.0,12.0,25,1.0,316.0,BK79,54.0,8.0,,DEM,50.0
1.0,6.0,,5.0,DEM,,67.0,0.0,5.0,0.0,MN12,107.0,67.0,5.0,0.0,8.0,29.0,6,67.0,107.0,29.0,MN12,,6.0,16300.0,53.0,29,0.0,107.0,MN12,67.0,10.0,,DEM,65.0
,2.0,,,,,,,,,,,,,,,,2,,,,,,,5700.0,,27,0.0,102.0,MN23,,12.0,0.0,,
3.0,46.0,,8.0,REP,,59.0,0.0,8.0,0.0,BK45,318.0,59.0,8.0,0.0,9.0,27.0,46,59.0,318.0,19.0,BK45,0.0,46.0,69800.0,102.0,19,0.0,318.0,BK45,59.0,8.0,,REP,51.0
4.0,29.0,,4.0,BLK,,27.0,0.0,4.0,,QN54,409.0,28.0,4.0,,6.0,15.0,29,27.0,409.0,10.0,QN54,0.0,29.0,13200.0,66.0,10,1.0,409.0,QN54,28.0,5.0,,BLK,4.0
1.0,5.0,,6.0,DEM,,65.0,0.0,6.0,1.0,MN32,108.0,76.0,6.0,1.0,14.0,26.0,5,65.0,108.0,28.0,MN32,,5.0,13600.0,48.0,28,0.0,108.0,MN32,76.0,12.0,0.0,DEM,50.0
1.0,1.0,,2.0,DEM,,66.0,0.0,2.0,0.0,MN23,102.0,,2.0,0.0,8.0,29.0,1,66.0,102.0,,MN23,,,3900.0,28.0,26,0.0,101.0,MN24,,10.0,,DEM,45.0
,9.0,,,,,,,,,,,,,1.0,,,9,,,,,,,23000.0,,30,0.0,110.0,MN03,,13.0,,,
,29.0,,2.0,DEM,,28.0,0.0,2.0,0.0,,406.0,28.0,2.0,0.0,9.0,15.0,29,28.0,,15.0,QN18,0.0,29.0,69702.0,53.0,15,0.0,406.0,QN18,28.0,6.0,,,63.0
5.0,51.0,,2.0,REP,,62.0,0.0,2.0,0.0,SI32,503.0,62.0,2.0,1.0,13.0,24.0,51,62.0,503.0,24.0,SI32,,51.0,20804.0,67.0,24,1.0,503.0,SI32,62.0,11.0,0.0,REP,21.0
,5.0,,,,,,,,,,,,,,,,5,,,,,,,13800.0,,28,0.0,108.0,MN32,,12.0,,,
2.0,17.0,,1.0,DEM,0.0,85.0,0.0,1.0,0.0,BX08,209.0,85.0,1.0,1.0,16.0,32.0,17,85.0,209.0,32.0,BX08,,17.0,5400.0,36.0,32,1.0,209.0,BX08,85.0,15.0,,DEM,61.0
5.0,51.0,,2.0,BLK,,60.0,0.0,2.0,,SI54,503.0,64.0,2.0,,13.0,24.0,51,60.0,503.0,24.0,SI54,,51.0,15603.0,61.0,24,0.0,503.0,SI54,64.0,11.0,,BLK,1.0
4.0,21.0,,2.0,DEM,,34.0,0.0,2.0,0.0,QN26,403.0,34.0,2.0,1.0,5.0,13.0,21,34.0,403.0,13.0,QN26,,21.0,37500.0,2.0,13,0.0,403.0,QN26,34.0,14.0,0.0,DEM,3.0
4.0,30.0,,3.0,DEM,,30.0,0.0,3.0,0.0,QN21,405.0,30.0,3.0,0.0,9.0,15.0,30,30.0,405.0,15.0,QN21,1.0,30.0,66701.0,7.0,15,0.0,405.0,QN21,30.0,6.0,,DEM,12.0
4.0,19.0,,6.0,DEM,,27.0,0.0,6.0,1.0,QN29,408.0,27.0,6.0,1.0,9.0,16.0,22,27.0,408.0,16.0,QN37,1.0,24.0,103900.0,32.0,12,0.0,407.0,QN49,27.0,3.0,1.0,DEM,42.0
3.0,33.0,,3.0,DEM,,50.0,1.0,3.0,1.0,BK72,301.0,50.0,3.0,1.0,10.0,25.0,33,50.0,301.0,18.0,BK72,,33.0,54500.0,36.0,18,1.0,301.0,BK72,50.0,7.0,,DEM,62.0
1.0,1.0,,1.0,DEM,,64.0,0.0,1.0,1.0,MN25,101.0,65.0,1.0,0.0,8.0,25.0,1,64.0,101.0,26.0,MN25,,1.0,1501.0,9.0,26,1.0,101.0,MN25,65.0,10.0,,DEM,5.0
,,,,,,,,,,,,,,,,,18,,,,,,,,,32,,,,,,,,
,27.0,,4.0,DEM,,,,,,,,29.0,,1.0,,,27,,,14.0,,,27.0,44000.0,,14,0.0,412.0,QN01,29.0,5.0,0.0,,
,11.0,,,,,,,,,,,81.0,,,,,11,,,,,,11.0,42300.0,,36,0.0,207.0,BX43,,13.0,,,
,8.0,,,,,,,,,,,,,,,,8,,,,,,,2701.0,,29,0.0,201.0,BX39,,15.0,,,
2.0,14.0,,,,0.0,86.0,0.0,2.0,,BX41,207.0,86.0,2.0,0.0,16.0,33.0,14,86.0,207.0,,BX30,,14.0,25500.0,12.0,33,0.0,207.0,BX30,,15.0,,DEM,17.0
,21.0,,,,,,,,,,,,,1.0,,,21,,,,,,,41100.0,,13,0.0,404.0,QN25,,14.0,0.0,,
4.0,27.0,,4.0,DEM,,29.0,0.0,4.0,0.0,QN08,412.0,29.0,4.0,1.0,6.0,14.0,27,29.0,412.0,14.0,QN08,,27.0,40200.0,17.0,14,0.0,412.0,QN08,29.0,5.0,0.0,DEM,21.0
,22.0,,,,,,,,,,,36.0,,1.0,,,22,,,,,,22.0,6100.0,,12,0.0,401.0,QN70,,12.0,0.0,,
3.0,39.0,,5.0,BLK,,44.0,0.0,5.0,,BK88,312.0,44.0,5.0,,9.0,21.0,39,44.0,312.0,17.0,BK88,0.0,39.0,47800.0,58.0,17,0.0,312.0,BK88,44.0,10.0,,BLK,4.0
4.0,23.0,0.0,6.0,DEM,,36.0,0.0,1.0,0.0,QN72,411.0,25.0,1.0,0.0,14.0,12.0,23,36.0,401.0,11.0,QN72,,23.0,140300.0,26.0,11,0.0,411.0,QN46,25.0,6.0,,DEM,27.0
3.0,47.0,,5.0,BLK,,49.0,0.0,5.0,,BK28,311.0,47.0,5.0,,8.0,23.0,47,49.0,311.0,23.0,BK28,,47.0,28400.0,66.0,23,0.0,311.0,BK28,47.0,11.0,,BLK,11.0
3.0,48.0,,8.0,REP,,41.0,0.0,8.0,0.0,BK17,315.0,41.0,8.0,0.0,9.0,27.0,48,41.0,315.0,19.0,BK17,0.0,48.0,59402.0,100.0,19,1.0,315.0,BK17,41.0,9.0,0.0,REP,70.0
3.0,35.0,,3.0,DEM,,50.0,0.0,3.0,0.0,BK69,302.0,50.0,3.0,0.0,10.0,18.0,17,50.0,302.0,25.0,BK69,,35.0,19100.0,9.0,32,0.0,302.0,BK69,50.0,8.0,,DEM,90.0
,45.0,,6.0,DEM,,42.0,0.0,6.0,0.0,,314.0,42.0,6.0,0.0,11.0,21.0,45,42.0,,21.0,BK42,,45.0,78800.0,28.0,21,1.0,314.0,BK42,42.0,9.0,1.0,,50.0
,24.0,,4.0,DEM,,,,,0.0,,,32.0,,,,,24,,,11.0,,,24.0,23800.0,,11,0.0,408.0,QN61,32.0,6.0,,,
4.0,27.0,,4.0,DEM,,32.0,0.0,4.0,1.0,QN08,412.0,32.0,4.0,1.0,6.0,10.0,27,32.0,412.0,14.0,QN08,,27.0,42400.0,29.0,14,1.0,412.0,QN08,32.0,5.0,0.0,DEM,45.0
,3.0,,9.0,BLK,,,,,,,105.0,75.0,,,,,3,,,28.0,,,3.0,5800.0,,28,0.0,105.0,MN13,75.0,12.0,,,9.0
3.0,38.0,,1.0,DEM,,51.0,0.0,1.0,1.0,BK33,306.0,51.0,1.0,1.0,12.0,18.0,38,51.0,306.0,25.0,BK33,,38.0,8500.0,4.0,25,1.0,306.0,BK33,51.0,7.0,,DEM,73.0
,12.0,,,,,,,,,,,,,,,,12,,,,,,,42000.0,,36,0.0,212.0,BX44,,16.0,0.0,,
5.0,50.0,,2.0,BLK,,62.0,0.0,2.0,,SI24,502.0,62.0,2.0,,13.0,24.0,50,62.0,502.0,24.0,SI24,,50.0,18100.0,7.0,24,0.0,502.0,SI24,62.0,11.0,,BLK,70.0
,7.0,,5.0,BLK,,,,,,,107.0,67.0,,,,,7,,,29.0,,,6.0,22900.0,,31,1.0,109.0,MN04,67.0,13.0,,,63.0
4.0,24.0,,3.0,DEM,,,,,0.0,QN61,105.0,,,0.0,,,24,,,,,,,23800.0,,14,0.0,412.0,QN61,,5.0,0.0,,48.0
,1.0,,2.0,DEM,,,,,0.0,,102.0,66.0,,0.0,,,1,,,26.0,,,1.0,5501.0,,26,0.0,102.0,MN23,66.0,12.0,0.0,,24.0
,36.0,,,,,,,,,,,,,,,,36,,,,,,,38300.0,,25,0.0,303.0,BK35,,8.0,,,
2.0,12.0,,1.0,DEM,0.0,85.0,0.0,1.0,0.0,BX55,211.0,83.0,1.0,0.0,7.0,32.0,12,85.0,209.0,36.0,BX55,,12.0,34800.0,25.0,36,0.0,211.0,BX31,83.0,16.0,,DEM,22.0
1.0,,,4.0,REP,,74.0,0.0,4.0,0.0,MN20,106.0,,4.0,0.0,14.0,26.0,2,74.0,106.0,28.0,MN20,,,,101.0,28,,,,74.0,,,REP,85.0
,7.0,,3.0,DEM,,67.0,,3.0,1.0,,104.0,69.0,3.0,1.0,8.0,29.0,7,67.0,,27.0,MN15,,7.0,18100.0,2.0,30,0.0,107.0,MN12,67.0,10.0,,,6.0
4.0,28.0,,3.0,DEM,,32.0,0.0,3.0,0.0,QN55,410.0,24.0,3.0,0.0,6.0,10.0,28,32.0,410.0,10.0,QN55,,28.0,15802.0,76.0,10,0.0,410.0,QN55,24.0,5.0,0.0,DEM,74.0
,44.0,,5.0,CON,,,,,,,312.0,48.0,,,,,44,,,17.0,,,44.0,24000.0,,17,0.0,312.0,BK88,48.0,10.0,,,22.0
4.0,24.0,,4.0,DEM,,25.0,0.0,4.0,0.0,QN35,408.0,24.0,4.0,0.0,6.0,14.0,24,25.0,408.0,14.0,QN35,,24.0,23200.0,46.0,14,0.0,408.0,QN35,24.0,6.0,,DEM,45.0
3.0,36.0,,2.0,DEM,,56.0,0.0,2.0,0.0,BK35,303.0,,2.0,0.0,10.0,18.0,36,56.0,303.0,25.0,BK35,,,38500.0,76.0,25,0.0,303.0,BK35,56.0,8.0,,DEM,44.0
4.0,23.0,0.0,4.0,DEM,,26.0,0.0,4.0,0.0,QN44,413.0,26.0,4.0,0.0,5.0,11.0,23,26.0,413.0,11.0,QN44,,23.0,157901.0,82.0,11,1.0,413.0,QN44,26.0,3.0,,DEM,77.0
,6.0,,5.0,REP,,,,,0.0,,,69.0,,0.0,,,6,,,29.0,,,6.0,16900.0,,29,0.0,107.0,MN12,69.0,10.0,,,
4.0,30.0,,3.0,REP,,30.0,0.0,3.0,0.0,QN30,405.0,30.0,3.0,0.0,7.0,15.0,30,30.0,405.0,15.0,QN30,,30.0,49700.0,83.0,15,0.0,405.0,QN30,30.0,6.0,,REP,27.0
2.0,16.0,,2.0,DEM,0.0,84.0,0.0,2.0,0.0,BX63,316.0,84.0,2.0,0.0,16.0,28.0,15,84.0,204.0,29.0,BX63,,16.0,19700.0,6.0,33,0.0,204.0,BX63,84.0,15.0,,DEM,11.0
4.0,15.0,,,,,,,,,QN18,,79.0,,0.0,,,15,,406.0,33.0,,,15.0,36501.0,,33,1.0,206.0,BX17,79.0,15.0,,DEM,
3.0,47.0,,8.0,DEM,,47.0,0.0,8.0,0.0,BK26,313.0,47.0,8.0,0.0,8.0,27.0,47,47.0,313.0,23.0,BK26,,47.0,38200.0,8.0,23,0.0,313.0,BK26,47.0,11.0,0.0,DEM,53.0
,1.0,,,,,,,,,,,66.0,,1.0,,,1,,,,,,1.0,3100.0,,26,0.0,101.0,MN24,,10.0,,,
,34.0,,3.0,BLK,,,,,,,,53.0,,,,,34,,,18.0,,,34.0,51100.0,,18,1.0,301.0,BK90,53.0,7.0,,,
3.0,47.0,,5.0,REP,,47.0,0.0,5.0,0.0,BK37,311.0,47.0,5.0,0.0,8.0,22.0,47,47.0,311.0,22.0,BK28,,47.0,27200.0,59.0,22,1.0,311.0,BK28,47.0,10.0,,REP,20.0
,18.0,,1.0,DEM,,,,,0.0,,209.0,87.0,,0.0,,,18,,,34.0,,,18.0,9800.0,,34,1.0,209.0,BX59,87.0,15.0,,,76.0
,41.0,,,,,,,,,,,,,,,,41,,,,,,,37900.0,,25,0.0,303.0,BK35,,8.0,,,
1.0,35.0,,,,,66.0,0.0,1.0,,MN23,102.0,,1.0,0.0,8.0,29.0,35,66.0,102.0,,MN23,,,19500.0,67.0,25,0.0,302.0,BK69,,8.0,,DEM,50.0
,45.0,,4.0,DEM,,41.0,0.0,4.0,0.0,,317.0,58.0,4.0,1.0,10.0,21.0,45,41.0,,21.0,BK96,,45.0,94600.0,4.0,21,0.0,317.0,BK96,58.0,9.0,0.0,,38.0
1.0,41.0,,2.0,DEM,,64.0,0.0,2.0,0.0,MN27,103.0,65.0,2.0,0.0,14.0,25.0,41,64.0,103.0,26.0,MN27,,1.0,37300.0,57.0,25,0.0,316.0,BK79,65.0,8.0,,BLK,58.0
2.0,14.0,,2.0,REP,0.0,78.0,0.0,2.0,0.0,BX29,208.0,81.0,2.0,0.0,17.0,33.0,14,78.0,208.0,33.0,BX29,,14.0,28300.0,58.0,33,0.0,208.0,BX29,81.0,13.0,,REP,9.0
2.0,15.0,,1.0,DEM,0.0,76.0,0.0,1.0,0.0,BX37,211.0,87.0,1.0,0.0,7.0,34.0,15,76.0,211.0,33.0,BX37,,15.0,24000.0,20.0,33,0.0,211.0,BX37,87.0,14.0,0.0,DEM,20.0
3.0,43.0,,5.0,REP,,51.0,0.0,5.0,0.0,BK31,310.0,64.0,5.0,0.0,13.0,22.0,43,51.0,310.0,23.0,BK31,,43.0,13000.0,80.0,23,0.0,310.0,BK31,64.0,11.0,0.0,REP,81.0
4.0,32.0,,3.0,BLK,,31.0,0.0,3.0,,QN55,410.0,31.0,3.0,,6.0,15.0,32,31.0,410.0,15.0,QN55,,32.0,83800.0,77.0,15,0.0,410.0,QN55,31.0,5.0,,BLK,27.0
5.0,51.0,,2.0,REP,,62.0,0.0,2.0,0.0,SI32,503.0,62.0,2.0,0.0,13.0,24.0,51,62.0,503.0,24.0,SI32,,51.0,20801.0,72.0,24,1.0,503.0,SI32,62.0,11.0,1.0,REP,17.0
1.0,1.0,,,,,65.0,0.0,6.0,,MN32,108.0,65.0,6.0,1.0,14.0,26.0,1,65.0,108.0,,MN32,,1.0,1501.0,54.0,26,0.0,101.0,MN25,,10.0,,DEM,53.0
,33.0,,1.0,DEM,,,,,,,,52.0,,1.0,,,35,,,25.0,,,33.0,4100.0,,25,1.0,302.0,BK38,52.0,8.0,,,
3.0,35.0,,6.0,DEM,,57.0,0.0,6.0,1.0,BK61,308.0,57.0,6.0,1.0,11.0,20.0,35,57.0,308.0,25.0,BK61,,35.0,30500.0,33.0,25,0.0,308.0,BK61,57.0,9.0,0.0,DEM,65.0
,,,,,,,,,,,,,,,,,51,,,,,,,,,24,,,,,,,,
3.0,46.0,,8.0,DEM,,59.0,0.0,8.0,0.0,BK17,315.0,,8.0,0.0,9.0,22.0,46,59.0,315.0,22.0,BK17,0.0,,62800.0,48.0,22,1.0,315.0,BK17,59.0,9.0,0.0,DEM,44.0
1.0,10.0,,7.0,DEM,,72.0,0.0,7.0,0.0,MN36,112.0,72.0,7.0,,15.0,31.0,10,72.0,112.0,31.0,MN36,,10.0,26100.0,13.0,31,0.0,112.0,MN36,72.0,13.0,,DEM,10.0
3.0,43.0,,5.0,DEM,,49.0,0.0,5.0,0.0,BK27,311.0,47.0,5.0,0.0,13.0,22.0,43,49.0,311.0,22.0,BK27,,43.0,17800.0,48.0,22,0.0,311.0,BK27,47.0,11.0,0.0,DEM,6.0
,5.0,,,,,,,,,,,,,,,,5,,,,,,,13400.0,,28,0.0,108.0,MN31,,12.0,0.0,,
4.0,21.0,,2.0,DEM,,35.0,0.0,2.0,0.0,QN25,404.0,35.0,2.0,0.0,5.0,13.0,21,35.0,404.0,13.0,QN25,,21.0,43702.0,30.0,13,0.0,404.0,QN25,35.0,14.0,0.0,DEM,21.0
,,,,,,,,,,,,,,,,,37,,,,,,,,,18,,,,,,,,
,8.0,,8.0,DEM,,,,,0.0,,,68.0,,0.0,,,8,,,30.0,,,8.0,19400.0,,30,0.0,111.0,MN34,68.0,13.0,,,
4.0,23.0,,6.0,BLK,,24.0,0.0,6.0,,QN46,411.0,25.0,6.0,,9.0,11.0,23,24.0,411.0,11.0,QN46,0.0,23.0,140300.0,11.0,11,0.0,411.0,QN46,25.0,6.0,,BLK,27.0
1.0,4.0,,9.0,DEM,,75.0,0.0,9.0,1.0,MN17,105.0,67.0,9.0,0.0,14.0,26.0,4,75.0,105.0,27.0,MN17,,4.0,13700.0,122.0,27,0.0,105.0,MN17,67.0,12.0,0.0,DEM,89.0
,22.0,,1.0,BLK,,36.0,0.0,1.0,,,401.0,36.0,1.0,,14.0,12.0,22,36.0,,12.0,QN70,,22.0,14300.0,44.0,12,0.0,401.0,QN70,36.0,14.0,,,32.0
4.0,26.0,,1.0,DEM,,37.0,1.0,1.0,0.0,QN68,401.0,37.0,1.0,1.0,14.0,12.0,26,37.0,401.0,12.0,QN68,,26.0,2500.0,14.0,12,0.0,401.0,QN68,37.0,12.0,1.0,DEM,14.0
4.0,32.0,,5.0,DEM,,23.0,0.0,5.0,0.0,QN10,414.0,23.0,5.0,0.0,9.0,10.0,32,23.0,414.0,15.0,QN10,0.0,32.0,107201.0,87.0,15,0.0,414.0,QN10,23.0,5.0,0.0,DEM,40.0
,25.0,,,,,,,,,,,,,,,,25,,,,,,,46700.0,,13,0.0,404.0,QN29,,14.0,0.0,,
,2.0,,,,,,,,,,,74.0,,1.0,,,2,,,27.0,,,2.0,2400.0,,27,0.0,103.0,MN28,74.0,7.0,,,
3.0,28.0,,3.0,DEM,,42.0,0.0,6.0,0.0,BK42,410.0,31.0,6.0,0.0,11.0,21.0,28,42.0,314.0,10.0,BK42,,28.0,81800.0,37.0,10,0.0,410.0,QN55,31.0,5.0,0.0,REP,19.0
,40.0,,,,,,,,,,,65.0,,1.0,,,40,,,26.0,,,1.0,51601.0,,21,0.0,314.0,BK42,65.0,9.0,0.0,,
