manhattan_cooperatives_comparable_properties_address,borough,comparable_rental_2_gross_income_per_sqft,postcode,comparable_rental_2_building_classification,comparable_rental_1_neighborhood,comparable_rental_1_boro_block_lot,manhattan_cooperatives_comparable_properties_est_gross_income,longitude,comparable_rental_1_address,comparable_rental_1_est_gross_income,community_council,comparable_rental_1_year_built,bbl,manhattan_cooperatives_comparable_properties_total_units
"{'latitude': '40.784184614032', 'longitude': '-73.956383067087', 'human_address': '{""address"": ""1274 MADISON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,28.3,10128.0,D3-ELEVATOR,UPPER EAST SIDE (79-96),1-01496-0021,3267210,-73.95643,"{'latitude': '40.779768942868', 'longitude': '-73.959602639952', 'human_address': '{""address"": ""1125 MADISON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",5752383,4.0,1922,1015030014.0,42
"{'latitude': '40.570269570018', 'longitude': '-74.116463927501', 'human_address': '{""address"": ""115 10 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,27.0,,C1-WALK-UP,EAST VILLAGE,1-00460-0029,866196,,"{'latitude': '40.672391727773', 'longitude': '-73.986011295585', 'human_address': '{""address"": ""236 5 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",922000,,1932,,56
"{'latitude': '40.772682285277', 'longitude': '-73.962795233156', 'human_address': '{""address"": ""800 PARK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,31.1,10021.0,D1-ELEVATOR,UPPER EAST SIDE (79-96),1-01517-0043,2432815,-73.962734,"{'latitude': '40.62316151649', 'longitude': '-74.039623167392', 'human_address': '{""address"": ""16O 89 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1688719,4.0,1938,1013890036.0,17
"{'latitude': '40.738418115961', 'longitude': '-74.005540009208', 'human_address': '{""address"": ""631 HUDSON STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,32.3,10014.0,D1-ELEVATOR,GREENWICH VILLAGE-WEST,1-00592-0062,9400000,-74.005543,"{'latitude': '40.733202048191', 'longitude': '-74.000629710928', 'human_address': '{""address"": ""140 WAVERLY PLACE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",457000,3.0,1930,1006260012.0,261
"{'latitude': '40.835431611986', 'longitude': '-73.942222021503', 'human_address': '{""address"": ""539 160 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,14.87,,C1-WALK-UP,WASHINGTON HEIGHTS LOWER,1-02110-0073,227625,,"{'latitude': '40.836810851858', 'longitude': '-73.937922222737', 'human_address': '{""address"": ""446 164 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",225661,,1906,,20
"{'latitude': '40.83267829821', 'longitude': '-73.943456782009', 'human_address': '{""address"": ""535 156 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,14.01,,C1-WALK-UP,WASHINGTON HEIGHTS LOWER,1-02119-0054,185920,,"{'latitude': '40.835308811931', 'longitude': '-73.941923030064', 'human_address': '{""address"": ""523 160 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",228557,,1910,,20
"{'latitude': '40.642239092594', 'longitude': '-74.016080450584', 'human_address': '{""address"": ""421 57 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,48.2,,D7-ELEVATOR,CLINTON,1-01054-0036,708354,,"{'latitude': '40.760217681951', 'longitude': '-73.991321727925', 'human_address': '{""address"": ""637 9 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",789979,,1940,,42
"{'latitude': '40.721250058422', 'longitude': '-73.989469124545', 'human_address': '{""address"": ""167 ALLEN STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,32.7,10002.0,C7-WALK-UP,LOWER EAST SIDE,1-00350-0028,302850,-73.989365,"{'latitude': '40.72060254656', 'longitude': '-73.984280036436', 'human_address': '{""address"": ""23 CLINTON STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",300000,1.0,1920,1004160022.0,16
"{'latitude': '40.629539315387', 'longitude': '-74.033256419491', 'human_address': '{""address"": ""150 79 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,29.4,,D3-ELEVATOR,UPPER WEST SIDE (59-79),1-01126-0038,2452800,,"{'latitude': '40.63426065312', 'longitude': '-74.036463239631', 'human_address': '{""address"": ""8 74 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",3489309,,1941,,72
"{'latitude': '40.770874647998', 'longitude': '-73.964117236539', 'human_address': '{""address"": ""750 PARK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,31.5,10021.0,D6-ELEVATOR,UPPER EAST SIDE (59-79),1-01472-0022,2285668,-73.964013,"{'latitude': '40.770326061561', 'longitude': '-73.951211965418', 'human_address': '{""address"": ""1453 YORK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",2684056,4.0,1958,1013860037.0,70
"{'latitude': '40.605363195702', 'longitude': '-74.01092753986', 'human_address': '{""address"": ""212 13 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,34.7,,D9-ELEVATOR,EAST VILLAGE,1-00452-0044,537743,,"{'latitude': '40.567815593059', 'longitude': '-74.11882191842', 'human_address': '{""address"": ""225 10 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",601000,,1920,,23
"{'latitude': '40.563412711897', 'longitude': '-74.178754947608', 'human_address': '{""address"": ""120 END AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,34.8,,D8-ELEVATOR,UPPER EAST SIDE (79-96),1-01568-0001,6338100,,"{'latitude': '40.778473919146', 'longitude': '-73.94818125018', 'human_address': '{""address"": ""1700 1 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",5780597,,1964,,34
"{'latitude': '40.739263478668', 'longitude': '-73.991249782163', 'human_address': '{""address"": ""142 5 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,44.4,10011.0,D5-ELEVATOR,FLATIRON,1-00850-0039,3094000,-73.991321,"{'latitude': '40.755671163756', 'longitude': '-73.975273676579', 'human_address': '{""address"": ""268 PARK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",4344159,3.0,1927,1008210038.0,23
"{'latitude': '40.76815869547', 'longitude': '-73.965816955174', 'human_address': '{""address"": ""655 PARK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,29.2,10065.0,D6-ELEVATOR,UPPER EAST SIDE (59-79),1-01427-0028,5479913,-73.965848,"{'latitude': '40.769273854786', 'longitude': '-73.957992853519', 'human_address': '{""address"": ""1393 2 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",5750346,4.0,1964,1014020001.0,54
"{'latitude': '40.668440146128', 'longitude': '-73.995327467824', 'human_address': '{""address"": ""38 15 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,43.1,,D9-ELEVATOR,FLATIRON,1-00844-0008,893475,,"{'latitude': '40.6680646639', 'longitude': '-73.995844244183', 'human_address': '{""address"": ""9 16 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1268777,,1900,,13
"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""440 END AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,24.45,,D7-ELEVATOR,UPPER WEST SIDE (79-96),1-01236-0010,3727725,,"{'latitude': '40.789823363156', 'longitude': '-73.975439700888', 'human_address': '{""address"": ""2401 BROADWAY"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",3946971,,1924,,99
"{'latitude': '40.602288885128', 'longitude': '-74.003092235529', 'human_address': '{""address"": ""162 22 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,,,,CHELSEA,1-00775-0009,985000,,"{'latitude': '40.599395932882', 'longitude': '-74.002409502923', 'human_address': '{""address"": ""245 25 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1237000,,1938,,42
"{'latitude': '40.738049393929', 'longitude': '-74.001987687193', 'human_address': '{""address"": ""111 GREENWICH AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,44.2,10014.0,C4-WALK-UP,GREENWICH VILLAGE-WEST,1-00619-0081,520000,-74.001963,"{'latitude': '40.733462851579', 'longitude': '-74.003804317692', 'human_address': '{""address"": ""85 CHRISTOPHER STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",471000,3.0,1905,1006150076.0,16
"{'latitude': '40.773692098016', 'longitude': '-73.981859348329', 'human_address': '{""address"": ""114 66 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,69.0,,D7-ELEVATOR,UPPER EAST SIDE (59-79),1-01472-0022,2768220,,"{'latitude': '40.770326061561', 'longitude': '-73.951211965418', 'human_address': '{""address"": ""1453 YORK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",2684056,,1958,,61
"{'latitude': '40.6314089215', 'longitude': '-74.027436172856', 'human_address': '{""address"": ""311 75 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,47.6,,D3-ELEVATOR,UPPER EAST SIDE (79-96),1-01509-0064,1279651,,"{'latitude': '40.628474254294', 'longitude': '-74.035453488541', 'human_address': '{""address"": ""108 81 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1125344,,1922,,64
"{'latitude': '40.672682171084', 'longitude': '-73.984731225544', 'human_address': '{""address"": ""223 4 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,29.1,,C4-WALK-UP,ALPHABET CITY,1-00401-0030,377184,,"{'latitude': '40.667793773921', 'longitude': '-73.978238136182', 'human_address': '{""address"": ""540 6 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",354000,,1920,,19
"{'latitude': '40.656401723567', 'longitude': '-73.998888240768', 'human_address': '{""address"": ""244 30 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,42.5,,D9-ELEVATOR,MURRAY HILL,1-00910-0020,262325,,"{'latitude': '40.598443323978', 'longitude': '-73.998649771565', 'human_address': '{""address"": ""231 29 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",299567,,1920,,11
"{'latitude': '40.720512614358', 'longitude': '-74.000926487198', 'human_address': '{""address"": ""451 BROADWAY"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,40.9,10013.0,D5-ELEVATOR,SOHO,1-00501-0006,1048000,-74.000974,"{'latitude': '40.719685238091', 'longitude': '-74.001636951601', 'human_address': '{""address"": ""423 BROADWAY"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1036032,1.0,1910,1002310035.0,13
"{'latitude': '40.781828390315', 'longitude': '-73.953855972185', 'human_address': '{""address"": ""1349 LEXINGTON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,28.3,10128.0,D3-ELEVATOR,UPPER EAST SIDE (79-96),1-01496-0021,3484338,-73.953918,"{'latitude': '40.779768942868', 'longitude': '-73.959602639952', 'human_address': '{""address"": ""1125 MADISON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",5752383,5.0,1922,1015180049.0,71
"{'latitude': '40.850203844203', 'longitude': '-73.938576490907', 'human_address': '{""address"": ""447 FT WASHINGTON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,15.18,10033.0,D7-ELEVATOR,WASHINGTON HEIGHTS UPPER,1-02169-0053,791730,-73.938584,"{'latitude': '40.855123135703', 'longitude': '-73.929493338411', 'human_address': '{""address"": ""1601 ST NICHOLAS AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",927534,10.0,1913,1021770087.0,44
"{'latitude': '40.774849651368', 'longitude': '-73.961221419605', 'human_address': '{""address"": ""876 PARK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,25.1,10075.0,D6-ELEVATOR,UPPER EAST SIDE (79-96),1-01517-0020,3691701,-73.96109,"{'latitude': '40.780956047947', 'longitude': '-73.954494490825', 'human_address': '{""address"": ""1327 LEXINGTON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",2247303,4.0,1927,1013920040.0,26
"{'latitude': '40.615977217708', 'longitude': '-74.037741652791', 'human_address': '{""address"": ""17 96 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,41.1,,D6-ELEVATOR,UPPER EAST SIDE (79-96),1-01518-0033,2899860,,"{'latitude': '40.780884102184', 'longitude': '-73.952453029819', 'human_address': '{""address"": ""1588 3 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",2782708,,1980,,67
"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""71 3 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,34.3,,C1-WALK-UP,EAST VILLAGE,1-00465-0030,398760,,"{'latitude': '40.729919522784', 'longitude': '-73.988605775397', 'human_address': '{""address"": ""19 STUYVESANT STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",411000,,1900,,24
"{'latitude': '40.634725237986', 'longitude': '-74.026006691834', 'human_address': '{""address"": ""315 70 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,41.5,,D6-ELEVATOR,MIDTOWN CBD,1-01309-0050,8774676,,"{'latitude': '40.646696794034', 'longitude': '-74.020555585681', 'human_address': '{""address"": ""136 55 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",7495751,,1957,,185
"{'latitude': '40.617426631151', 'longitude': '-74.032343021411', 'human_address': '{""address"": ""330 94 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,35.1,,C1-WALK-UP,UPPER EAST SIDE (79-96),1-01553-0007,273280,,"{'latitude': '40.620940789235', 'longitude': '-74.031787076755', 'human_address': '{""address"": ""309 90 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",310883,,1910,,16
"{'latitude': '40.643324049103', 'longitude': '-74.017885147964', 'human_address': '{""address"": ""333 57 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,51.0,,D6-ELEVATOR,MIDTOWN EAST,1-01369-0045,3465000,,"{'latitude': '40.758796753145', 'longitude': '-73.962570402649', 'human_address': '{""address"": ""1058 1 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",4392685,,1929,,37
"{'latitude': '40.618715247248', 'longitude': '-74.036656269524', 'human_address': '{""address"": ""130 94 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,44.6,,D3-ELEVATOR,UPPER EAST SIDE (59-79),1-01448-0045,1772505,,"{'latitude': '40.632059799709', 'longitude': '-74.027233004115', 'human_address': '{""address"": ""310 74 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1292313,,1938,,45
"{'latitude': '40.566806899313', 'longitude': '-74.121955621476', 'human_address': '{""address"": ""307 8 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,34.6,,C4-WALK-UP,ALPHABET CITY,1-00407-0052,344448,,"{'latitude': '40.662844207467', 'longitude': '-73.980109456514', 'human_address': '{""address"": ""517 13 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",352000,,1920,,12
"{'latitude': '40.598460615494', 'longitude': '-73.998631583453', 'human_address': '{""address"": ""229 29 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,37.9,,D3-ELEVATOR,MURRAY HILL,1-00888-0031,1950795,,"{'latitude': '40.597948979121', 'longitude': '-73.995472950581', 'human_address': '{""address"": ""153 32 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",2504000,,1920,,113
"{'latitude': '40.631579051347', 'longitude': '-74.031670591938', 'human_address': '{""address"": ""166 76 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,26.5,,D1-ELEVATOR,UPPER WEST SIDE (59-79),1-01129-0047,820700,,"{'latitude': '40.63205523324', 'longitude': '-74.037085739379', 'human_address': '{""address"": ""22 77 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",870325,,1921,,41
"{'latitude': '40.778374993723', 'longitude': '-73.958361575551', 'human_address': '{""address"": ""983 PARK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,35.2,10028.0,D7-ELEVATOR,UPPER EAST SIDE (79-96),1-01527-0045,6926004,-73.958477,"{'latitude': '40.627003215483', 'longitude': '-74.032646922418', 'human_address': '{""address"": ""200 82 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",9538478,4.0,1980,1015120001.0,63
"{'latitude': '40.733247014292', 'longitude': '-73.995611494005', 'human_address': '{""address"": ""28 5 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,,10011.0,,GREENWICH VILLAGE-WEST,1-00643-0001,6900000,-73.99571,"{'latitude': '40.738630720876', 'longitude': '-74.009874393957', 'human_address': '{""address"": ""521 WEST STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",16470000,3.0,1930,1005730039.0,153
"{'latitude': '40.769372780209', 'longitude': '-73.969279344987', 'human_address': '{""address"": ""857 5 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,,10065.0,,UPPER EAST SIDE (59-79),1-01437-0041,2552550,-73.968988,"{'latitude': '40.639613228839', 'longitude': '-74.021020855337', 'human_address': '{""address"": ""330 63 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",2205767,4.0,1949,1013820001.0,19
"{'latitude': '40.866904254287', 'longitude': '-73.925374443517', 'human_address': '{""address"": ""675 ACADEMY STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,17.54,10034.0,D7-ELEVATOR,INWOOD,1-02250-0050,881496,-73.925297,"{'latitude': '40.871944007864', 'longitude': '-73.919055752705', 'human_address': '{""address"": ""583 215 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",993685,10.0,1930,1022380001.0,63
"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""1885 ADAM"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,13.77,,D7-ELEVATOR,HARLEM-CENTRAL,1-01820-0017,698965,,"{'latitude': '40.766092419579', 'longitude': '-73.977128331282', 'human_address': '{""address"": ""131 CENTRAL PARK"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",857421,,1920,,35
"{'latitude': '40.736304709192', 'longitude': '-73.987076927947', 'human_address': '{""address"": ""61 IRVING PLACE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,35.5,10003.0,D1-ELEVATOR,MURRAY HILL,1-00885-0051,1440000,-73.987085,"{'latitude': '40.658074964642', 'longitude': '-74.001636044993', 'human_address': '{""address"": ""150 30 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",758000,2.0,1962,1008730059.0,32
"{'latitude': '40.721528848251', 'longitude': '-73.988749666921', 'human_address': '{""address"": ""85 STANTON STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,37.0,10002.0,C7-WALK-UP,LOWER EAST SIDE,1-00412-0009,344174,-73.98878,"{'latitude': '40.722086427909', 'longitude': '-73.988210073704', 'human_address': '{""address"": ""188 ORCHARD STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",360000,1.0,1900,1004160055.0,11
"{'latitude': '40.646453445368', 'longitude': '-74.011080101086', 'human_address': '{""address"": ""438 49 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,37.2,,C4-WALK-UP,CLINTON,1-01058-0012,307675,,"{'latitude': '40.647088320215', 'longitude': '-74.010507025235', 'human_address': '{""address"": ""437 48 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",322492,,1901,,20
"{'latitude': '40.801577502079', 'longitude': '-73.952560948462', 'human_address': '{""address"": ""80 ST NICHOLAS AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,13.48,10026.0,D1-ELEVATOR,HARLEM-CENTRAL,1-01828-0030,386829,-73.952557,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""1854 ADAM"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",314094,9.0,1920,1018240014.0,48
"{'latitude': '40.76694461073', 'longitude': '-73.986429416086', 'human_address': '{""address"": ""855 9 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,39.1,10019.0,C7-WALK-UP,CLINTON,1-01053-0012,253440,-73.986376,"{'latitude': '40.649745745118', 'longitude': '-74.007375750848', 'human_address': '{""address"": ""447 43 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",406485,3.0,1920,1010650033.0,12
"{'latitude': '40.717688743186', 'longitude': '-74.008984412581', 'human_address': '{""address"": ""55 HUDSON STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,33.4,10013.0,D9-ELEVATOR,CIVIC CENTER,1-00126-0013,3423750,-74.009004,"{'latitude': '40.713749712697', 'longitude': '-74.010333395625', 'human_address': '{""address"": ""53 PARK PLACE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",4506000,1.0,1921,1001430004.0,63
"{'latitude': '40.628437116142', 'longitude': '-74.028612499448', 'human_address': '{""address"": ""316 79 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,29.4,,D3-ELEVATOR,UPPER WEST SIDE (59-79),1-01126-0038,2039310,,"{'latitude': '40.63426065312', 'longitude': '-74.036463239631', 'human_address': '{""address"": ""8 74 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",3489309,,1941,,25
"{'latitude': '40.824797996875', 'longitude': '-73.951769545077', 'human_address': '{""address"": ""3485 BROADWAY"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,17.42,10031.0,D1-ELEVATOR,HARLEM-UPPER,1-02072-0059,293580,-73.95172,"{'latitude': '40.823501049329', 'longitude': '-73.951451852921', 'human_address': '{""address"": ""572 141 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",327888,7.0,1910,1020890031.0,24
"{'latitude': '40.619414714009', 'longitude': '-74.036161142862', 'human_address': '{""address"": ""175 93 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,37.0,,D9-ELEVATOR,UPPER EAST SIDE (79-96),1-01505-0005,349344,,"{'latitude': '40.618560647332', 'longitude': '-74.039534768993', 'human_address': '{""address"": ""1 93 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",328716,,1925,,16
"{'latitude': '40.614166619662', 'longitude': '-74.034743624011', 'human_address': '{""address"": ""310 99 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,21.0,,D3-ELEVATOR,UPPER WEST SIDE (96-116),1-01882-0028,1926360,,"{'latitude': '40.803241247833', 'longitude': '-73.963667575524', 'human_address': '{""address"": ""1020 AMSTERDAM AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1652212,,1910,,66
"{'latitude': '40.717355994035', 'longitude': '-74.009811788848', 'human_address': '{""address"": ""173 DUANE STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,36.2,10013.0,D7-ELEVATOR,TRIBECA,1-00220-0027,848925,-74.009812,"{'latitude': '40.721971207614', 'longitude': '-74.007866829182', 'human_address': '{""address"": ""36 LAIGHT STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",882000,1.0,1900,1001430009.0,11
"{'latitude': '40.753158004021', 'longitude': '-73.964917633145', 'human_address': '{""address"": ""7 BEEKMAN PLACE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,34.7,10022.0,C4-WALK-UP,UPPER EAST SIDE (59-79),1-01450-0041,240000,-73.965029,"{'latitude': '40.630429411175', 'longitude': '-74.026854899239', 'human_address': '{""address"": ""344 76 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",281895,4.0,1910,1013610031.0,11
"{'latitude': '40.765836485423', 'longitude': '-73.976671400391', 'human_address': '{""address"": ""112 CENTRAL PARK"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,41.5,10000.0,D5-ELEVATOR,MIDTOWN WEST,1-01036-0029,6473876,-73.965126,"{'latitude': '40.759354332803', 'longitude': '-73.988237053365', 'human_address': '{""address"": ""717 8 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",4851850,6.0,1966,1011110001.0,69
"{'latitude': '40.649518714456', 'longitude': '-74.011507902115', 'human_address': '{""address"": ""333 46 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,38.3,,D6-ELEVATOR,MIDTOWN CBD,1-01309-0050,5544000,,"{'latitude': '40.646696794034', 'longitude': '-74.020555585681', 'human_address': '{""address"": ""136 55 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",7495751,,1957,,181
"{'latitude': '40.644862046087', 'longitude': '-74.012877653853', 'human_address': '{""address"": ""435 52 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,33.0,,D6-ELEVATOR,MURRAY HILL,1-00863-0044,14612844,,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""66 34 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",11543598,,1913,,82
"{'latitude': '40.724856339759', 'longitude': '-74.000521792285', 'human_address': '{""address"": ""112 WOOSTER STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,30.4,10012.0,D1-ELEVATOR,SOHO,1-00506-0016,950250,-74.000584,"{'latitude': '40.727057891887', 'longitude': '-74.004897077844', 'human_address': '{""address"": ""30 CHARLTON STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1604052,1.0,1920,1005000005.0,18
"{'latitude': '40.659029125547', 'longitude': '-73.991035931752', 'human_address': '{""address"": ""333 22 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,38.6,,D1-ELEVATOR,MURRAY HILL,1-00887-0014,410000,,"{'latitude': '40.598996279769', 'longitude': '-73.995557390437', 'human_address': '{""address"": ""121 31 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",2210000,,1930,,16
