manhattan_cooperatives_comparable_properties_boro_block_lot,manhattan_cooperatives_comparable_properties_address,manhattan_cooperatives_comparable_properties_gross_sqft,comparable_rental_2_full_market_value,comparable_rental_2_market_value_per_sqft,comparable_rental_2_neighborhood,comparable_rental_1_total_units,census_tract,nta,comparable_rental_1_gross_sqft,manhattan_cooperatives_comparable_properties_market_value_per_sqft,comparable_rental_1_building_classification,comparable_rental_2_est_gross_income,community_board
1-01249-0037,"{'latitude': '40.622006931782', 'longitude': '-74.031560466646', 'human_address': '{""address"": ""304 88 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",12090,2390000.0,209.0,UPPER WEST SIDE (79-96),20,,,10310,172.0,C5-WALK-UP,487381.0,
1-00613-0040,"{'latitude': '40.73561223123', 'longitude': '-74.002752110918', 'human_address': '{""address"": ""41 PERRY STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",10500,,,,27,73.0,West Village                                                               ,14175,191.0,C7-WALK-UP,,2.0
1-00501-0012,"{'latitude': '40.725665729585', 'longitude': '-74.00067467703', 'human_address': '{""address"": ""140 PRINCE STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",40000,,,,17,49.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,16247,189.0,D9-ELEVATOR,,2.0
1-01519-0069,"{'latitude': '40.783150393698', 'longitude': '-73.954863212857', 'human_address': '{""address"": ""1133 PARK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",65434,6990000.0,109.0,UPPER EAST SIDE (79-96),42,14802.0,Upper East Side-Carnegie Hill                                              ,62472,168.0,D3-ELEVATOR,1688719.0,8.0
1-01493-0072,"{'latitude': '40.778689756433', 'longitude': '-73.962471477225', 'human_address': '{""address"": ""1001 5 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",109076,,,,43,142.0,Upper East Side-Carnegie Hill                                              ,108592,159.0,D7-ELEVATOR,,8.0
1-01990-0001,"{'latitude': '40.809050868142', 'longitude': '-73.965610111108', 'human_address': '{""address"": ""440 RIVERSIDE DRIVE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",148982,5040000.0,55.0,MORNINGSIDE HEIGHTS,288,205.0,Morningside Heights                                                        ,189905,75.0,D9-ELEVATOR,1491235.0,9.0
1-01382-0065,"{'latitude': '40.639676631874', 'longitude': '-74.035435229922', 'human_address': '{""address"": ""6 68 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",21920,4730000.0,206.0,UPPER EAST SIDE (79-96),35,,,20490,216.0,D3-ELEVATOR,963233.0,
1-02117-0012,"{'latitude': '40.834848266411', 'longitude': '-73.942957772516', 'human_address': '{""address"": ""566 159 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",23538,698000.0,32.8,WASHINGTON HEIGHTS LOWER,27,,,28512,25.4,D1-ELEVATOR,248525.0,
1-02142-0050,"{'latitude': '40.844241339149', 'longitude': '-73.941013653606', 'human_address': '{""address"": ""270 FT WASHINGTON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",48298,2520000.0,48.8,WASHINGTON HEIGHTS LOWER,71,253.0,Washington Heights South                                                   ,58269,54.0,D7-ELEVATOR,746319.0,12.0
1-01512-0052,"{'latitude': '40.785674897231', 'longitude': '-73.974411603382', 'human_address': '{""address"": ""144 84 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",97893,20000000.0,191.0,UPPER EAST SIDE (79-96),108,,,103304,168.0,D7-ELEVATOR,4068244.0,
1-01367-0001,"{'latitude': '40.757321865017', 'longitude': '-73.963640595863', 'human_address': '{""address"": ""1006 1 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",870000,97900000.0,142.0,UPPER EAST SIDE (79-96),442,10601.0,Turtle Bay-East Midtown                                                    ,400612,132.0,D6-ELEVATOR,21022683.0,6.0
1-01196-0052,"{'latitude': '40.627488242994', 'longitude': '-74.037871882034', 'human_address': '{""address"": ""46 83 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",56949,9620000.0,137.0,UPPER WEST SIDE (79-96),96,,,53952,120.0,D3-ELEVATOR,2064827.0,
1-00638-0019,"{'latitude': '40.726838107515', 'longitude': '-73.978053290783', 'human_address': '{""address"": ""720 11 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",118350,1070000.0,99.0,CHELSEA,36,,,27075,48.8,C1-WALK-UP,258000.0,
1-00461-0024,"{'latitude': '40.672839973336', 'longitude': '-73.988701212311', 'human_address': '{""address"": ""232 6 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",22266,4210000.0,164.0,EAST VILLAGE,47,,,20600,168.0,D1-ELEVATOR,903000.0,
1-02250-0072,"{'latitude': '40.872246227141', 'longitude': '-73.917523362201', 'human_address': '{""address"": ""270 SEAMAN AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",50066,2700000.0,63.0,INWOOD,43,307.0,Marble Hill-Inwood                                                         ,42874,51.0,D1-ELEVATOR,722668.0,12.0
1-01527-0043,"{'latitude': '40.626908262746', 'longitude': '-74.032238190292', 'human_address': '{""address"": ""208 82 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",19148,3810000.0,202.0,UPPER EAST SIDE (59-79),37,,,17878,192.0,C7-WALK-UP,775920.0,
1-01270-0020,"{'latitude': '40.64808793365', 'longitude': '-74.021242503235', 'human_address': '{""address"": ""17 54 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",200000,24700000.0,149.0,UPPER WEST SIDE (79-96),233,,,160049,154.0,D6-ELEVATOR,5301704.0,
1-00931-0009,"{'latitude': '40.660058278123', 'longitude': '-73.99727010514', 'human_address': '{""address"": ""311 25 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",22812,3630000.0,173.0,KIPS BAY,53,,,28431,163.0,D7-ELEVATOR,779892.0,
1-01370-0046,"{'latitude': '40.759489231107', 'longitude': '-73.962093761973', 'human_address': '{""address"": ""1076 1 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",127607,24700000.0,149.0,UPPER WEST SIDE (79-96),130,10601.0,Turtle Bay-East Midtown                                                    ,140000,147.0,D6-ELEVATOR,5301704.0,6.0
1-00891-0023,"{'latitude': '40.747366370152', 'longitude': '-73.979010009344', 'human_address': '{""address"": ""264 LEXINGTON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",35734,10300000.0,177.0,MURRAY HILL,48,80.0,Murray Hill-Kips Bay                                                       ,20660,164.0,D1-ELEVATOR,2210000.0,6.0
1-00299-0027,"{'latitude': '40.715413458451', 'longitude': '-73.991618504195', 'human_address': '{""address"": ""25 ORCHARD STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",12325,1380000.0,151.0,LOWER EAST SIDE,20,16.0,Chinatown                                                                  ,8255,150.0,C4-WALK-UP,297000.0,3.0
1-00793-0014,"{'latitude': '40.604766543553', 'longitude': '-74.006433985313', 'human_address': '{""address"": ""141 17 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",32862,7860000.0,151.0,GRAMERCY,49,,,41423,142.0,D1-ELEVATOR,1687000.0,
1-01569-0016,"{'latitude': '40.778168149656', 'longitude': '-73.945492277312', 'human_address': '{""address"": ""1725 YORK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",391194,52000000.0,150.0,UPPER EAST SIDE (79-96),250,152.0,Yorkville                                                                  ,277073,149.0,D6-ELEVATOR,11172686.0,8.0
1-01409-0009,"{'latitude': '40.633321590921', 'longitude': '-74.032323816716', 'human_address': '{""address"": ""121 74 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",49196,11600000.0,245.0,UPPER EAST SIDE (79-96),61,,,50225,158.0,D7-ELEVATOR,2353784.0,
1-00836-0064,"{'latitude': '40.598986368773', 'longitude': '-73.990923292685', 'human_address': '{""address"": ""36 35 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",24646,5140000.0,142.0,FASHION,41,,,20989,149.0,C4-WALK-UP,1104464.0,
1-01239-0023,"{'latitude': '40.791604020774', 'longitude': '-73.973883873777', 'human_address': '{""address"": ""2460 BROADWAY"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",150033,17300000.0,101.0,UPPER WEST SIDE (59-79),79,179.0,Upper West Side                                                            ,164530,95.0,D6-ELEVATOR,4183017.0,7.0
1-01380-0039,"{'latitude': '40.767160448017', 'longitude': '-73.966833189067', 'human_address': '{""address"": ""630 PARK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",104092,12300000.0,119.0,UPPER EAST SIDE (59-79),111,122.0,Upper East Side-Carnegie Hill                                              ,104440,215.0,D6-ELEVATOR,2969207.0,8.0
1-01083-0035,"{'latitude': '40.642317600226', 'longitude': '-74.013308423355', 'human_address': '{""address"": ""498 55 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",35625,4970000.0,86.0,CLINTON,39,,,35404,64.0,C4-WALK-UP,2342405.0,
1-00244-0019,"{'latitude': '40.711258590676', 'longitude': '-73.98441493474', 'human_address': '{""address"": ""605 WATER STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",124600,4830000.0,35.0,LOWER EAST SIDE,133,202.0,Lower East Side                                                            ,105280,39.6,D3-ELEVATOR,2277000.0,3.0
1-02180-0039,"{'latitude': '40.854547569604', 'longitude': '-73.937074623118', 'human_address': '{""address"": ""590 FT WASHINGTON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",92430,5060000.0,54.0,WASHINGTON HEIGHTS UPPER,54,273.0,Washington Heights North                                                   ,84318,51.0,D7-ELEVATOR,1496368.0,12.0
1-00772-0067,"{'latitude': '40.600539251864', 'longitude': '-74.003756841492', 'human_address': '{""address"": ""240 23 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",24378,23200000.0,169.0,GREENWICH VILLAGE-WEST,20,,,11650,157.0,D6-ELEVATOR,4987000.0,
1-00391-0021,"{'latitude': '40.725957971246', 'longitude': '-73.979633526718', 'human_address': '{""address"": ""628 9 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",10184,1110000.0,102.0,ALPHABET CITY,20,,,9730,47.7,C4-WALK-UP,267000.0,
1-01217-0029,"{'latitude': '40.624707668218', 'longitude': '-74.03619194054', 'human_address': '{""address"": ""105 86 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",123217,15900000.0,139.0,UPPER WEST SIDE (59-79),87,,,102692,104.0,D6-ELEVATOR,3408456.0,
1-00137-0035,"{'latitude': '40.873337880794', 'longitude': '-73.911571077503', 'human_address': '{""address"": ""90 BROADWAY"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",48079,7860000.0,151.0,GRAMERCY,66,7.0,Battery Park City-Lower Manhattan                                          ,50955,156.0,D2-ELEVATOR,1687000.0,1.0
1-01590-0042,"{'latitude': '40.563474593252', 'longitude': '-74.178694031987', 'human_address': '{""address"": ""93 END AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",53736,7720000.0,159.0,UPPER EAST SIDE (79-96),74,,,53130,144.0,D7-ELEVATOR,1657183.0,
1-01534-0008,"{'latitude': '40.622692712243', 'longitude': '-74.034231420922', 'human_address': '{""address"": ""209 88 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",10465,2160000.0,208.0,UPPER EAST SIDE (59-79),20,,,10145,196.0,C4-WALK-UP,439849.0,
1-01335-0022,"{'latitude': '40.7494258176', 'longitude': '-73.970169673796', 'human_address': '{""address"": ""45 TUDOR CITY PLACE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",215715,32800000.0,139.0,UPPER WEST SIDE (59-79),265,88.0,Turtle Bay-East Midtown                                                    ,218851,135.0,D6-ELEVATOR,7031692.0,6.0
1-00822-0045,"{'latitude': '40.664958602476', 'longitude': '-73.999323715634', 'human_address': '{""address"": ""4 21 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",119136,17200000.0,219.0,FLATIRON,77,,,99750,206.0,D6-ELEVATOR,3495347.0,
1-01842-0023,"{'latitude': '40.798282948709', 'longitude': '-73.960513463773', 'human_address': '{""address"": ""17 106 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",11670,697000.0,65.0,MANHATTAN VALLEY,12,,,9710,38.9,C4-WALK-UP,186517.0,
1-01519-0060,"{'latitude': '40.621082209644', 'longitude': '-74.037153718944', 'human_address': '{""address"": ""124 91 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",19986,,,,35,,,20490,168.0,D3-ELEVATOR,,
1-00404-0013,"{'latitude': '40.665268503951', 'longitude': '-73.981759463177', 'human_address': '{""address"": ""518 11 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",10674,1510000.0,150.0,ALPHABET CITY,20,,,9730,156.0,C4-WALK-UP,325000.0,
1-01501-0056,"{'latitude': '40.783168380139', 'longitude': '-73.957120511151', 'human_address': '{""address"": ""1246 MADISON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",166317,,,,145,15002.0,Upper East Side-Carnegie Hill                                              ,165527,111.0,D6-ELEVATOR,,8.0
1-01328-0019,"{'latitude': '40.646406337467', 'longitude': '-74.018450938149', 'human_address': '{""address"": ""235 54 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",6040,988000.0,118.0,MIDTOWN EAST,15,,,9090,149.0,C4-WALK-UP,238452.0,
1-01869-0001,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""760 END AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",94455,7970000.0,87.0,UPPER WEST SIDE (96-116),92,,,96000,75.0,D3-ELEVATOR,1924069.0,
1-00792-0028,"{'latitude': '40.666439232504', 'longitude': '-73.992791941385', 'human_address': '{""address"": ""111 16 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",39455,,,,37,,,22242,140.0,D1-ELEVATOR,,
1-00896-0039,"{'latitude': '40.665638332887', 'longitude': '-73.989519399693', 'human_address': '{""address"": ""210 15 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",136191,26000000.0,164.0,GRAMERCY,213,,,153800,153.0,D6-ELEVATOR,5587778.0,
1-01397-0004,"{'latitude': '40.765029054808', 'longitude': '-73.968101233129', 'human_address': '{""address"": ""565 PARK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",66745,14100000.0,211.0,UPPER EAST SIDE (59-79),77,11402.0,Upper East Side-Carnegie Hill                                              ,67880,144.0,D9-ELEVATOR,2882037.0,8.0
1-00871-0056,"{'latitude': '40.665769208767', 'longitude': '-73.991544289173', 'human_address': '{""address"": ""128 16 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",17312,10300000.0,177.0,MURRAY HILL,48,,,20660,168.0,D1-ELEVATOR,2210000.0,
1-01371-0014,"{'latitude': '40.758416619213', 'longitude': '-73.959871519551', 'human_address': '{""address"": ""45 SUTTON PLACE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",510547,61300000.0,158.0,MIDTOWN EAST,295,10601.0,Turtle Bay-East Midtown                                                    ,312416,151.0,D9-ELEVATOR,13163054.0,6.0
1-01328-0017,"{'latitude': '40.646456369137', 'longitude': '-74.018535129373', 'human_address': '{""address"": ""231 54 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",6040,988000.0,118.0,MIDTOWN EAST,15,,,9090,149.0,C4-WALK-UP,238452.0,
1-01969-0025,"{'latitude': '40.814635657944', 'longitude': '-73.953037589138', 'human_address': '{""address"": ""41 CONVENT AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",104187,69600000.0,48.2,HARLEM-WEST,130,21303.0,Manhattanville                                                             ,120570,41.5,D1-ELEVATOR,20579796.0,9.0
1-02243-0240,"{'latitude': '40.71384704978', 'longitude': '-74.010623358356', 'human_address': '{""address"": ""60 PARK TERRACE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",87400,4310000.0,59.0,INWOOD,67,,,68592,43.6,D1-ELEVATOR,1273933.0,
1-01466-0037,"{'latitude': '40.632563019192', 'longitude': '-74.023713610705', 'human_address': '{""address"": ""420 72 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",236350,32700000.0,146.0,UPPER EAST SIDE (79-96),179,,,222000,135.0,D6-ELEVATOR,7022973.0,
1-00401-0057,"{'latitude': '40.668691302315', 'longitude': '-73.978222190986', 'human_address': '{""address"": ""513 5 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",6870,1260000.0,188.0,ALPHABET CITY,20,,,6490,188.0,C1-WALK-UP,256000.0,
1-00516-0001,"{'latitude': '40.726034451617', 'longitude': '-74.001439100755', 'human_address': '{""address"": ""163 PRINCE STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",20885,2650000.0,239.0,SOHO,41,49.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,22517,206.0,C7-WALK-UP,539084.0,2.0
1-00771-0074,"{'latitude': '40.74451551932', 'longitude': '-73.999055897377', 'human_address': '{""address"": ""234 8 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",12888,,,,63,87.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,45000,233.0,D6-ELEVATOR,,4.0
1-01125-0002,"{'latitude': '40.635508023154', 'longitude': '-74.03522996795', 'human_address': '{""address"": ""49 72 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",54488,9960000.0,167.0,MIDTOWN WEST,49,,,45640,158.0,D6-ELEVATOR,2138812.0,
1-00802-0031,"{'latitude': '40.601494945808', 'longitude': '-73.999081028337', 'human_address': '{""address"": ""109 26 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",53350,7860000.0,151.0,GRAMERCY,49,,,41423,144.0,D1-ELEVATOR,1687000.0,
1-00885-0008,"{'latitude': '40.60023317394', 'longitude': '-73.99677863253', 'human_address': '{""address"": ""105 29 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",45937,3410000.0,165.0,MURRAY HILL,54,,,34872,164.0,D9-ELEVATOR,731000.0,
1-01231-0001,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""480 END AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",140076,14700000.0,118.0,UPPER WEST SIDE (59-79),79,,,164530,95.0,D6-ELEVATOR,3555606.0,
1-01880-0001,"{'latitude': '40.803097356308', 'longitude': '-73.967354795844', 'human_address': '{""address"": ""2800 BROADWAY"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",121922,11000000.0,93.0,UPPER WEST SIDE (96-116),107,195.0,Morningside Heights                                                        ,135463,87.0,D3-ELEVATOR,2657674.0,7.0
1-00520-0056,"{'latitude': '40.727815109236', 'longitude': '-74.004838538026', 'human_address': '{""address"": ""47 KING STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",9924,2070000.0,222.0,SOHO,36,37.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,11967,177.0,D1-ELEVATOR,422178.0,2.0
1-01246-0036,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""511 END AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",123411,15900000.0,139.0,UPPER WEST SIDE (59-79),87,,,102692,104.0,D6-ELEVATOR,3408456.0,
1-00389-0030,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""224 7 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",8720,1710000.0,159.0,LOWER EAST SIDE,16,,,9024,159.0,D5-ELEVATOR,368000.0,
1-00377-0062,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""249 7 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",9664,1180000.0,149.0,ALPHABET CITY,13,,,8206,190.0,C7-WALK-UP,253000.0,
1-01905-0036,"{'latitude': '40.805245882018', 'longitude': '-73.947499297551', 'human_address': '{""address"": ""100 121 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",34689,1350000.0,34.6,HARLEM-CENTRAL,41,,,30696,38.9,C1-WALK-UP,636049.0,
1-01338-0012,"{'latitude': '40.650174447341', 'longitude': '-74.011077881902', 'human_address': '{""address"": ""321 45 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",58500,9480000.0,168.0,KIPS BAY,66,,,56980,158.0,D6-ELEVATOR,2034409.0,
1-02149-0265,"{'latitude': '40.857524325521', 'longitude': '-73.926894297746', 'human_address': '{""address"": ""121 FT GEORGE AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",40304,1350000.0,32.9,WASHINGTON HEIGHTS UPPER,49,277.0,Washington Heights North                                                   ,43575,32.3,C1-WALK-UP,481403.0,12.0
1-01397-0033,"{'latitude': '40.763626112442', 'longitude': '-73.96507051789', 'human_address': '{""address"": ""1050 3 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",150740,16200000.0,110.0,UPPER EAST SIDE (79-96),123,11402.0,Upper East Side-Carnegie Hill                                              ,151184,135.0,D6-ELEVATOR,3908339.0,8.0
1-00790-0066,"{'latitude': '40.666522482808', 'longitude': '-73.991350355828', 'human_address': '{""address"": ""154 15 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",8900,6690000.0,196.0,GREENWICH VILLAGE-WEST,25,,,11740,193.0,D1-ELEVATOR,1362000.0,
1-01564-0035,"{'latitude': '40.623131863815', 'longitude': '-74.027332004988', 'human_address': '{""address"": ""430 85 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",8145,1340000.0,161.0,UPPER EAST SIDE (79-96),20,,,8420,161.0,C1-WALK-UP,286656.0,
1-01567-0006,"{'latitude': '40.62190085156', 'longitude': '-74.028487935216', 'human_address': '{""address"": ""407 87 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",8590,1150000.0,136.0,UPPER EAST SIDE (79-96),21,,,8515,161.0,C1-WALK-UP,247316.0,
1-00857-0018,"{'latitude': '40.74359821085', 'longitude': '-73.985970761851', 'human_address': '{""address"": ""66 MADISON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",140000,24900000.0,162.0,MURRAY HILL,77,56.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,99750,159.0,D6-ELEVATOR,5355003.0,5.0
1-01361-0032,"{'latitude': '40.75311303792', 'longitude': '-73.964953606026', 'human_address': '{""address"": ""5 BEEKMAN PLACE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",6440,1150000.0,171.0,UPPER EAST SIDE (59-79),17,8603.0,Turtle Bay-East Midtown                                                    ,6016,216.0,C1-WALK-UP,246815.0,6.0
1-01532-0031,"{'latitude': '40.623008055281', 'longitude': '-74.03265310269', 'human_address': '{""address"": ""240 87 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",32145,5240000.0,162.0,UPPER EAST SIDE (79-96),40,,,29500,163.0,D3-ELEVATOR,1125344.0,
1-00379-0011,"{'latitude': '40.66811336311', 'longitude': '-73.985909466786', 'human_address': '{""address"": ""404 10 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",8675,1700000.0,187.0,ALPHABET CITY,18,,,8975,178.0,C4-WALK-UP,346000.0,
1-01197-0010,"{'latitude': '40.627411158151', 'longitude': '-74.037312914549', 'human_address': '{""address"": ""55 83 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",12641,1590000.0,115.0,UPPER WEST SIDE (79-96),20,,,10370,145.0,D2-ELEVATOR,383334.0,
1-00482-0022,"{'latitude': '40.722149380451', 'longitude': '-73.997266246539', 'human_address': '{""address"": ""226 LAFAYETTE STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",22104,4330000.0,200.0,SOHO,28,45.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,20670,196.0,D7-ELEVATOR,882728.0,2.0
1-01046-0023,"{'latitude': '40.64462628899', 'longitude': '-74.017029091855', 'human_address': '{""address"": ""315 55 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",28098,3480000.0,153.0,UPPER WEST SIDE (59-79),46,,,26000,149.0,D6-ELEVATOR,747529.0,
1-01836-0037,"{'latitude': '40.794865491635', 'longitude': '-73.962461061882', 'human_address': '{""address"": ""4 101 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",35568,1780000.0,70.0,MANHATTAN VALLEY,58,,,34535,92.0,D3-ELEVATOR,475815.0,
1-01537-0022,"{'latitude': '40.781378729301', 'longitude': '-73.949179497632', 'human_address': '{""address"": ""1749 2 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",693459,67900000.0,166.0,UPPER EAST SIDE (59-79),460,154.0,Yorkville                                                                  ,651162,77.0,D6-ELEVATOR,14587562.0,8.0
1-00841-0069,"{'latitude': '40.596537604471', 'longitude': '-73.987467695515', 'human_address': '{""address"": ""30 40 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",69925,8950000.0,191.0,CHELSEA,73,,,61612,163.0,D5-ELEVATOR,1824000.0,
1-00740-0048,"{'latitude': '40.601406287485', 'longitude': '-74.009976999123', 'human_address': '{""address"": ""330 17 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",8525,982000.0,190.0,GREENWICH VILLAGE-WEST,15,,,8000,172.0,C1-WALK-UP,200000.0,
1-00529-0001,"{'latitude': '40.726636997377', 'longitude': '-73.995710419428', 'human_address': '{""address"": ""644 BROADWAY"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",55065,7330000.0,256.0,GREENWICH VILLAGE-WEST,137,5502.0,West Village                                                               ,97290,152.0,D7-ELEVATOR,1494000.0,2.0
1-01381-0001,"{'latitude': '40.772472277035', 'longitude': '-73.978815940419', 'human_address': '{""address"": ""1 66 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",153525,36600000.0,222.0,UPPER EAST SIDE (59-79),105,,,142209,154.0,D9-ELEVATOR,7457815.0,
1-01566-0029,"{'latitude': '40.621455414938', 'longitude': '-74.027828683585', 'human_address': '{""address"": ""444 87 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",25000,3950000.0,158.0,UPPER EAST SIDE (79-96),40,,,23568,158.0,D1-ELEVATOR,848775.0,
1-00616-0001,"{'latitude': '40.738454088842', 'longitude': '-74.003804317692', 'human_address': '{""address"": ""42 8 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",91500,5880000.0,169.0,GREENWICH VILLAGE-WEST,272,77.0,West Village                                                               ,218985,157.0,D6-ELEVATOR,1263000.0,2.0
