brooklyn_condominium_property_condo_section,brooklyn_condominium_property_full_market_value,comparable_rental_1_dist_from_coop_in_miles,comparable_rental_1_est_gross_income,comparable_rental_2_year_built,comparable_rental_1_neighborhood,brooklyn_condominium_property_total_units,comparable_rental_1_total_units,postcode,nta,census_tract,comparable_rental_2_gross_income_per_sqft,borough,comparable_rental_2_full_market_value,comparable_rental_1_gross_sqft
656-R1,2730003,0.2,591705,1910.0,WILLIAMSBURG-SOUTH,12,25,11211.0,North Side-South Side                                                      ,547.0,20.02,3,1990000.0,26631
1702-R1,36500015,0.9,3496083,2003.0,DOWNTOWN-FULTON FERRY,299,88,11201.0,Brooklyn Heights-Cobble Hill                                               ,9.0,25.2,3,25300000.0,109875
525-R1,708997,6.0,148752,,SUNSET PARK,15,12,11233.0,Ocean Hill                                                                 ,371.0,,3,,9180
2055-R1,2670002,5.1,173106,,CROWN HEIGHTS,21,16,11229.0,Madison                                                                    ,560.0,,3,,6100
2427-R1,2870001,0.7,346855,1931.0,PARK SLOPE SOUTH,32,24,11215.0,Park Slope-Gowanus                                                         ,133.0,22.04,3,1880000.0,21056
84-R1,4610008,0.6,1156468,1912.0,BROOKLYN HEIGHTS,70,43,,,,19.41,3,3960000.0,63224
764-R1,6300000,0.3,482073,1900.0,BOERUM HILL,48,28,11201.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,69.0,22.58,3,1650000.0,19200
1956-R1,2260000,0.2,253746,1946.0,CLINTON HILL,13,15,11238.0,Clinton Hill                                                               ,231.0,22.32,3,2310000.0,8650
1989-R1,8720002,0.5,2887543,2005.0,FORT GREENE,108,112,11217.0,Fort Greene                                                                ,33.0,19.72,3,14400000.0,149000
1455-R1,2749996,1.05,595838,1931.0,GREENPOINT,24,20,11222.0,Greenpoint                                                                 ,499.0,26.8,3,2170000.0,27309
1052-R1,3290000,0.7,723379,1914.0,PARK SLOPE,18,32,11215.0,Park Slope-Gowanus                                                         ,141.0,22.09,3,2150000.0,31468
1125-R1,1960000,3.05,410892,1930.0,SUNSET PARK,24,32,11209.0,Bay Ridge                                                                  ,5602.0,33.7,3,3240000.0,24620
954-R1,2810000,1.0,695261,1925.0,BAY RIDGE,16,17,11209.0,Bay Ridge                                                                  ,34.0,8.72,3,812000.0,20630
231-R1,808000,0.55,146334,1927.0,BAY RIDGE,11,11,11209.0,Dyker Heights                                                              ,152.0,26.7,3,896000.0,7200
1019-R1,1780005,0.6,450656,1915.0,WILLIAMSBURG-SOUTH,16,29,11206.0,Bedford                                                                    ,531.0,17.42,3,849000.0,24126
752-R1,3929997,0.45,839954,1921.0,PARK SLOPE,34,40,11215.0,Park Slope-Gowanus                                                         ,151.0,25.2,3,3690000.0,41113
2644-R1,1088247,2.3,402284,1905.0,PROSPECT HEIGHTS,17,35,11226.0,Flatbush                                                                   ,514.0,12.11,3,1090000.0,31000
1743-R1,2350000,0.65,1181957,1929.0,SHEEPSHEAD BAY,29,55,11235.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ,600.0,10.59,3,692000.0,45054
1880-R1,2149998,1.75,595838,1915.0,GREENPOINT,20,20,11211.0,East Williamsburg                                                          ,495.0,19.33,3,1960000.0,27309
