queens_cooperatives_comparable_properties_address,comparable_rental_2_est_gross_income,queens_cooperatives_comparable_properties_market_value_per_sqft,nta,comparable_rental_1_market_value_per_sqft
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""147 31 38 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1339570.0,49.8,Murray Hill                                                                ,47.4
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""32 23 90 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4620453.0,48.8,,39.1
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 48 80 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",127600.0,38.2,,27.9
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""41 67 JUDGE STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",820961.0,38.8,Elmhurst                                                                   ,37.2
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""65 65 WETHEROLE STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",3909882.0,63.0,Forest Hills                                                               ,62.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""34 06 81 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",534571.0,29.6,,41.4
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""147 04 72 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",454587.0,49.8,Kew Gardens Hills                                                          ,51.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""160 01 16 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",172373.0,42.3,Ft. Totten-Bay Terrace-Clearview                                           ,57.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""43 35 UNION STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",2227799.0,40.5,Flushing                                                                   ,46.7
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""10 34 166 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",607904.0,40.5,Whitestone                                                                 ,35.6
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""1 50 BEACH 81 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",384500.0,39.6,Hammels-Arverne-Edgemere                                                   ,91.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""61 15 98 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",5208126.0,48.9,,62.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""109 14 ASCAN AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",345009.0,56.0,Forest Hills                                                               ,57.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""76 12 35 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",655708.0,29.3,Jackson Heights                                                            ,46.5
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""110 15 71 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",867313.0,62.0,Forest Hills                                                               ,51.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""124 16 84 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",584966.0,38.8,Kew Gardens                                                                ,39.2
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""34 41 85 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1401784.0,51.0,,49.5
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""69 09 108 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1137494.0,47.4,Forest Hills                                                               ,66.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""144 11 77 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",115233.0,46.4,Kew Gardens Hills                                                          ,32.6
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 19 116 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",720792.0,47.7,Kew Gardens                                                                ,48.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""87 10 34 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",820961.0,38.8,Jackson Heights                                                            ,37.2
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""134 54 MAPLE AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",2359528.0,47.5,Flushing                                                                   ,46.3
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""69 05 35 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",510651.0,40.8,Jackson Heights                                                            ,39.8
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""131 11 KEW GARDENS ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1454335.0,58.0,Kew Gardens                                                                ,56.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""13 04 BELL BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",206276.0,58.0,Ft. Totten-Bay Terrace-Clearview                                           ,57.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""102 40 67 DRIVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",867313.0,65.0,Forest Hills                                                               ,72.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""92 11 35 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1401784.0,59.0,Jackson Heights                                                            ,49.5
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""68 09 138 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",150583.0,42.4,Kew Gardens Hills                                                          ,32.6
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""7 25 166 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",607904.0,40.5,,35.6
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""74 45"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",3909882.0,63.0,,62.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""140 18 BURDEN CRESCENT"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",524031.0,41.6,Briarwood-Jamaica Hills                                                    ,41.6
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 33 AUSTIN STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",743538.0,64.0,Kew Gardens                                                                ,64.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""85 14"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",930577.0,40.5,,41.1
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""50 15 39 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",557580.0,42.7,,41.7
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""22 87 MOTT AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",3013652.0,35.1,Far Rockaway-Bayswater                                                     ,28.4
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""133 BEACH 120 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4074665.0,56.0,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      ,55.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""113 14 72 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1380875.0,56.0,Forest Hills                                                               ,67.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""160 BEACH 117 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4074665.0,56.0,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      ,55.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""102 10 66 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",5208126.0,42.3,Forest Hills                                                               ,62.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""87 15 214 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",2066361.0,57.0,Queens Village                                                             ,57.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 16 80 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",127600.0,30.3,,27.9
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""41 15 44 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",483321.0,42.6,,51.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""135 01 JEWEL AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",150583.0,42.3,Kew Gardens Hills                                                          ,32.6
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""143 50 BARCLAY AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1576250.0,62.0,Flushing                                                                   ,63.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""224 01 HILLSIDE AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",115233.0,42.4,Bellerose                                                                  ,32.6
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""88 12 ELMHURST AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",2240993.0,49.8,Elmhurst                                                                   ,33.1
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""78 37 MAIN STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",115233.0,42.3,Kew Gardens Hills                                                          ,32.6
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""66 01 BURNS STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",3909882.0,63.0,Forest Hills                                                               ,62.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""144 34 77 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",596412.0,46.1,Kew Gardens Hills                                                          ,32.6
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""84 02 BEVERLY ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",764458.0,69.0,Kew Gardens                                                                ,72.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""139 19 31 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",2691386.0,39.7,Flushing                                                                   ,55.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""143 40 41 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1339570.0,51.0,Flushing                                                                   ,47.4
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""143 07 SANFORD AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",751599.0,47.9,Flushing                                                                   ,38.7
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 38 75 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",2289094.0,62.0,,91.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""244 24 57 DRIVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",115233.0,47.9,Douglas Manor-Douglaston-Little Neck                                       ,51.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""150 10 71 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1459674.0,48.9,Kew Gardens Hills                                                          ,41.7
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""162 10 POWELLS COVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",607904.0,40.5,Whitestone                                                                 ,35.6
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""42 42 JUDGE STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",578083.0,46.6,Elmhurst                                                                   ,46.5
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""143 30 ROOSEVELT AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1339570.0,51.0,Flushing                                                                   ,47.4
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""140 35 BEECH AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",886397.0,55.0,Flushing                                                                   ,56.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 60 VIETOR AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",504825.0,50.0,Elmhurst                                                                   ,50.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""33 38 PARSONS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",751599.0,39.1,Flushing                                                                   ,38.7
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""70 31 108 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1380875.0,56.0,Forest Hills                                                               ,67.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 37 78 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",127600.0,38.2,,27.9
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""72 17 34 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",534571.0,23.42,Jackson Heights                                                            ,41.4
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""76 66 AUSTIN STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",720792.0,47.7,Forest Hills                                                               ,48.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""43 25 DOUGLASTON PARKWAY"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1178683.0,41.4,Douglas Manor-Douglaston-Little Neck                                       ,48.8
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""33 49 91 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4950000.0,49.5,,62.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""103 25 68 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1380875.0,57.0,Forest Hills                                                               ,67.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""158 09 PARSONS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1459674.0,56.0,,41.7
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""84 35 LANDER STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",510651.0,38.4,Briarwood-Jamaica Hills                                                    ,38.6
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""41 12 41 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1122870.0,65.0,,65.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""55 05 WOODSIDE AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",6253412.0,40.8,Woodside                                                                   ,41.9
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""175 01 HILLSIDE AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1178683.0,41.6,Jamaica Estates-Holliswood                                                 ,41.6
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""149 05 79 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",932434.0,51.0,Kew Gardens Hills                                                          ,48.8
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""17202 18 CROCHERON AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",140850.0,46.4,,54.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""249 09 63 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",356641.0,42.3,Douglas Manor-Douglaston-Little Neck                                       ,30.2
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""102 12 65 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1380875.0,56.0,Forest Hills                                                               ,67.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""61 41 SAUNDERS STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",846044.0,55.0,Rego Park                                                                  ,50.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""99 04 57 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",2659635.0,47.9,Corona                                                                     ,41.4
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 44 LEFFERTS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",720792.0,47.7,Kew Gardens                                                                ,48.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""81 11 45 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1255760.0,59.0,Elmhurst                                                                   ,60.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""86 15 DONGAN AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",497060.0,58.0,Elmhurst                                                                   ,47.7
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 55 LEFFERTS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",584966.0,38.8,Kew Gardens                                                                ,39.2
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""32 30 93 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",578083.0,46.7,,46.5
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""72 61 113 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1380875.0,58.0,Forest Hills                                                               ,67.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""144 30 SANFORD AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",915141.0,34.2,East Flushing                                                              ,39.4
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""61 20 COLONIAL AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",5208126.0,42.2,,62.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""38 05 65 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",109000.0,38.2,,28.9
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""64 00 SAUNDERS STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",3909882.0,63.0,Rego Park                                                                  ,62.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""41 15 45 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1219183.0,65.0,,63.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""87 09 34 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",820961.0,35.4,Jackson Heights                                                            ,35.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""59 21 CALLOWAY STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1101205.0,30.7,Corona                                                                     ,57.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 40 AUSTIN STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",806248.0,56.0,Kew Gardens                                                                ,56.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""110 21 73 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",3909882.0,64.0,Forest Hills                                                               ,64.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""69 68 137 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",596412.0,41.9,Kew Gardens Hills                                                          ,57.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""167 05 12 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",607904.0,40.5,Whitestone                                                                 ,35.6
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""62 59 108 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",909521.0,42.3,Forest Hills                                                               ,59.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""143 25 84 DRIVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1006738.0,38.4,Briarwood-Jamaica Hills                                                    ,38.6
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""4 74 48 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",5430133.0,62.0,Hunters Point-Sunnyside-West Maspeth                                       ,162.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""10 36 NEILSON STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",915141.0,39.4,Far Rockaway-Bayswater                                                     ,39.4
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""73 37 AUSTIN STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",345009.0,56.0,Forest Hills                                                               ,57.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""151 20 88 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",497780.0,41.7,Lindenwood-Howard Beach                                                    ,41.6
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""42 42 COLDEN STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",2227799.0,62.0,Flushing                                                                   ,46.7
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""212 30 23 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",2539788.0,58.0,Ft. Totten-Bay Terrace-Clearview                                           ,58.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""39 76 57 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",510651.0,40.9,,39.8
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""110 20 71 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1089693.0,57.0,Forest Hills                                                               ,59.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""137 77 KISSENA BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",2359528.0,59.0,,56.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""199 02 21 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",206276.0,58.0,Ft. Totten-Bay Terrace-Clearview                                           ,57.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""38 30 WEST DRIVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",115233.0,48.0,Douglas Manor-Douglaston-Little Neck                                       ,51.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""36 06 213 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",182478.0,70.0,Bayside-Bayside Hills                                                      ,41.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""77 35 113 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1089693.0,55.0,Forest Hills                                                               ,59.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""43 25 43 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1122870.0,65.0,,65.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""7600 SHORE FRONT PARKWAY"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4074665.0,39.6,Hammels-Arverne-Edgemere                                                   ,55.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""200 02 35 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",182478.0,23.63,Bayside-Bayside Hills                                                      ,41.0
