queens_cooperatives_comparable_properties_boro_block_lot,latitude,longitude,queens_cooperatives_comparable_properties_neighborhood,comparable_rental_2_boro_block_lot,community_board,comparable_rental_1_building_classification,comparable_rental_1_neighborhood,queens_cooperatives_comparable_properties_total_units,comparable_rental_1_full_market_value,comparable_rental_2_total_units,comparable_rental_1_gross_income_per_sqft
4-16231-0044,,,ROCKAWAY PARK,4-15815-0220,,D7-ELEVATOR,FAR ROCKAWAY,65,11900000,402.0,14.04
4-02234-0006,40.722413,-73.841176,FOREST HILLS,4-04994-0078,6.0,D1-ELEVATOR,FOREST HILLS,200,5620000,90.0,14.83
4-05374-0027,40.759017,-73.82007,FLUSHING-NORTH,4-10148-0001,7.0,D3-ELEVATOR,SOUTH JAMAICA,180,7220000,148.0,11.57
4-08443-0001,40.752035,-73.718982,GLEN OAKS,4-06691-0011,13.0,C1-WALK-UP,FLUSHING-NORTH,104,380000,42.0,9.16
4-05023-0039,40.76019,-73.822868,FLUSHING-NORTH,4-05025-0070,7.0,D1-ELEVATOR,FLUSHING-NORTH,76,3510000,100.0,12.6
4-09807-0073,40.709653,-73.789958,JAMAICA,4-09793-0033,12.0,D1-ELEVATOR,JAMAICA,141,4150000,96.0,11.68
4-01462-0001,40.752383,-73.878948,JACKSON HEIGHTS,4-01448-0032,3.0,D1-ELEVATOR,JACKSON HEIGHTS,96,3720000,84.0,11.01
4-05145-0055,40.752089,-73.823802,FLUSHING-NORTH,4-05040-0027,7.0,D1-ELEVATOR,FLUSHING-NORTH,126,8870000,128.0,12.44
4-00528-0050,,,ASTORIA,4-00581-0033,,D1-ELEVATOR,ASTORIA,364,4430000,73.0,12.09
4-10264-0091,40.696061,-73.782645,SOUTH JAMAICA,4-10723-0001,12.0,C9-WALK-UP,QUEENS VILLAGE,56,2220000,90.0,12.36
4-03087-0002,40.726918,-73.858465,REGO PARK,4-03094-0034,6.0,D1-ELEVATOR,REGO PARK,66,2640000,72.0,12.0
4-02173-0001,40.7308,-73.848491,FOREST HILLS,4-02116-0006,6.0,D1-ELEVATOR,REGO PARK,84,4280000,65.0,12.57
4-02266-0079,40.73851,-73.886623,FOREST HILLS,4-02139-0001,4.0,D1-ELEVATOR,FOREST HILLS,126,6510000,112.0,16.47
4-05040-0032,40.756327,-73.831234,FLUSHING-NORTH,4-05025-0070,7.0,D1-ELEVATOR,FLUSHING-NORTH,65,3510000,100.0,12.6
4-11461-0002,40.664267,-73.852615,HOWARD BEACH,4-12311-0050,10.0,C9-WALK-UP,SO. JAMAICA-BAISLEY PARK,96,1170000,46.0,11.82
4-01222-0009,40.746966,-73.897847,WOODSIDE,4-15960-0060,2.0,D1-ELEVATOR,ASTORIA,145,5500000,353.0,14.83
4-05193-0001,40.754314,-73.821306,FLUSHING-NORTH,4-05040-0027,7.0,D1-ELEVATOR,FLUSHING-NORTH,60,3330000,128.0,12.99
4-02186-0075,40.731525,-73.844394,FOREST HILLS,4-01532-0016,6.0,C1-WALK-UP,CORONA,96,722000,16.0,12.2
4-01278-0023,,,JACKSON HEIGHTS,4-01282-0193,,C1-WALK-UP,JACKSON HEIGHTS,16,285000,16.0,8.48
4-03205-0016,40.721029,-73.850812,FOREST HILLS,4-03205-0024,6.0,D1-ELEVATOR,FOREST HILLS,24,3200000,20.0,14.24
4-02267-0136,,,FLUSHING MEADOW PARK,4-02139-0001,,D1-ELEVATOR,FOREST HILLS,72,6510000,112.0,16.47
4-02376-0101,40.732833,-73.900106,MASPETH,4-05137-0005,5.0,D1-ELEVATOR,ELMHURST,372,18800000,322.0,15.47
4-02113-0001,,,REGO PARK,4-02139-0001,,D1-ELEVATOR,FOREST HILLS,118,6510000,112.0,16.47
4-01908-0001,40.738722,-73.861724,CORONA,4-05137-0005,4.0,D1-ELEVATOR,JACKSON HEIGHTS,208,3720000,322.0,11.01
4-06537-0028,40.734348,-73.821183,FLUSHING-SOUTH,4-05331-0020,8.0,C7-WALK-UP,FLUSHING-NORTH,172,2150000,31.0,16.67
4-03168-0056,40.724209,-73.85425,REGO PARK,4-03083-0085,6.0,D1-ELEVATOR,REGO PARK,80,3540000,62.0,12.78
4-04769-0001,40.775607,-73.825914,FLUSHING-NORTH,4-05146-0001,7.0,D1-ELEVATOR,FLUSHING-NORTH,192,9090000,148.0,10.28
4-03164-0012,40.722109,-73.855932,REGO PARK,4-03175-0001,6.0,D3-ELEVATOR,REGO PARK,135,15500000,1327.0,14.21
4-03159-0070,,,REGO PARK,,,D1-ELEVATOR,REGO PARK,73,3540000,,12.78
4-01272-0012,,,JACKSON HEIGHTS,4-15543-0046,,D1-ELEVATOR,REGO PARK,96,9790000,37.0,12.57
4-04591-0082,40.792272,-73.799864,BEECHHURST,4-05022-0008,7.0,D1-ELEVATOR,FLUSHING-NORTH,32,1530000,62.0,10.55
4-02150-0001,,,FOREST HILLS,4-02139-0001,,D1-ELEVATOR,FOREST HILLS,295,6510000,112.0,16.47
4-01254-0012,,,JACKSON HEIGHTS,4-15815-0220,,D3-ELEVATOR,SOUTH JAMAICA,270,12100000,402.0,10.13
4-05878-0050,,,BAYSIDE,4-05865-0112,,D1-ELEVATOR,BAYSIDE,248,8460000,152.0,14.57
4-07071-0003,,,FRESH MEADOWS,4-05295-0047,,C1-WALK-UP,BAYSIDE,38,2240000,16.0,13.52
4-02234-0038,40.721776,-73.840806,FOREST HILLS,4-02265-0079,6.0,D1-ELEVATOR,FOREST HILLS,98,5620000,92.0,14.83
4-01837-0012,40.738985,-73.876111,ELMHURST,4-01511-0001,4.0,D1-ELEVATOR,ELMHURST,152,8420000,235.0,12.99
4-01265-0033,40.751426,-73.888193,JACKSON HEIGHTS,4-01443-0040,3.0,D1-ELEVATOR,JACKSON HEIGHTS,60,2400000,46.0,11.33
4-03322-0156,40.705186,-73.834155,KEW GARDENS,4-03321-0037,9.0,D1-ELEVATOR,KEW GARDENS,150,7590000,84.0,13.66
4-04588-0052,40.793099,-73.79924,BEECHHURST,4-05022-0008,7.0,D1-ELEVATOR,FLUSHING-NORTH,32,1530000,62.0,10.55
4-02235-0038,40.722119,-73.83889,FOREST HILLS,4-02265-0079,6.0,D1-ELEVATOR,FOREST HILLS,71,3280000,92.0,13.47
4-04591-0096,40.792321,-73.799857,BEECHHURST,4-05022-0008,7.0,D1-ELEVATOR,FLUSHING-NORTH,32,1530000,62.0,10.55
4-12974-0023,40.675028,-73.734221,LAURELTON,4-12311-0050,13.0,C9-WALK-UP,SO. JAMAICA-BAISLEY PARK,60,1170000,46.0,11.82
4-08276-0002,,,DOUGLASTON,4-05295-0047,,C1-WALK-UP,BAYSIDE,168,2240000,16.0,13.52
