queens_cooperatives_comparable_properties_boro_block_lot,queens_cooperatives_comparable_properties_address,postcode,comparable_rental_2_gross_sqft,comparable_rental_2_market_value_per_sqft,comparable_rental_2_gross_income_per_sqft,queens_cooperatives_comparable_properties_full_market_value,comparable_rental_1_year_built,bbl,comparable_rental_2_year_built
4-04602-0131,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""166 25 12 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11357.0,48786.0,46.9,12.46,1650000,1957,4046020131.0,1962.0
4-06103-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""209 28 34 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11361.0,32000.0,145.0,29.9,563000,1907,4061030001.0,1921.0
4-01238-0040,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""39 60 54 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,124600.0,46.6,12.4,10600000,1951,,1949.0
4-05294-0022,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""167 10 CROCHERON AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11358.0,68257.0,48.8,12.99,4060000,1942,4052940022.0,1963.0
4-03341-0030,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""114 20 QUEENS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11375.0,53455.0,55.0,13.91,4090000,1962,4033410030.0,1939.0
4-05180-0015,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""42 45 KISSENA BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11355.0,189748.0,46.7,12.44,6580000,1963,4051800015.0,1962.0
4-05180-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""42 65 KISSENA BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11355.0,106848.0,56.0,14.23,11900000,1962,4051800001.0,1963.0
4-03165-0062,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""67 25 CLYDE STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11375.0,1741458.0,62.0,15.27,5340000,1959,4031650062.0,1960.0
4-09715-0220,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""140 55 BURDEN CRESCENT"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11435.0,44695.0,41.4,11.72,2640000,1961,4097150220.0,1958.0
4-01463-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""89 10 35 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11372.0,99383.0,30.8,9.33,4010000,1927,4014630001.0,1938.0
4-02152-0101,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""105 07 66 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11375.0,111672.0,46.5,12.37,6350000,1942,4021520101.0,1943.0
4-11461-0050,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""155 34 84 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11414.0,31365.0,64.0,15.87,2270000,1951,4114610050.0,1972.0
4-03096-0118,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""63 95 AUSTIN STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11374.0,1741458.0,62.0,15.27,3810000,1959,4030960118.0,1960.0
4-03164-0038,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""67 25 DARTMOUTH STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11375.0,61242.0,47.5,12.64,5360000,1959,4031640038.0,1954.0
4-03293-0050,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""111 15 75 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11375.0,275197.0,56.0,14.21,6830000,1962,4032930050.0,1959.0
4-01111-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""55 17 31 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11377.0,108384.0,42.2,11.97,21800000,1928,,1941.0
4-05200-0039,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""140 15 HOLLY AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11355.0,62954.0,40.8,11.6,4200000,1962,4052000039.0,1930.0
4-07632-0002,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""67 02"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,7550.0,58.0,14.54,31900000,1939,,1977.0
4-08374-0056,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""252 56 63 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11362.0,30981.0,40.7,11.51,3150000,1928,4083740056.0,1950.0
4-03316-0010,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""117 14 UNION TURNPIKE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11415.0,68040.0,35.9,10.59,2990000,1931,4033160010.0,1932.0
4-07748-0400,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""75 05 210 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11364.0,103629.0,56.0,14.09,13500000,1966,4077480400.0,1951.0
4-06216-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""209 10 41 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11361.0,1116500.0,34.2,10.13,3310000,1964,4062160001.0,1950.0
4-05134-0059,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""136 35 MAPLE AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11355.0,87408.0,59.0,14.88,1990000,1951,4051340059.0,1964.0
4-08092-0028,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""44 20 DOUGLASTON PARKWAY"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11363.0,121901.0,48.6,12.93,1830000,1963,4080920028.0,1962.0
4-01443-0053,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""34 39 82 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,16920.0,46.0,12.23,632000,1928,,1936.0
4-01267-0060,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""34 21 80 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,37260.0,44.0,14.35,485000,1938,,1925.0
4-03236-0035,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""70 25"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,97200.0,67.0,16.47,37000000,1962,,1942.0
4-06659-0021,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""144 42 71 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11367.0,12580.0,30.2,9.16,2200000,1931,4066590021.0,1928.0
4-01281-0033,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 50 82 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,37260.0,44.0,14.35,1310000,1938,,1925.0
4-01312-0043,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""41 42 73 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,71700.0,51.0,13.52,4560000,1964,,1964.0
4-02223-0038,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""108 37 71 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11375.0,111672.0,46.5,12.37,6100000,1942,4022230038.0,1943.0
4-04994-0051,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""34 20 PARSONS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11354.0,121901.0,48.6,12.93,7630000,1963,4049940051.0,1962.0
4-06676-0019,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""147 37 71 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11367.0,12580.0,30.2,9.16,254000,1931,4066760019.0,1928.0
4-00709-0028,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""44 02 NEWTOWN ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11103.0,111648.0,49.9,13.26,3210000,1937,4007090028.0,1934.0
4-02133-0036,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""66 36"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,204340.0,40.5,11.49,11500000,1959,,1952.0
4-07668-0010,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""222 01 69 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11364.0,12580.0,30.2,9.16,6010000,1950,,1928.0
4-05938-0003,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""17 85 215 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11360.0,147700.0,72.0,17.78,18700000,1967,4059380003.0,1973.0
4-06658-0039,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""144 36 71 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11367.0,12580.0,30.2,9.16,1010000,1931,4066580039.0,1928.0
4-00157-0009,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""41 25 44 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,40800.0,51.0,13.67,1770000,1937,,1937.0
4-11434-0100,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""151 25 88 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11414.0,31365.0,64.0,15.87,6340000,1951,4114340100.0,1972.0
4-00196-0032,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""47 20 42 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,40800.0,51.0,13.67,2770000,1937,,1937.0
4-04788-0008,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""30 11 PARSONS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11354.0,131187.0,41.8,11.86,5940000,1955,4047880008.0,1963.0
4-16227-0037,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""117 12"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,322584.0,47.4,12.63,4560000,1952,,1952.0
4-03191-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""71 11"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,275197.0,56.0,14.21,5710000,1960,,1959.0
4-03355-0106,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 00 LEFFERTS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11415.0,53455.0,55.0,13.91,5800000,1962,,1939.0
4-01267-0012,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""34 14 81 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,37260.0,44.0,14.35,422000,1938,,1925.0
4-00184-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""41 41 41 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,43150.0,56.0,14.17,3180000,1931,,1931.0
4-05863-0110,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""211 77 15 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,15263.0,51.0,13.51,5130000,1950,,1928.0
4-02864-0021,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""86 10 GRAND AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11373.0,37772.0,56.0,14.0,3170000,1960,4028640021.0,1959.0
4-08745-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""81 69 LANGDALE STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11040.0,30981.0,40.7,11.51,1400000,1928,4087450001.0,1950.0
4-03334-0186,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""77 16 AUSTIN STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11375.0,68040.0,35.9,10.59,3660000,1931,4033340186.0,1932.0
4-01265-0052,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""34 41 78 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,51872.0,39.7,11.26,1920000,1939,,1936.0
4-03329-0004,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""118 14 83 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11415.0,70059.0,48.0,12.74,4800000,1950,4033290004.0,1931.0
4-00125-0028,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""46 01 39 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11104.0,204340.0,40.5,11.49,6310000,1970,4001250028.0,1952.0
4-00209-0025,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""50 21 39 PLACE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11104.0,40800.0,51.0,13.67,1270000,1937,4002090025.0,1937.0
4-01238-0025,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""52 30 39 DRIVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11377.0,334586.0,76.0,18.69,13400000,1972,4012380025.0,1972.0
4-01457-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 12 35 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11372.0,99383.0,30.8,9.33,3300000,1927,4014570006.0,1938.0
4-03083-0061,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""63 84 SAUNDERS STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11374.0,275197.0,56.0,14.21,8890000,1960,4030830061.0,1959.0
4-07348-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""215 28 47 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11361.0,12580.0,30.2,9.16,5770000,1950,4073480001.0,1928.0
4-04374-0049,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""31 31 138 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11354.0,261919.0,34.7,10.28,6980000,1961,4043740049.0,1955.0
4-02235-0025,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""110 50 71 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11375.0,79050.0,55.0,13.78,8140000,1951,4022350025.0,1967.0
4-15574-0048,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""14 15 MOTT AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11691.0,58800.0,30.4,9.25,1380000,1950,4155740048.0,1941.0
4-01219-0006,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""37 75 64 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,39549.0,49.8,13.27,1770000,1931,,1928.0
4-08764-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""81 16 LANGDALE STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11040.0,30981.0,40.7,11.51,1660000,1928,4087430102.0,1950.0
4-08401-0350,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""251 38 71 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11426.0,30981.0,40.7,11.51,5160000,1928,4084010675.0,1950.0
4-07341-0012,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""46 02 215 PLACE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11361.0,12580.0,30.2,9.16,2390000,1950,,1928.0
4-07755-0003,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""219 02 74 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11364.0,12580.0,30.2,9.16,5860000,1950,4077550003.0,1928.0
4-05137-0067,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""43 10 KISSENA BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11355.0,106848.0,56.0,14.23,11500000,1962,4051370067.0,1963.0
4-03079-0076,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""62 64 SAUNDERS STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11374.0,83650.0,62.0,15.29,3270000,1950,4030790076.0,1941.0
4-03334-0260,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""118 17 UNION TURNPIKE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11375.0,112800.0,64.0,15.82,13700000,1951,4033340260.0,1962.0
4-01566-0039,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""92 29 LAMONT AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11373.0,68500.0,40.9,11.6,2540000,1959,4015660039.0,1961.0
4-05135-0057,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""137 05 FRANKLIN AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11355.0,189748.0,46.7,12.44,3810000,1951,4051350057.0,1962.0
4-06630-0015,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""141 29 78 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11367.0,36000.0,47.5,12.63,2320000,1950,4066300015.0,1931.0
4-02166-0039,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""108 49 63 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11375.0,70500.0,29.9,9.09,4210000,1950,4021660039.0,1949.0
4-16155-0021,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""320 BEACH 100 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11694.0,214701.0,55.0,14.04,18100000,1964,4161550021.0,1952.0
4-01456-0056,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 35 82 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13179.0,64.0,15.64,1070000,1927,,1928.0
4-02264-0101,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""75 20 113 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11375.0,53525.0,66.0,16.2,1940000,1959,4022640101.0,1951.0
4-09740-0142,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""147 10 84 DRIVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11435.0,100947.0,41.1,11.68,2500000,1961,,1963.0
4-01278-0050,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 55 78 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,10208.0,47.0,12.5,631000,1926,,1926.0
4-01276-0015,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 20 77 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,32000.0,145.0,29.9,455000,1907,,1921.0
4-01279-0024,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 42 80 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,10208.0,47.0,12.5,525000,1926,,1926.0
4-10524-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""196 01 POMPEII AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11423.0,145056.0,56.0,14.25,6810000,1951,,1952.0
4-04602-0110,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""168 11 12 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11357.0,48786.0,46.9,12.46,2050000,1957,4046020110.0,1962.0
4-01279-0018,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 28 80 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,10208.0,47.0,12.5,495000,1926,,1926.0
4-01267-0016,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""34 22 81 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,37260.0,44.0,14.35,460000,1938,,1925.0
4-07842-0033,"{'latitude': '40.825439241686', 'longitude': '-72.940573126082', 'human_address': '{""address"": ""224 06"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,12580.0,30.2,9.16,4800000,1950,,1928.0
4-07633-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""213 09 73 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11364.0,12580.0,30.2,9.16,6820000,1950,4076360007.0,1928.0
4-06321-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""218 10 43 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11361.0,14080.0,57.0,14.31,460000,1948,4063210001.0,1922.0
4-02082-0107,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""61 15 97 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,470000.0,39.1,11.08,18200000,1960,,1960.0
4-05301-0033,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""170 06 CROCHERON AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11358.0,70569.0,38.4,10.89,1990000,1942,4053010033.0,1938.0
4-03356-0023,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""125 16 83 DRIVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11415.0,53455.0,55.0,13.91,5050000,1962,4033560023.0,1939.0
4-10212-0033,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""92 33 170 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11433.0,45000.0,38.9,11.06,6650000,1950,4102120033.0,1959.0
4-16228-0041,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""129 BEACH 118 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11694.0,322584.0,47.4,12.63,2340000,1952,4162280041.0,1952.0
4-08442-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""70 43 LITTLE NECK PARKWAY"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11004.0,30981.0,40.7,11.51,7550000,1928,,1950.0
4-10682-0065,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""214 23 HILLSIDE AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11427.0,145056.0,56.0,14.25,1090000,1951,4106820065.0,1952.0
4-13943-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""80 11 SHORE PARKWAY"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11414.0,31365.0,64.0,15.87,5710000,1950,4139430001.0,1972.0
4-01443-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""82 06 34 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11372.0,46854.0,46.3,12.34,1810000,1938,4014430001.0,1937.0
4-01569-0037,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""91 15 LAMONT AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11373.0,68500.0,40.9,11.6,2530000,1959,4015690037.0,1961.0
4-05378-0041,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""147 37 BEECH AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11355.0,308016.0,42.2,11.97,1250000,1938,4053780041.0,1939.0
4-01340-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""63 11 QUEENS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11377.0,41860.0,67.0,16.46,7700000,1963,4013400001.0,1973.0
4-03166-0107,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""67 41 BURNS STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11375.0,1741458.0,62.0,15.27,5820000,1959,4031660107.0,1960.0
4-01551-0026,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""92 05 WHITNEY AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11373.0,95904.0,57.0,14.4,4780000,1938,4015510026.0,1927.0
