gi_id,bbl,tree_latin,constructed_date,status_gro,row_onsite,asset_y_co,constructi,asset_area,asset_type,asset_leng,program_ar,dep_contra,sewer_type,:@computed_region_92fq_4b7q
108b,2055350095.0,Quercus palustris,2021-07-30T00:00:00.000,Constructed,ROW,240950.74,GXHP12-01-GXHP16-01,58.5,ROWB,13.0,Right of Way (ROW),GXHP16-01,Combined,12
1151a,4026810050.0,Other (See notes),2016-12-28T00:00:00.000,Constructed,ROW,201672.22563,GCNC77-02,52.0,ROWB,13.0,Right of Way (ROW),GQNC77-01,Combined,34
IB6049J,3081610050.0,No Tree,2025-03-13T00:00:00.000,Constructed,ROW,174048.9227,GKCI05-3A,72.0,ROW Infiltration Basin with Concrete Top,12.0,Right of Way (ROW),GKCI05-03,Combined,8
1326A,4056660063.0,Acer rubrum,2021-11-18T00:00:00.000,Constructed,ROW,211102.7197,GCTI10-02,76.5,ROWB,17.0,Right of Way (ROW),GQTI10-02,Combined,3
1-312a,3012030034.0,Betula nigra,2019-10-28T00:00:00.000,Constructed,ROW,186202.662,GNCB14-1A,65.0,ROWB,13.0,Right of Way (ROW),GKNC14-05,Combined,49
427C,3035390039.0,Zelkova serrata,2015-12-10T00:00:00.000,Constructed,ROW,181958.53,GK26W3-03,65.0,ROWB,13.0,Right of Way (ROW),GK26W3-03,Combined,17
PP6071,3062610058.0,,,Final Design,ROW,161522.8353,GKOH15-04,750.0,ROW Porous Concrete,375.0,Right of Way (ROW),GKOH15-04,Combined,45
MARC-01SP,3017190001.0,,,In Construction,Onsite,194059.0,,2262.0,Subsurface Detention System,0.0,Public Onsite,GK-H-MARC,Combined,49
3-184a,3018910029.0,No Tree,2019-10-28T00:00:00.000,Constructed,ROW,192680.6092,GNCB14-1A,40.0,ROWB,10.0,Right of Way (ROW),GKNC14-07,Combined,48
2002a,4049250083.0,Acer rubrum,2022-08-31T00:00:00.000,Constructed,ROW,220963.69789,GCTI10-1B,78.0,ROWB,13.0,Right of Way (ROW),GQTI10-01,Combined,20
