severity,infraction_code5,violation_description,infraction_code1,penality_imposed,amount_paid,section_law_description1,isn_dob_bis_extract,hearing_time,nan with block,172 with block,244 with block,BQ7 with block
CLASS - 1,,"WORK W/O A PERMIT. NOTED: CELLAR OF 2 STYS BLDG IS CONVERTED TO A CLASS 'A' APT W/3 PC BATHROOM AND KITCHEN W/GAS STOVE, 1 BEDROOM W/O PERMIT. REMEDY: OBTAIN PERMIT OR RESTORE PREMISES TO PRIOR LEGAL CONDITION.",101,0,0,28-105.1                                                                    WORK WITHOUT A PERMIT,4477,830,2786.0,,,
CLASS - 1,,FAILURE TO COMPLY W/ COMM'S ORDER TO CORRECTION VIO#34776679P FOR WORKW/O PERMIT @ REAR ERECTED RAISED 2ND STORY EXTENSION APPROX 14X 26'X10' W/O PERMIT. NO RECORD OF CORRECTION. REM: COMPLY W/ COMM'S ORDER & O,187,12000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1705005,830,13341.0,,,
Non-Hazardous,,RESIDENCE ALTERED FOR OCCUPANCY AS A DWELLING FOR MORE THAN THE LEGALLY APPROVED NUMBER OF FAMILIES C OF O NO 168973 INDICATES PREMISES TO BE LEGALLY APPROVED FOR A 2 FAMILY (1ST AND 2ND FLRS) BASEMENT BOILERRO,BQ5,2750,2750,27-118.1                                                                    RESIDENCE ALTERED FOR OCCUPANCY BY MORE THAN LEGALLY APPROVED NUM,1721111,1030,,,,6173.0
CLASS - 1,,"FAIL TO COMPLY W/COMM ORDER TO OBTAIN A PERMIT PER ECB VIOL 34652666L,ISSUED ON 6/8/2008, FOR WORK W.O PERMIT @ CELLAR LEVEL, INSTALLED ROUGHING & PIPING TO SUPPORT GAS STOVE, RESIDENTIAL SINK & 3 PC BATH (TOIL",187,24000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1672616,1030,8255.0,,,
CLASS - 2,,FAILURE TO FILE AN AMENDED 5TH ROUND REPORT ACCEPTABLE TO THIS DEPARTMENT INDICATING CORRECTION OF UNSAFE CONDITIONS DESCRIBED IN INITIAL LOCAL LAW 11/98 REPORT. REMEDY: FILE AN AMENDED REPORT FOLLOWING REMEDIA,227,0,0,28-302.5                                                                    FAILURE TO FILE AN AMENDED REPORT ACCEPTABLE TO THIS DEPARTMENT INDICA,1725917,1030,2132.0,,,
CLASS - 1,,FAILURE TO COMPLY W/THE COMMISSIONER'S ORDER TO OBTAIN A PERMIT PER VECB # 34739644M ISSUED 1/23/09 FOR WORK W/O PERMIT AT CELLAR INSTALLED ROUGHING AND PIPING TO SUPPORT GAS STOVE RES.SINK AND 3PC BATH REMEDY:,187,6000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1672726,830,6678.0,,,
CLASS - 2,,FAILURE TO PROVIDE APPROVED/ACCEPTED PLANS AT JOB SITE AT TIME OF INSPECTION. WORK AT THE PREMISES UNDER JOB PERMIT #402307302 ALT 1 OBSERVE3 WORKERS TO WORKING ON THE I BEAMS W/O APPROVED PLANS AT SITE. REMEDY,210,0,0,28-104.2.2                                                                  FAIL TO PROVIDE APPRV/ACCEPTED PLANS ST JOB SITE AT TIME OF INSP,1370698,830,3234.0,,,
CLASS - 1,,SEC 28-201.1 UNLAWFUL ACTS FAILURE TO COMPLY W/ VACATE ORDER Q773/08 ISSUED 9-18-08 FOR CELLAR AND 1ST FL REAR EXTENSION REAR EXTENSION OCCUPIED BY TWO EMPLOYEES PROCESSING DOUGH FOR BAKERY REM: COMPLY W/ NOTIC,106,1600,1600,27-/28-/BC-MISC                                                             MISCELLANEOUS VIOLATIONS,190,830,1510.0,,,
CLASS - 1,,"FAILURE TO MEET THE REQUIREMENTS OF THE FIRE DEPT. NOTE: AT TIME OF INSPECTION OBSERVED THE USE OF PROPANE TANKS TO HEAT FLR ON 2ND,4TH,5TH AND 6TH. (TOTAL OF 4 PROPANE TANKS) W/O A PERMIT FROM NYC FIRE DEPT",106,1600,1600,27-/28-/BC-MISC                                                             MISCELLANEOUS VIOLATIONS,23960,830,2866.0,,,
CLASS - 2,,67X10.67X CAR PHONE,251,250,250,28-301.1                                                                    FAILURE TO MAINTAIN BUILDING IN CODE-COMPLAINT MANNER:SERVICE EQUIPMEN,49163,1030,1705.0,,,
CLASS - 1,,"FAILURE TO COMPLY W/AN ORDER OF THE COMMISSIONER TO FILE C/C FOR NOV 34637647K/030508C07SA02, STATUS: OVERDUE COMPLIANCE REMEDY: COMPLY W/COMMISSIONER'S ORDER.",187,2400,2400,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1156150,900,5046.0,,,
CLASS - 1,,"FAILURE TO MAINTAIN BLDG WALL/APPURTENANCES. DEFECTS NOTED: AWNING AT FRONT OF BLDG IS BROKEN & CERAMIC TILES (SHINGLES) INSTALLED ON THE TOP OF AWNING ARE LOOSE, DISLODGED & BROKEN & FALLING ON SIDEWALK.",104,5000,0,28-302.1                                                                    FAILURE TO MAINTAIN BLDG WALL(S) OR APPURTENANCES,1726470,1030,53.0,,,
CLASS - 2,,MISC. VIOLATIONS.FAILURE TO PROVIDE ADEQUATE EXITS FOR EXISITING STRUCTURE .NO LADDERS OR STAIRS FOR EGRESS IN OR OUT OF EXISTING STRUCTURE (3 STORIES STRUCTURE).REMEDY:COMPLY W/NOV.INSTALL STAIRS OR LADDERS,206,0,0,27-/28-/BC-MISC                                                             MISCELLANEOUS VIOLATIONS,587,1030,6460.0,,,
CLASS - 2,,RESIDENCE ALTERED FOR OCCUPANCY AS A DWELLING FOR MORE THAN THE LEGALLY APPROVED # OF FAMILIES. DOB RECORDS INDICATE PREMISES TO BE LEGALLY APPROVED FOR A 1 FAMILY. RESIDENCE IS NOW ALTERED FOR OCCUPANCY AS A 3,200,1200,1841,28-210.1                                                                    RESIDENCE ALTERED FOR OCCUPANCY AS A DWELLING FOR MORE THAN THE LEGALL,1474,830,13750.0,,,
CLASS - 2,,12X10.12Q3.61G11.68M7.12.71.77 LIGHTS INOPERATIVE 70O CLEAN PIT LADER 1010J 100H REPLACE SADDLE AND ADJUST GIBS TO RIDE AT IN SADDLE 53B SHORTEN ROPE 56Y SEAL LEAKS 42G  UNREADABLE OR OVERATED FUSES 68M MAINTEN,251,500,500,28-301.1                                                                    FAILURE TO MAINTAIN BUILDING IN CODE-COMPLAINT MANNER:SERVICE EQUIPMEN,28063,830,1876.0,,,
CLASS - 2,,"JOB SITE FENCE NOT CONSTRUCTED PURSUANT TO SUBSECTION. AT TIME OF INSPECTION, JOB SITE FENCE ERECTED AT JOB SITE IS DEFECTIVE. DEFECTS NOTED: AT LEFT SIDE OF PREMISES, EXP 2 ADJACENT TO 38-04 LITTLE NECK PKWY",211,800,0,"BC 3307.7,27-1021(C)                                                        JOB SITE FENCE NOT CONSTRUCTED PURSUANT TO SUBSECTION",1723629,800,8162.0,,,
CLASS - 1,,UNLAWFUL ACTS.FAILURE TO COMPLY W/COMM ORDER TO FILE A CERTIFICATE OF CORRECTION W/DOB FOR NOV 34646797K ISSUED ON 5/20/08 FOR FAIL TO COMPLY W/THE COMM ORDER FOR VIO 34621829P. CONDITION STILL EXIST. REMEDY:,187,12000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1704684,830,3682.0,,,
CLASS - 1,,UNLAWFUL ACTS. FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER'S TO FILE A CERTIFICATE OF CORRECTION WITH THE DEPARTMENT OF BUILDINGS FOR NOTICE OF VIOLATION NUMBER 34591570K ISSUED ON 08-21-2007 FOR ALT.,187,12000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1157080,830,9428.0,,,
CLASS - 2,,15I10.08V01.,251,0,0,28-301.1                                                                    FAILURE TO MAINTAIN BUILDING IN CODE-COMPLAINT MANNER:SERVICE EQUIPMEN,516884,1030,5197.0,,,
CLASS - 2,,"70Y13,60Q03.70Y-PISTON LEAK.",251,0,0,28-301.1                                                                    FAILURE TO MAINTAIN BUILDING IN CODE-COMPLAINT MANNER:SERVICE EQUIPMEN,2722,1030,5862.0,,,
CLASS - 1,,"FAILURE TO COMPLY W/THE COMMISSIONER'S ORDER TO OBTAIN A PERMIT PER VECB # 34738988L, ISSUED ON 3.23.09, FOR WORK W/O PERMIT: INSTALLED ROUGHING & PIPING FOR GAS, RESIDENTIAL SINK & 3 PC BATHS @ BOTH ATTIC &",187,2400,2400,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1725602,830,3236.0,,,
CLASS - 1,,"FAILURE TO COMPLY W/AN ORDER OF THE COMMISSIONER. NOTED: RESPONDENT FAILED TO CORRECT THE CONDITIONS CITED IN THE PRIOR NOV #34640434Y, HAVING CONSTRUCTED FULL HEIGHT PARTITIONS IN THE CELLAR, THEREBY CREATING",187,24000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1671249,1030,1227.0,,,
CLASS - 1,,FAILURE TO COMPLY W/COMM'S ORDER TO CORRECT VIO#34711295Z FOR WORK W/OPERMIT.NO RECORD OF CORRECTION.REM:COMPLY W/COMM'S ORDER & OBTAIN PERMIT,187,12000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,772287,830,1542.0,,,
CLASS - 2,,"SEC. 3304.3.1;27-195. FAILURE TO NOTIFY DOB W/I 24-48 HRS OF START OF EXCAVATION. NOTED: SITE HAS BEEN SHORED, EXCAVATED W/MACHINE ON SITE. AT TIME OF INSPECTION NO RULE ( ) MADE. REMEDY: COMPLY W/NOV BY",206,0,0,27-/28-/BC-MISC                                                             MISCELLANEOUS VIOLATIONS,15310,1030,1544.0,,,
CLASS - 2,,FAILURE TO MAINTAIN ADEQUATE HOUSEKEEPING DEFECTS NOTED AT FRONT YARD SETBACK FOR VACANT OPEN AND UNGUARDED BLDG FOUND WITH THE STORAGE OF NUMEROUS BACK PLASTIC BAGS FULL OF DEBRIS AND ALSO NOTED THE STORAGE,212,4000,0,"BC 3303.4,27-1018                                                           FAIL TO MAINTAIN ADEQUATE HSEKEEPING PER SECTIONS REQUIREMENTS",1719608,1030,1791.0,,,
CLASS - 1,,UNLAWFUL ACTS. FAILURE TO COMPLY WITH COMM-ORDER TO CORRECT CONDITIONSCITED IN 34739702L FOR WORK DONE W/O A PERMIT. (CLASS'A' APT AT CELLAR). REMEDY: CORRECT CONDITIONS CITED.,187,24000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1673263,830,1418.0,,,
CLASS - 2,,10H7.17H7.10H7 CAR DOOR GIBS ARE WORN PROVIDE 17H7 HOISTWAY DOOR ARE WWORN REPLACE WERE NEEDED,251,0,0,28-301.1                                                                    FAILURE TO MAINTAIN BUILDING IN CODE-COMPLAINT MANNER:SERVICE EQUIPMEN,33122,1030,2425.0,,,
CLASS - 1,,UNLAWFUL ACTS. FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER TO FILE A CERTIFICATE OF CORRECTION WITH DEPT OF BLDG FOR NOTICE OF VIOLATION #34620815J/103107C07SA03 COMP STATUS OVER DUE COMP.,187,2400,2400,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1530692,800,4095.0,,,
CLASS - 1,,WORK W/O A PERMIT WORK NOTED @ CELLAR LEVEL ERECTED RUG PARTITIONS FOR 5 ROOMS INSTALLED WATER & WASTE LINES FOR 3PC BATH (SINK TOILET SHOWER) & RESIDENTIAL SINK W/ GAS LINE FOR STOVE @ KITCHEN ALSO NOTED 1ST,101,0,0,28-105.1                                                                    WORK WITHOUT A PERMIT,21570,830,2432.0,,,
CLASS - 1,,FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER'S TO OBTAIN PERMITS FOR PARTITIONS AND WORK IN BASEMENT OF ABOVE PREMISES US PER N.O.V #34700528R. REM: COMPLY WITH COMMISSIONER'S ORDER.,187,12000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1629914,1030,2215.0,,,
CLASS - 1,,"FAILURE TO COMPLY W/THE COMMISSIONER'S ORDER TO OBTAIN A PERMIT PER VIOLATION #34651352Y, ISSUED 5.30.08 FOR ""WORK W/O PERMIT"" CELLAR LEVEL.SEE PRIOR NOV #34779269X, ISSUED 5.16.09. REMEDY: OBTAIN PERMIT.",187,2400,2400,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1705234,830,741.0,,,
CLASS - 1,,FAILURE TO COMPLY W/AN ORDER OF THE COMM'S RESPONDENT FAILED TO CORRECT CONDITIONS IN #34715202Z BUILT LARGE STEEL DECK AT REAR AT 2ND FL W/STEEL COLUMNS REMEDY:COMPLY W/CODE,187,1600,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1705317,1030,9574.0,,,
CLASS - 1,,"UNLAWFUL ACTS. FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER. NOTE: RESPONDENT FAILED TO CORRECT THE CONDITIONS CITED IN THE PRIOR N.O.V.# 34792009X. 2-STORY CONCRETE-BLOCK STRUCTURE BEING ERECTED, IN REA",187,12000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1762907,1030,4676.0,,,
CLASS - 1,,"FAILURE TO COMPLY W/THE COMMISSIONER'S ORDER TO OBTAIN A PERMIT PER VECB #34573150P ISSUED FOR WORK W/O PERMIT: WOOD FRAME EXTENSION (APPROX20' X 20' X 10'HIGH) ERECTED AT 1ST FLR LEVEL, REAR YARD. REMEDY:",187,12000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1669575,1030,6135.0,,,
CLASS - 2,,SIDEWALK SHED DOES NOT MEET CODE SPECIFICATIONS. NOTED SHED AT EXP 1  UNDER PMT 420054602 IT IS EXTENDED APPROX 8' TO 10' IN FRONT OF BOTH  ADJACENT PROPERTIES. MAXIMUM ALLOWABLE IS 5'. REMEDY: CONFORM SHED TO,223,0,0,"BC 3307.6,27-1021                                                           SIDEWALK SHED DOES NOT MEET CODE SPECIFICATIONS",18128,830,663.0,,,
CLASS - 2,,WORK W/O PERMIT. NOTED: CREATED 2 CURB CUT AND 2 OFF STREET PARKING AT BACK YARD ON 52 AVE. CONTRUCT 2 CURB CUT. 10' WIDE EACH. 2 OFF STREETPARKING. APPROX 20' X 20'. REMEDY: OBTAIN PERMIT.,201,800,802,28-105.1                                                                    WORK WITHOUT A PERMIT,22968,830,2007.0,,,
CLASS - 2,,SEC. 3307.5.1 27-1009 WATCH PERSON AT THE TIME OF INSPECTION NO CONSTRUCTION ACTIVITY IN PROGRESS GATE LOCKED NO WATCH PERSON PRESENT. TIME OF INSP. 9:45 - 10:10. REMEDY: PROVIDE WATCH PERSON AS PER N.Y.C. BUIL,206,0,0,27-/28-/BC-MISC                                                             MISCELLANEOUS VIOLATIONS,5140,1030,15817.0,,,
CLASS - 1,,OCCUPANCY CONTRARY TO THAT ALLOWED BY COFO AND DOB RECORDS CLASS 'A'  APT  CREATED AT BSMT PARTITIONS ERECTED CREATING RMS KITCHEN AND BATRMFIXTURES PRESENT REMEDY:DISCONTINUE ILLEGAL USE OF AMENDED COFO,103,0,0,28-118.3.2                                                                  OCC CONTRARY TO THAT ALLOWED BY THE C OF O OR DOB RECORDS,31077,1030,3417.0,,,
CLASS - 2,,FAILURE TO COMPLY W/COMMISSIONER'S ORDER TO FILE A COFC FOR NOV # 34770230H PURSANT TO 28.204.2 REMEDY:FILE A COFC,263,4000,0,AC 28-204.4                                                                 FAIL TO COMPLY W/COMMISSIONER ORDER TO FILE CERT OF CORRECTION W/DOB,26244,830,1564.0,,,
Hazardous,,NO PERMIT FOR FENCE PERMIT IN THAT A FENCE HAS BEEN ERECTED AROUND THE PERIMETER OF THE SITE AND THERE ISNO VALID PERMIT.REMEDY:OBTAIN PERMIT.,B1B,350,350,26-252                                                                      NO PERMIT FOR FENCE,1755532,830,2827.0,,,
CLASS - 3,,FAILURE TO MAINTAIN BUILDING IN A CODE-COMPLAINT MANNER.FAILURE TO RETAIN PROPERTY'S OWN WATERCOURSE.AT TIME OF INSPECTION OBSERVED AT REAR OF PREMISES GUTTER & DOWN SPOUT FROM GARAGE ROOF NOT PROPERLY CONNECTE,302,0,0,28-301.1                                                                    FAILURE TO MAINTAIN BLDG IN CODE-COMPLIANT MANNER,11398,1030,6184.0,,,
CLASS - 2,,"FAILURE TO PROVIDE APPROVED PLANS AT SITE. NOTED: WORK IN PROGRESS WITH MEN WORKING THROUGHOUT VIA #410076750 & OBSERVED NO APPROVED PLANS AT SITE FOR INSPECTION. REMEDY:""STOP ALL WORK"" MAKE SAFE PROVIDE APPROV",210,0,0,28-104.2.2                                                                  FAIL TO PROVIDE APPRV/ACCEPTED PLANS ST JOB SITE AT TIME OF INSP,20065,830,1401.0,,,
CLASS - 1,,"FAILURE TO MAINTAIN SUPPORTED SCAFFOLD. NOTED: APPRX 70'HIGH SCAFFOLD AT EXP #'S 1,4 HAS UNSECURE AND MISSING PLANKS GUARDRAILS TOEBOARDS AND HAS UNSECURE MATERIAL AND DEBRIS OVERHEAD OF WORKERS. REMEDY: MAINTA",106,1600,1600,27-/28-/BC-MISC                                                             MISCELLANEOUS VIOLATIONS,6486,1030,544.0,,,
CLASS - 1,,FAILURE TO COMPLY W/ORDER OF COMMMISSIONER. NOTED: ECB #'S 34709181M &34709179Z CITED ILLEGAL OCCUPANCY OF 2ND FLR W/O SECONDARY MEANS OF EGRESS. INSPECTION OF 9.8.09 SHOWED THAT CITED CONDITIONS REMAIN. 2ND FL,187,2400,2421,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,4305,830,809.0,,,
CLASS - 1,,"FAIL TO COMPLY W/COMM ORDER TO OBTAIN A PERMIT PER VIOLATION 3477437Z FOR INSTALLING BATHROOM, KITCHEN ETC W.O A PERMIT. REMEDY: CORRECT    VIOL 34757437Z.",187,12000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1668500,830,3388.0,,,
CLASS - 1,,FAILURE TO COMPLY W/ COMMS ORDER TO CORRECT ECB#34776407L FOR ILLEGAL CLASS A APT IN CELLAR NO RECORD OF CORRECTION W/ DOB REM: COMPLY W/ ORDER,187,12000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1670141,830,4659.0,,,
CLASS - 1,,UNLAWFUL ACTS. FAILURE TO COMPLY W/ AN ORDER TO THE COMMISSIONER TO FILE A CERT OF CORRECTION W/ THE DOB FOR NOTICE OF VIOLATION NUMBER 34527905R ISSUED ON 6/13/2006 FOR WORK W/O PERMIT. AT TIME OF INSPECTION,187,12000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1157397,1030,1523.0,,,
CLASS - 2,,WORK W/O A PERMIT WORK NOTED AT TIME OF INSPECTION NO PERMIT IS POSTED FOR 6 HIGH FENCE ERECTED AT CONST SITE STOP ALL WORK MAKE SITE SAFE REMEDY: OBTAIN PERMIT OR RESTORE PREMISES TO PRIOR LEGAL CONDITION,201,400,400,28-105.1                                                                    WORK WITHOUT A PERMIT,25861,800,13303.0,,,
Non-Hazardous,,ALTERED BUILDING OCCUPIED WITHOUT A VALID C OF O UNDER APPLICATION 103368482. REMEDY: DISCONTINUE USE OR OBTAIN A C OF O.,B02,350,350,27-215                                                                      ALTERED BLDG OCCUPIED WITHOUT A VALID CERTIFICATE OF OCCUPANCY,1506764,1030,429.0,,,
CLASS - 1,,WORK W/O PERMIT.WORK NOTED:AT 3FL PERFORM DEMOLITION OF PARTITIONS & CEILING. STOP ALL WORK. REMEDY:OBTAIN PERMIT OR PERFORM TO PRIOR LEGAL CONDITIONS.,101,8000,0,28-105.1                                                                    WORK WITHOUT A PERMIT,31005,830,1634.0,,,
Non-Hazardous,,NEW BLDG OCCUPIED W/O A VALID C OF O.FOR NB 160/77.REMEDY:OBTAIN VALIDC/O.,B02,180,180,27-215                                                                      ALTERED BLDG OCCUPIED WITHOUT A VALID CERTIFICATE OF OCCUPANCY,1755619,830,6311.0,,,
CLASS - 2,,SIDEWALK SHED DOESN'T CONFORM TO BLDG CODE SPECIFICATIONS. NOTED: THERE ARE NO LIGHT FIXTURES TO PROVIDE LIGHTING. REMEDY: CONFORM TO BLDG CODE SPECIFICATIONS.,223,0,0,"BC 3307.6,27-1021                                                           SIDEWALK SHED DOES NOT MEET CODE SPECIFICATIONS",3492,1030,5103.0,,,
CLASS - 2,,15M07.81M07.100M07.46B07. 15M CERT.FRAME IS MISSING IN ELEVATOR PROVIDE 81M07 COUNTERWEIGHT RUNBY SIGN IS MISSING IN THE PIT PROVIDE 100M07 PROVIDE SIGN IN LOBBY FOR LOCATIONOF MACHINE ROOM 46B07 GOVERNOR ELEC.,251,500,500,28-301.1                                                                    FAILURE TO MAINTAIN BUILDING IN CODE-COMPLAINT MANNER:SERVICE EQUIPMEN,29950,1030,3225.0,,,
CLASS - 1,,FAILURE TO COMPLY W/AN ORDER OF THE COMMISSIONER TO OBTAIN A PERMIT PER VIOLATION #34767317N. INTERIOR PARTITIONS ERECTED TO CREATE 2 ROOMS & A 3 PC BATHROOM. ELECTRICAL WORK AND THE INSTALLATION OF WATER &,187,12000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1669197,830,2216.0,,,
CLASS - 1,,FAILURE TO COMPLY W/AN ORDER OF THE COMMISSIONER. NOTED: FAILURE TO COMPLY W/SWO #2813 ISSUED ON 8.4.09 W/THE FOLLOWING ECBS: 1) #34787810P/FAILURETO PROVIDE A SIDEWALK SHED. 2) #34787811R/NO NOTIFICATION FOR,187,2400,3768,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,774693,1030,395.0,,,
CLASS - 1,,FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER'S TO OBTAIN PERMITS FOR VIOLATION 34770646L ISSUED FOR THIRD FL APT NEW ELECTRICAL PLUMBING LINES AND PARTITIONS WITHOUT A PERMIT. REM: COMPLY WITH COMMISSION,187,2400,2400,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1630033,830,1689.0,,,
CLASS - 1,,"UNLAWFUL ACTS.FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER     NOTED: RESPONDENT FAILED TO CORRECT THE CONDITIONS CITED IN THE PRIOR NOV 34711295Z HAVING CONSTRUCTED FULL HEIGHT PARTITIONS ON EACH FL 1,2",187,24000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1673118,1030,1542.0,,,
CLASS - 1,,FAILURE TO CORRECT ECB#34650712Y FOR ILLEGAL CLASS A APT IN CELLAR LVLRESPONDENT HAS A HISTORY OF NON-COMPLIANCE W/ DOB REM; COMPLY W/ ORDER,187,25000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1706116,830,11655.0,,,
CLASS - 1,,"UNLAWFUL ACTS. FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER. NOTED: RESPONDENT FAILED TO CORRECT THE CONDITIONS CITED IN THE PRIOR NOV #34791734Y,HAVING CONSTRUCTED IN THE CELLAR FULL HEIGHT PARTITIONS",187,24000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1706490,800,9057.0,,,
CLASS - 2,,RESIDENCE ALTERED FOR MORE THAN THE LEGALLY APPROVED NUMBER OF FAMILIES NOTE IN APT 6N PARTITIONS CREATED FOR TWO SRO ALL SHARING KTCN AND BTRM REM: DISCONTINUE ILLEGAL USE,200,6000,1200,28-210.1                                                                    RESIDENCE ALTERED FOR OCCUPANCY AS A DWELLING FOR MORE THAN THE LEGALL,15775,830,3906.0,,,
CLASS - 1,,FAIL TO COMPLY W/COMM ORDER TO OBTAIN A PERMIT PER ECB 34775853R ISSUED ON 5/1/2009 FOR WORK W.O PERMIT: @ CELLAR (2) CLASS A APTS ETC. REMEDY: COMPLY W.COMM ORDER. OBTAIN PERMIT TO CAP & REMOVE ILLEGAL WORK OR,187,12000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1672801,1030,5336.0,,,
CLASS - 1,,SEC. 1RCNY 9-01 RIGGER FAILED TO NAME A DESIGNATED FOREMAN. NOTED: NO DESIGNATED FOREMAN AT SITE AT TIME OF INSPECTION. WORKER AT SITE SAID HE WAS THE FOREMAN (GONZALO RAMIREZ). BUT THE INSPECTION RECORDS WAS,179,400,400,"AC 1RCNY-MISC,RS-MISC                                                       MISCELLANEOUS VIOLATIONS",25301,1030,,,1532.0,
Non-Hazardous,,WORK WITHOUT A PERMIT. A ONE STORY EXTENSION HAS BEEN CONSTRUCTED AT LEFT SIDE REAR WITHOUT FIRST OBTAINING APPROVAL OR PERMIT REMEDY: OBTAIN APPROVAL & PERMIT TO LEGALIZE OR REMOVE.,B04,500,500,27-147                                                                      WORK WITHOUT A PERMIT,1749083,830,1213.0,,,
CLASS - 1,,"FAIL TO COMPLY W.COMM ORDER. RESPONDENT FAILED TO CORRECT CONDITIONS  IN 34719132K. AT CELLAR INSTALLED PARTITIONS FOR (2) CLASS ""A""APTS. REMEDY: COMPLY WITH CODE.",187,12000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1705343,1030,9518.0,,,
CLASS - 2,,FAIL TO COMPLY W/COMMISSIONER ORDER TO FILE CERT OF CORRECTION W/DOB  FOR ECB NOV # 34694259J. REMEDY: FILE CERTIFICATE OF CORRECTION.,263,800,804,AC 28-204.4                                                                 FAIL TO COMPLY W/COMMISSIONER ORDER TO FILE CERT OF CORRECTION W/DOB,4215,830,3527.0,,,
CLASS - 1,,FAILURE TO COMPLY WITH COMMISSIONER'S ORDER TO CORRECT ECB #34642858R FOR INSTALLING BATHROOM KITCHEN ETC AT CELLAR LEVEL W/O A PERMIT REM: CORRECT VIOLATION 34642858R,187,12000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1668657,830,1757.0,,,
CLASS - 2,,16B1.21L10.10D6.11X10.20B11.16B MAKE LOBBY HATCHWAY SOOR SELF CLOSE DROM FULL OPEN ALSO 3 AND 4 FL 21L SHARING 2 FL HATCH DOO RSTOPS CAR 41MLOCK 11X DOOR CLOSE BUTTON 20B WIRE GLASS 2 AND 5 FL HOIST DOORS,251,0,0,28-301.1                                                                    FAILURE TO MAINTAIN BUILDING IN CODE-COMPLAINT MANNER:SERVICE EQUIPMEN,31030,1030,7559.0,,,
