payment_id,contract_id_,revised_contract_start_date,payment_recipient,project_status,stimulus_funding,award_lead_city_agency,contract_value,contract_method,funding_source,revised_contract_end_date,actual_completion_date,_of_funds_spent,project_lead_city_agency,stimulus_tracker_id,payment_description
14750.0,QR328A0,,AUSTRALIAN UNITED STATES                ,Less than 50% completed,316603358.0,DOE,305000.0,Competitive Sealed Proposal (RFP),Special Education (IDEA),,,0.0,DOE,501002.0,PROFESSIONAL DEVELOPMENT FOR SCHOOL LEAD
13005.0,1C50012,,BARCLAY SCHOOL SUPPLIES                 ,Less than 50% completed,316603358.0,DOE,608550.0,Competitive Sealed Bid,Special Education (IDEA),,,0.0,DOE,501002.0,INSTRUCTIONAL LEARNING MATERIALS        
9287.0,9007717,,"Tycoon Construction, Corp",Less than 50% completed,2143000.0,NYCHA,2143000.0,Competitive Sealed Bid,Public Housing Capital Fund Recovery Grant (Formula),,,4.55,NYCHA,109038.0,Replacement of Interior Stairways
,841 BRC270C/P,,,Less than 50% completed,30000000.0,DOT,508612678.0,Competitive Sealed Bid,Surface Transportation Program,,,0.0,DOT,101002.0,
12248.0,NCLB039,,SCAN SUPPORTIVE CHILDRENS               ,Less than 50% completed,707717837.0,DOE,19687500.0,Required Source,Title 1 Grants,,,0.0,DOE,501001.0,NCLB                                    
,9016851,,,Less than 50% completed,1861345.86,NYCHA,1595420.0,Competitive Sealed Bid,Public Housing Capital Fund Recovery Grant (Formula),,,0.0,NYCHA,109021.0,
1298.0,9004135,,SIGMA CONTRACTING CORP.,Completed 50% or more,655000.0,NYCHA,655000.0,Competitive Sealed Bid,Public Housing Capital Fund Recovery Grant (Formula),,,5.19,NYCHA,109049.0,ROOF REPLACEMENT AND RELATED WORK
,,,,Less than 50% completed,7781188.0,NYCHA,,,Public Housing Capital Fund Recovery Grant (Formula),,,0.0,NYCHA,109093.0,
13059.0,7000320,,"SUSSMAN SALES COMPANY, INC.             ",Less than 50% completed,316603358.0,DOE,30000.0,Listing Application,Special Education (IDEA),,,0.0,DOE,501002.0,TEACH.TXBKS                             
1.18e+04,NCLB017,,THE CHILD CENTER OF NY                  ,Less than 50% completed,707717837.0,DOE,2457450.0,Required Source,Title 1 Grants,,,0.0,DOE,501001.0,NCLB                                    
13309.0,7000605,,ROURKE PUBLISHING GROUP                 ,Less than 50% completed,316603358.0,DOE,25000.0,Listing Application,Special Education (IDEA),,,0.0,DOE,501002.0,TEXTBOOK                                
12829.0,QR328AV,,CENTER FOR INTEGRATED                   ,Less than 50% completed,707717837.0,DOE,305000.0,Competitive Sealed Proposal (RFP),Title 1 Grants,,,0.0,DOE,501001.0,PROFESSIONAL DEVELOPMENT SCHOOL LEADERS 
11243.0,NCLB012,,"PERFECT SCORE TUTORING, INC.            ",Less than 50% completed,707717837.0,DOE,2601750.0,Required Source,Title 1 Grants,,,0.0,DOE,501001.0,NCLB                                    
10649.0,9871206,,INNOVATIVE EDUCATIONAL                  ,Less than 50% completed,707717837.0,DOE,4568400.0,Required Source,Title 1 Grants,,,0.02,DOE,501001.0,NCLB                                    
