owner,borough_block_lot,city_community_board,utility,burner_model,year_built,greener_greater_buildings,condo,bldg_sqft,of_bldgs,owner_address,coop,boiler_capacity_gross_btu
25th STREET TIC LLC%HMH REALTY,1008260063,M 05,Con Edison,INDUSTRIAL COMB- DEG-54 P,1913,1,,"* 65,372",1,"36 WEST 25 STREET, MANHATTAN N.Y. 10001",,5.25
AMBASSADOR HOTEL/M.SINGH,1009970047,M 05,Con Edison,ICI MMG28,1900,0,,"* 22,880",1,"132 WEST 45 STREET, MANHATTAN NY 10036",,2.89
MAX FOUR NY HOLDINGS LLC % MAX CAPITAL,1007840068,M 05,Con Edison,INDUSTRIAL COMBUSTION DEG-42P (NEW),1925,1,,"* 133,948",1,"248 WEST 35th STREET, NEW YORK NY 100001",,3.34
470P.A.ASSOC/S.L.GREEN MG,1008610044,M 05,Con Edison,RAY PAECR 134 SIZE 200,1925,1,,"* 227,053",3,"70 WEST 36 STREET, MANHATTAN NY 10018",,8.4
BEACH LANE MGMT.,1004350045,M 03,Con Edison,ICI MMG-34P,1920,0,,"* 32,698",1,"280 CENTRAL PARK NORTH, HARTSDALE NY 10530",,3.43
119 FIFTH AVE. CORP.,1008480001,M 05,Con Edison,ICI DEG-42P,1906,1,,"* 56,731",1,"1370 BROADWAY, ROOM 901, MANHATTAN NY 10018",,4.07
27 REALTY. LLC % HELLER REALTY,1008820056,M 06,Con Edison,ICI MMG-34P (NEW),1930,0,,"* 30,777",1,"745 5 AVENUE - SUITE 1250, NEW YORK NY 10151",,2.67
JACK VOGEL ASSOCIATES,1008220062,M 05,Con Edison,ICI MM 63P,1908,1,,"* 68,508",1,"36 E 12TH ST FL 7, NEW YORK NY 10003-4604",,5.1
ESQUIRE MANAGEMENT CORP.,1008007502,M 04,Con Edison,HEVEOIL AM 4 1/2 DH,1913,0,,"* 30,175",1,"1716 CONEY ISLAND AVE 4FL., BROOKLYN NY 11230",,2.0
MORTON & BARROW OWNERS CORP.,1005847501,M 02,Con Edison,INDUSTRIAL COMBUSTION MMG 54 P,1925,1,Yes,"* 114,763",3,"12 DESBROSSES ST., NEW YORK NY 10013",,5.3
DOUGLAS ELLIMAN PROPERTY MGMT.,1005730043,M 02,Con Edison,HEVE IC DEG - 145P (NEW),1926,1,,"* 269,119",1,"675 THIRD AVENUE, MANHATTAN NY 10017",Yes,10.0
103 AVENUE A. CONDOMIMUM/KENNDY REED,1004347501,M 03,Con Edison,ICI MMG-22,1920,0,,"* 18,650",1,"P.O.BOX 253 KNICKERBOCKER STATION, MANHATTAN NY 10002",,1.7
BOARD OF EDUCATION NYC.,1011520001,M 07,Con Edison,RAY AR141-5,1957,0,,"* 40,000",1,"28-11 QUEENS PLAZA NORTH, LONG ISLAND NY 11101",,3.5
4711 ASSOCIATES,1010950035,M 04,Con Edison,ICI DE105S,1929,1,,"* 153,363",1,"653 11 AVENUE, MANHATTAN NY 10036",,9.5
SMITH AFFILIATES,1008710070,M 05,Con Edison,IRON FIREMAN AO 6-6.3,1910,1,,"* 64,405",1,"116 EAST 16 STREET, MANHATTAN NY 10016",,5.4
RICHARD MORTMAN,1008630044,M 05,Con Edison,ICI DEG - 84P (NEW),1913,1,,"* 341,950",1,"220 LAFAYETE AVE, NEW YORK NY 10021",,6.6
JOSEPH P. DAY REALTY CORP.,1008360043,M 05,Con Edison,RAY SIZE 200 PAECR 144,1908,1,,"* 138,748",1,"9 EAST 40TH ST., MANHATTAN NY 10016",,7.8
AJ CLAKE MANAGEMENT,1010650036,M 04,Con Edison,ICI MM 34P,1883,0,,"* 28,782",1,"1881 BROADWAY, MANHATTAN NY 10023",,3.43
HOTEL WOLCOTT,1008320049,M 05,Con Edison,ICI DEG 84 (P),1906,1,,"* 90,633",2,"4 WEST 31 STREET, MANHATTAN NY 10001",,7.1
561 BROADWAY / ORSID REALTY CORP.,1004980007,M 02,Con Edison,ST.JOHNSON FD 68 CAHM,1904,1,,"* 114,488",1,"1740 BROADWAY, MANHATTAN N.Y. 10019",,6.3
45 EAST 30 ST L L C,1008607501,M 05,Con Edison,I.C.I. HEVEOIL AM 7 ES,1922,1,Yes,"* 46,918",1,"380 NORTH BROADWAY-SUITE 409, JERICHO NY 11753",,4.3
HALSTEAD MGMT. C/O 36TH ST.APTS.CORP.,1008910066,M 06,Con Edison,(NEW) HEVE ICI MEG 54 P,1924,1,,"* 72,659",1,"136 EAST 36 STREET, NEW YORK NY 10016",Yes,5.3
WEST 63 EMPIRE ASSOCIATES LLC,1011150057,M 07,Con Edison,ICI DEG - 145P (NEW),1923,1,,"* 217,283",1,"44 WEST 63rd ST., NEW YORK NY 10023",,10.0
126 E. 12 ST. OWNERS CORP. % ADVANCED MGMT,1005560052,M 03,Con Edison,ICI MMG 22P (NEW),1900,0,,"* 23,316",1,"26 COURT STREET, BROOKLYN NY 11242",,1.3
DITZA RLTY/J.BODAK,2025150009,Bx 04,Con Edison,ICI DEG54P,1928,1,,"* 70,000",1,"2388 VALENTINE AVENUE, BRONX NY 10458",,5.0
PR 30 LLC,100754002800.00%,M 04,Con Edison,ICI (EXTG) MMG-34S,1920,0,,"* 4,876",1,"250 WEST 15TH STREET, NEW YORK NY 10011",,2.34
Manchester West 36 LLC-ATT: FARAJ SROUR,1.01e+09,M 05,Con Edison,RAY AR 131 5,1923,1,,"* 112,578",1,"369 LEXINGTON AVE, NEW YORK NY 10017-6506",,4.9
MILBURN HOTEL LLC,1011670055,M 07,Con Edison,ICI MEG-63-P,1926,1,,"* 81,560",1,"242 WEST 76 STREET, MANHATTAN NY 10023",,5.6
DURST ORGANZ/M.JOHNSON,1009950033,M 05,Con Edison,ICI AM5DH,2005,1,,"* 2,245,112",1,"124 WEST 43 STREET, MANHATTAN NY 10036",,3.5
ANDREWS BUILDING CORP. 704 BROADWAY,1005457502,M 02,Con Edison,ICI DEG-42 P,1895,1,Yes,"* 50,132",1,"666 BROADWAY 12TH FLOOR, MANHATTAN NY 10012",,4.2
121 WEST 72 ST. OWNERS COOPER SQUARE REALTY,1011440024,M 07,Con Edison,S.T. JOHNSON FD-68 CAHM (SIZE 100),1926,1,,"* 74,654",1,"6 EAST 43 ST/ 14TH FLOOR, MANHATTAN NY 10017",Yes,4.2
ORIN MANAGEMENT CORP,1007650041,M 04,Con Edison,ICIDE 105-S,1930,1,,"* 141,491",1,"P.O. BOX 1168, FLUSHING NY 11354",,9.9
F.M. RING ASSOCIATES INC.,1008760001,M 05,Con Edison,PETRO W6AH,1910,1,,"* 103,384",1,"20 WEST 47 STREET, MANHATTAN NY 10036",,7.0
J.C. DWIGHT #16,1007910062,M 04,Con Edison,INDUSTRIAL COMBUSTION MEG-34S,1927,0,,"* 32,384",1,"271 MADISON AVENUE 22ND FLOOR, MANHATTAN NY 10016",,2.8
RANDAL HSE. OWNERS %AKAM ASSOC.,100561750100.00%,M 02,Con Edison,HEVE (I.C.) DEG - 84S (EXSTG),1955,1,Yes,"* 247,908",1,"8 WEST 38 STREET, NEW YORK NY 10018",,6.6
"HARTFORD PROPERTIES CO., c/o BRAUSE REALTY INC",1008440026,M 05,Con Edison,TODD A0-8,1920,1,,"* 74,521",1,"52 VANDERBILT AVENUE, MANHATTAN NY 10017",,7.3
WASH/WEST 11 ST. OWNERS%GABRIEL MGMT CORP.,1006330006,M 02,Con Edison,I.C.I. MMG 22,1900,0,,"* 25,281",7,"42-19A BELL BOULEVARD, BAYSIDE NY 11361",,1.7
GUMLEY HAFT,1011417501,M 07,Con Edison,INDUSTRIAL COMBUSTION #DEG-84(S),1903,1,Yes,"* 73,400",1,"415 MADISON AVENUE, NEW YORK NY 10017",,8.19
125 W. 31ST ST. ASSOC. LLC % S.F. ASSOC.,1008077501,M 05,Con Edison,CKEAVERBROOKS (INTEGRAL) (NEW),2005,1,Yes,"* 473,783",1,"245 EAST 87 STREET, NEW YORK NY 10128",,20.0
"EBM DEVELOPMENT CO.,LTD.",1010120032,M 05,Con Edison,ICI MMG28,1923,0,,"* 38,276",1,"566 7 AVENUE SUITE #901, MANHATTAN NY 10018",,2.59
NEWMARK KNIGHT FRANK/Ed DiNicola,1007870040,M 05,Con Edison,CLEAVER BROOKS INTEGRAL,1921,1,,"* 606,078",1,"512 SEVENTH AVE- 32nd fl., MANHATTAN NY 10018",,20.0
WALTER & SAMUELS/WALTER & SAMUELS,1008380032,M 05,Con Edison,S.T. JOHNSON FD68 CAHM (SIZE 100),1917,1,,"* 68,498",1,"419 PARK AVENUE SOUTH, MANHATTAN NY 10016",,4.2
BERNADETTE CASTRO,1008250017,M 05,Con Edison,ICI DE-63 (P),1903,1,,"* 94,200",1,"95 FOREST AVE, LOCUST VALLEY NY 11560",,6.44
MIRANDA REALTY ASSOC.,1007790049,M 05,Con Edison,I.C.I. AM6 CM,1924,1,,"* 77,556",1,"208 WEST 30 STREET, MANHATTAN NY 10001",,3.6
3 HANOVER SQUARE OWNERS c/o ROSE ASSOCS.,1000280001,M 01,Con Edison,ICI DEG 145 P,1926,1,,"* 239,121",1,"200 MADISON AVE 5th fl., MANHATTAN NY 10016",Yes,12.6
WINOKER REALTY CORP.,1007600012,M 04,Con Edison,ICI DEG 84P,1928,1,,"* 98,454",1,"462 SEVENTH AVE FL. 12-A, MANHATTAN NY 10018",,6.4
MANOCO,1005580010,M 03,Con Edison,I.C.I. MMG-28,1930,0,,"* 37,299",1,"150 EAST 58 STREET 28TH FLOOR, MANHATTAN NY 10055",,2.77
R.A. COHEN & ASSOCIATES SIUTE1250,1001477509,M 01,Con Edison,HEVE MMG 42 P,1915,1,Yes,"* 74,927",1,"60 EAST 42ND STREET , MANHATTAN NY 10165",,4.1
JEFPORT HOTEL INC.DBA COMFORT INN,1008360065,M 05,Con Edison,IND COMB INC DEG-63(P),1904,1,,"* 55,498",1,"42 WEST 35 STREET, MANHATTAN NY 10001",,5.8
SAMSON MGMT. CORP./DIANN FERRARA,1011440001,M 07,Con Edison,ICI DEG-105 (P) (NEW),1906,1,,"* 111,997",1,"97-77 QUEENS BLVD.SUITE 710, FLUSHING NY 11374",,8.3
ANDREWS BUILDING CORP.,1001720001,M 01,Con Edison,ICI MMG-54 P,1920,1,,"* 93,378",1,"382 LAFAYETTE STREET, MANHATTAN NY 10003",Yes,5.25
302-4 SWA LLC. STEFRAN SLYWOTZKY,1004460009,M 03,Con Edison,HEV-E-OIL AM5CM,1920,0,,"* 16,448",1,"241 EAST 18 STREET, MANHATTAN NY 10003",,3.1
5TH AVE. ARCADE/HOFFMAN MGMT,1008300046,M 05,Con Edison,INDUSTRIAL COMBUSTION DEG-84(P),1928,1,,"* 69,649",1,"260 FIFTH AVENUE, MANHATTAN NY 10019",Yes,7.4
DEZER PROPERTIES,1008220015,M 05,Con Edison,ICI MMG - 63P (NEW),1908,1,,"* 101,504",1,"89 5 AVENUE, NEW YORK NY 10003",,5.0
TEAMSTERS LOCAL 237 NEWMARK,1006180024,M 02,Con Edison,ICI MMG 54P (NEW),1916,1,,"* 53,906",1,"1501 BROADWAY 16TH FLOOR, NEW YORK NY 10036",,4.1
JAM REALTY COMPANY,1009050042,M 06,Con Edison,ICI MMG 22,1905,0,,"* 17,364",1,"29 EAST 32 STREET, MANHATTAN NY 10016",,2.0
CB RICHARD ELLIS,1000300005,M 01,Con Edison,HEVE/AM 3/4,1929,1,,"* 85,472",1,"200 PARK AVENUE -16 FLOOR, MANHATTAN NY 10166",,4.46
ELLEN ROSE ASSOCIATES,1002157502,M 01,Con Edison,PETRO W-5,1930,0,,"* 58,015",1,"890 GARRISON AVENUE, MANHATTAN NY 10474",,4.64
"THE ARGO CORP., As Agent 625 OWNERS,LLC",1005230046,M 02,Con Edison,(HEV-E-OIL) -DE-42 S,1896,1,,"* 78,958",1,"50 WEST 17 STREET, NEW YORK NY 10011",,4.2
KEY REAL ESTATE,1006160001,M 02,Con Edison,HEVE (ICI) DEG-54 P,1962,1,,"* 91,500",1,"116 JOHN STREET SUITE 1700, MANHATTAN N.Y 10038",Yes,4.2
166 WEST 72ND STREET LLC.,1011430060,M 07,Con Edison,ICI DEG42P,1911,1,,"* 59,210",1,"640 5 AVENUE 3RD FL., MANHATTAN NY 10019",,3.3
141 E.3rd ST. Owners Corp.c/o Century Mgmt.,1004310031,M 03,Con Edison,HEVE DEG-84P,1929,1,,"* 120,605",1,"7 PENN PLAZA,SUITE #1400, NEW YORK NY 10016",Yes,7.0
HILLCREST REALTY LLC.% FIEBER MAINTENCE,1006190074,M 02,Con Edison,INDUSTRIAL COMBUSTION AM4 34,1932,0,,"* 22,240",1,"105 COURT STREET, BROOKLYN NY 11201",,2.9
SEALAND REALTY CORP.,1008220023,M 05,Con Edison,HEV-E-OIL AM 3 DH,1910,0,,"* 16,724",1,"P.O.B. 2093, MANHATTAN NY 10013",,1.12
CHELSEA GARDENS OWNERS GROUP % RUDD RLTY.,1007720072,M 04,Con Edison,ICI DEG 63 P,1948,0,,"* 15,716",1,"641 LEXINGTON AVE, MANHATTAN NY 10022",,5.3
WEST APART. CORP. HALSTEAD MGMT. CO. LLC.,1011240021,M 07,Con Edison,ICI DE42 (P),1923,1,,"* 71,907",1,"770 LEXINGTON AVE, NEW YORK NY 10065",Yes,4.74
212 W. 22 REATY LLC.,1007710046,M 04,Con Edison,ICI MEG 54 P,1940,1,,"* 76,450",1,"145 HUQUENOT ST., NEW ROCHELLE NY 10801",,5.25
250 E. HOUSTON STREET OWNERS c/o PARK SQUARE ASSOC,1003970063,M 03,Con Edison,(NEW) ICI DEG-54P,1989,1,,"* 126,660",1,"250 EAST HOUSTON STREET, NEW YORK NY 10274",,4.1
152-156 E.22 ST.LLC%AJ CLARKE RLTY CORP,1008770053,M 06,Con Edison,ICI MMG-30,1930,0,,"* 24,486",1,"1881 BROADWAY, NY NY 10023",,2.9
GORDON & GORDON,1005640022,M 02,Con Edison,I.C.I. MMG-34,1907,0,,"* 35,561",1,"135 5 AVENUE, MANHATTAN NY 10010",,3.5
JOLLY MADISON TOWERS HOTEL,1008670055,M 06,Con Edison,ST JOHNSON FD 68 CAHM - 300,1930,1,,"* 137,120",1,"22 EAST 38TH STREET, MANHATTAN NY 10016",,10.0
WEST 39-260 REALTY,1007880078,M 05,Con Edison,IND.COMB. DEG-84 P,1926,1,,"* 154,516",1,"111 ORIENTAL BOULEVARD, BROOKLYN N.Y. 11235",,8.4
"A.B.C. CARPET COMPANY, INC.",1008470027,M 05,Con Edison,IND. COMB. DEG 54 (S),1900,1,,"* 97,002",2,"888 BROADWAY, MANHATTAN NY 10003",,4.97
CORNELIA TENANTS CORP. MIDBOROR MGMT. INC.,1005890014,M 02,Con Edison,ICI MMG-28P,1920,0,,"* 26,110",3,"148 37TH ST., MANHATTAN NY 10018",,2.3
F.M RING ASSOCIATES INC.,1007990012,M 04,Con Edison,RAY AR 144 SIZE 5,1910,1,,"* 68,940",1,"20 WEST 47 STREET, MANHATTAN NY 10036",,4.9
EXTELL 53 LLC.,1005757502,M 02,Con Edison,ICI MMG-28,1912,0,,"* 30,263",1,"805 THIRD AVE 7th fl., NEW YORK NY 10022",,2.59
KENNETH W. LUDWIG ASSOCIATES,1010290027,M 05,Con Edison,IND. COMB.(HEV-EOIL)DE-145 (S),1900,1,,"* 167,076",1,"392 CENTRAL PARK WEST, NY NY 10025",Yes,12.6
MANES P. JOHN,1008370020,M 05,Con Edison,PETRO W4 AHP,1915,1,,"* 67,755",1,"P.O.BOX 453, NORTH SALEM NY 10560",,2.4
JANOF & OLSHAM,1011500001,M 07,Con Edison,RAY AR 131-6,1929,1,,"* 96,992",1,"2109 BROADWAY, MANHATTAN NY 10023",,7.0
REAL ESTATE INDUSTRIAL INC,1010770043,M 04,Con Edison,S.T.JOHNSON FD68 AA MM SIZE 200,1920,1,,"* 131,272",1,"555 FIFTH AVENUE, NEW YORK NY 10017",,8.4
"QUARTZ ASSOC.,LLC c/o EMPIRE MGMT",1006190056,M 02,Con Edison,ICI MMG-34P,1910,0,,"* 22,005",1,"347 FIFTH AVE , MANHATTAN NY 10016",,2.8
ROGER WILLIAMS HOTEL ASSO,1008600061,M 05,Con Edison,IRON FIREMAN A064.5,1931,1,,"* 94,870",1,"28 EAST 31 STREET, MANHATTAN NY 10016",,4.2
THREE O REALTY LLC,1.01e+09,M 05,Con Edison,HEVE/ICI DEG-63 P,2003,0,,"* 1,259,189",1,"302 WEST 37 STREET, MANHATTAN NY 10018",,5.02
DIME SAVINGS BANK OF NY FSB,1008810029,M 06,Con Edison,INDUSTRIAL COMB. MMG-54 P,1910,1,,"* 71,043",1,"EAB PLAZA E TOWER, UNIONDALE N.Y. 11556",,5.25
"YOUNG,CARL S.",1022020033,M 12,Con Edison,I.C.I DEG 63P,1946,1,,"* 77,967",1,"350 5 AVENUE, MANHATTAN NY 10001",,6.0
"G&S REALTY,LLC % KAUFMAN ORGANIZATION",1007880049,M 05,Con Edison,ICI DEG 84S,1929,1,,"* 408,130",1,"530 SEVENTH AVE PH, MANHATTAN NY 10018",,9.7
"COOPER SQUARE REALTY, INC.",1011450001,M 07,Con Edison,HEVE OIL DEG105,1924,1,,"* 120,383",1,"6 WEST 43 STREET, NEW YORK NY 10017",Yes,12.3
130 WEST 57 STREET CO.LLC,1010090046,M 05,Con Edison,HEVE DEG #42 (P),1908,1,,"* 73,443",1,"130 WEST 57 STREET, MANHATTAN NY 10019",,4.3
PARISH OF TRINITY CHURCH,1002270063,M 02,Con Edison,HEV E OIL MMG 42 P,0,0,,0,1,"74 TRINITY PLACE, MANHATTAN NY 10006",,3.9
ROOSEVELT LEE L.P.,1008330063,M 05,Con Edison,INDUSTRIAL COMB. MMG-28,1906,1,,"* 50,762",1,"P.O. BOX 750311, FLUSHING N.Y. 11375",,2.94
MERINGOFF PROPERTIES,1004730001,M 02,Con Edison,ICI DE 84P,1900,1,,"* 120,900",2,"30 WEST 26 STREET, MANHATTAN NY 10010",,7.8
RICHARD CADILLO,1010080001,M 05,Con Edison,HEV E OIL DE-84 (P),1911,1,,"* 207,700",3,"871 7 AVENUE, MANHATTAN NY 10019",,7.35
"WOLCOTT,HOTEL",1008320049,M 05,Con Edison,IRON FIREMAN A06-9.8,1906,1,,"* 90,633",2,"4 WEST 31 STREET, MANHATTAN NY 10001",,7.3
HELLER RLTY%74 OWNER CORP/MARKBRUCATO,1011460008,M 07,Con Edison,HEVE MMG-42 P,1923,0,,"* 47,551",1,"745 5 AVENUE STE 1250, MANHATTAN NY 10151",,4.2
MILLTEX/WIDGEON MGMT CO,1008410085,M 05,Con Edison,PETRO WD5AH,1922,1,,"* 68,081",1,"233 BROADWAY, MANHATTAN NY 10007",,4.9
JULIUS MERL/MECO & MR. JUILIUS MERL,1011620005,M 07,Con Edison,INDUSTRIAL COMBUSTION MMG-22,1930,0,,"* 25,266",1,"P.O.BOX 100 1000D, POMONA NY 10970",,2.03
LERAD COMPANY,1008270043,M 05,Con Edison,ICI MMG28,1903,0,,"* 36,485",1,"150 EAST 58 STREET 28FL., MANHATTAN NY 10155",,2.6
WINDSOR PROPERTIES MGMT.,1005210009,M 02,Con Edison,ICI MMG-63P,1974,1,,"* 69,300",1,"298 MULBERRY STREET, NEW YORK NY 10012",,5.02
DANMOR REALTY CORP,1004210078,M 03,Con Edison,I.C.I.MMG-28,1900,0,,"* 19,038",1,"114-04 ATLANTIC AVENUE, JAMAICA NY 11419",,2.9
145 2nd AVE.LLC. c/o CITI-UIBAN MGT.CORP.,1004650055,M 03,Con Edison,ICI MMG 54 P,1920,0,,"* 25,340",1,"6 GRAG AVE, GREAT NECK NY 11021",,5.25
