property_name,metered_areas_water,data_center_cooling_equipment_redundancy,wastewater_treatment_plant_gross_floor_area_ft,national_median_reference_property_type,data_center_it_site_energy_kwh,last_modified_date_water_meters,weather_normalized_site_natural_gas_use_therms,nta,convention_center_gross_floor_area_ft,metered_areas_energy,total_ghg_emissions_metric_tons_co2e,annual_maximum_demand_meter_name_meter_id,outpatient_rehabilitation_physical_therapy_gross_floor_area_ft,multifamily_housing_percent_that_can_be_heated,multifamily_housing_number_of_laundry_hookups_in_all_units,mailing_center_post_office_gross_floor_area_ft,parent_property_name,enclosed_mall_gross_floor_area_ft,year_built,municipally_supplied_potable_water_outdoor_use_kgal,multifamily_housing_total_number_of_residential_living_units_density_number_per_1_000_sq_ft,municipally_supplied_potable_water_mixed_indoor_outdoor_use_kgal,last_modified_date_electric_meters,alert_water_meter_has_less_than_12_full_calendar_months_of_data,primary_property_type_portfolio_manager_calculated,fuel_oil_5_6_use_kbtu,medical_office_percent_that_can_be_cooled,percent_of_electricity_that_is_green_power,list_of_all_property_use_types_at_property,multifamily_housing_total_number_of_residential_living_units,_3rd_largest_property_use_type_gross_floor_area_ft,manufacturing_industrial_plant_gross_floor_area_ft,site_energy_use_kbtu,release_date,number_of_active_energy_meters_total,museum_gross_floor_area_ft,k_12_school_gross_floor_area_ft,green_power_offsite_kwh,_2nd_largest_property_use_type,multifamily_housing_resident_population_type,indoor_water_use_all_water_sources_kgal,natural_gas_use_kbtu,hospital_general_medical_surgical_percent_that_can_be_heated,estimated_data_flag_fuel_oil_no_5_and_no_6,leed_us_project_id,propane_use_kbtu,alert_energy_meter_has_single_entry_more_than_65_days,adult_education_gross_floor_area_ft,community_board,electricity_use_generated_from_onsite_renewable_systems_and_used_onsite_kbtu,supermarket_grocery_gross_floor_area_ft,barracks_gross_floor_area_ft,avoided_emissions_onsite_green_power_metric_tons_co2e
Q722-0401256,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,Not Available,31434.8,Elmhurst,Not Available,Whole Property,358.9,0401256E (8032138),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1994,Not Available,Not Available,Not Available,04/21/2021 02:18 PM EDT,Unable to Check (not enough data),K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,5402999.6,2021-05-28T17:29:28.000,3,Not Available,120000,0,Not Available,Not Available,Not Available,2673399.6,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,404.0,Not Available,Not Available,Not Available,Not Available
K172-0300175,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/03/2021 02:41 PM EDT,27981,Sunset Park West,Not Available,Whole Property,218.5,0300175E (7896914),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1920,Not Available,Not Available,Not Available,04/21/2021 03:24 PM EDT,Ok,K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,3574242.8,2021-05-28T17:29:28.000,3,Not Available,56400,0,Not Available,Not Available,557.5,2443099.9,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,307.0,Not Available,Not Available,Not Available,Not Available
R025-0500095,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,Not Available,5008.2,Charleston-Richmond Valley-Tottenville,Not Available,Whole Property,54.3,0500095E (7979048),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1896,Not Available,Not Available,Not Available,04/21/2021 04:02 PM EDT,Unable to Check (not enough data),K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,840908,2021-05-28T17:29:28.000,3,Not Available,21660,0,Not Available,Not Available,Not Available,457700,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,503.0,Not Available,Not Available,Not Available,Not Available
Q002-0400009,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/04/2021 09:08 AM EDT,31401.7,Steinway,Not Available,Whole Property,204,0400009E (7978305),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1953,Not Available,Not Available,Not Available,04/21/2021 02:17 PM EDT,Ok,K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,3458376.9,2021-05-28T17:29:28.000,3,Not Available,74480,0,Not Available,Not Available,433.9,2685900.1,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,401.0,Not Available,Not Available,Not Available,Not Available
The State - Whitehall Company,Whole Property,Not Available,Not Available,CBECS - Office & Bank/Financial,Not Available,05/18/2021 04:34 PM EDT,Not Available,Battery Park City-Lower Manhattan,Not Available,Whole Property,4892.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1969,Not Available,Not Available,Not Available,04/19/2021 08:48 PM EDT,Ok,Office,Not Available,Not Available,0,"Food Service, Office, Parking",Not Available,10000,Not Available,66806835.6,2021-05-26T11:44:43.000,3,Not Available,Not Available,0,Parking,Not Available,6044,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,101.0,Not Available,Not Available,Not Available,Not Available
Q460-0400214,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/04/2021 12:02 PM EDT,0,Flushing,Not Available,Whole Property,1289.8,0400214E (8030725),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1914,Not Available,Not Available,Not Available,04/21/2021 02:17 PM EDT,Ok,K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,16922761.9,2021-05-28T17:29:28.000,3,Not Available,276250,0,Not Available,Not Available,297.7,0,Not Available,No,Not Available,Not Available,Ok,Not Available,407.0,Not Available,Not Available,Not Available,Not Available
X650-0200210,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/05/2021 10:06 AM EDT,70381.7,Morrisania-Melrose,Not Available,Whole Property,630.7,0200210E (8106337),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1937,Not Available,Not Available,Not Available,04/20/2021 10:46 PM EDT,Ok,K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,10054067.9,2021-05-28T17:29:28.000,3,Not Available,158875,0,Not Available,Not Available,878.4,6054199.9,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,203.0,Not Available,Not Available,Not Available,Not Available
K049-0300069,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/03/2021 12:53 PM EDT,86558.1,East Williamsburg,Not Available,Whole Property,568,0300069E (7875872),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1940,Not Available,Not Available,Not Available,04/21/2021 03:23 PM EDT,Ok,K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,9715871,2021-05-28T17:29:28.000,3,Not Available,186000,0,Not Available,Not Available,1223,7745099.8,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,301.0,Not Available,Not Available,Not Available,Not Available
X884-0201223,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/04/2021 02:02 PM EDT,37720.9,West Concourse,Not Available,Whole Property,417.7,0201223E (8107215),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1913,Not Available,Not Available,Not Available,04/20/2021 10:45 PM EDT,Ok,K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,6158196.2,2021-05-28T17:29:28.000,2,Not Available,126600,0,Not Available,Not Available,355.3,2718900,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,201.0,Not Available,Not Available,Not Available,Not Available
"X152-P.S. 152, Bronx (0200235)",Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,Not Available,6320,Soundview-Bruckner,Not Available,Whole Property,430,0200235E (8080415),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1975,Not Available,Not Available,Not Available,04/20/2021 10:45 PM EDT,Unable to Check (not enough data),K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,5829888.7,2021-05-28T17:29:28.000,3,Not Available,109200,0,Not Available,Not Available,Not Available,632000,Not Available,No,Not Available,Not Available,Ok,Not Available,209.0,Not Available,Not Available,Not Available,Not Available
Q095-0400087,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/05/2021 09:44 AM EDT,49214.8,Jamaica,Not Available,Whole Property,381.4,0400087E (8011387),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1932,Not Available,Not Available,Not Available,04/21/2021 04:02 PM EDT,Ok,K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,6300797.7,2021-05-28T17:29:28.000,3,Not Available,114325,0,Not Available,Not Available,668.8,4470700,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,412.0,Not Available,Not Available,Not Available,Not Available
X080-0200119,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/05/2021 09:28 AM EDT,13029.4,,Not Available,Whole Property,727.8,0200119E (8052747),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1925,Not Available,Not Available,Not Available,04/20/2021 10:45 PM EDT,Ok,K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,9883760,2021-05-28T17:29:28.000,3,Not Available,138125,0,Not Available,Not Available,217.6,1187300,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,,Not Available,Not Available,Not Available,Not Available
K308-0300303,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/05/2021 08:58 AM EDT,1949,Stuyvesant Heights,Not Available,Whole Property,461.2,0300303E (7934755),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1972,Not Available,Not Available,Not Available,04/21/2021 03:24 PM EDT,Unable to Check (not enough data),K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,6139859.4,2021-05-28T17:29:28.000,3,Not Available,141600,0,Not Available,Not Available,Not Available,194900,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,303.0,Not Available,Not Available,Not Available,Not Available
R056-0500415,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/05/2021 08:17 AM EDT,39546.9,Rossville-Woodrow,Not Available,Whole Property,485.6,0500415E (8030612),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1997,Not Available,Not Available,Not Available,04/21/2021 04:03 PM EDT,Ok,K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,7253416.4,2021-05-28T17:29:28.000,3,Not Available,114125,0,Not Available,Not Available,289.9,3402400.2,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,503.0,Not Available,Not Available,Not Available,Not Available
K105-0300115,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/03/2021 01:33 PM EDT,74678.9,Borough Park,Not Available,Whole Property,488,0300115E (7877773),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1930,Not Available,Not Available,Not Available,04/21/2021 03:23 PM EDT,Ok,K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,8354203.9,2021-05-28T17:29:28.000,3,Not Available,130800,0,Not Available,Not Available,437.3,6675499.8,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,312.0,Not Available,Not Available,Not Available,Not Available
K278-0300279,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/03/2021 02:58 PM EDT,2617.5,park-cemetery-etc-Brooklyn,Not Available,Whole Property,463.6,0300279E (7934763),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1960,Not Available,Not Available,Not Available,04/30/2021 02:05 PM EDT,Ok,K-12 School,Not Available,Not Available,13.75268,K-12 School,Not Available,Not Available,Not Available,6382779.9,2021-05-28T17:29:28.000,4,Not Available,160800,0,Not Available,Not Available,319.1,256600,Not Available,No,Not Available,Not Available,Ok,Not Available,315.0,228942.5,Not Available,Not Available,32.5
K025-0300050,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/03/2021 12:50 PM EDT,64936.2,Stuyvesant Heights,Not Available,Whole Property,427.2,0300050E (7874657),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1959,Not Available,Not Available,Not Available,04/21/2021 03:22 PM EDT,Ok,K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,7329147.6,2021-05-28T17:29:28.000,3,Not Available,122400,0,Not Available,Not Available,864.3,5822300.3,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,303.0,Not Available,Not Available,Not Available,Not Available
M004-0101375,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/04/2021 08:47 AM EDT,46071.7,Washington Heights South,Not Available,Whole Property,338.5,0101375E (7934507),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1995,Not Available,Not Available,Not Available,04/21/2021 02:17 PM EDT,Ok,K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,5357982.2,2021-05-28T17:29:28.000,3,Not Available,84100,0,Not Available,Not Available,771.2,3310099.8,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,112.0,Not Available,Not Available,Not Available,Not Available
NYP Columbia (West Campus),Whole Property,Not Available,Not Available,ASHE Survey,Not Available,05/01/2019 12:48 PM EDT,10171928.1,,Not Available,Whole Property,52912.9,Not Available,Not Available,Not Available,Not Available,Not Available,NYP Columbia (West Campus),Not Available,1969,Not Available,Not Available,Not Available,04/13/2021 03:59 PM EDT,Ok,Hospital (General Medical & Surgical),Not Available,Not Available,0,"Hospital (General Medical & Surgical), Parking",Not Available,Not Available,Not Available,937339558.4,2021-04-20T15:06:18.000,7,Not Available,Not Available,0,Parking,Not Available,152.2,1017192810,100,No,Not Available,Not Available,Ok,Not Available,,Not Available,Not Available,Not Available,Not Available
X116-0200159,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,Not Available,48447,Hunts Point,Not Available,Whole Property,586.3,0200159E (8080110),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1973,Not Available,Not Available,Not Available,04/20/2021 10:45 PM EDT,Unable to Check (not enough data),K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,8810321.5,2021-05-28T17:29:28.000,2,Not Available,208800,0,Not Available,Not Available,Not Available,4317400.1,Not Available,No,Not Available,Not Available,Ok,Not Available,202.0,Not Available,Not Available,Not Available,Not Available
K410-0300335,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/05/2021 09:30 AM EDT,133137.5,West Brighton,Not Available,Whole Property,991.1,0300335E (7935974),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1931,Not Available,Not Available,Not Available,04/21/2021 03:24 PM EDT,Ok,K-12 School,Not Available,Not Available,0,"Heated Swimming Pool, K-12 School",Not Available,Not Available,Not Available,16190195.2,2021-05-28T17:29:28.000,3,Not Available,298800,0,Heated Swimming Pool,Not Available,1091.4,10985399.7,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,313.0,Not Available,Not Available,Not Available,Not Available
X415-0200213,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,Not Available,166976.6,Bronxdale,Not Available,Whole Property,1261.2,0200213E (8106347),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1939,Not Available,Not Available,Not Available,04/20/2021 10:46 PM EDT,Unable to Check (not enough data),K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,20723736.9,2021-05-28T17:29:28.000,3,Not Available,314575,0,Not Available,Not Available,Not Available,14321000,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,211.0,Not Available,Not Available,Not Available,Not Available
Q151-0400138,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/05/2021 09:49 AM EDT,2003.9,Astoria,Not Available,Whole Property,366.3,0400138E (8015787),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1930,Not Available,Not Available,Not Available,04/21/2021 02:18 PM EDT,Ok,K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,4916854.2,2021-05-28T17:29:28.000,3,Not Available,93480,0,Not Available,Not Available,52,195000,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,401.0,Not Available,Not Available,Not Available,Not Available
Q816/Q438-0401635,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,Not Available,Not Available,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,Not Available,Whole Property,147.8,0401635E (8358413),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1949,Not Available,Not Available,Not Available,04/21/2021 04:02 PM EDT,Unable to Check (not enough data),K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,1950598.7,2021-05-28T17:29:28.000,2,Not Available,38633.3,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,414.0,Not Available,Not Available,Not Available,Not Available
K239-0300243,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/03/2021 02:50 PM EDT,116782.6,Seagate-Coney Island,Not Available,Whole Property,694,0300243E (7899882),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1936,Not Available,Not Available,Not Available,04/21/2021 03:24 PM EDT,Ok,K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,12238885.9,2021-05-28T17:29:28.000,3,Not Available,186000,0,Not Available,Not Available,472.8,10571100.3,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,313.0,Not Available,Not Available,Not Available,Not Available
K398-0301263,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/03/2021 04:19 PM EDT,7,Rugby-Remsen Village,Not Available,Whole Property,452.6,0301263E (8315288),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1976,Not Available,Not Available,Not Available,04/21/2021 03:24 PM EDT,Ok,K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,5914071.1,2021-05-28T17:29:28.000,3,Not Available,141600,0,Not Available,Not Available,4152,700,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,317.0,Not Available,Not Available,Not Available,Not Available
Q124-0400110,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,Not Available,2767,South Ozone Park,Not Available,Whole Property,644.6,0400110E (8013812),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1931,Not Available,Not Available,Not Available,04/21/2021 04:02 PM EDT,Unable to Check (not enough data),K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,8551979.3,2021-05-28T17:29:28.000,3,Not Available,117680,0,Not Available,Not Available,Not Available,276700,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,410.0,Not Available,Not Available,Not Available,Not Available
K191-0300193,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/03/2021 02:45 PM EDT,20,Crown Heights North,Not Available,Whole Property,629.6,0300193E (7896902),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1925,Not Available,Not Available,Not Available,04/21/2021 03:24 PM EDT,Ok,K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,8311658.6,2021-05-28T17:29:28.000,3,Not Available,86400,0,Not Available,Not Available,97.2,2000,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,308.0,Not Available,Not Available,Not Available,Not Available
Q109-0400097,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/04/2021 11:52 AM EDT,60682.5,Queens Village,Not Available,Whole Property,434.5,0400097E (8013715),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1931,Not Available,Not Available,Not Available,04/21/2021 04:03 PM EDT,Ok,K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,7325928.1,2021-05-28T17:29:28.000,3,Not Available,128777,0,Not Available,Not Available,267.3,5479199.7,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,413.0,Not Available,Not Available,Not Available,Not Available
X012-0200050,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/05/2021 08:27 AM EDT,41877.8,Van Nest-Morris Park-Westchester Square,Not Available,Whole Property,333.3,0200050E (8032700),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1925,Not Available,Not Available,Not Available,04/20/2021 10:46 PM EDT,Ok,K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,5401409.7,2021-05-28T17:29:28.000,2,Not Available,84100,0,Not Available,Not Available,3638.7,3641500.1,Not Available,No,Not Available,Not Available,Ok,Not Available,210.0,Not Available,Not Available,Not Available,Not Available
K202-0300205,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/05/2021 08:53 AM EDT,100714.6,East New York,Not Available,Whole Property,590.8,0300205E (7896904),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1959,Not Available,Not Available,Not Available,04/21/2021 03:24 PM EDT,Ok,K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,10509008.7,2021-05-28T17:29:28.000,3,Not Available,136800,0,Not Available,Not Available,202.1,9272499.9,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,305.0,Not Available,Not Available,Not Available,Not Available
X048-0200085,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/04/2021 01:11 PM EDT,1225,Hunts Point,Not Available,Whole Property,502.2,0200085E (8052425),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1915,Not Available,Not Available,Not Available,04/20/2021 10:45 PM EDT,Ok,K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,6707980.5,2021-05-28T17:29:28.000,3,Not Available,102060,0,Not Available,Not Available,0,122500,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,202.0,Not Available,Not Available,Not Available,Not Available
Q056-0400050,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/05/2021 09:46 AM EDT,23114.9,Richmond Hill,Not Available,Whole Property,185.9,0400050E (7978868),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1896,Not Available,Not Available,Not Available,04/21/2021 04:02 PM EDT,Unable to Check (not enough data),K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,3049933.7,2021-05-28T17:29:28.000,3,Not Available,47155,0,Not Available,Not Available,Not Available,2076599.9,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,409.0,Not Available,Not Available,Not Available,Not Available
M131-0101005,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/04/2021 09:40 AM EDT,4093.5,Chinatown,Not Available,Whole Property,726.2,0101005E (7935636),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1983,Not Available,Not Available,Not Available,04/21/2021 02:18 PM EDT,Ok,K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,9655063.8,2021-05-28T17:29:28.000,3,Not Available,207109,0,Not Available,Not Available,288.7,400400,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,103.0,Not Available,Not Available,Not Available,Not Available
R034-0500082,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/05/2021 08:18 AM EDT,1605,,Not Available,Whole Property,691.1,0500082E (7979680),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1936,Not Available,Not Available,Not Available,04/21/2021 04:02 PM EDT,Ok,K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,9135008.3,2021-05-28T17:29:28.000,3,Not Available,128525,0,Not Available,Not Available,452.1,164500,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,,Not Available,Not Available,Not Available,Not Available
220 W 19th St (Red Circle NYC Corp),Whole Property,Not Available,Not Available,CBECS - Office & Bank/Financial,Not Available,04/13/2021 03:57 PM EDT,Not Available,Hudson Yards-Chelsea-Flatiron-Union Square,Not Available,Whole Property,475,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1929,Not Available,Not Available,Not Available,03/31/2021 10:21 AM EDT,Ok,Office,Not Available,Not Available,0,"Fitness Center/Health Club/Gym, Office",Not Available,Not Available,Not Available,6917204.6,2021-04-14T08:45:07.000,8,Not Available,Not Available,0,Fitness Center/Health Club/Gym,Not Available,1145.3,2833662.5,Not Available,Not Available,Not Available,Not Available,Possible Issue,Not Available,104.0,Not Available,Not Available,Not Available,Not Available
M195-0100200,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/04/2021 08:51 AM EDT,274,Manhattanville,Not Available,Whole Property,679.2,0100200E (7936411),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1975,Not Available,Not Available,Not Available,04/21/2021 02:17 PM EDT,Ok,K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,8917756.5,2021-05-28T17:29:28.000,3,Not Available,186000,0,Not Available,Not Available,0,27400,Not Available,No,Not Available,Not Available,Ok,Not Available,109.0,Not Available,Not Available,Not Available,Not Available
X211-0200208,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,Not Available,11,East Tremont,Not Available,Whole Property,170.8,0200208E (8106345),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1914,Not Available,Not Available,Not Available,04/20/2021 10:46 PM EDT,Unable to Check (not enough data),K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,2266749.8,2021-05-28T17:29:28.000,3,Not Available,48360,0,Not Available,Not Available,Not Available,1100,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,206.0,Not Available,Not Available,Not Available,Not Available
Q140-0400126,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/05/2021 09:50 AM EDT,51594.7,,Not Available,Whole Property,366.2,0400126E (8013731),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1928,Not Available,Not Available,Not Available,04/21/2021 04:02 PM EDT,Ok,K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,6190854,2021-05-28T17:29:28.000,3,Not Available,90480,0,Not Available,Not Available,322.8,4690200.1,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,,Not Available,Not Available,Not Available,Not Available
K151-0300153,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,Not Available,33778.3,Bushwick North,Not Available,Whole Property,232.6,0300153E (7896406),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1905,Not Available,Not Available,Not Available,04/21/2021 03:23 PM EDT,Unable to Check (not enough data),K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,3940382.1,2021-05-28T17:29:28.000,3,Not Available,67200,0,Not Available,Not Available,Not Available,3054899.9,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,304.0,Not Available,Not Available,Not Available,Not Available
