address_1,alert_meter_has_gaps,energy_star_certification_5,district_chilled_water_use,other_weekly_operating_hours,residence_hall_dormitory,green_power_onsite_kwh,avoided_emissions_offsite,multifamily_housing_gross,retail_store_percent_that,laboratory_gross_floor_area,generation_date,multifamily_housing_number_1,retail_store_walk_in,convenience_store_without,college_university_number,green_power_offsite_kwh,national_median_total_ghg,fuel_oil_no_5_and_no_6_cost,estimated_data_flag_district,fuel_oil_no_4_cost,hotel_gross_floor_area_ft,financial_office_gross_floor,financial_office_weekly,enclosed_mall_gross_floor,electricity_use_generated,office_computer_density_number,municipally_supplied_potable_2,postcode,diesel_2_use_kbtu,propane_use_kbtu,egrid_output_emissions_rate,museum_gross_floor_area_ft,percent_of_total_electricity,energy_cost_intensity_ft,source_eui_kbtu_ft,latitude,indirect_ghg_emissions_metric,other_number_of_computers,water_use_all_water_sources,site_eui_kbtu_ft,medical_office_weekly,parking_gross_floor_area,retail_store_number_of_open,district_hot_water_use_kbtu,veterinary_office_gross_floor,hospital_general_medical_10,date_property_last_modified,multifamily_housing_number_2,alert_gross_floor_area_is,weather_normalized_source_1,energy_star_certification_4,city,office_number_of_computers,number_of_buildings,percent_of_recs_retained,national_median_source_energy,adult_education_gross_floor,refrigerated_warehouse_gross,hotel_gym_fitness_center,weather_normalized_site_2
3130 Grand Concourse,Ok,No,Not Available,Not Available,Not Available,Not Available,0,150135,Not Available,Not Available,2015-04-25T13:59:13.000,Not Available,Not Available,Not Available,Not Available,0,969.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,12095.8,10458,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,140,40.875123,229.8,Not Available,12095.8,99.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,Not Available,Ok,20952559.5,Not Available,Bronx,Not Available,0,Not Available,17983690.5,Not Available,Not Available,Not Available,5927.4
570 Riverside Drive,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-28T15:24:12.000,Not Available,Not Available,Not Available,Not Available,0,133.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10031,Not Available,Not Available,82.9,Not Available,Not Available,1.26,82.2,40.82073,141.5,Not Available,Not Available,39,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,Not Available,Ok,6870302.5,Not Available,New York,Not Available,1,Not Available,4114276.6,Not Available,Not Available,Not Available,14335.6
45 Broadway,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-26T12:41:39.000,Not Available,Not Available,Not Available,Not Available,0,2824.5,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2,Not Available,10006,Not Available,Not Available,82.9,Not Available,Not Available,0.89,250.1,40.706397,2708.1,Not Available,Not Available,94.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/15/2015 04:36 PM EDT,Not Available,Ok,91613764.3,Not Available,New York,736.61,1,Not Available,95182910.2,Not Available,Not Available,Not Available,4782.6
220 East 73rd Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,97677,Not Available,Not Available,2015-07-31T14:52:37.000,0,Not Available,Not Available,Not Available,0,638.9,Not Available,Not Available,125320.36,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10021,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,122.4,40.770148,155.5,Not Available,Not Available,80.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,12,Ok,11915068.6,Not Available,New York,Not Available,1,Not Available,12648052.3,Not Available,Not Available,Not Available,1608.5
37 WEST 47th STREET,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-23T09:21:32.000,Not Available,Not Available,Not Available,Not Available,0,856.4,Not Available,Not Available,531.05,Not Available,Not Available,Not Available,Not Available,Not Available,1.92266,Not Available,10036,Not Available,Not Available,82.9,Not Available,Not Available,0.01,187.3,40.75722,407.8,Not Available,2905.6,83.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/23/2015 09:20 AM EDT,Not Available,Ok,18697020.9,Not Available,NEW YORK,195,1,Not Available,24529082,Not Available,Not Available,Not Available,3913.8
1049 Fifth Avenue,Ok,No,Not Available,Not Available,Not Available,Not Available,0,157307,Not Available,Not Available,2015-07-31T14:52:51.000,90,Not Available,Not Available,Not Available,0,3232,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10028,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,128.3,40.781149,3154.3,Not Available,Not Available,41.2,65,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,0,Ok,21516049.9,Not Available,New York,Not Available,1,Not Available,22013634,Not Available,Not Available,Not Available,868.3
130 Barrow Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,102932,Not Available,Not Available,2015-07-31T14:52:10.000,192,Not Available,Not Available,Not Available,0,526.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10014,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,145.9,40.731926,170.9,Not Available,Not Available,99.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,05/01/2015 12:44 PM EDT,0,Ok,14482728.5,Not Available,New York,Not Available,1,Not Available,13109884,Not Available,Not Available,Not Available,76298.5
1114 Avenue of the Americas,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-20T11:13:08.000,Not Available,Not Available,Not Available,Not Available,0,15508.2,Not Available,No,Not Available,Not Available,3784,65,Not Available,Not Available,3.75318,25552.3,10036,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,244.2,40.755352,12495.3,Not Available,28464.4,107.7,Not Available,20204,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:16 PM EDT,Not Available,Ok,372244793.6,Not Available,New York,5700,1,Not Available,465976466.6,Not Available,Not Available,Not Available,Not Available
450 Park Avenue,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-30T10:59:29.000,Not Available,Not Available,Not Available,Not Available,0,3383.8,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5.54652,Not Available,10022,Not Available,Not Available,82.9,Not Available,Not Available,5.44,294.3,40.761396,3131.6,Not Available,11600.5,127.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/29/2015 10:48 AM EDT,Not Available,Ok,94865524.3,Not Available,New York,1800,1,Not Available,103209844.2,Not Available,Not Available,Not Available,Not Available
50-35 56th Road,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-20T13:47:32.000,Not Available,Not Available,Not Available,Not Available,0,583.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,583.5,11378,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,180,40.725509,219.2,Not Available,583.5,130.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,Not Available,Ok,21987152.5,Not Available,Maspeth,Not Available,1,Not Available,13882496.3,Not Available,Not Available,Not Available,131495.1
184-60 Jamaica Ave,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-28T16:19:06.000,Not Available,Not Available,Not Available,Not Available,0,466.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11423,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,61.7,40.709522,215.3,Not Available,Not Available,40.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,02/13/2015 03:18 PM EST,Not Available,Ok,16998289.6,Not Available,Hollis,Not Available,1,Not Available,11829203.9,Not Available,Not Available,Not Available,84253
169 E 78 Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,54683,Not Available,Not Available,2015-04-30T14:09:42.000,4,Not Available,Not Available,Not Available,0,294.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10075,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,94.3,40.773947,66.2,Not Available,1087.7,62.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,6,Ok,5262358.9,Not Available,New York,Not Available,1,Not Available,6460640.5,Not Available,Not Available,Not Available,11933.6
681 Fifth Avenue,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-05-01T11:50:24.000,Not Available,Not Available,Not Available,Not Available,0,256.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.49948,Not Available,10022,Not Available,Not Available,82.9,Not Available,Not Available,3.99,210.7,40.760757,297.1,Not Available,Not Available,82,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,Not Available,Ok,12543759.5,Not Available,New York,30,1,Not Available,8815045.4,Not Available,Not Available,Not Available,12322.1
100 Central Park South,Ok,No,Not Available,Not Available,Not Available,Not Available,0,100840,Not Available,Not Available,2015-04-30T14:19:36.000,9,Not Available,Not Available,Not Available,0,543.9,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10019,Not Available,Not Available,82.9,Not Available,Not Available,3.18,144.8,40.765802,548.4,Not Available,Not Available,80.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/15/2015 04:36 PM EDT,7,Ok,14132331.9,Not Available,New York,Not Available,1,Not Available,13819714,Not Available,Not Available,Not Available,5038.1
147 MADISON AVENUE,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-23T09:21:33.000,Not Available,Not Available,Not Available,Not Available,0,1220.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.06925,Not Available,10016,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,198.7,40.746286,466.6,Not Available,1457.6,100.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/23/2015 09:18 AM EDT,Not Available,Ok,23596500,Not Available,NEW YORK,254,1,Not Available,30746035.9,Not Available,Not Available,Not Available,25.2
555 West 18th Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-05-19T15:53:42.000,Not Available,Not Available,Not Available,Not Available,0,1478.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.98378,2478.5,10011,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,282.5,40.745134,1113.8,Not Available,2478.5,116,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,Not Available,Ok,48712804.1,Not Available,New York,521,1,Not Available,49406250.2,Not Available,Not Available,Not Available,62321.5
12-16 Vestry Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-29T11:46:11.000,Not Available,Not Available,Not Available,Not Available,0,392.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.89686,Not Available,10013,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,132.4,40.722564,195.1,Not Available,Not Available,50.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/24/2015 11:30 AM EDT,Not Available,Ok,8177413,Not Available,New York,179,1,Not Available,13663317.9,Not Available,Not Available,Not Available,7540.4
199 Water Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,100,Not Available,2015-04-28T15:12:27.000,Not Available,0.06356,Not Available,Not Available,0,8202.8,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.32769,Not Available,10038,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,166,40.70727,4972.2,Not Available,Not Available,65.1,Not Available,19490,8,Not Available,Not Available,Not Available,09/03/2014 11:17 PM EDT,Not Available,Ok,162383411.5,Not Available,New York,3186,1,Not Available,268944865,Not Available,Not Available,Not Available,6736.7
200  East  42nd  St.,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,100,Not Available,2015-04-30T10:24:51.000,Not Available,0,Not Available,Not Available,0,4055.1,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.52453,Not Available,10017,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,186.8,40.750698,2453.3,Not Available,Not Available,85.3,Not Available,Not Available,2,Not Available,Not Available,Not Available,09/03/2014 11:15 PM EDT,Not Available,Ok,70781242.6,Not Available,Manhattan,1650,1,Not Available,118724578,Not Available,Not Available,Not Available,Not Available
420 West 206th Street,Ok,No,Not Available,Not Available,Not Available,Not Available,Not Available,78000,Not Available,Not Available,2015-05-01T17:22:03.000,0,Not Available,Not Available,Not Available,Not Available,301.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10034,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,Not Available,40.863241,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,03/03/2015 03:48 PM EST,9,Ok,Not Available,Not Available,New York,Not Available,1,Not Available,9978554.7,Not Available,Not Available,Not Available,Not Available
20-33 thru 20-39 Seagirt Blvd,Ok,No,Not Available,Not Available,Not Available,Not Available,0,143441,Not Available,Not Available,2015-04-30T20:49:47.000,0,Not Available,Not Available,Not Available,0,554.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11691,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,Not Available,,38,Not Available,Not Available,Not Available,Not Available,26700,Not Available,Not Available,Not Available,Not Available,02/27/2015 04:02 PM EST,6,Ok,Not Available,Not Available,Far Rockaway,Not Available,1,Not Available,18350434.1,Not Available,Not Available,Not Available,Not Available
410 WEST 53RD STREET,Ok,No,Not Available,Not Available,Not Available,Not Available,0,166518,Not Available,Not Available,2015-04-30T15:18:22.000,Not Available,Not Available,Not Available,Not Available,0,1092.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10019,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,165.9,40.765623,422.1,Not Available,6823,99.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,29,Ok,27093484.5,Not Available,NEW YORK,Not Available,1,Not Available,23575649.3,Not Available,Not Available,Not Available,3821.1
915 Broadway,Ok,No,Not Available,110,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-29T11:55:02.000,Not Available,Not Available,Not Available,Not Available,0,2271.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.85057,Not Available,10010,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,136.5,40.739644,687.4,3,3594,64.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,Not Available,Ok,33173788.6,Not Available,New York,647,1,Not Available,61606436.9,Not Available,Not Available,Not Available,5765.1
520 East 76th Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,86786,Not Available,Not Available,2015-07-31T14:52:17.000,0,Not Available,Not Available,Not Available,0,652.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10021,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,186.8,40.769146,171.6,Not Available,Not Available,134.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,10,Ok,Not Available,Not Available,New York,Not Available,1,Not Available,11916293.6,Not Available,Not Available,Not Available,3505.7
555 Park Ave,Ok,No,Not Available,Not Available,Not Available,Not Available,0,95603,Not Available,Not Available,2015-04-30T14:09:34.000,25,Not Available,Not Available,Not Available,0,468.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6214.1,10065,Not Available,Not Available,82.9,Not Available,Not Available,0,155.3,40.764543,226.1,Not Available,6214.1,91.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,0,Ok,14451004,Not Available,New York,Not Available,1,Not Available,12782072,Not Available,Not Available,Not Available,55763.3
67-89 224 STREET,Ok,No,Not Available,Not Available,Not Available,Not Available,Not Available,10875,Not Available,Not Available,2015-04-30T11:04:42.000,Not Available,Not Available,Not Available,Not Available,Not Available,42.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11364,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,Not Available,40.745253,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/29/2015 01:04 PM EDT,Not Available,Ok,Not Available,Not Available,Oakland Gardens,Not Available,1,Not Available,1391240.8,Not Available,Not Available,Not Available,11920
1775 Broadway,Ok,No,Not Available,80,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-29T14:43:35.000,Not Available,Not Available,Not Available,Not Available,0,5489.4,Not Available,Not Available,Not Available,Not Available,13220,65,Not Available,Not Available,2.43742,6557.4,10106,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,180.6,40.766492,2755.7,2,6557.4,79.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/16/2015 04:11 PM EDT,Not Available,Ok,125692665.5,Not Available,New York,1688,1,Not Available,176861475.5,Not Available,Not Available,Not Available,203401.3
1919 Williamsbridge Road,Ok,No,Not Available,Not Available,Not Available,Not Available,0,65320,100,Not Available,2015-04-30T20:45:48.000,22,0,Not Available,Not Available,0,528,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10461,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,108.9,40.852799,48.3,Not Available,Not Available,89.3,Not Available,Not Available,2,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,0,Ok,7006582.2,Not Available,Bronx,Not Available,0,Not Available,8509276.5,Not Available,Not Available,Not Available,972
2011 Ocean Avenue,Ok,No,Not Available,Not Available,Not Available,Not Available,0,61000,Not Available,Not Available,2015-05-18T14:10:46.000,0,Not Available,Not Available,Not Available,0,364.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3500.9,11230,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,106.4,40.612703,69.1,Not Available,3500.9,74.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,8,Ok,6418761.4,Not Available,Brooklyn,Not Available,1,Not Available,8522101.5,Not Available,Not Available,Not Available,30892.3
5700 Avenue D,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-18T12:29:49.000,Not Available,Not Available,Not Available,Not Available,0,518.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11203,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,29.2,40.642627,118.1,Not Available,83.1,13.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,Not Available,Ok,5801296.3,Not Available,Brooklyn,Not Available,1,Not Available,16163870.8,Not Available,Not Available,Not Available,12661.4
808 Broadway,Ok,No,Not Available,Not Available,Not Available,Not Available,0,104722,Not Available,Not Available,2015-04-30T14:10:02.000,0,Not Available,Not Available,Not Available,0,383.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10003,Not Available,Not Available,82.9,Not Available,Not Available,0,107.9,40.732621,227.7,Not Available,Not Available,50.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,15,Ok,11040179.3,Not Available,New York,Not Available,1,Not Available,11930947.2,Not Available,Not Available,Not Available,24389.3
30 East 9th Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,212372,100,Not Available,2015-07-31T14:52:23.000,0,0,Not Available,Not Available,0,1022.4,49025.55,Not Available,Not Available,Not Available,7700,65,Not Available,Not Available,Not Available,Not Available,10003,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,89.1,40.731976,427.5,Not Available,Not Available,41.2,Not Available,Not Available,0,Not Available,Not Available,Not Available,05/01/2015 10:42 PM EDT,26,Ok,Not Available,Not Available,New York,Not Available,1,Not Available,29798778.8,Not Available,Not Available,Not Available,22433.3
9 Prospect Park W,Ok,No,Not Available,Not Available,Not Available,Not Available,0,120000,Not Available,Not Available,2015-04-30T14:10:03.000,0,Not Available,Not Available,Not Available,0,1017.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11215,Not Available,Not Available,82.9,Not Available,Not Available,0,97.2,40.671777,95.9,Not Available,2637.5,73.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,10,Ok,11257157.9,Not Available,Brooklyn,Not Available,1,Not Available,22760829.3,Not Available,Not Available,Not Available,64564.8
53 WEST 23RD STREET,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,100,Not Available,2015-04-27T20:57:17.000,Not Available,0,Not Available,Not Available,0,2246,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.86071,Not Available,10010,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,144.7,40.742266,908.3,Not Available,4244.9,59,Not Available,Not Available,0,Not Available,Not Available,Not Available,11/17/2014 01:57 PM EST,Not Available,Ok,Not Available,Not Available,NEW YORK,390,1,Not Available,68455525.1,Not Available,Not Available,Not Available,Not Available
9502 ROCKAWAY BEACH BLVD,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-15T10:24:55.000,Not Available,Not Available,Not Available,Not Available,0,456.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5972.2,11693,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,132.4,40.585512,136.7,Not Available,5972.2,82.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/15/2015 09:38 AM EDT,Not Available,Ok,Not Available,Not Available,ROCKAWAY BEACH,Not Available,1,Not Available,12026499.4,Not Available,Not Available,Not Available,Not Available
200 East 84th Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,132469,100,Not Available,2015-07-31T14:52:04.000,36,0,Not Available,Not Available,0,691.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10028,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,140.7,40.777357,283.8,Not Available,Not Available,84.7,Not Available,Not Available,0,Not Available,Not Available,Not Available,05/04/2015 05:05 PM EDT,20,Ok,19197705.5,Not Available,New York,Not Available,1,Not Available,18082985.2,Not Available,Not Available,Not Available,70752.2
406-426 East 62nd street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-28T15:24:12.000,Not Available,Not Available,Not Available,Not Available,0,274.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,188.3,10065,Not Available,Not Available,82.9,Not Available,Not Available,1.27,90.1,40.761302,394.7,Not Available,233.2,36.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,03/30/2015 11:28 AM EDT,Not Available,Ok,16895209.9,Not Available,New York,Not Available,1,Not Available,9197670.9,Not Available,Not Available,Not Available,19667
70 Remsen Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,72050,Not Available,Not Available,2015-07-31T14:52:00.000,4,Not Available,Not Available,Not Available,0,367.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11201,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,55.4,40.694403,83.8,Not Available,Not Available,25.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,05/01/2015 06:49 PM EDT,12,Ok,Not Available,Not Available,Brooklyn,Not Available,1,Not Available,10513047.3,Not Available,Not Available,Not Available,1829.3
9 East 37th Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-29T11:55:02.000,Not Available,Not Available,Not Available,Not Available,0,514.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.74797,956.4,10016,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,148.9,40.750013,191.3,Not Available,956.4,72.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,Not Available,Ok,9353473.2,Not Available,New York,169,1,Not Available,13670720.3,Not Available,Not Available,Not Available,Not Available
1669-75 University Avenue,Ok,No,Not Available,Not Available,Not Available,Not Available,0,98718,Not Available,Not Available,2015-04-27T14:21:03.000,0,Not Available,Not Available,Not Available,0,570.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6766.9,10453,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,110.3,40.848568,111.7,Not Available,6766.9,77.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/16/2015 12:20 PM EDT,12,Ok,10543886.7,Not Available,Bronx,Not Available,1,Not Available,13859027.6,Not Available,Not Available,Not Available,60130.6
1001 6 Ave,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-29T11:55:01.000,Not Available,Not Available,Not Available,Not Available,0,1755.8,Not Available,No,Not Available,Not Available,12397,40,Not Available,Not Available,2.46954,Not Available,10018,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,228.6,40.751842,1675,Not Available,Not Available,93.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,Not Available,Ok,52469025.5,Not Available,New York,538,1,Not Available,55677050.7,Not Available,Not Available,Not Available,Not Available
245 West 99th Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,169233,100,Not Available,2015-07-31T14:52:53.000,138,0,Not Available,Not Available,0,1008.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10025,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,183.5,40.796754,678.5,Not Available,Not Available,86.5,Not Available,Not Available,0,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,5,Ok,33147110.6,Not Available,New York,Not Available,1,Not Available,31268981.4,Not Available,Not Available,Not Available,74096.3
151 E 85th St,Ok,No,Not Available,Not Available,Not Available,Not Available,0,357973,100,Not Available,2015-04-30T19:13:25.000,136,0,Not Available,Not Available,0,1925.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1088.1,10028,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,183.9,40.778653,2159.7,Not Available,1088.1,60.8,Not Available,Not Available,0,Not Available,Not Available,Not Available,04/30/2015 07:09 PM EDT,0,Ok,83539118.8,Not Available,New York,Not Available,0,Not Available,71617073.6,Not Available,Not Available,Not Available,14925.2
