job__,bin__,total_est_fee,owner_type,initial_cost,fee_status,sign_dist_from_highway,pre_filing_date,sign_illumination,job_description,job_type,sign_height_curb,sign_non_conforming,sign_sq_footage,sign_projection,house__
421542021,4030851,100.0,2,3000,STANDARD,0,2017-08-17T00:00:00.000,Y,"ERECT ILLUMINATED BUSINESS ACCESSORY SIGN, NO CHANGE TO USE, EGRESS OR OCCUPANCY.",SG,244, ,37,0,50-15       
123085277,1036890,100.0,2,2025,STANDARD,0,2017-08-10T00:00:00.000,,"INSTALL NON-ILLUMINATED ACCESSORY BUSINESS SIGN ON WALL. NO CHANGE IN OCCUPANCY, USE OR EGRESS.",SG,144, ,27,5,130         
321604885,3327385,140.0,2,4796,STANDARD,0,2017-09-26T00:00:00.000,,"NON ILLUMINATED NON ADVERTISING ACCESSORY SIGN. NO CHANGE TO USE, EGRESS OR OCCUPANCY.",SG,249, ,109,6,1181        
123114272,1032526,100.0,3,2925,STANDARD,0,2017-08-24T00:00:00.000,Y,"ERECT ILLUMINATED ACCESSORY ENTRANCE WALL SIGN, NON ADVERTISING, NON FLASHING SIGN, NO CHANGE IN USE, EGRESS, OR OCCUPANCY.",SG,175, ,25,6,660         
123079603,1089862,263.6,2,16950,STANDARD,0,2017-08-15T00:00:00.000,Y,"INSTALL ACCESSORY BUSINESS LED SIGN WITHIN WINDOW. NO CHANGE IN OCCUPANCY, USE OR EGRESS.",SG,113, ,113,0,500         
220620870,2094838,181.2,3,8500,STANDARD,0,2017-10-12T00:00:00.000,Y,"SIGN INSTALLATION ON STOREFRONT AS SHOWN ON DRAWINGS FILED HEREWITH.  NO CHANGE TO USE, EGRESS OR OCCUPANCY. (SHOPRITE LOGO SIGN #2)",SG,164, ,79,0,861         
123121790,1059314,418.1,2,31350,STANDARD,0,2017-10-12T00:00:00.000,Y,"INSTALL ILLUMINATED ACCESSORY BUSINESS SIGN ON WALL. NO CHANGE IN OCCUPANCY, USE OR EGRESS.",SG,367, ,209,5,309         
321639278,3169006,100.0,3,1000,STANDARD,0,2017-08-15T00:00:00.000,Y,PROPOSE TO INSTALL SIGN ON EXISTING METAL CANOPY. SIGN-BP HELIOS FACING SOUTHERLY. ALL AS PER PLANS FILED HEREWITH. NO CHANGE IN USE EGRESS OR OCCUPANCY IS PROPOSED UNDER THIS APPLICATION.,SG,171, ,10,0,8775        
421543495,4597152,135.0,3,3000,STANDARD,0,2017-08-22T00:00:00.000,Y,"PROPOSED INSTALLATION OF A 7 SF INTERNALLY ILLUMINATED BOLLA MARKET GROUND SIGN. NO CHANGE TO USE, EGRESS OR OCCUPANCY.",SG,144, ,7,0,54-55       
123105610,1018482,100.0,2,1053,STANDARD,0,2017-08-15T00:00:00.000,Y,"ERECT ILLUMINATED ACCESSORY DOUBLE FACED BLADE SIGN ON WALL.  NOT WITHIN VIEW/200' OF ARTERIAL HIGHWAY OR PUBLIC PARK OF 1/2 ACRE OR MORE.  NO CHANGE IN USE, EGRESS OR OCCUPANCY.",SG,198, ,9,18,480         
321609540,3088276,100.0,2,1638,STANDARD,0,2017-09-14T00:00:00.000,Y,"ERECT ILLUMINATED ACCESSORY BUSINESS SIGN ON WALL. NOT WITHIN VIEW/200' OF ARTERIAL HIGHWAY OR PUBLIC PARK OF 1/2 ACRE OR MORE.  NO CHANGE IN USE, EGRESS OR OCCUPANCY.",SG,204, ,14,0,2800        
123329647,1024817,1015.5,2,90000,STANDARD,0,2017-08-28T00:00:00.000,Y,REPLACE AND ERECT NEW DIRECTLY ILLUMINATED PROJECTING STATIC DISPLAY ADVERTISING SIGN (SIGN TYPE #5-BROADWAY ELEVATION) REPLACING EXISTING SIGN FILED UNDER 103796536. NO CHANGE OF USE EGRESS OR OCCUPANCY.,SG,918, ,765,42,226         
122881346,1015220,603.5,2,50000,STANDARD,0,2016-09-01T00:00:00.000,,"TEMPORARY INSTALLATION OF METAL ""TROLL HEADS"" ON MACY'S GIFT BAG SIGN.  SIZE - 1726 SQ FT.  NOT WITHIN 900' OF AN ARTERIAL HIGHWAY.",SG,1042, ,1726,667,1313        
321644994,3231519,100.0,3,1000,STANDARD,0,2017-08-25T00:00:00.000,Y,PROPOSE TO INSTALL SIGN ON EXISTING METAL CANOPY. SIGN-BP HELIOS FACING EAST 108TH STREET. ALL AS PER PLANS FILED HEREWITH. NO CHANGE IN USE EGRESS OR OCCUPANCY IS PROPOSED UNDER THIS APPLICATION,SG,178, ,10,0,10824       
