unnamed_column_1,q24_in_how_many_of_your_1,q33_i_feel_like_i_belong_1,q36_my_teachers_treat_me,q30_there_is_at_least_one,q42_in_how_many_of_your,q34_my_teachers_will_always,q49_i_feel_safe_in_my_classes_1,q4_my_teachers_use_examples,q32_there_is_time_at_school,q15_during_this_school_year_1,q49_i_feel_safe_in_my_classes,q54_at_this_school_students_1,q29_my_school_expects_all_1,q11_during_this_school_year,q14_during_this_school_year,q16_during_this_school_year_1,q59_if_you_are_a_student_1,q10_i_am_presented_with,q12_during_this_school_year,q35_my_teachers_always_do_1,q44_in_how_many_of_your_1,q5_i_see_people_of_many_races_1,q47_i_feel_safe_traveling,q55_at_this_school_students,q50_at_this_school_students_1,q53_at_this_school_students_1,q64_if_you_are_a_student_1,q63_if_you_are_a_student_1,q3_my_school_encourages_and,q19_in_how_many_of_your_1,q58_if_you_are_a_student_1,q38_when_my_teachers_tell,q6_at_this_school_we_have_1,q35_my_teachers_always_do,q15_during_this_school_year,q43_in_how_many_of_your_1,q18_in_how_many_of_your_1,q8_i_feel_that_my_teachers_1,q26_in_how_many_of_your,q13_during_this_school_year,q13_during_this_school_year_1,q41_in_how_many_of_your,q24_in_how_many_of_your,q23_in_how_many_of_your,q37_most_students_treat,q36_my_teachers_treat_me_1,unnamed_column_2,q5_i_see_people_of_many_races,q20_in_how_many_of_your
P.S. 5 Port Morris,0.69,0.8,0.06,0.2,0.4,0.13,0.91,0.13,0.35,0.63,0.09,0.27,0.9,0.22,0.35,0.41,,0.09,0.1,0.81,0.49,0.92,0.2,0.89,0.42,0.38,,,0.12,0.77,0.87,0.16,0.82,0.19,0.37,0.51,0.81,0.98,0.3,0.24,0.76,0.4,0.31,0.27,0.18,0.94,0.71,0.08,0.25
Richard R. Green High School of Teaching,0.76,0.87,0.01,0.04,0.4,0.06,1.0,0.09,0.2,0.73,0.0,0.11,0.96,0.17,0.42,0.57,0.92,0.09,0.01,0.9,0.53,0.87,0.03,0.92,0.13,0.11,0.96,0.96,0.04,0.91,,0.04,0.86,0.1,0.27,0.5,0.95,0.92,0.14,0.16,0.84,0.42,0.24,0.06,0.03,0.99,0.28,0.13,0.09
Bronx Collaborative High School,0.48,0.73,0.04,0.2,0.64,0.13,0.91,0.14,0.5,0.84,0.09,0.25,0.9,0.44,0.22,0.59,0.83,0.1,0.09,0.77,0.69,0.89,0.2,0.74,0.33,0.22,0.79,0.88,0.16,0.62,,0.11,0.89,0.23,0.16,0.42,0.74,0.96,0.41,0.36,0.64,0.49,0.52,0.38,0.15,0.96,0.19,0.11,0.39
EBC High School for Public Service - Bushwick,0.65,0.81,0.04,0.17,0.4,0.09,0.96,0.12,0.32,0.73,0.04,0.22,0.94,0.2,0.32,0.54,0.94,0.07,0.06,0.86,0.42,0.92,0.09,0.8,0.2,0.2,0.92,0.93,0.05,0.82,,0.09,0.9,0.14,0.27,0.47,0.84,0.98,0.32,0.2,0.8,0.47,0.35,0.21,0.04,0.96,0.28,0.08,0.27
P.S. 123 Mahalia Jackson,0.79,0.74,0.08,0.26,0.55,0.09,0.93,0.13,0.29,0.58,0.07,0.24,0.95,0.19,0.33,0.48,,0.06,0.04,0.87,0.24,0.91,0.17,0.86,0.38,0.32,,,0.06,0.86,0.83,0.08,0.86,0.13,0.42,0.37,0.86,0.97,0.21,0.23,0.77,0.46,0.21,0.19,0.17,0.92,0.58,0.09,0.17
Hudson High School of Learning Technologies,0.63,0.86,0.01,0.21,0.47,0.09,0.95,0.08,0.26,0.6,0.05,0.12,0.89,0.3,0.38,0.54,0.93,0.02,0.1,0.86,0.33,0.95,0.22,0.84,0.16,0.12,0.93,0.97,0.11,0.8,,0.14,0.97,0.14,0.4,0.5,0.81,0.99,0.31,0.23,0.77,0.37,0.37,0.17,0.04,0.99,0.2,0.05,0.25
Hellenic Classical Charter School,0.83,0.88,0.04,0.12,0.46,0.12,0.99,0.12,0.38,0.58,0.01,0.14,0.92,0.17,0.55,0.33,,0.07,0.03,0.84,0.68,0.91,0.04,0.98,0.14,0.12,,,0.11,0.91,0.89,0.09,0.81,0.16,0.42,0.4,0.91,0.95,0.22,0.22,0.78,0.34,0.17,0.19,0.09,0.96,0.99,0.09,0.15
Bronx Career and College Preparatory High School,0.64,0.74,0.02,0.15,0.56,0.1,0.92,0.1,0.35,0.71,0.08,0.24,0.96,0.22,0.28,0.57,0.82,0.02,0.07,0.81,0.4,0.96,0.13,0.89,0.29,0.19,0.71,0.89,0.08,0.69,,0.07,0.85,0.19,0.29,0.37,0.78,0.99,0.32,0.22,0.78,0.51,0.36,0.23,0.07,0.98,0.36,0.04,0.31
Metropolitan Expeditionary Learning School,0.67,0.85,0.02,0.16,0.45,0.09,0.97,0.09,0.31,0.75,0.03,0.16,0.94,0.27,0.28,0.55,0.91,0.05,0.07,0.81,0.76,0.92,0.09,0.88,0.21,0.17,0.92,0.92,0.06,0.8,0.89,0.1,0.95,0.19,0.25,0.45,0.85,0.96,0.27,0.27,0.73,0.46,0.33,0.19,0.08,0.98,0.47,0.08,0.2
East New York Family Academy,0.74,0.85,0.07,0.18,0.48,0.12,0.96,0.13,0.37,0.68,0.04,0.22,0.96,0.31,0.26,0.51,0.88,0.07,0.07,0.8,0.69,0.93,0.07,0.9,0.29,0.23,0.84,0.9,0.09,0.76,0.89,0.16,0.89,0.2,0.32,0.47,0.88,0.97,0.21,0.26,0.74,0.4,0.26,0.12,0.12,0.93,0.47,0.07,0.22
P.S./M.S. 194,0.75,0.84,0.03,0.23,0.51,0.08,0.96,0.12,0.27,0.58,0.04,0.27,0.9,0.17,0.4,0.44,,0.06,0.06,0.85,0.52,0.93,0.09,0.93,0.37,0.27,,,0.14,0.88,0.84,0.08,0.7,0.15,0.42,0.41,0.84,0.96,0.21,0.28,0.72,0.54,0.25,0.24,0.12,0.97,0.85,0.07,0.2
Achievement First East New York Charter School,0.57,0.92,0.0,0.07,0.43,0.0,1.0,0.0,0.21,0.64,0.0,0.5,1.0,0.07,0.29,0.36,,0.0,0.0,0.77,0.71,1.0,0.0,0.93,0.21,0.14,,,0.1,0.86,0.67,0.0,0.83,0.23,0.36,0.43,0.86,1.0,0.38,0.14,0.86,0.5,0.43,0.21,0.07,1.0,0.02,0.0,0.07
Battery Park City School,0.56,0.87,0.04,0.29,0.41,0.13,0.99,0.32,0.51,0.59,0.01,0.11,0.88,0.2,0.35,0.44,,0.06,0.02,0.76,0.77,0.9,0.06,0.99,0.12,0.05,,,0.1,0.85,0.84,0.14,0.79,0.24,0.41,0.42,0.85,0.98,0.32,0.3,0.7,0.49,0.44,0.26,0.04,0.96,0.6,0.1,0.18
J.H.S. 118 William W. Niles,0.65,0.83,0.06,0.19,0.5,0.13,0.94,0.18,0.3,0.64,0.06,0.26,0.91,0.21,0.38,0.45,,0.08,0.07,0.81,0.59,0.91,0.15,0.88,0.33,0.27,,,0.1,0.81,0.9,0.13,0.78,0.19,0.36,0.43,0.8,0.93,0.25,0.26,0.74,0.45,0.35,0.25,0.15,0.94,0.37,0.09,0.23
J.H.S. 189 Daniel Carter Beard,0.63,0.85,0.03,0.21,0.61,0.09,0.97,0.11,0.26,0.59,0.03,0.21,0.94,0.2,0.35,0.46,,0.06,0.07,0.86,0.33,0.94,0.08,0.86,0.24,0.17,,,0.07,0.84,0.91,0.1,0.9,0.14,0.41,0.32,0.81,0.96,0.27,0.26,0.74,0.57,0.37,0.27,0.08,0.97,0.63,0.06,0.19
The Emerson School,0.61,0.75,0.06,0.26,0.44,0.13,0.87,0.12,0.44,0.7,0.13,0.32,0.92,0.31,0.27,0.58,,0.07,0.13,0.73,0.38,0.91,0.27,0.85,0.44,0.36,,,0.11,0.74,0.88,0.15,0.84,0.27,0.3,0.48,0.78,0.93,0.37,0.29,0.71,0.48,0.39,0.32,0.2,0.94,0.76,0.09,0.26
I.S. 915,0.62,0.87,0.04,0.19,0.46,0.17,0.98,0.2,0.28,0.69,0.02,0.21,0.91,0.27,0.34,0.52,,0.05,0.06,0.72,0.47,0.94,0.08,0.9,0.2,0.17,,,0.11,0.72,0.8,0.09,0.91,0.28,0.31,0.45,0.81,0.95,0.34,0.27,0.73,0.46,0.38,0.3,0.06,0.96,0.81,0.06,0.2
Voyages Prep - South Queens,0.8,1.0,0.0,0.0,0.64,0.04,1.0,0.0,0.12,0.29,0.0,0.04,1.0,0.0,0.67,0.29,1.0,0.0,0.0,1.0,0.36,0.96,0.0,0.96,0.12,0.0,1.0,1.0,0.0,0.88,,0.0,0.89,0.0,0.71,0.32,0.88,0.96,0.32,0.0,1.0,0.6,0.2,0.24,0.0,1.0,0.1,0.04,0.16
Bayside High School,0.56,0.86,0.03,0.26,0.41,0.11,0.95,0.17,0.45,0.75,0.05,0.2,0.95,0.24,0.3,0.59,0.76,0.05,0.05,0.82,0.36,0.94,0.1,0.75,0.23,0.17,0.72,0.9,0.08,0.82,,0.07,0.72,0.18,0.25,0.48,0.85,0.97,0.33,0.28,0.72,0.42,0.44,0.3,0.07,0.97,0.52,0.06,0.19
Energy Tech High School,0.73,0.87,0.03,0.14,0.36,0.08,0.96,0.11,0.22,0.67,0.04,0.07,0.95,0.21,0.35,0.5,0.82,0.04,0.04,0.89,0.59,0.94,0.1,0.9,0.07,0.08,0.8,0.93,0.06,0.84,,0.06,0.91,0.11,0.33,0.53,0.88,0.97,0.21,0.2,0.8,0.38,0.27,0.13,0.06,0.97,0.62,0.06,0.18
Leaders of Tomorrow,0.69,0.82,0.06,0.17,0.48,0.09,0.94,0.1,0.22,0.44,0.06,0.23,0.94,0.15,0.47,0.34,,0.07,0.06,0.82,0.38,0.94,0.12,0.9,0.34,0.3,,,0.09,0.8,0.91,0.1,0.88,0.18,0.56,0.45,0.84,0.96,0.22,0.24,0.76,0.36,0.31,0.25,0.13,0.94,0.73,0.06,0.28
J.H.S. 054 Booker T. Washington,0.55,0.87,0.04,0.28,0.38,0.2,0.98,0.35,0.52,0.75,0.02,0.22,0.91,0.3,0.31,0.6,,0.07,0.06,0.69,0.62,0.89,0.12,0.9,0.16,0.1,,,0.23,0.85,0.83,0.14,0.86,0.31,0.25,0.53,0.79,0.97,0.35,0.39,0.61,0.38,0.45,0.31,0.04,0.96,0.31,0.11,0.18
Central Park East II,0.79,0.89,0.03,0.09,0.61,0.04,0.97,0.06,0.3,0.58,0.03,0.2,0.91,0.18,0.41,0.36,,0.02,0.05,0.87,0.58,0.99,0.11,0.96,0.22,0.2,,,0.01,0.81,0.93,0.12,1.0,0.13,0.42,0.43,0.86,1.0,0.19,0.21,0.79,0.49,0.21,0.17,0.11,0.97,0.66,0.01,0.18
P.S./I.S. 295,0.62,0.79,0.08,0.25,0.52,0.18,0.93,0.17,0.54,0.72,0.07,0.21,0.92,0.29,0.3,0.54,,0.06,0.12,0.77,0.51,0.94,0.07,0.95,0.36,0.23,,,0.14,0.78,0.9,0.14,0.65,0.23,0.28,0.38,0.86,0.94,0.32,0.36,0.64,0.52,0.38,0.29,0.13,0.92,0.82,0.06,0.22
I.S. 025 Adrien Block,0.56,0.88,0.05,0.24,0.58,0.13,0.95,0.17,0.43,0.6,0.05,0.17,0.93,0.21,0.32,0.47,,0.05,0.05,0.82,0.5,0.93,0.08,0.92,0.2,0.17,,,0.08,0.8,0.88,0.11,0.74,0.18,0.4,0.35,0.83,0.98,0.37,0.29,0.71,0.55,0.44,0.36,0.09,0.95,0.75,0.07,0.19
Special Music School,0.81,0.93,0.0,0.11,0.39,0.04,0.98,0.11,0.2,0.62,0.02,0.09,0.96,0.12,0.46,0.36,0.93,0.0,0.04,0.95,0.89,0.95,0.06,0.84,0.08,0.01,0.9,0.96,0.04,0.89,0.76,0.05,0.95,0.05,0.38,0.59,0.93,0.99,0.2,0.24,0.76,0.42,0.19,0.09,0.03,1.0,0.37,0.05,0.08
"High School for Mathematics, Science and Engineering at City College",0.58,0.89,0.02,0.15,0.18,0.13,0.99,0.16,0.31,0.79,0.01,0.08,0.99,0.27,0.25,0.59,0.86,0.05,0.03,0.77,0.63,0.89,0.07,0.89,0.09,0.08,0.82,0.99,0.11,0.9,,0.11,0.95,0.23,0.21,0.79,0.92,0.98,0.28,0.29,0.71,0.18,0.43,0.25,0.04,0.98,0.73,0.11,0.08
West Bronx Academy for the Future,0.69,0.83,0.04,0.24,0.55,0.11,0.93,0.12,0.39,0.66,0.07,0.23,0.92,0.29,0.36,0.43,0.85,0.07,0.07,0.81,0.37,0.94,0.22,0.9,0.33,0.23,0.84,0.92,0.11,0.79,0.91,0.13,0.87,0.19,0.34,0.39,0.82,0.98,0.3,0.34,0.66,0.46,0.31,0.23,0.15,0.96,0.44,0.06,0.26
J.H.S. 259 William McKinley,0.68,0.89,0.04,0.23,0.57,0.1,0.95,0.14,0.37,0.62,0.05,0.22,0.93,0.18,0.4,0.51,,0.04,0.05,0.84,0.27,0.93,0.09,0.92,0.22,0.18,,,0.07,0.87,0.9,0.09,0.76,0.16,0.38,0.37,0.84,0.97,0.23,0.25,0.75,0.49,0.32,0.25,0.08,0.96,0.86,0.07,0.16
J.H.S. 062 Ditmas,0.64,0.87,0.04,0.22,0.56,0.11,0.95,0.1,0.4,0.59,0.05,0.27,0.91,0.19,0.38,0.47,,0.04,0.06,0.84,0.39,0.94,0.14,0.89,0.31,0.25,,,0.11,0.83,0.89,0.08,0.8,0.16,0.41,0.35,0.84,0.96,0.26,0.25,0.75,0.5,0.36,0.3,0.11,0.96,0.65,0.06,0.19
Abraham Lincoln High School,0.62,0.83,0.02,0.18,0.48,0.09,0.97,0.1,0.29,0.71,0.03,0.22,0.94,0.27,0.37,0.58,0.85,0.04,0.07,0.85,0.32,0.96,0.09,0.82,0.29,0.21,0.82,0.91,0.07,0.77,,0.06,0.88,0.15,0.29,0.44,0.82,0.98,0.33,0.24,0.76,0.49,0.38,0.28,0.11,0.98,0.29,0.04,0.25
High School for Civil Rights,0.76,0.83,0.03,0.11,0.42,0.08,0.97,0.03,0.21,0.59,0.03,0.17,0.94,0.13,0.53,0.51,0.92,0.04,0.03,0.79,0.54,0.93,0.07,0.78,0.22,0.19,0.89,0.95,0.09,0.9,,0.08,0.94,0.21,0.41,0.45,0.85,0.98,0.19,0.29,0.71,0.35,0.24,0.18,0.06,0.97,0.39,0.07,0.11
High School for Excellence and Innovation,0.97,1.0,0.0,0.0,0.13,0.0,1.0,0.0,0.0,0.15,0.0,0.05,1.0,0.0,0.87,0.11,1.0,0.0,0.0,1.0,0.9,1.0,0.0,0.95,0.05,0.05,1.0,1.0,0.0,1.0,,0.0,0.98,0.0,0.85,0.86,0.98,1.0,0.03,0.02,0.98,0.08,0.03,0.03,0.0,1.0,0.41,0.0,0.0
"School for Human Rights, The",0.56,0.69,0.11,0.23,0.46,0.25,0.95,0.16,0.37,0.8,0.05,0.23,0.9,0.4,0.2,0.63,0.81,0.12,0.09,0.65,0.34,0.83,0.13,0.77,0.3,0.23,0.81,0.82,0.16,0.69,,0.16,0.81,0.35,0.2,0.43,0.83,0.95,0.38,0.33,0.67,0.51,0.44,0.36,0.14,0.89,0.68,0.17,0.35
School of the Future High School,0.68,0.86,0.03,0.22,0.44,0.09,0.97,0.13,0.37,0.69,0.03,0.17,0.92,0.21,0.34,0.49,0.66,0.04,0.06,0.8,0.77,0.95,0.06,0.83,0.2,0.16,0.66,0.82,0.09,0.81,0.83,0.11,0.94,0.2,0.31,0.55,0.86,0.97,0.25,0.28,0.72,0.43,0.32,0.2,0.07,0.97,0.66,0.05,0.16
FDNY - Captain Vernon A. Richard High School for Fire and Life Safety,0.63,0.79,0.04,0.17,0.54,0.11,0.89,0.18,0.24,0.64,0.11,0.25,0.91,0.25,0.35,0.43,0.9,0.14,0.1,0.78,0.37,0.91,0.18,0.85,0.22,0.12,0.88,0.93,0.13,0.67,,0.12,0.79,0.23,0.36,0.4,0.78,0.95,0.33,0.25,0.75,0.5,0.37,0.23,0.13,0.96,0.33,0.09,0.39
P.S./M.S. 147 Ronald McNair,0.72,0.79,0.06,0.18,0.45,0.11,0.97,0.13,0.36,0.55,0.03,0.24,0.95,0.21,0.43,0.35,,0.13,0.07,0.81,0.54,0.86,0.06,0.96,0.31,0.23,,,0.13,0.9,0.91,0.07,0.77,0.19,0.45,0.55,0.88,0.96,0.22,0.22,0.78,0.41,0.28,0.26,0.15,0.94,0.62,0.14,0.15
The College Academy,0.91,0.88,0.03,0.08,0.25,0.06,0.99,0.04,0.19,0.69,0.01,0.06,0.95,0.11,0.3,0.59,0.93,0.06,0.05,0.91,0.63,0.94,0.11,0.92,0.07,0.05,0.91,0.95,0.04,0.9,,0.07,0.94,0.09,0.31,0.73,0.9,0.96,0.13,0.15,0.85,0.26,0.09,0.11,0.08,0.97,0.45,0.06,0.08
P.S. 138,0.73,0.8,0.02,0.18,0.66,0.1,0.85,0.08,0.05,0.43,0.15,0.15,0.97,0.1,0.68,0.2,0.88,0.08,0.05,0.95,0.76,0.92,0.14,0.87,0.13,0.13,0.79,0.85,0.09,0.78,1.0,0.2,0.91,0.05,0.58,0.32,0.95,0.97,0.28,0.2,0.8,0.33,0.28,0.15,0.18,0.98,0.15,0.08,0.13
Catherine & Count Basie Middle School 72,0.58,0.77,0.03,0.23,0.46,0.07,0.8,0.15,0.27,0.64,0.2,0.25,0.9,0.34,0.46,0.54,,0.07,0.05,0.76,0.5,0.89,0.32,0.82,0.41,0.28,,,0.08,0.73,0.87,0.23,0.81,0.24,0.36,0.32,0.79,0.98,0.31,0.31,0.69,0.47,0.42,0.24,0.18,0.97,0.26,0.11,0.26
I.S. 171 Abraham Lincoln,0.63,0.87,0.04,0.15,0.51,0.1,0.89,0.1,0.33,0.52,0.11,0.18,0.92,0.18,0.46,0.45,,0.08,0.06,0.86,0.6,0.92,0.17,0.88,0.29,0.2,,,0.05,0.8,0.92,0.1,0.76,0.14,0.48,0.41,0.79,0.96,0.31,0.23,0.77,0.45,0.37,0.33,0.13,0.96,0.71,0.08,0.22
P.S. M079 - Horan School,0.56,0.96,0.0,0.01,0.5,0.02,0.53,0.01,0.02,0.44,0.47,0.02,0.94,0.05,0.5,0.45,0.77,0.0,0.01,0.97,0.87,0.99,0.49,0.98,0.03,0.02,0.95,0.91,0.02,0.78,0.92,0.01,0.99,0.03,0.56,0.79,0.7,1.0,0.13,0.01,0.99,0.47,0.44,0.15,0.01,1.0,0.88,0.01,0.21
Professional Performing Arts High School,0.57,0.86,0.0,0.2,0.37,0.27,1.0,0.11,0.43,0.79,0.0,0.23,0.93,0.41,0.28,0.66,0.77,0.04,0.1,0.63,0.63,0.86,0.0,0.69,0.17,0.03,0.7,0.93,0.24,0.77,,0.17,0.96,0.37,0.21,0.67,0.73,1.0,0.41,0.45,0.55,0.3,0.43,0.3,0.1,1.0,0.05,0.14,0.23
The Urban Assembly School for Law and Justice,0.68,0.83,0.03,0.19,0.48,0.05,0.94,0.11,0.33,0.77,0.06,0.15,0.97,0.3,0.32,0.57,0.91,0.06,0.03,0.91,0.57,0.9,0.15,0.94,0.18,0.12,0.9,0.95,0.06,0.82,,0.06,0.93,0.09,0.23,0.5,0.88,0.97,0.21,0.26,0.74,0.41,0.32,0.2,0.07,0.97,0.6,0.1,0.14
P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School,0.62,0.83,0.04,0.2,0.53,0.15,0.89,0.12,0.22,0.71,0.11,0.24,0.89,0.26,0.31,0.55,,0.07,0.07,0.81,0.54,0.9,0.22,0.95,0.36,0.31,,,0.14,0.81,0.85,0.13,0.85,0.19,0.29,0.36,0.83,0.97,0.27,0.33,0.67,0.47,0.38,0.28,0.12,0.96,0.77,0.1,0.29
Community Action School - MS 258,0.7,0.83,0.06,0.24,0.44,0.05,0.94,0.22,0.34,0.55,0.06,0.22,0.88,0.24,0.33,0.32,,0.06,0.02,0.86,0.29,0.9,0.1,0.89,0.26,0.24,,,0.09,0.84,0.9,0.15,0.93,0.14,0.45,0.44,0.81,0.99,0.27,0.26,0.74,0.46,0.3,0.29,0.11,0.94,0.61,0.1,0.22
Art and Design High School,0.59,0.86,0.03,0.21,0.45,0.12,0.98,0.11,0.35,0.83,0.02,0.23,0.95,0.4,0.26,0.67,0.8,0.05,0.07,0.82,0.48,0.94,0.14,0.74,0.18,0.1,0.78,0.94,0.1,0.79,,0.09,0.92,0.18,0.17,0.5,0.86,0.97,0.35,0.41,0.59,0.39,0.41,0.19,0.05,0.97,0.51,0.06,0.23
P.S. Q233,0.85,0.94,0.03,0.11,0.5,0.07,0.99,0.03,0.06,0.34,0.01,0.13,0.96,0.04,0.67,0.33,0.91,0.02,0.02,0.95,0.73,0.95,0.02,0.97,0.1,0.06,0.83,0.89,0.04,0.83,0.83,0.03,0.92,0.05,0.66,0.53,0.87,1.0,0.14,0.15,0.85,0.3,0.15,0.11,0.04,0.97,0.32,0.05,0.13
Madiba Prep Middle School,0.74,0.88,0.01,0.17,0.47,0.12,0.92,0.19,0.32,0.5,0.08,0.37,0.94,0.17,0.43,0.33,,0.03,0.03,0.84,0.53,0.94,0.15,0.89,0.33,0.29,,,0.05,0.84,0.93,0.09,0.82,0.16,0.5,0.43,0.84,0.96,0.21,0.31,0.69,0.45,0.26,0.26,0.12,0.99,0.52,0.06,0.21
M.S. 129 Academy for Independent Learning and Leadership,0.63,0.78,0.05,0.21,0.51,0.11,0.91,0.14,0.35,0.73,0.09,0.24,0.93,0.28,0.23,0.53,,0.1,0.06,0.82,0.64,0.95,0.16,0.94,0.29,0.24,,,0.09,0.81,0.85,0.2,0.8,0.18,0.28,0.43,0.74,0.94,0.31,0.31,0.69,0.45,0.37,0.32,0.1,0.95,0.42,0.05,0.31
The Christa McAuliffe School\I.S. 187,0.61,0.91,0.02,0.23,0.4,0.1,0.97,0.16,0.33,0.66,0.03,0.1,0.96,0.17,0.34,0.54,,0.03,0.03,0.85,0.85,0.9,0.07,0.99,0.07,0.04,,,0.05,0.88,0.9,0.06,0.88,0.15,0.34,0.51,0.88,0.98,0.29,0.28,0.72,0.38,0.39,0.28,0.03,0.98,0.94,0.1,0.09
KIPP Infinity Charter School,0.65,0.85,0.05,0.11,0.45,0.15,0.99,0.13,0.34,0.67,0.01,0.36,0.95,0.27,0.35,0.48,0.9,0.07,0.05,0.78,0.36,0.9,0.11,0.91,0.32,0.23,0.89,0.95,0.1,0.78,0.92,0.13,0.9,0.22,0.33,0.47,0.83,0.96,0.3,0.29,0.71,0.44,0.35,0.27,0.08,0.95,0.18,0.1,0.23
New Heights Middle School,0.75,0.88,0.06,0.2,0.39,0.11,0.91,0.09,0.33,0.52,0.09,0.38,0.94,0.23,0.48,0.28,,0.05,0.11,0.74,0.41,0.94,0.13,0.86,0.41,0.4,,,0.1,0.78,0.92,0.15,0.9,0.26,0.48,0.53,0.87,0.95,0.23,0.25,0.75,0.38,0.25,0.17,0.16,0.94,0.44,0.06,0.24
P.S. K753 - School for Career Development,0.85,0.91,0.04,0.05,0.3,0.05,0.95,0.05,0.09,0.65,0.05,0.17,0.97,0.08,0.33,0.58,0.95,0.03,0.06,0.96,0.8,0.98,0.08,0.88,0.17,0.16,0.96,0.94,0.05,0.87,1.0,0.05,0.96,0.04,0.35,0.71,0.9,0.98,0.13,0.1,0.9,0.23,0.15,0.11,0.08,0.96,0.59,0.02,0.14
P.S. 109,0.6,0.77,0.1,0.34,0.46,0.16,0.92,0.18,0.38,0.59,0.08,0.35,0.95,0.29,0.34,0.34,,0.07,0.1,0.66,0.42,0.82,0.15,0.9,0.45,0.38,,,0.15,0.81,0.88,0.16,0.73,0.34,0.41,0.37,0.73,0.92,0.36,0.39,0.61,0.45,0.4,0.32,0.18,0.9,0.56,0.18,0.3
Central Park East High School,0.66,0.89,0.02,0.11,0.32,0.04,0.98,0.04,0.16,0.84,0.02,0.06,0.99,0.27,0.31,0.64,0.92,0.03,0.02,0.9,0.67,0.95,0.1,0.96,0.04,0.04,0.92,0.95,0.03,0.87,,0.05,0.94,0.1,0.16,0.65,0.92,0.98,0.23,0.23,0.77,0.25,0.34,0.15,0.03,0.98,0.61,0.05,0.15
DeWitt Clinton High School,0.56,0.85,0.03,0.14,0.47,0.07,0.98,0.09,0.36,0.73,0.02,0.24,0.97,0.33,0.24,0.55,0.85,0.05,0.05,0.84,0.35,0.95,0.1,0.79,0.34,0.3,0.8,0.95,0.11,0.81,,0.06,0.9,0.16,0.27,0.43,0.85,0.97,0.26,0.34,0.66,0.41,0.44,0.17,0.1,0.97,0.2,0.05,0.2
Francis Lewis High School,0.51,0.87,0.05,0.22,0.42,0.14,0.96,0.11,0.4,0.79,0.04,0.24,0.93,0.28,0.3,0.65,0.81,0.05,0.05,0.83,0.58,0.94,0.09,0.74,0.23,0.18,0.77,0.91,0.07,0.79,,0.08,0.89,0.17,0.21,0.5,0.84,0.97,0.36,0.3,0.7,0.4,0.49,0.31,0.06,0.95,0.25,0.06,0.22
J.H.S. 234 Arthur W. Cunningham,0.46,0.76,0.09,0.3,0.65,0.19,0.91,0.29,0.31,0.72,0.09,0.28,0.93,0.34,0.42,0.62,,0.14,0.15,0.78,0.19,0.92,0.19,0.89,0.3,0.28,,,0.22,0.72,0.83,0.19,0.67,0.22,0.28,0.26,0.72,0.92,0.46,0.38,0.62,0.59,0.54,0.48,0.11,0.91,0.04,0.08,0.28
South Richmond High School I.S./P.S. 25,0.73,0.8,0.05,0.18,0.53,0.14,0.89,0.13,0.19,0.44,0.11,0.21,0.89,0.18,0.45,0.32,0.89,0.11,0.08,0.84,0.54,0.89,0.15,0.87,0.32,0.27,0.8,0.93,0.15,0.8,0.86,0.1,0.73,0.16,0.56,0.43,0.86,0.96,0.25,0.27,0.73,0.43,0.27,0.22,0.18,0.95,0.38,0.11,0.2
The Urban Assembly School for Collaborative Healthcare,0.62,0.87,0.02,0.11,0.36,0.08,0.99,0.07,0.31,0.78,0.01,0.18,0.96,0.26,0.39,0.61,0.9,0.03,0.06,0.89,0.45,0.97,0.07,0.82,0.22,0.16,0.9,0.94,0.04,0.83,,0.06,0.95,0.11,0.22,0.54,0.85,0.97,0.18,0.23,0.77,0.33,0.38,0.23,0.08,0.98,0.49,0.03,0.17
P.S./I.S. 113 Anthony J. Pranzo,0.68,0.88,0.02,0.18,0.45,0.08,0.96,0.18,0.45,0.66,0.04,0.24,0.96,0.21,0.33,0.51,,0.07,0.03,0.83,0.57,0.9,0.06,0.95,0.23,0.19,,,0.06,0.9,0.87,0.09,0.7,0.17,0.34,0.48,0.89,0.98,0.17,0.25,0.75,0.32,0.32,0.23,0.08,0.98,0.88,0.1,0.15
Boys and Girls High School,0.67,0.8,0.06,0.09,0.45,0.1,0.97,0.09,0.26,0.64,0.03,0.28,0.97,0.25,0.34,0.49,0.93,0.06,0.04,0.81,0.52,0.9,0.1,0.81,0.32,0.28,0.91,0.95,0.1,0.84,,0.13,0.85,0.19,0.36,0.53,0.83,0.98,0.24,0.21,0.79,0.44,0.33,0.25,0.12,0.94,0.45,0.1,0.23
College Point Collaborative,0.62,0.86,0.05,0.18,0.55,0.11,0.95,0.18,0.31,0.62,0.05,0.26,0.89,0.21,0.3,0.45,,0.06,0.07,0.79,0.54,0.92,0.1,0.9,0.27,0.22,,,0.09,0.78,0.84,0.15,0.76,0.21,0.38,0.39,0.81,0.97,0.29,0.3,0.7,0.45,0.38,0.31,0.14,0.95,0.73,0.08,0.25
The Metropolitan Soundview High School,0.66,0.8,0.02,0.18,0.46,0.07,0.96,0.12,0.3,0.74,0.04,0.21,0.96,0.23,0.25,0.46,0.84,0.04,0.06,0.8,0.39,0.93,0.11,0.82,0.29,0.2,0.74,0.95,0.1,0.8,,0.06,0.88,0.2,0.26,0.46,0.85,0.98,0.27,0.23,0.77,0.48,0.34,0.24,0.1,0.98,0.29,0.07,0.2
