unnamed_column,q31_my_teachers_check_in,q25_in_how_many_of_your,q50_at_this_school_students,q63_if_you_are_a_student,q33_i_feel_like_i_belong,q48_i_feel_safe_in_the_1,q21_in_how_many_of_your_1,q6_at_this_school_we_have,q40_discipline_is_applied,q59_if_you_are_a_student,q46_i_feel_safe_outside_around,q7_in_general_my_teachers,q38_when_my_teachers_tell_1,q51_at_this_school_students,q8_i_feel_that_my_teachers,q9_in_general_my_teachers_1,q57_if_you_are_a_student,q9_in_general_my_teachers,q3_my_school_encourages_and_1,q7_in_general_my_teachers_1,q56_at_this_school_there_1,q48_i_feel_safe_in_the,q53_at_this_school_students,q43_in_how_many_of_your,q41_in_how_many_of_your_1,q14_during_this_school_year_1,q40_discipline_is_applied_1,q34_my_teachers_will_always_1,q19_in_how_many_of_your,q22_in_how_many_of_your_1,q47_i_feel_safe_traveling_1,q45_in_how_many_of_your_1,q28_i_m_learning_a_lot_in_1,q10_i_am_presented_with_1,q61_if_you_are_a_student,q29_my_school_expects_all,q51_at_this_school_students_1,q39_my_classes_at_this_school_1,q22_in_how_many_of_your,q56_at_this_school_there,q55_at_this_school_students_1,q1_most_students_at_this
08X349,0.24,0.27,0.76,0.09,0.15,0.89,0.84,0.04,0.11,0.14,0.18,0.04,0.9,0.85,0.04,0.85,,0.15,0.96,0.96,0.18,0.11,0.78,0.55,0.51,0.66,0.89,0.91,0.16,0.59,0.87,0.82,0.84,0.98,0.18,0.03,0.15,0.81,0.41,0.82,0.17,0.1
31R048,0.46,0.43,0.61,,0.2,0.92,0.84,0.47,0.29,,0.07,0.1,0.81,0.79,0.04,0.67,0.16,0.33,0.81,0.9,0.05,0.08,0.69,0.63,0.46,0.7,0.71,0.8,0.29,0.48,0.91,0.73,0.84,0.92,,0.14,0.21,0.71,0.52,0.95,0.04,0.19
30Q286,0.28,0.25,0.89,0.06,0.19,0.93,0.87,0.06,0.1,0.11,0.1,0.04,0.92,0.95,0.03,0.84,0.16,0.16,0.94,0.96,0.02,0.07,0.93,0.53,0.69,0.66,0.9,0.92,0.19,0.67,0.81,0.87,0.9,0.96,0.11,0.06,0.05,0.88,0.33,0.98,0.04,0.05
12X190,0.21,0.18,0.6,,0.22,0.9,0.85,0.12,0.17,,0.15,0.04,0.87,0.79,0.02,0.79,0.09,0.21,0.95,0.96,0.13,0.1,0.69,0.48,0.65,0.69,0.83,0.87,0.2,0.6,0.8,0.85,0.87,0.97,,0.07,0.21,0.78,0.4,0.87,0.14,0.24
31R605,0.3,0.33,0.94,0.03,0.11,0.98,0.92,0.29,0.04,0.1,0.02,0.02,0.94,0.94,0.02,0.87,,0.13,0.95,0.98,0.02,0.02,0.93,0.28,0.74,0.65,0.96,0.91,0.15,0.72,0.94,0.82,0.89,0.95,0.08,0.01,0.06,0.95,0.28,0.98,0.12,0.03
21K225,0.21,0.24,0.73,,0.1,0.9,0.88,0.24,0.12,,0.11,0.06,0.91,0.86,0.03,0.87,0.07,0.13,0.94,0.94,0.08,0.1,0.78,0.6,0.48,0.56,0.88,0.93,0.16,0.62,0.9,0.83,0.95,0.93,,0.1,0.14,0.79,0.38,0.92,0.11,0.16
31R051,0.43,0.35,0.51,,0.15,0.86,0.86,0.37,0.19,,0.2,0.08,0.86,0.76,0.04,0.76,0.12,0.24,0.86,0.92,0.15,0.14,0.65,0.67,0.45,0.63,0.81,0.85,0.16,0.52,0.87,0.77,0.9,0.92,,0.1,0.24,0.75,0.48,0.85,0.15,0.29
06M209,0.2,0.14,0.69,,0.09,0.89,0.87,0.06,0.12,,0.14,0.04,0.89,0.87,0.03,0.88,0.07,0.12,0.96,0.96,0.1,0.11,0.76,0.51,0.63,0.64,0.88,0.94,0.13,0.67,0.83,0.89,0.94,0.93,,0.05,0.13,0.83,0.33,0.9,0.09,0.13
01M034,0.18,0.28,0.47,,0.24,0.9,0.81,0.18,0.32,,0.12,0.09,0.88,0.72,0.02,0.77,0.15,0.23,0.9,0.91,0.13,0.1,0.59,0.6,0.42,0.72,0.68,0.94,0.31,0.53,0.94,0.75,0.87,0.88,,0.14,0.28,0.72,0.47,0.87,0.08,0.37
24Q005,0.24,0.26,0.75,,0.14,0.89,0.86,0.23,0.16,,0.1,0.07,0.91,0.83,0.04,0.82,0.12,0.18,0.9,0.93,0.09,0.11,0.77,0.57,0.57,0.65,0.84,0.9,0.19,0.58,0.87,0.81,0.85,0.95,,0.09,0.17,0.77,0.42,0.91,0.09,0.11
27Q183,0.22,0.19,0.51,,0.21,0.77,0.88,0.11,0.22,,0.15,0.03,0.88,0.72,0.03,0.82,0.07,0.18,0.94,0.97,0.22,0.23,0.56,0.6,0.49,0.7,0.78,0.9,0.13,0.65,0.85,0.89,0.91,0.94,,0.1,0.28,0.76,0.35,0.78,0.14,0.45
03M256,0.25,0.2,0.89,,0.12,0.95,0.91,0.28,0.11,,0.08,0.06,0.9,0.93,0.02,0.89,0.06,0.11,0.96,0.94,0.03,0.05,0.89,0.52,0.65,0.56,0.89,0.92,0.08,0.62,0.83,0.86,0.92,0.99,,0.03,0.07,0.74,0.38,0.97,0.05,0.05
28Q310,0.3,0.27,0.74,0.09,0.17,0.89,0.79,0.11,0.15,0.17,0.16,0.07,0.9,0.84,0.03,0.83,0.09,0.17,0.95,0.93,0.11,0.11,0.77,0.56,0.56,0.72,0.85,0.86,0.22,0.55,0.84,0.81,0.83,0.96,0.21,0.07,0.16,0.83,0.45,0.89,0.14,0.12
19K404,0.22,0.26,0.69,0.05,0.16,0.86,0.83,0.14,0.21,0.2,0.2,0.07,0.88,0.86,0.02,0.77,0.13,0.23,0.89,0.93,0.16,0.14,0.72,0.5,0.6,0.68,0.79,0.88,0.26,0.6,0.8,0.84,0.84,0.9,0.21,0.04,0.14,0.76,0.4,0.84,0.11,0.2
11X083,0.18,0.22,0.55,,0.06,0.92,0.94,0.17,0.11,,0.08,0.02,0.89,0.77,0.02,0.86,0.11,0.14,0.94,0.98,0.07,0.08,0.72,0.63,0.45,0.52,0.89,0.89,0.12,0.64,0.91,0.86,0.94,0.94,,0.07,0.23,0.82,0.36,0.93,0.1,0.14
08X405,0.26,0.26,0.65,0.1,0.16,0.88,0.79,0.1,0.15,0.2,0.14,0.06,0.91,0.83,0.04,0.82,,0.18,0.93,0.94,0.17,0.12,0.76,0.53,0.6,0.69,0.85,0.94,0.25,0.58,0.9,0.78,0.82,0.94,0.22,0.05,0.17,0.81,0.42,0.83,0.15,0.16
11X509,0.14,0.15,0.76,0.14,0.12,0.86,0.82,0.15,0.11,0.12,0.15,0.12,0.93,0.81,0.08,0.88,,0.12,0.92,0.88,0.19,0.14,0.8,0.61,0.53,0.48,0.89,0.91,0.14,0.73,0.84,0.84,0.91,0.91,0.1,0.07,0.19,0.73,0.27,0.81,0.18,0.12
29Q283,0.25,0.22,0.54,,0.2,0.85,0.92,0.1,0.31,,0.19,0.11,0.81,0.76,0.06,0.82,0.09,0.18,0.94,0.89,0.11,0.15,0.65,0.65,0.46,0.61,0.69,0.81,0.25,0.64,0.9,0.84,0.83,0.9,,0.08,0.24,0.82,0.36,0.89,0.14,0.23
24Q744,0.07,0.0,1.0,0.0,0.0,0.95,0.97,0.08,0.0,0.0,0.05,0.03,1.0,0.97,0.0,0.96,,0.04,1.0,0.97,0.03,0.05,1.0,0.53,0.53,0.27,1.0,1.0,0.03,0.9,0.9,0.9,1.0,1.0,0.0,0.03,0.03,0.97,0.1,0.97,0.03,0.0
03M403,0.27,0.26,0.82,0.07,0.16,0.94,0.86,0.1,0.13,0.22,0.06,0.03,0.91,0.92,0.02,0.79,,0.21,0.96,0.97,0.06,0.06,0.88,0.63,0.55,0.69,0.87,0.91,0.26,0.45,0.92,0.73,0.86,0.94,0.19,0.03,0.08,0.77,0.55,0.94,0.11,0.08
84K367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30Q204,0.23,0.21,0.67,,0.23,0.86,0.82,0.16,0.12,,0.19,0.06,0.87,0.81,0.04,0.79,0.12,0.21,0.9,0.94,0.07,0.14,0.72,0.52,0.59,0.68,0.88,0.9,0.19,0.63,0.87,0.82,0.88,0.94,,0.09,0.19,0.78,0.37,0.93,0.1,0.16
10X225,0.31,0.29,0.69,0.1,0.26,0.88,0.82,0.12,0.17,0.2,0.23,0.06,0.92,0.85,0.03,0.79,0.14,0.21,0.92,0.94,0.09,0.12,0.74,0.57,0.52,0.68,0.83,0.94,0.27,0.54,0.85,0.75,0.82,0.95,0.21,0.05,0.15,0.77,0.46,0.91,0.15,0.19
20K936,0.14,0.1,0.96,,0.04,0.98,0.94,0.13,0.12,,0.05,0.02,0.97,0.97,0.02,0.94,0.11,0.06,0.99,0.98,0.01,0.02,0.97,0.52,0.56,0.3,0.88,0.96,0.05,0.73,0.92,0.92,0.98,0.97,,0.01,0.03,0.9,0.27,0.99,0.01,0.02
30Q145,0.28,0.24,0.76,,0.13,0.89,0.87,0.22,0.14,,0.13,0.06,0.91,0.84,0.03,0.83,0.1,0.17,0.91,0.94,0.11,0.11,0.8,0.61,0.56,0.66,0.86,0.9,0.17,0.6,0.87,0.83,0.91,0.95,,0.07,0.16,0.78,0.4,0.89,0.13,0.14
17K354,0.31,0.32,0.6,,0.22,0.89,0.82,0.06,0.22,,0.16,0.06,0.9,0.9,0.02,0.84,0.13,0.16,0.9,0.94,0.15,0.11,0.68,0.53,0.56,0.67,0.78,0.87,0.14,0.54,0.82,0.88,0.88,0.95,,0.04,0.1,0.78,0.46,0.85,0.08,0.26
22K890,0.14,0.12,0.77,,0.07,0.91,0.92,0.11,0.1,,0.07,0.05,0.94,0.92,0.01,0.87,0.11,0.13,0.94,0.95,0.04,0.09,0.82,0.4,0.67,0.52,0.9,0.92,0.12,0.79,0.89,0.89,0.94,0.96,,0.05,0.08,0.85,0.21,0.96,0.05,0.1
19K218,0.21,0.27,0.61,,0.18,0.86,0.82,0.21,0.18,,0.19,0.06,0.93,0.79,0.03,0.8,0.06,0.2,0.92,0.94,0.09,0.14,0.72,0.57,0.51,0.68,0.82,0.89,0.22,0.5,0.83,0.83,0.89,0.95,,0.05,0.21,0.75,0.5,0.91,0.09,0.27
18K763,0.23,0.23,0.76,,0.12,0.89,0.85,0.23,0.16,,0.13,0.06,0.93,0.91,0.04,0.77,0.06,0.23,0.92,0.94,0.08,0.11,0.81,0.55,0.61,0.71,0.84,0.9,0.15,0.59,0.87,0.85,0.91,0.9,,0.08,0.09,0.83,0.41,0.92,0.04,0.11
09X128,0.16,0.23,0.81,,0.18,0.89,0.82,0.1,0.15,,0.19,0.07,0.88,0.89,0.05,0.8,0.09,0.2,0.92,0.93,0.04,0.11,0.82,0.49,0.62,0.69,0.85,0.92,0.16,0.69,0.84,0.89,0.92,0.95,,0.06,0.11,0.8,0.31,0.96,0.05,0.08
07X298,0.14,0.24,0.71,,0.12,0.86,0.83,0.14,0.16,,0.24,0.07,0.89,0.85,0.07,0.83,0.16,0.17,0.9,0.93,0.11,0.14,0.75,0.51,0.53,0.65,0.84,0.87,0.2,0.67,0.82,0.8,0.93,0.94,,0.08,0.15,0.84,0.33,0.89,0.09,0.18
21K238,0.33,0.28,0.62,,0.2,0.86,0.72,0.43,0.24,,0.14,0.11,0.86,0.75,0.04,0.73,0.13,0.27,0.89,0.89,0.1,0.14,0.69,0.66,0.5,0.74,0.76,0.84,0.25,0.42,0.86,0.74,0.78,0.92,,0.1,0.25,0.69,0.58,0.9,0.09,0.21
84M085,0.1,0.06,0.87,,0.03,1.0,0.93,0.17,0.06,,0.0,0.0,0.97,0.94,0.0,0.97,0.16,0.03,0.97,1.0,0.03,0.0,0.94,0.57,0.7,0.4,0.94,1.0,0.06,0.73,1.0,1.0,0.97,1.0,,0.06,0.06,0.94,0.27,0.97,0.03,0.03
28Q217,0.25,0.26,0.64,,0.14,0.81,0.84,0.11,0.16,,0.19,0.09,0.91,0.76,0.04,0.84,0.11,0.16,0.92,0.91,0.14,0.19,0.71,0.55,0.58,0.63,0.84,0.89,0.19,0.6,0.84,0.81,0.87,0.94,,0.08,0.24,0.8,0.4,0.86,0.16,0.15
02M412,0.23,0.3,0.95,0.08,0.11,0.99,0.87,0.01,0.06,0.24,0.03,0.02,0.89,0.97,0.01,0.76,,0.24,0.94,0.98,0.01,0.01,0.97,0.37,0.62,0.76,0.94,0.89,0.26,0.71,0.94,0.83,0.77,0.96,0.22,0.05,0.03,0.84,0.29,0.99,0.15,0.02
09X361,0.15,0.13,0.78,,0.1,0.95,0.86,0.09,0.15,,0.13,0.03,0.91,0.88,0.02,0.82,0.06,0.18,0.96,0.97,0.07,0.05,0.83,0.57,0.58,0.62,0.85,0.94,0.18,0.62,0.89,0.85,0.95,0.96,,0.07,0.13,0.74,0.38,0.93,0.07,0.13
21K303,0.26,0.28,0.6,,0.15,0.85,0.84,0.21,0.18,,0.2,0.05,0.91,0.75,0.03,0.87,0.13,0.13,0.9,0.95,0.17,0.15,0.66,0.6,0.56,0.61,0.82,0.89,0.19,0.6,0.86,0.8,0.88,0.93,,0.08,0.25,0.81,0.4,0.83,0.18,0.22
11X513,0.16,0.13,0.87,0.11,0.08,0.94,0.93,0.11,0.04,0.07,0.12,0.04,0.95,0.88,0.03,0.88,,0.12,0.96,0.96,0.08,0.06,0.87,0.62,0.58,0.52,0.96,0.95,0.1,0.73,0.86,0.89,0.96,0.97,0.05,0.03,0.12,0.77,0.27,0.92,0.12,0.08
28Q687,0.36,0.33,0.85,0.0,0.23,1.0,0.85,0.15,0.15,0.13,0.42,0.0,0.9,0.95,0.03,0.86,,0.14,0.82,1.0,0.0,0.0,0.9,0.38,0.8,0.63,0.85,0.9,0.2,0.68,0.58,0.75,0.78,0.94,0.05,0.03,0.05,0.93,0.33,1.0,0.03,0.05
21K468,0.45,0.34,0.55,0.11,0.07,0.85,0.83,0.27,0.31,0.17,0.07,0.04,0.86,0.83,0.0,0.78,0.09,0.22,0.9,0.96,0.11,0.15,0.69,0.55,0.55,0.66,0.69,0.76,0.28,0.45,0.79,0.83,0.76,0.96,0.17,0.07,0.17,0.76,0.55,0.89,0.25,0.28
03M076,0.26,0.28,0.78,,0.09,0.96,0.91,0.1,0.23,,0.08,0.04,0.89,0.93,0.02,0.91,0.11,0.09,0.94,0.96,0.07,0.04,0.78,0.49,0.56,0.74,0.77,0.94,0.21,0.63,0.96,0.91,0.91,0.96,,0.02,0.07,0.87,0.37,0.93,0.07,0.12
02M394,0.06,0.08,0.96,0.08,0.09,0.91,0.89,0.14,0.08,0.05,0.14,0.06,0.95,0.96,0.04,0.92,,0.08,0.96,0.94,0.02,0.09,0.97,0.6,0.6,0.4,0.92,0.98,0.07,0.85,0.84,0.97,0.98,0.94,0.02,0.01,0.04,0.82,0.15,0.98,0.04,0.03
11X290,0.26,0.36,0.66,0.09,0.21,0.84,0.79,0.11,0.17,0.11,0.2,0.08,0.89,0.82,0.05,0.79,,0.21,0.87,0.92,0.23,0.16,0.76,0.56,0.53,0.68,0.83,0.9,0.27,0.57,0.8,0.83,0.82,0.93,0.14,0.06,0.18,0.79,0.43,0.77,0.26,0.2
02M411,0.25,0.33,0.85,0.05,0.12,0.97,0.87,0.07,0.17,0.17,0.03,0.1,0.91,0.88,0.07,0.87,,0.13,0.86,0.9,0.02,0.03,0.88,0.35,0.64,0.66,0.83,0.92,0.18,0.69,0.89,0.81,0.84,0.88,0.09,0.05,0.13,0.87,0.31,0.98,0.13,0.14
06M540,0.35,0.36,0.65,0.08,0.23,0.9,0.81,0.15,0.18,0.16,0.22,0.1,0.87,0.81,0.08,0.79,,0.21,0.88,0.9,0.21,0.1,0.78,0.57,0.5,0.65,0.82,0.85,0.23,0.56,0.8,0.67,0.78,0.89,0.13,0.1,0.19,0.79,0.44,0.79,0.24,0.16
20K163,0.22,0.13,0.82,,0.11,0.94,0.92,0.25,0.11,,0.06,0.01,0.92,0.91,0.01,0.86,0.05,0.14,0.96,0.99,0.07,0.06,0.8,0.66,0.53,0.43,0.89,0.93,0.07,0.68,0.95,0.86,0.91,0.96,,0.11,0.09,0.87,0.32,0.93,0.07,0.06
13K595,0.26,0.37,0.93,0.04,0.12,0.99,0.88,0.02,0.03,0.13,0.06,0.03,0.91,0.97,0.02,0.85,,0.15,0.95,0.97,0.02,0.01,0.92,0.38,0.68,0.76,0.97,0.86,0.17,0.5,0.95,0.83,0.85,0.97,0.14,0.02,0.03,0.92,0.5,0.98,0.06,0.05
14K558,0.22,0.22,0.85,0.06,0.1,0.92,0.87,0.17,0.09,0.09,0.08,0.04,0.91,0.91,0.01,0.84,,0.16,0.96,0.96,0.09,0.08,0.86,0.55,0.49,0.65,0.91,0.94,0.18,0.53,0.93,0.83,0.89,0.97,0.1,0.02,0.09,0.86,0.47,0.91,0.11,0.05
10X015,0.23,0.26,0.63,,0.17,0.87,0.76,0.28,0.24,,0.16,0.11,0.83,0.84,0.1,0.77,0.11,0.23,0.89,0.89,0.07,0.13,0.69,0.68,0.56,0.71,0.76,0.83,0.27,0.51,0.84,0.76,0.81,0.91,,0.06,0.16,0.68,0.49,0.93,0.1,0.13
10X086,0.02,0.05,0.88,,0.05,0.92,0.9,0.13,0.07,,0.0,0.03,0.98,0.93,0.0,0.97,0.1,0.03,0.93,0.98,0.05,0.08,0.85,0.46,0.51,0.39,0.93,1.0,0.05,0.61,0.92,0.93,1.0,1.0,,0.07,0.07,0.95,0.39,0.95,0.0,0.08
13K527,0.23,0.2,0.73,0.08,0.2,0.92,0.85,0.04,0.15,0.14,0.08,0.05,0.9,0.86,0.02,0.87,0.1,0.13,0.98,0.95,0.08,0.08,0.84,0.51,0.61,0.69,0.85,0.93,0.21,0.7,0.92,0.88,0.86,0.96,0.14,0.06,0.14,0.79,0.3,0.92,0.1,0.11
31R061,0.29,0.32,0.58,,0.12,0.87,0.84,0.24,0.21,,0.17,0.09,0.87,0.82,0.05,0.76,0.11,0.24,0.9,0.91,0.11,0.13,0.72,0.67,0.46,0.64,0.79,0.87,0.2,0.51,0.85,0.79,0.9,0.91,,0.12,0.18,0.72,0.49,0.89,0.14,0.27
17K394,0.31,0.35,0.56,,0.32,0.93,0.83,0.23,0.28,,0.07,0.09,0.79,0.76,0.09,0.76,0.12,0.24,0.88,0.91,0.13,0.07,0.7,0.66,0.48,0.64,0.72,0.84,0.29,0.59,0.89,0.87,0.85,0.89,,0.15,0.24,0.8,0.41,0.87,0.1,0.4
19K663,0.25,0.37,0.58,,0.29,0.8,0.79,0.24,0.19,,0.23,0.04,0.86,0.85,0.05,0.81,0.1,0.19,0.9,0.96,0.12,0.2,0.69,0.47,0.53,0.67,0.81,0.86,0.21,0.48,0.86,0.86,0.85,0.92,,0.09,0.15,0.71,0.52,0.88,0.05,0.28
28Q350,0.19,0.18,0.81,0.06,0.12,0.89,0.87,0.12,0.09,0.14,0.09,0.06,0.92,0.87,0.02,0.86,,0.14,0.92,0.94,0.11,0.11,0.85,0.48,0.57,0.66,0.91,0.92,0.18,0.65,0.85,0.85,0.88,0.94,0.13,0.04,0.13,0.87,0.35,0.89,0.16,0.08
04M825,0.21,0.19,0.79,,0.11,0.88,0.82,0.21,0.17,,0.12,0.06,0.89,0.87,0.03,0.81,0.14,0.19,0.92,0.94,0.06,0.12,0.74,0.63,0.58,0.66,0.83,0.89,0.13,0.51,0.91,0.81,0.9,0.97,,0.04,0.13,0.74,0.49,0.94,0.06,0.21
02M565,0.0,0.07,0.88,0.01,0.06,0.99,0.92,0.04,0.05,0.03,0.01,0.04,0.98,0.94,0.05,0.89,,0.11,0.96,0.96,0.07,0.01,0.93,0.31,0.59,0.46,0.95,0.96,0.13,0.91,0.97,0.91,0.95,0.95,0.05,0.05,0.06,0.94,0.09,0.93,0.19,0.06
21K096,0.22,0.24,0.8,,0.13,0.89,0.85,0.13,0.14,,0.13,0.05,0.9,0.89,0.04,0.84,0.08,0.16,0.93,0.95,0.06,0.11,0.85,0.59,0.53,0.66,0.86,0.89,0.14,0.57,0.89,0.81,0.91,0.93,,0.07,0.11,0.82,0.43,0.94,0.05,0.12
05M362,0.4,0.37,0.81,0.04,0.2,0.94,0.87,0.08,0.17,0.21,0.21,0.03,0.88,0.94,0.02,0.73,0.19,0.27,0.82,0.97,0.01,0.06,0.84,0.4,0.66,0.75,0.83,0.8,0.19,0.51,0.85,0.76,0.85,0.95,0.14,0.05,0.06,0.85,0.49,0.99,0.13,0.06
02M407,0.0,0.0,0.86,,0.0,1.0,0.71,0.29,0.17,,0.0,0.29,1.0,1.0,0.14,0.71,,0.29,0.71,0.71,0.0,0.0,0.86,0.29,0.57,0.57,0.83,1.0,0.14,0.57,1.0,1.0,1.0,0.71,,0.29,0.0,1.0,0.43,1.0,0.29,0.29
11X180,0.36,0.29,0.75,,0.18,0.89,0.85,0.19,0.21,,0.14,0.06,0.87,0.9,0.03,0.75,0.09,0.25,0.87,0.94,0.07,0.11,0.76,0.58,0.56,0.74,0.79,0.85,0.16,0.53,0.9,0.82,0.86,0.93,,0.07,0.1,0.74,0.47,0.93,0.07,0.16
75K811,0.11,0.3,1.0,,0.11,1.0,1.0,0.0,0.11,0.17,0.0,0.0,0.89,1.0,0.0,1.0,,0.0,1.0,1.0,0.11,0.0,1.0,0.5,0.67,0.3,0.89,1.0,0.2,0.7,1.0,0.89,1.0,0.88,,0.0,0.0,0.89,0.3,0.89,0.0,0.0
27Q207,0.3,0.22,0.72,,0.21,0.92,0.89,0.29,0.22,,0.13,0.1,0.82,0.87,0.1,0.75,0.21,0.25,0.87,0.9,0.09,0.08,0.8,0.59,0.55,0.61,0.78,0.77,0.22,0.72,0.89,0.83,0.86,0.88,,0.14,0.13,0.69,0.28,0.91,0.07,0.17
28Q099,0.25,0.13,0.73,,0.09,0.97,0.91,0.49,0.17,,0.0,0.1,0.93,0.87,0.06,0.88,0.33,0.12,0.91,0.9,0.07,0.03,0.84,0.6,0.52,0.49,0.83,0.93,0.07,0.6,0.97,0.89,0.95,0.98,,0.09,0.13,0.74,0.4,0.93,0.05,0.04
84K593,0.19,0.38,0.81,,0.13,1.0,0.75,0.08,0.07,,0.0,0.07,1.0,0.94,0.06,0.94,0.0,0.06,0.92,0.93,0.06,0.0,0.81,0.4,0.67,0.25,0.93,0.93,0.25,0.81,1.0,0.93,0.81,0.93,,0.0,0.06,1.0,0.19,0.94,0.0,0.0
21K620,0.24,0.29,0.86,0.1,0.13,1.0,0.86,0.08,0.11,0.16,0.0,0.03,0.96,0.93,0.01,0.89,,0.11,0.95,0.97,0.07,0.0,0.9,0.59,0.49,0.73,0.89,0.92,0.21,0.57,0.98,0.79,0.89,0.99,0.09,0.03,0.07,0.85,0.43,0.93,0.1,0.06
21K572,0.17,0.23,0.91,0.09,0.14,0.82,0.83,0.06,0.09,0.09,0.14,0.06,0.91,0.94,0.06,0.89,,0.11,0.92,0.94,0.06,0.18,0.89,0.46,0.6,0.61,0.91,0.92,0.23,0.69,0.82,0.83,0.83,0.94,0.09,0.14,0.06,0.89,0.31,0.94,0.17,0.08
14K477,0.27,0.34,0.77,0.2,0.15,0.87,0.75,0.11,0.14,0.22,0.16,0.08,0.86,0.89,0.08,0.72,,0.28,0.86,0.92,0.12,0.13,0.87,0.68,0.55,0.65,0.86,0.88,0.33,0.47,0.79,0.69,0.76,0.88,0.26,0.06,0.11,0.76,0.53,0.88,0.11,0.13
10X045,0.26,0.21,0.63,,0.2,0.87,0.85,0.17,0.22,,0.19,0.06,0.88,0.85,0.03,0.76,0.07,0.24,0.9,0.94,0.15,0.13,0.71,0.61,0.55,0.66,0.78,0.88,0.16,0.62,0.86,0.86,0.89,0.92,,0.09,0.15,0.72,0.38,0.85,0.14,0.23
18K629,0.23,0.3,0.81,0.15,0.29,0.82,0.79,0.17,0.17,0.23,0.21,0.09,0.89,0.87,0.05,0.82,,0.18,0.87,0.91,0.15,0.18,0.78,0.53,0.59,0.7,0.83,0.87,0.31,0.57,0.81,0.77,0.82,0.93,0.21,0.08,0.13,0.79,0.43,0.85,0.16,0.18
19K422,0.24,0.17,0.72,0.0,0.15,0.93,0.87,0.07,0.22,0.0,0.24,0.07,0.98,0.87,0.07,0.93,0.08,0.07,0.9,0.93,0.11,0.07,0.78,0.53,0.63,0.6,0.78,0.89,0.14,0.65,0.73,0.91,0.91,0.95,0.14,0.11,0.13,0.83,0.35,0.89,0.04,0.13
19K760,0.26,0.21,0.73,,0.14,0.87,0.83,0.17,0.15,,0.13,0.07,0.9,0.87,0.03,0.8,0.05,0.2,0.95,0.93,0.15,0.13,0.76,0.53,0.63,0.67,0.85,0.95,0.19,0.58,0.9,0.87,0.92,0.96,,0.07,0.13,0.75,0.42,0.85,0.12,0.11
01M650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28Q325,0.1,0.14,0.75,0.08,0.14,0.94,0.88,0.08,0.09,0.13,0.11,0.04,0.95,0.85,0.02,0.93,,0.07,0.96,0.96,0.12,0.06,0.83,0.52,0.59,0.67,0.91,0.95,0.15,0.72,0.86,0.89,0.89,0.96,0.17,0.03,0.15,0.88,0.28,0.88,0.15,0.1
32K291,0.26,0.26,0.67,,0.22,0.85,0.82,0.29,0.19,,0.24,0.15,0.9,0.81,0.08,0.89,0.14,0.11,0.88,0.85,0.12,0.15,0.71,0.67,0.48,0.58,0.81,0.88,0.17,0.56,0.83,0.82,0.9,0.91,,0.09,0.19,0.7,0.44,0.88,0.13,0.2
32K562,0.16,0.18,0.82,,0.11,0.94,0.84,0.1,0.14,,0.09,0.06,0.9,0.89,0.02,0.87,0.05,0.13,0.97,0.94,0.08,0.06,0.8,0.56,0.55,0.6,0.86,0.95,0.16,0.7,0.91,0.84,0.94,0.98,,0.07,0.11,0.78,0.3,0.92,0.06,0.09
03M250,0.11,0.13,0.66,,0.12,0.89,0.86,0.06,0.14,,0.07,0.04,0.92,0.86,0.04,0.79,0.05,0.21,0.96,0.96,0.11,0.11,0.79,0.56,0.66,0.59,0.86,0.93,0.23,0.55,0.96,0.9,0.96,0.94,,0.05,0.14,0.83,0.45,0.89,0.1,0.16
17K382,0.23,0.22,0.71,0.09,0.16,0.88,0.83,0.21,0.19,0.15,0.16,0.05,0.92,0.88,0.02,0.83,0.11,0.17,0.97,0.95,0.15,0.12,0.79,0.59,0.56,0.67,0.81,0.87,0.27,0.58,0.85,0.85,0.88,0.97,0.19,0.05,0.12,0.8,0.42,0.85,0.13,0.16
17K181,0.26,0.19,0.56,,0.14,0.8,0.83,0.21,0.24,,0.23,0.08,0.87,0.76,0.02,0.82,0.08,0.18,0.81,0.92,0.15,0.2,0.59,0.62,0.37,0.63,0.76,0.87,0.16,0.62,0.85,0.87,0.94,0.92,,0.12,0.24,0.67,0.38,0.85,0.11,0.39
75X186,0.2,0.23,0.51,,0.34,0.79,0.72,0.21,0.35,,0.27,0.24,0.86,0.6,0.1,0.82,0.12,0.18,0.8,0.76,0.33,0.21,0.49,0.52,0.46,0.56,0.65,0.8,0.22,0.63,0.82,0.85,0.83,0.82,,0.17,0.4,0.74,0.37,0.67,0.3,0.3
09X022,0.19,0.17,0.69,,0.15,0.81,0.84,0.14,0.17,,0.18,0.09,0.88,0.85,0.04,0.85,0.09,0.15,0.92,0.91,0.09,0.19,0.75,0.66,0.56,0.6,0.83,0.93,0.12,0.62,0.8,0.88,0.91,0.91,,0.07,0.15,0.7,0.38,0.91,0.07,0.19
18K366,0.34,0.36,0.53,,0.3,0.79,0.77,0.21,0.39,,0.36,0.11,0.73,0.82,0.06,0.69,0.18,0.31,0.72,0.89,0.14,0.21,0.6,0.57,0.48,0.77,0.61,0.72,0.31,0.42,0.79,0.72,0.83,0.91,,0.09,0.18,0.72,0.58,0.86,0.13,0.49
