location_name,_7_superintendent,_11_principal,_20_principal,_14_principal,location_category,_9_removals,_5_superintendent,_9_expulsions,_14_superintendent,_5_principal,_6_removals,_18_principal,_17_expulsions,_12_superintendent,_10_superintendent,_18_removals,_7_expulsions,_16_expulsions,_20_expulsions,_6_principal,_13_removals,_8_removals,_20_removals,_6_superintendent,_19_removals,_10_principal,_19_superintendent,_9_principal,_10_expulsions,_15_principal,_21_principal
P.S. 66,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Millennium High School,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 154 Harriet Tubman,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,10,R,R,R,R,R,R,R,R,R
P.S. 024,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Frederick Douglass Academy,R,R,R,R,Secondary School,R,R,R,10,R,R,R,R,10,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Academy of Public Relations,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,8,R,R,R,R,R,R,R,R,R,R
P.S. 212 Midtown West,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 111 Adolph S. Ochs,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
"P.S. 279 Captain Manuel Rivera, Jr.",R,R,R,R,K-8,7,R,R,R,R,R,R,R,R,R,R,R,R,R,R,17,R,R,R,R,R,R,R,R,R,R
P.S. 189,R,6,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
I.S. X303 Leadership & Community Service,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S./M.S. 004 Crotona Park West,R,R,R,R,K-8,6,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
The Urban Assembly Unison School,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,6,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Central Park East I,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
University Heights Secondary School,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
M.S. M245 The Computer School,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Bronx High School of Business,R,R,R,7,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,17,R
P.S. 157 Grove Hill,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
J.H.S. 125 Henry Hudson,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,10,R,R,R,R,9,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Urban Assembly Maker Academy,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,9,R
Central Park East High School,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 249 The Caton,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 108 Assemblyman Angelo Del Toro Educational C,R,R,R,R,K-8,R,R,R,6,R,13,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Collegiate Institute for Math and Science,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,10,R
Jacob Riis School,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
High School for Civil Rights,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,24,R
Urban Assembly School for Applied Math and Science,R,R,R,6,Secondary School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,12,R
P.S. 091 Bronx,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,12,R,R,R,R,R,R,R,R,R
Bronx Regional High School,R,R,R,R,High school,R,R,R,R,R,R,13,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Millennium Brooklyn HS,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
DreamYard Preparatory School,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Richard R. Green High School of Teaching,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
J.H.S. 218 James P. Sinnott,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,9,R,R,R,R,8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 335 Granville T. Woods,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
M.S. M247 Dual Language Middle School,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Wadleigh Secondary School for the Performing & Vis,R,R,R,R,Secondary School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Manhattan Comprehensive Night and Day High School,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
International High School at Union Square,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Washington Heights Academy,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
East New York Middle School of Excellence,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,6,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Spring Creek Community School,R,R,R,9,Secondary School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,7,R
P.S. 100 Isaac Clason,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Alfred E. Smith Career and Technical Education Hig,R,R,R,10,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,11,R
Mott Hall III,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
J.H.S. 050 John D. Wells,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
I.S. 219 New Venture School,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 178 - Dr. Selman Waksman,R,R,R,R,Elementary,6,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Battery Park City School,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,12,R,R,R,R,R,R,R,R,R,R
P.S. 120 Carlos Tapia,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
High School of Language and Innovation,R,R,R,12,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,14,R
I.S. 285 Meyer Levin,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,6,R,R,R,R,7,R,R,R,R,R,R,26,R,R,R,R,R,R,R,R,R,R
Clara Barton High School,R,R,R,R,High school,R,R,R,R,R,R,10,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,21,R
P.S. 161 Pedro Albizu Campos,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Community Action School - MS 258,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,16,R,R,R,R,R,R,R,R,R,R
M.S. 390,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 191 Paul Robeson,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
"Ballet Tech, NYC Public School for Dance",R,R,R,R,K-8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 112 Bronxwood,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
School for Global Leaders,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Alfred E. Smith Campus YABC,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Manhattan Village Academy,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S./M.S. 031 The William Lloyd Garrison,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 277,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 257 John F. Hylan,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
The Fresh Creek School,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Eagle Academy for Young Men,R,R,R,7,Secondary School,R,R,R,6,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,6,R
Yorkville East Middle School,R,R,R,6,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
"Brooklyn Latin School, The",R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 75 School of Research and Discovery,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Academy of Arts and Letters,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
"Bronx School for Law, Government and Justice",R,13,R,15,Secondary School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,9,R
P.S. 123 Mahalia Jackson,R,R,R,R,K-8,R,R,R,R,R,R,R,R,7,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Washington Heights Expeditionary Learning School,R,R,R,7,K-12 all grades,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Manhattan / Hunter Science High School,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
J.H.S. 052 Inwood,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Urban Science Academy,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,7,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
A. Philip Randolph Campus High School,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
John Jay School for Law,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Mosaic Preparatory Academy,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 452,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 235 Janice Marie Knight School,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,6,R,R,R,R,R
Brooklyn Academy High School,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
"M.S. 267 Math, Science & Technology",R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
"Facing History School, The",R,R,R,11,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,11,R
KAPPA IV,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Independence High School,R,R,R,R,High school,R,R,R,R,R,R,6,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 072 Dr. William Dorney,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Milton Fein School,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 007 Abraham Lincoln,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Comprehensive Model School Project M.S. 327,R,7,R,22,Secondary School,R,R,R,R,R,R,10,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,34,R
P.S. 209,R,R,R,R,Early Childhood,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Young Leaders Elementary School,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
High School for Excellence and Innovation,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Bronx High School for the Visual Arts,R,R,R,7,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,12,R
Brooklyn Community Arts & Media High School (BCAM),R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
The Maurice Sendak Community School,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 244 Richard R. Green,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
The Urban Assembly School for Global Commerce,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 169 Sunset Park,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 161 Juan Ponce De Leon School,R,R,R,R,Elementary,6,R,R,R,R,11,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
River East Elementary,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 295,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Sixth Avenue Elementary School,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Morris Academy for Collaborative Studies,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,8,R
Crotona Academy High School,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 170,R,R,R,R,Early Childhood,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 230 Doris L. Cohen,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 290 Manhattan New School,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
M.S. 224 Manhattan East School for Arts & Academic,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
East Brooklyn Community High School,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Creston Academy,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 241 Emma L. Johnston,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Lyons Community School,R,9,R,20,Secondary School,R,R,R,11,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,25,R
P.S. 182,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Fannie Lou Hamer Freedom High School,R,R,R,24,High school,R,R,R,R,R,R,14,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,R
Eleanor Roosevelt High School,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
J.H.S. 104 Simon Baruch,R,R,R,8,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 055 Benjamin Franklin,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Kennedy Yabc,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Academy of Innovative Technology,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,10,R
P.S. 153 Adam Clayton Powell,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
West Prep Academy,R,6,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,11,R,R,R,R,R,R,R,R,R,R
P.S. 128 Audubon,R,R,R,R,Elementary,R,R,R,R,R,8,R,R,R,R,R,R,R,R,R,R,13,R,R,R,R,R,R,R,R,R
T. Roosevelt Evening Hs T/R,R,R,R,R,Ungraded,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Professional Performing Arts High School,R,R,R,R,Secondary School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 112 Jose Celso Barbosa,R,R,R,R,Early Childhood,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 001 The Bergen,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Brownsville Academy High School,R,R,R,R,High school,R,R,R,R,R,R,6,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Academy for College Preparation and Career Explora,R,R,R,14,Secondary School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,25,R
P.S. 044 David C. Farragut,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Cornerstone Academy for Social Action Middle Schoo,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
South Brooklyn Community High School,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Young Women's Leadership School of the Bronx,R,7,R,R,Secondary School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Lucero Elementary School,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 270 Johann DeKalb,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
The Windsor Terrace School,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Dr. Jacqueline Peek-Davis School,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Brooklyn Frontiers High School,R,R,R,R,High school,R,R,R,R,R,R,8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
"Celia Cruz Bronx High School of Music, The",R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 309 The George E. Wibecan Preparatory Academy,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
"Archimedes Academy for Math, Science and Technolog",R,R,R,16,Secondary School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
New Directions Secondary School,R,R,R,6,Secondary School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,15,R
P.S. 116 Mary Lindley Murray,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
N.Y.C. Museum School,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Bronx Health Sciences High School,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 134 George F. Bristow,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
The Williamsburg High School of Art and Technology,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,9,R
P.S. 098 Shorac Kappock,R,R,R,R,Elementary,R,R,R,R,R,10,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
English Language Learners and International Suppor,R,R,R,R,High school,R,R,R,R,R,R,6,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 105 Sen Abraham Bernstein,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Bronx Design and Construction Academy,R,R,R,17,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,28,R
Conselyea Preparatory School,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. X088 - S. Silverstein Little Sparrow School,R,R,R,R,Early Childhood,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
The Children's School,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 110 Florence Nightingale,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Theatre Arts Production Company School,R,R,R,R,Secondary School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,7,R
Urban Academy Laboratory High School,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Brooklyn Technical High School,R,R,R,9,High school,R,R,R,7,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,19,R
Fort Greene Preparatory Academy,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Norma Adams Clemons Academy,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
I.S. 339,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
M.S. 113 Ronald Edmonds Learning Center,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,13,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 068 Bronx,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,10,R,R,R,R,R
The STAR Academy - P.S.63,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
New Heights Middle School,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
East Bronx Academy for the Future,R,R,R,6,Secondary School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,8,R
