dbn,school_name,ell_bengali_1,ell_french_1,ela_level_2_1,ell_other_2,grade_7,black_1,ell_spanish_2,special_program,math_level_1_1,ell_haitian_creole_2,ell_chinese_1,male_1,ela_level_4_1,hispanic_1,ela_level_3_2,grade_3,ela_l3_l4_1,ela_level_2_2,ela_level_4_2,grade_1,ela_l3_l4_2,total_enrollment
06M143,J.H.S. 143 Eleanor Roosevelt,No Data,No Data,s,No Data,s,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s
04M372,Esperanza Preparatory Academy,No Data,No Data,25,No Data,26,s,No Data,Dual Language,33,No Data,No Data,26,s,48,s,No Data,s,51.0%,s,No Data,s,50
16K627,Brighter Choice Community School,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,s,No Data,9
24Q014,P.S. 014 Fairview,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
02M131,M.S. 131,No Data,No Data,s,No Data,s,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,No Data,s,s,s,No Data,s,6
14K018,P.S. 018 Edward Bush,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,7,No Data,No Data,No Data,No Data,No Data,s,No Data,10
21K281,I.S. 281 Joseph B Cavallaro,No Data,No Data,25,No Data,24,s,No Data,Dual Language,9,No Data,No Data,33,s,18,s,No Data,s,43.9%,s,No Data,s,69
14K380,P.S. 380 John Wayne Elementary,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,10,No Data,16,No Data,No Data,No Data,No Data,No Data,No Data,No Data,17
13K133,P.S. 133 William A. Butler,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,13,s,12,s,s,s,s,s,s,s,20
24Q081,P.S. 81Q Jean Paul Richter,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
14K084,P.S. 084 Jose De Diego,No Data,No Data,58,No Data,s,s,No Data,Dual Language,38,No Data,No Data,120,18,167,34.3%,74,75,34.9%,10.8%,46,45.2%,270
24Q007,P.S. 007 Louis F. Simeone,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,67,s,104,73.7%,20,s,s,s,48,s,132
19K065,P.S. 065,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,s,s,s,s,No Data,s,s
13K009,P.S. 009 Teunis G. Bergen,No Data,No Data,10,No Data,No Data,35,No Data,Dual Language,7,No Data,No Data,29,s,18,31.3%,23,s,31.3%,s,s,s,63
24Q016,P.S. Q016 The Nancy DeBenedittis School,s,s,12,s,No Data,s,100.0%,Dual Language,s,s,s,53,s,104,s,13,s,48.0%,s,28,s,105
06M311,Amistad Dual Language School,s,s,20,s,s,s,100.0%,Dual Language,28,s,s,31,s,58,s,17,s,40.0%,s,s,s,58
02M001,P.S. 001 Alfred E. Smith,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,10,No Data,s,No Data,No Data,No Data,No Data,No Data,s,No Data,23
10X046,P.S. 046 Edgar Allan Poe,No Data,No Data,27,No Data,No Data,s,No Data,Dual Language,39,No Data,No Data,58,s,134,s,33,s,35.1%,s,14,s,136
06M210,P.S./I.S. 210 - Twenty-first Century Academy for C,No Data,No Data,44,No Data,16,s,No Data,Dual Language,38,No Data,No Data,71,s,137,s,19,s,50.6%,s,22,s,138
15K169,P.S. 169 Sunset Park,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
12X092,P.S. 092 Bronx,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,10,No Data,No Data,19,s,40,s,No Data,s,s,s,No Data,s,42
08X182,P.S. 182,s,s,s,s,No Data,s,s,Dual Language,s,s,s,s,s,s,s,s,s,s,s,No Data,s,s
07X161,P.S. 161 Juan Ponce De Leon School,No Data,No Data,16,No Data,No Data,s,No Data,Dual Language,15,No Data,No Data,41,s,66,s,15,s,57.1%,s,11,s,67
20K176,P.S. 176 Ovington,s,s,No Data,s,No Data,s,s,Dual Language,No Data,s,s,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
