dbn,q1_2,q16_c5_r1,q15_c9_r3,q17_c9_r1,q16_c6_r3,q17_c5_r2,q17_c8_r4,q16_c1_r4,q17_c8_r3,q14_c6_r2,q14_c8_r4,q14_c3_r4,q15_c11_r2,q17_c10_r2,q14_c11_r2,q12_r1_c1,q16_c2_r1,q12_r2_c3,q17_c7_r3,q15_c4_r1,q8_2,q14_c11_r4,q17_c7_r2,q15_c8_r2,q16_c9_r4,q15_c9_r1,q17_c8_r2,q9_r3_c2,q14_c7_r4,q15_c6_r2,q10_11,q16_c8_r2,q16_c6_r4,q10_16,q15_c10_r1,q17_c5_r4,q15_c1_r2,q16_c10_r1,q16_c3_r1,q14_c1_r2,q14_c7_r3,q16_c12_r4,q15_c3_r3,q15_c8_r1,q10_12,q17_c1_r3,q16_c9_r3,q17_c4_r1,q17_c4_r4,q15_c11_r4,q14_c11_r3,q10_4,q16_c3_r4,q12_r1_c4,q2_1,q13_c1_r4,q9_r4_c1,q14_c1_r1
05M200,Peck,181-190 hrs,,,91-100 hrs,0 hrs,,181-190 hrs,,,,91-100 hrs,,,,1,181-190 hrs,0,,91-100 hrs,,,,,,,,1.0,,91-100 hrs,0,,181-190 hrs,0,,191-200 hrs,91-100 hrs,,181-190 hrs,11-20 hrs,,,11-20 hrs,,1,91-100 hrs,,91-100 hrs,191-200 hrs,,,1,181-190 hrs,0,0,91-100 hrs,0.0,91-100 hrs
07X043,Waye,0 hrs,,,,,,1-10 hrs,,,,0 hrs,,,,0,0 hrs,0,,0 hrs,,,,,,,,0.0,,,0,,,0,,,31-40 hrs,,0 hrs,31-40 hrs,,,11-20 hrs,,0,0 hrs,,0 hrs,1-10 hrs,,,1,1-10 hrs,0,0,0 hrs,0.0,0 hrs
02M255,Sarian,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,0,,,,,,,0,,0,0,,1.0,
03M334,Schliessman,,,,,,,11-20 hrs,,,,,,,,0,0 hrs,0,,,2.0,,,,,,,0.0,,,1,,,0,,,1-10 hrs,,,1-10 hrs,,,,,0,0 hrs,,,,,,1,,0,0,1-10 hrs,1.0,0 hrs
08X048,Cardona,61-70 hrs,,,0 hrs,0 hrs,,0 hrs,,0 hrs,,0 hrs,,,,0,61-70 hrs,0,0 hrs,0 hrs,,,0 hrs,0 hrs,,,,0.0,,0 hrs,0,,0 hrs,0,,0 hrs,0 hrs,,51-60 hrs,0 hrs,,,0 hrs,61-70 hrs,0,0 hrs,,61-70 hrs,0 hrs,,,1,0 hrs,0,0,0 hrs,0.0,51-60 hrs
02M116,Hsu,0 hrs,,,,,,0 hrs,,,,0 hrs,,,,0,0 hrs,0,,0 hrs,,,,,,,,0.0,,,0,,,0,,,1-10 hrs,,0 hrs,1-10 hrs,,,0 hrs,,0,0 hrs,,0 hrs,0 hrs,,,1,0 hrs,0,0,0 hrs,1.0,0 hrs
19K659,Finnegan,,,,,,,,,,,,,,,0,,0,,,,,,,,,,1.0,,,0,,,0,,,,,,,,,,,0,,,,,,,0,,0,0,,1.0,
17K352,Baker,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,0,,,,,,,0,,0,0,,0.0,
16K021,Spellman,1-10 hrs,,,,1-10 hrs,,0 hrs,,,,0 hrs,,,,1,1-10 hrs,0,,0 hrs,,,,,,,,0.0,,,0,,,0,,0 hrs,0 hrs,,1-10 hrs,0 hrs,,,0 hrs,,0,0 hrs,,0 hrs,0 hrs,,,1,0 hrs,0,0,0 hrs,1.0,0 hrs
11X103,Gustafson,0 hrs,0 hrs,,0 hrs,31-40 hrs,0 hrs,0 hrs,0 hrs,31-40 hrs,0 hrs,0 hrs,,,,0,0 hrs,0,0 hrs,0 hrs,,,31-40 hrs,31-40 hrs,,0 hrs,31-40 hrs,0.0,0 hrs,31-40 hrs,0,31-40 hrs,0 hrs,0,,0 hrs,31-40 hrs,,0 hrs,31-40 hrs,0 hrs,,0 hrs,0 hrs,0,0 hrs,,0 hrs,0 hrs,,,0,0 hrs,0,0,0 hrs,1.0,0 hrs
07X203,Pressley,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,0,,,,,,,0,,0,0,,1.0,
02M394,Heckethorn,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,,,1.0,,,1,,,1,,,,,,,,,,,0,,,,,,,1,,0,0,,1.0,
16K309,Cauthen,,,,,,,0 hrs,,,,0 hrs,,,,0,1-10 hrs,0,,,,,,,,,,0.0,,,0,,,0,,,0 hrs,,1-10 hrs,0 hrs,,,0 hrs,,1,0 hrs,,,,,,1,0 hrs,0,0,1-10 hrs,1.0,1-10 hrs
03M505,Harper,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,1,,,0,,,,,,,,,,,1,,,,,,,1,,0,0,,0.0,
04M825,Kellogg,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,1,,,0,,,,,,,,,,,0,,,,,,,1,,0,0,,1.0,
03M243,Bellavance,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,,,1.0,,,1,,,0,,,,,,,,,,,1,,,,,,,1,,0,0,,,
02M158,Semack,21-30 hrs,,,,0 hrs,,0 hrs,,,,0 hrs,,,,0,21-30 hrs,0,,21-30 hrs,,,,,,,,1.0,,0 hrs,0,,,0,,0 hrs,0 hrs,,21-30 hrs,0 hrs,,,0 hrs,,0,0 hrs,,11-20 hrs,0 hrs,,,1,0 hrs,0,0,0 hrs,1.0,0 hrs
05M302,Paredes-Diaz,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,0,,,,,,,1,,0,0,,0.0,
13K003,Mohney,,,,,,,0 hrs,,,,0 hrs,,,,1,21-30 hrs,0,,0 hrs,,,,,,,,0.0,,,0,,,0,,,0 hrs,,21-30 hrs,0 hrs,,,11-20 hrs,,1,0 hrs,,,,,,1,0 hrs,0,0,0 hrs,1.0,0 hrs
19K292,Barrett,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,0,,,,,,,0,,0,0,,0.0,
12X067,Noriega,0 hrs,,,,0 hrs,,1-10 hrs,,,,1-10 hrs,,,,0,0 hrs,0,,0 hrs,,,,,,,,0.0,,,0,,,0,,1-10 hrs,0 hrs,,0 hrs,0 hrs,,,1-10 hrs,,0,1-10 hrs,,0 hrs,1-10 hrs,,,0,1-10 hrs,0,0,0 hrs,0.0,0 hrs
15K295,Pagano,,,,,,,71-80 hrs,,,,11-20 hrs,,,,1,11-20 hrs,1,,11-20 hrs,,,,,,,,0.0,,,0,,,0,,,11-20 hrs,,11-20 hrs,11-20 hrs,,,31-40 hrs,,1,31-40 hrs,,,,,,1,31-40 hrs,0,0,71-80 hrs,1.0,11-20 hrs
12X383,Adams,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,1,,,,,,,0,,0,0,,1.0,
02M570,Romagnoli,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,1,,,,,,,1,,0,0,,0.0,
10X237,Watson,,,,,,,,,,,,,,,0,,0,,,,,,,,,,1.0,,,0,,,0,,,,,,,,,,,0,,,,,,,1,,0,0,,,
20K223,Rondinelli,,,,,,,,,,,,,,,0,,0,,,1.0,,,,,,,0.0,,,0,,,0,,,,,,,,,,,0,,,,,,,1,,0,0,,1.0,
13K492,O'Reilly,,,,,,,111-120 hrs,,,,,,,,0,31-40 hrs,0,,,,,,,,,,1.0,,,0,,,0,,,31-40 hrs,,,31-40 hrs,,,,,0,0 hrs,,,,,,0,,0,0,111-120 hrs,1.0,31-40 hrs
12X212,,,,,,,,31-40 hrs,,,,,,,,0,0 hrs,0,,,,,,,,,,0.0,,,0,,,0,,,31-40 hrs,,,31-40 hrs,,,,,0,0 hrs,,,,,,0,,1,1,21-30 hrs,1.0,0 hrs
20K971,TORRES,,,,,,,51-60 hrs,,,,51-60 hrs,,,,0,71-80 hrs,1,,,,,,,,,,1.0,,,0,,,0,,,161-170 hrs,,71-80 hrs,71-80 hrs,,,1-10 hrs,,1,1-10 hrs,,,,,,1,51-60 hrs,0,0,51-60 hrs,0.0,71-80 hrs
19K452,Brown Gathers,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,0,,,,,,,0,,0,0,,1.0,
10X141,Sullivan,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,,,,,,0,,,0,,,,,,,,,,,0,,,,,,,1,,0,0,,,
02M542,Lock,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,0,,,0,,,,,,,,,,,0,,,,,,,1,,0,0,,1.0,
08X562,Packet,,,,,,,,,,,,,,,0,,0,,,,,,,,,,1.0,,,0,,,0,,,,,,,,,,,0,,,,,,,1,,0,0,,1.0,
08X467,Gics,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,1,,,,,,,1,,0,0,,1.0,
15K667,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,1,,,0,,,,,,,,,,,1,,,,,,,1,,0,1,,1.0,
10X368,"OToole, Jr.",,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,1,,,0,,,,,,,,,,,1,,,,,,,1,,0,0,,0.0,
20K180,Faconti,0 hrs,,,,,,0 hrs,,,,0 hrs,,,,1,0 hrs,0,,0 hrs,,,,,,,,1.0,,,1,,,0,,,0 hrs,,0 hrs,0 hrs,,,0 hrs,,1,0 hrs,,0 hrs,0 hrs,,,1,0 hrs,0,0,0 hrs,1.0,0 hrs
09X564,Hibbard,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,0,,,0,,,,,,,,,,,0,,,,,,,0,,0,0,,,
14K561,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,1.0,,,1,,,0,,,,,,,,,,,0,,,,,,,0,,0,1,,1.0,
19K202,,,,,,,,11-20 hrs,,,,11-20 hrs,,,,0,0 hrs,0,,0 hrs,,,,,,,,0.0,,,0,,,0,,,11-20 hrs,,0 hrs,11-20 hrs,,,0 hrs,,0,0 hrs,,0 hrs,0 hrs,,,0,11-20 hrs,0,1,0 hrs,1.0,0 hrs
05M499,Landivar,,,,,,,,,,,,,,,0,,0,,,,,,,,,,1.0,,,0,,,0,,,,,,,,,,,1,,,,,,,1,,0,0,,1.0,
15K261,Oppedisano,0 hrs,,,0 hrs,1-10 hrs,,0 hrs,,0 hrs,,0 hrs,,,,1,0 hrs,0,,0 hrs,,,,,,,,,,0 hrs,0,,0 hrs,0,,0 hrs,0 hrs,,0 hrs,0 hrs,,,0 hrs,,0,0 hrs,,0 hrs,0 hrs,,,0,0 hrs,0,0,0 hrs,1.0,0 hrs
11X567,DeBonis,,,,,,,,,,,,,,,1,,0,,,,,,,,,,4.0,,,0,,,0,,,0 hrs,,,0 hrs,,,0 hrs,,0,,,,,,,1,,0,0,0 hrs,0.0,0 hrs
18K114,Allen,,,,,0 hrs,,0 hrs,,,,0 hrs,,,,1,0 hrs,0,,0 hrs,,,,,,,,0.0,,,0,,,0,,0 hrs,1-10 hrs,,0 hrs,0 hrs,,,0 hrs,,0,0 hrs,,0 hrs,0 hrs,,,1,0 hrs,0,0,0 hrs,0.0,0 hrs
12X195,Lopez,0 hrs,,,0 hrs,0 hrs,,0 hrs,,0 hrs,0 hrs,0 hrs,,,,1,0 hrs,0,,0 hrs,,,,0 hrs,,,,0.0,0 hrs,0 hrs,0,,0 hrs,0,,0 hrs,0 hrs,,0 hrs,0 hrs,0 hrs,,0 hrs,0 hrs,0,0 hrs,,0 hrs,0 hrs,,,0,0 hrs,0,0,0 hrs,0.0,0 hrs
11X169,Arnold,,,,,,,0 hrs,,,,0 hrs,,,,0,0 hrs,0,,,1.0,,,,,,,1.0,,,0,,,0,,,101-110 hrs,,0 hrs,101-110 hrs,,,0 hrs,,1,0 hrs,,51-60 hrs,0 hrs,,,1,0 hrs,0,0,11-20 hrs,0.0,0 hrs
01M110,Feuer,,,,,,,0 hrs,,,,0 hrs,,,,0,0 hrs,1,,0 hrs,,,,,,,,1.0,,,1,,,0,,,21-30 hrs,,0 hrs,21-30 hrs,,,11-20 hrs,,0,0 hrs,,21-30 hrs,11-20 hrs,,,1,0 hrs,0,0,0 hrs,0.0,0 hrs
06M322,Vitale,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,0,,,,,,,1,,0,0,,1.0,
13K009,Wilson,31-40 hrs,,,,,,41-50 hrs,,21-30 hrs,,41-50 hrs,,,,1,31-40 hrs,1,,31-40 hrs,3.0,,,,,,,1.0,41-50 hrs,31-40 hrs,1,,,0,,,31-40 hrs,,31-40 hrs,21-30 hrs,31-40 hrs,,31-40 hrs,,1,31-40 hrs,,31-40 hrs,41-50 hrs,,,1,41-50 hrs,0,0,41-50 hrs,1.0,41-50 hrs
04M072,Hernandez,11-20 hrs,,,,161-170 hrs,,161-170 hrs,,,,151-160 hrs,,,,0,11-20 hrs,0,,21-30 hrs,,,,,,,,1.0,,,0,,,0,,181-190 hrs,131-140 hrs,,21-30 hrs,151-160 hrs,,,111-120 hrs,,0,151-160 hrs,,21-30 hrs,181-190 hrs,,,0,171-180 hrs,0,0,151-160 hrs,1.0,11-20 hrs
19K306,Lewis,,,,,,,0 hrs,,,,0 hrs,,,,0,0 hrs,0,,0 hrs,,,,,,,,0.0,,,0,,,0,,,0 hrs,,0 hrs,0 hrs,,,0 hrs,,0,0 hrs,,0 hrs,0 hrs,,,0,0 hrs,0,0,0 hrs,1.0,0 hrs
18K642,Kaltsas,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,0,,,0,,,,,,,,,,,0,,,,,,,0,,0,0,,0.0,
17K246,Johnson,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,1,,,,,,,1,,0,0,,0.0,
15K169,Srour,1-10 hrs,0 hrs,1-10 hrs,0 hrs,0 hrs,11-20 hrs,1-10 hrs,0 hrs,0 hrs,1-10 hrs,1-10 hrs,0 hrs,0 hrs,,0,1-10 hrs,0,0 hrs,0 hrs,,,0 hrs,0 hrs,1-10 hrs,0 hrs,0 hrs,1.0,1-10 hrs,0 hrs,0,0 hrs,1-10 hrs,0,0 hrs,1-10 hrs,0 hrs,1-10 hrs,1-10 hrs,0 hrs,1-10 hrs,1-10 hrs,0 hrs,0 hrs,0,0 hrs,0 hrs,1-10 hrs,1-10 hrs,1-10 hrs,,1,1-10 hrs,0,0,1-10 hrs,0.0,0 hrs
12X463,Jones,,,,,,,0 hrs,,,,0 hrs,,,,0,0 hrs,1,,0 hrs,,,,,,,,0.0,,,0,,,0,,,0 hrs,,0 hrs,0 hrs,,,0 hrs,,0,0 hrs,,0 hrs,0 hrs,,,1,0 hrs,0,0,61-70 hrs,0.0,0 hrs
20K069,Fremont-Appel,0 hrs,,,0 hrs,0 hrs,,0 hrs,,11-20 hrs,,11-20 hrs,,,,0,0 hrs,0,,0 hrs,,,,,,,,0.0,,0 hrs,0,,0 hrs,0,,0 hrs,0 hrs,,0 hrs,11-20 hrs,,,0 hrs,,1,0 hrs,,0 hrs,0 hrs,,,1,0 hrs,0,0,0 hrs,0.0,0 hrs
02M282,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,0,,,,,,,0,,0,1,,0.0,
08X269,von Hoene,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,0,,,,,,,1,,0,0,,0.0,
12X211,Pacifico,,,,,,,0 hrs,,,,0 hrs,,,,0,0 hrs,0,,,,,,,,,,,,,0,,,0,,,0 hrs,,0 hrs,0 hrs,,,,,1,0 hrs,,,,,,1,0 hrs,0,0,0 hrs,1.0,1-10 hrs
15K497,Negron,,,,,,,,,,,,,,,0,,0,,,,,,,,,,1.0,,,1,,,0,,,,,,,,,,,1,,,,,,,0,,0,0,,0.0,
08X377,Ditmars,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,1,,,,,,,0,,0,0,,0.0,
10X007,Patterson,1-10 hrs,,,1-10 hrs,1-10 hrs,,1-10 hrs,,,,1-10 hrs,,,,0,11-20 hrs,0,0 hrs,1-10 hrs,,,1-10 hrs,,,,,1.0,,,0,,1-10 hrs,0,,1-10 hrs,1-10 hrs,,1-10 hrs,1-10 hrs,,,0 hrs,,0,0 hrs,,1-10 hrs,1-10 hrs,,,1,1-10 hrs,0,0,21-30 hrs,1.0,1-10 hrs
20K127,Guido,,,,,,,0 hrs,,,,0 hrs,,,,0,1-10 hrs,0,,1-10 hrs,1.0,,,,,,,1.0,,,0,,,0,,,0 hrs,,1-10 hrs,0 hrs,,,0 hrs,,0,0 hrs,,,,,,0,0 hrs,0,0,0 hrs,,1-10 hrs
17K289,,,,,,,,0 hrs,,,,0 hrs,,,,0,0 hrs,0,,0 hrs,,,,,,,,0.0,,,0,,,0,,,0 hrs,,0 hrs,0 hrs,,,0 hrs,,0,0 hrs,,0 hrs,0 hrs,,,0,0 hrs,0,1,0 hrs,0.0,0 hrs
16K534,,,,,,,,,,,,,,,,0,,0,,,1.0,,,,,,,0.0,,,0,,,0,,,,,,,,,,,0,,,,,,,0,,0,1,,0.0,
13K067,,,,,,,,0 hrs,,,,,,,,0,0 hrs,0,,,,,,,,,,0.0,,,0,,,0,,,0 hrs,,0 hrs,0 hrs,,,,,0,0 hrs,,,,,,0,0 hrs,0,1,0 hrs,0.0,0 hrs
11X556,Prime,,,,,,,,,,,,,,,0,,0,,,,,,,,,,1.0,,,0,,,0,,,,,,,,,,,1,,,,,,,0,,0,0,,0.0,
03M256,McBreen,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,0,,,,,,,0,,0,0,,1.0,
07X427,Rubino,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,0,,,,,,,0,,0,0,,0.0,
09X199,Person,1-10 hrs,,,1-10 hrs,21-30 hrs,21-30 hrs,21-30 hrs,1-10 hrs,21-30 hrs,21-30 hrs,21-30 hrs,,,,0,1-10 hrs,1,1-10 hrs,1-10 hrs,2.0,,21-30 hrs,,,,21-30 hrs,1.0,21-30 hrs,21-30 hrs,0,,21-30 hrs,0,,21-30 hrs,21-30 hrs,,1-10 hrs,21-30 hrs,1-10 hrs,,1-10 hrs,,1,1-10 hrs,,1-10 hrs,21-30 hrs,,,1,21-30 hrs,0,0,21-30 hrs,1.0,1-10 hrs
09X231,Alexander,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,,,0.0,,,0,,,0,,,,,,,,,,,1,,,,,,,0,,0,0,,0.0,
09X232,Resto,,,,,,,,,,,,,,,0,,0,,,1.0,,,,,,,0.0,,,0,,,0,,,,,,,,,,,0,,,,,,,1,,0,0,,1.0,
16K025,Wilson,,,,,,,141-150 hrs,,,,,,,,0,141-150 hrs,0,,,,,,,,,,0.0,,,0,,,0,,,141-150 hrs,,,141-150 hrs,,,,,0,1-10 hrs,,,,,,0,,1,0,141-150 hrs,0.0,141-150 hrs
19K213,,,,,,,,0 hrs,,,,0 hrs,,,,1,0 hrs,0,,0 hrs,,,,,,,,0.0,,,0,,,0,,,0 hrs,,0 hrs,0 hrs,,,0 hrs,,0,0 hrs,,,,,,1,0 hrs,0,1,0 hrs,1.0,0 hrs
18K569,Mendelson,,,,,,,,,,,,,,,0,,0,,,,,,,,,,1.0,,,0,,,0,,,,,,,,,,,0,,,,,,,0,,0,0,,0.0,
02M198,Smith,,,,,41-50 hrs,,1-10 hrs,,,,0 hrs,,,,0,0 hrs,0,,,,,,,,,,2.0,,,0,,,0,,0 hrs,0 hrs,,0 hrs,0 hrs,,,0 hrs,,1,0 hrs,,41-50 hrs,0 hrs,,,0,1-10 hrs,0,0,0 hrs,1.0,0 hrs
11X180,UZZO,,,,,,,,,,,,,,,0,,0,,,1.0,,,,,,,1.0,,,1,,,0,,,,,,,,,,,1,,,,,,,1,,0,0,,1.0,
08X367,LAZAR,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,0,,,,,,,0,,0,0,,1.0,
13K093,Pulliam,,,,,,,81-90 hrs,,,,91-100 hrs,,,,0,11-20 hrs,0,,,,,,,,,,0.0,,,0,,,0,,,41-50 hrs,,11-20 hrs,41-50 hrs,,,11-20 hrs,,0,31-40 hrs,,,,,,1,81-90 hrs,0,0,91-100 hrs,1.0,31-40 hrs
13K265,Chung,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,0,,,,,,,1,,0,0,,1.0,
20K609,Austin,,,,,,,,,,,,,,,0,,0,,,,,,,,,,1.0,,,0,,,0,,,,,,,,,,,0,,,,,,,0,,0,0,,0.0,
02M313,Olson,,,,,,,,,,,,,,,0,,0,,,,,,,,,,1.0,,,0,,,0,,,,,,,,,,,0,,,,,,,1,,0,0,,1.0,
20K748,Annio,,,,,,,1-10 hrs,,,,1-10 hrs,,,,0,1-10 hrs,1,,1-10 hrs,,,,,,,,1.0,,,1,,,0,,,1-10 hrs,,1-10 hrs,1-10 hrs,,,1-10 hrs,,1,1-10 hrs,,1-10 hrs,1-10 hrs,,,1,1-10 hrs,0,0,1-10 hrs,1.0,1-10 hrs
03M075,Abramovitz,,,,,,,31-40 hrs,,0 hrs,,31-40 hrs,,,,0,1-10 hrs,0,,1-10 hrs,,,,,,,,,,,0,,,0,,,0 hrs,,1-10 hrs,0 hrs,,,0 hrs,,0,11-20 hrs,,1-10 hrs,31-40 hrs,,,1,31-40 hrs,0,0,1-10 hrs,1.0,0 hrs
19K328,Gedacht,,,,,,,1-10 hrs,,,,11-20 hrs,,,,0,0 hrs,0,,,,,,,,,,0.0,,,0,,,0,,,0 hrs,,0 hrs,0 hrs,,,0 hrs,,0,0 hrs,,,,,,1,0 hrs,0,0,11-20 hrs,1.0,0 hrs
08X014,Silva,0 hrs,,,,0 hrs,,0 hrs,,,,0 hrs,,,,0,0 hrs,0,,0 hrs,,,,,,,,0.0,,,0,,,0,,1-10 hrs,1-10 hrs,,0 hrs,1-10 hrs,,,0 hrs,,0,0 hrs,,11-20 hrs,0 hrs,,,0,0 hrs,0,0,1-10 hrs,0.0,0 hrs
12X536,Moy,,,,,,,0 hrs,,,,0 hrs,,,,0,0 hrs,0,,0 hrs,,,,,,,,1.0,,,1,,,0,,,0 hrs,,0 hrs,31-40 hrs,,,1-10 hrs,,1,11-20 hrs,,0 hrs,0 hrs,,,1,0 hrs,0,0,21-30 hrs,1.0,1-10 hrs
11X076,Gerace,0 hrs,,0 hrs,0 hrs,11-20 hrs,0 hrs,0 hrs,11-20 hrs,1-10 hrs,0 hrs,0 hrs,,,31-40 hrs,0,0 hrs,0,11-20 hrs,0 hrs,0.0,21-30 hrs,11-20 hrs,1-10 hrs,,,11-20 hrs,0.0,0 hrs,1-10 hrs,0,1-10 hrs,0 hrs,0,,0 hrs,1-10 hrs,,0 hrs,1-10 hrs,0 hrs,,0 hrs,0 hrs,0,11-20 hrs,,0 hrs,0 hrs,,0 hrs,0,0 hrs,0,0,1-10 hrs,0.0,1-10 hrs
18K581,Padmore,,,,,,,,,,,,,,,0,,0,,,1.0,,,,,,,1.0,,,1,,,0,,,,,,,,,,,0,,,,,,,1,,0,0,,,
11X083,Mercado Matos,11-20 hrs,,,0 hrs,0 hrs,,0 hrs,,0 hrs,,0 hrs,,,,0,0 hrs,0,,11-20 hrs,,,,,,,,0.0,0 hrs,0 hrs,0,,0 hrs,0,,0 hrs,0 hrs,,0 hrs,0 hrs,0 hrs,,0 hrs,,0,0 hrs,,0 hrs,0 hrs,,,0,0 hrs,0,0,0 hrs,1.0,0 hrs
02M475,Wheeler,,,,,,,,,,,,,,,0,,0,,,,,,,,,,1.0,,,0,,,0,,,,,,,,,,,1,,,,,,,1,,0,0,,0.0,
15K321,Roy,1-10 hrs,0 hrs,11-20 hrs,0 hrs,0 hrs,11-20 hrs,11-20 hrs,1-10 hrs,0 hrs,0 hrs,0 hrs,,,,0,1-10 hrs,0,1-10 hrs,1-10 hrs,,,0 hrs,0 hrs,11-20 hrs,1-10 hrs,0 hrs,1.0,0 hrs,0 hrs,1,0 hrs,11-20 hrs,0,1-10 hrs,11-20 hrs,0 hrs,1-10 hrs,1-10 hrs,0 hrs,1-10 hrs,,0 hrs,1-10 hrs,0,1-10 hrs,0 hrs,11-20 hrs,11-20 hrs,,,1,11-20 hrs,0,0,0 hrs,0.0,1-10 hrs
02M500,Ally,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,0,,,,,,,0,,0,0,,0.0,
09X070,Marino Prum,0 hrs,0 hrs,0 hrs,0 hrs,0 hrs,0 hrs,0 hrs,0 hrs,0 hrs,0 hrs,0 hrs,,,0 hrs,0,0 hrs,0,0 hrs,0 hrs,,0 hrs,0 hrs,1-10 hrs,0 hrs,0 hrs,0 hrs,0.0,0 hrs,1-10 hrs,0,0 hrs,0 hrs,0,,0 hrs,1-10 hrs,0 hrs,0 hrs,0 hrs,0 hrs,,0 hrs,0 hrs,0,0 hrs,0 hrs,0 hrs,0 hrs,,0 hrs,0,0 hrs,0,0,0 hrs,0.0,0 hrs
10X085,Doran,0 hrs,,0 hrs,0 hrs,0 hrs,0 hrs,0 hrs,11-20 hrs,0 hrs,,0 hrs,,,,0,0 hrs,0,11-20 hrs,0 hrs,,,0 hrs,0 hrs,,,0 hrs,0.0,0 hrs,0 hrs,0,0 hrs,0 hrs,0,,0 hrs,0 hrs,,0 hrs,0 hrs,0 hrs,,0 hrs,0 hrs,0,0 hrs,,0 hrs,0 hrs,,,0,0 hrs,0,0,0 hrs,0.0,0 hrs
07X551,Cardenas,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,0,,,0,,,,,,,,,,,0,,,,,,,0,,0,0,,1.0,
10X118,Roumeles,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,0,,,,,,,1,,0,0,,0.0,
01M315,Monaco,,,,,,,0 hrs,,,,,,,,1,1-10 hrs,0,,,,,,,,,,8.0,,,0,,,0,,,0 hrs,,,0 hrs,,,,,0,21-30 hrs,,,,,,1,,0,0,0 hrs,1.0,1-10 hrs
18K763,Mai,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,0,,,,,,,0,,0,0,,1.0,
12X318,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,0,,,,,,,0,,0,1,,1.0,
07X224,Cole,,,,,,,,,,,,,,,0,,0,,,,,,,,,,3.0,,,0,,,0,,,,,,,,,,,0,,,,,,,0,,0,0,,1.0,
02M449,Plechkina,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,0,,,,,,,1,,0,0,,1.0,
13K301,McPherson,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,0,,,,,,,0,,0,0,,0.0,
10X228,Santiago,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,1,,,,,,,0,,0,0,,0.0,
12X691,Hernandez,,,,,,,0 hrs,,,,,,,,0,0 hrs,1,,,,,,,,,,,,,0,,,0,,,1-10 hrs,,,1-10 hrs,,,,,1,0 hrs,,,,,,1,,0,0,0 hrs,,1-10 hrs
