dbn,male_2,ell_chinese_2,asian_1,grade_6,grade_5,grade_8,ell_urdu_2,math_test_takers,ell_korean_2,category,ell_urdu_1,ell_haitian_creole_1,math_l3_l4_2,ell_arabic_1,ell_spanish_1,math_level_4_2,ell_bengali_2,ela_level_1_1,ela_level_1_2,grade_k,grade_2
09X035,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,All Students,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
09X325,s,No Data,s,No Data,No Data,s,No Data,10,No Data,Attend school outside district of residence,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,No Data
09X063,s,s,s,No Data,No Data,No Data,s,No Data,s,English Language Learners,s,s,No Data,s,s,No Data,s,No Data,No Data,No Data,No Data
20K200,61.0%,No Data,12,No Data,s,No Data,No Data,59,No Data,All Students,No Data,No Data,72.9%,No Data,No Data,39.0%,No Data,11,18.6%,No Data,20
20K170,52.2%,No Data,44,No Data,No Data,No Data,No Data,No Data,No Data,Receive free or reduced price lunch,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,44,s
09X073,51.7%,s,s,No Data,10,No Data,s,47,s,English Language Learners,s,s,s,s,118,s,s,30,76.9%,19,30
17K189,s,No Data,s,s,s,7,No Data,13,No Data,Students with Disabilities,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,s
10X391,s,No Data,s,No Data,No Data,No Data,No Data,s,No Data,Reside in temporary housing,No Data,No Data,s,No Data,No Data,s,No Data,No Data,No Data,No Data,No Data
15K015,42.6%,No Data,s,No Data,No Data,No Data,No Data,13,No Data,All Students,No Data,No Data,s,No Data,No Data,s,No Data,s,s,15,13
15K024,50.0%,No Data,s,No Data,s,No Data,No Data,s,No Data,Students with Disabilities,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,10
15K497,s,s,s,No Data,No Data,s,s,6,s,English Language Learners,s,s,s,s,s,s,s,s,s,No Data,No Data
13K133,s,No Data,s,No Data,s,No Data,No Data,s,No Data,Reside in temporary housing,No Data,No Data,s,No Data,No Data,s,No Data,s,s,s,s
10X023,s,No Data,s,No Data,No Data,No Data,No Data,s,No Data,Receive free or reduced price lunch,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,s
06M311,45.9%,No Data,s,9,s,11,No Data,34,No Data,Attend school outside district of residence,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,s
24Q019,51.6%,s,s,No Data,19,No Data,s,76,s,English Language Learners,s,s,s,s,249,s,s,44,60.3%,54,60
17K249,58.8%,No Data,s,No Data,s,No Data,No Data,12,No Data,Students with Disabilities,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,s
05M175,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
07X223,s,No Data,s,No Data,No Data,s,No Data,8,No Data,Receive free or reduced price lunch,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,No Data
01M188,51.0%,No Data,s,No Data,No Data,No Data,No Data,17,No Data,All Students,No Data,No Data,s,No Data,No Data,s,No Data,s,s,s,19
04M072,s,No Data,s,No Data,No Data,No Data,No Data,s,No Data,Students with Disabilities,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,s
09X053,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
24Q089,52.6%,No Data,s,No Data,s,No Data,No Data,8,No Data,Attend school outside district of residence,No Data,No Data,s,No Data,No Data,s,No Data,s,s,7,s
11X103,52.6%,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,All Students,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s
08X152,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Receive free or reduced price lunch,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
09X053,s,s,s,No Data,No Data,No Data,s,No Data,s,English Language Learners,s,s,No Data,s,11,No Data,s,No Data,No Data,s,No Data
09X088,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Receive free or reduced price lunch,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
04M112,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s
15K015,s,No Data,s,No Data,No Data,No Data,No Data,s,No Data,Reside in temporary housing,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,s
19K007,s,No Data,s,No Data,s,No Data,No Data,s,No Data,All Students,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,s
10X023,s,s,s,No Data,No Data,No Data,s,s,s,English Language Learners,s,s,s,s,s,s,s,s,s,No Data,s
14K157,s,s,s,No Data,No Data,No Data,s,No Data,s,English Language Learners,s,s,No Data,s,6,No Data,s,No Data,No Data,7,No Data
27Q043,s,No Data,s,No Data,No Data,No Data,No Data,s,No Data,Reside in temporary housing,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,No Data
21K238,55.6%,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Receive free or reduced price lunch,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,18,No Data
15K497,s,No Data,s,No Data,No Data,s,No Data,6,No Data,Receive free or reduced price lunch,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,No Data
13K011,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
10X077,s,s,s,No Data,No Data,No Data,s,No Data,s,English Language Learners,s,s,No Data,s,12,No Data,s,No Data,No Data,No Data,s
15K169,41.5%,No Data,28,No Data,No Data,No Data,No Data,s,No Data,All Students,No Data,No Data,s,No Data,No Data,s,No Data,s,s,50,s
20K179,s,No Data,s,No Data,No Data,No Data,No Data,s,No Data,Attend school outside district of residence,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,No Data
02M042,s,No Data,s,No Data,s,No Data,No Data,s,No Data,All Students,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,No Data
12X458,39.8%,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Receive free or reduced price lunch,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,42,40
14K157,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,No Data
24Q019,53.0%,No Data,s,No Data,s,No Data,No Data,23,No Data,Reside in temporary housing,No Data,No Data,s,No Data,No Data,s,No Data,9,39.1%,14,12
24Q229,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Receive free or reduced price lunch,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
21K228,35.2%,No Data,21,No Data,No Data,51,No Data,78,No Data,Attend school outside district of residence,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,No Data
27Q183,s,No Data,s,No Data,s,No Data,No Data,s,No Data,Reside in temporary housing,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,No Data
17K012,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
17K399,s,s,s,No Data,No Data,No Data,s,No Data,s,English Language Learners,s,s,No Data,s,s,No Data,s,No Data,No Data,No Data,No Data
06M210,51.9%,No Data,s,17,15,12,No Data,89,No Data,Receive free or reduced price lunch,No Data,No Data,s,No Data,No Data,s,No Data,35,41.7%,7,17
15K051,43.8%,No Data,s,No Data,No Data,No Data,No Data,32,No Data,All Students,No Data,No Data,100.0%,No Data,No Data,56.3%,No Data,s,s,No Data,No Data
19K662,31.8%,s,s,No Data,No Data,14,s,22,s,English Language Learners,s,s,s,s,22,s,s,18,81.8%,No Data,No Data
06M319,40.0%,No Data,s,s,No Data,27,No Data,41,No Data,All Students,No Data,No Data,s,No Data,No Data,s,No Data,9,17.6%,No Data,No Data
06M048,40.0%,No Data,s,No Data,s,No Data,No Data,9,No Data,Attend school outside district of residence,No Data,No Data,s,No Data,No Data,s,No Data,s,s,s,s
09X126,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
10X396,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
03M180,48.0%,No Data,s,No Data,No Data,No Data,No Data,10,No Data,Receive free or reduced price lunch,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,9
19K159,46.2%,s,s,No Data,No Data,No Data,s,No Data,s,English Language Learners,s,s,No Data,s,13,No Data,s,No Data,No Data,7,No Data
20K180,s,No Data,s,No Data,No Data,No Data,No Data,s,No Data,All Students,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,s
17K399,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Receive free or reduced price lunch,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
14K084,44.9%,No Data,s,6,6,No Data,No Data,36,No Data,Attend school outside district of residence,No Data,No Data,s,No Data,No Data,27.8%,No Data,s,s,No Data,6
19K345,s,s,s,No Data,No Data,No Data,s,No Data,s,English Language Learners,s,s,No Data,s,14,No Data,s,No Data,No Data,No Data,No Data
03M165,55.6%,No Data,s,s,7,s,No Data,31,No Data,Reside in temporary housing,No Data,No Data,s,No Data,No Data,s,No Data,12,44.4%,7,10
19K159,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,No Data
02M124,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,All Students,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,No Data
05M175,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,All Students,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
10X023,s,No Data,s,No Data,No Data,No Data,No Data,s,No Data,Reside in temporary housing,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,s
17K189,53.8%,No Data,s,15,11,22,No Data,78,No Data,All Students,No Data,No Data,47.4%,No Data,No Data,17.9%,No Data,15,19.0%,No Data,10
08X333,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Receive free or reduced price lunch,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
09X274,47.3%,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,All Students,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s
19K108,45.6%,No Data,s,No Data,25,No Data,No Data,81,No Data,All Students,No Data,No Data,22.2%,No Data,No Data,7.4%,No Data,20,28.6%,25,31
09X443,41.8%,No Data,s,No Data,29,No Data,No Data,75,No Data,All Students,No Data,No Data,41.3%,No Data,No Data,18.7%,No Data,26,38.2%,24,20
12X463,s,No Data,s,No Data,s,No Data,No Data,7,No Data,Attend school outside district of residence,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,No Data
27Q104,s,No Data,s,No Data,s,No Data,No Data,s,No Data,All Students,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,No Data
10X077,52.9%,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Receive free or reduced price lunch,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
09X449,s,No Data,s,No Data,No Data,No Data,No Data,s,No Data,Reside in temporary housing,No Data,No Data,s,No Data,No Data,s,No Data,s,s,s,s
09X114,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Receive free or reduced price lunch,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,No Data
18K276,52.2%,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Receive free or reduced price lunch,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,23,No Data
06M008,s,No Data,s,No Data,No Data,No Data,No Data,s,No Data,Students with Disabilities,No Data,No Data,s,No Data,No Data,s,No Data,s,s,s,s
15K001,s,No Data,s,No Data,No Data,No Data,No Data,6,No Data,Attend school outside district of residence,No Data,No Data,s,No Data,No Data,s,No Data,s,s,s,s
23K298,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
03M075,37.1%,No Data,s,No Data,6,No Data,No Data,12,No Data,Reside in temporary housing,No Data,No Data,s,No Data,No Data,s,No Data,s,s,s,8
19K662,s,No Data,s,No Data,No Data,7,No Data,13,No Data,Reside in temporary housing,No Data,No Data,s,No Data,No Data,s,No Data,8,57.1%,No Data,No Data
13K020,s,No Data,s,No Data,No Data,No Data,No Data,s,No Data,Attend school outside district of residence,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,7
01M184,51.1%,No Data,254,63,45,No Data,No Data,186,No Data,Receive free or reduced price lunch,No Data,No Data,80.1%,No Data,No Data,56.5%,No Data,23,12.5%,46,49
04M372,70.0%,No Data,s,No Data,No Data,9,No Data,20,No Data,Attend school outside district of residence,No Data,No Data,s,No Data,No Data,s,No Data,10,50.0%,No Data,No Data
10X054,33.3%,No Data,s,No Data,No Data,No Data,No Data,12,No Data,Reside in temporary housing,No Data,No Data,s,No Data,No Data,s,No Data,6,54.5%,7,s
24Q211,50.3%,s,s,No Data,No Data,No Data,s,21,s,English Language Learners,s,s,s,s,151,s,s,s,s,46,40
06M115,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Receive free or reduced price lunch,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
06M004,s,s,s,No Data,No Data,No Data,s,s,s,English Language Learners,s,s,s,s,s,s,s,s,s,No Data,No Data
14K110,50.0%,No Data,s,No Data,6,No Data,No Data,10,No Data,Attend school outside district of residence,No Data,No Data,s,No Data,No Data,s,No Data,s,s,8,s
03M163,s,No Data,s,No Data,s,No Data,No Data,s,No Data,Reside in temporary housing,No Data,No Data,s,No Data,No Data,s,No Data,s,s,s,No Data
10X077,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
24Q013,45.2%,No Data,6,No Data,No Data,No Data,No Data,No Data,No Data,Receive free or reduced price lunch,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s
25Q032,s,No Data,s,No Data,s,No Data,No Data,s,No Data,Students with Disabilities,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,No Data
09X063,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
19K108,45.6%,No Data,s,No Data,25,No Data,No Data,81,No Data,Receive free or reduced price lunch,No Data,No Data,22.2%,No Data,No Data,7.4%,No Data,20,28.6%,25,31
27Q183,s,s,s,No Data,s,No Data,s,s,s,English Language Learners,s,s,s,s,s,s,s,s,s,No Data,No Data
25Q020,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,No Data
01M361,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,All Students,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
03M163,48.1%,No Data,s,No Data,6,No Data,No Data,18,No Data,Attend school outside district of residence,No Data,No Data,s,No Data,No Data,s,No Data,s,s,s,s
15K124,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
24Q311,s,No Data,s,s,No Data,No Data,No Data,s,No Data,Students with Disabilities,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,No Data
24Q311,s,No Data,s,s,No Data,s,No Data,6,No Data,Reside in temporary housing,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,No Data
03M087,s,s,s,No Data,No Data,No Data,s,s,s,English Language Learners,s,s,s,s,6,s,s,s,s,No Data,s
10X390,52.8%,No Data,s,23,No Data,No Data,No Data,53,No Data,All Students,No Data,No Data,s,No Data,No Data,s,No Data,20,38.5%,No Data,No Data
14K017,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,All Students,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
05M200,52.4%,s,s,No Data,s,No Data,s,16,s,English Language Learners,s,s,s,s,21,s,s,14,93.3%,No Data,s
18K068,s,No Data,s,No Data,No Data,No Data,No Data,11,No Data,All Students,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,No Data
24Q019,49.8%,No Data,s,No Data,53,No Data,No Data,176,No Data,Receive free or reduced price lunch,No Data,No Data,39.8%,No Data,No Data,13.6%,No Data,47,27.3%,73,80
03M256,64.5%,No Data,s,No Data,No Data,17,No Data,31,No Data,All Students,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,No Data
04M112,63.6%,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Receive free or reduced price lunch,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,10,21
09X126,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Receive free or reduced price lunch,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
01M378,s,No Data,s,6,No Data,No Data,No Data,6,No Data,Attend school outside district of residence,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,No Data
24Q110,39.5%,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,All Students,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,29
14K018,51.1%,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,All Students,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,20,No Data
24Q007,56.5%,9.7%,9,No Data,No Data,No Data,s,8,s,English Language Learners,s,s,s,s,53,s,s,s,s,22,11
25Q032,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
24Q019,s,No Data,s,No Data,s,No Data,No Data,6,No Data,Attend school outside district of residence,No Data,No Data,s,No Data,No Data,s,No Data,s,s,s,s
27Q197,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s
06M153,40.3%,No Data,s,No Data,26,No Data,No Data,78,No Data,Receive free or reduced price lunch,No Data,No Data,23.1%,No Data,No Data,7.7%,No Data,37,48.1%,23,40
19K108,s,No Data,s,No Data,s,No Data,No Data,s,No Data,Students with Disabilities,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,s
15K146,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
07X223,s,No Data,s,No Data,No Data,s,No Data,8,No Data,All Students,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,No Data
04M206,58.3%,No Data,s,No Data,s,No Data,No Data,47,No Data,All Students,No Data,No Data,s,No Data,No Data,s,No Data,17,36.2%,No Data,No Data
12X092,51.7%,s,s,No Data,No Data,No Data,s,11,s,English Language Learners,s,s,s,s,29,s,s,6,66.7%,No Data,17
26Q173,s,No Data,8,No Data,s,No Data,No Data,s,No Data,Attend school outside district of residence,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,s
10X095,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,All Students,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
22K139,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s
09X449,s,No Data,s,No Data,No Data,No Data,No Data,s,No Data,Students with Disabilities,No Data,No Data,s,No Data,No Data,s,No Data,s,s,s,No Data
09X035,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
13K003,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
13K133,47.7%,No Data,8,No Data,14,No Data,No Data,124,No Data,Receive free or reduced price lunch,No Data,No Data,62.1%,No Data,No Data,25.0%,No Data,10,8.1%,80,83
15K024,45.7%,No Data,s,No Data,45,No Data,No Data,136,No Data,Receive free or reduced price lunch,No Data,No Data,28.7%,No Data,No Data,5.9%,No Data,47,34.8%,24,53
22K139,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s
06M018,s,No Data,s,s,No Data,s,No Data,17,No Data,Students with Disabilities,No Data,No Data,s,No Data,No Data,s,No Data,13,76.5%,No Data,No Data
03M165,48.2%,s,s,8,s,7,s,38,s,English Language Learners,s,s,s,s,56,s,s,24,77.4%,No Data,14
15K094,44.4%,No Data,9,No Data,s,No Data,No Data,17,No Data,Reside in temporary housing,No Data,No Data,s,No Data,No Data,s,No Data,s,s,9,s
25Q163,49.1%,No Data,154,No Data,42,No Data,No Data,115,No Data,All Students,No Data,No Data,95.7%,No Data,No Data,67.0%,No Data,7,6.1%,No Data,42
25Q079,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,All Students,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s
06M513,54.3%,No Data,s,No Data,8,No Data,No Data,s,No Data,Attend school outside district of residence,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,s
06M328,58.9%,s,s,15,No Data,26,s,55,s,English Language Learners,s,s,s,s,56,s,s,31,96.9%,No Data,No Data
06M018,56.5%,No Data,s,11,No Data,s,No Data,22,No Data,Attend school outside district of residence,No Data,No Data,s,No Data,No Data,s,No Data,9,40.9%,No Data,No Data
26Q173,36.8%,No Data,67,No Data,16,No Data,No Data,50,No Data,Receive free or reduced price lunch,No Data,No Data,90.0%,No Data,No Data,66.0%,No Data,s,s,No Data,6
17K375,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,All Students,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
09X218,49.5%,No Data,30,107,109,81,No Data,526,No Data,Receive free or reduced price lunch,No Data,No Data,28.1%,No Data,No Data,7.0%,No Data,168,27.7%,113,126
06M311,46.4%,No Data,s,32,31,28,No Data,176,No Data,Receive free or reduced price lunch,No Data,No Data,23.9%,No Data,No Data,6.8%,No Data,43,24.2%,No Data,s
06M153,41.9%,No Data,s,No Data,28,No Data,No Data,88,No Data,All Students,No Data,No Data,22.7%,No Data,No Data,8.0%,No Data,41,47.7%,24,48
14K319,s,s,s,No Data,No Data,No Data,s,No Data,s,English Language Learners,s,s,No Data,s,s,No Data,s,No Data,No Data,No Data,No Data
03M208,s,No Data,s,No Data,s,No Data,No Data,s,No Data,All Students,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,No Data
25Q020,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,No Data
11X121,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,No Data
03M075,54.4%,s,s,No Data,9,No Data,s,25,s,English Language Learners,s,s,s,s,56,s,s,17,73.9%,s,16
03M180,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s
14K034,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,6,No Data
12X092,s,No Data,s,No Data,No Data,No Data,No Data,s,No Data,Students with Disabilities,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,s
15K497,s,No Data,s,No Data,No Data,s,No Data,s,No Data,Reside in temporary housing,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,No Data
03M163,48.6%,No Data,s,No Data,17,No Data,No Data,55,No Data,All Students,No Data,No Data,s,No Data,No Data,s,No Data,9,16.4%,20,17
06M028,54.8%,No Data,s,No Data,s,No Data,No Data,18,No Data,Reside in temporary housing,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,s
06M128,46.3%,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Receive free or reduced price lunch,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,42,39
06M328,s,No Data,s,No Data,No Data,s,No Data,s,No Data,Students with Disabilities,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,No Data
03M087,46.0%,No Data,s,No Data,22,No Data,No Data,56,No Data,All Students,No Data,No Data,82.1%,No Data,No Data,50.0%,No Data,s,s,23,30
08X333,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,All Students,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
07X030,s,No Data,s,No Data,No Data,No Data,No Data,s,No Data,Attend school outside district of residence,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,s
