recordid,address,y,:@computed_region_f5dn_yrer,:@computed_region_efsh_h5xi,zip_new,house_number,borough,cb_new,location,support_structure,nta_2010
134,13 HUDSON ST,200225.3933,56.0,12076.0,10013,13.0,Manhattan,101,"{'latitude': '40.716249', 'longitude': '-74.009198'}",,MN24
27,39 HARRISON ST,201172.4614,56.0,12076.0,10013,39.0,Manhattan,101,"{'latitude': '40.718848', 'longitude': '-74.010791'}",,MN24
889,211 E 10 ST,205065.507,70.0,11724.0,10003,211.0,Manhattan,103,"{'latitude': '40.729533', 'longitude': '-73.986232'}",,MN22
231,140 PARK PL,199764.7852,56.0,11728.0,10007,140.0,Manhattan,101,"{'latitude': '40.714984', 'longitude': '-74.013076'}",,MN24
493,29 CHARLTON ST,204160.0667,57.0,12077.0,10014,29.0,Manhattan,102,"{'latitude': '40.727049', 'longitude': '-74.00441'}",,MN24
782,337 E 9 ST,204806.3307,70.0,11724.0,10003,337.0,Manhattan,103,"{'latitude': '40.728822', 'longitude': '-73.986362'}",,MN22
379,121 Avenue of the Amer,203012.5,57.0,12076.0,10013,121.0,Manhattan,102,"{'latitude': '40.723899', 'longitude': '-74.004681'}",,MN24
290,59 SULLIVAN ST,203142.3615,57.0,12075.0,10012,59.0,Manhattan,102,"{'latitude': '40.724255', 'longitude': '-74.004211'}",Stakes / Wires,MN24
418,180 W HOUSTON ST,204644.26,57.0,12077.0,10014,180.0,Manhattan,102,"{'latitude': '40.728378', 'longitude': '-74.002987'}",,MN23
679,80 N MOORE ST,201649.9518,56.0,12076.0,10013,80.0,Manhattan,101,"{'latitude': '40.720159', 'longitude': '-74.010532'}",,MN24
392,160 Avenue of the Amer,203549.7858,57.0,12075.0,10013,160.0,Manhattan,102,"{'latitude': '40.725374', 'longitude': '-74.004066'}",,MN24
597,16 DESBROSSES ST,202826.1699,56.0,12076.0,10013,16.0,Manhattan,101,"{'latitude': '40.723387', 'longitude': '-74.009066'}",,MN24
501,20 KING ST,204389.5037,57.0,12077.0,10014,20.0,Manhattan,102,"{'latitude': '40.727679', 'longitude': '-74.003384'}",,MN24
230,140 PARK PL,199764.7852,56.0,11728.0,10007,140.0,Manhattan,101,"{'latitude': '40.714984', 'longitude': '-74.013076'}",,MN24
62,290 BROADWAY,199680.6589,56.0,11728.0,10007,290.0,Manhattan,101,"{'latitude': '40.714754', 'longitude': '-74.005823'}",,MN24
476,2 CHARLTON ST,204128.0801,57.0,12077.0,10014,2.0,Manhattan,102,"{'latitude': '40.726961', 'longitude': '-74.003477'}",,MN24
652,55 Avenue of the Amer,202040.3025,56.0,12076.0,10013,55.0,Manhattan,101,"{'latitude': '40.721231', 'longitude': '-74.005274'}",,MN24
127,152 READE ST,200314.0163,56.0,12076.0,10013,152.0,Manhattan,101,"{'latitude': '40.716492', 'longitude': '-74.009877'}",,MN24
984,239 1 AV,205735.5549,71.0,11724.0,10003,239.0,Manhattan,106,"{'latitude': '40.731372', 'longitude': '-73.982554'}",Stakes / Wires,MN21
524,350 HUDSON ST,204322.5795,57.0,12077.0,10014,350.0,Manhattan,102,"{'latitude': '40.727495', 'longitude': '-74.007293'}",Guard Strangling,MN24
848,159 2 AV,205125.8425,70.0,11724.0,10003,159.0,Manhattan,103,"{'latitude': '40.729699', 'longitude': '-73.986871'}",,MN22
970,211 E 14 ST,206395.8046,71.0,11724.0,10003,211.0,Manhattan,106,"{'latitude': '40.733185', 'longitude': '-73.986925'}",,MN21
64,290 BROADWAY,199680.6589,56.0,11728.0,10007,290.0,Manhattan,101,"{'latitude': '40.714754', 'longitude': '-74.005823'}",,MN24
822,19 STUYVESANT ST,205203.5751,70.0,11724.0,10003,19.0,Manhattan,103,"{'latitude': '40.729912', 'longitude': '-73.98855'}",,MN22
15,40 HARRISON ST,201166.9867,56.0,12076.0,10013,40.0,Manhattan,101,"{'latitude': '40.718833', 'longitude': '-74.010661'}",,MN24
155,199 CHAMBERS ST,200470.0634,56.0,12076.0,10013,199.0,Manhattan,101,"{'latitude': '40.71692', 'longitude': '-74.012281'}",,MN24
40,3521/2 GREENWICH ST,1.0,,,10013,,Manhattan,101,"{'latitude': '1.0', 'longitude': '1.0'}",,MN24
496,21 CHARLTON ST,204148.4733,57.0,12077.0,10014,21.0,Manhattan,102,"{'latitude': '40.727017', 'longitude': '-74.004072'}",,MN24
380,121 Avenue of the Amer,203012.5,57.0,12076.0,10013,121.0,Manhattan,102,"{'latitude': '40.723899', 'longitude': '-74.004681'}",,MN24
186,295 GREENWICH ST,200146.9039,56.0,11728.0,10007,295.0,Manhattan,101,"{'latitude': '40.716033', 'longitude': '-74.01102'}",,MN24
773,344 E 9 ST,204777.4577,70.0,11724.0,10003,344.0,Manhattan,103,"{'latitude': '40.728743', 'longitude': '-73.986174'}",,MN22
216,101 BARCLAY ST,199311.4118,56.0,11728.0,10007,101.0,Manhattan,101,"{'latitude': '40.71374', 'longitude': '-74.011889'}",,MN24
801,115 E 9 ST,205372.2598,70.0,11724.0,10003,115.0,Manhattan,103,"{'latitude': '40.730376', 'longitude': '-73.989944'}",,MN22
52,3721/2 GREENWICH ST,1.0,,,10013,,Manhattan,101,"{'latitude': '1.0', 'longitude': '1.0'}",,MN24
887,217 E 10 ST,205015.0165,70.0,11724.0,10003,217.0,Manhattan,103,"{'latitude': '40.729395', 'longitude': '-73.985904'}",,MN22
338,382 W BROADWAY,202950.1186,57.0,12075.0,10012,382.0,Manhattan,102,"{'latitude': '40.723728', 'longitude': '-74.002626'}",,MN24
758,51 ASTOR PL,205199.1101,70.0,11724.0,10003,51.0,Manhattan,103,"{'latitude': '40.7299', 'longitude': '-73.990676'}",,MN22
