projectid,mindate,commit_nccfederal,spent_total,adopt_nccother,spent_nccother,plannedcommit_nccfederal,allocate_nccfederal,commit_ccexempt,allocate_ccexempt,plannedcommit_nccstate,commit_nccother,allocate_ccnonexempt,plannedcommit_total,adopt_nccstate
P-1GHPCSR,2021-03-25T00:00:00.000,0.0,1648532.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-720.37,185000.0,0.0
PV988-IT1,2027-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C75RMSRFW,2019-04-29T00:00:00.000,0.0,614834.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1212810.0,0.0,0.0
HLDNSICT,2029-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82000.0,82000.0,0.0
P-200LFHH,2019-04-15T00:00:00.000,0.0,2403040.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334707.12,335000.0,0.0
LQ122-SAC,2014-09-19T00:00:00.000,0.0,68747.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,0.0,0.0
NDF-HLDN4,2020-03-18T00:00:00.000,0.0,1589259.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157888.43,158000.0,0.0
P-1CPIFIR,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4530000.0,4530000.0,0.0
P-200LONG,2014-11-26T00:00:00.000,0.0,2257010.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,712.95,0.0,0.0
PW77SANIT,2018-10-15T00:00:00.000,0.0,7787614.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2319.59,0.0,0.0
HAM15RFGR,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300000.0,150000.0,0.0
NC-UPGRD,2010-01-11T00:00:00.000,0.0,2301096296.7,0.0,0.0,0.0,5486327.48,2105627.41,246306928.94,0.0,0.0,2819.47,4210000.0,0.0
HLDNIMVAN,2027-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO304HEA2,2028-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2145000.0,0.0,0.0
LBM13CGHC,2015-04-07T00:00:00.000,0.0,6516747.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,929454.48,796000.0,0.0
HBQA23157,2027-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40879000.0,40879000.0,0.0
RH-80-L,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLQCOMM,2029-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330000.0,330000.0,0.0
HLQNFSHMR,2029-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,757000.0,757000.0,0.0
LNEA13MHU,2015-12-02T00:00:00.000,0.0,4163273.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,799370.26,635000.0,0.0
BATFACAD2,2010-02-08T00:00:00.000,0.0,514781.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192218.89,191000.0,0.0
PW77DDCAC,2023-10-11T00:00:00.000,0.0,2402989.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007969.8,1129000.0,0.0
PO187-PR8,2032-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377000.0,377000.0,0.0
P-200PPBL,2019-02-19T00:00:00.000,0.0,1478744.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.91,0.0,0.0
BB-215-L,2015-07-13T00:00:00.000,0.0,46524129.36,0.0,0.0,0.0,0.0,27295587.65,3195282.99,0.0,0.0,0.0,3349000.0,0.0
PS-297,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21288000.0,0.0,0.0,0.0,21288000.0,0.0
PS-277,2022-03-28T00:00:00.000,0.0,18301082.59,0.0,0.0,0.0,0.0,34838631.6,4193285.81,0.0,0.0,0.0,4467000.0,0.0
HAM17MRPL,2021-01-21T00:00:00.000,0.0,419392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608.0,0.0,0.0
SANDY3-14,2014-06-25T00:00:00.000,33595.96,5118784.18,0.0,0.0,-83000.0,-175.8,0.0,0.0,0.0,0.0,7750.27,-92000.0,0.0
LBC11RGFE,2021-05-05T00:00:00.000,0.0,196321.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26678.98,0.0,0.0
HIGHLINE,2010-03-15T00:00:00.000,0.0,81157253.39,6206000.0,6191685.16,684000.0,683667.0,0.0,0.0,0.0,12944.42,168520.17,791000.0,0.0
34201501,2030-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76000.0,76000.0,0.0
60202201,2025-05-05T00:00:00.000,0.0,1844470.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19924496.0,19924000.0,0.0
P-218MPRK,2015-08-31T00:00:00.000,0.0,6870683.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2316.08,0.0,0.0
HAM21DYEL,2021-07-01T00:00:00.000,0.0,4607356.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,739689.18,89000.0,0.0
HBQA23165,2028-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28160000.0,28160000.0,0.0
PV490-INF,2017-11-13T00:00:00.000,0.0,10658659.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1956637.59,1463000.0,0.0
P-502CTPK,2012-05-07T00:00:00.000,0.0,6896402.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144597.98,0.0,0.0
LNCA12SWP,2014-05-12T00:00:00.000,0.0,219113.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133256.95,50000.0,0.0
HWQMASPET,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94000000.0,94000000.0,0.0
PR-132-L,2021-10-13T00:00:00.000,0.0,1519832.8,0.0,0.0,0.0,0.0,24822.06,69549345.14,0.0,0.0,0.0,69100000.0,0.0
HH105BEAV,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55452000.0,55452000.0,0.0
HP-242-L,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4600000.0,0.0,0.0,0.0,4600000.0,0.0
PWNC025,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65000.0,0.0,0.0
PWGIRLSCT,2029-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0
LNC2STAPL,2010-03-15T00:00:00.000,0.0,13064148.33,97000.0,95069.9,0.0,0.0,0.0,0.0,0.0,0.0,903640.43,13000.0,0.0
RBKGARDEN,2013-07-22T00:00:00.000,0.0,466424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1315085.0,1065000.0,0.0
LBM13CYFS,2016-06-22T00:00:00.000,0.0,78437.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562.95,0.0,0.0
PWK291,2014-05-06T00:00:00.000,0.0,4663816.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4658183.35,0.0,0.0
BRKA24039,2020-03-09T00:00:00.000,0.0,5332429.94,0.0,0.0,50000000.0,50000000.0,0.0,0.0,0.0,0.0,220171509.96,267716000.0,0.0
AHGREEN,2016-08-22T00:00:00.000,0.0,37556628.29,25630000.0,23611462.14,0.0,0.0,0.0,0.0,0.0,1491031.19,0.0,3071000.0,0.0
HH115FRFA,2016-12-19T00:00:00.000,0.0,739604.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495131.62,0.0,0.0
PWCN900,2028-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300000.0,300000.0,0.0
P-3HIGHLL,2022-05-24T00:00:00.000,0.0,3366417.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97390.0,98000.0,0.0
ROCKOUT,2015-08-18T00:00:00.000,0.0,3784521.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-521.88,0.0,0.0
HAM18BPBC,2022-11-02T00:00:00.000,0.0,297953.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0
CSDNCHILD,2029-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145000.0,145000.0,0.0
48201402,2014-09-17T00:00:00.000,0.0,1607363.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136082.86,127000.0,0.0
SANDCD5,2020-01-06T00:00:00.000,38562.7,124556.9,0.0,0.0,425000.0,405192.36,0.0,0.0,0.0,0.0,41688.04,469000.0,0.0
ACSWLM,2010-02-03T00:00:00.000,0.0,4528780.07,0.0,0.0,0.0,-41.85,0.0,0.0,0.0,0.0,1221220.66,0.0,1143000.0
HAM17FORF,2018-03-19T00:00:00.000,0.0,280037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3266445.0,19027000.0,0.0
S136-332M,2019-01-08T00:00:00.000,0.0,4527005.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30095384.29,29392000.0,0.0
PV001-EQ1,2024-01-11T00:00:00.000,0.0,109269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6731.0,7000.0,0.0
NYPD5RTCC,2011-03-07T00:00:00.000,0.0,21656718.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86281.76,0.0,0.0
BB-218-L,2028-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,0.0,0.0,0.0,0.0,0.0
CSCN007TC,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250000.0,250000.0,0.0
PW310COOL,2029-06-01T00:00:00.000,0.0,5481.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508518.9,402000.0,0.0
SBSRELOCA,2018-09-25T00:00:00.000,0.0,20153801.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118198.93,117000.0,0.0
BB-226-L,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P-109WGTF,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1331000.0,1600000.0,0.0
P-6POOL18,2023-11-20T00:00:00.000,0.0,3799470.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1446529.97,1767000.0,0.0
PWDKIPS3,2029-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-799647.0,114000.0,0.0
P-303ABCP,2028-06-01T00:00:00.000,0.0,30321.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6058000.0,6058000.0,0.0
BATIMPRO,2010-02-16T00:00:00.000,0.0,14795294.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8802277.6,9801000.0,0.0
PW77X215,2030-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2616000.0,2596000.0,0.0
HL82FGHVC,2010-04-05T00:00:00.000,0.0,4333417.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,834414.39,0.0,0.0
RH-73-L,2027-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950000.0,0.0,0.0,0.0,0.0,0.0
HWQF2002V,2019-07-01T00:00:00.000,0.0,1360505.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-935723.64,236000.0,0.0
68201101,2012-02-08T00:00:00.000,0.0,122326477.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80522.96,0.0,0.0
P-109NOB1,2028-06-01T00:00:00.000,0.0,205000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,907000.0,907000.0,0.0
HBQ002C,2026-06-01T00:00:00.000,0.0,141207.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117792.79,0.0,0.0
PWCOMPDAT,2018-12-26T00:00:00.000,0.0,590327.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-581.74,0.0,0.0
PO187PR15,2013-02-11T00:00:00.000,0.0,113844.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,643155.86,643000.0,0.0
NDF-GRANT,2020-02-06T00:00:00.000,0.0,10773707.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3504931.0,3658000.0,0.0
HLXNUNIO,2029-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144000.0,144000.0,0.0
48201341,2019-03-15T00:00:00.000,0.0,59806.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40194.0,40000.0,0.0
HHCN001MC,2010-03-25T00:00:00.000,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343000.0,33000.0,0.0
NCAMBA2,2014-06-23T00:00:00.000,0.0,22510000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0.0
SANDCD15,2019-12-24T00:00:00.000,12529.92,172810.08,0.0,0.0,732000.0,731660.0,0.0,0.0,0.0,0.0,103000.0,835000.0,0.0
LQSUNCCTV,2016-05-05T00:00:00.000,0.0,77141.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-141.58,0.0,0.0
HAM19ADEL,2021-11-01T00:00:00.000,0.0,9804405.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1209453.97,341000.0,0.0
LICRENOV,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750000.0,750000.0,0.0
HRDN842A,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0.0
P-5PNYC06,2011-12-05T00:00:00.000,0.0,108642209.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,866032.13,1222000.0,0.0
NCROSS,2014-03-17T00:00:00.000,0.0,227000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1650000.0,1650000.0,0.0
HL82CHNWH,2027-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0.0
BVIEW,2026-06-01T00:00:00.000,0.0,1020000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300000.0,300000.0,0.0
HLKNBPZMC,2027-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0.0
NDF-HLDN5,2021-02-22T00:00:00.000,0.0,1059472.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.76,0.0,0.0
P-108SPBC,2021-11-03T00:00:00.000,0.0,4336794.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852400.5,785000.0,210000.0
SSSLUMP,2027-06-01T00:00:00.000,0.0,0.0,0.0,0.0,974000.0,974000.0,0.0,0.0,0.0,0.0,0.0,974000.0,0.0
NR-111-L,2022-06-07T00:00:00.000,0.0,591465.93,0.0,0.0,0.0,0.0,162281537.34,15451996.73,0.0,0.0,0.0,157524000.0,0.0
CRO-518,2019-11-06T00:00:00.000,0.0,6308048.0,0.0,0.0,0.0,0.0,351.09,494600.91,0.0,0.0,0.0,0.0,0.0
PV467POPP,2011-12-27T00:00:00.000,0.0,7026623.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2049029.4,2633000.0,0.0
PV236SGD2,2016-04-11T00:00:00.000,0.0,5964400.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-400.07,0.0,0.0
PO187GCHA,2016-08-29T00:00:00.000,0.0,256688.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312311.42,312000.0,0.0
SANDY4-17,2015-05-18T00:00:00.000,8764.26,2381643.1,0.0,0.0,0.0,-126.25,0.0,0.0,0.0,0.0,-254.88,0.0,0.0
CO304HEA5,2028-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2931000.0,0.0,0.0
PW77SECAM,2029-06-01T00:00:00.000,0.0,108967.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1368032.49,389000.0,0.0
P-312JJPG,2018-10-12T00:00:00.000,0.0,3330112.89,350000.0,350000.0,0.0,0.0,0.0,0.0,0.0,0.0,55839.74,55000.0,0.0
PIER35-36,2010-07-06T00:00:00.000,0.0,15310662.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1662.77,0.0,0.0
HHC112PRE,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1054000.0,783000.0,0.0
AGDELMCOR,2029-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510000.0,510000.0,0.0
HL82RCHD1,2021-06-08T00:00:00.000,0.0,654634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,0.0,0.0
P-1CRTORF,2024-04-12T00:00:00.000,0.0,3835553.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,618000.0,335000.0,0.0
TISHAUDRE,2027-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1750000.0,1750000.0,0.0
PS-289,2026-06-01T00:00:00.000,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,40500000.0,0.0,0.0,0.0,40500000.0,0.0
PO79PA13,2020-08-27T00:00:00.000,0.0,345079.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18310666.0,16382000.0,0.0
LNEA13STG,2016-12-27T00:00:00.000,0.0,6146905.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-94445.11,36000.0,0.0
P-201EYCK,2022-07-05T00:00:00.000,0.0,2164417.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1738.01,0.0,0.0
LQARVEXPN,2018-08-27T00:00:00.000,0.0,5022251.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2328923.77,2319000.0,0.0
PWD998TPC,2029-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120000.0,120000.0,0.0
CSDNJEWSH,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BED-806,2025-10-01T00:00:00.000,0.0,23467.97,0.0,0.0,0.0,0.0,2243.14,7685288.89,0.0,0.0,0.0,7385000.0,0.0
HBKA24315,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29929000.0,29929000.0,0.0
HH112KITC,2015-06-01T00:00:00.000,0.0,61603.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6115396.2,4661000.0,0.0
PO163-90,2027-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PW77207TU,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PO79MOU1,2014-03-19T00:00:00.000,0.0,329026.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9973.67,10000.0,0.0
PW326DOFR,2028-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1591000.0,1591000.0,0.0
HLDNPRIMH,2032-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P-110FLAG,2022-02-09T00:00:00.000,0.0,1200319.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379162.88,379000.0,0.0
P-3RETWAL,2014-10-29T00:00:00.000,0.0,4055349.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,927.69,0.0,0.0
PS-290,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124467000.0,0.0,0.0,0.0,124467000.0,0.0
PWDNPROME,2020-10-13T00:00:00.000,0.0,313522.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-522.87,0.0,0.0
P-109CHLL,2026-06-01T00:00:00.000,0.0,1247.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1239000.0,1227000.0,0.0
HLDNMAM44,2032-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LNXEA08BA,2025-10-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765000.0,1765000.0,0.0
PV274THTR,2028-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0
SANDY5-04,2013-12-16T00:00:00.000,0.0,2890745.64,0.0,0.0,-245000.0,1726.22,0.0,0.0,0.0,0.0,12528.14,-272000.0,0.0
PROSPPLC,2010-11-15T00:00:00.000,0.0,50537491.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80508.9,42000.0,2487000.0
C138FEDER,2019-04-29T00:00:00.000,0.0,237616.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382798.47,285000.0,0.0
HAM22MEBC,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150000.0,0.0
JA-179-L,2014-06-04T00:00:00.000,0.0,29347616.82,0.0,0.0,0.0,0.0,19675779.07,10867604.11,0.0,0.0,0.0,10948000.0,0.0
MSICUEXPA,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,5000000.0,0.0
HLDNWYCKF,2028-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,2000000.0,0.0
LQQVSCKIN,2029-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385000.0,385000.0,0.0
FASS,2013-09-03T00:00:00.000,0.0,1402134.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-836134.22,0.0,0.0
HHNC004,2028-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,693000.0,693000.0,0.0
HH112KTEX,2027-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456000.0,456000.0,0.0
RABRAHAM3,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0
PV123LOBY,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1619000.0,1619000.0,0.0
PW77ZK07,2027-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520000.0,520000.0,0.0
JCCVEHHD2,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164000.0,164000.0,0.0
HLDNIMANS,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252000.0,0.0
S136-424,2017-10-17T00:00:00.000,0.0,3647803.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41460858.7,53500000.0,0.0
ACEDPR251,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261523.0,959000.0,0.0
HAM16AMUP,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0
PWDNPHPPS,2029-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93000.0,93000.0,0.0
