location_name,borough_block_lot,nta,y_coordinate,fax_number,nta_name,geographical_district_code,highschool_network_superintendent,principal_phone_number,grades_text,state_code
P.S. 181 Brooklyn,3049040010,BK91,175444,718-284-5053,East Flatbush-Farragut                                                     ,17,,718-462-5298,"PK,0K,01,02,03,04,05,06,07,08,SE",NY
47 The American Sign Language and English Secondar,1009040024,MN21,208287,917-326-6688,Gramercy                                                                   ,2,"ROSALES, MARISOL",917-326-6668,"03,09,10,11,12,SE",NY
Ella Baker School,1014420001,MN31,218222,212-717-8807,Lenox Hill-Roosevelt Island                                                ,2,,212-717-8809,"PK,0K,01,02,03,04,05,06,07,08,SE",NY
P.S. 194 Countee Cullen,1020290011,MN03,238471,212-862-5743,Central Harlem North-Polo Grounds                                          ,5,,212-690-5954,"PK,0K,01,02,03,04,05,SE",NY
P.S. 527 - East Side School for Social Action,1015540015,MN32,223694,212-828-2712,Yorkville                                                                  ,2,,212-828-2710,"0K,01,02,03,04,05,SE",NY
Brooklyn School for Music & Theatre,3011870001,BK63,183307,718-230-6262,Crown Heights South                                                        ,17,"CONYERS, DONALD",718-230-6250,"09,10,11,12,SE",NY
P.S. 219 Kennedy-King,3046480001,BK96,179317,718-345-3065,Rugby-Remsen Village                                                       ,18,,718-342-0493,"PK,0K,01,02,03,04,05,SE",NY
P.S. 149 Danny Kaye,3037740016,BK85,183161,718-345-8118,East New York (Pennsylvania Ave)                                           ,19,,718-688-7620,"PK,0K,01,02,03,04,05,SE",NY
P.S. 244 Richard R. Green,3047390001,BK96,175315,718-345-3083,Rugby-Remsen Village                                                       ,18,,718-346-6240,"PK,0K,01,02,03,04,05,SE",NY
P.S. 112 Jose Celso Barbosa,1018160001,MN34,229613,212-860-6077,East Harlem North                                                          ,4,,212-860-5868,"PK,0K,01,02,SE",NY
Young Women's Leadership School of the Bronx,2028270001,BX41,248441,718-731-2595,Mount Hope                                                                 ,9,"MENDEZ, JUAN",718-731-2590,"06,07,08,09,10,11,SE",NY
East New York Middle School of Excellence,3040690001,BK82,183165,718-257-4738,East New York                                                              ,19,,718-257-4061,"06,07,08,SE",NY
High School of Language and Innovation,2043580001,BX07,252791,718-944-3641,Bronxdale                                                                  ,11,"STAPLE, CARRON",718-944-3625,"09,10,11,12",NY
The Longwood Academy for Discovery,2026960085,BX33,238081,718-842-8734,Longwood                                                                   ,8,,718-860-3313,"PK,0K,01,02,03,04,05,SE",NY
P.S. 050 Vito Marcantonio,1016940001,MN33,225483,212-860-6071,East Harlem South                                                          ,4,,212-860-5976,"0K,01,02,03,04,05,06,07,08,SE",NY
P.S. 196,2037750025,BX08,241988,718-861-8401,West Farms-Bronx River                                                     ,12,,718-328-7187,"PK,0K,01,02,03,04,05,SE",NY
P.S. 028 Mount Hope,2028040031,BX41,248367,718-583-6537,Mount Hope                                                                 ,9,,718-583-6444,"PK,0K,01,02,03,04,05,SE",NY
Liberty Avenue Middle School,3039690001,BK82,185988,718-647-1307,East New York                                                              ,19,,718-647-1301,"06,07,08,SE",NY
P.S. 321 William Penn,3009710028,BK37,184038,718-965-9605,Park Slope-Gowanus                                                         ,15,,718-499-2412,"0K,01,02,03,04,05,SE",NY
Performing Arts and Technology High School,3037880001,BK85,182252,718-922-0953,East New York (Pennsylvania Ave)                                           ,19,"CONYERS, DONALD",718-922-0762,"09,10,11,12,SE",NY
Archer Elementary School,2039210030,BX08,244667,718-828-3989,West Farms-Bronx River                                                     ,12,,718-828-3791,"PK,0K,01,02,03,04,05,SE",NY
P.S. 170,2028470041,BX41,246915,718-583-0685,Mount Hope                                                                 ,9,,718-583-0662,"0K,01,02,SE",NY
Bronx Bridges High School,2036040039,BX09,238502,718-829-2987,Soundview-Castle Hill-Clason Point-Harding Park                            ,8,"STAPLE, CARRON",718-829-2984,"09,10,11,12,SE",NY
Ampark Neighborhood,2032520182,BX28,261015,718-581-2411,Van Cortlandt Village                                                      ,10,,718-548-3451,"PK,0K,01,02,03,04,05,SE",NY
J.H.S. 080 The Mosholu Parkway,2033360035,BX43,258749,718-405-6324,Norwood                                                                    ,10,,718-405-6300,"06,07,08,SE",NY
P.S. 055 Benjamin Franklin,2029020001,BX01,243845,718-681-6247,Claremont-Bathgate                                                         ,9,,718-681-6227,"PK,0K,01,02,03,04,05,SE",NY
M.S. 243 Center School,1012140029,MN12,225360,212-579-9728,Upper West Side                                                            ,3,,212-799-1477,"05,06,07,08,SE",NY
P.S. 150 Charles James Fox,2027170005,BX27,239759,718-589-7590,Hunts Point                                                                ,12,,718-328-7729,"PK,0K,01,02,03,04,05,SE",NY
Madiba Prep Middle School,3016160001,BK35,191221,718-574-2805,Stuyvesant Heights                                                         ,16,,718-574-2804,"06,07,08,SE",NY
Mott Hall Community School,2054380001,BX52,240553,718-829-3859,Schuylerville-Throgs Neck-Edgewater Park                                   ,8,,718-829-3254,"06,07,08,SE",NY
P.S. 138 Samuel Randall,2036090016,BX09,238893,718-239-3114,Soundview-Castle Hill-Clason Point-Harding Park                            ,8,,718-822-5325,"PK,0K,01,02,03,04,05,SE",NY
P.S. 289 George V. Brower,3012290028,BK61,184927,718-467-3735,Crown Heights North                                                        ,17,,718-493-3824,"PK,0K,01,02,03,04,05,SE",NY
Baruch College Campus High School,1008550016,MN13,209567,212-683-7338,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,2,"ROSALES, MARISOL",212-683-7440,"09,10,11,12,SE",NY
Professional Performing Arts High School,1010380014,MN15,216649,212-247-7514,Clinton                                                                    ,2,"ROSALES, MARISOL",212-247-8652,"06,07,08,09,10,11,12,SE",NY
School for Tourism and Hospitality,2026680001,BX35,238668,718-401-4219,Morrisania-Melrose                                                         ,8,"STAPLE, CARRON",718-401-4214,"09,10,11,12,SE",NY
P.S. 184m Shuang Wen,1002450007,MN28,198359,212-602-9710,Lower East Side                                                            ,1,,212-602-9700,"PK,0K,01,02,03,04,05,06,07,08,SE",NY
J.H.S. 220 John J. Pershing,3007780023,BK34,172809,718-871-7466,Sunset Park East                                                           ,20,,718-633-8200,"06,07,08,SE",NY
P.S. 163 Arthur A. Schomburg,2031420048,BX41,249591,718-584-3276,Mount Hope                                                                 ,9,,718-584-3045,"PK,0K,01,02,03,04,05,SE",NY
M.S. 113 Ronald Edmonds Learning Center,3021030004,BK68,190215,718-596-2802,Fort Greene                                                                ,13,,718-834-6734,"06,07,08,SE",NY
Bronx School of Law and Finance,1022150080,MN01,258943,718-561-0595,Marble Hill-Inwood                                                         ,10,"MENDEZ, JUAN",718-561-0113,"09,10,11,12,SE",NY
P.S. 398 Walter Weaver,3045950215,BK96,180975,718-467-4018,Rugby-Remsen Village                                                       ,17,,718-774-4466,"PK,0K,01,02,03,04,05,SE",NY
P.S. 171 Patrick Henry,1016090007,MN33,227938,212-860-6079,East Harlem South                                                          ,4,,212-860-5801,"PK,0K,01,02,03,04,05,06,07,08,SE",NY
Brownsville Academy High School,3035080012,BK81,182019,718-778-7385,Brownsville                                                                ,17,"ROTONDO, PAUL",718-778-7305,"10,11,12",NY
High School M560 - City As School,1005810054,MN23,204890,212-337-6875,West Village                                                               ,2,"PELLES, KATHY",212-337-6800,"10,11,12",NY
Arturo A. Schomburg Satellite Academy Bronx,2026980012,BX33,239180,718-589-3710,Longwood                                                                   ,12,"PELLES, KATHY",718-518-3050,"10,11,12",NY
Fiorello H. LaGuardia High School of Music & Art a,1011560030,MN14,221340,212-724-5748,Lincoln Square                                                             ,3,"WALSH, FRED",212-496-0700,"09,10,11,12",NY
Gotham Collaborative High School,2036040039,BX09,238502,718-597-1371,Soundview-Castle Hill-Clason Point-Harding Park                            ,8,"STAPLE, CARRON",718-597-1587,"09,10,11,12,SE",NY
Herbert H. Lehman High School,2053680001,BX52,245271,718-904-4235,Schuylerville-Throgs Neck-Edgewater Park                                   ,8,"STAPLE, CARRON",718-904-4200,"09,10,11,12,SE",NY
P.S. 175 Henry H Garnet,1019190006,MN03,235986,212-286-6319,Central Harlem North-Polo Grounds                                          ,5,,212-283-0426,"PK,0K,01,02,03,04,05,SE",NY
Alfred E. Smith Career and Technical Education Hig,2024110022,BX34,237542,718-292-1944,Melrose South-Mott Haven North                                             ,7,"MENDEZ, JUAN",718-993-5000,"09,10,11,12,SE",NY
"P.S./M.S. 20 P.O.George J. Werdann, III",2033300001,BX43,256077,718-515-9378,Norwood                                                                    ,10,,718-515-9370,"PK,0K,01,02,03,04,05,06,07,08,SE",NY
High School of Telecommunication Arts and Technolo,3058500030,BK31,171252,718-759-3490,Bay Ridge                                                                  ,20,"CONYERS, DONALD",718-759-3400,"09,10,11,12,SE",NY
High School for Innovation in Advertising and Medi,3082220001,BK50,172660,718-290-8766,Canarsie                                                                   ,18,"CONYERS, DONALD",718-290-8760,"09,10,11,12,SE",NY
Brighter Choice Community School,3017730014,BK35,191999,718-443-0639,Stuyvesant Heights                                                         ,16,,718-574-2378,"PK,0K,01,02,03,04,05,SE",NY
P.S. 182,2035640001,BX09,237666,718-409-8152,Soundview-Castle Hill-Clason Point-Harding Park                            ,8,,718-828-6607,"PK,0K,01,02,03,04,05,SE",NY
P.S. 233 Langston Hughes,3047530001,BK96,176699,718-345-3078,Rugby-Remsen Village                                                       ,18,,718-346-8103,"PK,0K,01,02,03,04,05,SE",NY
Brooklyn High School for Leadership and Community,3019260010,BK69,191399,718-638-3404,Clinton Hill                                                               ,13,"ROTONDO, PAUL",718-638-3062,"09,10,11,12,SE",NY
New Voices School of Academic & Creative Arts,3008800001,BK32,180026,718-965-0603,Sunset Park West                                                           ,15,,718-965-0390,"06,07,08,SE",NY
Union Square Academy for Health Sciences,1008720057,MN21,207189,212-253-3108,Gramercy                                                                   ,2,"ROSALES, MARISOL",212-253-3110,"09,10,11,12,SE",NY
Crotona Academy High School,2029750037,BX35,241434,,Morrisania-Melrose                                                         ,12,"ROTONDO, PAUL",718-860-5370,"09,10,11,12",NY
Health Opportunities High School,2023440096,BX63,236471,718-401-1632,West Concourse                                                             ,7,"STAPLE, CARRON",718-401-1826,"09,10,11,12,SE",NY
P.S. 287 Bailey K. Ashford,3001110001,BK38,193525,718-834-6766,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,13,,718-834-4745,"PK,0K,01,02,03,04,05,SE",NY
Bronx Writing Academy,2024380050,BX14,242417,718-293-9748,East Concourse-Concourse Village                                           ,9,,718-293-9048,"06,07,08,SE",NY
The Highbridge Green School,2025270032,BX26,244663,718-410-5779,Highbridge                                                                 ,9,,718-410-5770,"06,07,08,SE",NY
City College Academy of the Arts,1021720016,MN35,252953,212-567-3958,Washington Heights North                                                   ,6,"WALSH, FRED",212-567-3164,"06,07,08,09,10,11,12,SE",NY
The Bronx School of Young Leaders,2028620014,BX36,249231,718-583-4292,University Heights-Morris Heights                                          ,10,,718-583-4146,"06,07,08,SE",NY
P.S. 161 Pedro Albizu Campos,1019710001,MN06,237198,917-507-0524,Manhattanville                                                             ,5,,212-690-5945,"0K,01,02,03,04,05,06,07,08,SE",NY
P.S. 310 Marble Hill,2032390041,BX30,257159,718-796-9528,Kingsbridge Heights                                                        ,10,,718-796-9434,"PK,0K,01,02,03,04,05,SE",NY
