ats_system_code,beds_number,location_type_description,community_school_sup_name,administrative_district_name,open_date,principal_name,admin_district_location_code,:@computed_region_92fq_4b7q,census_tract,field_support_center_name,location_1
14K050      ,331400010050,General Academic,"WINNICKI, ALICJA",COMMUNITY SCHOOL DISTRICT 14,1915-07-01T00:00:00.000,Benjamin Honoroff,K814,30,52300,Field Support Center - Brooklyn North,"{'latitude': '40.711915', 'longitude': '-73.960137', 'human_address': '{""address"": ""183 SOUTH 3 STREET"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11211""}'}"
84K740      ,331900860958,General Academic,,OFFICE OF CHARTER SCHOOLS,2009-07-01T00:00:00.000,Desiree Kirton,,25,120800,,"{'latitude': '40.669356', 'longitude': '-73.867138', 'human_address': '{""address"": ""2635 LINDEN BOULEVARD"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11208""}'}"
10X009      ,321000010009,General Academic,"HULLA, MARIBEL",COMMUNITY SCHOOL DISTRICT 10,1938-07-01T00:00:00.000,JACQUELINE BAILEY,X810,22,38301,Field Support Center - Bronx,"{'latitude': '40.85644', 'longitude': '-73.898821', 'human_address': '{""address"": ""230 EAST 183 STREET"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10458""}'}"
15K230      ,331500010230,General Academic,"SKOP, ANITA",COMMUNITY SCHOOL DISTRICT 15,1930-07-01T00:00:00.000,Maria Della Ragione,K815,27,49800,Field Support Center - Brooklyn North,"{'latitude': '40.645609', 'longitude': '-73.980515', 'human_address': '{""address"": ""1 ALBEMARLE ROAD"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11218""}'}"
10X213      ,321000011213,General Academic,,,2004-09-08T00:00:00.000,Karalyne Sperling,HS08,39,30900,Affinity Group,"{'latitude': '40.877379', 'longitude': '-73.912686', 'human_address': '{""address"": ""99 TERRACE VIEW AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10463""}'}"
84K702      ,331300860810,General Academic,,OFFICE OF CHARTER SCHOOLS,2000-04-04T00:00:00.000,Jubilee Mosley/Nicole Barzey,,48,19300,,"{'latitude': '40.691275', 'longitude': '-73.961134', 'human_address': '{""address"": ""241 EMERSON PLACE"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11205""}'}"
11X270      ,321100011270,General Academic,,,2005-07-01T00:00:00.000,ZENOBIA WHITE,HS02,2,40400,Field Support Center - Bronx,"{'latitude': '40.888242', 'longitude': '-73.852714', 'human_address': '{""address"": ""921 EAST 228TH STREET"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10466""}'}"
03M075      ,310300010075,General Academic,"ALTSCHUL, ILENE",COMMUNITY SCHOOL DISTRICT 03,1950-07-01T00:00:00.000,ROBERT OBRIEN,M803,19,18300,Field Support Center - Manhattan,"{'latitude': '40.795109', 'longitude': '-73.973996', 'human_address': '{""address"": ""735 WEST END AVENUE"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10025""}'}"
19K409      ,331900011409,General Academic,,,1999-07-01T00:00:00.000,Anthony Yard,HS05,25,110400,Field Support Center - Brooklyn North,"{'latitude': '40.661104', 'longitude': '-73.886664', 'human_address': '{""address"": ""2057 LINDEN BOULEVARD"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11207""}'}"
11X529      ,321100010529,General Academic,"ROSS PORTER, MEISHA",COMMUNITY SCHOOL DISTRICT 11,2011-07-01T00:00:00.000,Patricia Wynne,X10C,2,48400,Field Support Center - Bronx,"{'latitude': '40.886002', 'longitude': '-73.839682', 'human_address': '{""address"": ""3750 BAYCHESTER AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10466""}'}"
27Q056      ,342700010056,General Academic,"BARTON, MARY",COMMUNITY SCHOOL DISTRICT 27,1896-07-01T00:00:00.000,ANN LEITER,Q827,41,13000,Field Support Center - Queens South,"{'latitude': '40.698989', 'longitude': '-73.835735', 'human_address': '{""address"": ""86-10 114 STREET"", ""city"": ""QUEENS"", ""state"": ""NY"", ""zip"": ""11418""}'}"
01M020      ,310100010020,General Academic,"PHILLIPS, DANIELLA",COMMUNITY SCHOOL DISTRICT 01,1963-07-01T00:00:00.000,SARAH PINTO VIAGRAN,M801,32,3001,Field Support Center - Manhattan,"{'latitude': '40.721305', 'longitude': '-73.986312', 'human_address': '{""address"": ""166 ESSEX STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10002""}'}"
05M670      ,310500011670,General Academic,"RUX, DANIKA",COMMUNITY SCHOOL DISTRICT 05,1999-07-01T00:00:00.000,Sean Davenport,M805,36,22800,Affinity Group,"{'latitude': '40.815237', 'longitude': '-73.944299', 'human_address': '{""address"": ""200-214 WEST 135TH STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10030""}'}"
18K642      ,331800011642,General Academic,,,2008-07-01T00:00:00.000,Steve Dorcely,HS06,8,99000,Field Support Center - Brooklyn South,"{'latitude': '40.640543', 'longitude': '-73.898601', 'human_address': '{""address"": ""1600 ROCKAWAY PARKWAY"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11236""}'}"
04M310      ,310200010310,General Academic,"ESTRELLA, ALEXANDRA",COMMUNITY SCHOOL DISTRICT 04,2017-07-01T00:00:00.000,Andrew Brown,DA79,35,15602,Field Support Center - Manhattan,"{'latitude': '40.784112', 'longitude': '-73.945647', 'human_address': '{""address"": ""321 EAST 96 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10128""}'}"
09X555      ,320900010555,General Academic,"RODRIGUEZ-ROSARIO, LETICIA",COMMUNITY SCHOOL DISTRICT 09,2012-07-01T00:00:00.000,Jacqueline Radoslovich,X809,29,20900,Field Support Center - Bronx,"{'latitude': '40.842503', 'longitude': '-73.916084', 'human_address': '{""address"": ""1501 JEROME AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10452""}'}"
15K448      ,331500010448,General Academic,,,2003-07-01T00:00:00.000,Priscilla Chan,HS12,27,6300,Affinity Group,"{'latitude': '40.679462', 'longitude': '-74.002022', 'human_address': '{""address"": ""610 HENRY STREET"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11231""}'}"
08X014      ,320800010014,General Academic,"AMES, KAREN",COMMUNITY SCHOOL DISTRICT 08,1928-07-01T00:00:00.000,Ira Schulman,X808,12,18400,Field Support Center - Bronx,"{'latitude': '40.835318', 'longitude': '-73.826277', 'human_address': '{""address"": ""3041 BRUCKNER BOULEVARD"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10461""}'}"
10X437      ,321000011437,General Academic,,,2001-07-01T00:00:00.000,IRIS BLIGE,HS02,22,38700,Field Support Center - Bronx,"{'latitude': '40.859466', 'longitude': '-73.888625', 'human_address': '{""address"": ""500 EAST FORDHAM ROAD"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10458""}'}"
15K010      ,331500010010,General Academic,"SKOP, ANITA",COMMUNITY SCHOOL DISTRICT 15,1930-07-01T00:00:00.000,LAURA SCOTT,K815,7,14900,Field Support Center - Brooklyn North,"{'latitude': '40.660912', 'longitude': '-73.985946', 'human_address': '{""address"": ""511 7 AVENUE"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11215""}'}"
04M206      ,310400010206,General Academic,"ESTRELLA, ALEXANDRA",COMMUNITY SCHOOL DISTRICT 04,1968-07-01T00:00:00.000,CAMILLE FORBES,M804,35,19200,Field Support Center - Manhattan,"{'latitude': '40.796889', 'longitude': '-73.930528', 'human_address': '{""address"": ""508 EAST 120 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10035""}'}"
12X248      ,321200011248,General Academic,,,2005-07-01T00:00:00.000,Latoya Key,HS09,43,13100,Field Support Center - Bronx,"{'latitude': '40.827539', 'longitude': '-73.896925', 'human_address': '{""address"": ""1180 REV. J.A. POLITE AVE."", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10459""}'}"
01M063      ,310100010063,General Academic,"PHILLIPS, DANIELLA",COMMUNITY SCHOOL DISTRICT 01,1905-07-01T00:00:00.000,DARLENE CAMERON,M801,50,3200,Field Support Center - Manhattan,"{'latitude': '40.72444', 'longitude': '-73.986214', 'human_address': '{""address"": ""121 EAST 3 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10009""}'}"
10X095      ,321000010095,General Academic,"HULLA, MARIBEL",COMMUNITY SCHOOL DISTRICT 10,1933-07-01T00:00:00.000,SERGE DAVIS,X810,40,28100,Field Support Center - Bronx,"{'latitude': '40.883049', 'longitude': '-73.891664', 'human_address': '{""address"": ""3961 HILLMAN AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10463""}'}"
10X051      ,321000010051,General Academic,"HULLA, MARIBEL",COMMUNITY SCHOOL DISTRICT 10,1992-05-05T00:00:00.000,Min Hong,X810,22,39100,Field Support Center - Bronx,"{'latitude': '40.850674', 'longitude': '-73.886997', 'human_address': '{""address"": ""695 EAST 182ND STREET"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10457""}'}"
11X016      ,321100010016,General Academic,"ROSS PORTER, MEISHA",COMMUNITY SCHOOL DISTRICT 11,1909-07-01T00:00:00.000,Eduardo Calderon,X10C,40,41400,Field Support Center - Bronx,"{'latitude': '40.902311', 'longitude': '-73.854231', 'human_address': '{""address"": ""4550 CARPENTER AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10470""}'}"
18K763      ,331800010763,General Academic,"WILKINS, BEVERLY",COMMUNITY SCHOOL DISTRICT 18,2014-07-01T00:00:00.000,ANGELA DEFILIPPIS,K818,26,94600,Field Support Center - Brooklyn South,"{'latitude': '40.647851', 'longitude': '-73.925592', 'human_address': '{""address"": ""5404 TILDEN AVENUE"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11203""}'}"
03M334      ,310300010334,General Academic,"ALTSCHUL, ILENE",COMMUNITY SCHOOL DISTRICT 03,2005-07-01T00:00:00.000,JODI HYDE,M803,19,16100,Field Support Center - Manhattan,"{'latitude': '40.780536', 'longitude': '-73.977602', 'human_address': '{""address"": ""100 WEST 77 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10024""}'}"
12X372      ,321200010372,General Academic,,,2007-07-01T00:00:00.000,Astrid Jacobo,HS03,43,36300,Affinity Group,"{'latitude': '40.843781', 'longitude': '-73.884192', 'human_address': '{""address"": ""2024 MOHEGAN AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10460""}'}"
08X036      ,320800010036,General Academic,"AMES, KAREN",COMMUNITY SCHOOL DISTRICT 08,1901-07-01T00:00:00.000,Elvira Maresca,X808,31,7800,Field Support Center - Bronx,"{'latitude': '40.82948', 'longitude': '-73.849791', 'human_address': '{""address"": ""1070 CASTLE HILL AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10472""}'}"
10X159      ,321000010159,General Academic,"HULLA, MARIBEL",COMMUNITY SCHOOL DISTRICT 10,1992-02-19T00:00:00.000,LUIS LIZ,X810,22,38500,Field Support Center - Bronx,"{'latitude': '40.85568', 'longitude': '-73.893136', 'human_address': '{""address"": ""2315 WASHINGTON AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10458""}'}"
15K423      ,331500011423,Transfer School,,,2011-07-01T00:00:00.000,Alona Cohen,HS10,38,4300,Field Support Center - Brooklyn North,"{'latitude': '40.690007', 'longitude': '-73.989369', 'human_address': '{""address"": ""112 SCHERMERHORN STREET"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11201""}'}"
20K205      ,332000010205,General Academic,"COSTANTINO, KARINA",COMMUNITY SCHOOL DISTRICT 20,1925-07-01T00:00:00.000,BETH GRATER,K820,45,25600,Field Support Center - Brooklyn South,"{'latitude': '40.614737', 'longitude': '-73.986792', 'human_address': '{""address"": ""6701 20 AVENUE"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11204""}'}"
20K170      ,332000010170,General Academic,"COSTANTINO, KARINA",COMMUNITY SCHOOL DISTRICT 20,1915-07-01T00:00:00.000,ZHEN WU,K820,44,13400,Field Support Center - Brooklyn South,"{'latitude': '40.630373', 'longitude': '-74.018719', 'human_address': '{""address"": ""619 72ND STREET"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11209""}'}"
09X454      ,320900010454,General Academic,"RODRIGUEZ-ROSARIO, LETICIA",COMMUNITY SCHOOL DISTRICT 09,2009-07-01T00:00:00.000,Dr. PATRICK AWOSOGBA,X809,42,18302,Field Support Center - Bronx,"{'latitude': '40.828009', 'longitude': '-73.917705', 'human_address': '{""address"": ""250 EAST 164 STREET"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10456""}'}"
18K115      ,331800010115,General Academic,"WILKINS, BEVERLY",COMMUNITY SCHOOL DISTRICT 18,1922-07-01T00:00:00.000,Loren Borgese,K818,8,100800,Field Support Center - Brooklyn South,"{'latitude': '40.634861', 'longitude': '-73.897896', 'human_address': '{""address"": ""1500 EAST 92 STREET"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11236""}'}"
02M529      ,310200011529,General Academic,,,1996-06-05T00:00:00.000,EDWARD DEMEO,HS04,51,11900,Field Support Center - Manhattan,"{'latitude': '40.757626', 'longitude': '-73.98346', 'human_address': '{""address"": ""120 WEST 46 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10036""}'}"
18K629      ,331800011629,General Academic,,,2008-07-01T00:00:00.000,Sanatha Alexis,HS06,26,93600,Field Support Center - Brooklyn South,"{'latitude': '40.647728', 'longitude': '-73.922212', 'human_address': '{""address"": ""5800 TILDEN AVENUE"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11203""}'}"
10X206      ,321000010206,General Academic,"HULLA, MARIBEL",COMMUNITY SCHOOL DISTRICT 10,1980-07-01T00:00:00.000,RAFAEL CABRAL,X810,29,25300,Field Support Center - Bronx,"{'latitude': '40.859534', 'longitude': '-73.906285', 'human_address': '{""address"": ""2280 AQUEDUCT AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10468""}'}"
02M033      ,310200010033,General Academic,"LABOY, BONNIE",COMMUNITY SCHOOL DISTRICT 02,1951-07-01T00:00:00.000,Chingchien Wang,M802,10,9700,Field Support Center - Manhattan,"{'latitude': '40.749014', 'longitude': '-74.000238', 'human_address': '{""address"": ""281 9 AVENUE"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10001""}'}"
02M077      ,310200010077,General Academic,"LABOY, BONNIE",COMMUNITY SCHOOL DISTRICT 02,1999-07-01T00:00:00.000,Sandra Miller,M802,1,15801,Field Support Center - Manhattan,"{'latitude': '40.785018', 'longitude': '-73.95042', 'human_address': '{""address"": ""1700 3 AVENUE"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10128""}'}"
16K021      ,331600010021,General Academic,"AMON, RAHESHA",COMMUNITY SCHOOL DISTRICT 16,1956-07-01T00:00:00.000,Leslie Frazier,K816,49,38100,Field Support Center - Brooklyn North,"{'latitude': '40.68035', 'longitude': '-73.926673', 'human_address': '{""address"": ""180 CHAUNCEY STREET"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11233""}'}"
08X367      ,320800011367,General Academic,"AMES, KAREN",COMMUNITY SCHOOL DISTRICT 08,2007-07-01T00:00:00.000,MIRIAM LAZAR,X808,31,400,Field Support Center - Bronx,"{'latitude': '40.815043', 'longitude': '-73.85607', 'human_address': '{""address"": ""456 WHITE PLAINS ROAD"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10473""}'}"
12X212      ,321200010212,General Academic,"ESPINAL PACHECO, RAFAELA",COMMUNITY SCHOOL DISTRICT 12,1999-07-01T00:00:00.000,Fatimah Ali,X812,43,13500,Field Support Center - Bronx,"{'latitude': '40.828406', 'longitude': '-73.900121', 'human_address': '{""address"": ""1180 TINTON AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10456""}'}"
07X381      ,320700011381,Transfer School,,,2008-07-01T00:00:00.000,Jazmin Rivera-Polanco,HS08,43,6700,Affinity Group,"{'latitude': '40.818645', 'longitude': '-73.919949', 'human_address': '{""address"": ""333 EAST 151 STREET"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10451""}'}"
14K614      ,331400011614,General Academic,,,2008-07-01T00:00:00.000,Catherine Mitchell,HS07,30,48500,Affinity Group,"{'latitude': '40.705005', 'longitude': '-73.93879', 'human_address': '{""address"": ""325 BUSHWICK AVENUE"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11206""}'}"
08X537      ,320800011537,Transfer School,,,2011-07-01T00:00:00.000,Ty Cesene,HS08,43,2800,Affinity Group,"{'latitude': '40.820486', 'longitude': '-73.881187', 'human_address': '{""address"": ""1440 STORY AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10473""}'}"
12X286      ,321200010286,General Academic,"ESPINAL PACHECO, RAFAELA",COMMUNITY SCHOOL DISTRICT 12,2005-07-01T00:00:00.000,Abbey Wilson,X812,43,15700,Field Support Center - Bronx,"{'latitude': '40.831493', 'longitude': '-73.88654', 'human_address': '{""address"": ""1001 JENNINGS STREET"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10460""}'}"
19K213      ,331900010213,General Academic,THOMAS MCBRYDE JR,COMMUNITY SCHOOL DISTRICT 19,1939-07-01T00:00:00.000,Stanley Moise,K819,25,110400,Field Support Center - Brooklyn North,"{'latitude': '40.659845', 'longitude': '-73.889968', 'human_address': '{""address"": ""580 HEGEMAN AVENUE"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11207""}'}"
07X495      ,320700011495,General Academic,,,1996-06-05T00:00:00.000,Hazel Joseph Roseboro,HS12,43,7100,Affinity Group,"{'latitude': '40.818041', 'longitude': '-73.911633', 'human_address': '{""address"": ""701 ST. ANNS AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10455""}'}"
20K503      ,332000010503,General Academic,"COSTANTINO, KARINA",COMMUNITY SCHOOL DISTRICT 20,2006-04-27T00:00:00.000,NINA DEMOS,K820,7,7400,Field Support Center - Brooklyn South,"{'latitude': '40.64195', 'longitude': '-74.019299', 'human_address': '{""address"": ""330 59 STREET"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11220""}'}"
10X059      ,321000010059,General Academic,"HULLA, MARIBEL",COMMUNITY SCHOOL DISTRICT 10,1921-07-01T00:00:00.000,Sita Basu,X810,22,39500,Field Support Center - Bronx,"{'latitude': '40.853141', 'longitude': '-73.893639', 'human_address': '{""address"": ""2185 BATHGATE AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10457""}'}"
02M449      ,310200011449,General Academic,,,1999-07-01T00:00:00.000,WILLIAM KLANN,HS12,1,11800,Affinity Group,"{'latitude': '40.765638', 'longitude': '-73.959777', 'human_address': '{""address"": ""317 EAST 67 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10065""}'}"
01M019      ,310100010019,General Academic,"PHILLIPS, DANIELLA",COMMUNITY SCHOOL DISTRICT 01,1956-07-01T00:00:00.000,JACQUELINE FLANAGAN,M801,50,4000,Field Support Center - Manhattan,"{'latitude': '40.730009', 'longitude': '-73.984496', 'human_address': '{""address"": ""185 1 AVENUE"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10003""}'}"
02M546      ,310200011546,Career Technical,,,2012-07-01T00:00:00.000,Seung Yu,HS07,50,5000,Affinity Group,"{'latitude': '40.735361', 'longitude': '-73.987064', 'human_address': '{""address"": ""40 IRVING PLACE"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10003""}'}"
10X056      ,321000010056,General Academic,"HULLA, MARIBEL",COMMUNITY SCHOOL DISTRICT 10,1915-07-01T00:00:00.000,M Oneill,X810,40,42902,Field Support Center - Bronx,"{'latitude': '40.875481', 'longitude': '-73.874912', 'human_address': '{""address"": ""341 EAST 207 STREET"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10467""}'}"
06M178      ,310600010178,General Academic,"RAMIREZ, MANUEL",COMMUNITY SCHOOL DISTRICT 06,2001-07-01T00:00:00.000,DEIRDRE BUDD,M806,39,28300,Field Support Center - Manhattan,"{'latitude': '40.85924', 'longitude': '-73.928301', 'human_address': '{""address"": ""12-18 ELLWOOD STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10040""}'}"
02M531      ,310200011531,General Academic,,,1996-06-05T00:00:00.000,Michael Fram,HS04,51,11900,Field Support Center - Manhattan,"{'latitude': '40.756089', 'longitude': '-73.984381', 'human_address': '{""address"": ""123 WEST 43 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10036""}'}"
19K202      ,331900010202,General Academic,THOMAS MCBRYDE JR,COMMUNITY SCHOOL DISTRICT 19,1925-07-01T00:00:00.000,Ronald James Jr,K819,25,111600,Field Support Center - Brooklyn North,"{'latitude': '40.665817', 'longitude': '-73.876084', 'human_address': '{""address"": ""982 HEGEMAN AVENUE"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11208""}'}"
14K586      ,331400011586,General Academic,,,2007-07-01T00:00:00.000,KAREN ONISHI,HS12,30,50500,Affinity Group,"{'latitude': '40.709765', 'longitude': '-73.944463', 'human_address': '{""address"": ""223 GRAHAM AVENUE"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11206""}'}"
18K276      ,331800010276,General Academic,"WILKINS, BEVERLY",COMMUNITY SCHOOL DISTRICT 18,1964-07-01T00:00:00.000,Yasmine Fidelia,K818,8,99600,Field Support Center - Brooklyn South,"{'latitude': '40.634005', 'longitude': '-73.908436', 'human_address': '{""address"": ""1070 EAST 83 STREET"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11236""}'}"
07X018      ,320700010018,General Academic,"ALVAREZ, ELISA",COMMUNITY SCHOOL DISTRICT 07,1952-07-01T00:00:00.000,Lauren Sewell Walker,X807,35,5100,Field Support Center - Bronx,"{'latitude': '40.816369', 'longitude': '-73.922697', 'human_address': '{""address"": ""502 MORRIS AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10451""}'}"
06M128      ,310600010128,General Academic,"RAMIREZ, MANUEL",COMMUNITY SCHOOL DISTRICT 06,1961-07-01T00:00:00.000,ROSA ARGEL ARREDONDO,M806,39,25100,Field Support Center - Manhattan,"{'latitude': '40.841032', 'longitude': '-73.938701', 'human_address': '{""address"": ""560 WEST 169 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10032""}'}"
10X077      ,321000010077,General Academic,"HULLA, MARIBEL",COMMUNITY SCHOOL DISTRICT 10,2014-07-01T00:00:00.000,CAROLYN HEREDIA,X810,40,42500,Field Support Center - Bronx,"{'latitude': '40.872559', 'longitude': '-73.875375', 'human_address': '{""address"": ""3177 WEBSTER AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10467""}'}"
06M048      ,310600010048,General Academic,"RAMIREZ, MANUEL",COMMUNITY SCHOOL DISTRICT 06,1993-07-01T00:00:00.000,TRACY WALSH,M806,39,27100,Field Support Center - Manhattan,"{'latitude': '40.853193', 'longitude': '-73.933629', 'human_address': '{""address"": ""4360-78 BROADWAY"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10033""}'}"
12X214      ,321200010214,General Academic,"ESPINAL PACHECO, RAFAELA",COMMUNITY SCHOOL DISTRICT 12,1999-07-01T00:00:00.000,DAVID CINTRON,X812,43,6000,Field Support Center - Bronx,"{'latitude': '40.839297', 'longitude': '-73.879931', 'human_address': '{""address"": ""1970 WEST FARMS ROAD"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10460""}'}"
15K118      ,331500010118,General Academic,"SKOP, ANITA",COMMUNITY SCHOOL DISTRICT 15,2013-07-01T00:00:00.000,W ELIZABET GARRAWAY,K815,27,13700,Field Support Center - Brooklyn North,"{'latitude': '40.671145', 'longitude': '-73.987602', 'human_address': '{""address"": ""211 8TH STREET"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11215""}'}"
02M135      ,310200011135,Career Technical,,,2013-07-01T00:00:00.000,Rodolfo Elizondo,HS03,32,2900,Affinity Group,"{'latitude': '40.711441', 'longitude': '-74.000851', 'human_address': '{""address"": ""411 PEARL STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10038""}'}"
04M096      ,310400010096,General Academic,"ESTRELLA, ALEXANDRA",COMMUNITY SCHOOL DISTRICT 04,1964-07-01T00:00:00.000,David Pretto,M804,35,19400,Field Support Center - Manhattan,"{'latitude': '40.79969', 'longitude': '-73.937179', 'human_address': '{""address"": ""216 EAST 120 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10035""}'}"
02M425      ,310200011425,General Academic,,,1996-06-05T00:00:00.000,Philip Santos,HS04,32,1300,Field Support Center - Manhattan,"{'latitude': '40.708971', 'longitude': '-74.012465', 'human_address': '{""address"": ""90 TRINITY PLACE"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10006""}'}"
16K267      ,331600010267,General Academic,"AMON, RAHESHA",COMMUNITY SCHOOL DISTRICT 16,1999-07-01T00:00:00.000,PATRICIA KING,K816,49,29300,Field Support Center - Brooklyn North,"{'latitude': '40.68797', 'longitude': '-73.932066', 'human_address': '{""address"": ""800 GATES AVENUE"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11221""}'}"
10X243      ,321000011243,General Academic,,,2004-09-08T00:00:00.000,WILPER MORALES,HS08,22,38700,Affinity Group,"{'latitude': '40.859466', 'longitude': '-73.888625', 'human_address': '{""address"": ""500 EAST FORDHAM ROAD"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10458""}'}"
18K285      ,331800010285,General Academic,"WILKINS, BEVERLY",COMMUNITY SCHOOL DISTRICT 18,1954-07-01T00:00:00.000,George Patterson,K818,26,93600,Field Support Center - Brooklyn South,"{'latitude': '40.647818', 'longitude': '-73.920784', 'human_address': '{""address"": ""5909 BEVERLY ROAD"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11203""}'}"
12X267      ,321200011267,General Academic,,,2004-09-08T00:00:00.000,Annette Fiorentino,HS08,42,13100,Affinity Group,"{'latitude': '40.826933', 'longitude': '-73.900593', 'human_address': '{""address"": ""800 HOME STREET"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10456""}'}"
17K091      ,331700010091,General Academic,"ELLIS, CLARENCE",COMMUNITY SCHOOL DISTRICT 17,1904-07-01T00:00:00.000,Tessa Alleyne,K817,17,80600,Field Support Center - Brooklyn South,"{'latitude': '40.661806', 'longitude': '-73.940707', 'human_address': '{""address"": ""532 ALBANY AVENUE"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11203""}'}"
10X226      ,321000010226,General Academic,"HULLA, MARIBEL",COMMUNITY SCHOOL DISTRICT 10,1999-07-01T00:00:00.000,GLORIA DARDEN,X810,29,24900,Field Support Center - Bronx,"{'latitude': '40.855822', 'longitude': '-73.916076', 'human_address': '{""address"": ""1950 SEDGWICK AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10453""}'}"
