latitude,longitude,manhattan_condominiums_comparable_properties_gross_income_per_sqft,comparable_rental_1_gross_income_per_sqft,comparable_rental_1_year_built,comparable_rental_1_gross_sqft,manhattan_condominiums_comparable_properties_year_built,comparable_rental_3_net_operating_income,comparable_rental_1_boro_block_lot,bbl,manhattan_condominiums_comparable_properties_building_classification,comparable_rental_2_gross_sqft,community_board,comparable_rental_2_year_built,comparable_rental_3_expense_per_sqft,comparable_rental_3_boro_block_lot
40.738642,-73.987511,45.62,46.11,1927,99750,1913.0, ,1-00850-0039,1008497504.0,R4-CONDOMINIUM,78646.0,5.0,1911.0, ,
40.733287,-73.989327,29.48,30.2,1959,156465,1985.0, ,1-00556-0001,1005587501.0,R4-CONDOMINIUM,65602.0,3.0,1929.0, ,
40.74002,-73.991743,45.73,46.66,1935,14110,1906.0,"908,699",1-00821-0040,1008227504.0,R4-CONDOMINIUM,64049.0,5.0,1911.0,12.46,1-00846-0001
40.728474,-73.999798,26.5,23.45,1920,53200,1910.0, ,1-00504-0036,1005257501.0,R9-CONDOMINIUM,38880.0,2.0,1920.0, ,
40.717707,-73.983828,40.71,35.5,1900,38498,1930.0, ,1-00348-0040,1003437501.0,R4-CONDOMINIUM,30870.0,3.0,1910.0, ,
40.792682,-73.976757,36.87,45.03,1912,64598,1911.0, ,1-01251-0063,1012517501.0,R4-CONDOMINIUM,63794.0,7.0,1906.0, ,
40.750067,-73.979179,39.37,33.15,1950,153398,1956.0, ,1-00866-0035,1008687502.0,R4-CONDOMINIUM,182767.0,6.0,1975.0, ,
40.743868,-73.985341,44.48,37.78,1920,34545,1913.0,"1,331,744",1-00860-0015,1008587501.0,R4-CONDOMINIUM,60110.0,5.0,1923.0,12.46,1-00862-0009
40.734593,-73.983311,41.83,43.81,1965,153800,1901.0, ,1-00928-0040,1008987501.0,R4-CONDOMINIUM,51122.0,6.0,1911.0, ,
40.784306,-73.971101,31.17,40.62,1907,47765,1924.0, ,1-01199-0001,1011977501.0,R4-CONDOMINIUM,49977.0,7.0,1926.0, ,
