school_name,survey_pp_es,n_chronic_absent_ems_allem,teacher_ethnicity_pacific,n_chronic_absent_ems_allep,n_pct_accel_try_all,n_pct_core_soc_all,n_chronic_absent_ems_allgf,val_prof_pct_watn3_elalevel34,n_prof_2plus_watn5_elalevel1,val_pct_accel_p_lote_all,ethnicity_black_pct,val_prof_pct_watn5_elalevel2,qr_5_1,ethnicity_hispanic_pct_dist,val_chronic_absent_ems_allea,n_prof_2plus_watn3_elalevel1,rating_ela_grade_5_pct_rs,ethnicity_white_pct,qr_4_1,val_interaction_k8_all,n_pct_accel_p_all,qr_2_2,near_pct_white,survey_pp_ct,val_pct_core_mth_all,teacher_ethnicity_black_pct,n_pct_accel_p_sci_all,n_pct_accelerated_all,n_chronic_absent_ems_all,n_prof_pct_watn3_mthlevel2,teacher_ethnicity_amerindian,n_pct_accel_sci_all,qr_1_3,val_pct_core_soc_all,n_hs_9gr_credits_all,n_attendance_k8_all,near_pct_black,n_chronic_absent_ems_allei,ethnicity_amerindian_pct,temp_housing_pct,val_pct_accel_lote_all,val_prof_2plus_watn5_elalevel1,ethnicity_pacific_pct_dist,n_pct_accel_p_lote_all,n_pct_core_ela_all,ethnicity_black_pct_dist,val_prof_pct_watn5_elalevel34,val_prof_pct_watn3_elalevel2,teach_3_more_exp,n_chronic_absent_ems_alleh,n_prof_2plus_watn5_mthlevel1
New Design Middle School,0.56,No Data,0,No Data,38,123,85,No Data,32,No Data,0.572,0.176,Developing,0.314,No Data,No Data,2.1,0.022,Developing,0.737,No Data,Developing,0.048,0.43,1,0.4,No Data,38,150,No Data,0,38,Developing,1,53,157,0.419,1,0.007,0.196,0,0.375,0.003,No Data,123,0.574,No Data,No Data,0.5,61,29
J.H.S. 062 Ditmas,0.75,8,0,7,385,1138,563,No Data,147,No Data,0.16,0.481,Proficient,0.259,0.847,No Data,2.53,0.13,Proficient,0.871,87,Proficient,0.229,0.76,0.978,0.186,87,385,1199,No Data,0,385,Well Developed,0.991,422,1226,0.088,6,0.005,0.138,0,0.714,0.006,No Data,1138,0.029,0.891,No Data,0.837,404,111
P.S./ I.S. 155 Nicholas Herkimer,0.95,No Data,0,1,39,101,172,No Data,26,No Data,0.477,No Data,Developing,0.21,No Data,No Data,No Data,0.018,Developing,0.844,12,Proficient,0.012,0.95,1,0.576,5,39,352,No Data,0,39,Proficient,1,47,373,0.658,3,0.009,0.252,0,0.654,0.003,No Data,101,0.749,No Data,No Data,0.939,167,21
P.S. 094 Kings College School,0.83,6,No Data,5,No Data,No Data,581,0.372,No Data,No Data,0.151,No Data,Proficient,0.76,0.693,48,No Data,0.029,Proficient,0.876,No Data,Proficient,0.03,0.84,No Data,0.165,No Data,No Data,1186,47,No Data,No Data,Proficient,No Data,No Data,1229,0.154,26,0.022,0.191,No Data,No Data,0.002,No Data,No Data,0.134,No Data,0.136,0.825,846,No Data
P.S. 204 Vince Lombardi,0.89,2,0,1,No Data,No Data,520,0.816,No Data,No Data,0.005,No Data,Proficient,0.247,0.961,17,No Data,0.253,Proficient,0.982,No Data,Well Developed,0.207,0.93,No Data,0,No Data,No Data,1120,26,0,No Data,Well Developed,No Data,No Data,1131,0.001,4,0.004,0.027,No Data,No Data,0.001,No Data,No Data,0.009,No Data,0.184,0.973,227,No Data
Theatre Arts Production Company School,0.94,No Data,0,No Data,59,181,111,No Data,26,No Data,0.249,0.412,Proficient,0.751,No Data,No Data,2.39,0.016,Well Developed,0.822,57,Proficient,0.011,No Data,0.928,0.178,53,59,199,No Data,0,59,Well Developed,0.994,56,206,0.234,No Data,0.0,0.182,0,0.692,0.004,No Data,181,0.158,No Data,No Data,0.778,143,20
P.S. 160 Walt Disney,0.77,7,0,No Data,No Data,No Data,163,0.773,No Data,No Data,0.617,No Data,Proficient,0.396,No Data,7,No Data,0.021,Proficient,0.934,No Data,Developing,0.024,0.8,No Data,0.243,No Data,No Data,352,13,0,No Data,Proficient,No Data,No Data,358,0.7,1,0.003,0.089,No Data,No Data,0.004,No Data,No Data,0.437,No Data,0.2,0.784,113,No Data
P.S. 129 Patricia Larkin,0.96,7,0,1,No Data,No Data,553,0.628,No Data,No Data,0.014,No Data,Well Developed,0.271,0.963,8,No Data,0.111,Well Developed,0.949,No Data,Well Developed,0.097,0.95,No Data,No Data,No Data,No Data,1143,21,0,No Data,Well Developed,No Data,No Data,1171,0.016,6,0.004,0.052,No Data,No Data,0.002,No Data,No Data,0.034,No Data,0.25,0.899,611,No Data
I.S. 281 Joseph B Cavallaro,0.95,4,0,9,434,1240,610,No Data,150,0,0.066,0.685,Proficient,0.203,0.943,No Data,2.67,0.28,Well Developed,0.942,149,Proficient,0.287,No Data,0.971,0.087,90,434,1271,No Data,0,434,Well Developed,0.981,459,1331,0.039,4,0.003,0.062,0,0.767,0.007,90,1240,0.064,0.949,No Data,0.815,301,96
J.H.S. 157 Stephen A. Halsey,0.89,56,0,6,526,1603,829,No Data,95,0,0.079,0.524,Well Developed,0.288,0.912,No Data,2.97,0.407,Well Developed,0.822,462,Well Developed,0.45,0.85,0.978,No Data,226,526,1670,No Data,0,526,Well Developed,0.978,466,1684,0.031,12,0.007,0.047,0,0.663,0.021,459,1603,0.221,0.897,No Data,0.769,383,70
P.S. 242 - The Young Diplomats Magnet Academy,0.94,3,0,No Data,No Data,No Data,56,No Data,No Data,No Data,0.624,No Data,Proficient,0.293,No Data,5,No Data,0.017,Proficient,0.782,No Data,Proficient,0.104,0.94,No Data,0.368,No Data,No Data,127,7,0,No Data,Proficient,No Data,No Data,136,0.55,No Data,0.0,0.316,No Data,No Data,0.003,No Data,No Data,0.206,No Data,No Data,0.737,41,No Data
I.S. X303 Leadership & Community Service,0.98,1,0,1,98,305,154,No Data,40,No Data,0.279,0.567,Proficient,0.673,No Data,No Data,2.35,0.01,Proficient,0.955,42,Proficient,0.008,0.98,0.997,0.344,No Data,98,321,No Data,0,98,Proficient,1,85,332,0.283,1,0.003,0.165,0,0.65,0.003,No Data,305,0.297,0.739,No Data,0.625,223,33
Harbor Heights,0.65,1,0,No Data,50,115,60,No Data,2,0,0.0,No Data,Proficient,0.897,No Data,No Data,1.71,0.0,Proficient,0.82,50,Proficient,0.07,0.69,1,No Data,No Data,50,132,No Data,0,50,Well Developed,0.765,53,142,0.061,No Data,0.0,0.317,0,No Data,0.001,50,115,0.064,No Data,No Data,1,131,4
P.S. 239,0.91,No Data,0,No Data,No Data,No Data,215,0.692,No Data,No Data,0.02,No Data,Proficient,0.687,0.891,16,No Data,0.074,Proficient,0.977,No Data,Proficient,0.133,0.93,No Data,No Data,No Data,No Data,469,25,0,No Data,Proficient,No Data,No Data,475,0.03,1,0.002,0.202,No Data,No Data,0.002,No Data,No Data,0.016,No Data,0.226,0.976,359,No Data
Academy For Personal Leadership And Excellence,0.93,1,No Data,1,312,860,409,No Data,92,No Data,0.145,0.673,Proficient,0.751,0.95,No Data,2.21,0.02,Proficient,0.916,8,Proficient,0.007,0.88,1,0.17,No Data,312,905,No Data,No Data,312,Well Developed,1,173,926,0.169,10,0.011,0.225,0,0.739,0.004,No Data,860,0.158,No Data,No Data,0.798,725,79
P.S. 213 The Carl Ullman School,0.95,7,0,3,No Data,No Data,196,0.643,No Data,No Data,0.099,No Data,No Data,0.141,0.833,No Data,No Data,0.124,No Data,0.702,No Data,Well Developed,0.104,0.93,No Data,0,No Data,No Data,407,4,0,No Data,No Data,No Data,No Data,435,0.06,1,0.003,0.053,No Data,No Data,0.003,No Data,No Data,0.045,No Data,No Data,0.939,64,No Data
Brooklyn Studio Secondary School,0.72,1,0,2,105,328,161,No Data,38,0,0.024,0.889,Proficient,0.203,0.846,No Data,2.35,0.422,Proficient,0.902,63,Proficient,0.399,0.69,0.994,0.076,17,105,341,No Data,0,105,Proficient,0.966,109,351,0.011,3,0.009,0.037,0,0.842,0.007,58,328,0.064,0.947,No Data,0.849,117,28
I.S. 237,0.9,6,0,4,448,1324,654,No Data,96,0,0.039,0.624,Proficient,0.266,0.942,No Data,2.95,0.01,Well Developed,0.891,213,Proficient,0.013,0.9,0.982,No Data,124,448,1380,No Data,0,448,Well Developed,0.974,461,1400,0.023,No Data,0.0,0.061,0,0.75,0.003,124,1324,0.036,0.864,No Data,0.874,215,39
P.S. 121 Throop,0.7,3,0,3,No Data,No Data,356,0.636,No Data,No Data,0.5,No Data,Proficient,0.396,0.886,24,No Data,0.058,Proficient,0.874,No Data,Proficient,0.074,0.75,No Data,0.218,No Data,No Data,780,39,0,No Data,Proficient,No Data,No Data,809,0.395,6,0.008,0.147,No Data,No Data,0.004,No Data,No Data,0.437,No Data,0.075,0.927,263,No Data
P.S. 055 Benjamin Franklin,0.98,No Data,0,No Data,No Data,No Data,278,0.333,No Data,No Data,0.483,No Data,Proficient,0.692,No Data,20,No Data,0.012,Proficient,0.924,No Data,Proficient,0.018,No Data,No Data,0.42,No Data,No Data,545,21,No Data,No Data,Proficient,No Data,No Data,578,0.491,1,0.002,0.208,No Data,No Data,0.002,No Data,No Data,0.277,No Data,0.179,0.82,277,No Data
Dock Street School for STEAM Studies,0.8,8,0,8,87,276,149,No Data,24,No Data,0.644,0.636,Proficient,0.183,No Data,No Data,3.07,0.102,Proficient,0.875,57,Proficient,0.264,0.77,0.986,0.556,57,87,286,No Data,0,87,Proficient,0.996,72,290,0.201,No Data,0.0,0.088,0,0.875,0.012,No Data,276,0.693,0.818,No Data,0.963,50,19
P.S. 536,0.94,1,No Data,4,No Data,No Data,202,No Data,No Data,No Data,0.204,No Data,Well Developed,0.696,0.702,19,No Data,0.019,Well Developed,0.881,No Data,Proficient,0.015,0.95,No Data,0.161,No Data,No Data,402,13,No Data,No Data,Proficient,No Data,No Data,416,0.225,7,0.016,0.153,No Data,No Data,0.003,No Data,No Data,0.231,No Data,0.15,0.968,252,No Data
P.S. 128 Bensonhurst,0.94,2,0,No Data,No Data,No Data,216,0.81,No Data,No Data,0.007,No Data,Proficient,0.255,0.943,8,No Data,0.482,Developing,0.958,No Data,Developing,0.408,0.96,No Data,0,No Data,No Data,472,19,0,No Data,Proficient,No Data,No Data,488,0.009,5,0.011,0.031,No Data,No Data,0.003,No Data,No Data,0.075,No Data,0.174,0.79,112,No Data
P.S. 008 Robert Fulton,0.92,64,0,No Data,No Data,No Data,331,0.838,No Data,No Data,0.039,No Data,Proficient,0.209,0.933,1,No Data,0.689,Well Developed,0.984,No Data,Well Developed,0.656,0.96,No Data,No Data,No Data,No Data,695,8,0,No Data,Proficient,No Data,No Data,738,0.056,3,0.004,0.009,No Data,No Data,0.006,No Data,No Data,0.443,No Data,No Data,1,78,No Data
P.S. 153 Adam Clayton Powell,0.93,4,0,No Data,No Data,No Data,205,0.517,No Data,No Data,0.166,No Data,Well Developed,0.851,No Data,17,No Data,0.028,Well Developed,0.999,No Data,Proficient,0.042,No Data,No Data,0.243,No Data,No Data,444,18,0,No Data,Proficient,No Data,No Data,472,0.195,1,0.002,0.237,No Data,No Data,0.001,No Data,No Data,0.059,No Data,0.133,0.541,343,No Data
P.S./M.S. 031 The William Lloyd Garrison,0.8,No Data,0,No Data,68,222,293,No Data,50,No Data,0.273,No Data,Developing,0.675,0.684,No Data,No Data,0.03,Proficient,0.787,21,Developing,0.019,0.82,1,0.271,21,68,660,No Data,0,68,Proficient,1,70,684,0.362,9,0.014,0.25,0,0.78,0.002,No Data,222,0.291,No Data,No Data,0.898,429,45
P.S. 095 Eastwood,0.97,10,0,13,No Data,No Data,753,0.698,No Data,No Data,0.103,No Data,Well Developed,0.165,0.674,6,No Data,0.013,Well Developed,0.967,No Data,Proficient,0.027,0.98,No Data,0.302,No Data,No Data,1497,41,0,No Data,Well Developed,No Data,No Data,1565,0.13,77,0.052,0.13,No Data,No Data,0.009,No Data,No Data,0.568,No Data,0.255,0.954,615,No Data
Urban Assembly School for Applied Math and Science,0.87,1,0,1,85,252,129,No Data,50,0,0.24,0.353,Proficient,0.673,No Data,No Data,2.27,0.004,Well Developed,1,85,Developing,0.012,0.83,0.964,0.226,No Data,85,259,No Data,0,85,Well Developed,0.881,87,264,0.341,1,0.004,0.152,0,0.68,0.003,47,252,0.297,0.773,No Data,0.419,192,36
Frederick Douglass Academy VIII Middle School,1,No Data,No Data,6,97,301,164,No Data,36,No Data,0.694,0.424,Well Developed,0.455,0.875,No Data,2.72,0.026,Proficient,0.932,64,Proficient,0.025,No Data,0.99,0.435,64,97,310,No Data,No Data,97,Well Developed,1,100,316,0.791,No Data,0.0,0.098,0,0.611,0.007,No Data,301,0.442,0.861,No Data,0.87,65,31
P.S. 018 Edward Bush,0.88,No Data,No Data,1,No Data,No Data,80,No Data,No Data,No Data,0.237,No Data,Developing,0.503,No Data,7,No Data,0.089,Proficient,0.851,No Data,Developing,0.157,0.88,No Data,No Data,No Data,No Data,184,5,No Data,No Data,Proficient,No Data,No Data,192,0.223,No Data,0.0,0.178,No Data,No Data,0.003,No Data,No Data,0.207,No Data,No Data,0.667,124,No Data
Community Health Academy of the Heights,0.97,1,0,No Data,91,271,138,No Data,44,No Data,0.092,0.63,Proficient,0.897,No Data,No Data,2.25,0.015,Well Developed,0.881,44,Proficient,0.037,0.95,0.967,0.135,37,91,277,No Data,0,91,Well Developed,0.908,90,281,0.136,No Data,0.0,0.141,0,0.773,0.001,No Data,271,0.064,1,No Data,0.904,243,38
P.S. 196 Grand Central Parkway,0.96,68,0,2,No Data,No Data,551,0.929,No Data,No Data,0.017,No Data,No Data,0.274,0.886,No Data,No Data,0.413,No Data,0.98,No Data,Well Developed,0.378,0.98,No Data,No Data,No Data,No Data,1071,5,0,No Data,No Data,No Data,No Data,1087,0.024,3,0.003,0.01,No Data,No Data,0.012,No Data,No Data,0.193,No Data,No Data,0.903,120,No Data
Washington Heights Academy,0.96,1,0,1,61,178,284,No Data,9,No Data,0.015,0.882,Proficient,0.848,No Data,No Data,No Data,0.019,Proficient,0.957,20,Well Developed,0.039,0.96,1,No Data,No Data,61,530,No Data,0,61,Proficient,1,46,548,0.021,1,0.002,0.116,0,No Data,0.001,No Data,178,0.068,1,No Data,1,501,5
P.S. 194 Raoul Wallenberg,0.99,2,0,48,No Data,No Data,260,0.552,No Data,No Data,0.453,No Data,Proficient,0.158,0.955,9,No Data,0.206,Proficient,0.973,No Data,Proficient,0.26,0.99,No Data,No Data,No Data,No Data,515,25,0,No Data,Proficient,No Data,No Data,541,0.398,4,0.002,0.158,No Data,No Data,0.006,No Data,No Data,0.334,No Data,0.121,0.796,100,No Data
P.S. 005 Ellen Lurie,0.92,2,No Data,No Data,No Data,No Data,250,0.313,No Data,No Data,0.059,No Data,Proficient,0.851,No Data,3,No Data,0.008,Proficient,0.941,No Data,Developing,0.026,0.96,No Data,0.115,No Data,No Data,503,18,No Data,No Data,Well Developed,No Data,No Data,528,0.193,1,0.0,0.111,No Data,No Data,0.001,No Data,No Data,0.059,No Data,0.3,0.865,460,No Data
Comprehensive Model School Project M.S. 327,0.91,No Data,0,No Data,101,298,161,No Data,40,No Data,0.189,0.643,Proficient,0.673,No Data,No Data,2.51,0.003,Proficient,0.855,91,Proficient,0.006,0.87,1,0.259,91,101,306,No Data,0,101,Well Developed,1,90,308,0.252,No Data,0.0,0.184,0,0.9,0.003,No Data,298,0.297,1,No Data,0.722,247,38
Brownsville Collaborative Middle School,0.96,2,0,No Data,98,263,133,No Data,26,No Data,0.711,No Data,Proficient,0.187,No Data,No Data,2.16,0.007,Proficient,0.752,10,Developing,0.026,0.93,0.357,0.818,1,98,279,No Data,0,98,Proficient,0.205,81,291,0.607,2,0.007,0.238,0,0.346,0.001,No Data,263,0.773,No Data,No Data,0.546,74,27
The Gordon Parks School,0.87,6,0,1,118,351,381,No Data,24,No Data,0.942,0.5,Proficient,0.17,No Data,No Data,No Data,0.003,Proficient,0.899,34,Proficient,0.014,0.8,0.821,0.531,No Data,118,747,No Data,0,118,Proficient,0.991,81,754,0.854,7,0.009,0.043,0,0.708,0.009,No Data,351,0.601,0.818,No Data,0.939,25,31
P.S. 130,1,11,0,1,No Data,No Data,167,0.838,No Data,No Data,0.027,No Data,Well Developed,0.271,0.961,1,No Data,0.199,Well Developed,0.99,No Data,Well Developed,0.157,0.99,No Data,0,No Data,No Data,369,10,0,No Data,Well Developed,No Data,No Data,370,0.018,1,0.003,0.019,No Data,No Data,0.002,No Data,No Data,0.034,No Data,No Data,1,68,No Data
P.S. 090 Horace Mann,0.83,6,0,5,No Data,No Data,355,0.576,No Data,No Data,0.03,No Data,Well Developed,0.457,0.804,13,No Data,0.054,Proficient,0.999,No Data,Well Developed,0.086,0.79,No Data,No Data,No Data,No Data,724,35,0,No Data,Well Developed,No Data,No Data,744,0.043,17,0.024,0.076,No Data,No Data,0.012,No Data,No Data,0.196,No Data,0.15,0.906,417,No Data
P.S. 060 Woodhaven,0.92,6,0,3,No Data,No Data,483,0.791,No Data,No Data,0.031,No Data,Proficient,0.457,0.881,21,No Data,0.027,Well Developed,0.932,No Data,Well Developed,0.053,0.91,No Data,No Data,No Data,No Data,1015,36,0,No Data,Well Developed,No Data,No Data,1041,0.034,37,0.033,0.075,No Data,No Data,0.012,No Data,No Data,0.196,No Data,0.418,0.889,728,No Data
P.S. 175 Henry H Garnet,0.92,1,0,9,No Data,No Data,145,0.909,No Data,No Data,0.514,No Data,Proficient,0.419,No Data,14,No Data,0.032,Proficient,0.747,No Data,Proficient,0.058,0.92,No Data,0.214,No Data,No Data,309,18,0,No Data,Proficient,No Data,No Data,330,0.579,3,0.007,0.298,No Data,No Data,0.007,No Data,No Data,0.503,No Data,0.316,0.714,122,No Data
P.S. 020 Clinton Hill,0.99,36,No Data,1,No Data,No Data,276,0.667,No Data,No Data,0.439,No Data,Proficient,0.209,No Data,7,No Data,0.266,Developing,0.923,No Data,Proficient,0.29,0.99,No Data,0.412,No Data,No Data,497,9,No Data,No Data,Proficient,No Data,No Data,507,0.358,1,0.002,0.099,No Data,No Data,0.006,No Data,No Data,0.443,No Data,No Data,0.882,96,No Data
Battery Park City School,0.99,83,0,No Data,81,263,417,No Data,9,No Data,0.032,0.867,Proficient,0.174,0.944,No Data,No Data,0.529,Proficient,0.926,81,Well Developed,0.489,0.96,1,No Data,81,81,850,No Data,0,81,Proficient,1,63,857,0.014,No Data,0.0,0.014,0,No Data,0.003,No Data,263,0.075,0.889,No Data,0.857,113,5
P.S. 220 Edward Mandel,0.95,20,0,No Data,No Data,No Data,323,0.719,No Data,No Data,0.05,No Data,Proficient,0.274,0.822,19,No Data,0.334,Proficient,0.943,No Data,Well Developed,0.229,0.95,No Data,No Data,No Data,No Data,666,16,0,No Data,Proficient,No Data,No Data,700,0.022,3,0.005,0.063,No Data,No Data,0.012,No Data,No Data,0.193,No Data,0.071,0.913,163,No Data
P.S. 207 Elizabeth G. Leary,0.87,29,0,5,126,364,500,No Data,31,No Data,0.319,0.545,Proficient,0.155,0.879,No Data,No Data,0.322,Proficient,0.927,60,Proficient,0.399,0.87,1,No Data,34,126,1078,No Data,No Data,126,Well Developed,1,110,1095,0.239,6,0.006,0.031,0,0.806,0.006,No Data,364,0.344,0.951,No Data,0.938,175,17
P.S. 165 Edith K. Bergtraum,0.86,10,0,2,No Data,No Data,345,0.829,No Data,No Data,0.126,No Data,Well Developed,0.271,0.886,6,No Data,0.121,Well Developed,0.926,No Data,Well Developed,0.113,0.88,No Data,No Data,No Data,No Data,685,18,0,No Data,Well Developed,No Data,No Data,736,0.187,5,0.008,0.079,No Data,No Data,0.002,No Data,No Data,0.034,No Data,0.167,0.922,155,No Data
"Young Women's Leadership School, Queens",0.78,4,0,5,82,247,259,No Data,9,No Data,0.348,No Data,Well Developed,0.288,0.925,No Data,3.37,0.024,Well Developed,0.969,80,Proficient,0.066,0.82,0.968,0.265,80,82,259,No Data,0,82,Well Developed,0.992,66,267,0.19,8,0.032,0.063,0,No Data,0.021,No Data,247,0.221,0.92,No Data,1,31,8
Central Park East II,0.78,19,0,1,50,149,230,No Data,12,No Data,0.319,No Data,Proficient,0.562,0.905,No Data,No Data,0.132,Proficient,0.95,No Data,Proficient,0.17,0.8,0.987,0.186,No Data,50,449,No Data,0,50,Well Developed,No Data,42,459,0.241,1,0.002,0.134,0,No Data,0.004,No Data,149,0.321,No Data,No Data,0.791,203,9
M.S. 255 Salk School of Science,1,29,0,2,127,382,239,No Data,4,0,0.01,No Data,Well Developed,0.188,0.971,No Data,3.88,0.621,Well Developed,0.939,127,Well Developed,0.3,No Data,1,No Data,No Data,127,383,No Data,0,127,Well Developed,1,112,384,0.118,1,0.003,0.018,0,No Data,0.003,127,382,0.09,0.979,No Data,0.96,38,2
P.S./M.S. 004 Crotona Park West,0.73,1,0,2,51,122,235,No Data,29,No Data,0.502,No Data,Proficient,0.656,No Data,No Data,No Data,0.007,Well Developed,0.929,No Data,Proficient,0.015,No Data,0.951,0.217,No Data,51,474,No Data,0,51,Proficient,0.959,54,514,0.518,No Data,0.0,0.433,0,0.724,0.003,No Data,122,0.312,No Data,No Data,0.5,225,24
P.S. 129 John H. Finley,0.74,2,0,No Data,60,133,172,No Data,24,No Data,0.505,0.467,Developing,0.384,No Data,No Data,No Data,0.013,Developing,0.796,23,Developing,0.031,0.82,0.895,0.55,23,60,351,No Data,0,60,Developing,0.977,55,382,0.437,6,0.019,0.23,0,0.5,0.003,No Data,133,0.553,No Data,No Data,0.85,150,26
P.S. 036 Saint Albans School,0.78,3,No Data,2,No Data,No Data,173,0.333,No Data,No Data,0.788,No Data,Proficient,0.165,No Data,5,No Data,0.0,Well Developed,0.849,No Data,Proficient,0.017,0.82,No Data,0.516,No Data,No Data,369,29,No Data,No Data,Proficient,No Data,No Data,392,0.825,12,0.032,0.157,No Data,No Data,0.009,No Data,No Data,0.568,No Data,0.08,0.903,59,No Data
I.S. 254,No Data,No Data,0,7,172,446,244,No Data,94,No Data,0.143,0.7,Proficient,0.751,No Data,No Data,2.08,0.004,Proficient,0.73,163,Proficient,0.016,No Data,0.978,0.209,No Data,172,480,No Data,0,172,Proficient,0.978,142,512,0.232,2,0.004,0.254,0,0.681,0.004,No Data,446,0.158,No Data,No Data,0.605,397,82
P.S. 186 Dr. Irving A Gladstone,0.91,6,0,No Data,No Data,No Data,580,0.69,No Data,No Data,0.004,No Data,No Data,0.247,0.893,13,No Data,0.314,No Data,0.961,No Data,Well Developed,0.286,0.92,No Data,0,No Data,No Data,1145,33,0,No Data,No Data,No Data,No Data,1165,0.01,6,0.004,0.028,No Data,No Data,0.001,No Data,No Data,0.009,No Data,0.167,0.706,315,No Data
P.S. 142 Amalia Castro,0.89,2,0,No Data,No Data,No Data,123,0.474,No Data,No Data,0.165,No Data,Proficient,0.529,No Data,8,No Data,0.025,Well Developed,0.896,No Data,Proficient,0.124,0.85,No Data,0.132,No Data,No Data,287,10,0,No Data,Well Developed,No Data,No Data,310,0.129,5,0.022,0.291,No Data,No Data,0.005,No Data,No Data,0.153,No Data,0.048,0.684,220,No Data
P.S. 078 Anne Hutchinson,0.86,1,0,1,No Data,No Data,362,0.742,No Data,No Data,0.699,No Data,Proficient,0.396,No Data,30,No Data,0.025,Proficient,0.851,No Data,Developing,0.023,0.88,No Data,0.421,No Data,No Data,765,29,0,No Data,Proficient,No Data,No Data,802,0.774,8,0.01,0.156,No Data,No Data,0.004,No Data,No Data,0.437,No Data,0.024,0.842,193,No Data
Brighter Choice Community School,0.93,2,0,No Data,No Data,No Data,142,No Data,No Data,No Data,0.582,No Data,No Data,0.232,No Data,6,No Data,0.036,No Data,0.917,No Data,Well Developed,0.031,0.93,No Data,0.478,No Data,No Data,265,7,0,No Data,No Data,No Data,No Data,278,0.531,3,0.012,0.181,No Data,No Data,0.01,No Data,No Data,0.697,No Data,No Data,0.522,99,No Data
P.S. 015 Jackie Robinson,0.87,4,0,1,No Data,No Data,198,0.6,No Data,No Data,0.848,No Data,Proficient,0.165,No Data,7,No Data,0.003,Proficient,0.89,No Data,Proficient,0.004,0.85,No Data,0.423,No Data,No Data,396,27,No Data,No Data,Well Developed,No Data,No Data,415,0.834,8,0.016,0.136,No Data,No Data,0.009,No Data,No Data,0.568,No Data,0.1,0.846,40,No Data
J.H.S. 189 Daniel Carter Beard,0.83,2,0,5,255,707,373,No Data,43,No Data,0.031,0.558,Proficient,0.266,0.964,No Data,2.73,0.018,Proficient,0.959,123,Proficient,0.021,0.8,0.994,No Data,121,255,754,No Data,0,255,Proficient,0.994,240,770,0.005,1,0.001,0.076,0,0.535,0.003,No Data,707,0.036,0.964,No Data,0.727,237,28
M.S. 129 Academy for Independent Learning and Lead,0.83,No Data,0,1,158,497,252,No Data,100,No Data,0.267,0.711,Proficient,0.699,0.688,No Data,2.14,0.018,Well Developed,0.802,29,Well Developed,0.009,0.78,0.974,0.395,29,158,532,No Data,0,158,Well Developed,0.994,156,560,0.32,3,0.006,0.222,0,0.76,0.003,No Data,497,0.25,0.875,No Data,0.816,355,86
The Brooklyn Green School,0.98,No Data,0,No Data,No Data,81,50,No Data,No Data,No Data,0.855,No Data,No Data,0.236,No Data,No Data,2.42,0.024,No Data,0.871,No Data,No Data,0.02,1,0.951,No Data,No Data,No Data,89,No Data,0,No Data,No Data,0.975,No Data,93,0.755,No Data,0.0,0.205,No Data,No Data,0.003,No Data,81,0.702,No Data,No Data,0.714,13,No Data
Village Academy,0.88,1,0,4,110,351,191,No Data,51,No Data,0.526,0.438,Proficient,0.405,No Data,No Data,2.1,0.011,Proficient,0.859,107,Proficient,0.021,0.87,0.96,0.605,107,110,394,No Data,0,110,Proficient,0.954,103,413,0.429,3,0.008,0.194,0,0.725,0.013,No Data,351,0.184,No Data,No Data,0.605,167,46
P.S. 082 Hammond,0.6,5,0,5,No Data,No Data,308,0.652,No Data,No Data,0.052,No Data,Proficient,0.274,0.733,18,No Data,0.015,Well Developed,0.9,No Data,Proficient,0.024,0.65,No Data,No Data,No Data,No Data,629,29,0,No Data,Well Developed,No Data,No Data,649,0.043,14,0.023,0.083,No Data,No Data,0.012,No Data,No Data,0.193,No Data,0.156,0.857,414,No Data
South Bronx Academy for Applied Media,0.89,No Data,0,1,65,200,103,No Data,43,No Data,0.315,0.588,Proficient,0.708,No Data,No Data,2.16,0.009,Proficient,0.874,14,Proficient,0.011,0.88,0.905,0.435,No Data,65,222,No Data,0,65,Proficient,0.9,80,233,0.331,5,0.023,0.278,0,0.674,0.004,No Data,200,0.261,0.667,No Data,0.522,143,42
Elijah Stroud Middle School,0.93,2,No Data,3,55,157,81,No Data,29,No Data,0.642,No Data,Proficient,0.142,No Data,No Data,2.24,0.037,Proficient,0.913,No Data,Proficient,0.16,0.86,0.924,0.786,No Data,55,167,No Data,No Data,55,Proficient,0.586,51,176,0.571,3,0.019,0.198,0,0.828,0.004,No Data,157,0.775,No Data,No Data,0.714,39,22
P.S. 160 Walter Francis Bishop,0.91,17,0,4,No Data,No Data,280,0.55,No Data,No Data,0.436,No Data,Proficient,0.274,0.63,16,No Data,0.015,Proficient,0.867,No Data,Proficient,0.007,0.87,No Data,0.158,No Data,No Data,575,33,0,No Data,Proficient,No Data,No Data,601,0.482,74,0.13,0.107,No Data,No Data,0.012,No Data,No Data,0.193,No Data,0.061,0.974,141,No Data
P.S. 177 The Marlboro,0.93,4,0,2,No Data,No Data,467,0.734,No Data,No Data,0.011,No Data,Well Developed,0.255,0.836,22,No Data,0.368,Well Developed,0.908,No Data,Proficient,0.357,0.94,No Data,0,No Data,No Data,932,35,0,No Data,Well Developed,No Data,No Data,959,0.014,10,0.011,0.048,No Data,No Data,0.003,No Data,No Data,0.075,No Data,0.244,0.878,270,No Data
